schools_of_this_kind_1,schools_of_this_kind_2
14156,12023
14156,12024
14156,12019
14156,12034
14155,10014
14156,12027
14156,9979
14156,12028
14156,12041
14157,12006
14156,12037
14156,9989
14157,9970
14156,10002
14157,9968
14170,9565
14156,12045
14156,12044
13291,10199
14155,10036
14057,11026
14156,10006
14157,12021
14157,12033
14157,12030
14156,10023
14157,12038
14156,10034
14158,9970
12043,12042
14156,10030
14156,10028
14155,10059
14171,9576
14156,10039
14156,10038
14155,10066
13291,10234
14057,11077
14158,9989
14157,10034
14154,10128
14155,10095
14154,10133
14155,12149
14157,10037
14156,10079
14156,10080
14155,10107
14156,10086
14158,10034
14160,9970
14158,10030
14160,9968
14156,10104
14169,9698
14155,10133
14154,10174
14156,10121
14156,10130
14154,10199
14160,10014
14154,10193
12043,12149
14156,10145
14155,10174
13291,10334
14154,10206
14161,9985
14155,10185
14157,10130
14155,10193
14154,10219
14156,10157
14154,10218
14157,10134
14154,10225
14057,9151
14156,10175
14155,10206
14156,10176
14154,10238
14156,10171
14156,10180
14155,10211
14156,10194
14154,10249
14154,10263
14156,10202
14155,10228
14156,10198
14155,10238
14155,10234
14160,10080
14155,10249
14154,10274
14154,10283
14155,10263
14160,12153
14156,10230
14155,10272
14164,12042
14155,10267
14156,10246
14155,10274
14156,10244
14156,10255
14156,10251
14160,10128
14155,10283
14155,10297
14158,10202
14157,10230
14166,9952
13291,10451
14158,10198
14166,12012
14156,10268
14156,10280
14156,10276
14161,10133
14157,10255
14156,10286
14157,10252
14156,10284
14154,10346
14156,10296
14156,10293
14159,10199
14156,10303
14155,10334
14155,10331
14156,10312
14157,10278
14156,10310
14163,12149
14154,10380
14155,10346
14160,10206
14156,10330
14156,10325
14166,10028
14154,10398
14155,10364
14057,9306
14157,10310
14160,10218
14156,10339
14165,10072
14154,10409
14169,9944
14156,10359
14158,10293
14156,10356
14156,10368
14156,10366
14155,10409
14156,10375
14156,10376
14173,9849
14158,10314
14160,10249
14156,10374
14154,10447
14154,10454
14154,10452
14155,10441
14156,10416
14155,10454
14154,10481
14155,10460
14154,10492
14156,10430
14156,10428
14057,11458
14155,10469
14158,10374
14155,10481
14156,10450
14155,10482
14157,10421
14156,10462
14155,10490
14155,10501
14154,10544
14156,10477
14155,10508
14165,10199
14161,10331
14156,10486
14157,10452
14154,10559
14169,10095
14160,10374
14156,10491
14155,10534
14155,10531
14155,10544
14156,10512
14157,10490
14156,10518
14156,10530
14158,10468
14154,10587
14154,10600
14154,10593
14156,10531
14171,10066
14158,10491
14156,10567
14155,10606
14155,10607
14158,10512
14160,10447
14169,10182
14165,10307
14154,10645
14155,12660
14155,12661
14156,10580
14157,10563
14156,10591
14156,10601
14172,12153
14172,12149
14156,10610
14156,10603
14156,10615
14155,10644
14154,10676
14157,10580
14156,10619
14162,10447
14156,10631
12043,12649
14156,10628
12043,12655
14155,10669
12043,12653
14156,10647
14156,10665
14156,10663
14169,10260
14156,10673
14156,10674
14156,10671
14154,10734
14157,10647
14156,10675
14155,10718
14154,6650
14156,10684
14156,10695
14155,10727
14154,6659
14156,10692
14156,10701
14154,6680
14155,10740
14154,6675
14156,10722
14155,10751
14156,10717
14154,10790
14158,10663
14157,10695
14154,6692
14155,6659
14160,10600
14156,10724
14160,12661
14154,6703
14154,6701
14156,10735
14154,10805
14154,6709
14154,10806
14154,6707
14156,10739
14156,6657
14157,10720
14154,6718
14156,10752
14156,6653
14154,6715
14157,10719
14154,6727
14154,6728
14155,10790
14166,10450
