written_by_1,written_by_2
1979,3681
2257,3255
2764,5969
1898,4146
1701,6160
2238,3852
2238,3851
2816,8461
2983,3284
6209,3635
1548,6814
5693,3253
2757,4161
2116,5599
3042,3522
2841,3611
2567,8011
2057,5390
2696,4020
1861,3283
2534,7000
2649,3434
2114,3637
2841,5684
2098,4144
1915,3674
1984,3596
1768,4150
1542,7061
2312,3674
2160,8385
1657,3501
2368,6038
2337,7001
6081,3576
5844,6828
1702,4161
2114,3680
5844,6836
5533,4195
5445,6923
2304,3943
2726,3151
2674,6814
1985,3596
2522,5388
2905,3754
5701,3102
1854,5626
2913,3522
2298,4157
5686,5626
2713,3587
1678,7000
1707,4056
2248,3674
2445,3711
2048,7825
2588,3376
1721,7724
2540,6914
2398,1078
2036,6160
5546,7942
5621,5622
2908,7804
1812,826
6340,7911
1514,5969
5399,4320
5513,6931
2460,5318
5576,7024
1905,6141
5750,3681
1726,7597
2584,3530
3035,3889
1848,5871
2768,3981
5546,3881
2660,3238
2712,3674
2708,5847
6051,518
5744,3892
1929,5422
5712,6935
1793,7597
2245,7923
2876,6798
5512,7006
2169,4144
1723,3635
5337,8339
2989,3300
1710,4042
1636,8385
5546,8011
2046,7973
5357,5684
2744,6820
2532,3151
2744,6819
2076,7047
1900,8411
2637,6047
2572,3970
1979,5969
6503,7034
2511,7911
2001,1201
2829,6255
5352,3822
2411,6937
2794,3255
2504,6104
5903,1086
2410,6971
2385,3657
2979,3674
2774,5933
1804,3238
1837,4263
2744,6867
2873,6966
1646,4046
2373,8134
2169,4218
1460,5719
1841,4149
2443,3921
2744,6882
1705,4275
1875,3102
2772,6017
2744,6885
2121,3674
2970,3981
5546,6048
2707,3944
5803,4228
1587,3850
2611,6935
1861,3562
2784,7717
1558,6815
2017,6923
1848,6018
1983,5933
5424,7804
2114,3921
1848,3981
2992,3337
2971,6038
5801,4324
2874,7000
5801,4325
2367,4288
2054,11949
1587,3902
2372,4144
2316,3834
2182,3892
3000,3112
2517,5796
1976,6183
5882,3881
5506,3255
1991,3674
2640,8134
6164,5388
2967,4144
5603,8446
5566,3450
5818,7939
2305,4202
2531,5388
6338,6160
2925,3418
2967,4166
2170,4302
1717,4009
1741,5313
2347,7006
2170,4303
1886,6966
1840,6344
2509,4038
2785,3674
2314,3944
2599,3300
2261,3541
5685,3892
2900,4213
3041,3943
2485,6842
5788,6851
1988,3822
2072,5313
2443,6103
2506,4149
1819,7019
2777,3944
1730,3637
2967,6255
2905,6129
2174,4213
6203,8339
3030,4303
2998,3253
217,3451
2185,5933
2607,3096
2589,7753
5363,3681
2513,3966
1916,4042
2911,5969
1522,6020
5374,5395
3050,5761
1753,7061
1730,3680
1756,6971
2539,5226
2701,4303
1601,3587
2701,4302
3036,4160
2119,8011
2923,3569
6094,3576
2241,6282
2622,617
2509,4124
2064,3585
2133,7597
1658,3892
5330,6798
2255,3822
2489,6811
2091,6865
5326,6936
2091,6866
2658,3637
5890,7900
1526,8017
1911,4275
2188,3881
2506,4263
3048,3850
1537,3587
2461,7713
5261,6931
1888,906
2056,3892
1912,6310
2775,12326
5501,3596
2259,3748
1670,5626
1816,1102
1592,8047
2263,3637
2658,3680
2244,4228
5526,6936
2310,4231
1937,7613
2728,3576
2049,4144
2397,3596
2588,3822
3048,3902
5372,7638
1713,4330
2377,4228
2580,6129
2843,4125
2310,4263
3004,3232
5281,4324
5281,4325
1669,3661
2263,3680
2585,3944
1894,6935
3061,1478
1695,6965
6617,3894
3049,8011
2280,5226
6031,5684
2190,5969
2460,7841
1922,6092
2054,4048
5288,4150
5251,3247
2662,3637
1868,3681
6143,4275
2114,6298
5766,3679
2508,8422
2049,4218
1940,7597
5495,3892
1848,6355
1892,7039
2310,4321
2807,3253
1549,5388
2519,3992
2673,3317
2914,4038
1752,3196
2004,5626
5758,3938
1534,5860
5229,3958
2006,7613
1520,8346
1951,3179
3019,6936
2886,6966
1684,5318
1895,6971
5965,3681
2662,3680
2621,7001
2987,3851
2604,5483
2987,3852
2519,4027
1540,3657
3051,5969
2469,3530
3052,7988
2647,4161
2379,4277
2379,4276
2099,6815
2114,4303
1544,7638
1747,3393
2205,3532
1672,7774
3000,3472
5705,3587
2003,3661
1876,7597
5504,5725
2136,3635
6093,3851
2542,5388
2735,3501
2183,4228
1960,906
2336,7685
3049,4022
2558,814
6029,7900
2096,6946
5583,3300
2914,4124
867,12289
2168,632
2733,3596
2254,6160
1939,3637
2229,6937
5544,435
1919,8365
2582,4195
2458,3943
3064,7689
1924,4119
5421,4263
1538,7900
2598,5761
2645,6356
1853,8385
2660,3848
5234,8024
2325,6047
2343,5490
2957,6936
2786,4045
1939,3680
2097,831
2008,7685
5302,3880
2946,1139
1810,7685
6044,3418
6106,7638
5785,3253
1680,1489
5695,8095
2194,6038
1743,3635
1834,6963
2083,5388
1613,3576
2207,3594
1925,4146
5886,6282
2719,6160
5838,3681
3016,3102
2184,4320
5251,3450
2925,3881
2420,3151
2474,3530
2871,1465
2558,931
2449,8411
1690,5318
2010,7685
1792,6255
3039,369
1998,6017
2867,3657
1865,6047
2206,3674
1804,3848
2567,6822
2780,4321
2450,8411
2936,3585
2681,3300
5408,6827
2876,5450
2820,3092
2093,3102
2593,6038
2716,4275
5515,3522
2405,3679
2212,7613
5504,5918
2802,3661
6161,8076
2089,3238
2856,4042
3053,8174
2526,4034
2473,7724
1859,4231
2064,6069
2937,3587
6130,7001
1962,3092
2479,3451
1811,3679
3046,6356
5565,4046
2500,6901
2266,5969
2689,3096
1945,5684
2002,5970
2475,3594
5705,3822
1859,4263
2213,3530
580,908
5689,4320
1878,3679
1606,5969
2676,3522
5869,6936
2984,4213
2455,4231
2342,3637
1691,5388
1539,3958
681,12124
2604,3711
5729,3092
1754,5490
1603,4027
1681,7753
2134,8047
6110,3587
1972,6935
1740,3892
5766,8112
2321,8411
5211,6882
2832,6912
2276,3674
2322,6344
1575,6973
2744,3501
2015,5622
2459,4149
2342,3680
2614,5490
1683,5679
2441,617
1872,8016
1673,3944
1662,8385
2199,6075
1617,3637
1905,856
1891,5388
2456,4260
1944,5796
2494,1034
2457,4228
2795,3993
2673,3681
2139,5899
2005,8011
2081,7703
2128,4202
2398,4023
1882,3637
1970,7053
2947,3393
1874,3889
1542,3944
6112,3584
2150,3532
2989,4146
2855,4213
2749,1354
1617,3680
6184,3418
3032,783
2126,6344
1961,5316
5592,5395
2079,3709
2459,4218
5818,442
1675,8047
3035,705
1843,6937
1882,3680
1609,8047
2680,3522
2147,3661
2017,3594
1764,3246
2865,8029
1683,11903
2950,5395
5864,3129
2823,3196
5930,1086
3072,3674
2062,4263
2809,3637
5706,3943
5706,3944
2966,6963
2100,3092
2853,4325
2853,4324
1934,4144
3077,3531
2558,3238
2563,1034
2558,3237
1914,6822
5324,1465
2307,6931
2442,6842
1552,3711
5345,6963
2148,7766
2435,7061
2741,5768
5341,7094
1615,3822
2101,3095
2230,3196
2537,5969
2809,3680
568,3522
5741,7006
2203,4045
1955,3541
2347,3679
2158,3393
2924,4228
1933,4228
6106,3892
2295,3248
2154,3530
2503,7053
5587,7713
2933,8068
1802,4218
1877,3944
3063,4042
1898,3300
1694,3480
2748,3576
1733,4320
5878,6897
3031,7094
5927,3337
1579,7052
1884,3748
2704,857
2480,7804
2396,4263
2755,3376
1696,5490
2268,4144
5612,831
2759,5318
6008,7006
2482,3674
2639,7000
2599,4146
5398,3393
2402,6160
5851,7795
2264,6356
2112,6973
1699,3393
2282,3754
1706,5226
1848,826
2137,4157
5413,906
2545,7893
2092,7599
6014,6856
5252,3851
6044,3881
2744,3784
2077,3981
2671,6047
1822,7792
5536,5300
5966,4263
2938,5970
2016,3834
2939,7988
5709,8139
2268,4218
2595,4325
5597,3420
6014,6878
2595,4324
1624,3711
6177,3881
6166,4228
5523,3681
2038,5224
2819,7638
1575,3195
2684,3635
5583,5933
2815,3674
1684,5970
3001,6104
1692,3679
1893,3596
1766,1390
2209,4045
2077,4046
5271,5388
6014,6933
5387,3843
5443,4161
5403,3355
2405,4134
5745,7094
1948,3970
2606,4051
2114,7026
3015,3679
1629,3637
5769,4320
1787,6935
2842,7000
3001,4119
2842,7001
5801,3337
2336,6307
5935,5331
1697,3596
1642,3255
5536,3380
2042,3151
1895,7713
5888,6814
1746,6190
2818,3681
5586,3892
2044,3102
2580,6966
2215,3944
1629,3680
2205,4258
2494,1445
5948,7019
2581,6952
2179,982
5357,6912
2950,3711
1816,4051
3034,3157
2547,5969
2470,4263
2866,8371
1838,3376
2636,5264
2084,3944
5357,6931
1715,3095
2085,3915
2602,8371
1842,3264
6503,4184
2097,3552
3077,3892
2889,3576
2013,6160
2946,3867
1748,4144
2606,8265
1788,7000
1762,3711
3049,6822
2348,8076
2742,6104
5396,3709
2673,4154
2903,1120
2932,4320
5715,8159
1756,8011
2302,3376
2548,3941
2958,3522
2555,7825
3044,7001
1690,5970
2009,4277
2009,4276
2557,3674
6184,3881
2089,3848
2563,1445
2417,5970
2318,6991
2666,314
1959,5847
5777,8323
2947,3892
1994,6815
2744,4047
2965,5388
2225,3754
1756,6006
2787,6815
1722,7069
1707,1390
1748,4218
2999,8446
5876,3227
2283,4023
2427,7753
1967,7685
5382,4218
2352,3941
2935,4303
2935,4302
5730,7774
