position_s_1,position_s_2
12900,13454
13032,13458
12966,13453
13098,13458
12900,13452
13032,13456
12702,13459
12702,13460
12900,13463
13032,13467
12702,13457
12702,13458
12900,13464
12900,13461
13098,13467
12966,13464
12702,13456
12702,13453
13032,13463
12900,13460
13032,13464
12702,13454
12702,13467
12702,13468
12702,13463
12702,13464
12900,13470
12702,13461
12900,13467
12702,13462
12702,13475
12702,13473
13033,13453
13033,13462
13033,13456
13033,13457
8078,13464
13033,13467
12769,13457
12769,13467
13034,13456
8109,4334
13034,13453
12769,13474
12769,13475
13034,13464
13034,13462
8329,13904
13034,13457
13034,13470
13299,13457
13299,13454
13299,13464
13299,13462
12771,13456
12771,13457
12771,13452
12771,13453
7648,4332
12771,13462
8375,4332
7648,4336
12771,13460
12771,13458
13550,13900
12405,4336
13366,13457
13366,13458
13366,13456
13366,13453
12771,13467
13366,13464
13366,13462
13550,13916
13550,13914
12406,4332
13550,13917
8244,4332
12406,4336
8244,4336
12671,4336
12671,4349
8060,14178
12774,13458
12774,13456
12774,13453
13039,13452
13039,13453
12408,4336
8048,4334
13039,13460
13039,13461
13039,13458
13039,13459
12408,4349
13039,13456
13039,13457
13039,13454
7688,13456
13039,13467
13039,13464
13039,13462
13039,13463
7982,4349
12409,4334
12673,4336
13172,13457
13172,13458
13172,13456
13172,13453
13172,13454
13172,13452
13172,13465
12842,13456
12842,13453
13172,13464
12842,13454
13172,13462
12842,13452
13172,13460
12842,13463
12842,13464
13172,13474
12842,13461
12842,13462
12842,13459
12842,13460
13172,13467
12842,13457
12842,13458
12410,4336
12842,13470
12842,13467
12842,13468
13172,13475
12674,4349
12842,13474
12675,4336
7931,14182
12315,13456
8219,13456
1150,13460
13042,13456
13042,13453
13042,13454
12675,4349
13042,13461
13042,13457
13042,13458
13042,13467
533,14178
533,14179
13307,13456
13307,13457
13307,13454
13307,13455
13307,13452
13307,13453
13307,13464
13307,13462
13307,13460
13307,13461
13307,13458
13307,13459
13307,13473
8404,13912
533,14197
13307,13468
13307,13467
13440,13453
13440,13454
8404,13916
13440,13461
13440,13462
13440,13457
13440,13458
13440,13456
12912,13453
13440,13470
12912,13454
13440,13468
13440,13464
12780,13457
12912,13462
12780,13458
12678,4332
12780,13456
12780,13453
12912,13457
12780,13454
7868,14177
12912,13456
12780,13452
12912,13467
12912,13468
12780,13464
12780,13461
12780,13462
7604,14177
12780,13459
12780,13460
12912,13464
12780,13473
7604,14182
12780,13470
12780,13467
12780,13468
12679,4332
13310,13452
12675,4465
12415,4332
13310,13459
13310,13460
12349,4336
13310,13457
13310,13458
13310,13456
13310,13453
13310,13454
13310,13467
7827,13453
13310,13463
13310,13464
13310,13461
13310,13462
7827,13462
7827,13468
13179,13456
13179,13457
13179,13454
12783,13452
12783,13453
13179,13465
13179,13461
13179,13458
12783,13460
12783,13461
12783,13458
12783,13459
12783,13456
12783,13457
12783,13454
13246,13452
12783,13467
12783,13464
13179,13474
12783,13462
12783,13463
13246,13457
12783,13474
13246,13456
12783,13470
13246,13453
13246,13454
7961,13459
7961,13457
7961,13462
7961,13461
13313,13454
13313,13452
12418,4336
13313,13453
12418,4332
13313,13462
13313,13463
13313,13460
13313,13461
13313,13458
13313,13456
13313,13457
13313,13470
13313,13467
13313,13464
12419,4336
6231,13900
12918,13456
12918,13453
12918,13454
673,14177
12918,13464
12918,13461
673,14182
13315,13457
13315,13452
13315,13464
631,13456
12920,13453
12920,13457
12920,13456
12920,13464
13384,13453
13384,13454
13384,13460
13384,13457
13384,13458
13384,13467
7667,4332
8064,4332
7866,4332
13452,13457
13452,13456
12359,4332
12425,4334
13452,13453
13548,4332
13452,13464
13452,13461
13452,13462
12359,4336
12726,13452
13452,13467
13452,13468
12726,13457
12726,13456
13387,13456
13453,13458
13387,13457
13387,13454
13453,13456
13453,13457
1472,14178
13387,13452
13453,13454
13387,13453
13453,13452
13549,4332
12726,13462
1472,14182
13387,13464
12991,13453
13453,13467
13453,13464
13453,13465
13387,13460
13453,13462
13387,13461
13387,13458
11919,13912
13453,13474
13453,13475
7934,4334
5754,4336
12991,13454
13453,13468
12991,13462
13454,13460
13454,13458
13454,13453
13454,13464
8001,4332
12860,13457
12860,13458
12860,13456
8001,4336
12860,13453
12860,13454
12860,13452
12860,13463
12860,13464
12860,13462
12860,13459
12362,4334
13455,13458
11965,4349
12860,13467
6231,14177
6231,14179
13456,13453
13456,13452
13192,13453
13456,13461
13126,13452
13192,13454
13456,13462
13456,13459
13192,13452
13456,13457
823,13917
13192,13461
13552,4349
13126,13460
13192,13462
13192,13459
13126,13457
13456,13467
13126,13458
13192,13460
13192,13457
13456,13465
13192,13458
13126,13456
7871,4332
13126,13453
13192,13456
13126,13454
13126,13467
13192,13467
13456,13475
13126,13463
13126,13464
13126,13461
13192,13463
13192,13464
13126,13462
13192,13475
13457,13452
13457,13453
13457,13462
13457,13460
8106,13456
13457,13461
13457,13459
13457,13456
13457,13468
13457,13467
13457,13464
13457,13465
13457,13474
13457,13475
13458,13455
13458,13453
7608,4336
13458,13454
12431,4332
13554,4334
13458,13459
13458,13460
12996,13457
12864,13453
12996,13458
12996,13455
12996,13456
13458,13470
12996,13453
12996,13464
12864,13460
12864,13458
12996,13462
12996,13460
7961,13900
13459,13456
13459,13457
13459,13464
13459,13465
13459,13462
12432,4336
13459,13461
13459,13458
12997,13456
7940,4332
12997,13457
12997,13454
12997,13453
7676,4332
13459,13475
8373,13456
13460,13457
8373,13457
13460,13458
8373,13452
13460,13454
13460,13464
12433,4336
12433,4349
13460,13468
13461,13459
13461,13456
13461,13457
13461,13452
13461,13464
13461,13465
13461,13462
12801,13454
12801,13452
12801,13453
13461,13468
13462,13452
12801,13460
12801,13461
12801,13458
12801,13459
12801,13456
12801,13457
13396,13457
13462,13459
13396,13458
13198,13452
12801,13468
13462,13457
13396,13456
13396,13454
13462,13456
12801,13464
13462,13453
13198,13459
13000,13453
13462,13467
13198,13460
13000,13454
13066,13456
13066,13453
13198,13457
13000,13452
13396,13464
13198,13458
13066,13454
13066,13452
13198,13456
12237,4332
13198,13453
13462,13461
13198,13454
13066,13463
13198,13467
13000,13461
13462,13475
13066,13464
13000,13462
13066,13461
13066,13462
13000,13460
13000,13457
13198,13463
13066,13459
13066,13460
13000,13458
13198,13464
13066,13457
13198,13461
13198,13462
13066,13458
13000,13456
13198,13475
13000,13467
13066,13467
13000,13463
13000,13464
13198,13470
6989,13455
6989,13458
13464,13453
13464,13454
13464,13452
13464,13461
13134,13452
13464,13459
13464,13460
12371,4336
13464,13457
12371,4332
13134,13459
1285,14180
13134,13460
13134,13457
13464,13467
13134,13458
5272,13464
13134,13456
13134,13453
13134,13454
13134,13467
13134,13468
13464,13475
13134,13463
13134,13464
13134,13461
823,14180
13134,13462
823,14182
13134,13474
13465,13453
8276,4332
13465,13461
12372,4332
13465,13459
13465,13456
13465,13457
13003,13456
13003,13457
8232,13900
7916,13453
13003,13454
1111,13464
13003,13452
13003,13453
7916,13456
13003,13464
12739,13456
12739,13457
13003,13462
12739,13454
8232,13909
12739,13452
13465,13474
12739,13453
8232,13904
13003,13458
12739,13464
13466,13456
8232,13916
12739,13462
12739,13463
13003,13468
12739,13460
12739,13461
12739,13458
12739,13459
8232,13914
13466,13464
12373,4336
13400,13457
13466,13460
13466,13457
13003,13474
12739,13467
13400,13456
13400,13467
12739,13475
13467,13456
13467,13457
13467,13452
13467,13453
13467,13464
13467,13462
13335,13456
13335,13457
13335,13454
13467,13468
7750,4332
7654,13456
13467,13474
13468,13457
13468,13453
13468,13452
13468,13461
13468,13460
13468,13474
13468,13467
7764,14178
13468,13475
13469,13458
13469,13456
13469,13457
7764,14179
13469,13454
13469,13452
13469,13453
13073,13454
13469,13467
13469,13464
13073,13452
13073,13453
8227,14177
13469,13460
13073,13462
13469,13474
7818,4332
7920,13457
13073,13460
13073,13461
13073,13458
13073,13456
13469,13468
13073,13457
13073,13470
7920,13464
13073,13467
13073,13464
13470,13458
12443,4336
12744,13453
12744,13454
7885,4332
13471,13453
12744,13459
12744,13456
13273,13454
13273,13452
12744,13467
13273,13453
13471,13456
13471,13454
12444,4334
12744,13464
13273,13462
13273,13463
13273,13460
13273,13458
13471,13464
13273,13459
13273,13456
13273,13457
13273,13470
13273,13467
13273,13464
13472,13462
13472,13458
13472,13456
12944,13453
12944,13454
13472,13464
12944,13460
12944,13457
12944,13456
12944,13465
12314,4336
8152,4336
7690,4334
13474,13453
13144,13454
12381,4336
12381,4332
13474,13457
12880,13453
12880,13454
12880,13452
13474,13467
13144,13458
13474,13468
13474,13465
13144,13456
8021,4336
