conflict_1,conflict_2
6705,13127
51,13574
117,13577
51,13577
150,13580
117,13580
13659,13622
84,13582
50,13615
13595,13568
51,13587
13628,13568
132,13127
84,13593
11778,13582
11844,13586
150,13600
117,13600
118,13569
50,13630
51,13600
19,13568
11778,13579
118,13573
118,13574
13595,13582
11844,13594
52,13574
118,13576
51,13605
13330,13603
51,13606
6706,13127
13628,13582
51,13607
13628,13594
51,13612
13628,13589
150,13618
51,13615
12784,13127
117,13620
51,13618
12506,13568
51,13621
13595,13596
118,13593
11778,13604
51,13625
51,13626
119,13569
51,13630
119,13572
119,13573
13628,13604
119,13575
12506,13584
119,13576
12506,13582
11844,13625
119,13577
84,13638
118,13609
13628,13614
12506,13577
51,13641
11778,13619
119,13584
51,13644
12506,13587
119,13587
52,13619
186,13569
54,13569
13432,13570
12506,13601
119,13605
119,13609
12506,13611
7997,13104
12506,13622
119,13618
6627,13600
20,13616
119,13623
13629,13630
119,13627
13432,13592
187,13574
12721,13127
119,13641
119,13644
13598,13582
6676,13127
13598,13596
187,13590
13598,13602
9403,13596
155,13569
89,13569
23,13569
155,13573
89,13573
155,13577
186,13641
10891,13568
187,13616
13598,13614
10891,13570
170,13127
13599,13591
10891,13582
89,13600
11023,13594
187,13636
10891,13592
10891,13589
155,13609
24,13574
6679,13094
187,13646
10891,13594
10891,13596
11023,13611
13634,13568
11618,13594
11618,13596
10891,13604
190,13569
13632,13633
11023,13614
13649,13104
90,13600
11487,13568
11487,13581
10891,13619
6679,13127
11487,13589
24,13616
24,13621
12907,13603
11487,13592
11950,13586
90,13626
13634,13608
190,13600
13634,13606
11487,13604
90,13630
10891,13645
13634,13602
11950,13594
11487,13611
11950,13596
13634,13614
13634,13611
24,13636
11487,13606
11487,13619
92,13581
13635,13591
59,13581
92,13582
10993,13581
59,13587
92,13589
11819,13577
141,13094
108,13094
11819,13571
