honored_for_1,honored_for_2
3042,5515
7384,1990
2068,2947
7777,6199
4203,2305
917,5867
512,2044
7365,2593
8445,1884
8437,2133
7365,2602
4252,800
5241,2912
7922,1721
6842,2442
7354,2953
2621,2222
8426,2489
7437,387
3142,2457
4195,2582
6377,482
6843,2419
8427,2473
8412,2944
6377,496
3166,1737
4107,5344
7804,5424
3203,602
7401,1538
4212,2100
1025,2599
3204,602
8456,1632
7384,2099
3210,427
4212,2136
8424,2651
2068,3077
7437,482
7435,544
7389,1969
8334,5440
3128,2989
1035,2342
4198,2603
4219,1952
8455,1703
7397,1737
7395,1799
4232,1548
3745,265
6344,1626
1097,443
4208,2309
3674,2482
3141,2621
8449,1919
8442,2136
4212,2202
7402,1615
2615,2554
4233,1548
4199,2603
3134,2853
8415,2989
3674,2501
3731,736
7384,2185
7380,2322
520,1988
3745,319
3744,349
3152,2320
4212,2230
8448,1984
3680,2342
7795,5851
3194,1031
7380,2342
3733,711
6916,347
3746,317
510,2335
7406,1556
3679,2405
3678,2436
7362,2924
6198,6240
3134,2920
520,2044
8424,2787
3145,2594
1032,2564
3180,1516
7395,1927
3151,2420
6377,725
5248,2961
5260,2597
6377,736
8424,2818
6322,2455
8424,2826
7909,2408
7406,1622
7364,2923
7384,2308
3674,2631
3141,2770
7380,2431
7372,2686
6310,2837
7397,1914
5268,2382
571,531
1034,2563
3705,1684
4218,2169
7406,1646
8425,2833
6377,788
7411,1516
7411,1514
505,2613
3145,2703
3141,2830
7453,234
7411,1535
3711,1552
564,806
3151,2532
1452,6051
1051,2100
3674,2712
4234,1740
7384,2393
4211,2464
3226,238
8435,2596
499,2859
7455,215
8450,2144
8436,2574
1039,2510
7363,3080
6377,882
6842,2850
4210,2525
8439,2506
7406,1760
7396,2070
4208,2594
6915,595
7455,238
3210,772
578,445
3141,2917
952,5245
3673,2815
3141,2924
7911,2511
1025,2989
8434,2682
7396,2096
7453,329
5821,1775
3741,723
6377,930
8437,2611
3211,772
5823,1726
5259,2833
2647,1882
3674,2815
3226,324
7384,2495
7367,3036
7403,1920
7453,368
7455,317
583,357
7455,324
3680,2662
5262,2769
7380,2654
3227,324
7413,1632
5297,1699
3682,2613
497,3045
7367,3072
6377,1000
7453,419
7380,2679
579,524
8428,2966
1114,329
2619,2827
4212,2599
4231,2011
7396,2199
3151,2726
1052,2262
4118,5524
3744,736
4222,2304
3711,1762
1091,1063
3145,2927
7411,1751
2637,2290
1117,265
3152,2726
8462,1961
7403,2023
8431,2921
3209,968
3232,258
1068,1806
3716,1644
3695,2295
1057,2152
3224,513
3759,315
7408,1889
8429,3011
5823,1876
590,258
3188,1646
8470,1748
3689,2501
1120,219
4212,2681
7392,2405
7395,2311
2619,2912
6377,1107
3585,5745
6330,2569
3761,295
3758,387
7384,2667
6405,252
3680,2809
3189,1646
7406,1994
3693,2415
3587,5705
5827,1802
7380,2818
5805,2491
5307,1548
7422,1520
7409,1927
3180,1951
7380,2823
3212,968
934,6051
3210,1031
3717,1700
3681,2818
1637,654
3235,271
7414,1796
4249,1609
7389,2572
4211,2797
4118,5683
3718,1700
3674,3072
7384,2748
8438,2850
7384,2751
3161,2599
4242,1853
5821,2056
8440,2795
6367,1520
7396,2388
8458,2246
5821,2068
3166,2457
6367,1537
6883,1927
6405,366
589,437
6367,1549
510,2889
593,317
7467,215
7467,221
7453,654
594,291
7380,2915
8471,1871
7384,2808
8440,2853
510,2920
7402,2261
7414,1894
6368,1560
7408,2088
3224,723
5311,1567
1122,357
4228,2377
6405,431
3679,3015
512,2889
7411,2011
6367,1613
3741,1101
4243,1923
3767,298
1123,347
3225,723
6369,1567
5798,2883
4240,2029
7380,2991
5813,2420
4231,2310
5821,2182
4226,2474
7384,2890
7408,2146
1085,1549
1119,498
5268,2953
1127,252
7467,319
3210,1217
7466,355
6370,1567
6368,1628
7408,2161
4213,2900
3171,2436
8474,1884
3735,1340
7464,427
8457,2421
8445,2794
7455,711
7397,2515
555,1626
4228,2457
7413,2030
3172,2436
3077,5380
3590,5864
3180,2189
3711,2115
2549,5368
6372,1544
3166,2628
6900,1560
7396,2567
6369,1642
7389,2788
6405,531
6375,1460
6369,1646
7424,1711
7410,2145
8445,2829
5311,1688
6228,6030
12758,209
5296,2158
6369,1661
6373,1537
6372,1573
12758,217
3599,5617
3689,2829
6373,1544
6374,1520
3236,491
7402,2419
4131,5515
12758,224
12758,221
7466,437
3169,2583
6373,1567
6372,1595
3196,1752
12758,240
7422,1818
12758,238
7411,2158
6374,1544
6375,1512
3242,329
12758,250
4223,2692
7464,524
6375,1514
12758,246
12758,258
6368,1735
5269,3042
6370,1679
3077,5459
12758,254
3693,2746
6372,1622
6416,258
6901,1606
6370,1681
8463,2341
4231,2455
3170,2583
8454,2621
6375,1540
6372,1633
6372,1632
6375,1538
1081,1817
6374,1573
4215,2972
4249,1918
6370,1703
6367,1796
3579,6302
7402,2479
6373,1615
521,2800
3723,1843
5847,1537
12758,289
1043,3005
12758,287
12758,285
2550,5443
7403,2454
12758,298
1046,2920
7418,1993
12758,295
8459,2502
6376,1537
6375,1567
2012,5750
6369,1752
6376,1540
549,1954
3580,6302
3210,1389
5821,2371
4231,2506
4250,1918
6374,1615
3724,1843
7466,531
3171,2605
6375,1582
7466,536
7403,2488
6369,1772
5313,1741
6370,1748
5720,5512
6370,1751
12758,326
6374,1633
12758,334
1106,1105
3227,890
3211,1389
6372,1699
3612,5344
3190,2044
555,1808
6372,1709
1116,806
7476,258
6372,1713
12758,349
6373,1681
3192,1990
6372,1711
6375,1622
7435,1537
6371,1751
12758,357
6375,1633
6375,1632
5842,1775
3249,238
6378,1548
12758,377
6379,1514
3733,1622
7402,2569
3191,2044
12758,387
3077,5586
6370,1812
5312,1841
3689,3005
3711,2325
6373,1727
1062,2525
520,2944
6367,1911
6379,1538
8446,2999
6370,1828
1108,1107
4143,5330
1121,711
12758,419
12758,417
8453,2798
6374,1713
6370,1837
6369,1868
6373,1751
8469,2312
6378,1594
8467,2376
6372,1786
12758,424
3761,804
12758,421
6379,1567
6370,1846
6379,1573
6370,1852
12758,433
12758,431
598,561
608,252
6375,1699
1062,2564
12758,443
4144,5330
6378,1609
6229,6228
8454,2789
6378,1613
6375,1713
7464,720
6370,1865
6374,1748
3249,317
6374,1752
6373,1783
6374,1751
6379,1595
12758,455
3180,2464
3224,1101
6369,1919
1062,2594
3693,2952
7402,2663
6371,1861
6368,1954
6379,1613
6368,1952
3235,772
12758,471
947,6166
1080,2044
6379,1615
7418,2178
12758,482
7396,2865
6332,3080
6379,1622
6381,1567
6416,482
12758,489
6379,1633
6376,1723
6381,1573
6376,1727
12758,496
7364,3873
7312,5484
3718,2213
6383,1519
12758,506
1097,1548
12758,504
3167,2917
6367,2023
6374,1806
12758,513
6373,1841
6376,1748
6378,1686
3711,2445
6374,1809
7435,1686
7464,794
6373,1846
12758,524
12758,522
7406,2594
3732,1806
6378,1697
1090,1790
6380,1646
6381,1615
6372,1894
600,599
7420,2174
3077,5733
6381,1613
8463,2612
12758,538
6373,1865
6379,1678
7418,2237
6901,1887
6381,1622
6416,536
7476,443
3192,2180
6368,2029
3077,5744
6374,1841
6375,1816
6374,1846
6381,1633
6378,1726
7402,2750
6382,1608
7321,5266
6379,1699
3201,1914
6375,1828
4271,1514
5311,2043
5290,2694
6379,1709
6372,1925
6382,1615
6385,1520
6379,1713
4142,5524
7408,2581
6368,2056
6382,1622
7476,482
12758,573
4150,5288
6385,1537
6374,1877
6367,2099
3742,1556
12758,595
3202,1914
3208,1727
6370,2010
6375,1854
6375,1865
5733,5380
7409,2583
6375,1868
3249,471
2034,5368
7413,2456
6376,1841
7421,2212
6375,1877
3208,1748
1142,258
6373,1937
3169,2959
1592,2698
6381,1699
6385,1573
4242,2470
12758,627
3077,5821
6375,1887
6369,2076
6369,2083
3725,2125
6376,1865
6368,2113
4267,1709
6381,1709
559,1968
6375,1894
7486,221
4271,1588
4263,1837
6368,2116
6381,1713
6384,1619
3093,5341
2559,5513
4228,2924
1142,289
6376,1877
6373,1969
6385,1597
6376,1876
5829,2448
6374,1937
3077,5842
6369,2099
608,464
4267,1722
3624,5273
12758,648
1141,329
5842,2056
6378,1822
6386,1574
6372,2008
3735,1843
7486,252
6376,1893
6385,1613
6378,1830
7418,2358
12758,654
7413,2512
6370,2084
4268,1709
2676,1908
6370,2083
3726,2125
5842,2068
6381,1740
527,2993
7403,2831
6379,1806
6381,1751
6375,1937
4142,5621
6381,1748
3620,5424
5733,5459
7316,5536
7439,1722
8461,2816
3095,5319
7466,890
6376,1915
6369,2132
3258,271
6369,2138
5860,1534
7488,217
6376,1919
3711,2618
7488,221
2666,2247
6379,1837
613,357
6374,1990
12758,697
7464,968
6376,1934
12758,693
6368,2180
6374,1994
6378,1876
4267,1780
3215,1622
4242,2553
6379,1842
8466,2682
7486,298
6379,1846
6375,1970
3181,2682
7418,2405
6370,2132
6374,2008
6380,1822
6372,2070
5327,1696
6371,2100
1062,2839
3745,1588
12758,723
5292,2789
7418,2418
1080,2290
7488,254
1056,3036
6369,2179
6381,1806
2038,5368
3235,1031
6372,2088
12758,725
3216,1622
3077,5931
6379,1877
4268,1780
6372,2098
1085,2152
6390,1537
7313,5692
6391,1513
7420,2382
12758,748
618,250
6433,209
6368,2223
6372,2099
6388,1603
6370,2161
6375,2006
6433,215
7318,5548
6240,6198
6375,2010
555,2211
6369,2201
6390,1549
4243,2576
2134,2418
7437,1865
6387,1646
7488,289
7428,2147
7464,1031
6381,1841
7488,291
6381,1846
6388,1628
5340,1347
7430,2093
5288,2960
6382,1820
6373,2098
7439,1820
3082,5816
7421,2377
3098,5319
8464,2819
6433,242
3171,3063
6380,1889
7439,1828
7491,215
1130,800
5842,2182
6380,1894
7491,221
12758,788
6370,2203
564,1964
7402,2979
1068,2726
7402,2977
6387,1681
2680,1908
6374,2083
6387,1680
6372,2145
7317,5618
6387,1679
3187,2576
6374,2088
3180,2797
7488,319
6379,1937
8456,3079
1145,349
7486,387
7313,5750
3077,5995
6385,1748
6372,2158
7428,2189
6381,1877
12758,802
3099,5319
5733,5586
12758,800
6433,269
4240,2715
6367,2314
3706,2887
7418,2501
4309,582
6390,1607
4292,1107
3789,319
3262,271
3187,2599
4267,1889
6376,2044
6384,1796
12758,806
6374,2105
7476,711
6372,2174
6374,2109
7491,250
3181,2792
7428,2209
6392,1556
6433,285
612,513
6392,1555
6387,1710
566,1940
7420,2455
7491,254
6375,2088
7319,5597
7403,2990
7486,424
7563,14421
6375,2096
6393,1537
6367,2342
6373,2161
6433,300
559,2173
619,317
4310,582
6376,2076
6373,2169
3726,2308
559,2180
6370,2261
6385,1796
6374,2144
6389,1678
6382,1894
6369,2296
7330,5273
3208,1988
6373,2178
4258,2205
6379,1990
6378,2028
6374,2152
3785,489
442,5818
6370,2274
3249,723
623,209
3208,1995
6381,1937
6385,1812
4280,1538
7486,455
6367,2375
3208,2002
1148,329
5312,2321
6376,2105
7414,2694
6370,2296
12758,869
6374,2169
6388,1735
6385,1828
3792,298
6382,1925
6374,2179
3235,1182
3249,748
6433,349
6372,2246
6382,1935
7476,788
5821,2947
3187,2681
6373,2216
3784,561
3187,2687
6376,2133
6374,2194
7476,800
7491,334
442,5865
6374,2199
6379,2044
2666,2459
6385,1862
6369,2357
7486,498
3077,6106
6376,2146
6433,379
6381,1990
7418,2611
3236,1182
6370,2336
6390,1716
6374,2212
451,5598
7321,5621
6374,2209
6387,1806
6375,2185
6370,2339
6387,1812
6370,2338
6385,1873
1143,536
7410,2866
6387,1810
555,2381
3249,788
7414,2746
6389,1752
3785,561
12758,930
6379,2073
3711,2861
6380,2044
6373,2260
3208,2076
3077,6137
6368,2421
3249,806
5744,5380
6394,1619
6379,2084
7464,1217
6375,2212
559,2284
6372,2303
6901,2295
6396,1564
3742,1920
7491,387
6375,2214
6385,1911
4271,1908
7496,238
12758,949
6433,421
6396,1567
6387,1846
6368,2442
6383,1976
6433,424
6397,1540
624,285
5733,5744
559,2302
5842,2371
3269,215
12758,968
7496,258
6392,1713
6389,1806
6375,2240
6373,2301
6397,1556
7430,2301
6369,2431
7411,2897
6370,2397
6387,1877
3732,2259
7491,424
6375,2257
6397,1572
6390,1796
7455,1549
6397,1578
6385,1949
6373,2321
2651,3016
6392,1738
8468,2919
4267,2074
6389,1828
6381,2083
6369,2455
1097,2044
3611,6031
6374,2304
12758,1012
6379,2146
6369,2456
6373,2338
6381,2088
7979,1709
6394,1691
7453,1629
6372,2377
6381,2098
5744,5459
7488,547
1153,329
6374,2317
5821,3077
6379,2169
6386,1952
7435,2201
2698,1592
7421,2632
6396,1646
612,723
6383,2048
5331,1893
3079,6166
12758,1033
5339,1642
6382,2077
7496,317
6370,2454
6378,2209
6380,2147
7422,2613
7420,2675
5733,5821
7411,2959
6396,1661
6395,1692
1090,2306
7430,2375
6374,2342
6389,1877
6398,1603
6385,2006
6367,2564
6372,2408
6369,2501
6390,1849
6400,1545
6373,2382
4256,2471
6385,2008
6379,2194
3270,271
6372,2418
3752,1716
5733,5842
6384,2044
3753,1688
5367,806
6380,2178
6385,2023
6370,2487
6379,2212
6376,2304
6400,1560
6433,536
6391,1842
6390,1873
6397,1656
3092,5809
4161,5443
3193,2682
6402,1512
6373,2408
6385,2042
6375,2352
6402,1514
6374,2382
3235,1389
4326,334
6388,1954
6388,1952
6389,1920
8468,3006
3797,357
7428,2486
1100,2044
6399,1615
4147,5890
625,387
5315,2456
6372,2457
6367,2611
12758,1107
3269,349
3748,1884
12758,1105
6372,2466
3093,5809
12758,1101
6374,2408
6390,1911
3802,217
6382,2158
6379,2257
6402,1544
6392,1853
7464,1389
6392,1852
1099,2096
6381,2199
7414,2944
3789,630
3236,1389
6374,2418
6372,2479
6373,2454
6375,2391
4242,2977
6371,2514
6380,2241
6392,1868
6373,2457
6387,2023
6922,1822
7495,443
6372,2487
6442,324
6368,2618
4267,2212
6402,1567
6375,2402
6965,496
12758,1147
6402,1572
5744,5586
6385,2096
6378,2320
5733,5931
6402,1573
4271,2099
1646,1556
6376,2385
6390,1950
5336,1861
4243,2977
7430,2483
12758,1149
7328,5644
6373,2480
6375,2418
6373,2487
6433,627
7438,2240
6393,1865
6368,2646
6373,2491
6379,2304
1151,531
7488,693
6370,2582
6401,1620
6367,2681
6388,2029
7973,2046
6384,2152
6404,1538
6389,2003
4282,1783
2169,1748
7495,482
6402,1608
6372,2538
3201,2535
6372,2535
1133,1107
6374,2480
7428,2574
6398,1735
6802,5595
6374,2478
6404,1548
7496,464
7504,215
6446,252
3799,387
6402,1615
6380,2296
3199,2605
1103,2044
6384,2178
6446,256
3724,2716
6375,2455
6442,377
6385,2144
5224,5368
6374,2491
6370,2615
6402,1622
6370,2613
6367,2711
1075,2924
6375,2462
6373,2535
6396,1822
6379,2349
3258,794
6373,2534
6372,2564
6389,2037
6403,1603
6402,1633
6390,2012
6389,2042
6373,2538
5733,5995
6368,2692
6376,2443
3270,427
3202,2535
6375,2480
7486,806
6448,215
7504,254
6401,1678
6392,1957
1097,2261
7504,258
6396,1837
6390,2023
6404,1594
7453,1843
6397,1810
6369,2678
4284,1778
7453,1842
6397,1809
6378,2403
7437,2342
2662,2909
4289,1630
8473,2993
7505,238
6395,1878
6383,2257
6385,2194
6374,2534
6390,2042
6381,2321
6372,2599
6375,2506
6372,2605
6370,2667
6404,1613
6387,2138
6400,1735
6406,1556
6376,2486
6381,2331
6406,1555
7504,285
3569,7583
6370,2669
3732,2529
6386,2180
6389,2086
6373,2582
7504,289
3190,2952
6396,1873
6433,725
6401,1716
6389,2088
6373,2591
7504,298
6381,2342
6370,2683
6382,2316
6379,2408
6448,269
6373,2593
6402,1699
7462,1607
7453,1886
7840,6272
6394,1945
6433,736
6379,2410
7488,806
6396,1889
6382,2322
6404,1646
6379,2418
6402,1709
7453,1896
6373,2615
6383,2305
6393,1994
6373,2613
6390,2086
6402,1713
6403,1682
5744,5733
6446,355
7508,201
6404,1656
7504,324
6374,2591
6397,1877
6395,1938
4167,5471
6376,2534
2056,5380
6402,1727
