type_of_union_1,type_of_union_2
3465,7586
1351,7586
8222,7586
5315,7586
4258,7586
1087,7586
3994,7586
823,7586
6901,7586
7958,7586
559,7586
5580,7586
3466,7586
7694,7590
5316,7586
8223,7586
1088,7586
6109,7586
3995,7586
824,7586
8223,7590
5845,7586
6902,7586
7959,7586
560,7586
5581,7586
6638,7586
560,7590
7695,7586
5581,7590
1353,7586
5317,7586
4260,7586
1353,7590
4260,7590
1089,7586
8224,7586
7960,7586
825,7586
7696,7586
3732,7590
3468,7586
5582,7586
4261,7586
5318,7586
1090,7586
3997,7586
8225,7586
6111,7586
6904,7586
3997,7590
826,7586
7961,7586
3733,7586
7697,7586
5847,7590
1355,7586
4262,7586
8226,7586
5848,7586
6905,7586
7962,7586
6905,7590
5584,7586
7698,7586
1356,7586
299,7586
5320,7586
4263,7586
1092,7586
3206,7590
6113,7586
8227,7586
3999,7586
828,7586
5849,7586
7963,7586
5849,7590
564,7586
5585,7586
7699,7586
1357,7586
4264,7586
8228,7586
6114,7586
7964,7586
829,7586
3736,7586
5850,7586
6907,7586
7700,7586
565,7586
1358,7586
301,7586
4265,7586
3208,7586
8229,7586
3208,7590
4001,7586
6115,7586
7965,7586
830,7586
566,7586
7701,7586
3473,7586
1359,7586
8230,7586
4266,7586
3209,7586
1095,7586
4002,7586
6909,7586
7966,7586
3738,7586
831,7590
567,7586
5588,7586
7702,7586
3474,7586
1360,7586
303,7586
8231,7586
4267,7586
1096,7586
6117,7586
832,7586
5853,7586
6910,7586
7967,7586
3739,7586
6646,7586
7703,7586
3475,7586
5325,7586
4268,7586
1361,7590
3211,7586
1097,7586
4004,7586
6118,7586
8232,7586
7968,7586
5854,7586
6911,7586
7704,7586
569,7586
3476,7586
1362,7586
305,7586
1098,7586
4005,7586
1098,7590
8233,7586
6912,7586
7969,7586
3741,7586
6648,7586
570,7586
7705,7586
5591,7586
3477,7586
1363,7586
5327,7586
3213,7586
1099,7586
6120,7586
6103,8113
8234,7586
835,7586
5856,7586
7970,7586
4006,7590
3742,7586
571,7586
7706,7586
3478,7586
307,7586
1100,7586
6121,7586
8235,7586
5857,7586
6914,7586
7971,7586
572,7586
7707,7586
3479,7586
1365,7586
308,7586
3479,7590
1365,7590
8236,7586
3215,7586
6122,7586
7972,7586
4008,7590
6915,7586
5858,7586
7708,7586
6651,7586
5594,7586
1366,7586
1366,7590
8237,7586
3216,7586
1102,7586
4009,7586
6123,7586
6916,7586
838,7586
7973,7590
3745,7586
574,7586
7709,7590
3481,7586
1367,7586
310,7586
1367,7590
8238,7586
5331,7586
4274,7586
3217,7586
6124,7586
1103,7586
1103,7590
4010,7586
839,7586
5860,7586
7974,7586
575,7586
7710,7586
3482,7586
1368,7586
8239,7586
3218,7586
4275,7586
6125,7586
4011,7586
840,7586
7975,7586
5861,7590
3747,7586
576,7586
7711,7586
312,7586
5333,7586
4276,7586
3219,7586
4012,7586
6126,7586
8240,7586
7976,7586
5862,7586
7712,7586
577,7586
3484,7586
1370,7586
4277,7586
1106,7586
8241,7586
6127,7586
6920,7586
842,7586
7977,7586
5863,7586
578,7586
7713,7586
578,7590
5599,7586
3485,7586
314,7586
3485,7590
4278,7586
6128,7586
6128,7590
8242,7586
4014,7586
7978,7586
3750,7586
6921,7590
579,7586
7714,7586
3486,7586
1372,7586
5336,7586
3222,7586
4279,7586
1108,7586
6129,7586
8243,7586
4015,7586
844,7586
6922,7586
7979,7586
5859,7775
7715,7586
3487,7586
1373,7586
7715,7590
4280,7586
8244,7586
3223,7586
4016,7586
7980,7586
6923,7586
5866,7586
7716,7586
581,7586
5866,7590
4281,7586
3224,7586
8245,7586
5338,7586
1110,7586
4017,7586
6924,7586
7981,7586
6660,7586
7717,7586
3489,7590
8246,7586
318,7590
5339,7586
3225,7586
4282,7586
1111,7586
7982,7586
3754,7586
583,7586
5604,7586
7718,7586
3490,7586
1376,7586
5340,7586
3226,7586
8247,7586
4283,7586
6133,7586
4019,7586
848,7586
7983,7586
3755,7586
584,7586
5605,7586
6662,7586
7719,7586
1377,7586
320,7586
4284,7586
3491,7590
320,7590
3227,7586
4020,7586
8248,7586
7984,7586
849,7586
3756,7586
5870,7586
7720,7586
585,7586
3492,7586
5606,7586
1378,7586
321,7586
5342,7586
4021,7586
8249,7586
6135,7586
7985,7586
7985,7590
3757,7586
7721,7586
586,7586
5871,7590
5607,7586
5607,7590
3493,7590
5343,7586
4286,7586
1115,7586
6136,7586
8250,7586
4022,7586
5872,7586
6929,7586
7986,7586
3758,7586
587,7586
7722,7586
7722,7590
1380,7586
3230,7586
4287,7586
1116,7586
8251,7586
4023,7586
6930,7586
7987,7586
3759,7586
5609,7586
7723,7586
3495,7586
4288,7586
8252,7586
3231,7586
4024,7586
6138,7586
7988,7586
3760,7586
5874,7586
6931,7586
7724,7586
589,7586
6931,7590
3496,7586
5610,7586
1382,7586
325,7586
4289,7586
8253,7586
1118,7586
3232,7590
4025,7586
1118,7590
6139,7586
7989,7586
854,7586
6139,7590
5875,7586
7725,7586
7725,7590
5611,7586
3497,7586
1383,7586
8254,7586
6140,7586
1119,7586
4290,7590
3233,7590
4026,7586
6933,7586
7990,7586
7726,7586
1384,7586
327,7586
5348,7586
8255,7586
3234,7586
5348,7590
1120,7586
6141,7586
856,7586
5877,7586
7991,7586
592,7586
6670,7586
592,7590
7727,7586
3499,7586
1385,7586
328,7586
5349,7586
4292,7586
3235,7586
6142,7586
8256,7586
7992,7586
857,7586
3764,7586
6935,7586
7728,7586
593,7586
3500,7586
5614,7586
1386,7586
4293,7586
3236,7586
5350,7586
1122,7590
8257,7586
6936,7586
7993,7586
858,7586
3765,7586
7729,7586
594,7586
3501,7586
1387,7586
1387,7590
5351,7586
3237,7586
4294,7586
6144,7586
8258,7586
4030,7586
5880,7586
6937,7586
7994,7586
3766,7586
5616,7586
7730,7586
1388,7586
3238,7586
4295,7586
1124,7586
6145,7586
8259,7586
4031,7586
860,7586
5881,7586
7995,7586
596,7586
7731,7586
3503,7590
4296,7586
8260,7586
1125,7586
4032,7586
6146,7586
7996,7586
3768,7586
6939,7586
7732,7586
3768,7590
1390,7586
333,7586
8261,7586
5354,7586
1126,7586
4033,7586
6147,7586
862,7586
7997,7586
5883,7586
3769,7586
598,7586
7733,7586
5619,7586
1391,7586
8262,7586
3241,7586
4298,7586
6148,7586
1127,7586
1127,7590
6148,7590
863,7586
6941,7586
7998,7586
3770,7586
7734,7586
1392,7586
5356,7586
8263,7586
4299,7586
1128,7586
6149,7586
4035,7586
5885,7586
7999,7586
864,7590
3771,7586
600,7586
7735,7586
1393,7586
4300,7586
3243,7586
1129,7586
1129,7590
6150,7586
8264,7586
8000,7586
865,7586
7736,7586
601,7586
3508,7586
5622,7586
4301,7586
1394,7590
3244,7586
4037,7586
8265,7586
6151,7586
6944,7586
8001,7586
866,7586
3773,7586
7737,7586
5623,7586
3509,7586
1395,7586
3245,7586
4302,7586
6152,7586
1131,7586
5359,7590
8266,7586
6945,7586
8002,7586
5624,7586
7738,7586
3510,7586
7738,7590
1396,7586
3246,7586
4303,7586
1132,7586
6153,7586
8267,7586
4039,7586
868,7586
5889,7586
8003,7586
7739,7586
3511,7586
1397,7586
340,7586
5361,7586
4304,7586
8268,7586
3247,7586
1133,7586
6154,7586
1133,7590
6154,7590
8004,7590
605,7586
7740,7590
3512,7586
5626,7586
3248,7586
8269,7586
5362,7586
6948,7586
8005,7586
870,7586
870,7590
5891,7586
7741,7586
5627,7586
3513,7586
1399,7586
342,7586
8270,7586
4306,7586
6156,7586
1135,7590
4042,7586
871,7586
5892,7586
8006,7586
3778,7586
607,7586
7742,7586
343,7586
8271,7586
4307,7586
1136,7586
4307,7590
4043,7586
872,7586
5893,7586
8007,7586
8007,7590
608,7590
7743,7586
344,7586
4308,7590
3251,7586
1137,7586
6158,7586
8272,7586
8008,7586
873,7586
6951,7586
7744,7586
609,7586
603,7775
3516,7586
6687,7590
4309,7586
1402,7590
3252,7586
5366,7586
1138,7586
4045,7586
8273,7586
6159,7586
6952,7586
8009,7586
5895,7586
7745,7586
610,7586
5631,7586
3517,7586
1403,7586
5367,7586
6160,7586
1139,7586
8274,7586
4046,7586
875,7586
5896,7586
8010,7586
611,7586
5632,7586
7746,7586
3518,7586
1404,7586
3254,7586
4311,7586
1140,7586
4311,7590
8275,7586
4047,7586
876,7586
5897,7586
6954,7586
8011,7586
612,7586
5633,7586
7747,7586
612,7590
3519,7586
1405,7586
348,7586
5369,7586
8276,7586
3255,7586
4048,7586
8012,7586
3784,7586
7748,7586
3520,7586
613,7590
5634,7586
1406,7586
4313,7586
3256,7586
8277,7586
5370,7586
1142,7586
6163,7586
6956,7586
878,7586
8013,7586
5899,7586
7749,7586
614,7586
5899,7590
3521,7586
1407,7586
350,7586
1407,7590
5371,7586
4314,7586
3257,7586
1143,7586
4050,7586
5900,7586
6957,7586
8014,7586
3786,7586
5900,7590
5636,7586
7750,7586
3522,7586
8279,7586
4315,7586
4051,7586
880,7586
5901,7586
6958,7586
4051,7590
8015,7586
3787,7586
6677,8113
7751,7586
3523,7586
1409,7586
352,7586
4316,7586
3259,7586
1145,7586
8280,7586
8016,7586
881,7586
3788,7586
5902,7586
7752,7586
617,7586
3788,7590
5638,7586
1410,7586
4053,7586
8281,7586
6167,7586
6960,7586
8017,7586
6696,7586
7753,7586
618,7586
5639,7586
3525,7586
1411,7586
354,7586
354,7590
4318,7586
6168,7590
8282,7586
883,7586
6961,7586
8018,7586
3790,7586
619,7586
7754,7586
1412,7586
5376,7590
4319,7586
1148,7586
6169,7586
8283,7586
6169,7590
6962,7586
8019,7586
3791,7586
7755,7586
620,7590
3527,7586
1413,7586
5377,7586
4320,7586
3263,7586
4056,7586
6170,7586
8020,7586
885,7586
8284,7590
6963,7586
7756,7586
6699,7586
5642,7586
1414,7586
3528,7590
4321,7586
8285,7586
3264,7586
4321,7590
1150,7586
5378,7590
4057,7586
6171,7586
8021,7586
5907,7586
7757,7586
1415,7586
358,7586
8286,7586
5379,7586
3265,7586
4322,7586
6172,7586
4058,7586
6965,7586
8022,7586
4058,7590
3794,7586
623,7586
7758,7586
3530,7586
3266,7586
8287,7586
4323,7586
1152,7586
6173,7586
888,7586
4059,7590
6966,7586
8023,7586
3795,7586
5645,7586
3795,7590
7759,7586
360,7586
5381,7586
4324,7586
3267,7586
6174,7586
8288,7586
8024,7586
889,7586
3796,7586
5910,7586
6967,7586
7760,7586
3796,7590
3532,7586
5646,7586
1418,7586
4325,7586
1154,7586
8289,7586
6175,7586
6968,7586
8025,7586
6175,7590
3797,7586
7761,7586
626,7586
3533,7586
1419,7586
5383,7586
4326,7586
6176,7586
8290,7586
4062,7586
891,7586
6969,7586
8026,7586
5648,7586
7762,7586
3534,7586
1420,7586
363,7586
8291,7586
4063,7586
892,7586
8027,7586
3799,7586
6970,7590
628,7586
5649,7586
7763,7586
364,7586
4328,7586
1421,7590
8292,7586
3271,7586
1157,7586
4064,7586
893,7586
8028,7590
3800,7586
5914,7586
7764,7586
629,7586
6971,7590
3536,7586
5650,7586
1422,7586
365,7586
8293,7586
365,7590
1158,7586
6179,7586
6972,7586
8029,7586
5915,7586
7765,7586
5651,7586
3537,7586
1423,7586
8294,7586
3273,7586
4330,7586
4066,7586
895,7586
8030,7586
631,7586
7766,7586
3538,7586
5388,7586
8278,8113
3274,7586
8295,7586
367,7590
1160,7586
6181,7586
4067,7586
896,7586
5917,7586
4067,7590
6974,7586
8031,7586
632,7586
7767,7586
3539,7586
5389,7586
5389,7590
3275,7586
4068,7586
8296,7586
8032,7586
897,7586
6975,7586
5918,7586
7768,7586
3804,7590
633,7586
3540,7586
6711,7586
1426,7586
369,7586
369,7590
5390,7586
1162,7586
4069,7586
8297,7586
8033,7586
898,7586
5919,7586
7769,7586
634,7586
5655,7586
1427,7586
3541,7590
5391,7586
8298,7586
4070,7586
899,7586
5920,7586
6977,7586
8034,7586
635,7586
5656,7586
7770,7586
3542,7586
7770,7590
1428,7586
371,7586
3278,7586
1164,7586
6185,7586
1158,7775
1164,7590
8299,7586
6185,7590
900,7586
6978,7586
8035,7586
5657,7586
6714,7586
1429,7586
7771,7590
5393,7586
8300,7586
4072,7586
8036,7586
6186,7590
3808,7586
5922,7586
7772,7586
3544,7586
1430,7586
373,7586
8301,7586
4073,7586
6980,7586
902,7586
8037,7586
6187,7590
5923,7586
3809,7586
7773,7586
5659,7586
3545,7586
1431,7586
374,7586
8302,7586
5395,7586
3281,7586
1167,7586
4074,7586
903,7586
5924,7586
8038,7586
3810,7586
639,7586
5660,7586
3546,7586
7774,7590
8303,7586
6189,7586
4075,7586
904,7586
904,7590
8039,7586
3811,7586
5661,7586
5397,7586
4076,7586
6190,7586
8304,7586
8040,7586
3812,7586
7776,7586
641,7586
7776,7590
3548,7586
5662,7586
6719,7586
1434,7586
1170,7586
4077,7586
8305,7586
6191,7586
8041,7586
906,7586
6191,7590
642,7586
7777,7586
1435,7586
378,7586
1171,7586
8306,7586
907,7586
8042,7586
3814,7586
8042,7590
5664,7586
6721,7586
7778,7586
3550,7586
5664,7590
1436,7586
1436,7590
1172,7586
6193,7586
8307,7586
4079,7586
908,7586
5929,7586
8043,7586
7779,7586
3551,7586
380,7586
8308,7586
1173,7586
4080,7586
6194,7586
8044,7586
7780,7586
3552,7586
1438,7586
3288,7586
8309,7586
5402,7586
1174,7586
4081,7586
6195,7586
4081,7590
8045,7586
910,7590
7781,7586
646,7586
5667,7586
3553,7586
1439,7586
382,7586
5667,7590
8310,7586
3289,7586
1175,7586
4082,7586
6989,7586
5932,7586
8046,7586
3818,7586
647,7586
5668,7586
7782,7586
3554,7590
5404,7586
8311,7586
6197,7586
4083,7586
912,7586
5933,7586
6990,7586
8047,7586
6726,7586
7783,7586
3555,7586
1441,7586
384,7586
5405,7586
4084,7586
8312,7586
8048,7586
913,7586
3820,7586
6991,7586
5934,7586
7784,7586
649,7586
649,7590
3556,7586
5670,7586
1442,7586
5406,7586
4085,7586
8313,7586
914,7586
8049,7586
650,7586
7785,7586
5671,7586
1443,7586
386,7586
5407,7586
1179,7586
6200,7586
8314,7590
3293,7590
4086,7586
915,7586
5936,7586
6993,7586
8050,7586
5672,7586
6729,7586
7786,7586
3558,7586
1444,7586
3294,7586
8315,7590
8315,7586
4087,7586
916,7586
6994,7586
8051,7586
3823,7586
5673,7586
7787,7586
3559,7586
1445,7586
388,7586
5409,7586
8316,7586
1181,7586
4088,7586
6202,7586
8052,7586
6995,7586
7788,7586
3560,7586
1446,7586
8317,7586
3296,7586
5410,7586
4089,7586
8053,7586
918,7586
5939,7586
3825,7586
7789,7590
1447,7586
390,7586
8318,7586
3297,7586
6204,7586
5940,7586
8054,7586
3826,7586
655,7586
7790,7586
3562,7586
1448,7586
5412,7586
3298,7586
8319,7586
1184,7586
6205,7586
4091,7586
5941,7586
920,7590
8055,7586
3827,7586
5677,7586
7791,7586
3563,7586
3299,7586
1185,7586
4092,7586
6206,7586
8320,7586
8056,7586
6999,7586
7792,7586
657,7586
3564,7586
5678,7586
6735,7586
3564,7590
3300,7586
1186,7586
8321,7586
7000,7586
922,7586
8057,7586
5943,7586
3829,7586
6736,7586
7793,7586
658,7586
5943,7590
5679,7586
3565,7586
1451,7586
394,7586
3565,7590
5415,7586
6208,7586
3301,7590
6208,7590
8322,7586
923,7586
5944,7586
7001,7586
8058,7586
659,7586
7794,7586
5416,7586
3302,7586
1188,7586
8323,7586
4095,7586
5945,7586
7002,7586
8059,7586
3831,7586
660,7586
5681,7586
3831,7590
7795,7586
5681,7590
3567,7586
1453,7586
396,7586
1453,7590
8324,7586
3303,7586
1189,7586
3303,7590
4096,7586
6210,7586
8060,7586
3832,7586
7003,7586
5946,7586
7796,7586
5682,7586
1454,7586
3568,7590
8325,7586
3304,7586
1190,7586
7004,7586
4097,7590
926,7586
8061,7586
3833,7586
7797,7586
662,7586
3569,7586
1455,7586
398,7586
8326,7586
3305,7586
6212,7586
1191,7586
927,7586
8062,7586
3834,7586
3834,7590
663,7586
6741,7586
7798,7586
3570,7586
1456,7586
1456,7590
8327,7586
1192,7586
6213,7586
928,7586
7006,7586
8063,7586
664,7586
7799,7586
3571,7586
1457,7586
400,7586
1193,7586
4100,7586
8328,7586
8064,7586
929,7586
3836,7586
7007,7586
5950,7586
7800,7586
665,7586
1458,7586
3572,7590
5422,7586
1194,7586
5422,7590
8329,7586
6215,7586
7008,7586
8065,7586
3837,7586
7801,7586
5951,7590
5687,7586
1459,7586
402,7586
3573,7590
5423,7586
1195,7586
6216,7586
8330,7586
4102,7586
931,7586
7009,7586
8066,7586
4102,7590
3838,7586
5688,7586
7802,7586
3574,7586
403,7586
3310,7586
6217,7586
8331,7586
4103,7586
5953,7586
7010,7586
8067,7586
3839,7586
668,7586
7803,7586
3575,7586
1461,7586
404,7586
5425,7586
8332,7586
5425,7590
3311,7586
1197,7586
4104,7586
6218,7586
8068,7586
6218,7590
7011,7586
7804,7586
669,7586
3576,7586
5690,7586
1462,7586
3312,7586
8333,7586
1198,7586
3312,7590
4105,7586
6219,7586
7012,7586
8069,7586
5955,7586
3841,7586
7805,7586
670,7586
406,7586
8334,7586
5427,7586
6220,7586
1199,7586
7013,7586
5956,7586
8070,7586
3842,7586
7806,7586
1464,7586
407,7586
8335,7586
1200,7586
6221,7590
4107,7586
7014,7586
8071,7586
7807,7586
4108,7586
8336,7586
8072,7586
937,7586
3844,7586
5958,7586
7808,7586
673,7586
5694,7586
1466,7586
3316,7586
5430,7586
1202,7586
4109,7586
8337,7586
6223,7586
7016,7586
8073,7586
938,7586
8073,7590
5959,7586
3845,7586
7809,7586
674,7590
3581,7586
1467,7586
1467,7590
5431,7586
3317,7586
1203,7586
8338,7586
7017,7586
8074,7586
3846,7586
5696,7586
6753,7586
7810,7586
1468,7590
3318,7586
1204,7586
3318,7590
8339,7586
5961,7586
8075,7586
3847,7586
7018,7590
676,7586
5697,7586
7811,7586
7794,8113
3583,7586
1469,7586
412,7586
5433,7586
8340,7586
3319,7586
1205,7586
4112,7586
6226,7586
8076,7586
3848,7586
5962,7586
7812,7586
677,7586
3584,7586
5698,7586
1470,7586
8341,7586
3320,7586
1206,7586
5434,7590
7020,7586
8077,7586
5963,7586
6756,7586
7813,7586
3585,7586
1471,7586
414,7586
8342,7586
3321,7586
1207,7586
943,7586
8078,7586
3850,7586
679,7586
5700,7586
7814,7586
3586,7586
1472,7586
3322,7586
8343,7586
5436,7590
6229,7586
944,7586
7022,7586
8079,7586
680,7586
7815,7586
416,7590
1209,7586
3323,7590
8344,7586
8080,7586
3852,7586
7023,7586
7816,7586
5702,7586
1474,7586
3588,7590
1210,7586
5438,7590
4117,7586
8345,7586
6231,7586
7024,7586
946,7586
8081,7586
3853,7586
7817,7586
682,7586
682,7590
3589,7586
1475,7586
418,7586
5439,7586
1211,7586
6232,7586
5439,7590
8346,7586
4118,7586
947,7586
5968,7586
7025,7586
8082,7586
947,7590
683,7586
7818,7586
3590,7586
1476,7586
3326,7586
6233,7586
8347,7586
4119,7586
948,7586
5969,7586
8083,7586
684,7586
7819,7586
1477,7586
420,7586
5441,7586
8348,7586
3327,7586
1213,7586
8084,7586
3856,7586
5970,7586
7820,7586
3592,7586
8349,7586
3328,7586
6499,7586
4121,7586
1214,7590
7028,7586
8085,7586
950,7586
6235,7590
5971,7586
686,7586
7821,7586
5971,7590
3593,7586
1479,7586
422,7586
8350,7586
1215,7586
6236,7586
5972,7586
7029,7586
8086,7586
3858,7590
687,7586
6765,7586
7822,7586
3594,7586
1480,7586
423,7586
5444,7586
423,7590
8351,7586
6237,7586
952,7586
5973,7586
7030,7586
8087,7586
3859,7586
7823,7586
1481,7586
3595,7590
6238,7586
8352,7586
8088,7586
4124,7590
953,7586
3860,7586
7031,7586
5974,7586
7824,7586
689,7586
7824,7590
3596,7586
5710,7586
425,7586
1218,7586
5446,7590
4125,7586
8353,7586
6239,7586
8089,7586
7825,7586
3861,7590
3597,7586
1483,7586
5447,7586
3333,7586
1219,7586
5447,7590
8354,7586
955,7586
7033,7586
5976,7586
8090,7586
3862,7586
7033,7590
691,7586
3862,7590
7826,7586
691,7590
1484,7586
2541,7586
5448,7586
6241,7586
8355,7586
956,7586
4127,7590
7034,7586
8091,7586
8091,7590
692,7586
5713,7586
6770,7586
7827,7586
3599,7586
1485,7586
428,7586
5449,7586
8356,7586
3335,7586
4128,7586
6242,7586
8092,7586
957,7586
3864,7586
5978,7586
7828,7586
3864,7590
3600,7586
5714,7586
3336,7586
8357,7586
5450,7586
1222,7586
6243,7586
8093,7586
5979,7586
3865,7586
7829,7586
694,7586
1487,7586
8358,7586
3337,7586
5451,7590
4130,7586
959,7586
7037,7590
8094,7590
7830,7586
3602,7586
5716,7590
1488,7586
8359,7586
1224,7586
3338,7590
6245,7590
960,7586
5981,7586
7038,7586
8095,7586
3867,7586
696,7586
5717,7586
6774,7586
7831,7586
1489,7586
432,7590
6246,7586
8360,7586
8096,7586
961,7586
5982,7586
7832,7586
3868,7590
7832,7590
3604,7586
1490,7586
5454,7586
1226,7586
1226,7590
8361,7586
6247,7586
8097,7586
962,7590
5983,7586
7833,7586
5719,7586
