group__1,group__2
7220,8900
3520,8916
7219,8936
7217,8997
7219,8934
7217,9003
7224,8786
7219,8940
3683,3866
7219,8938
7219,8945
7219,8943
7215,9067
7219,8948
7217,9010
7225,8767
7228,8671
7225,8771
7217,9019
7220,8925
4175,9113
7219,8961
7215,9084
7249,3934
7217,9020
6957,8888
7219,8969
7220,8938
7226,8751
7217,9029
7219,8967
7217,9035
7219,8972
7217,9034
7219,8970
7217,9038
7217,9036
7217,9043
7219,8980
7215,9103
7219,8984
7625,8685
7219,8989
7228,8707
5233,9113
7093,8800
7219,8997
7261,3598
7217,9057
7267,3410
7219,8994
7228,8722
7231,8628
7227,8751
7231,8626
7215,9122
7217,9067
7220,8972
7222,8916
7249,3985
7217,9073
7219,9010
7220,8984
7219,9020
7220,8989
7090,8921
7217,9084
7249,4000
7261,3633
7219,9036
7219,9034
7217,9103
7219,9038
7219,9043
7230,8707
7233,8612
7243,4217
7219,9057
7224,8900
7267,3471
7229,8751
7217,9122
6819,13266
7242,4253
7219,9067
7225,8880
7219,9073
7232,8671
7242,4270
6296,9019
7219,9084
7251,4000
7259,3751
7231,8718
7228,8817
7225,8908
7625,8800
7219,9103
7225,8916
7289,6947
6294,9122
7232,8715
7231,8751
7219,9122
3412,4270
7220,9103
7224,8984
7224,8989
7756,8881
7232,8740
7233,8715
7232,8746
7259,3817
7228,8873
6304,8844
7233,8722
3723,6938
9095,4253
7259,3824
7231,8786
4220,3824
7221,9103
8302,4273
6300,8994
7233,8751
7227,8936
7246,4253
4108,3228
7259,3857
3827,3751
7261,3798
7222,9103
7228,8916
6100,7032
7232,8803
3785,13266
7234,8751
7261,3817
7235,8718
7261,3824
7223,9103
753,8970
7235,8740
7249,4209
7232,8837
7231,8867
7224,9084
7249,4221
7262,3824
7224,9103
3126,13266
3671,8664
7249,4253
7236,8751
7249,4259
7235,8800
7249,4270
7232,8897
7233,8866
7249,4273
7237,8740
7266,3751
7237,8746
7232,8900
4189,9038
7259,3985
7242,8612
7261,3934
7242,8617
7242,8624
7267,3751
4189,9057
7232,8938
7242,8626
7261,3947
7231,8972
7232,8948
7242,8637
7242,8643
12854,14907
7242,8655
7241,8684
7233,8938
753,9113
7242,8661
7242,8671
7261,3985
7242,8673
7232,8989
7242,8677
7242,8684
7231,9029
7242,8687
7261,4000
7234,8938
6309,8961
7238,8840
7242,8715
7232,9029
7242,8722
7254,4253
7899,8840
6046,8938
7242,8734
4191,9113
7242,8746
7242,8752
7242,8751
8695,8771
7242,8758
7247,8628
7231,9122
7270,3824
628,9020
7238,8915
7246,8671
7232,9103
7242,8800
7242,8807
7242,8812
7232,9122
7242,8810
7258,4217
9097,8655
3274,8943
7259,4209
7246,8707
7249,8612
7249,8617
7237,8989
6185,8839
7249,8626
7249,8624
7242,8847
7249,8628
7249,8639
7249,8637
7249,8643
7242,8857
7249,8647
7242,8867
6841,9010
7242,8866
7249,8655
7242,8871
7249,8653
7284,3471
7249,8652
7259,4253
7249,8657
7242,8873
7637,8916
6186,8847
7249,8661
7242,8877
7242,8883
7259,4259
7242,8881
7249,8664
7249,8671
7249,8675
7249,8673
3137,13266
7247,8740
8290,13266
7249,8677
7261,4209
7245,8800
7242,8897
7249,8687
7249,8685
7276,3751
7249,8684
7249,8691
7261,4221
7242,8905
6046,9122
7249,8699
7242,8916
7242,8914
7249,8707
7242,8921
7242,8928
7249,8715
7242,8936
7249,8718
5915,9113
7249,8716
7249,8723
7249,8722
7261,4253
7242,8938
7261,4259
8055,4221
6185,8943
7242,8943
7768,9020
7237,9103
7242,8948
5325,6934
7249,8734
7249,8733
7261,4270
7249,8738
7249,8741
7261,4273
7249,8740
7249,8747
7242,8961
7249,8751
7249,8748
7249,8754
7242,8970
7249,8752
7249,8758
7242,8980
7249,8761
898,9036
7249,8767
7249,8771
7249,8768
4248,3502
7249,8773
7249,8772
7242,8994
7249,8782
3412,8943
7249,8786
7249,8794
7249,8803
7249,8802
7249,8800
7249,8807
7249,8805
7249,8810
7254,8655
7252,8715
7252,8722
7249,8812
7249,8817
7249,8820
7242,9043
7249,8825
7249,8829
7249,8833
8709,8635
7249,8839
7249,8837
7249,8836
4201,9122
7249,8840
7249,8847
7249,8846
7249,8845
7246,8938
7252,8751
7249,8844
7275,3947
7249,8854
7249,8857
7242,9073
7249,8862
7249,8861
7249,8867
7249,8866
7249,8871
7249,8873
7249,8872
7249,8878
7249,8877
7266,4253
7249,8883
7247,8943
7249,8881
7249,8880
7249,8885
7249,8884
7249,8890
7249,8888
7254,8740
5405,8715
7249,8893
7249,8899
7249,8898
7249,8897
7249,8902
7249,8900
7249,8905
7249,8909
7249,8908
7249,8915
9097,8972
7249,8914
7249,8916
8838,8817
7249,8921
7249,8920
7249,8925
7249,8928
7249,8934
7249,8932
7256,8715
7256,8722
7249,8938
7249,8936
7259,8626
7249,8943
7249,8940
7249,8945
7249,8948
8843,8685
8713,8628
7259,8643
7257,8715
7249,8961
7249,8967
7249,8965
7259,8655
8180,8773
7259,8661
7257,8722
7249,8969
7249,8975
7249,8972
7245,9103
7249,8980
7249,8987
7261,8612
7249,8984
7249,8989
7261,8617
7249,8994
7048,7032
7257,8751
7249,8997
7249,9003
7261,8628
7253,8881
8054,8626
7249,9010
7249,9019
7249,9020
7261,8652
7249,9029
7259,8718
7249,9035
7249,9034
7259,8722
7249,9038
7249,9036
7249,9043
7259,8733
7253,8916
7261,8675
8042,9038
7259,8734
7259,8741
7251,8989
7259,8740
7261,8676
6348,4217
7261,8687
7249,9057
7259,8746
7261,8691
6921,6943
7259,8751
4084,8871
7249,9067
7259,8758
7249,9073
535,4217
7261,8707
4087,8800
7259,8771
8183,8805
7261,8715
7249,9084
7261,8718
7261,8716
7261,8723
7264,8628
7259,8786
7253,8972
7249,9103
1435,9113
7261,8733
7265,8612
7261,8740
7261,8747
7684,3824
7261,8751
7249,9122
7261,8748
8058,8624
3706,4270
7261,8752
3958,8746
7261,8758
7261,8761
9115,8628
7259,8829
7261,8767
5676,8748
7261,8771
7261,8768
7261,8773
7262,8741
7261,8772
7259,8839
7266,8628
7275,4253
7259,8844
7261,8782
6208,8664
7261,8794
3341,3342
7261,8803
7261,8802
7261,8800
7261,8807
7261,8805
7259,8866
7261,8810
6245,3442
7267,8628
7259,8881
7261,8817
6365,3824
7259,8885
3586,8058
7261,8825
4222,8825
7267,8643
7261,8833
7261,8839
7261,8837
7261,8836
7259,8898
8055,8805
7267,8655
7261,8840
7261,8846
7261,8845
7268,8628
7261,8844
7267,8664
3553,9113
7261,8854
7191,6932
7259,8925
7261,8862
7261,8861
7261,8867
7267,8685
8326,8626
7262,8837
7259,8936
7266,8718
7261,8873
7261,8878
7261,8877
7261,8883
7261,8881
7261,8880
7261,8885
7674,4273
7261,8893
7261,8899
7261,8898
6856,13266
7261,8902
7267,8715
7261,8900
7261,8905
7259,8972
7261,8909
7261,8908
7261,8915
7261,8914
4222,8916
7259,8984
7261,8921
7193,6932
7267,8741
7267,8740
7261,8925
8183,9020
7261,8928
7261,8934
7789,8949
7268,8715
7267,8746
7259,8994
7267,8751
7294,3817
6271,6863
7261,8940
7258,9038
6345,8675
7266,8800
7259,9019
7297,3751
7261,8961
8187,8925
7259,9029
7261,8967
7261,8965
7193,6976
7261,8970
7262,8938
7268,8751
7259,9036
7261,8980
7261,8987
7269,8740
7261,8994
7267,8812
7191,7072
7261,9003
7267,8817
7198,6862
7259,9073
3426,9113
7196,6932
5346,6938
7261,9019
588,6987
7261,9020
7270,8746
7270,8751
7261,9029
7261,9035
7268,8817
7267,8847
7261,9038
7261,9036
7259,9103
7267,8862
7267,8872
7196,6976
7261,9057
7259,9122
7198,6932
7272,8740
7273,8715
7201,6863
7201,6862
7267,8925
7798,8847
7268,8900
7273,8751
7277,8628
7929,8902
7262,9103
793,8943
7267,8961
4091,9113
7266,8994
7198,7005
7268,8948
7201,6932
7289,4217
7288,4270
7270,8936
7201,6976
7270,8938
7201,6987
7270,8943
7201,6998
3638,6857
7201,6997
7277,8740
7277,8751
7270,8972
7995,6976
6920,3442
7206,6863
7206,6862
7806,8751
7267,9084
7201,7032
268,8970
3837,8928
7305,3824
7267,9103
7271,8989
6144,7062
7277,8800
8192,9113
6078,9113
3229,3228
8789,6997
6078,9122
8600,8771
7206,6932
7201,7087
7201,7085
7268,9103
7206,6934
3706,8943
7012,8861
3699,13266
7284,8628
7269,9103
7284,8635
1330,8893
7295,4209
7277,8862
7207,6943
7206,6987
7285,8637
7276,8916
3586,8624
7206,6998
7206,6997
7210,6877
7284,8699
268,9113
7206,7032
7284,8707
7674,8914
7191,3410
7212,6862
7286,8661
7212,6863
3777,6857
7210,6934
7284,8740
7206,7087
7279,8925
7017,8857
7285,8751
3862,4270
7193,3410
8345,8661
7283,8817
7285,8754
7285,8758
7274,9103
7212,6934
7208,7062
7211,6976
7018,8867
7215,6862
3897,3228
7215,6877
7079,6997
6359,8839
8083,8643
7212,6976
7284,8845
8080,8748
7201,3228
7212,6998
7212,6997
7196,3410
7280,8997
6878,13266
7284,8878
7286,8820
7217,6863
7217,6862
7277,9103
7215,6934
7285,8866
7212,7032
7215,6943
7290,8722
3220,3824
7278,9103
8210,8881
7284,8938
7294,8628
7215,6987
7215,6997
7217,6934
7217,6932
7215,6998
7201,3342
6355,9088
7292,8722
8869,8980
7285,8938
7213,7072
7285,8943
7215,7032
7288,8867
7295,8657
7189,3751
7086,6943
6882,13266
7217,6976
7217,6987
3328,8768
7219,6932
6909,4259
7217,6998
7217,6997
7219,6934
1203,9113
7217,7005
7219,6943
7284,9029
7201,3410
7297,8626
7284,9038
1360,4270
7215,7087
7217,7032
7219,6976
814,8925
7201,3442
7200,3471
5880,3442
7219,6987
7219,6997
7217,7062
3721,8943
7219,6998
7219,7005
3582,13266
3981,9088
7222,6932
7217,7087
7217,7085
7289,8948
7219,7032
7224,6877
7219,7062
7219,7072
7193,3798
7219,7087
7302,8628
7294,8878
7074,3410
7287,9103
7193,3824
7194,3824
5974,8881
7301,8722
6115,8626
7030,8938
7196,3798
8083,9073
7301,8746
7198,3751
7294,8969
6139,3824
7686,9122
7227,6976
4254,9034
7231,6863
7225,7062
7217,3228
7198,3824
4014,4221
7968,8628
7232,6877
9021,8771
7201,3751
7960,8897
8233,8653
7215,3342
7219,3228
7232,6934
7201,3798
8089,9038
7960,8940
7302,8862
7306,8751
7302,8880
7201,3817
7302,8888
7201,3824
7233,6932
3862,9038
7217,3342
3990,13266
7215,3410
4127,9038
7296,9103
7201,3866
8236,8657
8089,9113
7233,6976
7215,3442
8128,3817
7189,4253
7203,3824
8229,8878
7198,3985
6243,9029
7217,3410
7206,3751
3736,8934
8896,8722
7201,3934
5325,8840
7217,3442
4168,3751
7601,3824
7876,3502
7206,3798
6907,8984
7219,3410
826,9088
7201,3985
5318,9113
4261,9113
5325,8902
7217,3502
1360,8943
7843,8675
7219,3442
7201,4000
7307,8916
7210,3751
12797,14907
7220,3471
7219,3502
7215,3633
7196,4221
7206,3934
7217,3598
4290,4221
7212,3751
7210,3817
7210,3824
7242,6932
7242,6934
8770,8716
7217,3633
7211,3824
7725,4273
7206,8083
7701,9122
7208,3934
7242,6976
7243,6947
7212,3817
7198,4253
7198,4259
7212,3824
4014,8754
7046,8984
1360,9122
7215,3751
832,9113
7224,3471
7191,8612
7644,6863
7994,4209
7191,8628
7201,4221
7190,8664
7980,8751
7215,3798
7242,7062
7217,3751
7215,3817
7191,8655
7249,6863
7249,6862
7201,4253
7215,3824
7247,6932
8901,8915
7191,8677
7249,6877
7193,8612
7212,3934
7191,8685
7193,8628
8765,9057
7216,3824
7217,3798
7193,8655
7191,8715
7219,3751
3220,8943
7193,8661
7191,8722
7217,3824
7193,8664
7212,3985
7249,6934
7249,6932
7191,8734
7249,6943
7191,8741
7193,8677
7193,8685
7220,3751
7191,8746
7191,8751
3089,8943
7217,3857
7057,8817
7219,3798
7217,3866
7196,8612
8115,8800
7206,4209
7249,6976
7215,3934
7219,3817
7249,6987
7193,8722
7219,3824
7215,3947
7190,8817
7249,6998
7249,6997
7191,8794
7193,8740
7233,3410
7193,8751
7191,8812
7219,3857
7206,4259
7220,3824
7215,3985
4012,9067
6920,9038
7980,8943
7194,8740
7206,4270
7219,3866
7249,7032
7217,3934
7198,8617
7206,4273
7232,3471
7198,8628
8278,3817
7217,3947
7220,3857
7198,8635
7193,8794
7191,8854
7253,6932
7198,8643
7249,7062
7191,8862
7191,8873
7249,7072
7196,8715
7196,8722
7193,8812
7222,3824
7198,8664
7198,8661
7249,7087
7249,7085
7217,3985
7192,8862
3086,13266
7198,8684
3220,9122
7219,3934
7242,3228
7194,8812
7198,8685
7217,4000
7200,8628
7193,8845
7196,8751
7219,3947
7194,8817
3485,9113
7211,4209
7193,8862
7201,8612
7201,8617
7198,8715
7193,8873
7198,8723
7193,8878
3897,8655
7201,8628
7210,4253
7201,8635
7210,4259
7219,3985
7256,6932
7201,8643
6034,3857
7198,8740
7212,4209
7193,8899
7193,8897
7196,8803
7198,8741
7201,8655
7198,8748
7201,8653
7198,8751
7212,4221
7201,8657
7198,8754
7201,8661
7224,3857
7198,8758
7201,8664
7202,8639
7257,6932
7201,8675
7198,8771
3627,8878
7201,8677
7201,8676
7194,8897
7201,8687
7191,8997
7233,3598
7201,8685
7191,8994
7201,8684
7201,8691
7193,8938
7212,4253
7203,8628
7198,8782
6013,8653
7193,8943
7193,8940
7201,8699
7194,8916
7212,4259
7201,8707
7196,8866
7200,8740
8644,9029
7201,8715
7200,8746
7258,6947
7991,8800
7193,8961
7198,8812
7201,8718
7201,8716
7261,6863
7201,8723
7201,8722
7261,6862
7198,8820
7198,8817
7189,9103
7204,8637
8389,8771
7596,8771
7201,8734
7198,8825
7259,6934
7215,4209
7203,8676
7261,6877
4282,9113
7201,8741
7201,8740
3357,9122
7191,9057
7201,8746
7198,8839
7215,4221
7201,8751
7193,8997
7201,8748
7201,8754
7201,8752
3888,9057
7201,8758
7726,8867
7190,9103
7201,8761
7991,8846
8789,8691
7201,8767
7201,8771
7202,8740
7198,8862
7201,8768
7198,8866
7206,8617
7201,8782
7198,8873
7198,8880
7198,8884
7193,9038
7206,8635
7215,4259
7198,8888
7261,6934
7191,9103
7206,8643
7215,4273
7201,8803
7206,8647
7203,8740
7217,4209
7201,8800
7201,8807
7198,8899
7201,8805
7201,8810
7206,8653
7203,8746
7261,6955
3622,13266
7217,4221
7249,3228
7206,8657
3756,9113
7206,8664
5871,9088
7201,8817
7196,8972
7198,8916
7201,8820
7203,8767
7201,8829
3366,8933
7201,8839
4219,7072
3627,9038
391,6955
7201,8837
7261,6976
7201,8836
7198,8936
7198,8934
7201,8840
7261,6987
7201,8847
3757,9113
7201,8846
7206,8691
7217,4253
7201,8844
7217,4259
7193,9103
7208,8635
7261,6998
7201,8857
7261,6997
7202,8825
7217,4270
7201,8862
7203,8800
7201,8861
3519,4221
7733,8752
8254,8984
7201,8867
7201,8866
7217,4273
3759,9073
7206,8716
7206,8715
7242,3502
7219,4221
7193,9122
7201,8873
7206,8718
7201,8878
7206,8723
7201,8877
7201,8883
7596,8925
7232,3824
7201,8881
7201,8880
7194,9103
7233,3798
7201,8885
7259,7087
7201,8884
7201,8890
3362,9113
7220,4209
7201,8893
7261,7032
3520,4221
7201,8899
7201,8898
8789,8825
7201,8897
7206,8741
7210,8624
7206,8747
7198,8994
7219,4253
7206,8751
7210,8626
7198,8997
7201,8909
6942,8746
7201,8915
7201,8914
7232,3857
7219,4259
7201,8916
3237,8925
7261,7062
7201,8921
7201,8920
7206,8772
7211,8617
7206,8771
7249,3342
7207,8740
7201,8925
7203,8862
7600,8847
7207,8746
7204,8839
7220,4253
7206,8782
7201,8936
7234,3824
7201,8943
7198,9034
7201,8940
7261,7087
7198,9038
7220,4259
7206,8794
3238,8925
7206,8803
7210,8684
8789,8888
7206,8805
7212,8626
7201,8967
7206,8810
7242,3598
7201,8970
7201,8969
7212,8628
8789,8898
7201,8975
7201,8972
7212,8635
7201,8980
7211,8677
7201,8987
7211,8676
6138,13266
7201,8984
7208,8767
4158,9113
7249,3410
7201,8994
7206,8839
7212,8653
8254,9122
7212,8652
7206,8837
7206,8844
7201,9003
7212,8661
7202,8969
7206,8845
7213,8635
3812,3471
7210,8740
7211,8707
7206,8867
7201,9020
7210,8748
7249,3442
7210,8746
7212,8684
7204,8938
7210,8751
7208,8812
8399,8752
7211,8718
7206,8873
7201,9035
3813,3471
7206,8883
7201,9038
7208,8820
7201,9036
7208,8825
7199,9103
7206,8885
8263,8893
7206,8890
7211,8740
7210,8771
7206,8893
7206,8900
7249,3471
7206,8899
7206,8898
7212,8718
7201,9057
7211,8746
3896,9113
7212,8722
7206,8908
7224,4253
7215,8628
7206,8905
7238,3824
7210,8786
7594,13266
7206,8909
7215,8637
7215,8635
7211,8758
7215,8639
7201,9073
7200,9103
7210,8800
7215,8643
7211,8767
7206,8921
7206,8928
7212,8740
7215,8647
7206,8925
7212,8746
7215,8653
7249,3502
7201,9084
8398,8840
7215,8657
7212,8748
7206,8934
7215,8661
7212,8751
7215,8664
7206,8943
7201,9103
8789,9020
7269,6997
7215,8677
7215,8676
7211,8800
7215,8675
7217,8612
7211,8805
7217,8617
7212,8771
7215,8685
7215,8684
7212,8782
7217,8626
7217,8624
7216,8655
7206,8965
7212,8786
7211,8817
7206,8970
7215,8691
7206,8969
7207,8938
7217,8628
7217,8635
7738,8867
7206,8980
7217,8639
7217,8637
7215,8699
7208,8916
7206,8984
7217,8643
7214,8740
7217,8647
7206,8987
8028,3985
7210,8862
7212,8800
7215,8707
7212,8805
7217,8655
7215,8716
7217,8653
7206,8994
7215,8715
7217,8652
7217,8657
7215,8718
7206,9003
7217,8661
7215,8723
7215,8722
7212,8820
7210,8881
7217,8664
7215,8733
7217,8671
7203,9103
7217,8675
7219,8612
7217,8673
7215,8741
7219,8617
7206,9020
7215,8740
7206,9019
7217,8677
7217,8676
7215,8738
7217,8687
6939,9113
7215,8748
7219,8624
7217,8685
7215,8747
7212,8840
7217,8684
7217,8691
7219,8628
206,8943
7261,3228
7219,8626
7206,9029
7206,9036
7206,9035
7215,8754
7217,8699
7219,8637
7215,8761
7219,8635
7215,8758
7216,8733
7219,8639
7217,8707
7215,8768
7215,8767
7219,8643
7614,8685
7215,8773
7215,8772
7216,8740
7215,8771
7216,8746
7217,8715
7219,8653
7254,3471
7219,8652
7212,8867
7210,8936
7217,8718
3767,13266
7219,8655
7217,8716
7219,8661
7217,8723
7217,8722
7210,8938
7249,3633
8142,8718
7215,8782
7219,8664
7210,8943
7215,8786
7211,8916
7242,3857
7219,8673
7217,8734
7219,8671
7217,8733
7215,8794
7206,9073
7211,8925
7219,8677
7219,8676
7215,8800
7217,8738
7219,8675
7242,3866
7215,8805
7215,8803
7217,8741
7217,8740
7217,8747
7219,8685
7219,8684
7217,8746
7212,8900
7217,8751
7215,8812
7219,8687
7217,8748
7215,8817
7220,8661
7217,8754
7217,8752
7217,8758
7215,8825
7217,8761
7212,8916
7215,8829
7217,8767
7217,8771
7212,8925
7219,8707
7217,8768
7215,8837
7215,8836
7276,6943
7210,8989
7217,8772
7252,3598
8269,8936
7219,8716
7215,8840
7219,8715
7215,8839
7210,8994
7215,8845
7212,8938
7215,8844
7217,8782
6018,9088
7212,8936
7219,8718
7210,8997
