sport_1,sport_2
87,7165
89,7104
6694,7151
4458,2737
89,7107
6694,7149
1054,1769
89,7110
89,7112
13343,14034
87,7178
6694,7162
87,7180
89,7119
6694,7161
88,7151
6694,7167
89,7122
6694,7166
6694,7165
6694,7172
4723,2737
6694,7170
90,7095
89,7126
6694,7176
6694,7175
90,7099
6694,7173
90,7101
6694,7180
89,7135
6694,7184
89,7137
6694,7182
90,7110
6694,7186
90,7112
90,7113
89,7145
90,7117
4988,2737
89,7149
90,7119
89,7151
90,7122
149,13486
90,7124
90,7126
90,7128
12681,1825
89,7161
89,7162
89,7165
90,7135
89,7166
89,7168
90,7137
90,7140
89,7172
89,7175
90,7144
90,7145
7103,2737
89,7178
89,7180
90,7149
90,7151
4989,2737
89,7184
90,7154
89,7186
5946,14034
90,7156
89,7188
90,7161
92,7099
90,7162
90,7163
92,7101
90,7165
90,7166
90,7170
90,7171
90,7172
92,7110
90,7173
90,7174
92,7112
92,7113
90,7175
92,7115
90,7178
90,7180
12949,1769
92,7119
91,7151
90,7182
4990,2737
92,7122
90,7184
151,13486
90,7186
7098,2931
90,7187
90,7188
92,7128
91,7165
92,7135
91,7166
92,7136
92,7137
12948,1825
92,7140
92,7144
91,7175
6700,7097
92,7145
6700,7095
6700,7101
92,7149
7105,2737
12950,1769
6700,7099
92,7151
92,7154
6700,7110
92,7156
4727,2737
6700,7107
6700,7113
92,7161
6700,7112
92,7162
92,7163
92,7165
92,7166
6700,7115
92,7168
92,7170
92,7171
6700,7126
92,7172
3,1739
13348,14034
6700,7124
92,7173
92,7174
92,7175
6700,7128
92,7178
92,7180
92,7182
92,7184
92,7186
6700,7135
95,7095
92,7188
6700,7140
95,7097
7100,2931
95,7099
6700,7145
95,7101
6700,7149
95,7104
6700,7148
6700,7154
3,1769
6700,7151
95,7110
6702,7095
95,7112
6700,7156
95,7113
94,7144
7138,1769
6700,7162
7931,1769
6700,7161
95,7117
6700,7166
95,7119
6700,7165
94,7151
6700,7170
6702,7107
95,7124
6700,7168
6700,7167
6702,7112
6700,7174
6700,7172
95,7128
4729,2737
6700,7178
6702,7115
6700,7176
6700,7175
6702,7113
6700,7182
95,7135
95,7136
6700,7180
95,7137
6702,7117
6700,7186
95,7140
6700,7184
5,1739
6702,7126
95,7144
95,7145
95,7149
95,7151
6702,7135
4994,2737
6702,7140
96,7124
533,1769
6702,7144
4730,2737
95,7161
12822,14034
95,7162
6702,7148
97,7101
6702,7145
95,7165
95,7166
6702,7151
95,7168
6702,7149
95,7170
97,7110
6702,7154
95,7172
95,7173
96,7144
95,7175
95,7178
6702,7162
95,7180
7109,2737
96,7151
95,7182
95,7184
6702,7166
6702,7165
97,7124
95,7187
7103,2931
6702,7180
6702,7178
96,7165
97,7137
12395,2737
7142,1739
97,7144
97,7145
4996,2737
97,7149
96,7180
6705,7101
97,7151
6705,7107
13047,7117
97,7156
4732,2737
6705,7110
97,7161
6705,7113
97,7162
6705,7112
4468,2737
97,7165
6705,7117
13220,1769
6704,7151
97,7174
7143,1739
97,7175
7142,1769
7111,2737
6705,7135
97,7180
13353,14034
98,7151
7105,2931
6705,7140
7763,7110
6705,7145
6705,7151
6705,7149
6705,7148
7143,1769
6705,7162
99,7151
6705,7166
6705,7165
13049,7117
6705,7175
6705,7172
13090,14034
6705,7176
99,7165
12785,7117
100,7137
4470,2737
6705,7180
6705,7186
6705,7184
100,7149
100,7151
12827,14034
11,1739
100,7173
12957,1825
102,7113
12399,2737
5000,2737
100,7180
101,7151
161,13486
102,7135
12,1739
13357,14034
7147,1739
102,7151
7109,2931
162,13487
104,7095
104,7099
102,7162
102,7165
102,7170
12,1769
13,1739
104,7110
104,7112
12401,2737
102,7180
104,7119
103,7151
5002,2737
104,7122
104,7124
102,7186
13317,7117
4738,2737
12830,14034
103,7165
104,7137
4474,2737
104,7140
14,1739
103,7173
14281,1825
104,7144
104,7145
5003,2737
5827,1769
104,7149
104,7151
104,7154
104,7156
7111,2931
104,7162
104,7163
4475,2737
104,7165
12698,1769
104,7166
104,7173
104,7174
106,7112
105,7144
104,7176
105,7145
104,7178
104,7180
104,7182
105,7151
104,7186
105,7162
105,7165
106,7145
105,7180
106,7154
108,7095
108,7097
4741,2737
106,7161
106,7162
7648,2737
106,7165
108,7104
107,7137
108,7107
12405,2737
12963,1825
108,7110
17,1739
106,7173
108,7112
106,7175
108,7113
108,7115
106,7180
108,7119
5006,2737
108,7122
108,7124
108,7126
108,7128
109,7099
107,7162
109,7101
108,7135
108,7137
109,7107
108,7140
12406,2737
109,7110
18,1739
107,7173
109,7112
109,7113
108,7144
108,7145
109,7115
108,7148
5007,2737
8078,14034
108,7149
7121,2737
109,7119
108,7151
108,7154
109,7124
108,7156
110,7095
109,7126
110,7097
110,7099
108,7161
108,7162
110,7101
108,7163
4479,2737
108,7165
110,7104
108,7166
109,7135
109,7136
108,7168
109,7137
12671,2737
110,7107
108,7170
109,7140
108,7171
108,7172
110,7110
108,7173
108,7174
110,7112
109,7144
108,7175
110,7113
109,7145
110,7115
108,7178
109,7148
109,7149
108,7180
110,7119
108,7182
109,7151
110,7122
6716,7137
108,7184
110,7124
6716,7135
108,7186
109,7156
4744,2737
110,7126
108,7188
110,7128
111,7099
6717,7113
109,7162
109,7163
4480,2737
109,7165
110,7135
109,7166
110,7137
6716,7151
20,1739
111,7110
111,7112
7155,1739
110,7144
6716,7162
110,7145
110,7148
12408,2737
110,7149
109,7180
6717,7135
111,7119
6716,7165
110,7151
5009,2737
111,7122
110,7154
170,13486
111,7124
170,13487
110,7156
111,7126
4745,2737
110,7161
110,7162
110,7165
6717,7151
110,7166
110,7167
111,7137
110,7168
4481,2737
7155,1769
110,7170
13231,1825
111,7140
110,7171
21,1739
110,7172
12673,2737
110,7173
110,7174
110,7175
111,7144
110,7176
111,7145
12409,2737
6717,7162
110,7178
111,7148
110,7180
111,7149
110,7182
111,7151
6717,7165
110,7184
171,13486
111,7154
171,13487
110,7186
7118,2931
111,7156
110,7188
111,7161
111,7162
111,7165
6717,7180
111,7170
111,7171
6717,7186
12674,2737
111,7173
111,7175
12410,2737
111,7180
112,7151
12675,2737
114,7099
114,7101
7155,1825
23,1739
114,7110
112,7173
114,7112
112,7180
114,7119
114,7124
7120,2931
4484,2737
24,1739
114,7144
114,7145
114,7149
114,7151
7121,2931
114,7156
7159,1761
114,7162
116,7101
114,7165
116,7110
114,7173
116,7112
114,7180
116,7119
115,7151
175,13486
116,7124
117,7095
117,7097
117,7099
117,7101
12678,2737
117,7104
116,7135
116,7137
4486,2737
117,7107
12842,14034
26,1739
117,7110
117,7112
117,7113
116,7144
117,7115
117,7117
116,7148
5015,2737
7129,2737
117,7119
116,7151
117,7122
176,13486
117,7124
176,13487
118,7095
117,7126
7123,2931
117,7128
118,7097
118,7099
116,7162
118,7101
116,7165
117,7135
117,7136
117,7137
12679,2737
118,7107
117,7140
27,1739
118,7110
118,7112
118,7113
117,7144
117,7145
12415,2737
116,7178
117,7148
5016,2737
116,7180
117,7149
118,7119
117,7151
118,7122
117,7154
12315,14034
118,7124
117,7156
4752,2737
118,7126
117,7161
117,7162
117,7163
4488,2737
117,7165
117,7166
118,7135
117,7167
118,7136
118,7137
117,7168
117,7170
117,7171
118,7140
117,7172
117,7173
117,7174
117,7175
118,7144
118,7145
117,7176
7131,2737
117,7178
118,7148
117,7180
118,7149
117,7182
118,7151
117,7184
7125,2931
118,7154
178,13486
117,7186
117,7187
118,7156
117,7188
4753,2737
118,7161
118,7162
6725,7144
6725,7151
118,7165
118,7166
118,7168
118,7170
118,7171
118,7172
118,7173
120,7112
118,7175
118,7176
118,7178
118,7180
118,7182
118,7184
179,13486
118,7186
179,13487
6725,7173
4754,2737
6636,1739
4490,2737
6725,7180
7164,1769
12418,2737
11919,1825
120,7151
4755,2737
4491,2737
12419,2737
31,1739
121,7145
823,1769
5020,2737
121,7151
181,13486
121,7162
7827,14034
121,7165
121,7166
121,7171
121,7173
121,7180
122,7151
5021,2737
7129,2931
12716,1769
182,13486
6639,1739
122,7165
33,1739
823,1825
122,7178
122,7180
123,7151
7130,2931
4758,2737
4494,2737
34,1739
5023,2737
123,7180
12982,1769
7961,1769
124,7151
4759,2737
126,7095
7131,2931
126,7097
126,7099
126,7101
124,7166
126,7104
126,7107
126,7110
35,1739
126,7112
126,7113
126,7115
124,7178
126,7117
124,7180
126,7119
126,7122
12983,1769
126,7124
127,7095
126,7126
6642,1739
127,7097
126,7128
7667,2737
127,7099
127,7101
4496,2737
127,7104
126,7135
126,7136
126,7137
8227,1769
127,7107
126,7140
36,1739
127,7110
127,7112
7961,1825
127,7113
126,7144
126,7145
6734,7099
127,7115
126,7148
127,7117
126,7149
127,7119
126,7151
5025,2737
127,7122
186,13486
126,7154
127,7124
186,13487
126,7156
127,7126
127,7128
6643,1739
6642,1769
126,7161
126,7162
126,7163
126,7165
127,7135
6734,7119
126,7166
126,7167
127,7136
127,7137
4497,2737
126,7170
126,7171
127,7140
37,1739
126,7172
126,7173
126,7174
128,7113
126,7175
127,7144
126,7176
127,7145
12425,2737
126,7178
127,7148
127,7149
126,7180
128,7119
126,7182
127,7151
126,7184
127,7154
126,7186
128,7124
126,7187
127,7156
6734,7144
4762,2737
127,7161
127,7162
6734,7145
127,7165
128,7135
127,7166
6734,7151
127,7167
127,7168
4498,2737
127,7170
127,7171
127,7172
127,7173
127,7175
128,7144
128,7145
127,7176
127,7178
127,7180
6734,7162
128,7149
128,7151
127,7184
6734,7166
6734,7165
127,7186
6645,1739
127,7187
4763,2737
127,7188
7934,2737
6734,7175
6734,7173
128,7162
6734,7180
128,7165
128,7173
5028,2737
128,7180
129,7151
7142,2737
4764,2737
129,7161
4500,2737
129,7165
131,7112
7143,2737
130,7151
190,13486
190,13487
132,7095
132,7097
6647,1739
132,7099
132,7104
132,7107
5679,7185
41,1739
132,7110
132,7112
130,7180
132,7119
131,7151
132,7122
6647,1769
7138,2931
132,7126
131,7165
132,7137
131,7172
42,1739
131,7173
132,7145
131,7180
132,7151
14280,2737
131,7184
4767,2737
7139,2931
132,7161
132,7162
8232,1825
132,7165
132,7166
133,7137
132,7168
132,7170
5296,2737
132,7172
132,7173
132,7175
133,7145
12431,2737
132,7178
132,7180
133,7151
132,7184
4768,2737
132,7188
12860,14034
135,7099
133,7162
133,7165
135,7104
135,7110
133,7173
135,7112
7179,1739
12990,1825
135,7113
12,2737
12432,2737
135,7119
134,7151
135,7122
13117,14278
7707,1769
7940,2737
135,7124
7676,2737
134,7165
135,7135
135,7136
7179,1769
135,7144
135,7145
12433,2737
135,7148
135,7149
135,7151
13126,14034
135,7154
7142,2931
4770,2737
6652,1739
135,7161
135,7162
135,7165
135,7166
136,7137
4506,2737
137,7107
135,7171
135,7172
135,7173
135,7174
136,7144
135,7178
14,2737
5035,2737
135,7180
137,7119
136,7151
135,7184
135,7186
8106,14034
135,7188
7143,2931
136,7162
7179,1825
136,7165
137,7135
136,7173
136,7180
137,7151
6744,7136
4772,2737
137,7161
137,7165
137,7173
137,7180
138,7151
5037,2737
137,7184
6744,7171
4773,2737
140,7099
138,7162
140,7104
4509,2737
8373,14034
140,7110
49,1739
140,7112
6746,7136
6746,7135
