basic_title_1,basic_title_2
9700,13514
8511,13509
11153,13523
13532,13511
13532,13512
187,13511
10691,13514
187,13512
55,13509
121,13511
8181,13512
5142,13509
10229,13514
5142,13510
8181,13511
10361,13514
5142,13519
5208,13521
10229,13523
5208,13529
13599,13509
7587,13511
188,13511
5209,13510
5143,13509
188,13512
122,13511
122,13512
8512,13514
5209,13509
56,13511
9239,13514
13599,13525
5143,13510
7587,13529
10362,13514
5209,13519
5143,13518
7587,13530
5143,13519
10957,13514
6729,13511
10891,13515
6729,13518
10429,13514
5144,13509
5144,13510
123,13511
6729,13525
8513,13514
57,13511
57,13512
6729,13530
10429,13523
12933,13719
123,13524
5144,13519
9901,13514
5210,13521
8381,13531
6664,13512
5210,13529
6664,13511
190,13511
5343,13511
190,13512
124,13511
190,13513
5145,13510
124,13512
8514,13514
58,13511
11487,13512
5145,13509
11487,13524
11157,13514
5145,13519
5343,13522
8514,13523
190,13524
190,13527
7920,13511
5145,13529
8250,13529
7920,13530
125,13509
8515,13514
125,13512
59,13511
59,13512
4155,13511
59,13513
11224,13514
59,13524
6666,13512
59,13527
6666,13511
9573,13509
9573,13510
126,13510
126,13511
126,13512
60,13511
4156,13511
9573,13518
8318,13512
10102,13514
192,13527
13405,13530
127,13511
61,13509
127,13513
61,13512
61,13513
10499,13514
61,13515
127,13520
13406,13521
61,13521
6734,13512
61,13525
6734,13511
61,13527
5148,13529
6668,13512
