role_1,role_2
8740,7224
3775,13679
8210,7272
8740,7219
8740,7220
8741,7191
8741,7201
8740,7232
8211,7249
7684,7201
8741,7198
8740,7235
7684,7210
8740,7237
8741,7206
8740,7247
8741,7217
8740,7249
8741,7219
3985,7198
7684,7215
8741,7215
8211,7261
12761,13679
3985,7201
8741,7220
9589,13703
8740,7254
10647,13684
8740,7259
7684,7234
3985,7215
3985,7212
8740,7261
8740,7272
3985,7219
814,7215
3985,7217
7684,7242
8740,7267
7684,7241
8740,7269
8741,7249
3457,7215
8740,7277
7684,7247
6100,7206
8741,7259
6100,7210
8740,7284
7684,7262
6100,7212
8741,7267
3457,7231
8741,7262
3985,7249
6100,7219
3457,7241
7686,7215
7684,7277
3985,7259
8744,7189
3457,7242
7686,7219
3985,7261
814,7261
6100,7249
7684,7297
8215,7215
1345,7198
8744,7212
1345,7201
13292,13679
814,7279
7686,7242
8744,7210
1345,7209
6100,7259
1345,7212
3457,7279
10121,13683
9598,13511
1345,7215
1345,7217
3457,7284
10121,13700
1345,7226
11707,13683
3457,7295
1345,7230
8746,7191
3989,7203
1345,7249
8746,7200
8744,7256
8746,7207
8746,7201
10128,13511
8746,7203
8746,7216
8746,7210
8746,7211
8746,7212
5575,7217
8746,7217
8746,7219
8746,7220
8746,7232
8746,7225
8747,7206
8746,7237
8744,7300
8744,7295
3989,7249
8747,7215
8747,7217
8746,7242
3989,7270
8748,7201
8746,7259
8748,7198
8746,7270
8748,7210
8746,7267
8748,7215
11716,13511
8748,7217
8747,7249
8748,7212
13296,13679
8748,7219
11711,13684
12768,13679
8747,7261
8746,7301
3255,13679
8748,7249
8749,7219
3464,7212
11712,13684
8748,7261
8751,7196
3463,7283
8751,7191
8751,7193
8751,7198
10133,13511
8751,7201
8751,7210
8751,7212
8751,7206
8751,7219
8751,7217
8751,7226
8751,7227
8751,7229
8751,7234
8751,7236
8751,7231
8752,7201
8749,7295
8751,7233
8751,7242
12777,13511
3996,7191
8752,7219
8751,7252
11714,13703
10663,13511
8752,7217
8751,7249
8751,7259
8751,7261
8751,7257
8751,7267
8751,7268
11192,13511
8751,7277
5582,7211
8751,7270
8751,7273
8752,7242
8751,7285
10130,13684
8752,7249
8754,7198
8752,7261
8754,7201
11716,13683
8751,7306
8754,7215
3996,7252
9608,13511
8754,7217
5582,7249
8754,7219
8226,7215
3996,7268
8226,7212
8226,7219
8754,7249
3794,13562
3471,7200
8226,7249
8756,7206
8226,7261
8754,7285
4000,7201
3471,7220
10139,13511
3471,7224
4000,7217
3471,7232
8229,7201
8756,7249
8226,7303
3471,7249
8758,7201
4000,7242
3471,7254
8229,7217
8229,7219
6115,7217
8758,7198
3471,7261
4000,7249
7701,7206
8758,7211
3471,7267
4000,7251
8756,7270
10134,13703
9612,13511
8758,7217
8758,7219
8758,7220
4000,7261
3793,13679
10669,13511
8758,7215
7701,7217
8758,7224
3471,7284
6115,7249
8758,7242
1360,7205
8758,7249
1360,7212
7701,7249
8758,7259
1360,7217
10665,13684
7701,7261
1360,7227
11199,13511
8758,7261
3475,7198
1360,7231
1360,7235
1360,7241
3475,7212
10671,13511
6115,7295
8229,7294
6115,7294
8229,7295
8758,7285
6115,7303
1360,7253
7701,7295
8233,7189
8761,7201
7701,7303
8233,7198
8761,7215
3476,7212
8233,7207
8761,7217
8761,7219
8233,7212
8233,7214
8233,7215
8233,7208
4005,7210
6119,7212
8233,7210
8233,7211
4005,7212
1360,7291
1360,7294
8233,7219
1360,7295
1360,7297
10673,13511
8761,7249
8761,7261
12782,13679
7706,7198
8233,7249
10674,13511
3475,7303
3274,13562
10675,13511
8233,7294
8233,7295
11198,13683
8233,7300
8233,7303
7706,7249
8236,7203
8236,7215
6119,7303
8236,7212
7706,7261
10676,13511
8236,7249
7706,7303
8765,7249
9615,13683
8767,7203
8765,7263
11206,13511
8767,7201
1368,7198
8767,7211
8767,7208
8767,7219
11735,13511
3802,13679
8767,7215
1368,7212
8767,7217
1368,7217
8767,7225
11207,13511
8768,7201
1368,7230
13316,13679
8768,7219
8768,7215
11736,13511
312,7212
8768,7217
8767,7249
4012,7203
12788,13679
1368,7249
8767,7261
11730,13707
4012,7214
4012,7211
4012,7212
4012,7215
312,7230
4012,7219
4012,7220
4012,7234
8768,7249
8770,7198
8768,7261
4012,7242
4012,7249
9618,13684
13318,13679
8770,7211
4012,7261
4014,7198
8771,7198
8771,7201
4014,7211
8771,7206
7714,7212
8771,7215
4012,7284
8771,7217
8771,7210
8771,7212
4012,7294
9095,13563
4012,7291
8771,7225
8771,7219
8770,7261
8770,7259
8243,7212
4014,7249
8772,7206
8772,7215
8772,7217
8771,7249
13320,13679
8772,7219
5600,7261
8771,7259
8771,7261
13321,13679
8772,7249
8773,7219
8773,7215
4337,13679
8772,7261
7189,7191
7189,7190
7189,7194
7189,7193
7189,7192
7189,7199
7189,7198
8773,7249
7189,7203
7189,7201
7189,7200
7189,7207
7189,7206
8246,7212
7189,7211
7189,7210
7189,7208
7189,7215
8246,7217
7189,7214
7189,7213
8246,7219
7189,7212
7189,7219
7189,7218
8773,7261
7189,7217
10157,13511
11214,13511
7189,7223
7190,7191
7189,7222
7189,7221
7190,7189
7189,7220
7189,7226
7190,7194
7190,7193
7189,7224
7190,7200
7189,7231
7190,7199
7190,7198
7189,7229
7189,7234
7190,7201
7189,7232
8246,7242
7189,7237
7190,7206
12795,13679
7190,7212
7189,7242
7190,7210
7189,7240
8246,7249
7189,7247
7190,7215
7189,7245
7191,7189
7190,7220
7190,7219
7189,7249
8246,7247
7190,7217
3282,13679
7191,7193
7190,7224
7191,7192
7190,7223
7190,7221
7191,7190
7189,7259
7191,7196
7191,7195
7191,7194
7191,7201
7191,7200
7191,7199
7189,7261
7191,7198
7189,7267
7191,7205
7189,7266
7191,7204
7191,7203
7191,7209
7191,7208
7189,7269
7191,7207
7189,7268
7190,7237
7191,7206
7191,7213
7191,7212
13853,13679
7189,7274
7191,7211
7190,7242
7191,7210
7191,7217
7189,7278
7190,7246
7189,7277
7191,7215
7190,7245
7191,7221
7190,7252
7191,7220
4019,7249
7192,7189
7191,7219
7190,7249
7189,7287
7191,7225
7191,7224
7192,7193
7191,7223
7191,7222
7192,7191
7189,7284
7192,7198
7191,7229
7191,7228
7190,7259
7190,7257
7191,7233
7189,7295
7191,7232
7192,7201
7191,7231
7189,7293
7190,7261
7191,7230
7192,7199
7190,7268
7191,7237
7190,7267
8246,7294
7191,7236
7189,7297
7191,7235
7192,7203
7191,7234
7192,7210
7189,7303
7190,7271
7192,7209
7191,7240
7192,7208
1378,7219
7189,7300
7191,7245
7192,7214
7191,7243
7192,7212
8246,7303
7192,7211
7191,7242
7191,7249
7192,7217
7190,7278
7191,7247
7192,7215
7191,7253
7193,7191
7192,7222
7191,7252
7193,7190
7190,7283
7191,7251
7193,7189
7192,7220
7192,7219
7191,7250
7191,7257
7193,7194
7190,7287
7191,7256
7192,7225
7191,7255
7192,7224
7191,7254
7193,7192
7191,7261
7193,7198
7191,7259
7193,7196
7192,7227
7193,7203
7191,7265
7193,7202
7193,7201
7191,7262
7191,7269
7193,7207
7193,7206
7191,7268
7190,7299
7191,7267
7193,7205
7191,7266
7193,7204
7191,7273
7193,7211
7192,7242
7190,7303
7193,7210
7191,7271
10161,13511
7191,7270
7193,7208
7191,7277
7193,7215
7193,7214
7192,7245
7193,7212
7193,7219
7191,7281
7193,7218
7191,7280
7192,7249
7193,7217
7193,7216
7191,7278
7192,7247
7193,7222
7191,7284
7194,7191
10684,13683
7194,7190
7193,7221
9627,13684
7191,7283
7193,7220
7194,7189
7191,7282
7193,7226
7191,7287
7193,7225
7194,7193
7193,7224
7191,7286
7193,7231
7194,7200
7194,7199
7193,7230
7192,7261
7191,7292
7194,7198
7191,7291
7193,7228
13327,13679
7192,7259
7192,7266
7193,7234
7194,7203
7193,7233
7191,7295
7194,7202
7193,7232
7194,7201
7191,7294
7191,7301
7194,7208
7193,7238
7194,7207
7191,7300
7192,7269
7191,7299
7194,7206
7193,7237
7192,7267
7191,7298
7193,7236
7194,7212
7191,7305
7194,7211
7193,7242
7194,7210
7191,7303
7193,7247
7194,7215
7193,7246
7192,7277
7192,7276
7193,7245
7194,7220
7194,7219
7193,7249
7194,7217
4343,13679
7194,7224
7193,7254
7194,7223
7194,7222
7193,7253
7195,7191
7194,7221
7193,7252
7193,7259
7195,7196
7193,7257
7193,7256
7194,7232
7195,7201
7192,7294
7194,7231
7193,7262
8780,7212
7193,7261
7195,7199
7195,7198
7193,7267
7193,7266
7194,7234
7195,7202
7192,7295
7193,7271
7193,7270
7195,7208
7194,7239
7194,7238
7193,7268
7194,7237
13538,7191
7194,7242
7193,7273
7193,7272
7192,7303
7193,7277
7194,7246
7194,7245
7193,7283
7195,7220
7193,7282
13538,7200
7195,7219
7194,7250
7194,7249
13538,7198
7193,7280
1173,13679
7196,7193
7195,7224
7193,7286
7193,7285
7193,7284
7196,7191
7194,7253
7196,7198
7193,7291
7196,7197
7193,7290
7194,7259
10692,13511
7193,7289
7193,7288
7196,7195
7196,7202
13538,7203
7193,7295
7196,7201
7195,7232
7193,7294
7194,7262
11749,13511
7196,7199
7194,7261
7193,7292
7193,7299
7194,7268
7196,7206
13538,7215
7194,7267
13538,7216
6139,7203
7196,7203
7194,7265
7196,7210
13538,7211
7193,7303
7194,7271
7193,7302
13538,7212
7196,7208
7196,7207
7194,7269
13538,7210
7196,7214
8782,7201
6139,7212
7196,7212
7193,7305
6139,7211
13538,7221
7196,7211
7193,7304
7195,7242
7195,7249
13538,7219
7196,7217
11733,14020
13538,7220
8782,7198
7194,7278
6139,7215
7196,7215
7194,7277
7194,7284
3494,7294
13538,7231
7194,7283
13538,7232
7196,7220
7196,7219
13538,7230
7194,7281
8782,7212
7194,7288
7195,7257
7194,7287
8782,7206
7196,7224
7196,7230
11216,13684
13538,7239
8782,7217
7197,7198
7196,7228
8782,7219
7196,7227
7197,7196
7197,7203
7197,7202
7196,7233
8254,7198
13538,7236
7194,7295
7197,7201
7196,7232
7194,7294
8782,7215
7725,7217
7196,7231
7194,7293
7197,7207
7196,7237
8254,7210
7194,7299
7195,7268
7195,7267
13538,7245
8254,7212
7196,7242
7197,7211
7197,7210
7194,7303
8254,7206
7194,7301
7197,7215
7196,7246
4026,7211
13538,7255
7196,7245
8254,7219
7197,7212
7194,7305
7196,7243
6139,7242
7197,7219
6139,7249
13538,7251
7196,7249
7726,7203
13538,7249
7196,7247
11222,13511
7198,7192
7196,7253
7198,7191
7195,7284
7196,7252
7198,7190
7726,7206
7197,7220
7198,7189
7198,7196
13538,7259
7726,7212
7198,7195
7196,7256
7197,7225
7198,7194
7197,7224
7198,7193
7198,7200
8782,7249
6139,7261
7197,7230
7196,7261
7195,7292
7196,7259
7198,7197
13538,7267
7198,7203
7726,7219
7198,7202
7196,7264
13538,7265
7195,7295
7197,7232
7198,7201
10694,13511
7195,7294
7198,7208
7197,7238
7198,7207
7196,7269
13538,7280
7196,7268
7198,7206
7196,7267
7198,7205
7198,7212
7197,7242
7198,7211
7196,7273
7198,7210
7195,7303
7196,7271
7198,7209
7198,7216
8254,7249
7198,7215
7196,7277
7198,7214
7198,7213
13538,7286
7198,7220
7199,7189
8782,7261
7198,7219
13538,7284
7197,7249
8254,7247
7198,7217
7198,7224
13538,7295
7199,7192
7198,7223
7198,7222
7199,7191
4026,7249
7199,7190
13538,7294
7198,7221
7197,7259
7198,7228
7196,7290
7199,7196
7196,7289
7198,7227
7198,7226
7199,7195
7198,7225
7199,7194
7198,7232
7199,7201
7196,7294
13538,7303
7199,7200
7198,7231
13538,7304
7198,7230
7197,7261
7196,7292
13538,7301
7198,7229
7196,7291
7197,7267
7198,7236
7198,7235
7198,7234
7198,7233
7726,7249
7198,7239
7197,7270
7198,7238
7196,7299
7198,7237
7198,7244
7199,7212
8254,7270
7198,7242
7199,7210
7198,7248
7198,7247
7725,7294
7199,7215
7198,7245
7199,7221
7200,7190
7198,7252
7199,7220
7200,7189
7198,7251
7198,7250
7198,7249
7200,7194
7198,7256
7199,7224
7198,7255
7198,7254
7199,7223
7726,7270
11753,13511
7200,7191
7198,7253
7200,7198
7198,7260
7198,7259
7198,7258
7198,7257
7198,7264
7199,7233
7199,7232
7200,7201
7198,7263
7198,7262
7199,7230
7198,7261
7200,7199
7198,7268
7199,7237
7200,7206
7198,7267
7198,7266
7200,7203
7198,7265
7200,7210
7198,7272
7198,7271
7198,7270
7200,7208
7198,7269
7200,7207
7198,7276
7199,7245
7200,7214
7198,7275
12805,13679
7200,7212
7198,7274
7200,7211
7199,7249
7198,7279
7200,7217
7198,7278
7198,7277
7200,7215
7201,7191
7198,7284
7729,7207
7200,7221
7201,7190
7200,7220
7201,7189
7198,7282
7200,7219
7198,7281
7201,7195
7201,7194
7200,7225
7201,7193
7200,7224
7198,7286
8786,7215
7201,7192
7200,7223
7198,7292
7201,7199
13334,13679
7201,7198
7198,7291
8786,7210
7201,7197
7198,7290
7201,7196
7729,7212
8786,7212
7201,7203
7198,7296
7199,7265
7729,7219
7201,7202
7198,7295
7198,7294
7200,7232
7200,7231
7201,7200
8787,7193
7198,7293
8786,7224
7201,7207
9640,13511
7198,7300
8786,7217
7200,7237
7201,7206
7198,7299
7199,7267
7201,7205
7201,7204
7198,7297
8786,7220
7201,7211
7200,7242
3825,13562
7198,7304
7201,7210
7198,7303
7198,7302
7201,7209
8786,7231
7201,7208
7200,7239
7201,7215
7200,7246
8787,7194
7198,7308
7201,7214
7200,7245
7201,7213
7201,7212
7198,7305
7201,7219
4350,13679
7200,7250
7200,7249
7201,7218
8787,7207
7201,7217
7201,7216
7199,7278
7200,7247
7198,7309
7201,7223
7201,7222
8787,7203
7199,7284
7201,7221
7201,7220
7202,7196
7201,7227
7202,7195
7201,7226
8787,7215
7199,7287
7201,7225
7202,7194
7201,7224
7202,7193
7201,7231
8787,7210
7200,7261
7199,7292
7201,7230
8787,7211
7202,7198
7201,7229
8787,7212
7201,7228
7202,7197
7200,7259
7200,7266
7201,7235
7202,7203
7201,7234
7200,7265
7201,7233
7199,7295
7729,7249
7202,7201
7201,7232
7201,7239
7202,7208
8786,7249
7201,7238
7200,7269
3502,7217
7201,7237
7202,7206
7200,7268
7200,7267
7201,7236
3502,7219
7202,7212
7201,7243
7201,7242
7202,7211
8787,7232
7202,7210
7201,7240
7200,7278
7201,7247
7202,7216
7201,7246
7202,7215
7200,7277
7201,7245
7202,7214
8786,7259
7729,7261
7202,7220
7203,7189
7202,7219
7201,7250
7200,7281
7201,7249
7202,7217
7201,7248
7203,7193
7202,7224
7201,7254
7203,7192
7200,7284
7201,7253
7203,7191
7201,7252
7203,7197
7201,7259
7203,7196
7201,7257
8787,7248
7201,7256
7200,7287
7202,7225
8787,7249
7203,7194
7203,7201
7202,7232
8787,7242
7200,7294
7201,7263
3502,7242
7201,7262
7200,7293
7203,7200
6144,7261
7201,7261
7203,7198
7201,7260
7200,7291
7201,7267
7203,7205
7201,7266
7201,7265
7200,7296
7201,7264
7203,7202
7200,7295
7201,7271
7203,7209
7201,7270
7200,7301
7203,7208
3502,7249
7201,7269
7203,7207
7202,7237
7201,7268
7203,7206
8787,7262
7201,7275
7203,7213
7203,7212
7201,7274
8789,7201
7201,7273
7203,7211
7202,7242
7201,7272
7203,7210
7200,7303
7203,7217
7201,7279
7203,7216
7201,7278
7202,7247
7203,7215
7201,7277
12808,13679
7203,7214
7201,7276
7200,7307
7201,7283
8261,7192
7203,7221
7203,7220
7201,7282
7203,7219
7201,7281
7202,7249
7201,7280
7203,7218
7201,7287
7203,7225
7203,7224
7204,7193
7201,7286
8787,7267
7202,7254
7201,7285
7203,7223
7201,7284
7203,7222
7204,7191
8261,7191
7201,7291
7203,7229
7203,7228
7201,7290
7202,7259
8789,7217
7201,7289
7203,7227
7202,7257
7201,7288
7203,7226
7203,7233
7202,7264
7201,7295
7204,7201
7201,7294
7203,7232
8261,7198
7201,7293
7203,7231
11757,13511
7201,7292
7203,7230
8787,7277
7203,7237
7204,7205
7202,7267
7203,7236
7203,7235
7201,7297
7202,7266
12254,14497
7201,7296
8261,7211
7203,7234
7202,7272
7201,7303
7203,7241
7201,7302
7201,7301
7203,7239
7203,7238
7201,7300
7202,7269
7203,7245
7203,7244
7733,7198
7204,7212
7201,7305
7203,7242
8787,7297
8261,7219
10695,13684
7201,7304
7203,7249
7201,7309
7203,7247
7204,7215
7203,7246
8261,7215
7203,7253
7205,7191
8787,7303
7203,7252
7203,7251
7204,7220
7204,7219
7203,7250
7733,7210
7204,7224
7202,7286
7205,7193
7203,7254
7203,7261
7205,7198
7203,7259
6146,7258
7733,7212
7203,7265
7205,7203
7733,7219
7203,7264
7202,7295
7205,7201
7204,7232
10701,13511
7202,7294
7203,7263
7203,7262
7203,7269
7203,7268
7205,7206
7203,7267
7203,7266
7205,7204
7205,7211
7204,7242
7203,7272
7205,7210
7202,7303
7203,7271
7203,7270
7205,7215
7203,7277
7203,7276
7203,7275
7733,7229
7205,7212
7203,7281
7204,7250
7205,7218
7204,7249
7205,7217
7203,7279
7203,7278
7206,7191
7203,7284
7206,7190
7205,7221
7206,7189
7733,7236
13339,13679
7203,7282
7203,7289
7206,7196
7205,7227
7203,7288
7733,7242
7205,7226
7206,7194
7206,7193
7203,7286
7206,7200
7733,7247
7205,7231
7203,7293
8263,7203
7206,7198
7203,7291
7205,7229
7203,7290
7205,7228
7203,7297
7206,7203
7733,7250
7206,7202
7203,7295
7206,7201
7203,7294
7206,7208
7203,7301
7206,7207
7203,7300
8261,7274
7203,7299
7206,7205
7205,7236
7206,7212
7733,7259
7203,7305
8263,7206
7205,7242
7206,7211
7203,7304
7206,7210
7205,7241
7203,7303
7205,7240
7203,7302
7206,7216
7206,7215
7203,7308
7206,7214
7203,7307
7206,7213
7206,7220
8261,7276
7207,7189
7206,7219
7204,7280
7205,7249
8789,7294
7206,7217
8789,7295
10174,13511
7205,7248
7207,7193
7206,7224
7204,7285
8792,7212
7205,7253
7206,7222
7207,7191
7205,7252
7207,7197
7207,7196
8261,7286
7207,7194
7206,7225
7206,7232
7207,7201
7204,7294
7206,7231
7207,7200
7205,7261
7206,7229
7207,7198
7207,7203
9646,13511
7206,7233
7204,7295
7207,7208
7205,7269
7207,7206
7205,7268
7206,7244
7206,7243
7207,7212
7206,7242
7207,7211
7205,7273
7207,7210
8261,7303
7204,7303
7207,7217
7206,7246
7207,7215
3508,7198
7207,7214
7207,7221
7207,7220
11232,13511
7205,7282
7208,7189
7207,7219
7205,7281
7206,7249
8263,7249
7733,7303
7208,7194
7207,7224
7208,7193
7206,7254
7208,7192
7208,7191
7206,7253
7208,7198
7207,7229
7206,7259
7207,7228
7208,7196
7207,7226
7208,7195
3508,7212
7208,7202
7205,7295
7208,7201
7207,7232
7205,7294
7206,7262
7207,7231
7208,7200
8794,7191
7206,7261
7207,7230
7206,7268
7208,7206
7206,7267
7207,7236
9647,13511
7206,7266
7207,7235
7205,7297
7207,7234
7208,7203
7208,7210
7205,7303
7208,7209
7206,7270
7207,7239
7208,7207
7206,7269
7207,7245
7208,7214
8794,7193
7208,7213
7206,7275
7208,7212
7207,7242
7208,7211
7207,7249
7208,7217
8794,7206
7207,7247
7208,7215
7208,7222
7209,7191
7207,7252
10176,13511
7206,7282
7207,7251
7208,7220
7208,7219
7206,7288
7208,7226
7208,7225
7208,7224
8794,7215
7209,7192
7207,7261
8266,7193
7209,7198
7208,7229
7207,7259
7208,7228
7206,7289
7209,7203
7206,7295
3509,7212
7208,7233
8266,7206
7209,7201
7207,7263
7207,7262
7208,7231
7207,7269
10171,13683
8794,7217
7207,7268
7208,7237
7207,7267
3509,7219
8266,7203
8794,7219
7208,7235
7207,7273
7208,7242
7209,7211
7209,7210
7206,7303
7207,7271
7208,7240
7209,7208
7208,7239
7209,7215
7207,7277
7207,7276
7208,7245
7209,7212
7209,7219
3509,7229
7208,7250
7208,7249
7738,7203
7209,7217
7207,7279
7738,7201
7208,7247
7210,7192
7210,7191
7210,7190
8266,7219
7210,7189
7209,7220
7208,7258
7210,7196
7209,7226
7208,7257
7208,7256
7210,7194
7209,7225
7209,7224
9649,13511
7207,7286
7210,7193
7210,7200
7207,7293
7210,7199
7208,7261
7209,7230
7210,7198
7209,7229
7210,7197
7208,7259
7208,7266
7208,7265
7210,7203
7207,7295
7210,7202
7210,7201
7208,7263
7207,7294
7738,7217
7210,7208
7208,7270
8794,7249
7210,7207
7208,7269
7210,7206
7208,7268
7210,7205
7210,7212
8794,7261
7209,7242
7210,7211
7207,7303
7210,7209
7209,7247
7210,7215
7208,7277
7738,7231
7210,7214
7208,7276
7209,7245
7210,7213
7208,7282
7210,7220
7211,7189
7210,7219
7209,7249
7210,7218
7210,7217
7208,7279
7211,7193
7210,7224
7208,7286
8266,7249
7210,7223
7211,7192
7211,7191
7210,7222
7208,7284
7210,7221
7211,7197
7209,7259
7210,7228
8266,7261
7211,7196
7208,7288
7210,7225
7211,7194
7211,7201
7210,7232
7208,7294
7211,7200
7210,7231
7210,7230
8266,7259
7211,7198
7210,7229
7210,7236
7211,7205
7210,7235
7208,7297
7211,7203
7210,7234
7211,7202
7208,7295
7210,7233
7208,7302
7211,7209
7211,7208
7208,7301
7211,7207
7209,7269
7208,7300
7211,7206
7210,7237
7210,7244
7211,7213
7211,7212
7210,7242
7208,7304
7211,7210
7208,7303
7211,7217
7210,7247
7211,7216
7211,7215
12816,13679
7208,7308
7210,7246
7209,7277
7211,7214
7210,7245
7209,7276
7211,7221
7212,7190
7210,7252
7211,7220
7212,7189
7211,7219
7210,7250
7210,7249
7211,7218
7211,7225
7212,7194
7210,7256
7211,7224
7212,7193
7212,7192
7211,7223
7210,7254
7210,7253
7212,7191
7211,7222
7212,7198
7211,7229
7210,7259
7212,7197
7211,7228
7212,7196
3509,7303
7211,7227
7210,7257
7211,7226
8269,7203
7210,7264
7212,7202
7209,7295
7212,7201
7211,7232
7209,7294
7210,7262
7212,7200
7211,7231
7211,7230
7212,7199
7210,7261
7211,7237
7212,7206
7210,7268
7210,7267
7211,7236
7212,7205
7211,7235
7212,7204
7210,7266
8269,7210
3832,13679
7211,7234
7212,7203
8269,7211
7212,7210
7211,7241
7209,7303
7210,7271
7212,7209
7211,7239
7212,7208
7210,7270
7210,7269
7212,7207
7211,7238
7209,7300
7212,7214
7210,7276
7211,7245
7212,7213
7211,7244
10180,13511
7210,7274
7211,7243
7211,7242
7212,7211
7211,7249
8269,7212
7210,7280
7212,7218
7211,7248
7212,7217
7738,7295
7212,7216
7211,7247
7210,7278
7738,7294
7210,7277
7212,7215
7211,7246
7212,7222
7213,7191
13346,13679
11231,13707
7210,7284
7211,7253
7212,7221
7211,7251
7212,7220
7213,7189
8798,7211
7210,7282
7212,7219
7211,7250
7212,7226
7211,7257
7212,7225
7210,7287
8798,7206
7212,7224
7210,7286
7212,7223
7211,7254
7212,7230
7211,7261
7213,7198
7210,7291
7212,7229
7212,7228
7211,7259
7210,7290
10175,13684
7212,7227
8269,7235
7212,7234
7213,7203
7211,7264
7212,7233
7210,7295
7212,7232
7213,7201
8798,7215
7211,7263
7210,7294
7212,7231
7210,7293
7211,7262
7211,7269
7212,7238
7210,7300
7211,7268
7213,7206
7212,7237
7211,7267
7212,7236
7210,7298
7211,7266
7212,7235
7210,7297
7212,7242
7213,7211
7213,7210
7210,7303
7212,7241
7211,7271
7211,7270
7213,7208
7212,7239
7213,7215
7212,7246
7211,7277
7210,7308
7212,7245
7211,7276
8269,7249
7212,7244
7211,7275
7213,7212
7212,7243
7210,7305
7213,7219
7212,7250
7211,7281
7212,7249
7213,7217
7212,7248
7211,7279
7212,7247
7211,7278
7212,7254
7214,7192
7211,7284
7212,7253
7213,7222
7212,7252
7212,7251
7213,7220
7214,7189
7211,7282
7214,7196
7213,7227
7211,7288
7212,7257
7212,7256
7211,7287
7212,7255
7213,7224
7214,7193
7211,7286
7212,7262
8798,7249
10176,13684
7214,7200
7211,7293
7213,7231
7212,7261
7214,7198
7211,7291
7212,7259
7212,7266
7213,7235
7214,7203
7213,7234
8269,7261
7212,7264
7211,7295
7214,7202
7213,7232
7214,7201
7211,7294
3514,7215
7212,7263
7212,7270
7214,7208
7211,7301
7211,7300
7212,7269
7214,7207
7214,7206
7212,7268
7212,7267
12819,13679
7214,7212
7212,7274
7214,7211
7212,7273
7213,7242
7214,7210
7212,7272
7211,7303
7212,7271
7212,7278
8800,7203
7214,7215
7212,7277
7213,7245
7212,7276
7214,7220
7215,7189
7212,7282
7214,7219
7213,7249
8800,7201
5420,13679
7214,7217
10182,13511
7212,7279
7213,7248
7215,7193
7212,7286
7214,7224
8800,7211
7215,7192
7212,7285
8800,7212
7212,7284
7215,7191
7214,7222
7215,7190
7213,7259
7212,7290
7215,7197
7215,7196
7212,7289
7212,7288
7214,7226
7214,7225
7215,7194
7212,7287
8800,7210
7214,7232
7212,7294
7215,7201
8800,7219
7213,7262
7214,7231
7215,7200
7212,7293
7213,7261
7215,7199
7212,7292
7214,7230
7215,7198
7213,7260
7214,7229
7212,7291
7213,7267
7215,7205
8800,7215
1401,7212
7212,7297
7215,7204
7214,7235
7215,7203
11234,13684
7214,7234
8800,7217
7215,7202
7214,7233
7212,7295
1401,7215
7215,7209
7212,7302
7215,7208
7212,7301
7215,7207
7214,7238
7212,7300
7213,7268
7215,7206
7215,7213
7215,7212
7213,7274
8798,7286
7214,7242
7215,7211
7212,7304
7213,7272
7212,7303
7215,7210
7215,7217
8800,7235
7214,7247
7215,7216
7212,7309
7213,7277
7212,7308
7215,7214
7214,7245
7215,7221
7214,7252
7215,7220
8798,7294
