category_1,category_2
9088,12683
8031,12682
8031,12683
10145,12683
13316,12683
11202,12683
9088,12682
12788,12682
3803,12682
2746,12683
3803,12683
11731,12683
12788,12683
10674,12683
13317,12682
2218,12683
3804,12682
5918,12682
10146,12683
8032,12682
12789,12683
3804,12683
12742,14148
10675,12683
9618,12683
13318,12683
3276,12683
13318,12682
6976,12682
10147,12683
11204,12683
10147,12682
6976,12683
2748,12683
11733,12683
12790,12682
10676,12683
3277,12683
3277,12682
11205,12683
13319,12683
6977,12683
6977,12682
3806,12683
10148,12683
2749,12683
635,12682
635,12683
12791,12683
5392,12682
1164,12683
11206,12682
13320,12683
11206,12683
9092,12682
9092,12683
11735,12683
9621,12683
12792,12682
5393,12683
3279,12683
108,12682
1165,12683
10150,12682
11207,12683
13321,12683
5922,12683
637,12683
10679,12682
11736,12683
9622,12683
8565,12682
12793,12683
4337,12682
6451,12683
5394,12682
109,12682
10151,12683
11208,12683
13322,12683
5923,12683
9623,12682
12794,12682
3281,12683
3281,12682
9095,12682
10152,12683
9095,12683
6981,12683
11209,12683
13323,12683
3810,12683
1696,12682
1696,12683
9624,12683
10681,12683
12795,12682
11738,12683
12795,12683
10681,12682
3282,12682
13324,12682
2225,12683
3282,12683
10153,12683
10153,12682
12796,12682
640,12682
2754,12683
640,12683
13277,14148
11739,12683
12796,12683
8568,12682
9625,12683
13325,12683
11211,12683
5926,12683
6983,12683
9097,12682
9097,12683
6983,12682
12797,12682
3812,12683
10683,12683
3284,12683
1170,12682
13326,12682
3813,12682
11212,12683
3813,12683
9098,12682
9098,12683
8041,12683
6984,12683
1699,12683
12798,12683
1699,12682
2756,12683
12798,12682
9627,12683
8570,12682
10684,12683
3285,12683
2228,12683
13327,12682
11213,12683
11213,12682
13327,12683
6985,12683
8042,12682
8042,12683
643,12682
643,12683
12799,12682
10685,12683
9628,12683
3286,12682
4343,12682
2229,12682
115,12682
11214,12682
10157,12683
13328,12683
11214,12683
5929,12683
2758,12683
1701,12682
3815,12683
12800,12683
9629,12683
12800,12682
5401,12683
3287,12683
3287,12682
1173,12682
10158,12682
10158,12683
8044,12682
13329,12683
6987,12683
6987,12682
645,12682
10687,12683
9630,12683
12801,12683
11744,12682
3288,12683
11216,12683
6988,12682
11216,12682
13330,12682
3817,12682
3817,12683
6988,12683
646,12682
6460,12682
12802,12683
10688,12682
11745,12683
5403,12683
3289,12682
9103,12682
9103,12683
8046,12682
10160,12683
10160,12682
13331,12683
2761,12683
1704,12682
12803,12682
12803,12683
1176,12682
1176,12683
4876,12682
10161,12683
13332,12683
11747,12683
5405,12683
12804,12683
13333,12682
1177,12683
12757,14148
10162,12682
5934,12683
5934,12682
10162,12683
9105,12683
1706,12682
12805,12683
649,12682
11748,12682
649,12683
1706,12683
10691,12683
6463,12682
13334,12683
6992,12682
8049,12683
5935,12682
12806,12683
11749,12683
7521,12683
10692,12683
9635,12683
5407,12682
3293,12683
5407,12683
4350,12682
3293,12682
13335,12682
8050,12682
8050,12683
1708,12682
2765,12682
651,12682
12807,12683
6465,12682
3294,12682
2237,12683
1180,12682
2237,12682
10165,12683
13336,12683
11222,12683
6994,12683
8051,12683
1709,12682
11751,12683
9637,12682
12808,12683
9637,12683
10694,12683
12808,12682
3295,12683
4352,12683
10166,12683
13337,12683
3824,12682
6995,12683
3824,12683
10695,12683
11752,12683
10695,12682
12809,12682
14341,14342
11224,12683
3249,14148
13338,12682
3825,12683
654,12682
654,12683
10696,12683
12810,12683
11753,12683
3297,12682
1183,12683
126,12682
10168,12683
8054,12683
6997,12683
6997,12682
13339,12682
5940,12683
655,12682
655,12683
1712,12683
9640,12683
11754,12682
14343,14344
12811,12682
10697,12683
11754,12683
9640,12682
13340,12682
2241,12683
127,12682
8055,12683
5941,12683
6998,12683
10169,12683
6998,12682
11226,12683
12812,12682
3827,12682
3827,12683
2770,12683
656,12682
656,12683
11755,12683
5413,12682
12812,12683
9641,12682
10698,12683
9641,12683
13341,12683
4356,12683
2242,12683
10170,12682
5942,12683
9113,12683
12813,12683
10699,12683
5414,12683
2243,12683
13342,12683
1186,12683
13342,12682
10171,12683
5943,12683
12814,12683
1715,12683
658,12683
9643,12683
13343,12682
7001,12683
9115,12682
8058,12682
9115,12683
8058,12683
2773,12682
5944,12683
10701,12683
12815,12682
12768,14148
2245,12683
5416,12683
10173,12683
13344,12683
7002,12683
8059,12683
1717,12683
2774,12683
12816,12683
10702,12683
12816,12682
5417,12683
2246,12682
132,12682
1189,12683
11231,12683
10174,12683
13345,12683
3832,12682
10703,12683
9646,12683
8589,12683
12817,12682
12817,12683
5418,12683
6475,12682
1190,12682
2247,12682
1190,12683
10175,12683
11232,12683
7004,12682
13346,12682
3833,12682
7004,12683
2776,12683
9647,12682
9647,12683
10704,12683
12818,12683
6476,12682
10704,12682
12818,12682
5419,12683
10176,12683
7005,12683
7005,12682
13347,12682
1720,12682
9648,12683
11762,12682
5420,12682
12819,12682
11762,12683
12819,12683
13348,12682
5420,12683
3306,12683
135,12682
11234,12682
10177,12683
11234,12683
2778,12682
12820,12682
8592,12683
5421,12682
10706,12682
6478,12682
12820,12683
7535,12682
10706,12683
9649,12683
8592,12682
13349,12683
11235,12683
11235,12682
5950,12682
12821,12683
3836,12683
10707,12683
11764,12683
9650,12682
9650,12683
13350,12683
137,12682
3837,12682
11236,12683
3837,12683
7008,12683
666,12682
12822,12682
1195,12682
13351,12683
7009,12683
7009,12682
3838,12683
8066,12682
10180,12683
667,12683
12823,12682
12823,12683
11238,12682
10181,12683
9124,12682
10181,12682
13352,12682
5953,12682
12824,12683
9653,12683
12824,12682
5425,12682
5425,12683
12777,14148
3311,12683
3311,12682
2254,12683
11239,12683
10182,12683
13353,12682
2783,12683
669,12682
10711,12683
11768,12683
9654,12683
12825,12683
3312,12682
3312,12683
10183,12683
11240,12683
8069,12682
9126,12683
8069,12683
7012,12682
13354,12682
3841,12682
3841,12683
2784,12682
1727,12682
10712,12683
9655,12683
12826,12683
6484,12682
11769,12683
12826,12682
10184,12683
9127,12683
7013,12682
13355,12682
3842,12682
671,12683
6485,12683
12827,12682
10713,12683
9656,12682
13356,12682
10185,12683
10185,12682
12828,12682
1729,12682
5429,12682
9657,12682
12828,12683
9657,12683
13357,12682
2258,12683
8072,12683
11243,12683
7015,12682
9129,12683
12829,12682
2787,12683
3844,12683
12782,14148
11772,12683
9658,12682
6487,12683
9658,12683
2259,12683
13358,12683
13358,12682
10187,12683
3845,12683
10187,12682
9130,12682
11244,12683
7016,12683
12830,12683
12830,12682
9659,12682
8602,12682
9659,12683
8602,12683
1203,12683
146,12683
13359,12683
7017,12683
7017,12682
10188,12683
9131,12683
4903,12683
675,12683
12831,12682
10717,12683
12831,12683
6489,12682
3318,12682
9660,12683
2261,12683
10189,12683
13360,12683
9132,12682
8075,12682
676,12682
3847,12683
9661,12682
12832,12683
9661,12683
10718,12683
2262,12682
1205,12682
9133,12683
13361,12683
677,12682
677,12683
10719,12683
9662,12682
11776,12683
9662,12683
12833,12682
5434,12683
1206,12682
10191,12683
9134,12683
13362,12683
3849,12682
3849,12683
7020,12683
4906,12682
678,12682
678,12683
10720,12683
12834,12683
5435,12682
3321,12682
5435,12683
5964,12682
7021,12683
13363,12682
10192,12682
679,12682
679,12683
9664,12683
12835,12682
10721,12683
1208,12682
12788,14148
5965,12683
7022,12683
7022,12682
13364,12683
11250,12683
2794,12683
11779,12683
10722,12682
12836,12683
10722,12683
9665,12683
3323,12683
13365,12683
8080,12683
11251,12683
5966,12682
7023,12683
9137,12682
10194,12683
2795,12683
12837,12682
12837,12683
11780,12683
9666,12683
13366,12683
2267,12682
3324,12683
2796,12682
9138,12683
7024,12683
12838,12682
10724,12683
9667,12683
3325,12683
3325,12682
13367,12683
5968,12682
7025,12683
7025,12682
3854,12683
9139,12682
10196,12683
3854,12682
12839,12682
10725,12683
10725,12682
9668,12683
1212,12682
3326,12683
1212,12683
11254,12683
13368,12682
8083,12683
1741,12683
3855,12683
684,12682
9669,12682
12840,12683
9669,12683
8612,12682
8612,12683
2270,12683
156,12682
11255,12683
11255,12682
8084,12682
10198,12683
13369,12682
5970,12683
8084,12683
2799,12683
10727,12683
11784,12683
9670,12683
12841,12682
12841,12683
5442,12683
3328,12682
2271,12683
3328,12683
2271,12682
10199,12683
10199,12682
9142,12682
13370,12683
7028,12682
11256,12682
3857,12683
5971,12683
1743,12683
10728,12683
12842,12682
11785,12682
13861,13861
5443,12682
3329,12683
3329,12682
12795,14148
1215,12683
10200,12683
11257,12683
13371,12683
687,12682
11786,12682
10729,12683
12843,12683
11786,12683
10729,12682
2273,12682
9144,12683
7030,12683
7030,12682
13372,12683
10201,12682
3859,12682
3859,12683
12844,12683
10730,12683
3331,12683
3331,12682
13373,12683
1217,12683
11259,12683
10202,12682
5974,12683
5974,12682
9145,12683
10202,12683
12845,12683
1746,12683
11788,12683
3332,12682
8617,12683
13374,12683
2275,12683
11260,12682
7032,12682
13327,14148
3861,12682
10203,12683
3861,12683
11260,12683
7032,12683
8089,12683
690,12683
12846,12682
10732,12683
9675,12683
5447,12682
3333,12683
3333,12682
6504,12683
1219,12682
13375,12682
5976,12682
3862,12683
9147,12683
10204,12683
1748,12682
5976,12683
3862,12682
691,12682
691,12683
12847,12683
11790,12683
3334,12682
3334,12683
13376,12683
5977,12683
9148,12683
692,12683
12848,12683
10734,12683
9677,12683
12848,12682
5449,12682
11263,12683
10206,12682
10206,12683
9149,12683
13377,12683
3864,12683
693,12683
10735,12683
9678,12683
12849,12683
1222,12683
8093,12682
9150,12683
13378,12683
12321,12683
3865,12682
3865,12683
1751,12682
694,12683
9679,12683
12850,12683
11793,12682
2280,12683
9151,12682
9151,12683
10208,12683
7037,12683
13379,12682
12322,12682
3866,12683
2809,12682
3866,12682
9680,12683
11794,12682
12851,12682
7566,12682
9680,12682
12851,12683
3338,12682
13380,12682
2281,12682
13380,12683
11266,12683
2810,12682
12852,12682
3867,12682
2810,12683
3867,12683
6510,12682
12852,12683
9681,12683
13381,12682
2282,12683
1225,12683
168,12682
11267,12683
10210,12682
3868,12682
12853,12682
2811,12683
12853,12683
697,12682
697,12683
10739,12683
9682,12682
11796,12683
9682,12683
13382,12683
3340,12683
1226,12682
1226,12683
10211,12683
5983,12683
5983,12682
1755,12683
2812,12683
12854,12682
10740,12683
8626,12682
9683,12683
8626,12683
3341,12683
3341,12682
170,12682
13383,12683
13873,13873
7041,12683
9155,12682
9155,12683
2813,12683
3870,12682
5984,12683
10741,12683
9684,12682
12855,12683
11798,12683
12808,14148
9684,12683
3342,12682
3342,12683
171,12682
13384,12683
10213,12682
11270,12683
5985,12682
7042,12683
7042,12682
1757,12683
2814,12683
700,12682
9685,12682
12856,12683
8628,12682
10742,12683
4400,12682
8628,12683
4400,12683
11271,12683
11271,12682
8100,12682
13385,12683
11800,12683
12857,12682
10215,12683
10215,12682
11272,12683
13386,12683
2816,12682
2816,12683
702,12683
8630,12682
9687,12683
10744,12683
8630,12683
12858,12683
12858,12682
3345,12683
3345,12682
1231,12683
10216,12683
13387,12683
3874,12683
3874,12682
5988,12683
12859,12683
11802,12683
9688,12682
2289,12683
3346,12683
8103,12683
10217,12683
13388,12683
13878,13878
12860,12682
2818,12683
10746,12682
11803,12683
12860,12683
9689,12682
6518,12682
10746,12683
13389,12683
1233,12682
1233,12683
11275,12683
9161,12682
10218,12683
12861,12682
12861,12683
7576,12682
9690,12683
6519,12682
2291,12683
13390,12683
12333,12683
177,12682
13390,12682
7048,12682
10219,12683
11276,12683
9162,12683
5991,12683
5991,12682
7048,12683
12862,12682
6520,12682
9691,12683
10748,12683
3349,12683
11277,12683
13391,12683
7049,12683
5992,12682
7049,12682
10220,12683
1764,12682
707,12682
10749,12683
12863,12683
11806,12683
13338,14342
8635,12682
9692,12683
8635,12683
3350,12683
10221,12683
13392,12683
10221,12682
11278,12683
7050,12683
8107,12682
8107,12683
708,12682
10750,12682
12864,12683
9693,12683
4408,12682
3351,12682
4408,12683
11279,12683
10222,12682
9165,12682
8108,12682
13393,12682
13393,12683
7051,12683
7051,12682
2823,12683
13346,14148
709,12682
13883,13883
10751,12683
8637,12683
12865,12682
12865,12683
5466,12683
1238,12683
10223,12683
11280,12683
9166,12682
13394,12683
2824,12682
1767,12683
2824,12683
9695,12683
10752,12683
11809,12683
12866,12682
12819,14148
9167,12683
13395,12683
4939,12682
711,12682
711,12683
13885,13885
8639,12682
9696,12683
8639,12683
14426,13509
12867,12682
10753,12683
12867,12683
11810,12683
3354,12683
1240,12682
1240,12683
9168,12683
5997,12683
10225,12683
13396,12683
11282,12683
12868,12682
3883,12682
3883,12683
2826,12683
11811,12682
9697,12682
12868,12683
9697,12683
10754,12683
3355,12682
13397,12683
11283,12683
3884,12682
7055,12683
8112,12682
12869,12682
3884,12683
10755,12683
5470,12683
10755,12682
11812,12683
14428,13509
9698,12683
13398,12683
11284,12682
7056,12682
3885,12682
10227,12683
11284,12683
7056,12683
12870,12683
1771,12683
12870,12682
9699,12683
10756,12683
2300,12682
3357,12683
5471,12683
12342,12683
186,12682
2300,12683
11285,12683
13399,12682
7057,12683
10228,12683
9171,12683
2829,12683
12871,12682
12871,12683
13889,13889
8643,12682
9700,12683
8643,12683
11286,12682
10229,12683
13400,12683
11286,12683
7058,12683
8115,12682
8115,12683
3887,12682
3887,12683
9701,12682
8644,12682
9701,12683
12872,12682
13890,13890
7587,12682
8644,12683
3359,12682
188,12682
11287,12683
10230,12682
11287,12682
9173,12683
10230,12683
13401,12683
3888,12682
7059,12682
2831,12683
3888,12683
9702,12683
12873,12683
13891,13891
3360,12682
1246,12682
1246,12683
10231,12683
8117,12682
9174,12683
8117,12683
13402,12683
3889,12683
2832,12683
9703,12683
6532,12682
12874,12683
11817,12683
11817,12682
5475,12683
8118,12682
10232,12683
10232,12682
13403,12683
719,12682
719,12683
8647,12682
9704,12683
8647,12683
6533,12682
12875,12682
3362,12682
13404,12682
3362,12683
9176,12683
7062,12683
7062,12682
11290,12683
12876,12682
4948,12683
720,12682
720,12683
5477,12683
6534,12682
9705,12683
3363,12683
2306,12682
3363,12682
13405,12683
3892,12682
10234,12683
9177,12683
12877,12682
3892,12683
1778,12683
10763,12683
9706,12683
5478,12682
3364,12683
1250,12682
1250,12683
13406,12682
3893,12682
10235,12683
11292,12683
3893,12683
9178,12682
9178,12683
6007,12682
1779,12683
722,12682
722,12683
11821,12683
12878,12682
10764,12683
2308,12682
3365,12682
1251,12682
1251,12683
11293,12683
13407,12682
3894,12683
9179,12682
9179,12683
12879,12682
10765,12683
12879,12683
13239,1521
3366,12682
2309,12683
3366,12683
1252,12682
1252,12683
13408,12683
11294,12683
9180,12683
3895,12683
8652,12682
10766,12683
12880,12682
5481,12682
5481,12683
8652,12683
3367,12683
11295,12683
10238,12683
12352,12682
13409,12683
3896,12682
8124,12683
2839,12683
3896,12683
1782,12683
9710,12682
8653,12682
8653,12683
12881,12682
7596,12682
12881,12683
7596,12683
2311,12683
10239,12683
11296,12683
13410,12682
3897,12682
3897,12683
2840,12682
2840,12683
9711,12682
9711,12683
10768,12683
12882,12682
5483,12683
9183,12683
6012,12682
11297,12683
13411,12683
3898,12683
3898,12682
727,12682
1784,12683
7025,14053
9712,12683
8655,12682
8655,12683
12883,12682
10769,12683
10769,12682
9712,12682
3370,12682
4427,12682
199,12682
12328,13512
8127,12682
6013,12683
6013,12682
7070,12683
10241,12683
13412,12683
12884,12682
2842,12683
3899,12683
12884,12683
7599,12683
9713,12683
13413,12683
12837,14148
8128,12683
10242,12682
11299,12683
10242,12683
9185,12683
8128,12682
12885,12682
2843,12682
12885,12683
3900,12683
7600,12682
10771,12683
4429,12683
9714,12683
8657,12682
7600,12683
8657,12683
13414,12683
2315,12682
201,12682
7072,12682
10243,12683
9186,12683
6015,12682
7072,12683
730,12682
12886,12682
6544,12682
8658,12683
6544,12683
2316,12683
202,12682
10244,12682
13415,12682
7073,12683
7073,12682
10244,12683
8130,12683
12887,12682
12887,12683
3855,14148
7602,12683
9716,12683
1260,12682
203,12682
1260,12683
10245,12683
13416,12683
11302,12683
6017,12683
6017,12682
7074,12683
9188,12683
1789,12683
12888,12683
10774,12683
9717,12683
12888,12682
5489,12682
6546,12683
5489,12683
7603,12682
204,12682
11303,12683
10246,12683
13417,12683
4961,12683
3904,12682
6018,12683
6018,12682
8132,12683
2847,12683
2847,12682
1790,12683
11832,12683
8661,12682
9718,12683
8661,12683
12889,12682
5490,12683
5490,12682
10247,12683
10247,12682
9190,12682
13418,12682
6019,12683
9719,12683
6548,12682
12890,12683
3377,12683
5491,12682
3377,12682
9191,12683
10248,12683
11305,12683
13419,12682
3906,12683
3906,12682
9720,12683
12891,12682
10777,12683
3378,12682
13420,12682
5492,12683
207,12682
207,12683
8135,12683
10249,12683
12892,12682
1793,12683
8664,12683
5493,12682
10778,12682
12892,12683
7607,12683
7607,12682
8664,12682
9721,12683
13421,12683
2322,12683
208,12682
4965,12682
7079,12683
10250,12683
9193,12683
7079,12682
12893,12682
737,12683
10779,12683
9722,12682
9722,12683
13422,12683
12365,12683
209,12683
13375,14148
3909,12682
10251,12683
10251,12682
3909,12683
9194,12683
8137,12682
6023,12682
1795,12683
12894,12683
2852,12683
738,12682
738,12683
12894,12682
7609,12683
7609,12682
9723,12683
2324,12682
3381,12682
210,12682
11309,12683
210,12683
13423,12683
7081,12683
13376,14148
10252,12683
2853,12683
8138,12683
1796,12683
12895,12683
9724,12682
9724,12683
3382,12682
3382,12683
11310,12683
13424,12682
7082,12682
9196,12683
8139,12683
2854,12683
740,12683
9725,12683
12896,12682
8668,12683
2326,12682
12368,12683
13425,12682
7083,12682
2855,12683
8140,12683
2855,12682
3912,12683
1798,12683
9726,12683
12897,12682
3384,12683
10255,12683
10255,12682
13426,12682
3913,12682
6027,12682
1799,12682
2856,12683
9727,12682
10784,12683
9727,12683
12898,12682
2328,12682
12851,14148
214,12683
9199,12682
9199,12683
10256,12683
8142,12682
8142,12683
7085,12683
7085,12682
11313,12683
10256,12682
13427,12682
6028,12683
1800,12683
9728,12683
8671,12682
8671,12683
12899,12682
7614,12682
10785,12683
9728,12682
5500,12683
2329,12683
1272,12683
215,12683
12852,14148
9200,12683
8143,12683
7086,12683
7086,12682
13428,12683
11314,12683
12900,12682
1801,12683
744,12682
2858,12683
744,12683
8672,12683
7615,12683
9729,12683
8672,12682
13429,12682
216,12682
216,12683
8144,12683
3916,12682
7087,12683
8144,12682
12901,12682
2859,12682
12901,12683
10787,12683
5502,12683
10787,12682
8673,12682
9730,12683
8673,12683
13430,12683
217,12683
7088,12682
3917,12682
3917,12683
11316,12683
8145,12682
2860,12683
12902,12682
9731,12683
10788,12683
3389,12682
11317,12683
13431,12682
11317,12682
9203,12682
2861,12683
747,12683
10789,12683
12903,12683
7618,12683
9732,12683
8675,12682
8675,12683
10261,12683
13432,12683
13405,13530
7090,12683
7090,12682
9204,12683
1805,12683
8676,12682
9733,12683
10790,12683
12904,12682
7619,12683
7619,12682
8676,12683
10262,12682
9205,12683
10262,12683
13433,12682
3920,12682
6034,12683
6034,12682
3920,12683
1806,12683
10791,12683
8677,12682
8677,12683
12905,12682
2335,12683
221,12683
10263,12683
11320,12683
13434,12683
6035,12683
750,12682
9735,12683
10792,12683
12906,12683
7621,12683
6564,12682
11849,12683
12906,12682
5507,12683
6564,12683
1279,12683
10264,12683
7093,12683
11321,12683
11321,12682
13435,12683
3922,12683
4979,12683
7622,12683
12907,12682
13436,12682
9208,12683
6037,12683
6037,12682
10265,12683
9208,12682
11322,12683
10265,12682
5509,12683
7623,12683
12908,12683
10794,12683
7623,12682
9737,12683
13437,12682
2867,12683
12909,12683
753,12682
3924,12683
753,12683
10795,12683
10795,12682
9738,12683
5510,12682
7624,12683
13438,12683
3396,12683
1282,12682
1811,12683
12910,12682
7625,12683
7625,12682
6568,12683
1283,12682
226,12682
1283,12683
13439,12683
10268,12683
8154,12683
2869,12683
2869,12682
12911,12682
13113,6420
12911,12683
10797,12682
6569,12683
5512,12682
9740,12683
5512,12683
2341,12682
10269,12683
13440,12683
11326,12683
10269,12682
9212,12683
3927,12682
4984,12683
1813,12683
1813,12682
12912,12683
9741,12682
9741,12683
8684,12682
10798,12683
8684,12683
3399,12682
1285,12682
228,12682
2342,12683
11327,12683
9213,12682
10270,12683
8156,12682
9213,12683
13441,12683
3928,12682
2871,12683
3928,12683
757,12682
757,12683
8685,12683
12913,12682
12913,12683
11856,12682
3400,12682
229,12682
10271,12683
9214,12682
11328,12683
9214,12683
8157,12683
13442,12683
6043,12683
2872,12682
758,12683
10800,12683
12914,12683
12914,12682
5515,12682
5515,12683
10272,12683
8158,12682
8158,12683
11329,12683
13443,12683
1816,12682
9744,12683
8687,12683
13113,6549
6573,12682
12915,12682
10801,12683
13113,6545
13444,12682
13113,6552
8159,12683
13113,6565
4988,12682
10273,12683
11330,12683
12387,12683
12916,12682
4988,12683
1817,12683
9745,12682
9745,12683
7631,12682
3403,12682
13445,12683
1289,12683
13113,6589
13113,6599
6046,12683
12917,12682
761,12682
13113,6604
12870,14148
9746,12683
13113,6608
2347,12683
13446,12683
10275,12683
3933,12683
11332,12683
9218,12683
2876,12682
8161,12683
12918,12683
1819,12683
2876,12683
6576,12682
12871,14148
10804,12683
2348,12682
6576,12683
234,12682
234,12683
11333,12683
13447,12683
6048,12682
3934,12683
10276,12683
9219,12683
1820,12682
8162,12683
3934,12682
2877,12682
763,12683
10805,12683
12919,12683
6577,12683
7634,12683
7634,12682
12872,14148
8691,12682
2349,12682
1292,12683
13448,12683
11334,12683
6049,12683
9220,12683
8163,12683
1821,12682
12920,12683
10806,12683
9749,12683
12920,12682
7635,12683
10278,12682
9221,12682
10278,12683
9221,12683
13449,12683
8164,12683
765,12682
765,12683
9750,12682
9750,12683
12921,12683
7636,12683
6579,12682
2351,12683
10279,12683
9222,12682
10279,12682
11336,12683
12393,12682
13450,12682
6051,12683
9751,12683
12922,12683
7637,12683
7637,12682
12922,12682
3409,12683
3409,12682
238,12682
238,12683
9223,12682
10280,12683
9223,12683
11337,12683
13451,12683
767,12683
9752,12683
8695,12682
5524,12682
10809,12683
12923,12683
10809,12682
3410,12682
2353,12682
3410,12683
1296,12683
9224,12683
11338,12682
11338,12683
9224,12682
3939,12682
768,12682
1825,12682
768,12683
8696,12683
5525,12683
12924,12683
10810,12683
9753,12683
8696,12682
1297,12683
10282,12682
12925,12682
2883,12683
2883,12682
12925,12683
4469,12683
3412,12682
2355,12683
3412,12683
241,12682
241,12683
10283,12683
2884,12682
9226,12683
9157,14832
2884,12683
770,12683
12926,12682
9755,12683
3413,12683
1299,12683
11341,12683
11341,12682
9227,12682
10284,12683
771,12682
771,12683
12927,12682
12927,12683
9756,12683
8699,12682
8699,12683
5528,12683
11342,12682
10285,12683
11342,12683
5000,12682
772,12683
11871,12683
12928,12683
10814,12683
12928,12682
5529,12683
7643,12682
1301,12682
2358,12683
9229,12683
10286,12683
6058,12683
773,12682
10815,12683
10815,12682
9758,12683
12929,12682
5530,12683
3416,12682
7644,12683
1302,12682
3416,12683
1302,12683
10287,12683
11344,12683
11344,12682
10816,12683
8702,12683
12930,12682
5531,12682
10288,12683
10288,12682
2889,12683
1832,12683
7646,12683
12931,12682
7646,12682
9760,12682
12931,12683
5532,12683
1304,12682
1304,12683
12884,14148
9232,12683
8175,12683
6061,12683
10289,12683
11346,12683
3947,12683
2890,12683
5533,12683
12932,12683
6590,12682
10818,12683
3419,12683
248,12682
1305,12683
8176,12683
6062,12683
9233,12683
8176,12682
10290,12683
7119,12682
12933,12683
3948,12683
777,12683
1834,12683
10819,12683
9762,12683
8705,12683
11348,12683
9234,12683
2892,12682
12934,12683
778,12683
10820,12682
9763,12683
10820,12683
250,12682
3950,12683
2893,12683
3950,12682
12935,12682
12935,12683
7650,12682
8707,12682
9764,12683
8707,12683
11350,12682
10293,12683
10293,12682
9236,12683
2894,12682
3951,12682
1837,12682
10822,12682
12936,12683
10822,12683
9765,12683
12936,12682
3423,12682
252,12683
8180,12682
6066,12683
8180,12683
2895,12683
781,12682
10823,12683
10823,12682
9766,12683
8709,12682
8709,12683
12937,12683
7652,12683
1310,12683
10295,12682
9238,12683
3953,12682
3953,12683
12938,12683
12938,12682
3425,12683
2368,12682
254,12682
10296,12683
9239,12683
6068,12682
10296,12682
11353,12683
3954,12683
6068,12683
3954,12682
9768,12683
5540,12682
12939,12682
12939,12683
3426,12682
2369,12683
3426,12683
1312,12683
8183,12682
6069,12683
10297,12683
11354,12683
3955,12682
784,12683
13113,7315
13113,7325
13113,7322
12940,12683
10826,12683
3427,12682
13113,7335
256,12683
13113,7331
13113,7329
8184,12683
13113,7341
11355,12682
3956,12682
13113,7336
8184,12682
12941,12682
12941,12683
13113,7345
13113,7356
8713,12682
3428,12682
13113,7352
8713,12683
13113,7366
1314,12682
13113,7360
13113,7375
13113,7373
13113,7370
11356,12683
9242,12683
13113,7368
8185,12683
1843,12683
12942,12683
13113,7382
13113,7383
12942,12682
13113,7381
13113,7378
13113,7376
13113,7390
13113,7388
13113,7386
10828,12683
9771,12683
13113,7387
13113,7398
258,12682
1315,12683
258,12683
13113,7394
13113,7393
13113,7407
3958,12683
9243,12683
13113,7400
6072,12683
3958,12682
13113,7415
12943,12682
13113,7412
12943,12683
13113,7423
7658,12682
9772,12683
8715,12682
8715,12683
13113,7416
1316,12682
4487,12683
13113,7417
11358,12682
13113,7431
11358,12683
13113,7429
13113,7426
13113,7427
13113,7425
13113,7436
8187,12682
8187,12683
3959,12682
13113,7432
788,12682
13113,7433
13113,7446
