colors_1,colors_2
10665,14063
6701,14071
10665,14071
9608,14063
4455,14068
9608,14065
10665,14066
6701,14079
6701,14078
4852,14063
10930,14071
4852,14073
10930,14068
12912,14064
12912,14077
10534,14068
10534,14067
12780,14068
13441,14071
13441,14066
4853,14063
9874,14063
4985,14068
12649,14062
12649,14063
4853,14071
6703,14063
13441,14080
9874,14068
9346,14063
9214,14067
9214,14068
9478,14071
10139,14073
9875,14064
9875,14065
9526,12589
10139,14066
12650,14063
4590,14063
9347,14063
4458,14071
12650,14065
4770,12589
10272,14068
9347,14071
10272,14067
13179,14063
12830,12589
4506,12589
13311,14063
10008,14067
10008,14063
13179,14068
13311,14071
9612,14063
10669,14065
10008,14076
10669,14066
4903,12589
12783,14063
9348,14064
12963,12589
9348,14071
9348,14072
9348,14068
4375,12589
13312,14063
9877,14067
12039,12589
9877,14075
10850,12589
13313,14063
6754,12589
9349,14063
13313,14070
11199,14066
13049,14063
11199,14068
13049,14061
9349,14068
13313,14066
9878,14066
13049,14071
12785,14063
9878,14068
6707,14065
9397,12589
11992,14063
6707,14063
9482,14063
12785,14068
10671,14063
12653,14063
11992,14071
11992,14073
4905,12589
9482,14072
10671,14071
10671,14073
6708,14061
4858,14071
6708,14066
12041,12589
10276,14063
10852,12589
4510,12589
10276,14073
13231,12589
10805,14066
4727,14063
6709,14067
10937,14065
4727,14068
10937,14064
6709,14071
12655,14068
4907,12589
10673,14071
10409,14063
10805,14074
12655,14073
4331,14071
10409,14077
4331,14075
11466,14073
11466,14075
9749,14064
10806,14068
10325,12589
9749,14075
9749,14068
10674,14066
9353,14064
9353,14065
10674,14073
13317,14063
4380,12589
10278,14075
4729,14063
13317,14068
10278,14071
9618,14061
9618,14062
12789,14063
4729,14071
13317,14076
10675,14070
9618,14071
11468,14066
4729,14073
9486,14062
10675,14066
12789,14069
4994,14063
11468,14070
9486,14071
4994,14071
10676,14064
12790,14066
12790,14063
4598,14068
5042,12589
11337,14063
12045,12589
12658,14068
12658,14065
12790,14069
11337,14068
10544,14077
12790,14079
10544,14074
4514,12589
10676,14077
10280,14075
11337,14073
10280,14073
11602,14063
9488,14067
11206,14068
9224,14063
9488,14071
4996,14063
11206,14063
9224,14075
12792,14061
4996,14068
4732,14063
4864,14067
4864,14068
12792,14069
11735,14066
9489,14063
11735,14068
4732,14073
9753,14065
12792,14066
4468,14063
12792,14063
4600,14068
9489,14069
4468,14071
9357,14063
11207,14067
9357,14073
9357,14068
11651,12589
12000,14068
11207,14071
11736,14063
4337,14063
6715,14071
4601,14068
11736,14065
4913,12589
4601,14075
6715,14078
4649,12589
11076,14063
11076,14068
4602,14063
4470,14063
4602,14068
11473,14063
4470,14071
11473,14068
10284,14063
10416,14066
10416,14076
11341,14071
11341,14078
12928,14061
5000,14063
12003,14064
10946,14063
4868,14063
5000,14068
12928,14069
9144,12589
4868,14068
6718,14068
10946,14068
4604,14063
12664,14068
4604,14068
12664,14063
9229,14066
12664,14073
12004,14063
12004,14071
12665,14063
12665,14070
4341,14063
11344,14063
5002,14064
11344,14066
4521,12589
10023,14066
4870,14063
13194,14069
10023,14065
9627,14063
4474,14063
4474,14068
6720,14071
9627,14073
9627,14066
6720,14078
12666,14066
12666,14073
5003,14063
12006,14066
12006,14065
12931,14063
4871,14063
4871,14068
4607,14063
4871,14071
12931,14068
4475,14068
4343,14063
4607,14071
4475,14071
13196,14063
10157,14066
10157,14063
11214,14063
12007,14066
13196,14069
10157,14068
11526,12589
6722,14063
13196,14067
12007,14071
12716,12589
4873,14063
4741,14063
12008,14063
4873,14068
4741,14071
12008,14077
10819,14068
9234,14063
11216,14062
10819,14075
4657,12589
9546,12589
5006,14063
13066,14063
11084,14066
13198,14066
13198,14063
11216,14063
10603,12589
10820,14063
11084,14068
11084,14070
4346,14063
10820,14067
13198,14080
4922,12589
9499,14068
9499,14078
10028,14065
4526,12589
4346,14073
5007,14068
4875,14063
10028,14073
4875,14073
4611,14063
11482,14061
4611,14066
4479,14063
9764,14068
4479,14073
10161,14063
10293,14063
12936,14061
4395,12589
12011,14065
10293,14068
12011,14071
12011,14066
12936,14063
9501,14066
4480,14063
12936,14071
9501,14072
5009,14063
4877,14063
10030,14067
12012,14065
4745,14063
5009,14068
10559,14061
6727,14063
4877,14068
6727,14062
10030,14070
4745,14068
10559,14066
4745,14075
13202,14063
10559,14076
10559,14071
10559,14073
4878,14063
13202,14069
3340,12589
6728,14062
12013,14063
4878,14071
6728,14064
12013,14070
10692,14071
10428,14066
11749,14071
4794,12589
10428,14071
11749,14078
14392,14078
12014,14063
14392,14071
9768,14066
9372,14064
11354,14064
4663,12589
9768,14074
11222,14066
11222,14065
4531,12589
11354,14065
6730,14068
4880,14071
10958,14071
4616,14068
10430,14066
13469,14066
6730,14075
4352,14063
11091,14063
13073,14063
4352,14071
13469,14070
10430,14071
13073,14070
13073,14071
10430,14078
13073,14066
11091,14068
10082,12589
4353,14063
11356,14066
4797,12589
10875,12589
4353,14068
4665,12589
11356,14071
10695,14078
6732,14062
9903,14066
12017,14068
10828,14063
6732,14066
10828,14061
12017,14066
11753,14068
10828,14068
10828,14070
9507,14071
13471,14067
9507,14066
13471,14063
10036,14063
13471,14071
12018,14071
6733,14066
10036,14068
10565,14064
6733,14068
12018,14075
11358,14065
9640,14071
11358,14063
11670,12589
4752,14063
9773,14067
10037,14071
9773,14068
10037,14077
4488,14067
11491,14071
4668,12589
4488,14071
11359,14063
11491,14066
4404,12589
10038,14066
11095,14066
11095,14068
4753,14063
10831,14067
12681,14063
5065,12589
10831,14074
12681,14071
4933,12589
12681,14066
4754,14063
10039,14064
10039,14065
4754,14068
9643,14070
4358,14063
9379,14063
4490,14068
4934,12589
4490,14071
6784,12589
9643,14067
13126,12589
4490,14075
4358,14075
9643,14075
9908,14066
6737,14063
14136,14066
14136,14063
4755,14063
14184,12589
4755,14068
4623,14063
14136,14073
4623,14068
9908,14070
13920,12589
11013,12589
9512,14064
9512,14065
9512,14066
4491,14071
9248,14069
9560,12589
9248,14064
9248,14066
12948,14066
9248,14071
6738,14063
11627,14063
12948,14071
6738,14065
10221,12589
12948,14067
12023,14072
9381,14066
4360,14063
13921,12589
4360,14068
13213,14066
9381,14073
5021,14063
4889,14063
13213,14063
10174,14063
13213,14061
5021,14065
12024,14068
9778,14063
11231,14071
12024,14066
13213,14068
9646,14063
9778,14068
4937,12589
9646,14070
14271,14068
11232,14064
10307,14068
11232,14065
4758,14063
10307,14074
4758,14068
10175,14073
9515,14063
9647,14068
6740,14067
9647,14063
4806,12589
13479,14066
9515,14066
13479,14063
12026,14063
10176,14064
14272,14066
13479,14071
14272,14073
12026,14065
11017,12589
4939,12589
10441,14063
14273,14063
13348,14066
9696,12589
10885,12589
13480,14063
12952,14062
13480,14071
6742,14063
9781,14067
9649,14063
13348,14077
12952,14063
12027,14068
9649,14068
10706,14069
4496,14063
9781,14075
10706,14066
12952,14071
6742,14073
4496,14068
14189,12589
14274,14063
14274,14061
10310,14061
10310,14063
14274,14071
4412,12589
12953,14063
9782,14066
11151,12589
12953,14068
12028,14070
6743,14072
4365,14063
9782,14070
4365,14068
13482,14066
4365,14073
4894,14063
4762,14063
4894,14068
13482,14073
4762,14068
4498,14063
12822,14063
12822,14071
13134,12589
10312,14068
13087,14061
14276,14066
9255,14068
10312,14066
9255,14064
10180,14072
14276,14073
13087,14068
12955,14063
9255,14071
12955,14061
13087,14063
6745,14064
12691,14063
4895,14071
6745,14068
10228,12589
4763,14071
13087,14071
12955,14076
14277,14064
14277,14065
11370,14065
12031,14068
9785,14063
9785,14068
12824,14069
4764,14068
4944,12589
12824,14063
4500,14063
9785,14067
10890,12589
13353,14063
10314,14069
9257,14071
13353,14069
13353,14067
9257,14066
12032,14068
12957,14066
4633,14063
12957,14063
4633,14068
12957,14069
6747,14077
10447,14068
10447,14063
12032,14080
11108,14063
11240,14070
11240,14063
12741,12589
6748,14062
4898,14068
6748,14066
11108,14068
13090,14068
13090,14066
10580,14063
9787,14071
10580,14071
9703,12589
4370,14071
9787,14075
4682,12589
10977,14063
12034,14063
9391,14071
10628,12589
13355,14080
6749,14062
9788,14065
9788,14066
12827,14063
4635,14063
4635,14068
12827,14073
6749,14069
9524,14066
14196,12589
10977,14072
12034,14073
4371,14063
4371,14073
9524,14070
10185,14066
4768,14063
10185,14074
11507,14063
4768,14076
11507,14071
11687,12589
13357,14063
9393,14066
11507,14068
10234,12589
9658,14063
6751,14068
6751,14066
9526,14066
4373,14063
10451,14064
9526,14068
9658,14066
9658,14078
10451,14072
4685,12589
11376,14063
10451,14068
4373,14073
12877,12589
12037,14065
4770,14063
12037,14063
6752,14063
12830,14063
4506,14063
12830,14061
12830,14071
12698,14068
9395,14072
4686,12589
12698,14075
10452,14069
5035,14063
12038,14066
5035,14068
14200,12589
12038,14073
10104,12589
4903,14071
12963,14069
4904,14066
12039,14063
4904,14068
10718,14066
10850,14068
12039,14073
10898,12589
9397,14066
9265,14063
6754,14073
4688,12589
10454,14063
5037,14063
9397,14068
10454,14070
4424,12589
4905,14063
4773,14063
4905,14068
4773,14070
6755,14068
10851,14073
14202,12589
5037,14076
9662,14068
10851,14066
9662,14063
10719,14075
11380,14063
10719,14071
12041,14063
11380,14068
4906,14063
9927,14066
10852,14063
9927,14068
12041,14071
4906,14071
4642,14063
4510,14063
4642,14068
10852,14073
12702,14066
10852,14068
10852,14067
4510,14068
10456,14068
10456,14064
4907,14063
13231,14063
9664,14061
12835,14063
9400,14061
4511,14063
12835,14071
9664,14063
4511,14068
9400,14067
10769,12589
9400,14068
9664,14071
9400,14063
10853,14076
12883,12589
10325,14063
9929,14061
6758,14067
4512,14063
6758,14069
4512,14068
4380,14071
9798,14066
10591,14061
10855,14068
10374,12589
10855,14065
9798,14073
10591,14066
9666,14066
9666,14068
5042,14063
10591,14073
4561,12589
9138,14066
14207,12589
10724,14066
4514,14064
12045,14071
10856,14066
10724,14071
4514,14068
10460,14066
10856,14073
4514,14075
10460,14068
6761,14062
6761,14064
4515,14063
4515,14068
11122,14066
6762,14063
11651,14064
4960,12589
10462,14066
11651,14071
4696,12589
6762,14077
10198,14065
11255,14063
12756,12589
13369,14066
10462,14069
4913,14063
10198,14063
11303,12589
4649,14063
4913,14071
11255,14073
4913,14068
10727,14063
4385,14063
10727,14070
4385,14069
11256,14068
11256,14067
10199,14068
4565,12589
10199,14063
5046,14068
10199,14065
9274,14068
5046,14075
13106,14066
12842,14067
4386,14063
12842,14068
14211,12589
13106,14073
4386,14068
13551,12589
10512,12589
10644,12589
9804,14063
10861,14066
10861,14063
9804,14071
13023,12589
4387,14063
4387,14073
10645,12589
9144,14063
9276,14068
10862,14068
4784,14063
10862,14067
9144,14071
9276,14076
13901,14063
6766,14066
9324,12589
4652,14063
10862,14063
9276,14078
4784,14073
6766,14069
4652,14073
13901,14068
10334,14066
4700,12589
10202,14064
10995,14062
10202,14072
10334,14069
13902,14066
13902,14063
4521,14063
9410,14063
13025,12589
13902,14069
4521,14068
4833,12589
11260,14063
9410,14071
11260,14065
10779,12589
9939,14063
10600,14062
13290,12589
12846,14063
10251,12589
9939,14068
10468,14063
12846,14071
10600,14063
11525,14063
13158,12589
9279,14066
11393,14068
11393,14064
11525,14068
10072,14068
4919,14063
10468,14076
9279,14071
10072,14066
14216,12589
4919,14071
10601,14069
10913,12589
11526,14068
10469,14067
6769,14072
9544,14063
4391,14068
4703,12589
9544,14065
10469,14063
11526,14063
10469,14073
9280,14068
10601,14078
4391,14071
11394,14066
11394,14065
10998,14066
10998,14065
4788,14065
4788,14063
10998,14063
9280,14074
13160,12589
12716,14063
4788,14073
10734,14064
10734,14063
9941,14071
10998,14071
12716,14069
10734,14071
10206,14066
5053,14063
10206,14068
5053,14071
10518,12589
6771,14063
9810,14071
9546,14063
10735,14063
9678,14063
4657,14068
9810,14078
9546,14071
9678,14070
6771,14079
10735,14073
9546,14068
10603,14068
4705,12589
9282,14070
4922,14063
13246,14063
9282,14066
13907,14063
6772,14064
4526,14063
9811,14066
4394,14063
13907,14068
4526,14068
13246,14078
6772,14077
9811,14079
4394,14071
13559,12589
5055,14063
4923,14063
6773,14063
12983,14068
5055,14073
13908,14063
12983,14063
6773,14070
4791,14073
13908,14071
9680,14065
9680,14066
4791,14075
4395,14063
4575,12589
13908,14075
4395,14071
13248,14067
4528,14063
4528,14068
10606,14072
13117,14066
5057,14070
6775,14064
13117,14068
4793,14068
10739,14071
4793,14075
10607,14069
6775,14077
10607,14063
3340,14063
3340,14066
10739,14068
10343,14063
3340,14071
10211,14070
10211,14073
10343,14071
10607,14079
6776,14062
9683,14063
10740,14063
9683,14065
6776,14063
4794,14071
10740,14074
11401,14069
11401,14066
5059,14068
5059,14066
12987,14063
10080,14063
11581,12589
11005,14063
11005,14073
12987,14071
9816,14063
4531,14068
9816,14076
4843,12589
4399,14063
4663,14075
10874,14063
6778,14068
6778,14067
10874,14071
10874,14068
10346,14063
4532,14068
10610,14066
10610,14068
10874,14075
4400,14068
10610,14080
4532,14075
12772,12589
10346,14068
9950,14066
4797,14063
9950,14062
4665,14063
10082,14068
12857,14069
6779,14073
10875,14068
4977,12589
6779,14075
12905,12589
12990,14066
12990,14063
4666,14063
12990,14069
4666,14073
11141,14066
5063,14068
9952,14068
13123,14071
11141,14071
12991,14063
13123,14067
11670,14066
12991,14072
10481,14071
10925,12589
10481,14067
10217,14068
4932,14063
12860,14063
4932,14068
12860,14061
6650,14063
4932,14071
4668,14063
4800,14068
6782,14071
12860,14071
4668,14071
