people_with_this_profession_1,people_with_this_profession_2
2220,6145
2220,6153
2220,6162
2220,6180
2220,6193
2220,6201
2220,6222
2220,6224
2220,6229
2220,6233
2220,6251
2220,6253
2220,6259
2220,6266
2220,6271
2220,6283
2220,6285
2220,6287
2220,6294
2220,6296
2220,6300
2220,6308
2220,6309
2220,6327
2220,6334
2220,6342
2220,6343
2220,6346
2220,6345
2220,6359
2220,6741
2220,6817
2220,6831
2220,6841
2220,6849
2220,6853
2220,6859
2220,6861
2220,6864
2220,6868
2220,6872
2220,6875
2220,6881
2220,6888
2220,6890
2220,6894
2220,6895
2220,6902
2220,6904
2220,6908
2220,6909
2220,6920
2220,6921
2220,6929
2220,6939
2220,6944
2220,6958
2220,6984
2220,6992
2220,7018
2220,7017
2220,7020
2220,7022
2220,7025
2220,7028
2220,7041
2220,7051
2220,7057
2220,7079
2220,7090
2220,7596
2220,7600
2220,7618
2220,7621
2220,7646
2220,7674
2220,7679
2220,7706
2220,7729
2220,7733
2220,7738
2220,7740
2220,7768
2220,7770
2220,7791
2220,7798
2220,7800
2220,7801
2220,7829
2220,7846
2220,7870
2220,7878
2220,7886
2220,7892
2220,7938
2220,7944
2220,7954
2220,7996
2220,8018
2220,8025
2220,8028
2220,8027
2220,8042
2220,8041
2220,8054
2220,8080
2220,8089
2220,8098
2220,8154
2220,8162
2220,8163
2220,8184
2220,8188
2220,8187
2220,8190
2220,8211
2220,8243
2220,8246
2220,8254
2220,8263
2220,8266
2220,8336
2220,8352
2220,8363
2220,8372
2220,8377
2220,8389
2220,8452
2220,8600
2220,8602
2220,8630
2220,8668
2220,8696
2220,8770
2220,8787
2220,8792
2220,8838
2220,8856
2220,8864
2220,8869
2220,8917
2220,8976
2220,8990
2220,9004
2220,9008
2220,9095
2220,9105
8711,8284
12195,206
12195,261
12195,286
12195,303
12196,268
12195,301
12195,328
12199,212
12195,343
12196,312
12195,338
12199,214
12199,229
12200,204
12200,206
12200,200
12200,202
12195,356
12200,212
12200,214
12195,369
12200,208
12196,332
12200,210
12199,241
12200,220
12195,374
12200,222
12200,216
12200,218
12200,227
12199,261
12200,229
12200,223
12200,225
12200,235
12200,237
12195,386
12200,231
12201,200
12200,233
12200,243
12200,245
12200,239
12200,241
12200,251
12195,409
12200,253
12196,371
12200,247
12199,280
12200,249
12195,414
12200,259
12199,292
12200,261
12200,255
12200,257
12199,299
12202,206
12196,391
12200,270
12199,301
12200,264
12200,263
12200,266
12200,276
12198,338
12195,430
12200,272
12202,210
12200,274
12201,243
12195,428
12200,284
12200,283
12201,255
12200,286
12196,404
12200,280
12195,435
12195,434
12200,282
12200,292
12202,229
12200,288
12196,412
12195,442
12200,290
12200,299
12200,301
12200,296
12195,451
12200,297
12199,328
12200,308
12200,307
12199,338
12200,310
12200,303
12200,305
12195,460
12200,316
12202,253
12200,318
12200,312
12200,314
12195,469
12195,478
12200,325
12200,320
12199,350
12200,321
12201,301
12200,332
12200,333
12195,488
12200,328
12200,327
12201,299
12200,330
12200,340
12195,497
12200,342
12200,335
12202,276
12200,348
12200,350
12200,344
12199,374
12200,343
12200,346
12203,253
12200,356
12195,510
12200,358
12200,352
12200,354
12200,364
12202,301
12200,363
12201,335
12195,521
12200,365
12205,210
12202,303
12200,360
12195,514
12200,362
12205,206
12200,371
12200,374
12195,528
12200,373
12205,212
12200,367
12199,398
12200,369
12200,380
12200,382
12201,350
12200,376
12200,378
12200,388
12200,390
12195,545
12206,204
12202,328
12200,384
12201,352
12200,386
12206,200
12195,541
12200,396
12201,364
12200,398
12200,392
12200,391
12200,394
12201,363
12200,393
12199,435
12195,559
12200,404
12200,403
12199,434
12200,406
12202,343
12202,338
12200,400
12200,402
12200,412
12195,567
12200,414
12200,413
12206,227
12200,407
12195,565
12195,564
12200,409
12200,420
12195,574
12206,233
12200,422
12203,328
12196,540
12200,416
12200,418
12201,386
12200,428
12200,430
12201,398
12196,553
12195,579
12200,423
12200,426
12200,425
12200,436
12200,435
12201,404
12200,438
12200,432
12203,338
12200,434
12201,402
12200,444
12200,446
12200,440
12199,470
12195,594
12200,442
12203,348
12200,452
12200,451
12205,299
12201,423
12200,454
12202,386
12200,447
12200,450
12206,263
12200,449
12200,460
12195,617
12199,492
12200,456
12201,425
12205,301
12200,458
12205,303
12195,612
12200,470
12200,469
12195,624
12206,278
12196,588
12200,463
12206,280
12201,435
12200,466
12200,465
12200,476
12200,475
12200,478
12200,477
12195,632
12200,472
12200,473
12195,628
12200,484
12200,483
12195,638
12200,485
12206,294
12195,635
12200,479
12195,634
12206,296
12200,481
12200,492
12202,430
12206,306
12195,647
12206,305
12200,494
12200,493
12205,338
12200,488
12200,490
12205,335
12200,500
12200,499
12200,502
12201,465
12202,434
12203,402
12200,495
12205,343
12202,435
12200,497
12195,663
12200,508
12199,539
12200,510
12200,509
12206,323
12196,628
12202,442
12200,503
12201,475
12200,505
12210,206
12200,516
12195,670
12199,546
12200,515
12200,518
12205,363
12200,517
12205,362
12200,512
12200,511
12201,483
12200,514
12205,358
12195,668
12206,338
12195,679
12206,337
12200,523
12210,216
12206,340
12200,526
12200,520
12195,674
12200,519
12202,460
12195,676
12206,335
12200,521
12200,532
12206,346
12196,655
12202,469
12201,503
12200,533
12201,497
12200,528
12200,527
12200,530
12195,684
12200,529
12200,540
12195,694
12200,539
12200,542
12200,541
12205,386
12200,535
12200,537
12200,548
12199,579
12211,206
12201,519
12206,364
12200,550
12195,705
12203,456
12201,518
12200,549
12199,575
12202,481
12200,546
12200,545
12200,555
12203,465
12200,558
12205,402
12200,551
12202,492
12195,708
12205,398
12200,553
12200,564
12201,532
12200,566
12200,565
12195,715
12200,560
12199,590
12200,559
12206,376
12201,541
12200,572
12195,726
12200,571
12200,574
12199,605
12210,263
12196,691
12200,567
12206,384
12200,570
12200,569
12206,394
12203,487
12200,579
12201,548
12210,272
12200,581
12200,576
12200,575
12210,268
12200,578
12200,577
12200,588
12210,278
12206,402
12200,587
12202,528
12205,435
12200,590
12203,497
12201,558
12200,589
12200,584
12206,398
12200,583
12200,585
12203,492
12205,430
12200,596
12199,626
12195,753
12206,411
12200,597
12200,592
12211,253
12200,594
12210,284
12200,593
12201,562
12202,541
12200,603
12200,606
12195,760
12213,202
12200,605
12200,600
12203,509
12200,601
12199,632
12200,612
12203,518
12200,611
12213,208
12206,425
12200,614
12195,768
12200,613
12200,608
12206,422
12200,610
12201,579
12211,268
12200,609
12200,620
12206,434
12196,744
12200,619
12200,622
12210,312
12201,590
12206,435
12206,430
12196,740
12210,305
12200,615
12201,584
12200,618
12210,308
12200,617
12195,783
12200,628
12201,596
12211,286
12205,475
12200,629
12196,753
12201,598
12199,660
12200,624
12200,623
12201,592
12200,626
12200,625
12202,574
12200,635
12200,638
12206,452
12195,792
12200,632
12200,631
12210,321
12200,634
12200,633
12200,644
12195,799
12200,646
12214,206
12200,640
12200,639
12200,642
12210,332
12200,641
12203,548
12202,579
12201,610
12200,652
12195,809
12206,468
12211,312
12200,653
12206,462
12210,337
12200,647
12200,650
12200,649
12210,350
12200,660
12200,659
12204,535
12195,814
12203,569
12200,662
12195,816
12206,475
12199,687
12200,655
12210,348
12200,658
12200,657
12201,626
12200,668
12211,327
12200,667
12206,484
12199,701
12195,825
12200,670
12200,669
12201,638
12200,664
12200,663
12214,229
12195,821
12200,665
12195,831
12200,676
12206,490
12214,241
12206,492
12207,460
12200,677
12210,367
12200,672
12195,826
12199,702
12199,705
12200,674
12195,829
12206,487
12211,332
12205,518
12200,673
12213,270
12199,715
12200,684
12200,683
12196,810
12210,376
12200,686
12206,499
12206,494
12200,680
12206,493
12200,679
12202,617
12200,682
12201,650
12200,692
12200,691
12210,384
12205,539
12201,663
12200,694
12202,632
12195,848
12206,507
12202,626
12206,502
12214,253
12200,687
12201,659
12200,689
12201,658
12200,699
12195,854
12199,730
12214,268
12200,702
12206,515
12210,391
12200,696
12202,634
12214,261
12200,698
12210,388
12201,667
12200,708
12195,863
12200,707
12200,710
12200,709
12206,518
12200,704
12205,548
12206,517
12200,703
12200,706
12195,861
12199,737
12200,705
12200,716
12200,715
12213,312
12200,718
12199,749
12195,872
12200,712
12200,714
12205,559
12210,404
12200,713
12205,558
12200,724
12205,569
12195,878
12210,416
12200,726
12213,316
12210,411
12213,318
12200,732
12206,546
12203,638
12200,731
12206,545
12200,734
12206,548
12200,733
12206,542
12200,727
12206,541
12200,730
12205,574
12200,729
12200,740
12195,895
12200,739
12204,618
12214,308
12200,742
12200,741
12205,586
12201,705
12202,674
12206,550
12195,891
12200,735
12195,893
12202,676
12200,738
12200,737
12206,562
12214,314
12201,716
12200,747
12200,750
12210,440
12200,749
12200,744
12195,899
12200,743
12200,746
12206,560
12210,435
12200,745
12205,590
12211,404
12200,756
12203,663
12206,570
12218,200
12195,913
12206,572
12200,757
12200,752
12200,751
12205,596
12195,906
12200,753
12211,412
12195,908
12196,888
12200,764
12216,268
12202,701
12195,918
12200,766
12206,579
12200,760
12210,449
12200,759
12195,914
12214,328
12200,762
12206,586
12205,617
12218,214
12200,771
12195,926
12200,774
12200,773
12206,587
12195,928
12200,768
12195,923
12200,767
12206,584
12200,770
12201,739
12200,769
12200,780
12206,596
12200,781
12211,440
12206,590
12195,931
12200,776
12200,775
12200,778
12206,592
12210,468
12200,777
12202,715
12205,632
12206,601
12200,787
12218,229
12200,790
12211,449
12200,789
12206,598
12211,442
12200,783
12195,938
12214,352
12199,816
12200,785
12200,796
12206,610
12200,795
12206,609
12217,268
12199,829
12211,451
12200,792
12202,730
12195,947
12195,946
12200,791
12213,391
12205,638
12206,607
12200,793
12200,803
12200,805
12205,650
12200,799
12200,801
12200,812
12213,409
12210,502
12206,626
12200,811
12200,814
12205,659
12200,813
12202,746
12200,808
12200,807
12200,810
12200,809
12203,716
12200,820
12214,386
12206,633
12218,261
12200,819
12200,822
12200,821
12200,816
12200,815
12205,660
12205,663
12204,694
12200,817
12206,642
12200,828
12210,517
12200,827
12200,830
12206,644
12200,829
12195,984
12200,824
12199,854
12206,637
12200,823
12200,826
12213,423
12200,825
12195,991
12206,650
12200,835
12206,649
12200,838
12200,837
12200,832
12200,831
12205,676
12213,428
12200,833
12206,658
12200,844
12195,998
12218,288
12200,845
12206,659
12210,535
12201,814
12200,840
12211,499
12200,839
12200,842
12213,438
12200,852
12195,1007
12201,820
12202,792
12195,1009
12206,667
12200,853
12200,848
12201,816
12195,1002
12200,850
12218,292
12195,1005
12200,849
12205,705
12200,860
12206,674
12210,550
12201,829
12210,549
12200,859
12211,518
12200,862
12200,861
12210,551
12206,675
12205,701
12200,856
12200,858
12201,827
12210,548
12218,299
12201,826
12200,857
12206,671
12214,423
12200,868
12200,870
12195,1025
12200,864
12200,863
12210,553
12200,866
12206,680
12200,865
12202,814
12200,876
12214,442
12211,535
12195,1030
12199,906
12200,875
12200,878
12204,753
12218,314
12200,872
12200,871
12195,1026
12200,874
12214,440
12195,1028
12201,842
12200,873
12199,915
12200,883
12210,576
12218,328
12203,793
12195,1041
12205,730
12200,885
12200,880
12205,724
12195,1034
12210,572
12200,881
12211,540
12200,892
12200,891
12206,705
12202,829
12205,739
12206,707
12200,893
12202,831
12195,1043
12200,888
12202,826
12210,577
12200,887
12205,735
12201,858
12200,889
12195,1055
12201,868
12195,1054
12200,899
12200,902
12195,1056
12203,808
12200,901
12201,865
12200,896
12218,338
12200,895
12210,588
12200,898
12195,1052
12200,897
12216,412
12200,908
12218,350
12200,907
12202,848
12200,910
12200,909
12200,904
12200,903
12213,500
12200,906
12200,905
12202,854
12200,916
12200,915
12200,918
12210,607
12200,917
12200,912
12206,726
12200,911
12200,914
12206,728
12210,603
12200,913
12200,924
12195,1078
12200,923
12202,861
12206,737
12200,926
12206,739
12200,925
12213,517
12196,1044
12210,610
12200,920
12202,857
12200,922
12218,364
12206,735
12200,921
12218,363
12206,746
12200,932
12195,1087
12201,900
12195,1086
12200,931
12217,404
12200,934
12205,778
12200,928
12195,1083
12201,896
12200,927
12210,620
12201,899
12200,929
12211,588
12199,971
12200,942
12203,848
12200,941
12206,755
12200,936
12218,378
12200,935
12201,907
12195,1093
12200,938
12200,937
12200,948
12195,1102
12200,947
12206,764
12211,609
12200,950
12210,640
12201,918
12214,510
12201,913
12200,944
12200,943
12195,1098
12200,946
12200,945
12218,398
12195,1111
12200,956
12200,955
12195,1110
12203,865
12202,895
12200,957
12200,952
12206,766
12213,549
12201,923
12218,396
12210,644
12200,953
12206,767
12195,1119
12200,964
12201,932
12200,966
12200,965
12195,1120
12210,655
12206,774
12218,402
12199,991
12200,959
12201,928
12206,776
12210,652
12200,962
12196,1086
12217,435
12195,1116
12200,961
12199,1003
12200,972
12205,816
12200,971
12195,1126
12203,878
12200,974
12200,973
12199,1004
12202,906
12213,564
12218,409
12200,967
12195,1125
12211,629
12205,814
12210,659
12211,628
12200,980
12200,979
12201,948
12200,982
12200,981
12210,671
12205,826
12206,795
12205,821
12200,976
12199,1006
12200,975
12205,823
12200,978
12202,916
12202,915
12200,977
12200,988
12195,1142
12200,987
12200,990
12205,829
12210,674
12200,984
12206,797
12200,983
12201,952
12205,831
12195,1141
12200,986
12218,428
12210,675
12195,1140
12200,985
12200,996
12213,592
12195,1150
12201,964
12200,995
12200,998
12199,1028
12200,997
12205,842
12200,992
12200,991
12200,994
12199,1025
12202,931
12211,652
12218,435
12200,993
12207,776
12219,404
12201,962
12211,663
12200,1004
12199,1034
12211,662
12200,1003
12200,1006
12203,913
12206,819
12200,1005
12218,442
12202,938
12206,814
12203,907
12195,1154
12211,658
12200,999
12206,816
12200,1002
12203,908
12219,412
12200,1001
12210,691
12205,857
12199,1043
12200,1011
12205,856
12200,1014
12201,982
12200,1013
12200,1007
12200,1010
12205,854
12200,1009
12211,679
12200,1019
12200,1022
12206,835
12200,1021
12205,861
12200,1016
12200,1015
12199,1046
12195,1173
12201,987
12205,863
12200,1018
12211,677
12202,955
12200,1017
12199,1048
12195,1183
12200,1028
12200,1027
12200,1030
12199,1061
12218,472
12199,1060
12200,1029
12200,1024
12203,931
12200,1023
12206,840
12200,1026
12200,1025
12205,881
12200,1036
12200,1035
12210,728
12200,1038
12200,1037
12201,1001
12200,1032
12195,1186
12216,535
12200,1034
12206,848
12195,1189
12201,1003
12202,971
12200,1044
12206,858
12200,1043
12195,1201
12200,1046
12202,984
12218,488
12200,1045
12200,1040
12206,854
12195,1195
12201,1009
12206,853
12200,1039
12210,729
12200,1042
12200,1041
12200,1052
12200,1051
12205,896
12205,899
12206,868
12200,1054
12210,743
12200,1053
12211,707
12200,1048
12205,893
12200,1047
12213,644
12205,895
12209,771
12218,492
12210,740
12200,1050
12199,1081
12200,1049
12195,1204
12195,1215
12200,1060
12201,1028
12200,1059
12199,1093
12200,1062
12205,906
12200,1061
12200,1056
12195,1210
12216,559
12203,962
12218,497
12200,1055
12200,1058
12206,872
12200,1057
12195,1223
12200,1068
12218,510
12201,1036
12199,1098
12200,1067
12206,884
12195,1225
12200,1070
12200,1069
12205,908
12210,753
12214,632
12200,1066
12200,1065
12218,518
12200,1075
12206,889
12200,1078
12205,923
12200,1077
12218,519
12200,1072
12210,762
12195,1227
12200,1071
12201,1040
12195,1226
12205,916
12200,1074
12206,887
12205,918
12203,991
12210,774
12195,1239
12200,1084
12201,1052
12205,928
12200,1083
12200,1086
12205,931
12206,900
12201,1055
12195,1240
12200,1085
12210,770
12200,1080
12217,553
12205,925
12200,1079
12196,1203
12201,1048
12200,1082
12211,741
12195,1236
12211,740
12210,771
12200,1081
12201,1061
12200,1092
12206,905
12211,753
12213,691
12200,1093
12206,907
12199,1119
12195,1243
12200,1088
12200,1087
12202,1025
12210,777
12195,1242
12201,1056
12203,994
12202,1028
12198,1152
12200,1090
12200,1089
12200,1100
12195,1254
12206,913
12200,1099
12199,1133
12195,1257
12213,698
12200,1096
12195,1251
12202,1034
12199,1126
12200,1095
12200,1098
12195,1253
12218,539
12206,911
12200,1097
12200,1108
12213,704
12206,921
12205,952
12200,1110
12205,955
12200,1109
12200,1104
12201,1072
12200,1103
12218,545
12211,762
12210,796
12200,1106
12218,548
12202,1043
12218,558
12200,1116
12195,1271
12200,1115
12204,991
12195,1270
12201,1087
12200,1118
12195,1272
12218,559
12200,1117
12200,1112
12213,709
12199,1142
12200,1111
12195,1266
12211,770
12203,1021
12195,1269
12200,1114
12206,927
12200,1113
12202,1051
12216,628
12211,783
12200,1124
12202,1062
12200,1126
12205,971
12196,1250
12206,940
12195,1281
12212,753
12218,567
12200,1125
12216,629
12210,810
12205,965
12200,1120
12201,1089
12200,1119
12200,1122
12200,1121
12199,1152
12200,1132
12200,1131
12211,793
12195,1289
12203,1041
12210,824
12207,916
12200,1133
12214,694
12196,1252
12200,1128
12200,1127
12196,1251
12203,1034
12206,944
12200,1130
12211,789
12210,819
12206,943
12200,1129
12200,1140
12206,953
12200,1139
12201,1108
12200,1142
12210,832
12205,987
12200,1141
12216,640
12200,1136
12228,268
12196,1260
12210,825
12200,1135
12195,1290
12200,1138
12230,208
12200,1137
12205,982
12218,579
12201,1106
12202,1086
12218,590
12200,1148
12213,745
12195,1302
12200,1150
12206,964
12200,1144
12218,586
12201,1112
12202,1081
12210,833
12200,1143
12211,805
12206,960
12200,1145
12204,1021
12201,1125
12200,1156
12211,814
12195,1310
12200,1158
12205,1003
12199,1189
12211,816
12200,1157
12195,1307
12200,1151
12218,596
12203,1061
12200,1154
12200,1153
12213,750
12211,812
12214,730
12200,1164
12195,1319
12218,605
12204,1039
12201,1132
12200,1163
12210,853
12211,825
12200,1166
12200,1165
12202,1103
12205,1010
12213,762
12202,1098
12200,1162
12211,821
12195,1316
12200,1161
12207,955
12202,1110
12200,1172
12200,1171
12206,985
12213,768
12203,1078
12200,1174
12200,1173
12196,1297
12201,1142
12195,1328
12216,677
12201,1137
12206,982
12210,857
12200,1167
12218,612
12200,1170
12201,1139
12220,549
12196,1304
12200,1179
12206,993
12202,1120
12218,624
12207,965
12206,995
12201,1150
12200,1181
12200,1176
12201,1145
12206,990
12218,617
12200,1175
12202,1116
12195,1333
12200,1178
12219,588
12200,1177
12196,1312
12200,1188
12200,1187
12200,1190
12217,663
12218,632
12218,631
12200,1189
12205,1034
12200,1184
12200,1183
12211,845
12200,1186
12206,999
12200,1185
12211,844
12200,1196
12205,1041
12200,1195
12203,1102
12205,1043
12210,888
12195,1353
12200,1198
12200,1197
12210,887
12226,386
12200,1192
12199,1223
12200,1191
12214,757
12200,1194
12201,1163
12210,884
12195,1348
12218,635
12200,1193
12200,1204
12202,1142
12202,1141
12200,1203
12205,1048
12210,893
12200,1206
12196,1330
12201,1175
12218,647
12199,1236
12195,1360
12200,1205
12201,1174
12200,1200
12203,1106
12200,1199
12202,1140
12200,1202
12206,1016
12203,1108
12200,1201
12200,1212
12206,1025
12200,1211
12214,780
12200,1214
12206,1028
12218,655
12200,1213
12213,810
12200,1208
12210,898
12214,773
12200,1207
12205,1052
12200,1210
12205,1055
12200,1209
12218,662
12213,817
12206,1034
12200,1220
12200,1219
12201,1188
12200,1222
12206,1036
12218,663
12200,1221
12200,1216
12200,1215
12206,1029
12195,1370
12200,1218
12219,629
12206,1032
12218,660
12218,659
12205,1062
12200,1228
12206,1042
12200,1227
12202,1165
12200,1230
12195,1384
12200,1229
12211,888
12200,1224
12200,1223
12206,1037
12200,1226
12218,668
12200,1225
12196,1349
12200,1236
12213,833
12196,1360
12203,1142
12200,1235
12202,1173
12195,1390
12226,432
12200,1238
12201,1206
12218,679
12200,1237
12200,1232
12195,1387
12200,1231
12218,676
12200,1234
12200,1233
12210,934
12201,1213
12200,1244
12207,1026
12214,809
12200,1243
12200,1246
12210,936
12198,1307
12200,1245
12200,1240
12216,744
12200,1239
12211,898
12206,1053
12205,1087
12200,1242
12213,839
12206,1055
12195,1396
12205,1086
12196,1365
12200,1252
12201,1220
12200,1251
12202,1189
12218,696
12200,1254
12201,1223
12201,1222
12200,1253
12200,1248
12205,1093
12214,814
12210,937
12195,1402
12200,1247
12200,1250
12206,1064
12200,1249
12216,753
12195,1415
12200,1260
12218,702
12195,1414
12199,1290
12202,1197
12218,701
12200,1262
12196,1386
12205,1106
12200,1261
12200,1256
12195,1411
12218,698
12200,1255
12206,1069
12200,1258
12195,1413
12205,1103
12210,948
12200,1257
12206,1071
12205,1102
12203,1164
12199,1288
12201,1237
12200,1268
12195,1423
12200,1267
12216,771
12203,1174
12200,1270
12206,1084
12210,960
12200,1269
12200,1264
12206,1077
12205,1108
12218,705
12200,1263
12199,1294
12202,1201
12202,1204
12201,1235
12195,1421
12200,1266
12200,1265
12206,1079
12195,1420
12214,842
12195,1431
12199,1307
12200,1276
12200,1275
12205,1120
12200,1278
12211,937
12210,967
12200,1277
12206,1091
12199,1303
12200,1272
12202,1209
12200,1271
12200,1274
12206,1087
12200,1273
12210,974
12200,1284
12200,1283
12200,1286
12218,727
12200,1285
12217,753
12205,1125
12200,1280
12204,1156
12200,1279
12218,724
12208,1034
12200,1282
12200,1281
12203,1188
12200,1292
12195,1447
12210,982
12200,1291
12205,1139
12203,1201
12200,1294
12210,983
12200,1293
12199,1319
12205,1133
12200,1288
12202,1225
12200,1290
12195,1445
12206,1104
12204,1165
12216,793
12200,1289
12202,1227
12200,1300
12214,866
12195,1455
12220,679
12200,1299
12200,1302
12195,1457
12200,1301
12210,991
12195,1456
12202,1239
12205,1141
12200,1296
12206,1110
12195,1451
12218,737
12200,1295
12201,1264
12205,1140
12206,1112
12210,988
12200,1298
12205,1142
12218,739
12203,1215
12210,998
12200,1308
12199,1339
12218,750
12205,1152
12218,749
12200,1307
12195,1462
12200,1310
12201,1279
12200,1309
12200,1304
12210,994
12195,1459
12206,1118
12200,1303
12216,810
12200,1306
12200,1305
12205,1150
12211,975
12202,1254
12200,1316
12211,974
12200,1315
12213,912
12200,1318
12195,1472
12206,1131
12206,1126
12200,1312
12195,1467
12210,1001
12196,1435
12213,910
12200,1313
12221,673
12218,766
12200,1324
12200,1323
12201,1292
12206,1137
12195,1478
12200,1326
12216,824
12195,1475
12200,1320
12200,1319
12205,1164
12196,1443
12207,1102
12200,1322
12211,981
12214,888
12200,1321
12206,1146
12200,1332
12210,1022
12200,1331
12196,1455
12200,1334
12202,1272
12200,1333
12195,1488
12196,1457
12205,1173
12200,1328
12218,770
12199,1358
12214,893
12200,1327
12211,986
12204,1203
12205,1175
12200,1330
12203,1237
12196,1454
12200,1329
12201,1298
12214,895
12205,1174
12210,1030
12200,1339
12213,936
12200,1342
12200,1341
12218,783
12200,1336
12200,1335
12202,1276
12210,1028
12206,1152
12200,1338
12213,934
12200,1337
12200,1348
12206,1162
12195,1502
12218,789
12210,1037
12207,1130
12199,1378
12196,1474
12202,1288
12218,792
12201,1318
12206,1163
12200,1349
12213,941
12203,1250
12205,1188
12199,1374
12200,1343
12195,1500
12200,1345
12205,1201
12200,1355
12213,952
12207,1138
12200,1358
12220,737
12218,799
12200,1357
12200,1351
12210,1044
12200,1354
12202,1292
12201,1322
12200,1353
12199,1384
12206,1178
12201,1333
12200,1363
12203,1270
12200,1366
12203,1272
12202,1303
12219,776
12200,1365
12201,1329
12206,1174
12200,1360
12196,1483
12199,1390
12200,1359
12200,1362
12210,1052
12206,1175
12205,1206
12200,1361
12230,442
12218,814
12202,1310
12200,1372
12210,1061
12211,1030
12200,1374
12218,816
12213,971
12201,1343
12200,1373
12211,1032
12200,1368
12200,1367
12203,1274
12200,1370
12200,1369
12202,1307
12200,1380
12205,1225
12200,1379
12214,948
12200,1382
12201,1351
12219,793
12205,1227
12197,1474
12202,1319
12200,1381
12207,1164
12206,1195
12200,1376
12201,1345
12211,1034
12200,1375
12205,1223
12200,1378
12214,944
12200,1377
12200,1388
12218,829
12200,1387
12200,1390
12210,1079
12214,955
12216,888
12200,1384
12200,1383
12200,1386
12210,1075
12200,1385
12210,1086
12200,1396
12200,1395
12199,1429
12200,1397
12210,1087
12200,1392
12205,1237
12200,1391
12204,1267
12200,1394
12216,898
12200,1393
12200,1404
12200,1403
12205,1251
12200,1406
12214,971
12200,1405
12203,1307
12201,1368
12200,1399
12200,1402
12211,1061
12206,1215
12213,998
12200,1401
12218,854
12200,1412
12213,1009
12200,1411
12210,1104
12200,1414
12217,887
12218,856
12206,1227
12200,1413
12200,1408
12200,1407
12199,1438
12200,1410
12202,1348
12200,1409
12201,1378
12218,862
12200,1420
12211,1079
12205,1265
12200,1419
12206,1233
12205,1264
12210,1109
12206,1236
12200,1422
12202,1360
12214,988
12200,1421
12202,1354
12214,982
12201,1385
12200,1416
12200,1415
12201,1384
