artists_1,artists_2
8726,8190
8701,8965
8704,8879
8710,8695
8863,3953
8710,8696
8769,6877
8795,6068
8712,8653
8764,7041
8712,8647
8710,8709
8727,8184
8727,8190
8727,8192
8706,8844
8712,8658
8708,8794
8710,8725
8710,8740
8710,8733
8710,8734
8712,8673
8712,8685
8710,8754
8706,8878
8710,8752
8701,9040
8712,8699
8703,8980
8712,8695
8793,6186
8712,8707
8712,8709
8710,8771
8710,8765
8710,8767
8736,7972
8795,6144
8712,8713
8776,6741
8710,8787
8868,3886
8774,6817
8795,6162
8710,8800
8710,8805
8730,8187
8710,8817
8793,6245
8710,8820
8875,3705
8712,8751
8712,8754
8863,4083
8712,8771
8708,8898
8863,4089
8859,4222
8710,8837
8708,8899
8710,8838
8710,8839
8710,8840
8712,8787
8894,3147
8710,8846
8710,8847
8750,7618
8712,8798
8793,6287
8710,8854
8710,8867
8795,6233
8712,8800
8717,8657
8727,8348
8710,8871
8736,8066
8712,8820
8711,8851
8727,8351
8774,6894
8736,8073
8706,9003
8717,8675
8776,6841
8710,8888
8712,8836
8710,8899
8823,5405
8712,8840
8875,3801
8712,8854
8712,8847
8710,8909
8894,3205
8736,8104
8712,8861
8712,8862
8815,5662
8717,8702
8868,4028
8719,8647
8774,6944
8717,8716
8712,8871
8795,6300
8777,6868
8710,8946
8708,9010
8736,8135
8710,8943
8875,3838
8777,6877
8806,5974
8719,8673
8894,3257
8730,8349
8743,7944
8979,629
8727,8452
8795,6345
8736,8169
8719,8696
8711,8944
8736,8179
8777,6908
8719,8707
8717,8770
8719,8718
8712,8948
8708,9067
8712,8946
8889,3470
8719,8740
8739,8115
8799,6266
8737,8190
8708,9095
8719,8754
8710,9034
8712,8969
8750,7800
8710,9057
8719,8787
8711,9037
8750,7823
8736,8257
8745,7989
8832,5287
8719,8792
8736,8271
8868,4182
8739,8190
8736,8284
8711,9061
8739,8188
8719,8820
8712,9034
8726,8612
8886,3645
8895,3366
8750,7862
8724,8668
8731,8452
8717,8893
8777,7041
8727,8592
8964,1246
8784,6838
8783,6863
8736,8322
8777,7056
8745,8069
8736,8343
8719,8871
8882,3837
8875,4053
8719,8898
8736,8382
8717,8965
8717,8967
8717,8987
8736,8394
8875,4097
8785,6895
8719,8948
8729,8639
8784,6934
8875,4113
8717,9019
8717,9020
8736,8433
8739,8351
8750,8012
8739,8348
8719,8969
1941,6100
8783,6997
8894,3557
8739,8377
8729,8687
8719,9004
8895,3551
8826,5704
8727,8766
8788,6877
8729,8715
8719,9034
8727,8782
8903,3326
8887,3825
8882,3985
8727,8802
8729,8746
8809,6266
8719,9067
8809,6283
8727,8833
8824,5837
8729,8787
8784,7090
8882,4064
8757,7944
8790,6922
8815,6153
8755,8027
8907,3326
8750,8195
1941,6283
8750,8202
8727,8913
8750,8210
8729,8869
8788,7041
8793,6890
8788,7056
8755,8083
8912,3218
8739,8592
8729,8897
8729,8908
8793,6920
8889,3957
8815,6253
8793,6942
8729,8921
8737,8673
8739,8612
8729,8940
8793,6957
8795,6912
8729,8953
8791,7032
8739,8644
8739,8652
8814,6345
8795,6934
8739,8673
8739,8668
8793,7005
8727,9053
8736,8779
8739,8696
8750,8351
8823,6100
8815,6353
8882,4300
8739,8738
8730,9027
8750,8430
8737,8833
8832,5897
8731,9040
8739,8787
8739,8798
8795,7062
8737,8856
8739,8817
8757,8254
8739,8820
8895,3996
8739,8833
8795,7090
8745,8658
8824,6215
8736,8944
8739,8862
8889,4222
8743,8754
8739,8880
8778,7674
8821,6342
8797,7087
8824,6257
8736,9000
8739,8920
8775,7800
8745,8744
8736,9037
1941,6687
8778,7729
8745,8754
8736,9070
1941,6735
8781,7686
8739,8997
8778,7800
8778,7820
8745,8843
8777,7870
8826,6353
8769,8132
8809,6888
8907,3859
8778,7860
8750,8749
8776,7954
8745,8925
8769,8190
1941,6876
8918,3590
8757,8589
8809,6994
8811,6932
8832,6293
8863,5346
8783,7829
8831,6334
8924,3476
8745,9027
8815,6879
8816,6849
8814,6912
8778,8028
8930,3325
8755,8754
1941,7012
8918,3722
8785,7843
8907,4072
8904,4176
8793,7619
8841,6144
8757,8756
8755,8820
8774,8243
8907,4114
8784,7929
8816,6947
8763,8592
8790,7756
8814,7005
8815,6976
8750,9001
8750,8997
1941,7093
8853,5819
8815,6997
8919,3780
8815,6998
8919,3776
8755,8861
8793,7706
8750,9052
8870,5325
8841,6233
8823,6802
8912,4053
8778,8201
1525,3674
8757,8864
8781,8128
8824,6796
8755,8936
8790,7848
8815,7079
8778,8233
8755,8961
8853,5929
8795,7729
8790,7880
8755,8972
8781,8180
8819,7005
8821,6943
8757,8936
8776,8349
8776,8358
8797,7715
8907,4299
8785,8083
8783,8162
8929,3645
8797,7733
8939,3342
8764,8768
8790,7972
8830,6735
8755,9073
8924,3838
8795,7843
8781,8278
8912,4217
8941,3329
8826,6890
8778,8403
8824,6983
8821,7087
8791,8028
8826,6943
8793,7960
8832,6753
8790,8066
8824,7009
8769,8715
8793,7971
8790,8073
8764,8878
8852,6155
8826,7005
8852,6201
8769,8768
8824,7073
8763,8977
9016,1138
8797,7938
8830,6922
8826,7048
8882,5325
8796,7989
8918,4208
8769,8844
8775,8658
8784,8377
8826,7087
8795,8055
8784,8398
8769,8857
8769,8866
8769,8878
8769,8879
8931,3865
8918,4261
8935,3736
8796,8069
8778,8635
8790,8275
8790,8271
8774,8773
8804,7846
8950,3331
8835,6904
1525,4136
8919,4306
8835,6909
8778,8676
8806,7820
8929,4014
8776,8752
8778,8702
8778,8699
8778,8709
8781,8624
8778,8713
8806,7860
8795,8201
1525,4191
8781,8643
8795,8233
8814,7637
8778,8754
1941,7714
8835,6998
8790,8394
1941,7729
8783,8617
8835,7025
8778,8798
8784,8617
1941,7767
8814,7706
8835,7051
8956,3312
8930,4120
8784,8647
8859,6345
8783,8696
8781,8771
8841,6904
8795,8345
1941,7822
8793,8400
8806,8012
8778,8901
8781,8812
8778,8915
8939,3934
8795,8398
8962,3221
1941,7880
8929,4254
8781,8872
8958,3382
8784,8787
8950,3647
8784,8805
8778,8992
8868,6215
8785,8798
8804,8215
8784,8836
1941,7972
8937,4093
1554,3596
1554,3614
1941,8012
8801,8345
8818,7829
8806,8210
8952,3684
8784,8902
8793,8639
8963,3362
9025,1455
8793,8647
8784,8920
1941,8066
8793,8652
8793,8653
8784,8928
8962,3426
8815,7995
8795,8617
8815,7990
8793,8684
8870,6300
8793,8687
1941,8104
8791,8754
1941,8115
8781,9073
8822,7800
8793,8709
1941,8135
8785,8961
8793,8715
8795,8653
8852,6886
8784,9003
8797,8600
8795,8661
8795,8675
8821,7870
8793,8748
8784,9029
8797,8626
8796,8658
1941,8169
8793,8746
8939,4221
1941,8179
8784,9034
8795,8702
8793,8761
8795,8699
8882,6013
1941,8188
1941,8195
8831,7600
1941,8202
8793,8789
8904,5346
8951,3900
8962,3553
8793,8792
8826,7770
8952,3866
8941,4226
8815,8132
1941,8233
8795,8766
8882,6068
8796,8744
8785,9086
1941,8257
8793,8833
8855,6912
8795,8772
8793,8845
8815,8164
8809,8358
1941,8275
8795,8789
8790,8944
8795,8798
8875,6319
8830,7714
8797,8738
8963,3586
8852,7041
1941,8287
8793,8871
8809,8368
8816,8154
8858,6852
8795,8805
8797,8752
8814,8226
8793,8878
1941,8294
8795,8810
8826,7862
8795,8825
8793,8880
8797,8758
8952,3954
8793,8888
8887,5974
8868,6564
8795,8840
8793,8897
8815,8215
8795,8836
1941,8322
8793,8899
8793,8908
8801,8661
8831,7733
8912,5217
8882,6153
1941,8343
8801,8673
8793,8940
8797,8820
8793,8945
1941,8368
8793,8946
8858,6943
8795,8890
8793,8953
8950,4087
1941,8382
8950,4093
8793,8969
1941,8394
8835,7679
8911,5325
8795,8928
8814,8345
8882,6233
8830,7848
8956,3959
1941,8430
8863,6838
8813,8398
8952,4109
8793,9034
8795,8980
8859,7005
8831,7892
8912,5378
8793,9084
8815,8403
8797,8969
8886,6208
8863,6938
8831,7938
8950,4251
8830,7972
8796,9027
8830,7987
8832,7921
8868,6812
8804,8803
8982,3287
8863,6987
8809,8658
1554,4198
8831,7994
8863,7005
8808,8723
8964,3893
8886,6319
8830,8066
8830,8073
9050,1251
8863,7049
8823,8301
8799,9038
9050,1260
8895,6078
8868,6928
1941,8668
8804,8908
8811,8702
8814,8617
8808,8807
8962,4061
1941,8725
8848,7600
8966,3953
8979,3550
8870,6929
8814,8661
8816,8602
8814,8673
8814,8675
8821,8452
8911,5662
1941,8744
1941,8751
1941,8765
8804,9003
1941,8779
8868,7041
8831,8188
8814,8709
8811,8810
1561,4198
8974,3780
8815,8705
8819,8592
8830,8257
8958,4297
8830,8275
8875,6877
8875,6886
8815,8748
8814,8789
8830,8294
8979,3687
8815,8766
8815,8768
8813,8840
1941,8879
8813,8836
8815,8789
8912,5775
8815,8782
8849,7729
1941,8891
8814,8825
8834,8202
8963,4205
8815,8803
8814,8840
8848,7798
8875,6955
8904,6068
8821,8644
8815,8844
8823,8592
8849,7798
8830,8394
8849,7800
8813,8928
8821,8696
9058,1350
8814,8916
8853,7701
8995,3312
8821,8707
8835,8266
8814,8920
8815,8898
8830,8433
8903,6171
1941,9000
8819,8782
8832,8377
8822,8699
8875,7056
8822,8702
8813,8994
8821,8740
8882,6863
1941,9053
8815,8965
8904,6201
1941,9070
1525,5584
8842,8132
8821,8792
8826,8652
8815,9003
8882,6934
8852,7864
8821,8820
8841,8201
8822,8810
8815,9035
8841,8233
8982,3869
8855,7820
8859,7706
8814,9115
8826,8754
8822,8905
9007,3178
8912,6119
8910,6194
8831,8644
8882,7074
8853,7980
8831,8664
8826,8825
8979,4097
8823,8927
8892,6796
8831,8696
8910,6266
8826,8880
8826,8888
8831,8738
8831,8740
8887,7012
8823,8991
8892,6852
8831,8752
8826,8920
8848,8233
8983,4061
8835,8655
8886,7072
8831,8782
8835,8671
8849,8233
8887,7074
8580,206
8826,8975
8912,6317
8911,6353
8982,4174
8835,8733
8912,6346
8923,6013
8919,6155
8853,8209
1525,6018
8834,8833
8832,8896
8919,6201
9016,3206
8855,8210
9016,3222
8841,8653
8585,206
8581,332
9016,3266
8841,8691
8830,9037
8923,6162
8584,332
8924,6172
8585,332
8583,391
8587,268
8841,8798
8860,8215
9005,3725
8587,308
8904,6886
9024,3159
8587,332
8585,412
8950,5489
8590,268
8848,8658
8876,7801
8910,6753
8849,8653
1525,6317
8587,391
8859,8345
8859,8348
8929,6186
8583,535
8580,640
8590,332
8583,553
8947,5662
8849,8702
8937,5974
8583,559
8849,8699
9024,3286
8581,628
8850,8673
8581,655
8850,8709
8580,691
8583,629
8583,640
8585,588
8848,8820
8850,8754
8863,8351
8587,535
8584,629
8849,8798
8583,655
9014,3687
8887,7625
8849,8810
8594,332
8912,6863
8848,8847
8585,629
8849,8836
8580,808
8585,655
8587,588
8911,6934
8594,391
8849,8877
8853,8751
8583,744
8852,8802
8587,629
8581,824
8582,793
8587,640
8855,8723
8585,707
9014,3801
8937,6185
8859,8617
8583,795
8858,8658
8583,810
8889,7706
8848,8977
8585,753
8848,8997
8583,824
8850,8932
8859,8661
8594,502
8859,8673
8594,517
8887,7820
8951,5830
8585,793
9007,4109
8853,8877
8584,832
8587,753
8585,810
8887,7843
8585,819
8594,549
8585,824
8586,795
8603,268
8583,898
8887,7860
8860,8691
9033,3342
8855,8854
8860,8699
8860,8702
8887,7876
8853,8925
8882,8027
8603,308
8594,588
9016,3895
8587,810
8853,8948
8587,824
8587,832
8603,332
8585,898
8594,629
8590,753
8886,7971
8858,8833
9016,3948
8858,8844
8859,8825
8939,6353
8860,8810
8887,7968
8606,308
8874,8377
8942,6283
9007,4274
8859,8862
8887,7991
8583,1061
9024,3769
8855,9019
8923,6912
9016,4026
8956,5897
8859,8916
8594,753
8956,5915
8874,8459
8860,8901
8598,640
8863,8833
8594,795
8603,535
8594,810
8594,824
8863,8862
8585,1109
8603,553
8603,549
8870,8661
8863,8880
8863,8888
8583,1190
8870,8699
8603,588
8870,8702
8863,8920
9041,3410
8954,6119
8929,6902
8604,588
8583,1251
8947,6353
8603,629
8583,1260
8603,640
8875,8602
8954,6155
8863,8977
8882,8400
8584,1250
8583,1304
9044,3409
8608,535
8583,1312
8619,206
8615,332
9016,4281
9016,4282
9044,3426
8870,8836
8583,1350
8608,588
8583,1365
9022,4133
8585,1297
8587,1246
8603,753
8607,629
8584,1350
8583,1386
8583,1387
8585,1326
8870,8869
8594,1044
8585,1330
8608,629
8588,1251
8931,7005
8603,795
8585,1365
8585,1360
8603,824
8956,6266
8603,832
8931,7049
8585,1387
8583,1455
8956,6283
8587,1350
8874,8833
8608,707
9023,4226
8962,6128
8870,8980
8907,7829
8956,6317
8870,8994
8583,1508
8882,8617
8585,1455
8587,1386
8595,1138
8587,1387
9047,3520
8615,535
9032,4012
8587,1420
8939,6904
9047,3551
9030,4091
8587,1435
8585,1508
8587,1443
8608,793
8587,1457
2285,206
9055,3333
8964,6162
8586,1497
8590,1387
8615,629
8887,8589
8594,1302
9050,3550
8594,1297
8882,8768
8886,8637
8590,1443
8882,8772
8882,8789
8937,7087
8594,1330
8886,8664
8603,1061
2285,332
8595,1330
9050,3640
8903,8202
9055,3494
2285,391
8886,8761
8889,8673
8882,8900
8882,8920
9055,3551
8907,8162
8887,8798
8632,332
8596,1455
8603,1246
8623,628
8887,8829
9046,3895
2285,502
8603,1251
8887,8843
2285,517
9041,4076
8882,9003
8887,8854
8974,6171
2285,535
8887,8864
8882,9029
9042,4072
8952,6857
8603,1302
2285,549
8601,1360
2285,553
8956,6741
8603,1312
2285,559
8886,8932
8950,6944
8610,1109
8886,8945
8923,7798
2285,588
8603,1350
8606,1260
8951,6944
8950,6987
8610,1138
8887,8936
8603,1365
8971,6353
1554,6902
2285,629
8911,8215
8911,8226
1525,7814
8603,1386
8603,1387
2285,640
9054,3804
8887,9002
8952,6987
8603,1420
2285,677
8611,1190
8887,9021
8603,1435
2285,691
8603,1443
8603,1457
8614,1109
8957,6862
8634,502
8996,5662
9047,4098
8608,1326
8603,1474
8918,8108
8607,1360
9069,3423
8631,629
8603,1497
9049,4062
2285,753
8611,1251
8623,898
2285,771
8979,6257
2285,777
9058,3804
9044,4251
2285,795
8642,332
8606,1457
8611,1304
2285,808
2285,810
2018,9092
2285,819
8957,6987
2285,824
8924,8012
2285,832
8957,6998
9055,3996
8981,6287
8634,671
8627,888
8958,7005
8609,1455
2285,888
2285,898
8907,8617
9085,3108
2272,1330
8957,7087
8935,7789
8929,7980
8611,1455
8937,7733
8958,7087
8906,8699
8962,6984
8633,793
8894,9086
1561,7037
8606,1631
9055,4109
8627,988
8613,1443
8923,8233
8923,8226
8640,628
8966,6902
8904,8833
9056,4133
2285,1044
8918,8433
8966,6943
8912,8626
9059,4088
9066,3865
8645,535
2285,1109
9055,4230
9055,4238
8906,8869
8966,7005
9054,4278
8911,8754
8906,8905
9066,3953
8929,8201
2285,1203
8650,502
8929,8233
2285,1238
8906,8980
2285,1251
2285,1250
8924,8430
2285,1252
2285,1260
8907,8990
8642,824
8642,819
8971,7005
8633,1109
8620,1508
8640,898
8645,753
2285,1302
8995,6283
2285,1312
8911,8908
8633,1138
8942,7944
2285,1326
9071,3958
8912,8899
8995,6334
2285,1360
8642,898
8912,8913
2285,1365
8631,1250
8645,824
9078,3794
2285,1387
2285,1386
8632,1246
8979,6868
9065,4215
2285,1400
8979,6877
1554,7693
8912,8970
2285,1420
8627,1439
2285,1435
8911,9034
8985,6741
8923,8658
8654,628
2285,1457
8922,8709
8634,1252
2285,1474
8979,6958
8650,771
8982,6876
9074,4018
8912,9040
2285,1497
8959,7600
9072,4109
9083,3768
8634,1297
8923,8754
8919,8880
8979,7041
8633,1387
8979,7056
8982,6958
8923,8798
9079,3960
1554,7864
8926,8709
9089,3671
8634,1400
1554,7890
8923,8836
8923,8847
8983,6984
9072,4226
8964,7600
1554,7933
8960,7740
8918,9037
8918,9052
8922,8921
8929,8725
8964,7637
8642,1246
8931,8673
8662,628
9039,5325
8959,7798
1554,7983
8960,7770
9016,6046
9075,4217
8923,8925
8654,898
8942,8351
8640,1330
8583,3108
8583,3109
8582,3133
8929,8771
8583,3118
8964,7700
8929,8798
1554,8057
8585,3089
8929,8820
8581,3221
1554,8081
9044,5287
8585,3133
8923,9034
8585,3148
9106,3382
8581,3274
8642,1387
8582,3256
8964,7798
8580,3329
8937,8647
8958,7990
8587,3109
8580,3326
8587,3118
9085,4072
8580,3345
8580,3346
8937,8658
8642,1420
8649,1212
8584,3228
9013,6308
8581,3328
8968,7715
8951,8243
8586,3175
8585,3206
8581,3324
8937,8684
9081,4217
8581,3334
8585,3220
9114,3206
8585,3221
8585,3222
8929,8943
1525,9088
8585,3218
8585,3228
8585,3229
1554,8197
8584,3256
8650,1212
8669,629
8581,3357
9014,6319
8584,3274
8583,3324
8583,3325
8585,3256
8651,1212
8585,3266
8583,3341
8585,3274
8583,3346
8581,3409
8937,8752
8950,8349
8583,3342
8584,3311
8587,3220
8587,3221
8581,3425
8581,3426
8586,3265
8962,7996
8585,3311
8679,391
8581,3441
8931,8977
8929,9034
8583,3377
8941,8673
8585,3326
8583,3382
8584,3363
8585,3328
8585,3342
8958,8164
8582,3441
8585,3349
8956,8233
1554,8317
8585,3345
8581,3470
8585,3346
8585,3357
8929,9084
8585,3367
8588,3274
8581,3485
8585,3363
8590,3220
8584,3412
8585,3382
8581,3503
8587,3325
8585,3396
8582,3489
8587,3334
8963,8058
8582,3485
8935,8934
8585,3412
9124,3088
8935,8949
8583,3470
8582,3502
8585,3410
8588,3328
8581,3553
8679,517
8587,3362
8585,3425
8585,3426
8963,8098
8587,3382
8586,3409
8585,3441
8585,3442
8583,3514
8584,3485
8935,8989
9089,4208
8679,535
8582,3553
8686,332
8679,549
8595,3148
8585,3470
8585,3471
8587,3409
8584,3508
8585,3485
8581,3609
8595,3175
8941,8833
8581,3610
8649,1497
2333,691
8581,3607
8583,3554
8590,3333
8587,3426
8583,3550
9114,3486
8586,3471
8585,3502
8585,3503
8590,3342
8594,3218
8585,3508
8583,3573
8594,3228
8582,3609
8590,3362
8585,3519
8583,3574
8598,3109
8591,3328
8585,3514
8598,3118
8590,3367
8686,391
8947,8691
8937,9002
8585,3540
8584,3574
8679,629
8947,8705
8583,3599
8974,7864
2333,753
8580,3701
8587,3485
9119,3382
8585,3553
8594,3274
8679,640
8587,3503
8590,3410
2333,771
8590,3425
9028,6233
8583,3638
8587,3514
8595,3266
8593,3329
8963,8243
8583,3640
8656,1387
8594,3311
8679,677
8594,3326
8588,3514
8581,3736
8594,3333
8594,3329
8580,3765
8583,3683
8583,3684
8587,3554
8588,3523
8583,3687
8580,3780
8591,3441
8585,3627
1554,8600
8587,3574
8585,3638
8583,3701
8581,3756
8585,3633
8585,3645
8580,3801
8603,3089
8588,3554
8583,3702
9109,3780
8590,3485
8947,8803
8594,3363
8587,3586
8964,8285
8587,3598
8583,3723
8584,3692
8594,3382
8587,3607
8581,3794
8580,3825
8596,3329
8585,3665
8583,3727
8686,535
8583,3728
8585,3666
8679,753
8603,3109
8583,3729
8586,3647
8964,8314
8656,1471
8584,3705
8590,3520
9093,4311
8686,553
8679,771
8596,3341
8596,3342
9005,7059
8594,3409
8594,3410
8593,3441
8594,3412
8603,3133
8581,3824
8581,3825
8679,795
8580,3865
9014,6796
8585,3706
8662,1330
8686,588
8581,3837
8583,3777
8951,8753
8679,810
8591,3540
8584,3751
8594,3441
8588,3627
8585,3721
8679,808
8585,3723
8594,3444
8679,819
8584,3765
8951,8773
8942,9052
8583,3803
8590,3586
8583,3804
8585,3736
8597,3366
8679,824
8583,3801
8693,391
8582,3841
8585,3751
8587,3683
8585,3759
8590,3598
8587,3692
8590,3599
8594,3485
8582,3857
8587,3704
8587,3705
9014,6852
8686,629
8606,3109
8585,3762
9014,6857
8966,8348
8581,3893
8606,3118
8584,3801
8601,3274
8581,3895
8686,640
8588,3687
8585,3780
8595,3471
8581,3906
8606,3132
8581,3900
8585,3776
8585,3777
8603,3220
8603,3221
8697,312
8603,3228
8584,3827
8950,8866
8580,3953
8590,3638
8583,3866
8584,3838
8582,3893
8594,3523
8585,3803
8583,3874
8679,898
8591,3627
8603,3256
8698,312
8665,1330
8588,3727
8583,3885
9014,6902
8585,3817
8594,3540
8607,3147
8584,3861
8581,3948
8585,3824
8583,3886
8585,3825
8585,3827
8583,3898
8581,3960
8585,3837
8585,3838
8950,8913
8583,3906
8590,3692
8583,3909
8947,9003
8662,1455
8601,3357
8585,3854
8957,8707
8950,8917
8588,3756
8581,3984
8596,3520
8585,3861
8588,3768
8585,3862
8595,3553
8981,7971
8584,3888
8580,4014
8606,3220
8583,3933
8587,3803
8584,3896
8584,3897
8585,3866
8587,3804
8583,3934
8947,9035
8686,753
8586,3854
8585,3886
8603,3328
8583,3949
8581,4005
8603,3324
8603,3325
8585,3883
8583,3954
8584,3924
8585,3893
8588,3801
8585,3895
8583,3950
8586,3857
8585,3888
8586,3859
8603,3333
8585,3900
8581,4026
8686,771
8585,3896
8585,3897
8580,4053
8601,3412
8585,3909
8590,3751
8601,3410
8594,3627
8593,3671
8959,8709
8597,3540
8960,8673
8586,3883
8957,8766
8603,3357
8586,3884
8594,3645
8603,3367
8580,4081
8686,795
8583,3988
8603,3362
8603,3363
8590,3768
8580,4087
8590,3777
8585,3933
8585,3934
8583,3997
8587,3866
8580,4083
8604,3342
8603,3382
8686,810
8955,8857
8581,4061
1720,3765
8581,4062
8960,8707
8686,819
8586,3920
8594,3666
8688,753
8583,4018
8587,3895
8963,8624
8587,3897
8590,3804
8581,4077
8590,3798
8591,3768
8603,3396
8686,824
8688,771
8583,4028
8587,3898
8585,3960
8591,3776
8582,4055
8587,3900
8581,4098
8587,3906
8587,3909
8950,9040
8585,3980
8594,3701
1554,8946
8581,4106
8590,3827
8606,3326
8586,3948
8951,9027
8603,3426
8585,3984
8585,3985
8585,3986
8582,4089
8585,3997
8610,3222
8583,4060
8601,3503
8604,3410
9044,6149
8582,4088
8585,4005
8585,4000
8582,4093
8606,3349
9016,7025
8585,4012
8585,4014
8590,3866
8587,3960
8601,3520
8597,3645
8688,824
8584,4050
8686,898
8594,3751
8584,4062
8585,4025
8688,832
8585,4026
8583,4089
8693,691
8605,3412
8594,3765
8595,3736
8584,4071
8608,3328
8608,3329
8603,3485
8597,3671
8583,4116
8608,3341
8594,3776
8590,3900
8582,4148
8608,3342
8607,3366
9022,6888
8583,4113
8584,4091
8585,4060
8985,8044
8585,4062
8586,4031
8585,4063
8959,8847
8583,4120
8587,3997
8585,4071
8585,4064
8590,3909
8587,4003
8595,3756
8595,3757
8958,8888
8606,3426
8585,4077
8966,8652
9116,4002
8580,4227
8603,3514
8591,3888
8585,4075
8584,4106
8585,4087
8594,3801
8582,4174
8581,4205
8585,4081
8582,4175
8585,4094
8608,3382
8606,3437
8585,4088
8968,8600
8585,4089
8584,4127
8581,4220
8585,4097
8585,4098
8604,3519
8585,4108
8604,3520
8593,3862
8603,3553
8585,4104
8585,4106
8594,3827
8963,8773
8580,4262
8594,3837
8585,4116
8679,1203
8594,3838
8587,4050
8581,4237
8583,4176
8999,7674
8583,4186
8586,4093
8581,4248
8586,4094
8583,4188
8581,4251
8583,4182
8595,3812
8608,3409
8595,3813
8594,3854
8587,4071
8585,4133
8603,3573
8594,3861
8601,3645
8594,3862
8583,4205
8584,4174
8606,3485
8584,4168
8581,4261
8587,4077
8585,4148
8587,4087
8603,3586
8584,4175
8603,3598
8603,3599
8585,4158
8584,4189
8607,3470
8590,3997
8583,4215
8594,3874
8587,4091
8608,3441
8608,3442
8587,4093
8582,4248
8585,4164
8603,3607
8587,4104
8595,3857
8594,3888
8582,4253
8587,4098
8594,3893
8585,4173
8585,4174
8686,1044
8587,4113
8604,3586
8585,4175
8594,3896
8587,4106
8585,4168
8582,4261
