administrative_children_1,administrative_children_2
13338,40
13338,37
13338,38
13338,35
13338,36
13338,33
13338,34
13338,47
9578,11135
13338,45
12,9694
13338,46
9,10812
179,11686
13338,43
13338,44
50,8519
13338,41
9164,10654
13338,42
9732,10463
90,10353
13338,56
13338,53
13338,54
170,9925
6644,9937
13338,49
90,9336
13338,50
127,9213
13338,63
176,11791
12,9709
84,8502
13338,62
5117,9154
13338,59
9403,9402
13338,60
11003,11002
13338,57
11189,11382
13338,58
13338,71
51,8509
13338,67
13338,68
176,11804
13338,65
13338,66
13338,79
78,11774
13338,80
13338,77
13338,78
13338,75
13338,76
13338,73
13338,74
110,9765
13338,87
13338,88
9228,9736
13338,85
12,10757
13338,86
13338,83
13338,84
13338,81
13338,82
176,11822
13338,95
13338,96
5095,9862
13338,94
13338,91
13338,92
11189,10388
13338,89
118,11580
13338,90
13338,103
13338,104
9202,8511
13338,102
54,11520
13338,99
13338,100
13338,97
13338,98
13338,111
13338,112
13338,109
13338,110
13338,107
13338,108
9,10877
179,10728
110,12867
13338,106
13338,120
13338,117
13338,118
13338,115
13338,116
5115,10294
13338,114
13338,127
13338,128
10061,10578
13338,126
108,9870
9578,11209
186,10525
90,11453
13338,123
13338,124
13338,121
13338,122
9317,11120
13338,135
13338,136
9,9873
13338,133
90,9412
13338,134
118,9569
13338,131
166,10131
13338,129
9135,10616
13338,130
13338,143
13338,144
132,11189
13338,142
13338,140
13338,137
13338,138
13338,151
13338,152
13338,149
186,8500
13338,147
9278,10295
13338,145
13338,146
13338,159
9765,8521
13338,157
13338,158
110,10865
13338,156
6669,11314
10942,10941
9940,10262
13338,154
127,9317
13338,167
13338,168
75,10932
13338,165
13338,166
5161,10967
13338,164
13338,161
13338,162
13338,175
13338,176
13338,171
179,10791
13338,172
13338,169
13338,170
90,11505
13338,183
75,9923
13338,181
132,10205
13338,182
13338,179
13338,177
170,10055
186,8535
5095,9954
13338,178
13338,192
13338,190
9439,9438
13338,187
13338,188
13338,185
13338,186
9674,10357
9235,9631
9531,9671
13338,197
12,9845
13338,198
128,11372
13338,196
10061,9634
8487,11331
9305,9527
90,11541
9135,11718
71,10083
9868,9477
63,93
9439,10498
176,9910
132,9228
90,8483
10770,10201
132,11281
110,9917
9761,11798
190,11537
183,11755
110,9926
90,11571
23,8530
127,9403
10685,10804
90,8504
11571,10999
9761,9760
10689,10688
63,132
10355,9791
110,9947
11101,10215
179,9856
90,11593
127,9430
127,9434
5141,11696
17,10799
