school_1,school_2
13070,10862
14261,6722
13312,11563
13070,6778
14251,11122
13004,6772
14260,6748
14248,9177
14259,10885
14260,6755
14261,10820
14266,10673
14253,11076
13004,6788
14264,6653
13353,10314
14251,11149
14260,6772
12952,10469
13404,6697
12893,10251
12952,10468
13369,9829
14262,6722
12881,10619
14260,6782
14261,6748
14249,11216
12881,10631
13007,6722
12754,10469
14264,10763
14260,6791
13357,10206
14261,6758
14249,9179
14260,6790
12931,11122
13202,10925
14264,6675
12741,6785
14262,6747
12869,11017
14252,11147
14261,6772
14262,6742
13007,6748
13404,6727
14263,6722
13348,10512
14261,6785
14250,9174
14261,6782
12948,10631
13106,9829
14195,6790
14256,11042
14261,6788
14273,10512
12875,6747
14263,6727
13369,9878
14263,6740
12936,11014
13007,6758
14263,6748
13196,11154
14263,6749
14216,10251
14261,12953
13196,11149
13273,6715
12881,10673
14262,6788
13273,6722
14264,6722
13273,6720
13007,6788
12877,6722
14262,6791
14251,9179
14258,11021
12875,6791
14264,6740
13007,10889
14252,11206
14213,10364
13073,10889
13404,6785
12756,10490
14263,6778
14254,11154
13264,11122
14265,6715
14254,11149
12790,11491
14263,6788
12868,11122
14265,6727
13014,12738
13167,10038
13273,6752
13404,6788
12877,6755
12883,10673
13246,9658
13369,11984
14264,6779
13273,6778
14266,6715
13264,11154
14256,11122
13368,12023
14265,6745
13369,12006
12869,11122
14265,10852
12982,9664
13369,12000
13369,12014
12877,6785
13070,11039
13369,12011
12681,6715
14258,11076
13369,12008
13106,11984
13353,10469
13343,6680
13369,9970
13039,9970
14257,11122
14266,6745
14254,11214
13369,12038
12869,11154
14265,6788
14252,11287
13369,9989
14267,10820
14267,6722
12869,11149
13144,6720
13106,12006
13368,10023
14267,6745
14257,11149
13425,10314
12948,10763
13561,10202
14267,6748
14255,11216
13231,10202
13278,6697
13279,10763
14253,11287
14263,10977
14266,6785
12949,6653
14248,9392
12881,6727
12949,6665
12792,9482
13089,10512
12739,11122
13041,12014
12949,6675
13369,10039
12681,6788
14266,10901
14247,11491
13369,10034
12882,6697
14254,11284
13039,10034
12880,6772
13278,6722
13202,11122
12948,6722
12881,6748
12880,6779
12827,10469
12950,6653
14249,9392
12881,6745
13192,9392
13157,10490
13343,6772
12880,6790
12756,10631
14250,13469
13024,10512
12948,10820
12950,6675
12748,6791
12948,6745
13279,10820
12949,6715
13014,6748
14257,11216
13202,11154
13014,6755
13134,9179
14262,11076
13196,9303
14250,9395
12882,6748
12990,9544
14854,11151
8191,10856
13476,6764
12883,6722
13014,6758
12756,10673
14261,11122
13014,6772
12948,10862
13279,6742
13357,10469
14205,6722
13202,9144
14251,9393
12824,10619
12883,6743
14247,11563
14248,3340
12931,11394
13369,10104
12949,6740
12741,11154
12739,11216
12754,10752
12950,6722
12883,6748
12950,6720
12741,11149
12883,10856
13477,6778
12948,6791
12883,6755
13348,6697
12949,6778
12948,12953
14257,11287
13007,11122
12949,6772
13039,10139
12936,11284
13202,9179
14251,9428
14252,9395
13192,9499
14208,6675
13369,10157
12883,6788
14249,9499
12931,9395
14256,11341
14260,11216
13369,10161
12950,6779
13348,6727
14253,9391
12950,6788
13106,10139
12822,6653
13087,10727
14247,9583
12869,9303
12905,10247
14247,11651
13369,10206
14261,9179
12952,6748
14252,9456
12748,11021
14251,3340
12963,10512
12716,12023
12952,6752
14262,11206
12754,10862
14265,11122
14256,11401
14262,11216
13007,11216
13369,10234
12952,6790
13369,10247
12756,6722
13000,9395
13087,6697
12756,6718
13404,11206
12953,6752
12754,6778
14254,11491
13369,10251
13167,10366
13220,6675
14263,11206
14253,9482
12860,9658
13202,11341
13547,6788
14212,6653
12748,11076
14266,11122
14248,11680
13087,10820
13220,6697
12773,10310
12952,12953
14254,9456
14252,11563
12824,6680
12948,11042
12889,6727
12869,9392
12756,6749
12756,6747
12756,6748
13087,6727
14266,11149
12824,6697
13024,6653
14253,11563
12983,9970
12756,10862
13087,6745
14267,11122
12842,10255
13278,11076
12824,6715
13220,6727
14264,9179
12877,11214
14257,9395
13196,11563
14265,9144
14209,6785
13369,10310
13220,6738
13312,10030
14265,11207
13231,10490
12824,6722
14261,5194
14256,11491
12822,6791
13369,10314
13087,10862
12824,6727
12948,11089
12928,9662
13353,10820
13369,10325
12862,9658
12928,9658
14136,11122
12773,10364
14267,11154
13369,10334
13087,6788
12824,6749
12889,6791
12893,6665
13089,6742
12990,9811
13220,6778
13089,6740
14250,9658
13202,9392
12936,11491
13014,11122
12881,11149
13073,5194
13353,6755
13553,6697
12824,6782
13369,10364
14266,9179
13160,10695
12931,11651
13353,6772
12957,6758
13354,6740
13369,10368
12681,11216
12936,9456
14251,9664
13157,6715
13354,6749
12862,9711
12681,9179
14251,9658
13090,6752
12882,11149
14257,3340
14252,9640
14260,9392
12948,11149
13089,6779
12827,6720
13561,10591
13090,6758
12772,10469
13157,6727
13157,10820
12883,11122
14260,9395
12741,9395
12931,9649
13354,6772
14257,9499
12893,6738
12772,10490
13354,6778
13024,6782
14261,9395
13007,11401
12931,9658
13369,10430
13369,10428
12827,6748
12787,10034
12893,6749
12877,11341
13192,9768
14255,9583
14253,9658
13561,10631
12827,6758
13561,10628
13278,11206
13157,6778
12830,10771
13369,10447
14215,6749
13278,9179
14260,9456
12827,6772
13369,10451
12893,6773
13073,9395
12900,10673
13087,11021
12756,11042
12827,6790
13369,10469
13425,6682
12880,11287
13357,6755
13160,10820
13404,9400
13369,10482
13202,11563
13160,6722
14259,11563
13106,10456
13369,10491
13231,10673
13556,6740
14257,9598
14255,9658
12990,12006
12824,11021
13425,6722
13172,10469
14263,9428
12830,6748
12842,10469
12869,11680
13273,9395
13369,10512
14261,3340
12877,9395
14257,9618
13425,6748
14247,11984
14256,9658
13106,10490
14266,11394
13007,3340
14260,11602
14264,9428
12936,11680
12772,10631
13041,10482
13167,10673
12681,11401
13425,6782
12824,11076
12983,10251
13202,11651
12990,10030
12756,11154
14266,9395
13202,9612
