film_1,film_2
6315,1763
4160,3036
8425,1902
4180,2420
8436,1555
4180,2424
6308,1997
4181,2399
8408,2436
8412,2322
6293,2481
6304,2143
4196,1970
4167,2870
8408,2477
8422,2037
8425,1956
6290,2602
8412,2358
4167,2886
8425,1963
12647,2164
6281,2902
6322,1630
6324,1574
6190,5727
8412,2385
4177,2598
6282,2878
4181,2481
6311,1986
4183,2424
8436,1658
4167,2922
8436,1664
4208,1656
8439,1573
8425,2000
4166,2967
6289,2690
8428,1920
8411,2449
8433,1772
8411,2450
4196,2054
6324,1619
4177,2645
8429,1912
8436,1695
6312,2001
4206,1752
8434,1758
8438,1634
6297,2471
4196,2065
4086,5476
4212,1570
8425,2045
8415,2352
4170,2884
4183,2484
4197,2049
4212,1584
4183,2487
8427,2001
6322,1713
8406,2645
4171,2863
8431,1873
6324,1662
4074,5876
4198,2030
4196,2102
4181,2570
8409,2576
8408,2619
6324,1694
4199,2030
4074,5906
6325,1670
8408,2636
8408,2638
8443,1553
6282,3012
4177,2730
4180,2645
6284,2965
8425,2134
8310,5693
6282,3029
4095,5294
4196,2169
4084,5643
8440,1682
8429,2033
8438,1750
6195,5751
4189,2413
4206,1892
8408,2696
4197,2169
6194,5803
8426,2152
4210,1770
12647,2369
12647,2380
8436,1849
6294,2716
4212,1723
8409,2699
8408,2730
6307,2336
4212,1743
8310,5785
4212,1750
8406,2805
4212,1751
8436,1877
8448,1517
8412,2627
4170,3067
8445,1617
4181,2730
4180,2761
8436,1894
8445,1629
4212,1783
8443,1702
4101,5229
8445,1649
4171,3067
4079,5925
8418,2493
4086,5712
8414,2613
8431,2087
8425,2275
4202,2128
4188,2565
4101,5271
4191,2485
6286,3074
8443,1751
8428,2218
8448,1593
4177,2929
4177,2932
8422,2418
4213,1824
6291,2948
8413,2707
6202,5715
8443,1783
4212,1868
12647,2531
8418,2555
8438,1935
8413,2711
8428,2256
8416,2628
8436,2009
4068,6340
8430,2191
8450,1583
4101,5344
8438,1967
8415,2681
8408,2907
4187,2683
4212,1913
8412,2794
8408,2912
8433,2138
8408,2913
4175,3072
4177,3010
8445,1778
6339,1527
8449,1650
4218,1748
8448,1689
8445,1793
4180,2934
8422,2508
8448,1697
4212,1950
4212,1948
12647,2611
6314,2332
8408,2956
6293,2987
8426,2394
8445,1806
4177,3050
8445,1817
8436,2097
8445,1819
4215,1874
4203,2252
8408,2974
4183,2880
8413,2826
4212,1990
4218,1802
4191,2645
4187,2772
4202,2305
4207,2150
8428,2378
4212,2002
6332,1816
6321,2162
6298,2879
4094,5666
6292,3074
4196,2513
8440,2015
8408,3008
4207,2176
8445,1875
4203,2305
8445,1870
8445,1880
8443,1944
8449,1752
8425,2499
8449,1755
6306,2657
8445,1884
6328,1979
6342,1556
4219,1832
8431,2329
8425,2520
8426,2489
4195,2582
8427,2473
4180,3056
8445,1920
8412,2944
6330,1945
8445,1916
8408,3063
8431,2353
8436,2210
8433,2296
4220,1832
8446,1905
4212,2084
4107,5344
6309,2618
4212,2094
8413,2937
8429,2443
4212,2100
8436,2228
4183,3002
8445,1960
8445,1958
8450,1809
6329,2030
8446,1935
8456,1632
8436,2253
8450,1820
6296,3066
8422,2698
8448,1893
4212,2136
8323,5777
8445,1991
4205,2369
8431,2444
8429,2507
8454,1738
4219,1952
8455,1703
4232,1548
8445,2023
6344,1626
4208,2309
6327,2154
8449,1919
4189,2907
8428,2575
8339,5337
8445,2044
4212,2202
4101,5640
8457,1674
4233,1548
4213,2174
6298,3076
8445,2058
8458,1657
8454,1781
8458,1658
6221,5478
8425,2693
6318,2470
6216,5635
4212,2230
8448,1984
8448,1985
4218,2049
6341,1780
8451,1913
6217,5635
8426,2690
8426,2701
4207,2417
8464,1526
8428,2656
4112,5382
8445,2125
8418,2962
8445,2132
8445,2133
4229,1760
6331,2140
8433,2512
8448,2047
6323,2392
6322,2423
6335,2019
8458,1740
8451,1968
8436,2436
4118,5225
4207,2472
4101,5756
4103,5695
8445,2167
8445,2178
6322,2455
4112,5442
8426,2783
8462,1668
6310,2837
6303,3059
4107,5598
4229,1817
8445,2202
8448,2103
8449,2073
6320,2539
4200,2727
4218,2169
8465,1599
8429,2708
8425,2833
8438,2442
4212,2381
8464,1644
6219,5699
8438,2447
4224,2026
6344,1840
4234,1727
6326,2420
4219,2204
6309,2950
4234,1740
6204,6203
8438,2485
4228,1933
8425,2901
6330,2307
4096,6029
8440,2446
8435,2596
8450,2144
6326,2451
4231,1859
8436,2574
4218,2268
4194,3014
4210,2525
8439,2506
4208,2594
6334,2221
4118,5387
8445,2328
8450,2174
8445,2330
4113,5551
4118,5400
4118,5401
8430,2799
8426,2935
8445,2340
6330,2375
8434,2682
4197,2967
6324,2563
4118,5435
4265,886
8457,2014
8445,2383
4112,5647
6343,2033
6347,1906
4243,1600
4118,5479
8431,2858
8436,2703
8466,1776
8445,2432
4207,2735
4118,5503
6337,2248
8428,2966
6220,5890
4212,2599
4231,2011
8426,3047
8458,2056
4118,5524
8456,2112
4222,2304
8465,1847
6330,2495
6356,1687
4212,2630
8462,1961
4243,1674
4124,5368
8431,2921
4218,2459
8445,2492
8431,2927
8473,1626
8456,2159
4229,2131
8436,2782
4220,2412
8429,3011
6313,3071
4124,5394
8462,1983
8470,1748
4224,2299
4243,1716
4232,2055
8449,2406
6349,1964
6344,2126
4212,2681
6324,2745
4228,2183
4243,1724
4245,1660
8436,2817
4212,2684
8445,2532
4118,5603
4212,2689
8445,2534
6360,1640
6330,2569
4212,2692
4250,1520
8451,2356
6323,2791
8445,2554
4250,1532
4213,2676
4105,6031
8447,2516
8431,3013
8458,2182
4234,2056
4228,2244
6355,1848
6364,1567
8436,2880
4124,5476
8473,1731
4118,5666
8467,1926
4249,1609
8436,2884
8462,2080
6341,2303
8454,2337
4207,2918
4118,5683
4242,1840
8443,2689
4207,2933
8438,2850
8473,1763
8440,2795
8445,2649
8451,2463
8458,2246
4124,5527
6333,2591
6238,5536
8445,2656
8439,2844
4229,2283
4124,5536
6323,2902
8445,2662
4208,2945
4250,1642
4229,2299
6344,2274
6345,2241
8473,1808
8471,1871
6324,2897
6330,2711
4242,1908
8470,1915
8474,1792
6322,2967
6223,6035
4212,2839
8440,2853
8440,2854
8474,1795
8443,2757
8436,2980
4224,2487
8451,2529
8434,3049
4245,1841
4234,2182
8462,2195
4228,2377
8451,2542
8457,2356
6344,2322
8454,2451
8449,2607
6350,2140
6363,1737
4213,2855
4124,5617
4240,2029
4222,2585
4118,5810
4231,2310
4243,1942
8436,3039
8462,2234
4242,1983
4242,1982
8443,2821
8473,1901
8435,3077
4229,2398
4234,2246
8457,2414
4213,2900
8470,2008
8474,1884
8457,2421
4249,1792
8445,2794
8474,1890
8457,2424
4228,2457
4242,2021
8443,2870
6330,2841
8470,2049
6346,2355
8448,2733
8459,2386
4212,2977
6324,3041
8445,2823
8449,2709
8445,2834
8457,2463
8459,2401
8451,2642
8445,2829
8473,1972
4212,2989
4140,5225
8465,2219
4249,1855
4131,5515
4224,2635
4231,2423
8457,2488
4213,2984
8473,2004
4242,2097
8451,2691
4229,2510
8451,2705
4224,2667
4234,2357
8451,2710
4242,2115
4231,2455
8463,2341
6345,2463
8454,2621
4219,2845
4249,1918
4215,2972
8445,2920
4258,1644
8339,6203
8471,2123
8357,5658
4137,5401
8357,5653
4250,1901
8459,2502
8464,2349
8470,2169
6335,2815
8445,2940
4231,2506
4250,1918
8445,2943
8445,2948
4242,2180
8451,2778
8445,2973
8470,2206
4243,2181
4250,1962
8462,2463
8471,2196
4243,2186
4136,5504
8473,2128
8473,2129
8445,3004
4229,2635
8448,2933
8449,2896
8451,2846
8446,2999
6359,2168
6356,2264
4118,6110
6344,2643
8467,2376
8449,2928
8462,2528
8445,3063
4144,5330
8457,2702
6229,6228
8454,2789
8450,2913
4266,1550
8457,2710
8473,2211
8457,2727
8451,2907
4264,1648
4249,2118
4142,5435
6332,3080
4142,5443
4250,2097
6237,6044
6344,2727
4243,2323
6229,6302
4251,2090
4142,5469
4266,1630
6264,5227
4227,2848
8474,2259
8463,2612
8465,2544
6345,2733
8451,2980
8473,2308
4243,2363
4243,2380
4267,1635
4142,5524
4125,6059
4150,5288
4267,1661
8451,3028
6351,2604
8473,2381
8462,2722
8469,2501
4142,5576
4267,1709
4263,1837
4131,5927
4228,2924
4267,1722
8466,2628
8466,2640
4263,1859
8473,2431
4137,5774
4140,5685
8455,2994
4250,2276
8473,2438
4142,5621
8462,2775
6257,5603
8461,2816
6256,5635
4265,1834
6353,2643
4242,2553
8466,2682
8465,2724
4243,2531
8462,2813
4142,5666
6264,5426
8473,2481
4265,1866
6348,2833
4268,1780
4266,1852
4126,6192
4146,5583
4243,2576
4271,1712
4126,6211
8457,3028
8464,2819
8462,2879
4250,2387
6356,2645
8456,3079
8456,3080
4249,2435
4242,2653
4257,2194
6244,6134
6273,5234
4242,2657
4267,1889
4266,1929
4279,1526
4265,1966
8458,3059
6365,2412
4266,1960
4258,2205
4280,1538
4263,2062
4275,1705
4265,2021
8462,2993
6276,5221
8465,2898
4249,2532
4265,2042
4267,2006
4243,2751
4278,1674
4267,2027
4271,1908
4142,5908
4265,2106
8462,3076
6322,3873
4282,1584
4279,1681
8466,2953
4265,2121
4279,1690
8468,2919
4267,2074
4264,2183
4258,2370
4287,1512
6264,5764
4280,1737
4279,1775
4161,5443
4142,6035
4275,1911
4147,5890
6352,3078
4263,2310
4267,2192
8473,2874
4249,2752
4279,1830
4242,2977
4267,2212
6250,6280
4258,2506
4272,2078
4243,2977
4271,2110
4260,2456
6259,6031
8392,5452
4249,2808
8473,2943
4279,1884
6356,3046
4263,2396
4258,2552
4271,2149
6355,3078
8473,2965
4286,1688
4276,2009
4250,2820
8470,3072
4284,1778
4265,2365
6281,5411
4289,1630
8473,2993
4277,2009
4245,3006
4263,2470
4291,1606
8473,3035
4246,3006
4272,2206
4270,2273
4271,2242
8474,3020
4167,5471
4265,2444
4263,2506
4265,2462
4279,2029
4249,2967
4272,2273
4162,5692
4266,2469
4291,1702
4265,2512
6266,6029
4279,2096
4280,2070
4257,2792
6268,5994
4280,2119
6263,6192
4177,5321
8392,5727
4266,2565
6277,5760
4265,2600
4278,2197
4271,2420
8408,5251
4279,2180
12730,2348
4291,1814
4268,2538
8408,5266
4255,2942
4262,2725
4289,1893
4284,2048
4177,5399
4291,1869
4171,5592
4265,2679
4266,2645
4298,1661
4291,1890
6285,5620
4278,2302
4287,2031
6278,5851
4284,2128
4276,2379
4183,5275
4268,2640
4167,5777
4277,2379
6273,6066
4183,5323
4291,1975
4177,5512
8412,5319
4279,2372
6268,6254
4265,2810
4283,2252
8409,5417
4231,3873
4257,3075
8412,5352
4181,5452
4177,5576
6281,5913
8412,5394
4271,2687
6282,5886
4266,2851
4279,2460
4271,2707
4283,2341
4283,2344
8413,5392
4265,2914
4266,2882
8413,5396
4181,5524
8408,5566
4295,1997
4275,2619
8413,5413
4284,2344
4162,6137
4298,1934
12755,1920
4177,5689
4271,2787
4264,3014
4279,2551
4278,2588
4311,1562
12647,5298
4291,2190
12647,5295
6264,6568
12755,1956
4280,2540
4177,5733
4287,2332
4281,2517
8409,5630
4275,2716
12755,1985
4271,2841
6281,6065
4286,2377
8409,5640
6290,5803
4298,2020
4177,5769
4181,5653
4291,2253
6277,6225
4298,2049
4314,1560
4284,2493
4288,2367
12755,2058
8413,5590
6296,5689
4283,2555
6303,5476
4289,2372
8409,5728
4308,1796
4180,5774
4284,2555
4307,1847
4184,5669
4291,2353
4291,2350
8426,5245
4298,2144
4291,2364
8408,5811
4186,5617
8412,5686
4291,2371
4177,5908
4180,5821
6307,5424
4271,3009
4313,1704
8406,5906
4283,2649
4295,2282
4308,1886
4197,5330
8409,5838
4298,2201
8413,5708
8408,5864
4291,2437
4286,2606
8413,5750
4202,5227
4295,2345
8412,5792
4279,2838
4308,1948
4307,1983
4280,2830
4303,2114
4302,2152
4186,5745
4203,5219
6291,6030
4308,1982
4320,1608
4302,2170
8408,5954
4320,1615
4303,2152
4316,1747
4283,2776
4183,5879
4303,2170
4195,5533
4186,5816
4284,2776
4195,5538
4279,2938
4280,2917
4284,2794
4291,2582
4324,1560
4313,1918
4291,2601
8412,5928
4289,2664
8431,5334
12647,5712
4279,2982
4325,1560
4298,2411
4320,1733
8412,5957
6308,5653
4322,1688
8408,6112
8431,5413
8430,5452
8425,5608
4200,5518
4187,5925
4320,1805
4326,1624
4313,2025
4327,1595
8438,5251
8430,5495
4284,2962
4291,2742
12647,5869
6322,5330
4316,1979
8436,5344
4289,2830
4286,2924
4291,2767
4298,2553
4311,2168
4292,2761
4314,2080
12755,2558
4289,2870
4308,2282
8430,5593
4291,2833
8431,5579
6327,5274
8430,5640
6323,5426
8415,6112
8436,5474
4293,2838
4212,5363
4290,2956
4330,1713
8430,5685
4315,2188
4291,2943
4320,2057
4296,2804
4292,2934
8431,5699
8425,5886
4301,2671
4308,2458
4293,2925
4301,2692
4321,2086
4298,2798
8440,5476
6319,5693
4327,1906
8430,5795
8412,6354
4207,5637
8431,5779
4302,2701
4301,2736
4202,5810
12755,2823
8449,5247
4303,2701
4320,2184
4292,3056
8445,5392
8434,5730
4324,2079
4218,5382
4308,2598
4325,2079
4212,5583
4298,2922
4329,1969
8430,5911
8440,5621
8426,6051
8434,5803
4298,2958
4184,6503
8445,5496
4327,2085
4224,5275
6328,5598
4202,5966
4327,2099
6323,5764
4298,3002
8445,5538
4321,2310
4307,2745
4326,2154
4301,2941
4224,5334
4301,2963
8445,5565
4307,2774
4302,2935
8451,5387
4307,2783
4327,2173
4314,2595
8445,5608
4303,2935
8440,5766
4316,2535
4316,2540
4224,5401
8454,5345
8446,5603
4301,3026
8445,5629
4313,2657
6321,5954
6330,5674
8440,5801
4302,3030
4218,5647
4316,2622
6332,5669
4303,3030
8436,5989
6346,5261
4308,2912
8445,5746
8451,5560
4313,2782
8449,5640
8456,5424
8440,5927
4313,2796
4327,2366
8445,5792
8440,5947
8462,5271
6344,5401
6323,6052
8451,5620
4327,2406
8449,5709
4316,2767
8451,5663
8458,5459
4307,3076
8451,5721
4316,2838
8438,6137
4324,2595
8457,5551
4224,5699
8462,5417
4325,2595
8455,5644
8465,5344
8445,5977
4327,2559
6330,6031
4313,3021
4321,2780
4327,2604
4242,5247
8457,5663
4320,2858
4212,6209
8451,5886
6336,5916
4322,2819
8450,5925
4329,2631
8454,5838
4324,2799
4320,2932
4325,2799
4228,5803
4324,2853
8458,5785
4323,2910
4325,2853
4235,5647
8465,5598
4249,5234
4321,3001
4327,2821
8473,5363
8592,1686
4236,5647
8451,6066
12806,2136
4250,5234
4330,2754
8473,5401
4242,5499
4327,2872
4243,5478
4327,2875
4242,5529
4329,2841
6323,6568
8473,5467
8457,5980
4327,2961
8447,6316
8462,5867
4242,5620
4243,5590
4327,2990
4327,3002
12806,2305
4243,5640
8473,5625
4228,6166
4228,6177
4243,5729
4249,5608
4250,5595
4250,5612
8473,5779
6356,5884
8473,5795
6361,5758
8473,5839
4249,5709
12832,1806
6358,5911
12806,2646
6366,5685
4262,5380
12832,1888
8473,5947
4265,5328
12832,1925
12840,1675
4263,5421
4265,5394
12840,1731
8473,6050
8473,6131
4259,5705
6356,6240
12840,1852
4249,6066
4249,6073
4250,6066
12832,2210
4271,5471
4250,6130
12832,2269
12840,2020
214,213
4266,5709
4283,5219
12832,2375
12832,2389
4267,5820
4271,5708
4263,5966
12832,2481
4283,5386
4266,5930
12840,2327
4271,5839
12832,2605
12840,2389
4278,5750
4220,7583
4291,5413
12840,2537
12832,2794
4289,5501
4280,5868
4280,5878
4291,5538
12832,2926
4280,5890
4298,5330
12832,2932
12755,5330
12832,2958
4280,5938
12840,2740
237,236
4275,6143
12755,5459
4291,5733
4291,5751
4296,5635
4293,5738
4279,6199
4308,5326
4308,5324
4280,6228
4313,5234
4280,6272
12755,5692
247,246
4210,8501
4314,5302
4316,5247
208,1551
4313,5386
202,1754
204,1694
200,1878
4308,5608
4313,5506
4313,5512
4320,5309
4320,5321
4321,5288
12755,5989
200,2015
4313,5590
257,256
4313,5596
4320,5399
4324,5281
4327,5211
4325,5281
12755,6110
4293,6302
4316,5595
202,2091
4327,5323
4327,5344
220,1594
4320,5576
218,1671
220,1620
4308,5986
4316,5738
200,2269
200,2292
8652,2463
4320,5689
227,1520
200,2400
4320,5769
210,2113
4326,5592
4329,5504
227,1617
4327,5598
4317,5916
4313,6066
4327,5640
4313,6082
220,1891
233,1517
218,1996
4320,5908
276,213
4324,5801
200,2598
4325,5801
4327,5760
231,1672
218,2080
220,2088
4315,6228
227,1882
210,2435
4272,7583
227,1918
225,1995
222,2089
202,2710
4329,5855
218,2230
239,1596
227,1971
223,2106
4327,5954
223,2113
4329,5904
202,2783
245,1460
239,1653
233,1850
233,1852
243,1569
210,2623
218,2375
237,1809
4329,6031
218,2399
227,2139
220,2369
223,2284
220,2380
233,1983
200,3015
8675,2463
218,2492
200,3050
237,1938
202,3028
282,580
12924,1904
220,2531
223,2443
237,2067
253,1575
227,2394
8675,2650
247,1783
218,2685
12924,2019
220,2639
220,2651
253,1646
12924,2063
243,1962
296,345
227,2489
225,2559
247,1879
251,1806
259,1558
245,1993
220,2772
227,2557
233,2400
227,2601
233,2425
247,2008
8592,5474
257,1722
257,1723
223,2778
227,2658
251,1956
239,2337
294,636
233,2528
241,2302
225,2817
247,2144
249,2085
220,2997
227,2805
261,1754
255,1951
257,1931
257,1939
259,1880
255,2010
243,2388
237,2579
12832,5399
312,311
233,2769
233,2774
12832,5442
227,2991
12924,2609
231,2873
272,1619
253,2209
249,2342
231,2928
227,3058
227,3068
255,2205
259,2089
259,2099
251,2351
253,2296
231,2992
237,2807
233,2941
266,1920
255,2312
237,2878
278,1608
257,2276
274,1752
233,3023
253,2408
12832,5691
243,2736
233,3059
266,2045
247,2637
12832,5720
245,2714
245,2718
237,2969
237,2973
284,1516
266,2084
274,1847
12832,5769
264,2164
323,345
264,2177
237,3016
266,2120
237,3059
263,2292
257,2482
276,1911
278,1855
247,2821
245,2922
257,2557
251,2783
278,1951
290,1580
290,1584
259,2560
253,2786
266,2414
296,1516
292,1668
266,2477
296,1560
266,2521
257,2808
299,1510
274,2286
296,1608
278,2189
263,2697
340,311
288,1924
6618,2303
288,1925
296,1677
6618,2332
282,2142
282,2145
259,2863
286,2040
274,2413
12975,1908
297,1710
344,256
259,2893
6618,2373
297,1724
12840,6131
6618,2410
290,1973
270,2623
6618,2456
259,3002
12975,2025
278,2419
12975,2042
346,345
264,2895
278,2464
6618,2535
303,1713
290,2120
264,2940
296,1951
301,1811
290,2156
12972,2247
303,1803
278,2617
276,2720
290,2307
290,2320
284,2507
292,2271
299,2060
301,2002
296,2189
12972,2459
278,2797
286,2557
284,2631
299,2170
296,2292
320,1574
290,2517
6618,2960
278,2892
12975,2516
320,1603
290,2547
364,256
12972,2666
276,3030
297,2399
301,2276
321,1672
12975,2657
12975,2676
12995,2055
12975,2680
282,2960
316,1962
306,2292
367,415
328,1624
296,2617
330,1590
360,681
310,2246
212,5294
320,1949
12975,2855
301,2558
310,2281
296,2732
321,1979
292,2879
292,2882
314,2203
301,2622
360,802
296,2797
314,2247
13015,1741
312,2315
12995,2385
292,2963
12975,3027
12975,3042
8747,3059
333,1755
296,2939
321,2168
312,2448
296,2949
292,3076
307,2631
218,5396
296,2987
222,5294
303,2794
218,5432
314,2459
312,2545
301,2895
301,2897
306,2744
296,3059
306,2752
340,1704
227,5234
328,2115
310,2684
307,2785
310,2696
320,2408
344,1674
301,3012
218,5601
312,2703
312,2716
13015,2135
314,2666
307,2903
394,213
312,2757
320,2519
306,2968
340,1954
310,2891
305,3052
325,2433
328,2353
316,2728
8671,5884
350,1694
223,5637
356,1551
307,3079
310,2987
237,5254
310,3045
312,2984
344,2012
310,3072
343,2087
325,2657
321,2790
333,2419
241,5298
376,1169
6660,3014
231,5705
350,2019
348,2090
229,5788
321,2954
367,1556
229,5844
367,1567
233,5741
327,2852
367,1628
237,5701
229,5965
227,6066
227,6073
328,2950
332,2840
348,2369
340,2619
233,5965
369,1752
398,867
365,1894
13015,2973
369,1782
335,2845
365,1920
337,2791
241,5788
369,1827
340,2728
367,1914
416,415
363,2060
350,2464
241,5844
259,5324
239,5957
8839,1562
241,5965
384,1560
348,2676
369,2027
367,2109
257,5538
367,2138
362,2304
13031,2802
371,2079
8823,2267
369,2204
348,2855
350,2806
259,5637
369,2260
374,2106
367,2338
263,5589
367,2397
394,1573
371,2320
6618,5288
380,2083
264,5689
356,2853
264,5729
263,5779
369,2503
386,1978
206,7583
367,2596
382,2140
6618,5440
390,1907
367,2622
360,2845
444,246
364,2729
282,5273
367,2652
360,2874
8839,2168
367,2675
386,2102
394,1855
403,1579
280,5411
278,5479
369,2664
369,2668
363,2863
365,2808
449,213
369,2745
373,2623
403,1697
374,2601
384,2292
