award_nominee_1,award_nominee_2
4099,4047
1944,5317
4057,5356
2083,1016
4118,3476
6157,5805
4098,4106
1921,6060
4186,1390
6209,4212
1844,8468
4095,4228
2083,1062
4126,3271
6228,3649
2086,982
1868,7742
1894,6935
4106,3906
4129,3193
4010,6893
1922,6092
4215,553
1892,7039
2005,3538
4057,5465
2076,1348
2079,1257
2089,948
4124,3403
1929,5915
2113,210
1895,6971
4117,3627
4121,3501
4206,875
1996,3849
4102,4103
1854,8253
1993,3946
4133,3148
4106,3986
2109,367
4116,3684
1982,4308
4010,6980
2003,3661
1876,7597
2003,3660
6225,3855
4103,4102
4100,4200
4127,3363
4104,4093
4124,3478
4116,3723
4135,3141
2084,1183
6166,5731
4124,3506
6247,3233
2097,821
2017,3306
1859,8207
2015,3380
4210,876
4106,4098
2012,3481
2076,1500
2088,1127
2015,3390
4116,3801
4101,4266
4124,3552
2082,1332
4210,903
4138,3133
4119,3733
6129,6966
2009,3619
1990,4212
4111,3998
4101,4314
4126,3538
4037,6301
6175,5563
4131,3390
1990,4232
1990,4233
4136,3247
4136,3248
4138,3199
1868,8036
2080,1464
6247,3358
4117,3861
6247,3377
1997,4058
1995,4124
2086,1303
4129,3510
6166,5901
1945,5684
4217,808
6324,1034
4161,2550
1952,5492
4138,3264
2109,633
2012,3651
4057,5799
4109,4187
4210,1062
6188,5283
4201,1350
1872,8016
2102,892
4206,1202
4057,5841
2096,1099
4136,3401
4113,4114
1954,5505
4139,3306
4058,5827
2103,895
2005,3938
2011,3763
4215,974
1957,5438
4114,4113
4138,3373
2017,3594
4115,4094
2021,3476
4136,3452
2023,3428
2015,3679
4200,1482
4113,4182
6134,7067
1914,6822
2089,1410
1865,8357
6191,5327
4124,3868
4136,3501
2099,1110
4079,5290
1943,5984
6228,4225
2010,3913
6192,5354
4133,3647
2012,3863
4145,3282
4080,5297
4124,3932
2034,3192
2103,1053
4119,4096
2105,996
4138,3509
4142,3390
2034,3208
4124,3952
4145,3306
4027,6965
4056,6063
1872,8238
2010,3959
2002,4212
6228,4280
2108,929
1910,7070
6094,8437
4146,3300
4134,3679
1939,6188
4137,3588
4071,5639
4227,808
4124,4002
4131,3782
4131,3783
4223,931
4121,4096
4124,4015
6247,3738
4124,4016
4128,3898
1868,8419
4138,3590
6348,620
4118,4219
4118,4220
4124,4038
4130,3855
2027,3511
2010,4039
1962,5535
2031,3398
4148,3311
4117,4273
4138,3626
4136,3695
2017,3855
4128,3948
2040,3141
1896,7611
2011,4057
1952,5885
4131,3876
4152,3227
4086,5284
4126,4051
1967,5449
4215,1304
4138,3691
1918,6978
4144,3522
2025,3676
2044,3090
2042,3151
2012,4086
4125,4126
2044,3102
2038,3291
4141,3642
4127,4077
4141,3641
4086,5350
2127,555
4215,1365
1873,8431
4126,4125
4081,5521
4148,3444
4126,4139
4151,3363
2021,3858
4126,4145
4036,6940
6272,3166
2028,3658
2041,3264
6188,5790
2044,3190
2044,3191
4154,3317
2011,4231
1959,5847
2037,3428
2044,3223
4148,3539
4148,3540
1877,8408
4161,3141
2042,3306
2015,4142
4154,3370
4162,3125
4134,3993
6369,245
6370,218
4151,3476
1927,6883
1877,8436
4161,3172
4126,4264
4138,3896
2105,1384
2138,367
4142,3783
4161,3192
4142,3782
4138,3910
2127,716
4131,4132
4164,3108
2044,3293
1889,8101
2136,444
2044,3302
4131,4142
4128,4239
4042,6911
4077,5830
6254,3881
4132,4131
2044,3344
2144,247
4148,3665
4148,3666
4250,505
4044,6892
6184,6087
4132,4167
2031,3770
1977,5444
4161,3282
2044,3374
4142,3876
4047,6819
2039,3538
1972,5623
4158,3400
6355,826
6368,442
1932,6884
6370,386
6369,416
4158,3427
6280,3181
6367,488
6272,3433
4131,4271
4165,3225
6367,505
2044,3445
4154,3576
4148,3762
6370,414
2031,3855
6367,510
1884,8419
4132,4271
4145,3869
4151,3688
6370,440
6370,444
6369,472
4152,3669
4152,3668
1884,8445
4153,3646
1987,5256
2044,3496
2044,3495
2112,1387
4164,3326
4141,4037
6371,442
1884,8474
4250,665
6247,4301
6373,394
6377,274
2042,3585
6370,490
2021,4242
6367,592
2041,3626
4139,4126
4137,4195
6378,257
6371,478
4171,3156
6367,617
1886,8453
6373,434
4138,4187
6377,312
6370,529
6369,566
6373,440
6378,290
6373,444
6367,635
6373,452
6373,460
2044,3589
4100,5395
6166,6892
6377,354
6371,539
4101,5377
6377,363
6369,611
4165,3402
2038,3802
4250,768
6373,490
6377,364
6373,488
6371,559
6164,6979
4142,4131
6164,6986
2028,4132
6373,510
4142,4143
4138,4267
6369,642
6290,3096
6368,676
4101,5422
4152,3840
6370,617
4138,4279
4152,3843
4086,5889
6373,529
1907,7917
6369,664
6370,633
4086,5907
4143,4142
6370,646
6373,559
6272,3690
6377,436
2047,3596
6378,416
4143,4167
4147,4051
4086,5951
12604,4042
6370,682
2116,1485
4145,4126
6367,781
6373,592
6370,692
6377,472
4165,3515
4165,3516
2144,642
1989,5446
6385,247
6373,617
1971,6010
2038,3935
4060,6797
4144,4197
6367,821
6373,633
2156,290
4266,414
2030,4198
2030,4199
6377,518
4158,3776
6373,646
2059,3306
6384,310
4158,3780
2029,4240
6369,773
6374,617
6198,6080
4144,4218
6387,220
6388,210
2147,611
4266,460
6373,682
2050,3621
6387,247
1939,7065
6387,253
2029,4279
2034,4124
4265,505
6373,692
6370,792
2125,1316
4143,4298
4146,4212
12604,4170
6378,566
6367,917
6370,821
2037,4074
6388,270
6369,858
6370,826
4266,514
6377,608
4146,4239
6385,367
6374,706
6369,860
6377,623
6369,870
4180,3192
6373,751
6368,906
4183,3109
6368,908
6385,380
6371,821
6384,418
2031,4287
4101,5655
6385,386
2125,1374
4160,3829
4086,6127
6373,766
6369,895
4266,549
6369,893
6388,303
6369,892
6385,403
2064,3282
6385,407
6368,931
4266,564
4244,1246
6373,781
6388,320
6373,792
6384,451
6378,642
4184,3125
2062,3370
2049,3773
6387,367
6378,649
4149,4218
2040,4064
6379,632
6373,821
4186,3082
12631,3435
6367,1016
6388,364
6370,922
4165,3741
6393,218
4065,6854
4151,4189
6387,407
4101,5737
6367,1032
4162,3855
6384,510
4158,3980
4150,4231
1921,7797
6378,703
6369,982
1953,6807
4250,1139
6379,676
6384,520
6385,488
6367,1053
6370,959
6381,617
6388,406
6369,992
6290,3451
6290,3450
4247,1246
6385,505
6367,1062
6385,508
6381,632
4173,3551
6369,1010
6378,729
6388,426
6388,423
6374,857
6177,6969
6367,1085
2038,4210
6385,529
6280,3790
4175,3509
6369,1035
6388,450
6285,3640
6370,1005
1903,8412
4266,698
6378,768
6370,1015
6380,705
1986,5845
6373,926
6368,1081
6381,676
2038,4242
6369,1052
6380,716
6280,3816
6378,777
6387,505
2069,3289
2062,3509
4182,3325
4086,6301
1784,12130
6387,510
6369,1068
1976,6183
6367,1135
6371,1015
6385,585
6370,1056
6386,559
6373,961
6370,1060
6369,1090
6385,592
4183,3325
2054,3788
6369,1097
6369,1100
6377,858
4265,792
4247,1350
6378,835
6385,617
6367,1183
6369,1127
6367,1189
6384,662
4164,3949
6385,635
4266,785
6373,1005
4168,3827
6369,1133
6390,488
4099,5973
6388,549
6374,982
6387,585
4101,5915
6373,1018
6388,555
6369,1144
6370,1120
4065,7036
6388,564
6377,904
6390,505
6377,915
2168,321
6380,826
2008,5284
6377,918
6370,1135
4124,5224
6378,892
6387,617
4165,3963
6378,893
6385,682
4165,3964
6377,935
6378,904
6373,1056
6373,1062
6373,1060
6393,440
6377,936
6398,292
6387,633
6398,290
6389,569
6385,692
6385,699
2008,5312
6377,945
6387,635
6367,1254
2076,3208
6385,706
2164,483
2042,4265
4166,3963
4166,3964
6385,714
6370,1183
6373,1088
6272,4225
2059,3754
2151,904
2070,3415
6396,386
4100,6026
1921,8036
6385,730
4190,3244
6290,3677
4164,4053
1914,8265
4165,4020
4164,4052
6393,488
4265,926
6369,1239
6370,1206
2011,5265
6390,592
6377,994
4186,3377
6379,931
6377,998
2060,3754
6373,1120
6387,692
4124,5307
6377,1001
6393,510
6373,1129
2004,5497
6373,1135
6378,979
6308,3148
6377,1009
6387,699
4183,3487
2056,3892
6385,766
6378,982
6367,1329
6378,992
1995,5791
6390,617
4164,4094
6394,499
6388,684
6157,7845
6272,4280
1919,8153
6385,781
4162,4163
6390,635
6387,730
6370,1257
6371,1233
1937,7613
4266,952
2157,792
2049,4144
6290,3745
6393,559
6369,1303
2083,3097
6373,1183
2161,682
6394,535
4163,4162
6385,821
6377,1075
2001,5657
6398,423
2011,5351
6367,1388
4076,6877
6373,1206
6367,1390
6385,838
6369,1332
6370,1301
1912,8429
6388,750
2081,3192
6369,1336
6369,1343
6404,257
6385,844
1994,5895
4192,3295
6388,762
2049,4197
6367,1411
6369,1348
6403,301
6368,1384
2054,4048
2084,3117
6388,768
6373,1242
6388,777
2056,3995
6369,1370
6399,440
1997,5828
1940,7597
6308,3265
6373,1249
4165,4166
4191,3360
6387,821
6373,1254
6393,633
6398,478
6385,880
6378,1097
6399,452
6377,1133
6373,1257
2004,5626
6400,423
6373,1266
6377,1145
2146,1239
6367,1464
6377,1153
6407,223
2152,1057
4167,4132
2048,4284
4078,6892
6378,1127
6404,321
4266,1061
4183,3640
2082,3233
4166,4165
4170,4042
4124,5473
2061,3889
6385,917
1937,7734
6370,1388
6399,488
6407,239
4167,4143
6385,926
6370,1390
2006,5610
6280,4190
2152,1085
6367,1495
6390,781
4265,1127
6387,880
6399,510
4182,3705
6398,549
2049,4298
6404,369
6398,555
6370,1421
6398,559
6377,1210
6398,558
6398,564
6377,1219
4182,3728
4081,6857
1915,8470
6394,698
6390,821
6394,704
4266,1133
6388,893
6387,922
1919,8365
6404,406
6399,559
6407,310
6398,594
6385,996
6381,1120
6378,1219
6302,3580
6302,3579
6404,416
2054,4196
6373,1390
6385,1018
6385,1016
6373,1388
6399,589
6370,1488
4168,4214
6384,1053
6378,1239
6385,1027
6384,1057
6399,592
6404,436
6407,348
6370,1495
6373,1401
1965,6979
6373,1407
6373,1411
2061,4008
4170,4171
6373,1415
6385,1045
2157,1043
4176,3988
6385,1051
6411,245
4124,5606
6374,1390
6373,1421
4167,4271
6394,769
6384,1085
6385,1054
6385,1053
6396,716
2173,559
6411,257
6398,659
6385,1062
4077,7072
6371,1495
2076,3569
6399,633
6378,1283
6378,1281
6387,1002
4190,3579
2169,692
6377,1322
4171,4170
1919,8449
6387,1016
4167,4298
2084,3338
6302,3650
6398,673
6407,394
6302,3649
1920,8428
6385,1085
6377,1332
6388,998
2162,931
6398,692
1998,6017
6398,689
6373,1470
6192,7080
1920,8445
6412,270
6389,982
6394,827
2056,4234
6385,1115
6378,1332
6228,5979
4183,3844
6385,1118
4182,3874
6373,1488
6373,1495
6385,1120
2075,3660
6385,1124
6387,1062
6378,1348
6411,325
4182,3885
6374,1470
4182,3886
6385,1135
2089,3237
6407,452
2088,3267
2089,3238
6161,8076
4176,4081
2068,3892
6388,1052
2158,1111
6412,314
2025,5237
4177,4063
2008,5763
4200,3347
6228,6016
6374,1489
6404,566
6378,1370
6404,564
6377,1406
6414,257
6388,1070
6378,1380
4292,510
6404,572
4081,7049
6396,826
6393,917
6407,483
4174,4175
6390,1016
6407,488
4186,3801
6411,369
6384,1206
6393,926
6385,1183
6387,1120
6387,1118
2182,406
2083,3474
6410,416
6385,1189
6398,792
6398,791
4182,3949
4182,3950
6407,510
1971,6956
6380,1354
6387,1135
6378,1414
6404,614
4175,4174
6301,3804
6385,1200
6404,611
1972,6935
6379,1390
6407,529
6378,1427
6384,1239
6377,1456
6399,781
6411,406
6398,816
6390,1062
6302,3790
2086,3416
4183,3949
6399,792
2015,5622
6324,3116
4183,3950
2095,3145
1925,8415
6404,642
6408,518
6412,394
6398,825
6380,1390
6377,1480
6377,1487
6378,1453
6385,1243
6387,1181
6302,3816
6308,3627
6390,1085
6385,1245
6385,1249
6385,1254
6404,664
6393,1005
6389,1135
6407,575
6407,574
6387,1200
1970,7053
6385,1267
6381,1390
6385,1266
6414,369
6398,872
6385,1274
6412,442
2180,559
4183,4003
4190,3790
6393,1032
6385,1286
6412,449
6386,1260
6404,703
4178,4179
6314,3497
6411,497
6178,7719
4190,3816
2164,1085
6247,5588
4187,3910
2084,3569
1926,8467
6414,416
6412,478
2070,4006
6412,475
6388,1219
2083,3604
6404,729
6225,6277
6387,1254
4211,3180
6380,1478
6388,1228
6412,490
6387,1263
6416,363
6240,5819
2100,3092
4179,4178
4198,3590
4188,3900
2100,3096
6393,1085
2180,617
6393,1088
4266,1495
6412,508
6399,917
6403,792
6384,1381
2074,3917
6398,952
6384,1390
4182,4113
6404,768
6404,773
6228,6229
4199,3590
2101,3095
6399,926
2101,3094
6385,1367
6404,777
2094,3318
2074,3940
4215,3108
6388,1281
2074,3941
6398,974
6393,1135
6398,979
6384,1412
6407,708
6385,1390
4301,456
2089,3495
6385,1388
6407,713
6385,1392
4211,3256
4213,3192
6385,1397
6414,497
4210,3291
6398,1003
6385,1411
6390,1254
6398,1005
6385,1415
6404,825
2034,5224
6410,642
6411,611
2095,3338
6385,1421
4182,4183
4209,3345
6404,835
6393,1183
4118,6172
4206,3445
6301,4037
6399,1005
6394,1157
6385,1436
4301,510
2074,4010
6425,202
6387,1382
6302,4017
6387,1388
6411,642
6393,1206
6412,617
2190,425
6387,1390
4183,4182
6388,1370
6407,781
6407,783
6414,566
6385,1464
6411,665
1976,7076
6385,1470
6412,633
6425,233
6387,1411
6412,635
6416,518
6410,703
6385,1476
6387,1421
6301,4086
6404,893
6404,892
6385,1485
4097,6877
2099,3282
6426,218
6386,1457
6385,1495
6404,904
1937,8311
4183,4224
4097,6890
6412,659
4200,3699
6385,1500
2077,3981
4187,4109
6412,668
6425,264
6412,673
6414,611
6411,703
6304,4026
6389,1390
2097,3370
6399,1085
6426,247
6426,245
2083,3808
6412,686
6399,1088
6426,251
4137,5678
6426,253
6388,1438
6412,692
6426,264
6411,729
6404,945
6386,1508
6387,1476
4187,4138
2038,5224
6404,947
6390,1388
6426,272
6245,5880
6426,276
6390,1390
6388,1457
6388,1456
6412,712
6410,773
2190,526
6254,5616
6388,1459
6426,288
6387,1495
6403,998
6412,730
6404,982
6247,5848
6399,1135
6404,979
2077,4046
6411,773
6404,992
2011,6104
6398,1183
2105,3192
2070,4280
6240,6080
6407,902
4215,3325
6388,1497
2029,5556
1988,6830
6416,638
6407,917
2084,3856
6405,982
6324,3491
6425,365
4189,4151
6400,1150
6398,1212
2094,3561
6389,1489
4211,3476
6390,1464
6412,781
6399,1183
1981,7070
6397,1250
4301,698
6414,729
2110,3083
6410,859
6426,367
6393,1390
6394,1363
6404,1052
2101,3375
6399,1206
6301,4250
6426,373
6426,380
6390,1495
4200,3847
4215,3382
6393,1401
4206,3662
2165,1401
2172,1183
6393,1411
1938,8441
6404,1068
6411,857
6316,3802
6414,768
6411,859
6404,1082
6431,245
2179,982
6394,1390
6417,676
6425,435
6426,403
6414,773
6404,1090
6414,777
6431,257
6404,1092
6425,440
6426,416
2084,3944
6404,1097
6426,414
2083,3977
2085,3915
6416,730
6404,1100
6426,418
6433,200
6404,1099
6396,1354
6408,982
6310,4024
6407,1016
6411,892
2097,3552
6407,1015
6426,425
2074,4267
6324,3594
6426,432
2013,6160
6425,460
2101,3436
4301,773
6426,440
2036,5455
2108,3223
2190,683
6425,478
2030,5649
2190,689
6404,1127
6426,451
6404,1133
6407,1039
6426,456
6407,1043
6426,454
6414,825
6412,887
6426,460
6396,1390
6433,243
2190,702
6425,490
2105,3336
6407,1053
6399,1301
6414,835
6394,1455
6257,5707
6426,466
2085,3967
6394,1457
6393,1488
6431,321
2089,3848
4209,3670
6407,1069
6431,325
4209,3671
4213,3549
6426,488
6410,982
1994,6807
6426,492
6421,646
4206,3779
6410,992
6426,494
1994,6815
6407,1088
4193,4194
2096,3664
6426,505
6247,6061
6426,512
2043,5311
4195,4137
6426,510
6426,514
2169,1411
6428,451
6426,520
6414,892
6426,519
4205,3838
6431,369
2190,766
6398,1390
6421,676
6414,893
6398,1396
6425,559
2169,1421
6411,992
6426,527
6426,526
6426,532
6411,995
6426,535
6410,1030
4107,6892
6430,416
4194,4193
2088,3946
6404,1219
6397,1443
6398,1411
4209,3737
6399,1388
4223,3306
6433,333
6426,549
6426,555
6424,617
4216,3528
6399,1390
6398,1421
6404,1239
4107,6916
6426,564
6399,1401
6431,406
6433,350
6426,566
2202,440
6411,1030
6410,1068
6431,416
6424,632
6398,1438
6410,1065
4211,3705
6426,575
6399,1411
6184,8082
6412,1018
2110,3306
4197,4144
4308,703
6398,1456
1993,6937
6426,592
6404,1273
6240,6356
4308,712
6426,589
6435,310
6398,1464
6410,1090
2105,3474
6426,600
6411,1065
6404,1281
4196,4197
6404,1283
2116,3141
2042,5438
6414,979
8432,3963
6426,611
8432,3964
6414,982
4209,3801
6424,676
6412,1054
6414,992
6426,620
6412,1053
6407,1207
6407,1206
6404,1303
6431,472
6411,1097
6410,1127
2190,873
6324,3792
4113,6796
4200,4100
6398,1497
6431,481
2028,5900
6411,1100
6426,635
4197,4196
6433,422
6410,1133
6423,730
6433,425
4210,3802
6426,641
6435,367
4221,3470
6431,497
6426,652
6399,1488
6404,1332
2096,3816
6399,1495
2080,4314
6426,657
6411,1127
6426,662
6228,6799
4198,4199
6404,1348
6414,1038
6426,665
4227,3308
2097,3802
6411,1144
2119,3125
2084,4212
6228,6822
2105,3561
6426,683
6426,682
6404,1370
6412,1120
4317,535
6430,566
6412,1124
6426,689
6414,1068
6410,1192
4232,3171
4232,3172
6426,699
1949,8412
4199,4198
6412,1132
6404,1380
6426,698
6414,1075
6426,703
6426,702
6426,706
2105,3587
6426,705
2105,3588
4234,3125
6426,710
6433,492
4215,3720
6426,716
1993,7065
1993,7064
6414,1090
4226,3382
4215,3728
6412,1158
4233,3171
6435,444
6431,566
6414,1100
6411,1192
6404,1409
4233,3172
6414,1097
6404,1414
6416,1041
6426,730
6426,729
6199,7777
2099,3802
4209,3934
6225,6974
2178,1361
6426,745
6404,1427
6407,1345
6414,1127
6433,537
2109,3510
6433,546
2209,416
4224,3487
6426,768
6435,488
6431,611
6426,766
2040,5661
6425,803
4292,1390
6404,1453
6196,7900
6431,614
4210,3935
6421,931
6411,1239
2186,1144
6426,773
6430,649
2113,3413
6426,781
6410,1282
6404,1467
6426,785
4214,3827
6426,792
6425,821
6439,386
4220,3645
4202,4203
6411,1261
6425,827
4215,3801
6279,5350
2119,3243
4297,1260
4317,640
6431,642
6410,1303
6426,811
8432,4165
6412,1243
8432,4166
6411,1281
2190,1062
6431,664
6426,817
6426,821
6426,827
4203,4202
2085,4327
6426,825
6446,210
6375,2410
6410,1332
6426,835
6412,1274
2099,3903
6411,1303
6426,837
6433,624
2090,4187
6414,1219
2212,407
2178,1464
2086,4321
4204,4205
1964,8108
6426,859
6431,703
6411,1322
6426,868
6433,650
6411,1332
6426,865
6435,592
2043,5672
6426,875
6410,1370
6426,873
6411,1343
6446,257
6411,1348
2096,4039
2003,6922
4215,3886
6426,892
6433,674
4205,4204
2125,3151
6423,982
6446,274
4215,3899
4232,3375
6433,680
6433,687
6426,903
6426,902
6414,1273
6411,1370
6431,750
4213,3978
6435,633
6284,5312
6414,1281
6439,510
6426,917
2201,825
6426,923
6431,773
4233,3375
6446,307
6426,926
6435,646
4228,3533
6433,715
6426,934
2190,1179
2035,5984
2099,4003
4215,3949
6433,726
4119,6923
6446,321
2127,3140
6426,946
6446,325
6426,952
6426,950
6412,1384
1957,8419
6435,670
4207,4208
6433,739
6433,737
4230,3494
4225,3649
2111,3651
6445,369
2211,555
6435,682
2204,773
6426,966
6421,1120
4232,3450
6435,692
6414,1348
2113,3604
2126,3208
6412,1411
4215,3988
6425,1015
6426,982
6412,1415
6412,1421
4208,4207
2209,642
6426,992
6426,996
6426,995
6433,781
4233,3450
4307,1157
6426,1002
6418,1250
6414,1380
4308,1127
6426,1005
6445,416
6426,1010
6448,328
6426,1016
6448,333
6431,860
4116,7087
6431,859
6431,858
6426,1017
6426,1022
2116,3564
6445,436
6426,1025
6426,1032
6416,1342
2036,6048
4125,6824
2096,4190
2126,3259
6446,416
6426,1035
6439,632
6416,1345
6433,821
6433,820
6414,1414
4215,4052
6425,1079
4212,4146
6431,892
6426,1046
2098,4144
6412,1485
6431,895
6414,1427
6412,1488
6426,1053
6430,929
6452,247
4309,1150
6431,903
6416,1368
6426,1057
6428,1002
6448,380
6426,1062
6426,1061
6426,1068
6412,1500
6426,1065
6435,792
6431,915
2219,416
6412,1508
6426,1080
6426,1079
6439,676
6451,303
2125,3338
2205,858
6431,929
6452,276
6414,1453
6426,1085
6452,284
6426,1090
6426,1100
6426,1097
6402,1841
6425,1135
6426,1103
6446,481
6430,982
6417,1390
6426,1110
2190,1355
6430,992
6426,1113
6433,896
2099,4183
6426,1118
4224,3844
6446,497
1961,8462
2200,1053
4224,3850
2006,7069
6426,1127
6451,352
6454,257
6426,1132
4214,4168
6416,1441
6446,511
6426,1135
6426,1133
6418,1387
6426,1139
6431,982
6426,1144
2036,6160
2115,3711
2203,982
4212,4239
6433,931
6431,992
6431,995
6431,994
6445,566
6455,264
6426,1162
6433,944
6426,1166
6426,1172
4222,3957
6426,1170
6431,1021
4224,3902
6452,367
6426,1179
6433,961
2227,276
6426,1183
6454,320
2126,3413
6446,566
6426,1186
6448,510
6416,1501
6426,1189
6454,321
6418,1443
6425,1225
6426,1198
6448,516
2105,4079
6426,1204
2103,4142
6426,1208
2099,4271
6431,1052
6435,926
6445,622
6426,1209
6426,1216
2230,218
6430,1090
6452,407
6428,1158
6431,1065
6431,1068
4183,5218
6430,1097
2012,6985
4183,5224
6446,608
6448,545
6425,1257
6426,1225
6421,1387
6454,364
6426,1232
4218,4144
6431,1075
6421,1384
6421,1390
6435,961
4218,4149
4219,4118
6454,369
6431,1082
4232,3726
2190,1492
6433,1028
6367,3081
6431,1097
2041,6113
6430,1127
2190,1495
6426,1254
4228,3856
4231,3763
2125,3517
2105,4137
2135,3208
2099,4327
6446,642
6367,3091
6426,1261
4220,4118
6367,3094
6426,1265
6433,1055
6453,434
6367,3098
2207,988
6448,594
2216,714
2212,838
6426,1273
4233,3726
4228,3881
2052,5802
1967,8438
6431,1127
6426,1282
6431,1133
6433,1069
6446,665
6445,703
2113,3921
6426,1291
2204,1099
2121,3674
2118,3770
6452,488
2111,3989
2118,3771
6441,835
6426,1299
6431,1144
6423,1390
6453,460
6435,1018
6460,249
6426,1303
6433,1086
2127,3498
6426,1301
2121,3689
6459,284
2212,870
4215,4317
6452,505
6459,288
6426,1310
6245,6920
6426,1316
6452,510
6448,638
6445,729
6448,635
6426,1324
6446,703
6441,857
4225,4017
6424,1390
2125,3585
6453,490
2209,982
6426,1332
6426,1329
6343,3909
6460,282
6439,931
6433,1116
4219,4220
6369,3107
6451,564
2128,3505
4308,1465
6455,444
6453,505
6431,1192
6453,510
6448,663
6356,3521
6452,545
6369,3118
6446,729
6426,1355
6426,1354
6426,1353
6370,3096
6433,1142
6426,1359
6370,3095
6463,212
6370,3094
6445,768
6435,1085
6445,773
6301,5236
6458,369
6426,1361
6426,1366
2042,6200
4220,4219
6426,1370
6451,594
2132,3413
6426,1374
6368,3172
6462,257
6367,3208
6453,541
6426,1384
6428,1322
6453,545
6370,3117
6426,1388
6446,768
6448,705
6431,1230
6445,796
6463,245
6370,3128
6426,1390
6435,1110
2139,3216
6426,1396
6431,1239
6435,1120
6455,499
6435,1118
6459,374
6367,3233
6340,4068
6435,1129
6425,1438
6448,730
6371,3117
6426,1412
6426,1411
6301,5284
6370,3145
2118,3887
6446,796
6426,1414
6445,825
6435,1135
6431,1265
6435,1140
2106,4265
4226,4081
6445,835
6448,740
6426,1427
6426,1426
6453,589
4136,6885
6367,3261
6453,592
6431,1281
6462,320
2230,440
6301,5315
6371,3145
6459,414
6433,1220
6462,321
2056,5840
6426,1443
6452,635
6334,4300
6451,673
6445,859
6441,982
6426,1447
6373,3094
6369,3217
6428,1388
6453,612
6431,1300
6373,3098
6455,555
6426,1453
6373,3096
2062,5667
4224,4183
6431,1303
6455,559
6426,1464
6369,3230
6367,3297
2125,3725
2069,5460
6455,567
6358,3573
6459,442
2125,3726
6370,3208
4231,3984
6454,608
6426,1476
6426,1475
6373,3117
6462,364
6374,3092
6446,860
6446,858
4138,6875
6367,3310
6460,434
6431,1332
6435,1206
6462,369
6433,1275
6426,1492
6369,3259
6448,809
6431,1336
6367,3320
4138,6881
4257,3192
6451,715
6460,442
6426,1495
4228,4095
6369,3260
6431,1343
6370,3233
6431,1348
6446,883
6460,452
6369,3272
