religion_1,religion_2
12100,1631
7786,12482
5143,12495
5143,12500
6670,14316
6729,12486
3294,12480
5144,12477
8447,12480
7918,12498
5144,12476
5144,12481
8256,14315
5144,12482
1048,12480
8051,12479
5144,12479
12352,14315
5144,12480
5144,12486
5144,12483
5144,12490
5144,12493
5098,1631
8137,1631
3116,1631
5805,12480
520,12480
5144,12495
7080,1631
6317,13002
1445,12485
6816,1631
5145,12478
124,12480
5145,12479
5145,12476
5145,12477
7919,12498
5145,12482
4220,12485
5145,12483
5145,12480
5145,12481
5277,12485
5145,12486
1267,1631
5145,12490
785,12480
5145,12495
5145,12493
7920,12493
257,12480
3296,12480
5410,12483
6335,12485
1050,12480
5381,13390
1136,1631
8271,1631
11884,12508
5543,12485
8318,12481
1183,12480
1315,12489
126,12488
6204,12489
126,12496
655,12488
1316,12479
259,12480
7658,12485
127,12478
127,12480
7922,12498
5498,1631
8318,12510
12415,12479
5412,12493
5366,1631
127,12488
6337,12489
4045,1631
3768,14315
8452,12479
3299,12480
4178,1631
8056,12479
789,12480
5235,1631
6735,12480
730,14315
6160,1631
5103,1631
8452,12502
5414,12480
5150,12476
5150,12479
5150,12480
5150,12477
5150,12483
8056,12503
5150,12481
5150,12482
922,12480
7924,12503
8189,12488
5150,12486
790,12480
5150,12489
6868,12480
5150,12490
5150,12495
5150,12493
6339,12498
5150,12500
5679,12485
8011,1631
7661,12480
8189,12504
1451,12485
8322,12480
11975,1631
7793,12493
7747,1631
6075,12503
10918,1631
10568,12492
10568,12494
923,12480
923,12483
10568,12502
5944,12480
1141,1631
5105,1631
10568,12498
659,12480
1452,12479
7880,1631
5152,12477
5152,12478
6341,12481
5152,12476
5152,12481
12419,12488
5152,12482
5152,12479
5152,12480
5370,1631
5152,12486
4313,1631
5152,12483
5152,12490
792,12480
8059,12489
5152,12493
5152,12491
7795,12485
6077,12498
396,12480
3303,12480
1189,12480
4169,14315
7663,12495
12506,1631
8397,14316
7003,12485
8324,12498
5107,1631
1321,12503
3436,12480
7796,12489
5154,12476
3304,12479
133,12479
5154,12479
1058,12477
5154,12480
5154,12477
5154,12483
11892,12503
6343,12488
5154,12481
7004,12476
4097,12480
926,12479
5154,12482
133,12488
133,12489
5154,12488
3833,12479
5154,12486
4315,1631
5154,12489
5154,12490
5154,12495
8061,12484
8325,12493
5154,12493
133,12498
3569,12480
5901,1631
398,12485
5287,12480
352,1631
4230,12488
663,12480
7930,12488
7091,1631
1324,12480
5420,12480
5156,12477
135,12480
5156,12476
5156,12481
135,12483
5156,12482
3,12480
5156,12479
6345,12485
5156,12480
3,12483
5156,12486
928,12480
5156,12483
8063,12485
3835,12480
5156,12490
928,12485
5156,12488
5110,1631
5156,12493
7006,12485
5553,12480
6346,12480
6346,12479
8856,12488
7770,13390
268,12488
929,12480
8050,12917
7007,12485
929,12485
3129,1631
7932,12480
3704,12479
8196,12498
533,12480
5158,12476
7668,12488
137,12479
5158,12479
5158,12480
6215,12480
5158,12477
5158,12478
5158,12483
1194,12485
5158,12481
5158,12482
6083,12485
5158,12486
5158,12491
261,12745
5158,12490
5158,12495
5112,1631
5158,12493
3969,12489
7669,12483
5158,12500
402,12480
5423,12480
7669,12486
5628,14315
270,12480
7801,12488
5291,12480
402,12485
7933,12498
6348,12480
8197,12503
4102,12479
3177,12485
3970,12480
1459,12495
5952,12480
3574,12480
8152,1631
6084,12498
8330,12498
535,12486
8331,12480
3178,12480
6349,12481
3706,12498
6217,12480
4321,1631
7670,12498
5953,12480
7671,12480
3925,1631
7670,12509
3443,12480
272,12480
3311,12480
8405,14315
5161,12479
5161,12476
11853,1631
5161,12477
5161,12482
11899,12503
5161,12483
5161,12480
5161,12481
5161,12486
5293,12489
5161,12490
11900,12479
6879,12479
1036,13390
5690,12480
5161,12493
537,12480
6218,12498
6879,12486
7613,14315
7672,12485
7907,13390
3312,12480
801,12498
141,12480
141,12481
141,12488
8274,14316
6160,14315
141,12493
141,12494
141,12498
7746,14318
141,12510
8202,12480
11855,1631
3416,13390
6088,12480
5117,1631
7013,12485
5778,1631
143,12479
5164,12478
5164,12476
5296,12480
6353,12480
5164,12481
12431,12480
11,12479
5164,12482
5164,12479
5164,12480
5164,12486
143,12488
5164,12483
8144,14317
6221,12485
3710,12503
5164,12490
4193,1631
11,12488
97,1631
5164,12493
6750,12480
5118,1631
6060,13390
8157,1631
7939,12485
5164,12491
6750,12483
3784,14315
8071,12498
276,12482
5825,12498
3533,1631
4240,12480
3256,14315
6750,12497
3976,12479
6750,12501
3976,12486
3976,12483
6883,12479
1201,12498
7808,12480
7881,14316
3184,12480
8337,12485
3551,13390
495,1631
8205,12485
12433,12488
3184,12493
5563,12480
8073,12489
3449,12480
1335,12480
12639,14314
5167,12476
5167,12480
5167,12481
3185,12480
5167,12479
6224,12479
8338,12481
364,1631
5167,12482
5167,12483
6297,14316
3271,1631
5167,12486
4328,1631
6753,12479
5167,12493
5167,12490
5167,12491
3978,12486
5167,12500
7678,12484
7896,1631
8074,12498
5300,12480
8075,12478
3318,12485
808,12480
1468,12502
9000,12480
1469,12482
7752,14320
5433,12480
5169,12479
5169,12476
412,12489
7943,12498
5169,12482
5169,12483
5169,12480
5169,12481
8149,14315
5169,12486
3187,12489
6226,12485
5169,12490
4198,1631
677,12480
941,12489
8076,12485
5169,12493
7663,13002
545,12480
6048,1631
1470,12480
7680,12485
7680,12483
3320,12480
3393,14315
1206,12480
1074,12480
5698,12498
810,12480
1338,12498
4199,1631
414,12480
7681,12486
6756,12493
1207,12480
17,12507
4114,12478
4319,14315
7946,12480
5964,12479
6889,12481
679,12480
5567,12502
1472,12479
5700,12494
6361,12481
5172,12476
5700,12492
3190,12479
5172,12481
4115,12480
1443,13390
6097,12479
5172,12482
3540,1631
5700,12498
5172,12479
5172,12480
5172,12486
5172,12490
5126,1631
5172,12493
7815,12485
5172,12500
284,12480
6230,12480
6098,12480
7023,12485
8212,12485
7889,14315
8166,1631
5907,14315
549,12480
11912,12480
899,1631
3661,14315
3976,12745
3674,1631
1210,12480
1342,12485
4249,12482
5570,12498
6760,12485
7817,12485
3589,12485
946,12498
3325,12479
5175,12476
5175,12477
5175,12480
5175,12481
5175,12478
5175,12479
5393,1631
5175,12482
8214,12479
5175,12483
5175,12488
5175,12489
7025,12482
5175,12486
6364,12498
5175,12493
5175,12490
5175,12491
1459,13002
918,13390
5572,12485
3326,12479
12310,12503
4251,12480
5308,12480
8083,12480
808,12723
5262,1631
8169,1631
3928,14318
4008,11836
3723,12480
3928,14316
5969,12489
6630,12484
6630,12482
7628,14315
156,12480
156,12488
8216,12480
8216,12481
1184,13390
3149,1631
4120,12488
5131,1631
7688,12480
6102,12498
3810,1631
3724,12489
3328,12480
8349,12481
1214,12480
6321,1631
7953,12485
12313,12488
6632,12479
3725,12489
6850,1631
12313,12499
7689,12485
6632,12489
1215,12480
6309,14315
11785,12488
5567,12745
11917,12503
5972,12480
8350,12493
423,12480
3858,12489
5444,12480
8219,12480
1348,12485
3198,12480
6237,12480
6765,12503
952,12480
5824,13002
3462,12493
1302,1631
27,12488
27,12489
7896,14314
5841,12480
3859,12486
11919,12480
27,12498
3727,12488
1349,12480
7632,14315
7645,1631
5181,12479
5181,12476
7955,12498
5181,12482
5181,12483
5181,12480
5181,12481
4124,12480
5313,12485
12448,12480
5181,12486
3595,12498
1085,12485
5181,12490
5181,12491
6899,12480
7956,12480
8749,12480
5181,12495
689,12482
5181,12493
7824,12479
5578,12480
5710,12481
3946,1631
7824,12483
8485,12480
5181,12500
5182,12476
5182,12479
8485,12488
5182,12480
5182,12477
5182,12478
3596,12493
5182,12483
5182,12481
5182,12482
8089,12485
5182,12486
822,12480
5182,12489
5182,12490
5182,12493
8221,12498
558,12480
6636,12479
161,12504
5315,12480
6636,12488
1219,12480
162,12480
3333,12489
5315,12488
4258,12485
7958,12479
823,12480
7033,12485
4212,1631
7958,12481
7694,12480
559,12479
5447,12503
8354,12498
7826,12485
5580,12485
5184,12477
5184,12478
7635,14320
5184,12476
5316,12480
5184,12481
5184,12482
3552,1631
5184,12479
5184,12480
5184,12486
5184,12483
8223,12480
824,12480
5184,12493
7827,12480
5184,12491
5184,12495
3599,12480
2541,12510
428,12480
5581,12480
6638,12482
6711,14321
3553,1631
6902,12498
825,12480
11924,12482
7960,12480
7901,14315
7960,12485
3467,12502
8356,12503
6064,1631
3336,12485
8356,12510
3204,12485
33,12488
5847,12480
6111,12488
8311,1631
33,12496
826,12489
5187,12476
11397,12480
33,12505
5187,12477
5187,12480
5187,12481
5537,1631
5187,12479
5187,12482
959,12480
5187,12483
5187,12489
5187,12486
5187,12493
5187,12490
5187,12491
7903,14315
5187,12500
5584,12485
3820,1631
12323,12480
7698,12489
3470,12489
9284,12487
3999,12485
8359,12498
4085,1631
6774,12485
168,12476
168,12479
168,12480
12324,12482
168,12481
3207,12485
168,12486
8314,1631
7964,12480
8182,1631
168,12500
9021,12485
7832,12485
7700,12480
168,12503
7700,12489
8096,12498
1226,12480
12398,14315
3208,12480
4265,12480
5672,1631
5540,1631
962,12480
6115,12485
5983,12479
698,12480
5144,1631
5719,12479
3473,12480
6644,12484
1359,12480
3576,13390
170,12480
1095,12479
698,12498
3870,12480
5145,1631
3738,12482
4002,12489
5984,12488
435,12485
5192,12477
5192,12476
7788,1631
5192,12481
4135,12480
5192,12482
5192,12479
8099,12480
5192,12480
5456,12488
8231,12485
5192,12486
5192,12483
6249,12485
5192,12490
5192,12493
5853,12480
4003,12486
5192,12495
5853,12485
6117,12498
509,14315
3693,1631
6646,12486
6719,14318
6323,14315
4136,12480
1097,12485
833,12480
3740,12480
3608,12480
5722,12486
3826,1631
5194,12476
5194,12479
5194,12480
7658,1631
5194,12477
5194,12478
5194,12483
7961,12723
10083,12479
6119,12480
5194,12481
7704,12496
5194,12482
6337,1631
5194,12486
5194,12491
41,12488
41,12489
10083,12488
5194,12489
5987,12483
5194,12490
10083,12489
5194,12495
5194,12493
7704,12507
920,1631
5194,12500
11933,12485
41,12502
3345,12480
10083,12498
6252,12481
1099,12480
7837,12503
5723,12498
5460,12480
7706,12485
7647,14321
4139,12480
8367,12479
1100,12480
8367,12480
5150,1631
777,14316
11935,12480
3479,12480
1365,12479
8235,12498
3611,12489
176,12479
1451,1631
969,12480
176,12488
176,12489
176,12494
705,12480
176,12498
6783,12485
176,12509
6255,12480
1102,12480
5858,12498
45,12480
3084,12480
8369,12480
8046,14316
11144,12480
8105,12480
6123,12489
838,12485
838,12488
7709,12480
7709,12484
178,12479
1235,12480
4010,12480
971,12480
178,12489
6124,12488
3746,12480
5860,12480
7974,12488
3614,12480
5537,14315
7710,12485
5464,12480
179,12479
179,12485
179,12488
708,12480
8107,12494
6079,1631
6125,12498
444,12480
5465,12480
5815,1631
3351,12480
8107,12498
6646,12745
4012,12480
5202,12476
7712,12488
3484,12485
5202,12479
5202,12480
5202,12483
5202,12481
4145,12480
5722,12745
5202,12482
974,12483
5202,12486
5202,12491
135,1631
974,12486
6920,12480
5202,12490
974,12490
5202,12493
3088,12498
446,12480
796,1631
664,1631
5731,12493
3353,12480
5203,12480
11895,1631
3485,12489
5203,12479
5203,12483
6920,12503
5203,12488
5203,12489
5289,1631
6346,1631
7053,12480
6260,12498
5203,12494
11942,12480
5996,12488
3618,12480
5732,12480
5203,12498
7007,1631
314,12508
7846,12485
1445,14314
388,14314
7714,12485
1445,14315
1240,12480
4147,12480
51,12479
5336,12489
51,12485
51,12488
51,12489
4101,1631
3619,12481
51,12498
7008,1631
1373,12480
6262,12480
51,12508
52,12479
6335,14315
4016,12479
8376,12494
5866,12480
845,12485
7980,12485
8376,12498
8509,12480
3223,12503
8509,12481
8509,12482
8509,12483
11898,1631
5675,14315
8509,12476
8509,12479
185,12479
1242,12480
8509,12488
6263,12481
8509,12489
8509,12486
7848,12503
8509,12493
4235,1631
7835,12917
7849,12480
8509,12500
7717,12480
450,12480
185,12504
53,12502
4282,12480
7849,12503
979,12480
7849,12510
4236,1631
7718,12480
3490,12480
8068,1631
11900,1631
422,13390
7850,12498
3094,12482
4283,12489
6133,12480
3747,12723
6351,1631
141,1631
3755,12480
8379,12498
320,12480
188,12479
5209,12478
6266,12480
5209,12479
5209,12476
5209,12477
5209,12482
5209,12483
5209,12480
8466,1631
3095,12481
5209,12481
5209,12486
188,12488
8380,12485
5209,12490
4020,12485
6662,12503
5209,12489
5209,12495
5209,12493
5870,12482
8380,12503
7720,12480
5209,12500
5679,14315
321,12482
5870,12493
1378,12485
6267,12480
539,1631
11902,1631
6135,12480
3169,14315
8381,12485
6003,12480
982,12485
6267,12493
6663,12503
5739,12480
5164,1631
5342,12498
7985,12489
7588,12508
11949,12485
7721,12485
6796,12488
8249,12498
7589,12480
6750,1631
12346,12480
8250,12480
1465,1631
8382,12485
7722,12480
3890,12488
8072,1631
59,12480
5430,1631
4155,12488
7854,12510
11951,12480
8119,12489
7591,12480
6739,14315
5959,1631
7016,1631
4155,12504
3627,12489
7796,14319
6270,12480
6138,12480
4156,12481
1467,1631
3892,12480
308,13002
7942,1631
3569,14315
1455,14315
8120,12498
6271,12479
61,12479
325,12488
4025,12479
4157,12480
3232,12485
3450,1631
1336,1631
4025,12482
61,12489
325,12499
11953,12485
7593,12479
61,12498
3893,12489
3847,1631
3715,1631
7989,12498
7858,12481
6140,12498
1384,12480
3848,1631
5348,12480
7812,1631
7858,12493
7680,1631
8255,12479
7594,12503
8328,14322
11955,12488
8255,12507
4292,12485
6142,12480
8256,12485
5217,12480
6010,12480
856,12508
6670,12503
857,12485
1253,12498
6670,12510
11956,12489
11956,12485
7814,1631
7596,12485
5086,12476
5086,12479
5086,12480
5086,12477
5350,12485
5086,12483
8389,12485
5086,12481
5086,12482
5086,12486
5086,12490
594,12480
4161,12498
5086,12493
6672,12479
11957,12485
3765,12488
6672,12489
6672,12488
7815,1631
8258,12480
6011,12498
11911,1631
4162,12480
991,12480
8344,1631
945,1631
668,14316
11958,12485
3370,12480
4295,12480
3766,12494
1329,14314
5088,12477
5293,14314
5088,12478
5220,12479
5088,12476
5088,12481
5088,12482
3238,12485
5088,12479
1342,1631
5088,12480
5088,12486
5088,12483
7598,12498
5088,12490
5748,12507
5088,12493
3503,12477
6013,12489
8259,12502
3635,12485
7024,1631
7599,12485
7731,12486
3371,12480
1257,12480
7685,1631
12356,12480
6146,12480
3107,12480
6278,12488
8128,12480
3193,1631
5175,1631
947,1631
316,13002
1390,12480
5836,1631
5090,12476
5090,12479
5090,12480
5090,12477
5090,12478
994,12480
5090,12483
4033,12482
5090,12481
5090,12482
1258,12493
5090,12488
7997,12481
5354,12493
5090,12486
730,12480
5090,12491
5090,12490
7865,12480
5090,12495
5090,12493
8394,12485
4033,12507
4239,14315
7073,12480
7939,14315
5752,12485
7807,14321
3856,1631
1392,12480
3724,1631
553,1631
7807,14322
5092,12477
5092,12478
71,12480
5092,12481
5092,12482
71,12483
6281,12486
7074,12479
5224,12486
5092,12479
5092,12480
5092,12486
5092,12483
71,12488
5327,13390
6017,12480
3506,12502
6017,12485
4121,1631
5092,12488
5092,12493
11434,12503
71,12498
8792,12480
5092,12495
1393,12480
8396,12480
6282,12480
204,12480
5093,12479
5093,12476
5093,12477
5093,12482
5093,12483
5093,12480
8396,12485
5093,12481
7735,12498
5093,12486
12096,12485
5093,12490
5093,12491
5093,12488
8086,1631
5093,12493
5490,12480
1394,12480
3904,12498
3508,12485
73,12479
1480,1631
6151,12480
4169,12485
73,12488
5312,1631
7736,12508
3641,12480
7030,1631
73,12498
7605,12480
3377,12480
7605,12485
5095,12476
7869,12498
1131,12480
6284,12479
7678,14321
3318,14315
5095,12480
5095,12481
5095,12478
5095,12479
5095,12482
3216,13390
5095,12483
5095,12488
5095,12489
5181,1631
5095,12486
5095,12493
5095,12490
821,1631
4170,12502
1264,12482
5360,12480
4171,12480
3464,1631
8022,11886
6153,12480
8135,12480
5182,1631
7871,12480
1086,1631
6021,12489
7739,12485
8532,12480
340,12480
8532,12488
12364,12480
8532,12483
8136,12485
4258,1631
3908,12480
737,12480
7723,13002
7872,12485
5362,12480
5626,12485
7872,12498
5098,12476
5362,12482
5098,12479
5098,12480
5098,12477
5098,12483
6023,12480
5098,12481
5098,12482
5098,12486
5098,12491
5759,12480
6109,1631
5098,12490
11969,12486
7609,12479
5098,12493
7873,12485
3645,12485
5098,12500
1399,12480
3645,12489
3381,12482
5099,12476
3381,12485
7741,12493
8402,12488
5099,12480
3381,12489
1208,14315
5099,12481
5099,12478
5099,12479
1135,12485
5099,12482
11970,12480
5099,12483
1003,12485
5099,12486
5099,12493
5099,12490
5099,12491
7022,14317
5628,12480
79,12479
8139,12480
1004,12480
314,13390
4043,12485
79,12488
6025,12480
8093,1631
8403,12498
1474,14314
6158,12480
5101,12479
5101,12476
430,1631
6818,12498
5101,12477
5101,12482
8272,12479
1005,12480
5101,12483
11971,12498
5101,12480
3337,1631
5101,12481
6290,12485
5101,12486
3119,12489
4308,12495
5187,1631
4044,12488
6687,12480
5101,12493
1402,12479
1402,12480
8272,12503
7612,12488
11972,12493
8273,12485
8273,12480
8405,12485
992,12917
5968,14316
3649,12480
6688,12479
478,12480
3517,12480
5631,12485
6688,12488
5103,12476
5103,12477
7877,12498
1489,1631
5103,12480
8010,12476
5103,12481
5103,12479
1357,1631
5103,12482
875,12480
8010,12478
5103,12488
8010,12483
5103,12486
8142,12485
5103,12493
5969,14316
61,9054
8010,12490
5632,12480
5103,12500
5500,12480
4171,12723
6293,12480
727,13002
8143,12480
12239,12480
876,12485
5897,12480
5765,12482
612,12480
11975,12480
1405,12480
3387,12479
7615,12485
1273,12480
5105,12478
5105,12479
5105,12476
5105,12477
5105,12482
1009,12480
5105,12483
8276,12488
5105,12480
5105,12481
5455,1631
4048,12480
10918,12502
5105,12486
3651,12503
6162,12485
7615,12498
5105,12490
3916,12485
5105,12491
5634,12480
5105,12493
7834,1631
567,1631
3916,12502
4181,12480
8145,12480
7088,12485
5192,1631
6824,12480
8231,1631
6295,12498
12506,12479
4314,12480
5107,12476
5107,12477
12506,12488
8146,12480
5107,12480
5107,12481
5239,12485
5457,1631
5107,12479
1361,1631
4182,12488
5107,12482
5107,12483
5107,12488
5107,12486
5107,12493
5107,12490
5107,12491
7043,1631
5107,12495
4315,12476
3522,12481
12639,12485
615,12488
6297,12483
5108,12478
3522,12489
5108,12481
4051,12480
6297,12486
5108,12479
5108,12480
5108,12486
5108,12483
5108,12490
3787,12480
6958,12488
5108,12491
3860,14315
12640,12485
5108,12500
8147,12498
8353,14316
5241,12481
8280,12480
7751,12498
8016,12480
5110,12476
5110,12479
5110,12480
5110,12477
5110,12483
6299,12488
5110,12481
5110,12482
617,12503
3128,12485
3231,13390
5110,12486
485,12503
7752,12503
5110,12491
7752,12510
8149,12485
5110,12489
5110,12490
5110,12495
5639,12480
12067,1631
6828,12485
5110,12493
6696,12480
5507,12480
5771,12488
4053,12498
6696,12485
354,12480
8282,12480
3393,12485
3261,12480
6300,12479
4186,12488
6036,12479
5772,12485
5243,12503
1280,12480
7622,12486
6783,1631
5376,12480
6638,14317
5112,12477
4319,12485
5112,12476
5112,12481
5112,12482
5112,12479
5112,12480
5112,12486
5112,12483
5112,12489
6169,12489
4141,1631
5112,12493
5112,12491
356,12480
5773,12488
5509,12480
6916,1631
8283,12510
1281,12482
3263,12480
4320,12480
442,1631
8152,12479
8370,1631
6831,12480
7888,12480
6038,12485
5992,1631
5378,12479
5775,12480
7889,12480
6700,12480
490,12480
1415,12480
5379,12480
7698,14319
4322,12480
7757,12498
1386,13390
4058,12480
887,12481
8154,12481
7963,14316
3662,12480
6774,14315
7890,12485
3880,1631
1284,12480
6787,1631
