locations_in_this_time_zone_1,locations_in_this_time_zone_2
14410,10156
13137,10704
13137,10705
13137,10715
14413,10068
13137,10712
14411,10144
14409,10201
13137,10721
13137,10732
13137,10733
13137,10730
14413,10087
13137,10731
13137,10729
13137,10743
14410,10189
13137,10741
13137,10736
14411,10166
14407,51
14408,17
14411,10165
13137,10745
13137,10758
14410,10208
14416,10029
14410,10216
13137,10767
13137,10764
14413,10120
14409,10243
13137,10760
14410,10210
13137,10761
14408,32
14411,10192
13137,10773
14409,11
13137,10768
14409,9
13137,10782
14410,10229
14407,14418
13137,10781
14413,10135
13137,10776
14410,10237
13137,6693
14409,26
14407,10326
14413,10140
14409,10264
14413,10141
14410,10245
14413,10150
14411,10213
13137,10792
14410,10242
14409,10287
14413,10160
14407,106
14410,10254
14411,10220
14407,117
14407,10354
13137,10813
14407,10352
14408,82
13137,10809
13137,10822
14413,10178
14407,10362
14410,10270
13137,10818
14407,10361
13137,10816
14409,10296
14410,10265
14409,57
14410,10279
14409,68
14407,130
14413,10184
14409,69
14410,10275
14409,64
14413,10181
14409,10305
14407,10367
14408,109
13137,10838
13137,10836
13137,10837
14411,12
14411,23
14409,85
14410,51
14408,111
14410,10290
14409,94
14407,10394
14411,10268
13137,6755
14411,10269
13137,10851
14409,88
13137,6752
13137,10857
13137,6761
14410,10319
14407,10412
13137,10868
14412,13
14410,10315
14411,44
14411,45
14411,10285
13137,10867
14411,52
13137,10872
13137,10873
13137,10887
14409,125
14409,123
14411,72
14411,67
14410,10351
14411,80
14413,10256
14409,141
14407,10452
14411,89
14410,117
14411,84
14408,177
13137,10904
14408,190
14408,187
14409,157
14411,95
13137,10914
14411,92
13137,10912
14411,102
14410,10373
13137,10924
14407,10467
13137,10923
13137,10934
14413,51
14412,79
13137,10929
14411,118
14414,25
13137,10940
13137,10938
14409,191
13137,10951
14411,127
13137,10949
14407,10488
14409,10427
14407,10489
14410,10396
14409,184
13137,10944
14411,137
14407,10499
14410,10403
13137,10954
14411,132
14414,38
13137,10966
14414,51
14411,142
14410,10414
13137,10962
14411,10381
13137,10963
14411,10379
14407,10503
14411,10390
14410,10422
14412,120
14411,10388
14410,10419
14411,161
13137,10983
14407,10525
14410,10429
14411,156
13137,10978
14407,10520
13137,10979
13137,10976
14407,10519
13137,10991
14407,10533
14410,10437
14410,10438
14409,10478
14412,146
14410,10448
14415,51
14411,170
14407,8500
13137,11007
13137,11000
14407,8495
14413,117
14407,10557
14410,10464
14410,10459
14412,158
13137,11020
14407,8513
14414,101
14409,10497
13137,11027
14410,10476
14411,10443
14412,185
14412,181
14414,117
14407,10574
14413,10389
14414,132
14407,10589
13137,11044
14408,8507
14408,10556
14408,8506
14407,8535
14412,188
14407,10583
13137,11054
13137,11055
14410,10504
14417,10282
14410,10500
14407,10590
13137,11063
13137,11061
13137,11058
14417,50
13137,11059
14409,8488
14409,10537
13137,11069
13137,11065
14407,10620
13137,11079
14410,8477
14411,10495
14410,8475
13137,11074
14407,10624
14414,168
13137,11083
14410,10529
13137,11093
13137,11103
13137,11100
14417,90
14410,10547
14411,8478
14407,10650
14407,10648
14409,10584
13137,11105
14410,10554
13137,11118
13137,11119
13137,11116
14411,8486
13137,11117
14410,10564
14408,10637
14411,8496
13137,11124
14411,8492
13137,11123
14411,8490
13137,11121
14410,10570
14411,8505
14411,8502
14410,8533
14407,10672
14411,10561
13137,11143
14411,8510
14411,8511
13137,11139
13137,11137
14413,10502
14411,8515
13137,11158
14411,10573
14411,8522
13137,11167
14411,8534
14410,10613
14411,8532
14407,10702
14411,8530
14410,10623
14411,10592
13137,9127
13137,9125
13137,11182
14410,10632
14410,10629
14410,10630
14409,10661
13137,11181
14411,10597
14410,10625
13137,9128
13137,11190
14419,117
13137,11184
14410,10634
13137,9149
13137,11197
13137,11195
13137,9147
14410,10641
13137,11193
14410,10642
13137,9158
14410,10656
14407,10744
14410,10651
13137,11201
14410,10664
13137,11215
13137,11212
14407,10754
14410,10659
13137,11210
14410,10660
13137,9161
13137,11223
13137,9170
14410,10668
13137,11217
14408,6645
13137,5086
13137,9180
13137,9181
13137,9178
13137,11227
14408,6642
14407,10766
13137,9176
14411,10643
13137,9190
13137,11238
13137,9191
13137,5095
13137,5093
13137,5090
14407,6681
13137,11235
14410,10682
13137,11233
13137,9199
13137,5103
13137,5098
14407,10784
13137,11242
13137,9192
13137,5110
13137,5108
14408,6668
13137,5107
13137,5105
14410,10698
13137,5118
13137,9215
14410,10709
14416,10521
14411,10677
14407,10801
13137,5112
14411,10688
13137,5126
13137,5124
13137,11269
13137,9221
14408,6684
13137,9218
13137,11267
13137,9219
14409,10747
14408,6679
13137,11277
13137,11274
13137,9226
13137,9227
13137,9225
13137,9238
13137,5142
13137,9239
14408,6702
14413,10640
13137,11285
14407,10824
13137,11283
14407,10825
13137,5136
13137,9246
13137,9244
13137,11292
13137,9245
13137,9243
13137,9240
13137,11288
14416,8503
13137,9241
13137,11302
13137,11303
14409,6685
13137,5154
13137,11298
14417,8483
13137,11296
13137,11297
13137,11310
13137,5164
13137,11306
14408,10815
14409,6689
14407,10858
13137,9266
13137,5169
13137,5182
14407,10869
13137,11324
14411,6647
13137,5181
13137,11325
14411,6644
13137,9275
14417,8504
14411,6643
13137,11334
13137,11335
14411,10750
13137,9283
13137,5187
14411,6664
13137,9295
13137,9293
13137,11349
13137,9301
13137,5203
13137,11347
13137,11345
14412,6636
14407,10899
14411,6676
13137,9307
13137,11352
13137,11366
14410,10814
13137,11362
13137,9314
13137,9315
13137,9312
14407,10903
14407,10916
14409,10855
13137,11375
14411,6694
13137,9322
13137,9323
14413,10725
13137,11369
14411,6705
14410,10832
13137,11381
13137,9333
14411,6700
13137,11379
13137,9329
14410,10839
13137,9343
14411,10804
14413,10742
14412,6678
13137,11398
14410,6751
14412,6688
14411,6716
14410,10843
14411,6717
14410,6748
13137,11406
14410,10856
14407,10945
13137,11415
13137,9367
14410,6766
13137,11410
14411,10829
13137,11409
13137,11420
13137,9383
13137,11431
14407,10971
13137,11426
14407,10968
14411,10845
14407,10967
13137,11425
13137,9386
13137,9387
14410,10881
13137,9384
14410,10882
13137,11446
14411,10864
13137,9398
14407,10989
14413,10800
13137,11445
14407,10987
14410,10892
14413,10796
13137,11440
13137,9392
14407,10996
13137,9406
13137,11454
13137,9404
13137,9405
13137,11448
13137,9401
14410,10898
13137,11463
13137,11461
14411,10876
13137,11456
14410,10905
14414,6686
13137,9409
13137,9423
14413,10827
14410,10920
14407,11008
13137,11478
13137,11479
13137,9428
13137,11476
14410,10926
13137,9426
13137,9424
13137,11485
13137,9435
14407,11036
14407,11037
13137,11493
14410,12988
14407,11032
13137,9443
13137,11503
14411,10918
14410,10950
14413,10854
14410,10948
13137,11496
13137,11510
14414,10835
13137,9462
14407,11053
13137,11508
13137,9461
13137,11509
14411,10927
14410,10955
14411,10935
13137,9466
13137,11515
13137,9464
13137,9465
14409,11006
14410,10969
13137,11534
14410,10984
13137,11531
13137,9493
13137,9490
14410,10988
13137,11536
13137,9489
14413,10893
14409,11030
13137,9502
14413,10907
13137,11548
14408,11057
14407,11086
13137,9497
13137,11559
13137,9506
14409,11034
13137,11552
13137,11553
13137,9505
13137,11567
13137,11564
14412,10952
13137,11565
13137,11562
14410,11024
14407,11111
13137,11578
13137,9528
13137,9529
14415,10871
13137,9543
13137,11584
14419,6658
13137,11598
13137,9551
13137,9548
13137,11594
13137,9547
14408,11106
13137,11606
14413,10959
13137,11603
13137,11600
13137,9566
13137,11615
13137,11613
13137,11610
13137,9562
13137,9563
14414,10933
13137,11608
14409,11098
13137,9582
14410,11073
14407,11166
