location_1,location_2
12100,10170
3671,9320
488,9691
7893,9514
1248,10712
6714,5107
5465,11059
6341,8476
485,9795
4705,10045
7661,8526
5996,10989
7670,54
6714,5113
12132,9188
5813,8475
8455,8488
5813,8478
3543,5118
5813,8476
753,9691
3927,9599
12948,8477
1017,9702
3904,10319
8162,9399
210,10148
373,5095
8372,11075
1320,8508
6023,10170
4425,10562
528,8488
6342,8488
3963,8509
1232,11249
793,8476
7870,10275
6238,11715
5391,5202
8154,9659
6040,9659
6271,10697
5284,8526
8148,9852
8163,9389
7905,9203
5511,9688
1322,8475
237,9345
4497,164
3910,10170
5755,10319
3350,11153
475,10170
8689,9493
1057,8514
469,10361
5983,11459
5778,9621
4663,11419
1300,9183
4996,9297
6079,8497
3964,8526
7774,5101
4732,9297
6344,8476
3546,5107
12889,10389
6080,8478
8194,8475
7933,184
3336,11626
3133,9729
5765,10058
8406,10102
14276,166
5243,9855
3632,10648
1431,5150
373,5182
8163,9451
1250,10766
6343,8532
1324,8475
5521,9443
6080,8495
3385,10124
3126,9961
12342,10984
7670,176
5028,157
8459,8489
3967,8476
1285,9702
3145,9386
12912,9714
769,9318
6879,131
6874,8477
5553,8478
5786,9451
12883,10632
6346,8475
8391,10614
6291,10189
7829,11663
3619,11100
5289,8486
3377,10413
3968,8475
5241,9973
214,10170
533,8475
1324,8532
5517,9623
5289,8496
12689,8476
378,5095
4168,10487
13425,10245
3095,10984
5216,10773
4687,10788
428,11744
5290,8477
7668,8488
7931,8526
5509,9881
7883,10021
6295,10096
3969,8475
11904,61
8143,10150
907,5095
13481,8512
6879,186
5719,11576
6876,8476
797,8512
3863,11772
3351,11258
5236,10170
5256,9547
4185,9991
5289,8532
6089,117
270,8476
8990,8488
5291,8476
5991,11353
1274,10124
4160,10773
14279,184
1040,9188
4691,10697
3704,8525
3970,8476
208,10408
4498,8492
8379,11064
3370,10691
3643,10423
6289,10319
4175,10316
5555,8497
3118,10316
8043,5095
908,5098
533,8531
12120,1585
14279,191
472,10423
6309,9700
4180,10170
535,8475
5220,10698
6282,10542
7636,9527
4455,9841
5556,8475
8306,5152
6191,5181
7670,8488
987,10860
535,8488
12886,10632
5292,8485
5255,9636
7636,9556
3707,8476
4767,191
1070,117
5230,10423
7597,10775
535,8510
8464,8476
3552,5095
5470,11176
8177,9183
11904,141
272,8475
6063,9180
5557,8487
5293,8476
1229,11583
3975,190
910,5095
465,10698
801,8475
7778,5184
5822,8476
1290,9702
6879,8475
233,9702
1171,5202
4236,8494
4194,9793
1034,9451
537,8475
5558,8475
5558,8476
7635,9623
5667,5095
3972,8488
1174,5118
7779,5164
4965,10479
3935,9638
6287,10461
8149,10077
3289,5095
12880,10872
478,10319
768,9523
5826,184
7833,11693
4400,11620
6797,11046
1174,5136
8465,8488
11878,9182
11904,184
3140,9729
6879,8513
12957,8509
8200,8531
1438,5157
1174,5150
6033,10170
3920,10135
472,10532
1174,5156
1067,8475
13126,11481
4509,76
508,9425
6088,8476
3190,12
6088,8475
5768,10210
6315,9636
965,11650
539,8476
1028,9702
5491,10614
803,8488
910,5172
1332,8476
7073,10729
5481,10934
1068,8475
3975,8476
3974,8509
5257,9697
11903,8476
730,10773
1174,5202
4510,92
649,5095
4202,9638
540,8476
8152,10083
5406,5093
5240,10239
750,10170
1302,9443
3109,10773
1069,8476
1036,9500
6090,8475
4166,10773
6992,5093
12107,10362
231,9885
805,8475
4182,10288
6883,8476
6883,8475
6090,8488
5521,9743
5671,5090
541,8475
541,8476
6852,9443
7906,9541
8205,8475
6090,8497
12114,10170
8156,9988
1070,8475
6287,10586
3921,10210
5297,8513
3148,9599
768,9654
3912,10497
3558,5088
4778,40
8144,10389
11862,9820
1021,10016
998,10729
3144,9744
6883,8525
1254,10989
7599,10903
3621,11342
735,10698
8944,10170
1070,8512
652,5086
8051,5101
5222,10879
1071,8488
6356,8495
549,99
3450,8476
1336,8476
460,11058
495,9973
4206,9623
1262,10773
5736,11346
6091,8532
6276,10989
866,6666
6818,10569
3898,10978
3399,10067
1335,8514
5672,5141
1035,9623
462,11002
8050,5150
1442,5200
7849,11385
7912,9438
5829,8475
976,11465
6886,8478
8145,10408
3370,10984
715,11369
463,10989
4688,11094
3187,8475
5035,8532
6303,10189
3186,8509
9000,8496
521,9208
8407,10507
3187,8488
6850,9621
1249,11226
5672,5184
4779,105
1341,186
3980,8488
3371,10984
488,10248
5782,9973
4203,1585
4171,10773
5409,5161
487,10289
1293,9881
6319,9724
3393,10319
7788,5150
243,9668
3610,11788
14209,10899
3946,9566
5047,11
14216,10691
14208,10938
3296,5150
4782,41
5567,8475
8180,9399
8404,10648
7643,9659
3920,10389
4246,8476
6062,9527
1075,8476
12111,10429
1277,10408
4089,5157
741,10648
4671,11700
6889,8476
1447,5150
5675,5157
7894,10094
5797,9564
3667,10060
5753,10934
473,10773
5568,8475
8369,11755
6361,8475
12928,9700
6036,10361
11884,9294
5267,9623
5778,10170
3724,117
7628,10170
8211,8475
6282,10934
8211,8476
3989,99
6097,8476
12439,8488
8175,9610
8157,10170
6097,8488
3296,5209
469,10929
3360,11419
789,9203
3297,5182
1044,9490
3922,10387
4211,9621
284,8476
4570,6684
6294,10582
6890,8489
7683,8488
4983,10269
6361,8509
13231,8526
3190,8508
6098,8476
11912,8476
11912,8475
4248,8488
3191,8488
8446,9422
5568,8531
549,8475
5771,10431
549,8476
4521,35
1451,5095
6206,5145
3913,10698
5306,8475
5306,8476
4249,8475
1021,10239
1056,9155
4249,8478
452,11496
1311,9443
6736,5108
4249,8476
1451,5107
7947,8531
6838,10142
394,5107
495,10170
5306,8488
509,9737
8176,9624
7683,8526
7893,10208
6108,13
7916,9500
4676,11636
5834,8512
3721,8476
8212,8517
549,8510
4177,10729
3638,11059
4250,8475
5796,9702
1452,5101
3931,10170
5307,8475
12404,9653
5051,33
8144,10642
5255,10094
8219,131
6077,9188
6108,36
8323,5105
6026,10773
6864,9371
1079,8488
1343,8497
13476,9203
5490,11020
3458,8475
3915,10698
8152,10423
6284,10991
6101,8478
1015,10497
3171,9203
5763,10773
3416,9802
6108,75
8176,9702
8175,9733
1451,5182
8184,9448
13213,9199
3459,8475
288,8475
923,5175
3682,9760
520,9481
7074,11111
7901,10049
734,11046
817,8475
4525,21
5682,5119
4524,58
743,10773
3724,8475
3643,10989
4787,98
8216,8494
1254,11321
8220,176
7857,11428
925,5145
8147,10635
12931,9786
5574,8487
821,184
3989,8475
6366,8515
553,8494
5272,9660
6315,10094
6025,10899
7930,9188
3989,8478
216,10754
6313,10160
6630,8532
3459,8526
3399,10389
1292,10170
5494,10984
7606,11046
1043,9702
4755,9318
11917,8478
5802,9630
7862,11315
1273,10773
3197,8475
7641,9973
3936,10140
4180,10773
515,9702
5263,9973
1308,9702
9011,8476
555,8475
825,108
790,9389
3686,9729
8219,8478
1060,9221
663,5145
8129,11271
11878,9733
8219,8475
820,8476
5841,8475
11919,8476
208,11069
1040,9853
8990,9159
7056,11772
1456,5150
5554,9188
4255,8494
3198,8498
6898,8488
8180,9700
3307,5118
1456,5157
5782,10319
3151,9961
3835,5142
1090,127
11878,9760
8219,8510
3467,170
8976,9621
821,8476
3467,181
3409,10170
1295,10170
789,9472
5841,8510
5269,9859
3649,10926
3467,184
3921,10691
8404,10984
6868,9443
1459,5093
7924,9481
8990,9200
5577,8509
3728,8488
12448,8510
12449,8476
494,10440
5253,10365
13240,8532
3473,12
7922,9550
3689,9702
3674,10170
1459,5107
6107,8475
3464,8489
14277,9156
3732,186
822,8476
8174,9947
239,10170
6067,9729
3309,5112
4218,9702
8435,10057
3646,11058
1253,11512
5950,5172
4099,5209
7631,10408
6323,10001
7010,5086
4955,11447
8165,10245
4758,9370
668,5093
3464,8532
402,5150
559,8475
6108,8488
1048,9702
6108,8494
1086,8526
3393,10736
6350,9188
6276,11481
5425,5095
3955,9702
3651,10939
3935,10329
261,9534
8140,11046
3995,8476
6872,9399
824,8476
558,8531
4176,11059
3573,5181
3437,9399
3693,9656
6902,8488
824,8488
1353,8476
3467,8478
11871,10094
8068,5118
5278,9688
5230,11176
5317,8476
8163,10362
1462,5107
8976,9737
825,8475
4988,10497
559,8531
7937,9188
539,9156
825,8485
991,11531
3473,131
7609,11176
12387,10519
8180,9859
3732,8488
1068,9155
3468,8485
7905,10210
7636,10355
7700,186
5847,8476
825,8509
5773,10773
1051,9702
11925,8476
3402,10552
5522,10365
5690,5158
787,9697
1050,9737
5269,10021
4105,5150
12370,11074
8175,10049
1256,11551
6850,10170
7010,5209
3439,9419
6328,9973
827,8475
6873,9464
8175,10062
4262,8492
5825,9188
760,10557
12083,11796
1052,9702
8333,5175
521,9783
1199,5150
3968,9426
299,8476
3206,8476
3206,8475
8226,8509
12382,10747
7807,5112
1092,8476
3692,9795
212,11181
8069,5181
5786,10423
253,9913
8227,8476
13469,9812
4106,5157
6113,8476
5429,5110
5849,8475
6905,8513
5585,8476
1315,1585
1042,10049
6331,9931
3445,9289
998,11419
8228,8477
5850,8476
6907,8475
12687,9523
3952,9973
8163,10499
565,8475
1324,9522
828,8516
7700,8476
3160,9958
3433,9688
13248,8531
785,9859
3208,8476
1357,8512
6041,10765
7808,5144
6222,5157
4536,86
8152,10864
830,8476
8434,10316
470,11448
218,11068
6908,8480
12413,9853
3440,9493
3318,5088
1009,11131
8190,9702
4266,8476
6114,8531
229,10741
6092,9213
1061,9528
6848,10362
14217,11302
6303,10872
12668,10170
6858,10049
3705,9493
4798,187
676,5088
5332,18
6335,9888
3738,8476
3738,8475
13471,9859
567,8476
3954,9973
12987,8475
1041,10170
4266,8497
6908,8515
303,8477
1303,10248
5068,28
3474,8485
5588,8488
7701,8531
3436,9674
1048,9973
831,8509
1096,8488
1307,10140
5829,9221
412,5118
3318,5150
3738,8513
1333,9342
1025,10698
1338,9188
6348,9528
1206,5095
1097,8475
4113,5095
4113,5093
8458,9665
8172,10340
7813,5090
6753,5181
3318,5172
312,54
3740,8476
5220,11747
7897,10681
1040,10262
1043,10170
6064,10170
3476,8475
12950,9700
3190,9156
1468,5194
7929,9700
6276,11796
5065,184
3476,8488
3585,5110
3924,10989
6324,10316
833,8508
5563,9337
577,61
305,8494
1027,10691
570,8476
5591,8476
7631,10773
3946,10320
8172,10392
3477,8476
1206,5150
3412,10497
1315,9973
7705,8488
546,9236
1071,9345
7944,9277
3687,10170
4113,5157
5775,10984
4208,10408
1206,5169
12672,10170
312,117
5817,9691
835,8488
3478,8476
3478,8475
3161,10117
3661,11001
6912,8526
6346,9688
791,9859
6080,9741
747,11224
3321,5161
268,9691
7020,5181
3478,8488
1100,8478
4007,8476
222,11121
8136,11544
3938,10614
4007,8475
5857,8475
8080,5095
7813,5187
5857,8476
6913,8509
773,10436
4442,11385
3968,9702
7971,8488
3479,8476
755,11002
3218,186
10350,8475
6852,10415
8236,8476
1023,10899
4008,8475
5069,161
12686,9790
679,5182
9008,9129
5826,9470
5806,10096
259,10019
312,184
6089,9518
1475,5095
4958,11810
6359,9345
4541,166
4007,8526
5439,5095
6230,5156
4196,10864
3975,9523
6888,9338
10350,8513
6893,9180
12417,9973
3588,5144
519,10170
3935,10773
3110,11772
742,11454
5822,9621
6916,8475
7973,8476
738,11582
8705,10361
13220,9659
6061,10408
7709,8478
249,10362
310,8476
5331,8476
4235,9688
8766,8488
1473,5202
6314,10777
5860,8477
3481,8498
808,9443
6327,10389
4803,8480
7973,8513
575,8476
8448,10170
816,9203
5235,11478
7951,9203
682,5169
13479,9876
3218,8475
790,10016
1069,9562
4236,9688
3459,9203
6124,8509
3932,10926
1056,9973
3450,9490
683,5156
4248,9334
8702,10519
12389,10922
3459,9221
7936,9702
312,8475
7684,9320
555,9137
3961,10048
950,5090
11899,9733
6304,11148
4544,171
3483,8488
7657,10170
420,5141
8192,9973
12686,9921
3429,10170
488,11230
3754,95
1046,10319
7663,9991
684,5157
3674,10773
4016,171
7922,10158
7819,5164
11916,9228
4550,9
1345,9264
5556,9795
1479,5112
1312,10289
5866,186
1055,10067
512,10516
6039,11211
1299,10698
5304,9425
1479,5118
5606,61
578,8476
1310,10361
3913,11588
8162,10940
5599,8475
1066,9737
5814,10007
783,10319
1078,9367
314,8476
5286,9994
3328,5157
249,10499
6765,5108
539,9702
1106,8509
13202,10361
7688,9267
8087,5090
7955,9188
6888,9497
4706,11601
1332,9702
7918,10340
6920,8508
1341,9430
5293,9802
4551,37
4214,10487
11911,9453
6921,8488
4279,8476
5606,108
3441,9876
5599,8514
7714,8492
3150,10712
13264,8476
8196,9931
3455,9451
7631,11069
13167,11481
844,8476
7720,121
578,8531
8202,9760
1049,10316
5784,10989
1047,10381
5306,9425
5282,10170
7979,8488
1054,10170
12444,9331
3487,8476
549,9443
7720,137
1372,8512
278,9660
4248,9474
4249,9443
541,9702
3450,9638
8244,8476
8353,5098
500,10978
8243,8509
6662,184
845,8476
3723,9371
771,10773
9037,8478
5866,8478
6342,10112
6086,9853
1374,8475
5796,10655
12963,9659
3450,9657
4281,8475
6317,10893
844,8526
9037,8492
6057,10766
820,9272
1110,8477
478,11686
7985,154
12425,9972
8194,10057
13482,9972
3330,5202
7720,186
6663,184
4772,9654
4490,10201
5800,10552
426,5118
7937,9846
1045,10507
1341,9523
581,8509
6660,8476
1056,10170
5570,9504
1375,8476
6321,10797
3489,8478
5339,8476
3193,9464
5813,10170
261,10248
1111,8475
6358,9659
796,10048
8404,11764
14273,10048
3955,10423
5799,10608
284,9541
1375,8488
764,11046
4281,8513
5549,10170
1316,10319
7717,8496
3754,8476
318,8495
1064,9947
5789,10929
13003,8475
3754,8482
3458,9468
1219,5150
12955,9972
8193,10150
7695,9199
5340,8476
4785,9297
1112,8475
4205,10899
764,11073
5710,5202
426,5169
1482,5202
5808,10362
539,9859
8993,9935
4019,8480
12421,10170
7983,8478
584,8476
5514,11296
780,10596
3600,5095
1296,10984
7033,5169
3129,11506
1318,10306
320,8476
6358,9714
3928,11321
6662,8488
3149,10899
12321,5090
4128,5124
4741,10697
12949,10210
4020,8475
261,10319
5870,8475
5449,5141
5340,8526
5814,10216
7719,8509
7720,8475
12739,8531
1059,10170
6090,9859
428,5156
12393,11074
4989,11224
5541,10497
7952,9490
3756,8495
4977,11605
4128,5161
3755,8533
13480,10160
5279,10446
12423,10170
3443,10021
533,10119
3600,5156
4020,8526
7663,10279
7721,8480
7985,8488
7994,21
4752,10417
3155,10773
1224,5098
11949,8493
4821,88
8250,8476
6929,8475
5553,10170
7986,8476
13007,8476
1342,9638
8188,10408
694,5150
3716,9771
12434,9853
6080,10220
5563,9863
3603,5088
5841,9443
5343,8495
6135,8525
792,10319
5767,11745
4287,8477
1225,5095
1438,6684
4819,181
4794,9148
8779,8496
6875,10170
5573,9573
546,9771
3989,9532
284,9702
3759,8475
7994,75
4475,10864
3728,9443
11951,8478
1116,8497
6083,10170
3338,5157
5609,8485
1333,9972
5983,5088
6138,8475
4559,78
3145,11146
3692,10578
1342,9702
8252,8488
11895,10245
4506,9922
1223,5202
6348,10170
8206,9910
5547,10423
3978,9915
7994,108
1087,9425
3932,11346
7988,8487
325,8475
8749,9481
6931,8495
12744,8526
3978,9935
696,5181
854,8476
4816,8532
286,9702
6108,9443
3444,10109
1015,11682
3963,10408
12139,10899
1097,9143
590,8476
13273,8513
6080,10319
6326,10892
559,9443
6138,8526
4133,5145
542,9973
7950,9702
8254,8476
7699,9297
1318,10497
5003,10953
825,9399
6330,10773
821,9523
7961,9371
1119,8478
435,5107
3207,9289
6117,9188
6933,8475
8470,9973
7990,8476
3736,9277
5582,9399
5552,10329
3184,10007
5808,10583
3762,8476
698,5157
9008,9688
6638,9434
3498,8476
8097,5169
1384,8475
1315,10614
11933,9132
11954,8496
3426,10721
4027,8475
1084,9599
7952,9684
1383,8526
3456,9802
1327,10265
592,8475
8364,5107
1322,10423
8223,9490
7689,9659
7991,8488
5825,10096
535,10248
1385,8476
328,8476
8471,9991
773,11065
1080,9743
965,5117
5843,9547
7644,11059
292,9599
832,9243
12326,5181
292,9602
499,11379
12748,8494
1331,10170
5722,5124
1062,10319
5614,8476
12062,5202
766,11310
6098,9859
6935,8488
3741,9199
3206,9399
7727,8510
857,8494
4028,8495
11855,11629
7938,10170
1122,8475
3711,10136
546,9948
4240,10123
3989,9716
270,10319
4789,9496
7993,8476
7729,8475
12681,10614
6781,5093
13283,141
1390,186
1068,10170
1091,9460
1387,8476
8099,5202
4294,8476
4294,8478
3450,10067
11964,84
4775,9956
3478,9202
3711,10170
773,11137
702,5150
3732,9523
6872,10487
11884,10764
3082,5101
7637,11353
7970,9221
5802,10899
4563,156
518,10863
805,10160
3611,5095
7896,11523
4797,9289
8977,10791
4295,8476
3345,5157
5726,13265
826,9519
3238,8476
1231,5156
266,10497
1124,8476
7704,9297
3199,9688
6145,8477
11959,8475
5881,8475
3448,10170
3511,25
6049,11457
1070,10160
11959,8476
9052,8475
1334,10170
1307,11008
1085,9700
596,8475
8205,10170
7653,10899
6915,9199
3465,9656
821,9702
5331,9155
7941,10170
13192,11224
1125,8476
705,5112
12067,5150
596,8494
11899,10355
7660,10698
4569,23
5812,10639
3503,8495
1350,9702
12983,9528
3768,8478
813,9972
3185,10170
6908,9443
1330,10336
7689,9812
5991,5107
3218,9156
3240,8475
7942,10170
3349,5101
7731,8525
4033,8475
3133,11796
6147,8476
8261,8488
3944,11239
8709,10986
7997,8476
11964,193
825,9628
6359,10112
5572,9934
3738,9443
13477,10639
4237,10361
3241,8475
6255,5150
8262,8476
3350,5095
5306,9999
4224,10773
539,10319
1127,8476
13547,8475
598,8494
6148,8476
5991,5156
6941,8475
5991,5157
705,5182
7964,9527
9021,9527
3878,5128
284,10049
4831,168
6677,8478
3348,5182
3403,11669
7682,10094
1319,10741
7734,8488
3242,8476
5991,5175
1128,8476
6102,9931
13246,9659
555,9859
5055,9623
3506,8494
3710,10361
4572,24
5317,9702
6155,108
5885,8476
1500,5150
7650,11112
8225,9665
5255,11632
1361,9464
3706,10497
5584,9623
1100,9366
4571,73
3350,5156
863,8526
707,5170
3732,9702
5827,10300
6677,8526
6677,8531
3997,9691
3467,9734
11962,8532
3988,9973
6326,11224
827,9659
6259,5108
11964,8476
6259,5112
1401,61
7704,9468
12337,5107
11964,8478
12756,8513
6150,8500
4306,127
3749,9203
4360,6643
7963,9645
7946,10170
1130,8475
5833,10136
819,9926
6151,8475
6648,9451
5563,10319
790,10832
11964,8505
4036,8513
3773,8475
8213,10094
3616,5152
3736,9623
5307,10077
1333,10389
8265,8488
3197,9953
3617,5124
4037,8488
4247,10170
3467,1585
3618,5095
8184,11008
3988,10021
8709,11128
