topic_1,topic_2
12683,2058
12683,2059
12683,2072
12683,2071
12683,2069
12682,2098
12683,2076
12682,2105
12682,2120
12683,2089
12683,2087
12683,2085
12683,2082
12683,2097
12682,2128
12683,2094
12682,2123
12683,2104
12682,2134
12682,2129
12683,2099
12683,2110
12683,2106
12683,2107
12683,2121
12683,2116
12683,2114
12683,2129
12683,2127
12683,2124
12683,2132
12682,2163
12683,2130
12682,2174
12683,2140
12682,2169
12683,2152
12682,2184
12683,2150
12682,2177
12682,2178
12683,2160
12682,2188
12682,2185
12683,2155
12682,2198
12682,2194
12683,2176
12683,2174
12683,2173
12683,2185
12682,2211
12683,2181
12682,2209
12683,2178
12683,2193
12683,2187
12683,2201
12683,2198
12682,2229
12683,2195
12682,2237
12683,2202
12682,2247
12682,2246
12683,2215
12683,2213
12683,2211
12683,2225
12683,2218
12682,2262
12683,2228
12682,2271
12683,2241
12682,2267
12683,2237
12683,2245
12683,2242
12682,2273
12683,2243
12683,2254
12682,2281
12683,2261
12683,2258
12683,2259
12683,2270
12683,2271
12682,2300
12683,2280
12682,2308
12682,2306
12683,2275
12683,2289
12682,2315
12683,2282
12682,2328
12682,2326
12682,2324
12683,2291
12683,2300
12682,2341
12683,2311
12683,2309
12682,2349
12683,2316
12682,2348
12683,2329
12682,2353
12683,2322
12682,2368
12683,2335
12683,2342
12683,2351
12682,2379
12683,2347
12682,2391
12683,2358
12683,2355
12682,2399
12683,2369
12682,2408
12683,2375
12683,2384
12683,2380
12682,2412
12683,2379
12682,2424
12682,2422
12683,2389
12682,2417
12682,2418
12683,2401
12683,2394
12682,2426
12683,2405
12682,2447
12683,2415
12683,2412
12682,2456
12683,2422
12683,2418
12683,2419
12683,2432
12683,2429
12682,2458
12682,2471
12683,2438
12683,2436
12682,2466
12682,2480
12683,2446
12682,2476
12682,2486
12682,2483
12683,2451
12682,2495
12683,2465
12683,2460
12682,2489
12683,2459
12683,2472
12683,2471
12683,2466
12682,2511
12682,2509
12682,2510
12683,2474
12682,2506
12682,2515
12682,2516
12683,2483
12683,2496
12683,2497
12683,2501
12683,2498
12683,2499
12683,2510
12682,2541
12683,2508
12682,2538
12683,2507
12683,2521
12683,2519
12682,2550
12682,2560
12683,2529
12682,2558
12683,2527
12683,2522
12683,2523
12683,2532
12683,2533
12682,2561
12683,2531
12683,2544
12683,2542
12683,2543
12682,2572
12682,2569
12683,2553
12683,2550
12682,2581
12683,2549
12682,2592
12682,2585
12682,2597
12682,2605
12683,2575
12682,2606
12683,2580
12682,2612
12683,2588
12683,2589
12682,2617
12683,2586
12683,2600
12682,2631
12683,2598
12682,2629
12682,2628
12683,2595
12682,2635
12683,2614
12683,2615
12683,2612
12683,2613
12683,2611
12683,2625
12682,2651
12683,2621
12682,2661
12683,2628
12683,2629
12683,2627
12682,2669
12682,2670
12683,2636
12683,2637
12683,2635
12682,2680
12682,2678
12682,2676
12683,2645
12683,2642
12682,2688
12683,2654
12682,2683
12682,2682
12683,2665
12683,2660
12683,2661
12683,2658
12683,2680
12683,2679
12683,2676
12683,2688
12683,2687
12683,2682
12682,2713
12682,2727
12683,2696
12683,2697
12682,2726
12683,2693
12683,2690
12683,2703
12683,2700
12683,2698
12682,2743
12683,2710
12683,2709
12683,2707
12683,2716
12683,2728
12683,2726
12683,2727
12682,2765
12683,2732
12683,2744
12682,2773
12683,2740
12683,2738
12682,2784
12683,2748
12683,2749
12683,2746
12682,2778
12683,2761
12683,2758
12683,2756
12683,2754
12682,2796
12683,2776
12683,2774
12683,2770
12682,2816
12683,2783
12682,2809
12682,2810
12682,2824
12683,2787
12683,2799
12683,2794
12683,2795
12682,2840
12682,2847
12683,2816
12683,2814
12682,2843
12683,2812
12683,2813
12683,2810
12683,2811
12683,2824
12682,2855
12683,2823
12683,2818
12683,2832
12683,2831
12682,2859
12683,2829
12683,2826
12683,2840
12682,2872
12682,2869
12683,2839
12682,2877
12683,2847
12682,2876
12683,2842
12683,2856
12683,2854
12683,2855
12682,2883
12683,2852
12683,2853
12682,2884
12682,2894
12683,2860
12682,2892
12683,2861
12683,2858
12683,2871
12683,2869
12683,2867
12683,2876
12683,2889
12683,2884
12682,2913
12683,2883
12682,2925
12683,2895
12682,2923
12683,2893
12682,2924
12683,2890
12683,2905
12891,12838
12682,2931
12683,2912
12682,2939
12682,2937
12682,2950
12682,2948
12682,2957
12682,2958
12683,2924
12682,2954
12683,2936
12683,2934
12683,2944
12682,2976
12682,2974
12683,2941
12683,2938
12682,2970
12683,2952
12682,2983
12683,2950
12683,2951
12683,2946
12683,2956
12683,2957
12683,2966
12682,2995
12682,2993
12682,3003
12683,2972
12683,2973
12682,3004
12682,3016
12682,3014
12683,2980
12683,2981
12682,3024
12683,2991
12682,3017
12683,2986
12682,3018
12683,2997
12683,3008
12682,3038
12683,3005
12682,3033
12682,3034
12682,3047
12682,3045
12683,3015
12683,3012
12682,3042
12682,3056
12683,3022
12683,3020
12683,3021
12682,3052
12683,3031
12682,3072
12682,3067
12683,3035
12683,3046
12683,3042
12682,3088
12682,3083
12682,3082
12683,3065
12682,3096
12682,3094
12683,3061
12682,3109
12683,3088
12682,3120
12683,3089
12682,3118
12682,3116
12683,3082
12683,3083
12683,3094
12682,3121
12682,3141
12683,3109
12682,3152
12682,3149
12683,3118
12682,3147
12682,3148
12682,3145
12682,3146
12683,3128
12683,3124
12683,3125
12683,3123
12683,3132
12683,3133
12683,3131
12682,3176
12683,3153
12682,3184
12682,3181
12683,3150
12683,3148
12683,3149
12683,3146
12683,3147
12682,3192
12682,3190
12683,3156
12682,3187
12682,3185
12682,3186
12683,3155
12682,3199
12683,3176
12682,3208
12682,3206
12683,3175
12683,3184
12683,3181
12683,3178
12683,3192
12682,3222
12682,3217
12683,3186
12682,3218
12682,3229
12683,3197
12682,3228
12683,3195
12682,3240
12683,3206
12683,3205
12683,3212
12682,3256
12683,3222
12683,3220
12683,3221
12683,3218
12683,3232
12682,3263
12682,3264
12683,3228
12683,3229
12683,3240
12682,3267
12682,3266
12683,3249
12682,3277
12682,3274
12682,3287
12683,3256
12683,3257
12682,3286
12683,3252
12682,3281
12682,3282
12683,3251
12683,3264
12683,3265
12682,3293
12682,3294
12683,3261
12682,3289
12683,3266
12682,3297
12683,3267
12682,3311
12682,3312
12683,3281
12683,3279
12683,3276
12683,3277
12683,3274
12683,3288
12682,3318
12683,3287
12683,3284
12683,3285
12683,3282
12682,3328
12682,3325
12683,3295
12683,3293
12682,3321
12682,3333
12682,3334
12682,3331
12682,3332
12682,3329
12683,3312
12682,3341
12683,3311
12682,3342
12683,3306
12682,3338
12682,3351
12682,3345
12683,3328
12682,3359
12683,3329
12682,3360
12683,3326
12683,3324
12682,3355
12683,3325
12683,3323
12683,3334
12682,3365
12682,3366
12682,3363
12683,3333
12683,3331
12682,3362
12683,3345
12683,3342
12683,3340
12683,3341
12682,3370
12683,3350
12682,3381
12682,3382
12683,3349
12683,3346
12682,3377
12682,3378
12682,3389
12683,3357
12683,3354
12682,3399
12682,3400
12683,3366
12683,3367
12683,3364
12683,3362
12683,3363
12683,3377
12682,3403
12683,3384
12682,3416
12683,3382
12682,3412
12682,3409
12682,3410
12682,3423
12683,3396
12682,3427
12682,3428
12682,3426
12682,3439
12683,3409
12683,3416
12682,3446
12683,3412
12682,3444
12683,3413
12682,3441
12683,3410
12682,3442
12683,3425
12682,3450
12683,3419
12682,3463
12682,3462
12683,3426
12682,3471
12683,3441
12683,3438
12683,3439
12682,3470
12682,3467
12683,3437
12683,3435
12682,3479
12683,3446
12683,3447
12682,3478
12683,3444
12682,3476
12683,3442
12682,3473
12683,3457
12682,3485
12683,3464
12682,3492
12682,3503
12683,3471
12682,3502
12682,3497
12683,3467
12682,3511
12682,3509
12683,3479
12683,3476
12682,3508
12682,3506
12683,3475
12682,3520
12683,3489
12683,3485
12683,3502
12683,3503
12683,3501
12682,3532
12682,3530
12682,3543
12683,3508
12682,3540
12682,3538
12683,3520
12682,3550
12683,3519
12683,3514
12682,3557
12682,3553
12682,3554
12683,3523
12682,3565
12682,3573
12682,3574
12683,3540
12682,3572
12683,3539
12683,3553
12683,3550
12683,3551
12683,3558
12682,3590
12683,3559
12683,3557
12683,3554
12682,3586
12682,3599
12682,3600
12682,3597
12683,3566
12683,3567
12682,3598
12683,3564
12682,3596
12682,3607
12683,3577
12683,3574
12683,3573
12682,3614
12682,3612
12683,3578
12682,3609
12682,3623
12683,3590
12683,3589
12683,3586
12683,3601
12683,3598
12682,3630
12683,3599
12682,3627
12683,3594
12683,3609
12682,3640
12682,3637
12683,3607
12682,3638
12682,3633
12683,3603
12682,3647
12683,3617
12683,3614
12682,3645
12683,3610
12682,3651
12683,3619
12683,3633
12683,3630
12683,3626
12683,3627
12682,3671
12683,3640
12682,3670
12682,3680
12683,3647
12682,3676
12683,3645
12682,3687
12683,3656
12682,3685
12682,3683
12682,3684
12682,3693
12683,3663
12682,3692
12683,3661
12682,3689
12683,3670
12683,3671
12682,3697
12682,3711
12683,3678
12683,3674
12682,3705
12682,3706
12683,3688
12683,3687
12683,3684
12683,3685
12682,3727
12682,3728
12682,3725
12683,3692
12682,3723
12682,3721
12683,3704
12683,3705
12682,3736
12683,3702
12682,3734
12683,3700
12683,3701
12682,3732
12683,3698
12682,3729
12683,3712
12683,3711
12682,3740
12683,3706
12682,3737
12682,3751
12683,3721
12682,3749
12683,3716
12683,3728
12682,3759
12683,3729
12682,3757
12683,3727
12682,3756
12683,3722
12683,3723
12683,3736
12683,3734
12682,3765
12683,3735
12682,3762
12682,3775
12682,3776
12683,3743
12683,3740
12683,3752
12683,3751
12682,3780
12683,3749
12682,3777
12682,3778
12683,3760
12683,3759
12682,3787
12683,3756
12683,3757
12683,3754
12683,3755
12683,3768
12683,3769
12682,3798
12683,3765
12682,3796
12683,3762
12683,3776
12683,3777
12683,3775
12682,3803
12682,3804
12682,3801
12682,3802
12683,3784
12682,3813
12683,3780
12683,3779
12682,3824
12682,3817
12683,3787
12683,3801
12682,3832
12683,3798
12682,3827
12683,3794
12682,3837
12683,3806
12683,3804
12683,3802
12682,3833
12683,3803
12683,3817
12683,3815
12683,3812
12683,3813
12682,3841
12683,3810
12682,3842
12683,3824
12683,3825
12682,3854
12682,3849
12682,3861
12682,3862
12682,3859
12683,3827
12683,3841
12683,3838
12682,3870
12682,3867
12683,3836
12683,3837
12682,3868
12682,3865
12682,3866
12683,3849
12683,3847
12683,3844
12683,3845
12682,3874
12682,3887
12683,3857
12682,3888
12682,3885
12683,3854
12683,3855
12682,3883
12682,3884
12683,3864
12682,3896
12683,3865
12682,3893
12683,3862
12683,3861
12682,3892
12683,3859
12682,3904
12682,3897
12683,3866
12683,3867
12682,3898
12682,3909
12683,3874
12682,3906
12683,3888
12683,3889
12682,3920
12682,3917
12683,3887
12683,3884
12682,3916
12682,3913
12683,3883
12682,3927
12683,3896
12683,3897
12682,3928
12683,3894
12683,3895
12683,3892
12683,3893
12682,3934
12683,3900
12683,3898
12683,3899
12683,3912
12682,3939
12683,3909
12683,3906
12682,3951
12683,3920
12682,3950
12683,3917
12682,3959
12683,3928
12682,3960
12682,3958
12683,3924
12682,3955
12682,3956
12683,3922
12682,3953
12682,3954
12682,3967
12682,3968
12683,3934
12683,3933
12682,3961
12682,3975
12682,3983
12683,3953
12682,3981
12683,3950
12683,3948
12682,3980
12682,3978
12683,3947
12683,3960
12683,3958
12682,3989
12682,3987
12682,3988
12682,3985
12683,3954
12682,3986
12682,3999
12683,3969
12682,4000
12682,3997
12682,3998
12683,3964
12683,3976
12683,3977
12683,3972
12682,4003
12683,3984
12683,3985
12682,4016
12682,4013
12682,4014
12682,4011
12682,4012
12683,3978
12682,4021
12683,3988
12682,4019
12682,4020
12682,4018
12682,4032
12683,3999
12683,3996
12683,3997
12682,4028
12682,4025
12682,4026
4219,4239
12682,4039
12683,4005
12683,4002
12683,4003
12683,4016
12683,4014
12683,4011
12683,4025
12682,4053
12682,4051
12683,4020
12683,4021
12682,4052
12683,4018
12683,4019
12683,4032
12682,4064
12682,4061
12683,4030
12683,4031
12682,4062
12682,4059
12683,4028
12683,4029
12682,4060
12683,4026
12682,4058
12682,4071
12682,4068
12682,4079
12682,4077
12682,4075
12683,4043
12682,4087
12682,4088
12683,4055
12683,4052
12682,4083
12683,4053
12682,4084
12682,4081
12683,4050
12683,4064
12682,4093
12683,4062
12682,4094
12683,4063
12683,4060
12682,4092
12683,4061
12682,4089
12683,4059
12682,4103
12683,4072
12682,4104
12683,4073
12682,4101
12683,4071
12682,4097
12682,4098
12682,4111
12683,4081
12682,4109
12682,4110
12682,4108
12683,4077
12682,4106
12683,4075
12683,4088
12682,4120
12683,4089
12682,4117
12683,4086
12683,4087
12683,4084
12683,4082
12682,4113
12683,4083
12682,4127
12682,4128
12683,4097
12683,4094
12682,4123
12683,4092
12683,4093
12682,4124
12683,4090
12682,4122
12683,4091
12683,4104
12683,4105
12682,4133
12683,4100
12683,4098
12683,4112
12683,4113
12683,4110
12683,4108
12683,4109
12683,4106
12683,4120
12683,4117
12683,4114
12683,4115
12683,4128
12682,4157
12683,4127
12682,4158
12682,4156
12683,4123
12682,4168
12682,4164
12683,4133
12682,4175
12682,4176
12682,4173
12683,4140
12682,4169
12682,4183
12683,4153
12682,4181
12682,4182
12683,4151
12682,4177
12683,4161
12682,4189
12683,4158
12682,4187
12682,4188
12682,4186
12682,4199
12683,4169
12682,4198
12683,4164
12682,4196
12683,4176
12682,4208
12682,4205
12683,4174
12683,4175
12683,4173
12683,4170
12682,4201
12683,4171
12682,4215
12683,4182
12683,4183
12682,4214
12682,4211
12682,4212
12682,4209
12683,4193
12682,4221
12682,4222
12683,4191
12682,4219
12683,4188
12683,4189
12682,4217
12683,4186
12683,4187
12682,4231
12683,4201
12683,4198
12683,4199
12682,4230
12682,4227
12682,4226
12682,4239
12683,4208
12683,4209
12682,4238
12683,4204
12683,4205
12682,4247
12683,4217
12683,4214
12683,4215
12683,4212
12682,4244
12683,4211
12682,4253
12683,4222
12682,4251
12683,4220
12683,4221
12682,4249
12683,4218
12683,4219
12682,4261
12683,4230
12682,4259
12683,4229
12683,4226
12682,4258
12683,4240
12683,4241
12682,4269
12683,4238
12683,4239
12682,4270
12683,4237
12682,4279
12682,4280
12682,4278
12683,4247
12682,4275
12683,4244
12682,4273
12682,4274
12683,4256
12683,4255
12683,4252
12682,4283
12683,4253
12682,4282
12683,4251
12682,4295
12683,4261
12682,4292
12683,4258
12683,4259
12683,4273
12682,4301
12683,4270
12682,4299
12682,4311
12683,4281
12683,4278
12683,4279
12682,4308
12682,4306
12683,4275
12682,4317
12682,4315
12683,4282
12682,4313
12682,4314
12683,4283
12683,4297
12683,4295
12683,4290
12682,4322
12683,4300
12683,4301
12683,4299
12682,4343
12683,4311
12683,4306
12682,4337
12683,4318
12682,4350
12683,4317
12683,4315
12683,4328
12683,4323
12683,4352
12683,4356
12682,4400
12682,4408
12683,4400
12682,4427
12683,4408
12683,4429
12683,4469
12682,4498
12683,4487
12683,4502
12682,4538
12683,4517
12683,4534
12682,4561
12682,4580
12683,4564
12682,4593
4239,4219
12683,4634
12682,4676
12683,4663
12682,4704
12683,4674
12682,4706
12682,4747
12682,4746
12683,4726
12682,4758
12682,4753
12683,4722
12683,4723
12682,4764
12682,4790
12682,4788
12682,4797
12683,4776
12682,4808
12682,4803
12682,4822
12682,4817
12683,4795
12683,4814
12682,4846
12683,4815
12683,4828
12682,4876
12682,4906
12683,4903
12682,4939
12682,4965
12683,4948
12683,4961
12682,4988
12682,5000
12683,4984
12683,4979
12683,4988
12682,5037
12682,5035
12682,5046
12682,5055
12683,5020
12683,5048
12682,5093
12682,5099
12682,5108
12683,5088
12682,5126
12683,5095
12683,5092
12683,5090
12683,5105
12683,5101
12683,5098
12683,5112
12683,5113
12683,5110
12683,5108
12683,5107
12683,5118
12683,5119
12683,5115
12683,5128
12683,5126
12683,5124
12683,5131
12683,5144
12683,5142
12683,5143
12683,5141
12683,5152
12683,5161
12683,5158
12682,5187
12683,5156
12683,5157
12683,5154
12683,5169
12682,5200
12683,5167
12683,5164
12683,5175
12683,5172
12682,5203
12683,5184
12683,5182
12682,5211
12683,5181
12683,5192
12682,5223
12682,5224
12682,5222
12682,5217
12682,5227
12682,5228
12683,5194
12683,5209
12682,5237
12682,5233
12683,5202
12682,5234
12683,5217
12682,5248
12683,5214
12682,5243
12683,5213
12682,5255
12683,5224
12682,5253
12682,5251
12682,5252
12683,5218
12683,5233
12683,5238
12682,5267
12682,5268
12683,5234
12683,5235
12682,5273
12682,5287
12683,5254
12683,5255
12682,5283
12682,5296
12683,5263
12683,5260
12683,5266
12683,5267
12683,5280
12682,5311
12683,5276
12682,5306
12683,5288
12682,5318
12683,5295
12683,5293
12682,5333
12682,5330
12682,5340
12683,5306
12683,5318
12682,5345
12683,5315
12682,5346
12682,5356
12683,5323
12683,5336
12683,5334
12683,5335
12683,5332
12683,5330
12682,5362
12683,5338
12683,5346
12682,5378
12683,5347
12682,5392
12682,5387
12683,5356
12683,5357
12682,5385
12683,5355
12683,5364
12683,5362
12682,5394
12682,5407
12683,5376
12683,5373
12682,5413
12683,5378
12683,5393
12682,5421
12682,5420
12683,5401
12682,5429
12682,5425
12683,5407
12682,5435
12683,5405
12683,5403
12682,5447
12683,5417
12683,5414
12682,5443
12683,5425
12683,5420
12682,5449
12683,5418
12683,5419
12683,5434
12683,5435
12682,5478
12683,5442
12682,5481
12682,5493
12682,5491
12682,5489
12682,5490
12683,5470
12683,5471
12683,5466
12682,5512
12683,5481
12682,5510
12683,5477
12683,5475
12683,5489
12682,5515
12683,5483
12683,5492
12682,5524
12683,5490
12683,5502
12683,5500
12682,5531
12683,5512
12683,5509
12682,5540
12683,5507
12682,5552
12682,5545
12683,5515
12683,5528
12683,5529
12683,5525
12682,5567
12682,5566
12682,5563
12683,5532
12683,5533
12683,5530
12682,5575
12682,5573
12682,5570
12683,5552
12682,5582
12683,5556
12683,5557
12683,5555
12683,5568
