spouse_1,spouse_2
7586,3098
7586,3104
7586,3103
3808,5531
7586,3102
7586,3107
7586,3105
7586,3111
7586,3109
7586,3116
7586,3115
7586,3113
7586,3119
7586,3117
7586,3124
7586,3128
7586,3127
7586,3126
5540,1015
778,1184
7586,3132
7586,3130
7586,3129
7586,3133
7586,3140
7586,3142
7586,3148
7586,3146
7586,3145
7586,3152
7586,3151
7586,3150
7586,3149
7586,3156
7586,3155
4146,3300
7586,3154
7586,3153
7586,3160
7586,3159
7586,3157
7586,3164
7586,3162
5648,5896
7586,3168
7586,3167
7586,3166
7586,3172
7586,3171
7586,3170
7586,3169
5636,6276
7586,3176
4227,808
3611,3521
7586,3173
7586,3180
7586,3178
7586,3177
7586,3184
7586,3181
7586,3187
7586,3186
7586,3185
7586,3191
5724,3570
7586,3190
7586,3196
7586,3195
7586,3193
7586,3200
7586,3199
7586,3198
7586,3197
1421,5900
7586,3208
7590,3083
7590,3088
7586,3211
7586,3209
7590,3085
7586,3216
7586,3215
7586,3213
7586,3219
7586,3218
7586,3217
5389,5789
7586,3224
7586,3223
7586,3222
7586,3227
7586,3226
7586,3225
7586,3231
7586,3230
7586,3236
7586,3235
7586,3234
7590,3116
7586,3238
7586,3237
7586,3244
7586,3243
7590,3117
7586,3241
7586,3248
7586,3247
7586,3246
7586,3245
7586,3252
7586,3251
7586,3256
7586,3255
7586,3254
7586,3259
7586,3257
7586,3264
7586,3263
7586,3267
6872,825
7586,3266
7586,3265
7586,3271
7590,3145
436,3738
7590,3152
7586,3275
7586,3274
7586,3273
7586,3278
6255,3585
7586,3281
7586,3288
7586,3289
7586,3296
7586,3294
7586,3300
7586,3299
7586,3298
7586,3297
7586,3304
3195,8351
7586,3303
3959,1050
7586,3302
3463,8237
971,3569
7586,3305
7590,3181
7586,3312
7586,3311
7586,3310
7586,3316
382,5456
7586,3320
5460,3689
7586,3319
7586,3318
3961,1007
7586,3317
7586,3322
7586,3321
7586,3328
7586,3327
7586,3326
7590,3208
7590,3206
7586,3336
7586,3335
7586,3333
7586,3337
7586,3341
7586,3347
7586,3346
7586,3352
7586,3351
7586,3350
7586,3349
7590,3232
7586,3355
7586,3354
7586,3353
7586,3360
7586,3358
5470,3417
7586,3357
7590,3233
7586,3363
7586,3362
7586,3368
7586,3366
7586,3371
7586,3370
7586,3369
7586,3376
7586,3374
7586,3373
7586,3380
7586,3379
7586,3378
7586,3377
7586,3384
7586,3382
7586,3381
7586,3387
7586,3386
7586,3385
4240,620
7586,3394
7586,3393
7586,3398
7586,3403
7586,3401
7586,3407
7586,3412
7586,3411
7586,3416
7586,3414
7586,3420
7586,3419
7586,3418
7590,3293
7586,3417
7586,3424
920,5269
7586,3421
7586,3428
7590,3303
7586,3426
7590,3301
7586,3425
7586,3431
7586,3429
7586,3436
7590,3312
7586,3434
7586,3440
7586,3439
7586,3438
7586,3437
7586,3444
7586,3443
7590,3318
7586,3448
7590,3323
7586,3450
7586,3456
7586,3455
7586,3459
5447,4231
1157,6151
7586,3464
7586,3463
7590,3338
7586,3462
7586,3461
7586,3468
7586,3466
7586,3465
4037,6993
7586,3476
1256,3095
7590,3351
7586,3475
7586,3474
7586,3473
7590,3355
7586,3479
7586,3478
7586,3477
7590,3353
7586,3484
6097,490
7586,3482
7586,3481
7586,3487
7586,3486
3611,3833
7586,3485
7586,3492
7590,3368
7586,3490
7586,3496
7586,3495
1044,1497
7586,3500
7586,3499
7586,3497
7586,3501
7586,3508
7590,3381
3692,1341
7586,3512
7586,3511
7586,3510
7586,3509
7586,3516
7586,3513
7586,3520
7586,3519
7586,3518
7586,3517
3874,3906
7586,3523
7590,3399
7586,3522
7586,3521
3478,7994
5924,5897
7586,3527
7775,5859
7586,3525
7586,3532
6068,1438
7586,3530
7586,3536
7586,3534
7586,3533
7586,3540
7586,3539
7586,3538
7586,3537
7586,3544
7586,3542
7586,3548
7586,3546
7586,3545
7586,3552
7586,3551
7586,3550
7590,3426
7586,3556
7586,3555
7586,3553
7586,3560
7586,3559
7586,3558
7586,3564
7586,3563
7586,3562
7033,4321
3875,3919
7590,3443
7586,3567
7586,3565
7586,3571
7586,3570
5719,4102
7586,3569
7586,3576
7586,3575
7586,3574
789,1290
7586,3584
7586,3583
7586,3581
7590,3462
7586,3586
7586,3585
7586,3592
7586,3590
7586,3589
7586,3596
7586,3594
7586,3593
7586,3600
7586,3599
7586,3597
7586,3604
7590,3479
7586,3602
7586,3607
7586,3606
7586,3605
7586,3612
7586,3611
7590,3485
7586,3609
7586,3615
7590,3491
7586,3614
7590,3489
7586,3620
7586,3619
7586,3618
7590,3493
7586,3624
7586,3623
7586,3628
7590,3503
7586,3627
7586,3626
532,1118
307,8093
7586,3631
7586,3629
7939,878
7586,3635
7586,3634
7586,3638
7586,3637
7586,3644
7586,3643
7586,3641
7586,3647
7586,3645
7590,3528
7586,3651
7586,3650
7586,3649
7586,3655
7586,3660
7586,3658
7586,3657
7586,3664
7586,3663
7586,3662
7586,3661
7590,3541
7586,3671
1099,8159
7586,3669
7586,3676
7586,3675
7586,3674
7586,3680
7586,3679
7590,3554
527,1324
3834,5306
7586,3682
7586,3688
7590,3564
7586,3687
7586,3686
7586,3685
7590,3568
7586,3692
7586,3691
7586,3689
7590,3565
7590,3572
7586,3695
7586,3693
7586,3700
7586,3699
7590,3573
7586,3704
7586,3701
7586,3708
7586,3707
7586,3706
7586,3705
7590,3588
7586,3711
7586,3710
7586,3709
7586,3716
7586,3715
6648,8216
7586,3713
7590,3595
7586,3719
7586,3717
7586,3724
7586,3723
7586,3721
1489,4315
7586,3728
7590,3608
7586,3729
7590,3612
7586,3736
7590,3611
6113,247
7586,3733
7586,3739
7586,3738
7586,3742
7586,3741
7586,3747
7586,3745
3370,3371
7586,3750
7590,3632
7586,3756
7586,3755
7586,3754
7586,3760
7586,3759
7586,3758
7586,3757
7586,3764
7586,3768
7586,3766
7586,3765
7586,3771
7586,3770
7586,3769
1329,1133
7586,3773
3371,3370
7586,3778
3883,3884
7586,3784
7586,3788
7586,3787
7590,3662
7586,3786
7590,3661
7586,3791
7586,3790
7586,3796
7586,3795
7586,3794
7586,3800
7586,3799
3564,5599
7590,3674
7586,3797
3448,1005
7586,3808
7586,3812
7586,3811
3884,3883
7586,3810
7586,3809
7586,3814
7586,3820
7586,3818
7586,3823
7586,3827
7586,3826
7586,3825
7586,3832
7586,3831
7586,3829
7586,3836
7586,3834
7586,3833
881,6892
7586,3839
7586,3838
7586,3837
7586,3844
7586,3842
7586,3841
7586,3848
7590,3724
7586,3847
7586,3846
8281,6874
7590,3721
7586,3845
7586,3852
7586,3850
7590,3732
7586,3856
7586,3853
7586,3860
7586,3859
7586,3864
7586,3862
7586,3867
7586,3865
7586,3872
7586,3871
7586,3870
7586,3875
7586,3874
7586,3880
7586,3879
5924,6250
7586,3878
7586,3884
7586,3883
4016,8055
7586,3881
7586,3888
7586,3887
7586,3885
7586,3892
7590,3768
7586,3890
7586,3889
7586,3896
7586,3895
7586,3894
1438,6068
7586,3900
7586,3897
7586,3904
7586,3902
7586,3901
7586,3908
7586,3907
7586,3906
7586,3905
7590,3788
7586,3912
7586,3911
7586,3909
7586,3915
7586,3914
7586,3913
7590,3796
7586,3920
7590,3795
7586,3919
7586,3918
7586,3917
7586,3923
7586,3922
7590,3804
7586,3928
3107,3511
7586,3926
7586,3925
7586,3932
3975,1185
7586,3936
7586,3935
7586,3933
312,8246
7586,3940
7586,3939
7586,3938
7586,3937
7586,3943
6892,881
7586,3941
7586,3948
7586,3946
7586,3950
7586,3956
7586,3955
7590,3831
7586,3954
809,1052
7586,3959
7590,3834
7586,3958
7586,3963
7586,3962
7586,3961
6284,3370
7586,3967
7586,3966
7586,3965
7586,3971
7586,3976
7586,3975
7586,3979
7586,3978
7586,3977
7586,3984
7590,3858
7586,3981
7590,3864
7586,3987
7590,3862
6140,7852
7590,3861
7590,3868
7586,3991
7586,3990
7586,3989
7586,3995
6088,1282
7586,3994
7586,3993
7586,3999
7586,3997
7586,4004
7586,4002
7586,4001
7586,4005
206,3412
7586,4012
7586,4011
7586,4010
7586,4009
7586,4016
7586,4015
7586,4014
7586,4020
7586,4019
7590,3894
7590,3893
7586,4017
7586,4024
7586,4023
7586,4022
7586,4021
4081,6181
7586,4026
3738,436
7586,4025
7586,4032
7586,4031
5405,6107
7586,4030
7586,4035
7586,4033
7586,4039
7586,4037
7586,4043
7590,3918
7586,4042
7586,4048
7586,4047
7586,4046
7586,4045
7586,4051
7586,4050
7586,4056
7586,4053
7586,4058
7586,4057
7586,4064
7586,4063
7586,4062
7586,4068
7586,4067
7586,4066
7586,4072
7586,4070
7586,4069
7590,3952
7586,4076
7586,4075
7586,4074
7586,4073
7586,4080
8077,5243
7586,4079
7586,4077
7590,3960
7586,4084
7586,4083
7586,4082
7586,4081
7586,4088
7586,4087
7586,4086
7586,4085
7586,4092
7590,3967
7586,4091
7586,4089
7586,4096
7586,4095
7586,4100
7590,3975
7590,3974
7586,4104
7586,4103
7586,4102
7586,4108
7586,4107
3570,5724
7586,4105
7590,3988
7586,4112
7586,4109
7590,3989
7586,4119
7586,4118
7586,4117
7586,4121
7590,3997
4321,7033
7586,4128
7586,4125
7590,4008
7586,4130
7590,4006
7586,4136
7586,4135
7586,4140
5563,1316
7586,4139
7586,4137
7586,4144
7586,4141
7586,4148
7586,4147
7586,4146
7586,4145
7586,4151
7586,4150
7586,4156
7586,4155
7586,4154
7586,4160
7586,4159
7586,4157
7586,4163
7586,4162
7586,4161
7586,4168
7586,4171
7586,4169
4163,3787
7586,4176
7590,4051
7586,4175
7586,4174
7586,4180
7586,4177
7586,4184
7590,4059
7590,4058
7586,4182
7586,4188
7586,4187
7586,4186
7586,4185
7590,4067
7586,4191
5932,6311
7586,4189
7586,4195
7586,4194
7586,4193
6091,1387
7586,4199
7586,4198
7586,4197
7586,4203
7586,4202
7586,4201
7586,4208
7586,4207
7586,4206
7590,4081
7586,4205
7586,4212
4102,5719
7586,4211
7586,4215
3719,1213
7586,4213
7586,4220
7586,4219
7586,4218
7722,8194
7586,4222
7590,4097
7586,4228
7586,4227
5491,3637
7590,4102
7586,4225
7586,4232
7586,4231
7586,4229
7586,4235
7586,4234
7586,4240
1005,3448
7586,4239
7586,4238
7586,4237
7586,4244
7586,4242
7586,4248
7590,4124
7590,4127
7586,4250
3755,8325
7586,4255
7586,4260
7586,4258
466,3796
7586,4264
7586,4263
7586,4262
7586,4261
7586,4268
7586,4267
7586,4266
7586,4265
7586,4276
7586,4275
7586,4274
821,998
7586,4280
7586,4279
7586,4278
7586,4277
7586,4284
7586,4283
7586,4282
7586,4281
7586,4288
7586,4287
7586,4286
7586,4292
7586,4289
7586,4296
7586,4295
7586,4294
7586,4293
7586,4300
7586,4299
7586,4298
7586,4304
7590,4180
7586,4303
7586,4302
7586,4301
7586,4307
7586,4306
7586,4311
7586,4309
7586,4316
7590,4191
7586,4315
7586,4314
7586,4313
7586,4320
7586,4319
7586,4318
5433,5525
7586,4324
7586,4323
7586,4322
7586,4321
7586,4328
7586,4326
7586,4325
481,3401
7586,4330
7590,4205
5747,4001
7590,4224
7590,4231
7590,4233
7590,4240
1474,5422
7590,4248
7590,4260
5317,998
8246,312
1363,696
7590,4290
5847,979
7590,4308
7590,4307
7590,4311
1273,3532
7590,4321
3831,6168
7698,994
3732,1068
3906,3874
3904,3948
3479,785
5681,6259
4191,3301
3858,5434
3766,8293
3651,3682
1407,7722
5510,3416
8036,7044
1096,1010
5611,310
567,1032
5348,292
8155,3393
1226,5215
5259,3096
4016,673
4051,7808
947,5731
1438,6904
307,1018
878,7939
3256,7954
1007,3961
1118,532
733,4314
6904,1438
3919,3875
5525,3241
8277,8046
835,1198
3326,5914
5799,3081
831,1456
684,6068
3585,6255
3612,5422
3742,1403
5698,6339
3925,3959
5356,559
6960,8190
5700,6299
4009,1391
7586,5212
7586,5216
7586,5214
7586,5213
7586,5218
7586,5224
7586,5223
7586,5222
7586,5226
7586,5232
7586,5231
7586,5235
7586,5233
7586,5240
7586,5239
7586,5238
7586,5237
7586,5244
7586,5243
7586,5242
7586,5241
7586,5246
7586,5249
7586,5256
7586,5255
7640,3581
7586,5260
7586,5259
7586,5258
7586,5257
966,5681
7586,5263
7586,5262
7586,5268
709,5460
7586,5267
7586,5265
7586,5272
7586,5270
7586,5279
7586,5278
7586,5277
7586,5284
7586,5283
7586,5282
7586,5287
8263,684
7586,5286
7586,5285
7586,5292
7586,5291
7586,5290
7586,5289
7586,5296
7586,5293
7586,5300
7586,5299
7586,5297
7586,5304
7586,5308
7586,5306
7586,5312
7586,5311
7586,5310
7586,5316
7586,5315
7586,5313
7586,5320
7586,5318
7586,5317
1046,3264
7586,5327
7586,5325
7586,5331
7586,5336
3096,5259
7586,5333
7586,5340
7586,5339
7590,5215
7586,5338
762,3892
7586,5343
7586,5342
7590,5224
7586,5348
7590,5222
7586,5351
7586,5350
7586,5349
7590,5232
7586,5356
7586,5354
7590,5230
7590,5239
7586,5362
7590,5238
7586,5361
7590,5237
7586,5367
7586,5366
7590,5248
7586,5371
7586,5370
7586,5369
7586,5379
7586,5377
7586,5383
7586,5381
7586,5388
7590,5264
7586,5391
7586,5390
7586,5389
7586,5395
7590,5269
7586,5393
7586,5397
7586,5404
7590,5279
7586,5402
7586,5407
7590,5283
7586,5406
3081,5799
7586,5405
7586,5412
7590,5286
7586,5410
7586,5409
7586,5416
7586,5415
7586,5423
7586,5422
7590,5297
7586,5427
7586,5425
7586,5431
7590,5307
7586,5430
7590,5306
7586,5433
7586,5439
7586,5444
7586,5441
7586,5448
7586,5447
6047,4008
8113,5498
7586,5450
7586,5449
7586,5456
7586,5454
7586,5460
7586,5458
7586,5464
7586,5462
7586,5461
7586,5468
6250,5924
7586,5465
7590,5348
518,3394
7586,5470
7586,5480
7586,5477
7586,5483
7590,5359
7586,5482
7586,5488
7586,5487
7586,5491
7586,5490
7586,5489
7586,5493
7586,5500
7590,5376
7586,5497
6259,5681
7590,5378
7586,5508
7586,5507
7586,5505
3682,3651
7586,5511
7586,5510
7586,5509
7586,5514
7590,5389
7586,5517
7586,5522
7586,5528
7586,5525
7586,5531
7586,5535
7586,5534
7586,5540
1485,6252
7586,5539
7586,5543
7586,5541
7590,5422
7586,5552
7590,5425
7586,5549
1300,3810
7586,5556
7586,5555
7586,5553
7590,5436
7586,5559
7590,5434
7586,5557
7586,5563
7590,5439
7590,5438
7775,7894
7586,5568
7590,5447
7590,5446
7586,5570
632,8153
7586,5569
3171,3172
7586,5575
7590,5451
7586,5574
7586,5580
7586,5578
7586,5584
7586,5582
7586,5581
7586,5588
7586,5585
7586,5591
7586,5594
7586,5599
7586,5604
3172,3171
7586,5607
7586,5606
7590,5481
7586,5605
7586,5611
7586,5610
7586,5609
7586,5616
7586,5614
7586,5619
7590,5500
7586,5624
7586,5623
7722,1407
7586,5622
7586,5627
7586,5626
7586,5632
7586,5631
7586,5636
7586,5634
7586,5633
5531,3808
7586,5639
7586,5638
694,6300
785,3479
7586,5642
7586,5648
7923,3393
7862,5283
7586,5646
7586,5645
7586,5651
7586,5650
7586,5649
7586,5656
7590,5531
7586,5655
7586,5660
7586,5659
7586,5657
7586,5664
7590,5540
7586,5662
7586,5661
7590,5537
7586,5668
7586,5667
7586,5672
7586,5671
7586,5670
7590,5550
7586,5673
7586,5679
7586,5678
7586,5677
3353,5833
7586,5682
7586,5681
7586,5688
7586,5687
1468,6931
7586,5690
7586,5696
7586,5694
7586,5700
7586,5698
7586,5697
7590,5573
7586,5702
7590,5581
7586,5710
783,3612
7586,5714
7586,5713
5725,6061
7586,5719
7586,5717
7586,5724
7586,5723
7586,5722
7586,5726
7586,5725
7586,5732
7586,5731
7590,5607
7586,5734
7586,5740
7586,5739
6931,1468
7586,5737
7586,5743
7586,5748
7586,5747
7586,5752
5222,5307
3421,3797
7586,5755
7586,5754
7586,5753
7586,5759
7586,5763
7586,5762
7586,5761
7586,5768
7586,5767
7586,5765
7586,5771
7586,5770
7586,5775
7586,5773
4303,1057
7586,5784
7586,5783
7586,5782
7586,5781
7590,5664
7586,5787
7586,5786
7590,5667
7586,5791
7586,5789
7586,5796
7586,5794
7586,5793
7586,5800
7586,5799
7586,5798
4314,733
7586,5808
7586,5807
7586,5806
7586,5805
7590,5681
3948,3904
7586,5815
7586,5814
7586,5813
7586,5819
7586,5817
7586,5824
7586,5823
6151,1157
7586,5822
7586,5828
7586,5827
7586,5826
7586,5825
7586,5831
979,5847
7586,5830
7586,5829
7586,5836
7586,5834
7586,5840
7590,5716
5651,292
7586,5843
7590,5719
7586,5848
7586,5845
7586,5850
7586,5849
7586,5856
7586,5854
3796,466
7586,5853
7586,5860
7586,5858
7586,5857
7586,5863
7586,5862
6991,7923
7586,5866
7586,5872
344,995
7586,5870
7586,5875
7586,5874
5797,3989
7586,5880
7586,5877
7586,5883
7586,5881
7586,5885
7586,5892
998,5317
7586,5891
7590,5765
7586,5889
7586,5896
7586,5895
7586,5893
7586,5900
7586,5899
7586,5897
7586,5902
7586,5901
7586,5907
7586,5910
7586,5915
7586,5914
7586,5920
7586,5919
7586,5918
7586,5917
3146,4295
7586,5924
7586,5923
7586,5922
7590,5797
7586,5932
7586,5929
4141,6229
7586,5936
7586,5934
7586,5933
7586,5940
7586,5939
7586,5944
7590,5819
7586,5943
7586,5941
7586,5946
7586,5945
7586,5950
3637,5491
7586,5956
7586,5955
7590,5830
7586,5953
7586,5959
7586,5958
7590,5834
7590,5833
7586,5963
7586,5962
7586,5961
7586,5968
7586,5972
7590,5847
7586,5971
7586,5970
7586,5969
7586,5976
7586,5974
7586,5973
7590,5849
7586,5979
7586,5978
7586,5984
7586,5983
7586,5982
7586,5981
7586,5987
6276,5636
7590,5861
7586,5992
7586,5991
7590,5866
7586,5990
7586,5996
7590,5871
6187,210
7586,5993
7586,5999
7586,5997
7586,6003
7586,6002
7586,6001
739,5270
7586,6007
7586,6006
7586,6012
7586,6011
7586,6010
7586,6009
7586,6016
7586,6015
7586,6013
7586,6020
7586,6018
7586,6017
7586,6024
7590,5900
7586,6023
7590,5899
7586,6022
7586,6021
7586,6028
7586,6026
7586,6025
7586,6032
7586,6036
7586,6034
7586,6039
7586,6038
7586,6037
7586,6042
7586,6041
7586,6048
7586,6046
7586,6049
8113,6103
7586,6055
7586,6054
7586,6060
7586,6058
7586,6057
7586,6064
7586,6063
7586,6062
7586,6061
7586,6068
7586,6067
7590,5943
3975,3318
7586,6072
7586,6071
7586,6070
7586,6069
7586,6076
7590,5951
7586,6075
7586,6080
7586,6077
7586,6084
7586,6083
7586,6088
7586,6087
1133,1329
7586,6086
7586,6085
7586,6092
7586,6091
7590,5971
7586,6100
7586,6099
7586,6098
1061,3574
7586,6097
7586,6104
7586,6103
7586,6107
7586,6111
7586,6109
7586,6115
7586,6114
7586,6113
7586,6120
5661,259
7586,6118
7586,6117
7586,6124
7586,6123
7586,6122
7586,6121
7586,6128
7586,6127
7586,6126
617,982
7586,6125
7061,6021
7586,6129
7586,6136
7586,6135
7586,6133
7586,6140
7586,6139
7586,6138
7586,6144
7586,6142
1050,3959
7586,6141
7586,6148
7586,6147
7586,6146
7586,6145
7586,6152
7586,6151
7586,6150
7586,6149
7586,6156
7586,6154
7586,6153
8046,8277
7586,6160
7586,6159
7586,6158
7586,6163
7590,6038
7590,6043
7586,6167
7586,6172
7586,6171
7590,6047
7586,6170
7586,6169
7586,6176
7586,6175
7586,6174
3959,3925
7590,6049
7586,6173
7586,6179
7586,6181
7590,6063
7586,6185
7590,6068
7586,6191
7586,6190
7586,6189
7586,6195
7586,6194
7852,6140
7586,6193
6006,6022
7586,6200
7590,6074
7586,6197
7586,6204
363,739
7586,6202
7586,6208
7586,6206
7586,6205
7586,6212
7590,6088
7586,6210
7586,6216
7590,6092
7586,6215
7590,6091
7586,6213
7586,6220
7590,6095
7586,6219
7586,6218
7586,6217
7586,6223
809,3321
7586,6226
7590,6101
7586,6232
7590,6107
7586,6231
7586,6229
7586,6236
7586,6233
7586,6239
7586,6238
7586,6237
7586,6243
7586,6242
7586,6241
7586,6248
7586,6247
7586,6246
7590,6128
7586,6252
7586,6251
7586,6250
7586,6249
7586,6256
7586,6255
7586,6260
7586,6259
6869,3908
7586,6264
7586,6263
7590,6139
7586,6262
7586,6268
7586,6267
7586,6266
7586,6265
7590,6148
7586,6270
7586,6269
7586,6276
7586,6275
7586,6273
7586,6278
7590,6154
7586,6277
7586,6284
7586,6282
895,714
7586,6287
7586,6286
5573,3152
7586,6292
7590,6168
7586,6291
7586,6290
7586,6289
7586,6296
7586,6295
7586,6294
7586,6293
7590,6169
7586,6300
7590,6175
7586,6299
7586,6298
7586,6297
7586,6304
7586,6303
7586,6301
7586,6307
7586,6306
7586,6305
7586,6312
7590,6187
7586,6311
7590,6186
7586,6310
7590,6185
7590,6191
7586,6315
7586,6314
7586,6313
7586,6319
7586,6318
7586,6317
7586,6323
7586,6321
7586,6328
7586,6327
7586,6326
3264,1046
7586,6325
7586,6332
7590,6208
7586,6331
7586,6329
7586,6336
7586,6334
7586,6333
7586,6339
7586,6337
7586,6344
7586,6342
7590,6218
7586,6341
7586,6348
7586,6347
7586,6345
7590,6221
7586,6352
7586,6350
7586,6349
7586,6355
7586,6353
5833,3353
7586,6360
7590,6235
7586,6359
4089,8269
7586,6363
7776,472
7586,6361
3581,7640
7586,6365
7590,6245
7590,6249
7590,6259
7590,6270
3450,3542
7590,6281
7590,6291
7590,6319
7590,6324
7590,6335
7775,603
7590,6337
7954,3256
1068,3732
5900,1421
7586,6499
7798,8117
4231,4057
4315,1489
623,1257
1281,5439
4079,635
7586,6630
8113,6677
7586,6638
1015,5540
7586,6648
7586,6646
7586,6651
7586,6660
3370,6284
7586,6662
7586,6670
3532,1273
6022,6006
7586,6696
7586,6699
1057,4303
1341,3692
7586,6711
7586,6714
7586,6719
7586,6721
7586,6726
7586,6729
7586,6736
7586,6735
7586,6741
7586,6756
7586,6753
6299,5700
7586,6765
7586,6770
825,3370
7586,6774
7586,6783
7586,6781
1430,1017
7586,6793
7586,6798
7586,6804
7586,6805
7586,6811
7590,6687
7586,6810
7586,6816
7586,6814
7586,6819
7586,6818
7586,6817
7586,6824
7586,6822
7586,6826
7586,6825
7586,6831
7586,6830
7586,6829
7586,6836
7586,6834
7586,6833
7586,6840
7586,6838
7586,6837
7586,6841
7586,6848
7586,6847
7586,6846
6023,6152
7586,6851
7586,6849
7586,6856
7586,6859
7586,6866
7586,6865
7586,6872
7586,6871
6187,1089
7586,6869
7586,6876
7586,6875
7586,6874
7586,6879
7586,6878
7586,6884
7586,6883
5306,3834
7586,6888
7586,6887
7586,6886
7586,6885
7586,6892
7586,6890
7586,6889
7586,6895
7586,6894
7586,6893
7586,6898
7586,6897
7586,6904
7586,6902
7586,6901
7586,6907
210,6187
7586,6905
7586,6912
7586,6911
7586,6910
7586,6909
7586,6916
7586,6915
7586,6914
7586,6920
7586,6924
7586,6923
7586,6922
7590,6803
5525,5286
7586,6931
7586,6930
7586,6929
7586,6936
7586,6935
7586,6933
7586,6939
7586,6937
7586,6944
7586,6941
7586,6948
7586,6945
7586,6952
7586,6951
7586,6956
7586,6954
7586,6960
7586,6958
7586,6957
7586,6963
7586,6962
7586,6961
7586,6968
7586,6967
7586,6966
7586,6965
7586,6972
7586,6969
7586,6975
7586,6974
7590,6850
7586,6980
7586,6978
7586,6977
7590,6858
7590,6861
7590,6868
7586,6991
7586,6990
7586,6989
7590,6872
7586,6995
7586,6994
7586,6993
7586,7000
7586,6999
7586,7004
3997,3573
1454,485
7586,7003
7586,7002
7586,7001
7586,7008
7586,7007
7586,7006
7586,7012
7586,7011
7586,7010
7586,7009
7586,7016
7586,7014
7586,7013
7586,7020
7775,1158
7586,7017
7586,7024
7586,7023
7586,7022
7586,7028
7586,7025
5789,5389
7586,7031
7586,7030
7586,7029
7590,6905
7586,7034
7586,7033
7586,7038
7586,7044
7586,7043
7586,7047
7586,7046
7590,6921
7586,7051
7586,7050
7586,7049
7586,7056
5581,3674
7590,6931
7586,7054
7586,7060
7586,7059
7586,7057
7586,7061
7586,7068
7586,7067
7586,7066
7586,7065
7586,7071
7586,7069
7586,7074
7586,7073
7586,7080
7586,7078
7586,7077
5525,5433
7586,7084
7586,7088
7586,7092
7586,7091
7586,7090
7586,7089
7590,6971
7590,6970
7586,7094
7586,7093
5573,3967
808,4227
6325,5240
1184,778
3810,1300
5950,512
7590,7018
8090,7908
7590,7033
7590,7037
7590,7044
7590,7048
3674,5581
7590,7079
5765,6319
8152,6058
8094,7862
1097,3602
3597,8027
8237,3463
5789,5634
1282,6088
684,8263
3417,5470
490,6097
3416,5510
5240,6325
6311,5932
3152,5573
6195,1377
1456,831
6319,5765
5681,966
6923,3463
5599,3564
3569,971
3689,5460
3908,6869
7586,7588
7586,7587
7586,7592
7586,7591
7586,7589
7586,7596
7586,7595
7586,7594
7586,7593
7586,7600
7586,7599
7586,7598
7586,7597
7586,7604
1467,682
7586,7603
7586,7602
6061,5725
7586,7608
7586,7607
7586,7606
1198,835
7586,7605
7586,7612
7586,7611
7586,7610
7586,7609
7586,7616
7586,7615
7586,7614
7586,7613
7586,7620
7586,7619
7586,7618
7044,8036
7586,7617
7586,7624
7586,7623
7586,7622
4295,3146
7586,7621
7586,7628
7586,7627
7586,7626
7586,7625
7586,7632
7586,7631
7586,7630
7586,7629
7586,7636
7586,7635
7586,7634
7586,7633
7586,7640
7586,7639
7586,7638
7586,7637
7586,7644
7586,7643
7586,7642
7586,7641
