olympics_participated_in_1,olympics_participated_in_2
80,7102
14,7102
6684,7179
179,7116
177,7179
144,7179
80,7116
111,7179
47,7116
14,7116
12,7179
111,7183
12,7183
6685,7179
6652,7179
147,7116
178,7179
145,7179
114,7116
112,7179
79,7179
46,7179
13,7179
6655,7103
148,7102
82,7102
6686,7179
82,7103
49,7103
181,7116
179,7179
82,7116
49,7116
6689,7103
80,7179
6689,7102
47,7179
116,7102
149,7103
50,7102
50,7103
17,7102
6655,7146
6689,7116
6689,7130
82,7146
147,7179
114,7179
50,7116
81,7179
17,7116
82,7153
50,7130
6689,7146
117,7102
51,7100
84,7102
117,7103
51,7102
51,7103
6688,7179
51,7106
51,7108
6689,7153
51,7111
181,7179
117,7116
148,7179
115,7179
84,7116
82,7179
51,7116
49,7179
51,7123
149,7159
51,7127
117,7130
51,7129
51,7130
6689,7179
118,7102
51,7132
118,7103
52,7102
51,7134
52,7103
51,7138
51,7141
51,7143
117,7146
149,7179
117,7147
118,7116
51,7146
83,7179
52,7116
50,7179
17,7179
117,7153
51,7153
117,7155
51,7155
117,7159
51,7159
118,7130
52,7130
51,7164
6725,7130
118,7146
183,7179
117,7179
84,7179
51,7179
18,7179
51,7181
118,7153
51,7183
52,7153
52,7159
186,7102
186,7103
54,7102
87,7103
6691,7179
54,7103
186,7116
151,7179
118,7179
85,7179
52,7179
6694,7102
52,7183
186,7130
6694,7116
87,7130
154,7102
54,7130
154,7103
154,7116
152,7179
86,7179
53,7179
20,7179
186,7159
155,7103
89,7102
89,7103
23,7102
23,7103
186,7179
120,7179
89,7116
87,7179
23,7116
21,7179
155,7130
89,7130
90,7100
23,7130
90,7102
8479,7146
155,7146
155,7147
154,7179
89,7146
121,7179
90,7116
88,7179
23,7146
22,7179
155,7153
89,7153
23,7153
89,7159
23,7159
190,7102
190,7103
25,7103
190,7111
190,7116
6664,7130
188,7179
90,7146
122,7179
56,7179
25,7116
23,7179
190,7130
25,7130
92,7102
92,7103
59,7102
26,7102
59,7103
190,7146
156,7179
92,7116
90,7179
57,7179
190,7153
190,7155
190,7159
126,7100
6666,7116
59,7130
126,7102
27,7102
6664,7179
190,7179
126,7116
157,7179
92,7146
6700,7102
91,7179
190,7183
27,7116
25,7179
92,7153
6700,7103
92,7159
127,7100
127,7102
127,7103
61,7102
6700,7116
61,7103
6632,7179
6700,7130
127,7116
61,7116
92,7179
59,7179
6734,7103
6767,7103
26,7179
127,7130
6700,7146
61,7130
128,7102
95,7102
6666,7179
95,7103
95,7105
6700,7153
159,7179
128,7116
61,7146
126,7179
95,7116
93,7179
61,7147
6700,7159
60,7179
6702,7102
61,7155
127,7159
95,7130
6702,7116
6767,7146
30,7102
6700,7179
6700,7183
160,7179
95,7146
127,7179
6702,7130
94,7179
61,7179
28,7179
127,7183
95,7153
95,7159
162,7130
6734,7179
97,7102
97,7103
162,7146
97,7116
128,7179
95,7179
62,7179
95,7183
164,7103
6669,7179
6702,7179
6636,7179
197,7116
162,7179
129,7179
96,7179
6672,7102
32,7116
6705,7102
30,7179
1585,7102
1585,7103
31,7155
131,7130
132,7102
132,7103
1585,7116
99,7102
99,7103
6672,7116
6705,7116
131,7146
196,7179
163,7179
132,7116
130,7179
32,7146
97,7179
33,7116
31,7179
132,7130
6672,7146
166,7103
34,7102
6671,7179
34,7103
132,7146
197,7179
131,7179
98,7179
34,7116
65,7179
32,7179
132,7153
132,7159
1585,7179
35,7102
35,7103
6639,7179
6672,7179
198,7179
165,7179
101,7116
132,7179
99,7179
66,7179
33,7179
6642,7102
6642,7116
35,7130
135,7102
135,7103
36,7102
36,7103
166,7179
135,7116
102,7116
133,7179
6676,7102
100,7179
36,7116
67,7179
34,7179
6676,7100
6676,7103
6643,7102
135,7130
6676,7116
