place_of_birth_1,place_of_birth_2
5487,9505
451,9973
542,11248
5388,8476
4199,8476
5607,9885
7033,10732
548,11069
4044,9188
537,11413
7870,9371
4067,8478
7745,9149
328,9702
569,10423
6842,8476
3212,10415
856,9724
4042,9264
7612,9188
6868,11772
1402,9188
1351,10773
3407,8476
8229,10552
3476,10436
1360,10497
1266,9318
1242,10062
1425,8488
4068,8478
3227,9973
5716,10635
6262,10093
5918,8476
810,11176
3675,184
3622,10019
5454,10575
3283,51
859,9660
3177,11531
861,9599
12127,8513
12237,9209
5522,8476
3540,8478
4264,10614
6812,9448
608,5169
11961,9577
6267,9973
6662,10015
692,10766
8165,8477
6012,9688
6975,8513
6936,9722
5707,10954
1240,10170
6121,10408
3836,11617
3673,8476
3966,11688
8108,10265
8430,8475
5963,11224
11924,10750
4169,9493
7675,11405
1358,10623
5259,8475
3277,8478
5217,9780
1162,8513
899,8476
4201,8513
3624,10019
7983,10058
1370,10265
12393,8526
7770,8475
7053,10220
3937,8513
5390,8526
3608,10524
5710,10899
3408,8531
634,8513
335,9590
708,10316
1428,8476
746,9140
7879,9203
6285,9464
8269,9399
6230,11176
6277,9718
3370,9724
4261,10773
3605,10632
1343,11124
6805,9737
900,8477
1126,9665
3094,10097
12084,9931
3939,8488
12093,9660
7939,11469
1232,10487
321,10058
5525,8476
3279,8475
5393,8476
6909,10639
6263,10184
3778,9396
8168,8477
4204,8475
6821,5172
1296,8514
3494,10009
6929,10021
6318,8488
3940,8476
7638,8525
3240,9700
824,10867
479,9275
3107,9726
5456,10635
278,11413
5713,10864
3544,8476
12362,9559
3676,8485
1032,8531
3280,8476
7940,11472
3886,10170
1166,8476
7614,9289
6919,10361
8696,8525
8301,8476
6113,10773
6032,9188
6889,11296
3677,8475
4295,9795
7743,9409
6186,8524
992,9791
1337,11385
5996,10316
6809,9688
3941,8485
545,11363
4072,8525
1245,10147
744,9294
5395,8476
7640,8513
7616,9256
808,11409
6095,11350
6055,8494
7964,10762
8437,191
6125,10431
3149,8476
709,10391
550,11224
3993,10990
9037,10269
7864,1585
771,8476
12373,9264
8037,8508
7751,9188
6980,8513
3904,9659
3239,9796
638,8513
6989,51
5659,8513
12398,8496
8169,8522
3088,10392
3258,9218
4311,9345
8254,9994
7598,9846
8219,11081
7943,11438
3498,9973
5488,9724
997,9688
904,8476
3982,11364
5791,8531
8085,11152
7907,8476
7803,11699
1013,9199
1004,9479
603,9623
12135,8478
5854,10681
3158,51
1401,9464
1411,9155
6849,8513
803,11620
5660,8508
3223,10328
3222,10361
1135,9525
6135,10170
5698,11435
1211,11267
5397,8476
601,9700
860,9864
3547,8488
3151,8476
4170,9659
3208,10808
1112,10248
3205,10903
905,8476
7019,11457
984,10123
4265,10812
848,10245
8231,10754
6190,8492
3548,8476
8040,8488
3511,9625
5578,11081
7723,10123
737,9604
6802,10007
3517,9443
579,10408
6322,8510
6930,10142
1363,10691
906,8476
3084,10589
4302,9700
6037,9161
3580,11601
3292,51
6719,8513
3098,10170
1497,10648
3257,9337
11974,9451
3152,8497
801,11747
4245,11481
3285,8476
5461,10655
3891,10170
4008,10639
6273,10062
12365,9623
4305,9629
6159,9505
12103,9562
456,10170
6060,8475
12346,10220
286,11346
7646,8475
7623,9188
7696,11020
6017,9821
1117,10170
7980,10408
5215,10112
673,11649
3224,10394
3746,10596
1265,9688
1251,10123
6016,9864
6325,8476
3922,9242
6126,10556
1039,8509
5742,10170
6799,10170
594,10019
7738,9743
6123,10655
6916,10648
8079,11457
8174,8523
5872,10248
1264,9740
5768,9382
8345,11409
11912,11426
4210,8531
6127,10549
7911,8492
868,9737
247,8513
7886,9275
966,10803
8383,10248
420,11346
3427,54
6855,8476
3596,11202
4212,8494
1131,9796
3552,8476
8278,9423
6723,8478
3234,10143
5881,10005
7729,10060
6912,10818
4009,10698
3265,5088
1152,9155
8146,9425
5270,8475
8107,10635
777,8497
1305,8513
3156,8478
3288,8488
7071,9999
12117,9221
909,8513
8139,9660
6964,9223
7913,8476
5226,9859
7748,9500
3765,10094
6794,10408
5381,9155
3392,9371
3461,11328
12079,10408
3684,8513
8658,9973
5992,10698
12368,9654
6140,10203
4082,8475
12381,9259
7891,9178
3773,9864
911,8476
8024,9161
1263,9855
3818,8476
5863,10614
6327,8525
3398,5113
8310,8488
3685,8509
515,8476
8124,10170
1498,10773
12352,10170
11947,10436
514,8513
1308,8476
7067,10170
3492,10408
1176,8476
4164,10058
1137,9685
7691,11310
3362,10348
3422,8488
647,8497
8110,10614
825,11176
5404,8494
6726,8476
7760,9188
1002,9791
5891,9783
7863,10094
6281,9984
5405,8475
8311,8496
4181,9552
8312,8476
589,10318
12083,10361
5997,10604
3159,8476
12408,8485
5624,9893
516,8495
4312,9606
6798,10361
3501,10170
5351,10170
5856,10899
12144,8488
11959,10129
12321,11193
5537,8514
3519,9630
1178,8475
4216,8509
6257,10773
1046,8475
3600,11224
8049,8475
3861,11327
6293,9660
7716,10614
8376,10635
1001,9881
12111,9541
3747,10773
1239,10698
6160,9702
3689,8476
1506,10614
3853,11585
649,8513
12673,8508
610,9724
5213,10389
8444,8531
1255,10210
7917,8494
8402,9846
1381,10408
3957,184
3087,10773
3928,9275
3865,11229
4085,8505
3820,8532
915,8476
839,10832
12145,8505
6954,9688
3822,8476
6804,10239
8672,9674
426,11353
4296,10170
6861,8478
3690,8476
5378,9399
1390,10147
3987,11559
8363,11069
613,9660
1444,8476
6068,8491
1231,10989
4027,10327
6301,9464
8315,8478
2541,11340
3263,9443
12105,9771
5237,9688
1139,9752
3955,8476
7086,9718
3748,10797
3191,11686
3691,8476
12124,9208
3930,9267
724,10347
715,10626
8378,10648
7655,8478
1399,9905
995,10142
5307,11638
3929,9301
6993,8531
6333,8509
255,8513
4057,9436
6995,8476
1077,11709
8130,10158
1011,9660
1181,8488
4001,11180
1269,9859
653,8475
1142,9700
12254,9299
3754,10651
3885,10691
8246,10664
3200,11448
6296,9682
978,10698
7073,10170
5761,9881
3651,9760
12383,9412
7788,8494
5359,10064
8020,9493
477,9853
878,9714
3908,9991
5775,9465
1380,10543
5773,9528
7634,9188
8779,10558
5224,10170
5507,9587
6149,10170
1122,10361
5473,10648
3104,10361
1446,8513
7982,10697
9064,9931
8713,8526
8450,8488
3897,10361
7990,10459
5900,9714
3371,10289
12282,8476
8186,8476
7868,10148
7621,9613
5917,9188
5475,10608
5875,10496
8273,9881
3889,10626
7926,166
1183,8497
3996,11409
4151,10698
3915,9828
1316,8476
1184,8475
6298,9688
7895,9331
1093,11302
920,8475
12679,8488
523,8495
3523,9702
11936,11051
3217,11000
7923,8475
8054,8509
8233,11153
3638,10241
1145,9702
4260,11445
4308,9956
6072,8525
11887,8491
1260,10245
8414,9659
6828,9667
6337,8509
3799,9367
7093,9654
705,11074
5754,10201
628,9366
6999,8476
1393,10235
3490,10766
8027,9382
1268,10019
8431,9155
438,11176
7028,11688
12680,8503
3432,8477
8272,9995
6945,10170
3299,8513
888,9533
3961,8477
465,10361
7924,8508
896,9292
333,10361
3771,10281
3129,9702
7885,9726
3097,10698
8267,10170
4255,11669
6292,9966
1187,8476
8190,8476
8270,10098
5465,11032
6076,8475
4225,8513
12359,10311
6869,8478
6845,9221
4327,9455
4267,11315
8851,8476
7001,8485
11948,10773
526,8509
3081,11224
8364,11297
12100,10170
7893,9514
5416,8475
1248,10712
4095,8476
658,8525
8263,10336
858,10519
5895,10018
731,10360
485,9795
6956,9901
3302,8488
4274,11121
6002,10808
8455,8488
753,9691
3927,9599
1017,9702
1453,8476
7927,8488
5897,9987
5264,9127
4228,8476
3963,8509
5681,8497
3513,10170
8059,8513
793,8476
6871,8476
6238,11715
6040,9659
5284,8526
3758,10773
3781,10060
3568,8476
1502,11081
8148,9852
7905,9203
5511,9688
5379,9682
8003,10265
1111,10924
3910,10170
6154,10248
6897,11788
5356,10408
475,10170
8689,9493
3411,9275
7707,11268
1300,9183
8028,9514
5418,8504
6058,9142
3700,8513
7664,8513
4025,10729
6344,8476
4098,8476
12395,9318
3331,11772
927,8476
3943,5095
5765,10058
3834,8478
663,8476
7063,10778
1250,10766
6343,8532
1386,10648
12423,8476
3752,11034
3842,51
5852,11474
3126,9961
624,9702
8259,10581
4323,9724
342,10256
332,10566
8459,8489
7006,8476
3967,8476
8031,9468
5582,11664
3807,9342
3384,10170
3681,9155
3145,9386
3218,11224
6874,8477
4230,8531
5633,10094
6153,10358
400,8477
6346,8475
1379,10899
5993,11224
1406,10064
8460,8475
8418,1585
8391,10614
8856,8488
3619,11100
3377,10413
6310,9604
3315,51
6968,9688
6698,9872
8016,9973
214,10170
11969,10316
1324,8532
6275,10698
6309,9654
929,8498
5216,10773
7733,10570
4101,8475
428,11744
5290,8477
5509,9881
3969,8475
5360,10408
8143,10150
592,10766
3308,8489
6711,9490
5798,9127
5719,11576
3497,10824
6876,8476
617,9995
4078,9203
797,8512
3220,11224
3093,11065
1194,8494
5236,10170
6133,11032
1294,9493
402,8476
12402,5113
4185,9991
3252,10241
270,8476
4292,10773
5291,8476
4234,8476
1226,11611
5486,10621
8043,9178
1274,10124
4160,10773
1040,9188
12426,8476
7909,5145
612,10170
3704,8525
4211,5095
208,10408
340,10413
6651,11385
3267,9791
4175,10316
6903,11764
8329,8513
5952,8475
1301,9298
3118,10316
4282,11093
533,8531
6179,9630
12120,1585
472,10423
4102,8487
1436,9212
1109,11157
667,8475
4180,10170
5220,10698
5688,8476
4289,10888
1459,8509
6970,9702
7984,11036
3404,9660
3522,10097
3525,10007
3714,51
5894,10300
5362,10408
3512,10411
3971,8476
8199,8478
1424,9613
7636,9556
3310,8496
1195,8525
7846,11244
7768,9566
1461,8476
5230,10423
8464,8476
5470,11176
1391,10648
8177,9183
7601,10654
6063,9180
3614,11369
8306,9275
5871,11034
8265,10556
8331,8510
1197,8476
5557,8487
1328,8513
572,11469
5293,8476
6349,8513
5377,9973
8792,10611
6854,5152
5915,9685
7011,8476
7617,10170
3784,10210
6957,10148
5780,1585
600,10611
5822,8476
7898,9654
932,8513
6175,9818
7935,8513
4236,8494
4194,9793
1034,9451
5558,8476
8151,10007
8374,11286
382,9188
3972,8488
3683,9259
6287,10461
3154,5181
8443,9155
576,11374
4307,10399
3786,10170
3180,8476
12297,8476
11939,11385
3385,10316
6931,10989
6797,11046
3847,97
7974,11428
8465,8488
1288,9795
7977,11333
3140,9729
6086,8513
6351,8497
7804,8513
3577,8476
8379,11164
8200,8531
6033,10170
1244,11173
583,11184
3920,10135
6352,8476
3515,10408
8466,8476
7651,9188
539,8476
6264,11224
3578,8475
1072,149
5956,8488
1332,8476
3949,5175
5481,10934
3942,9490
8334,8513
4301,10655
631,9737
936,8476
5623,10634
12125,9774
3975,8475
4059,9972
5783,1585
3974,8509
7589,11133
11903,8476
730,10773
3579,8475
3114,10602
3242,10729
540,8476
876,10348
1465,8475
276,8475
8033,9673
750,10170
7759,9980
5367,10408
4166,10773
6171,10058
8072,8476
3896,10955
231,9885
611,10393
8865,8476
4182,10288
6087,12670
7619,10241
752,10123
8827,9650
8026,9909
1427,9685
1247,11173
7906,9541
3712,8488
6201,9155
12114,10170
8156,9988
892,9896
350,10316
8073,8475
3977,8475
5297,8513
3148,9599
5429,8526
3912,10497
7941,8476
3713,8476
4319,10170
3844,8513
8144,10389
3581,8478
7016,8494
12305,176
7709,11585
5431,8475
908,9426
3144,9744
6883,8525
409,8513
3621,11342
735,10698
8017,10239
8944,10170
5892,10581
6822,10424
3790,10208
807,8475
3527,10170
8284,10170
7987,11185
6948,10625
5258,9766
3281,9623
460,11058
4206,9623
7871,10697
6183,1585
6091,8532
8051,9212
6276,10989
5827,8525
3898,10978
4062,9995
3399,10067
3317,8513
1335,8514
4136,11798
411,8487
1035,9623
462,11002
5740,11224
3759,11201
7849,11385
7912,9438
3816,9436
5787,1585
8147,10340
7874,10614
976,11465
3264,10170
6886,8478
8145,10408
6753,8509
1038,9552
3534,9999
280,8475
7910,9514
3319,8476
8075,8494
8409,10436
6291,10554
6303,10189
5300,8513
6152,10773
4213,9443
6226,8477
6958,10361
5520,9889
521,9208
1143,10408
614,10424
898,9812
3147,9729
7812,8478
677,8476
363,10019
1249,11226
3186,8525
3980,8488
4316,10365
488,10248
4303,10766
5697,8513
3543,9752
12250,10170
870,10698
5434,8477
3246,10773
4171,10773
8297,9846
487,10289
639,9674
1205,8513
8435,9660
243,9668
3610,11788
3946,9566
3230,11283
9002,8476
1469,8531
942,8485
220,10387
5342,11350
3546,9688
4309,10614
7643,9659
5909,10170
3297,9221
8280,10404
1277,10408
11958,11069
8178,9468
8342,8489
7946,8476
7740,10766
3850,8476
200,11033
741,10648
7814,8476
7782,9468
6003,11369
8077,8513
943,8487
7894,10094
3293,9366
3667,10060
903,9729
5753,10934
473,10773
7985,11374
3157,9493
8307,9587
6036,10361
8319,9216
3096,11390
8103,11816
883,10361
5407,9382
5778,10170
7628,10170
3532,10170
6282,10934
507,9737
3291,9451
1339,8525
7815,8477
12439,8488
6097,8488
4094,9147
469,10929
3360,11419
789,9203
7021,8525
6890,8489
1160,9994
8828,9853
9115,9149
6984,9685
7661,9178
912,9503
3852,8476
1128,11000
907,9659
6207,9199
1113,11469
3563,5150
5702,8476
6759,8476
897,9973
5568,8531
549,8476
1121,11224
5436,8531
12316,51
618,10438
3550,9659
3913,10698
325,11333
812,8525
1210,8475
838,11816
5539,9448
3806,9921
1209,8510
3851,8528
3664,10232
3562,5202
5438,8488
629,10109
7947,8531
5269,9628
4117,8476
495,10170
509,9737
8176,9624
814,8475
7683,8526
8080,8513
7916,9500
365,10112
5834,8512
8212,8517
1029,10011
1416,10305
774,9729
4065,10109
7792,9264
3931,10170
12404,9653
5240,10557
4304,10899
6194,9660
7975,11791
4299,11058
7950,8476
3813,9744
364,10170
6026,10773
7795,9188
4118,8488
9102,9636
682,8509
9006,8512
5490,11020
3823,9451
7685,8513
3564,9292
1306,9659
4058,10361
6971,10170
4088,9432
396,9199
6233,8476
6284,10991
8171,9846
8083,8477
6101,8478
11970,10864
6892,8532
11953,11385
5969,8476
3171,9203
7818,8508
5763,10773
1256,11224
3416,9802
3553,9650
815,8513
8082,8513
1477,8475
7026,8485
6972,10170
3682,9760
3327,8476
8400,10965
8348,8476
7901,10049
4193,10308
1165,9973
3591,8494
734,11046
4119,8513
8084,8476
862,11176
743,10773
5675,9437
3724,8475
343,10888
3643,10989
8216,8494
662,9199
4251,8531
6939,11224
5837,8525
597,11224
6366,8515
553,8494
5272,9660
6978,10021
12261,10097
4120,8513
6313,10160
6630,8532
1292,10170
7606,11046
5970,8513
9095,9948
850,11587
6212,9203
3496,11481
7746,10801
1081,8525
3090,11784
5575,8475
5802,9630
3503,11268
422,8477
3542,10064
5676,9443
7862,11315
1273,10773
1061,9155
3936,10140
1430,10005
5354,11244
3593,8488
5263,9973
7954,8476
7029,8476
9011,8476
369,10143
8086,8488
7821,8510
555,8475
749,10655
1082,8525
1480,8476
4215,9706
5257,10173
1348,8475
12447,8476
1295,10119
4063,10326
3686,9729
5370,10773
5312,8475
1060,9221
8129,11271
8196,9188
4254,8513
5444,8488
8990,9159
733,11180
7069,11374
8000,11185
5554,9188
4100,9203
3198,8498
6898,8488
718,11649
8180,9700
913,9702
7030,8494
423,8513
3536,10316
7002,9367
687,8525
6182,10216
8088,8477
3991,8509
1191,9295
3803,10245
3409,10170
5423,9180
3649,10926
1216,8526
3921,10691
3777,11059
356,10614
3276,10210
5577,8509
6047,10329
5929,9888
12449,8476
3769,11315
12294,9188
5253,10365
5899,10824
6305,10524
8798,11073
6107,8475
3162,9660
3464,8489
3727,8531
3954,9685
1481,8526
6900,8475
239,10170
6067,9729
3729,8476
3597,8475
4218,9702
7825,8483
3136,10479
3646,11058
1253,11512
4099,5209
1030,10235
12671,9821
4155,11669
3201,8475
926,9367
6323,10001
7996,11385
6846,10170
7693,8488
726,11481
5656,10203
8183,9700
3606,34
12372,10909
6974,10316
7957,8513
1048,9702
1086,8526
4038,11224
1318,9527
6350,9188
6994,9702
3117,11109
3333,8513
8140,11046
3995,8476
691,8498
8302,10132
1175,9881
4176,11059
6288,11129
5315,8525
9111,9630
5581,8475
3693,9656
8091,8488
668,9226
8052,9702
5449,8475
12399,10112
7722,11744
3467,8478
11871,10094
7900,10320
245,10058
1221,8476
3559,9729
5448,8512
9070,10918
8976,9737
346,11032
7739,11229
6911,32
559,8531
5410,9702
3241,11409
6188,10170
5978,8488
3962,9542
7609,11176
12387,10519
1419,10557
4200,10365
391,9659
3335,8513
3832,9490
1127,11425
8356,8508
5714,8496
4330,10443
901,10245
5540,9796
4070,10316
5941,9659
7695,8531
7772,10239
6618,9149
374,10208
3864,8513
9097,10129
11925,8476
3402,10552
787,9697
3337,8476
12370,11074
8175,10049
4233,9373
3102,11669
6850,10170
3439,9419
5318,8514
6205,9688
4107,5095
8094,8478
6873,9464
5959,9127
4092,9660
7037,8476
4262,8492
5825,9188
760,10557
1156,10570
3815,10060
1052,9702
13726,10021
3968,9426
3269,10614
3839,9331
1201,9188
3206,8476
3533,10626
4263,8475
8226,8509
12382,10747
3692,9795
212,11181
8095,8476
6244,8512
3428,9794
7963,8476
4130,8513
7883,10954
1132,11348
5786,10436
6905,8513
1435,10148
1414,10801
5585,8476
1042,10049
1451,9659
6331,9931
1225,8475
3445,9289
1441,9973
4071,10362
4132,8475
7866,11511
5687,9426
263,9637
5850,8476
640,10241
8279,11004
6865,1585
3868,8478
5665,10112
5981,8509
5425,9366
7038,8513
565,8476
6158,11224
3604,8475
828,8516
1262,11448
301,8476
8361,8476
3433,9688
12123,10641
785,9859
1357,8512
223,10899
6041,10765
5942,9737
865,11481
6115,8475
532,9517
1449,9763
830,8476
4055,10899
8434,10316
4109,9230
12325,8488
470,11448
218,11068
4051,11032
6908,8480
3440,9493
7832,8513
7040,8488
434,8475
1006,11224
7873,11343
1359,8476
1413,10899
4266,8476
6114,8531
5982,8525
5505,11025
1153,10773
7787,9920
6848,10362
12668,10170
3965,9623
6116,8476
809,9155
6858,10049
3705,9493
4077,10248
1227,8494
567,8476
1492,8475
8305,10269
1041,10170
8056,9791
5361,11422
8230,8494
1303,10248
7000,9774
303,8483
8340,9188
6885,5150
964,8476
4229,9660
5508,10972
4096,9688
5985,8476
831,8509
8098,8513
626,10773
5455,8532
6219,9425
7872,11428
6034,11068
3475,8475
5262,10423
5457,8475
1333,9342
1025,10698
1338,9188
3343,8475
8045,10170
6918,51
1146,11046
619,11006
8891,8522
4081,10183
6249,8510
969,160
8458,9665
1186,9821
4003,8513
1171,10289
3576,9464
3740,8476
5907,10936
1471,9188
1043,10170
5389,10614
6064,10170
1362,8475
8044,10232
4135,8534
5668,10170
358,10940
7015,9370
3924,10989
5550,9733
6324,10316
833,8508
305,8494
1027,10691
570,8476
5591,8476
5722,8509
6223,9362
5420,9685
8172,10392
8167,10549
3701,9729
3345,8476
3412,10497
6024,11443
7705,8488
4232,9661
918,9994
8102,8475
12330,8476
8211,5095
8335,9451
3874,8476
4208,10408
7789,9995
3804,10648
5950,9660
12672,10170
885,11025
1466,9399
5817,9691
6983,10408
6079,9763
3838,9603
3478,8475
7756,11034
1448,9972
9105,10170
747,11224
5636,11215
3415,10437
1167,10493
4271,8475
306,8513
268,9691
3658,11097
222,11121
6215,9660
8289,10899
3938,10614
6120,8513
12067,8475
704,8476
5857,8476
7783,10210
659,9876
3169,9893
7838,8513
755,11002
11897,9665
6913,8525
6852,10415
1454,9821
3083,8476
6025,11486
1023,10899
837,8475
7008,9688
5430,9453
5703,9188
3744,8475
5826,9470
7807,9505
1179,10170
259,10019
3168,9953
8061,9820
5725,8513
12376,11224
3837,9700
6364,9188
4007,8526
8368,8510
7046,8525
3216,8475
6255,8476
4196,10864
5657,10635
6893,9180
12417,9973
1366,8488
519,10170
3611,8526
3488,51
3935,10773
3110,11772
8600,9514
742,11454
738,11582
5990,8513
3215,8525
6061,10408
3876,8513
3590,5095
7708,8513
5696,9443
6122,8525
4235,9688
4141,8505
3845,9490
5671,10241
707,8475
4106,9604
1313,10170
575,8476
8448,10170
7841,8513
7049,8488
816,9203
12333,8525
5235,11478
7951,9203
6967,11034
7650,10348
418,9259
4010,8497
3821,10265
6102,9188
4143,8477
3526,11217
1069,9562
8371,8476
3914,11478
288,9199
6124,8509
3932,10926
971,8510
3879,8476
3450,9490
6991,10316
5655,10773
8702,10519
7842,8510
3615,8476
12389,10922
5510,11176
5287,9895
7936,9702
3557,10281
1141,11448
312,8475
1062,9802
1237,8476
3219,8475
8843,10262
8240,8476
6304,11148
12676,10220
3483,8488
5805,10239
7657,10170
8347,9259
7976,8476
3429,10170
8181,10311
6189,10635
3674,10773
7922,10158
4275,8533
3613,12670
8426,10921
972,8531
4145,8475
791,10049
655,10170
3182,9660
1463,9700
5556,9795
1312,10289
5241,11369
1238,8488
6039,11211
980,105
12142,10431
5973,9161
8314,10316
1299,10698
5304,9425
6765,9188
6259,8497
6088,9702
4144,8525
1310,10361
8452,10140
5502,11481
615,11428
4012,8525
1066,9737
5814,10007
1078,9367
3978,9577
314,8476
3569,9973
3454,9443
4191,11176
1106,8509
914,10365
4227,10065
4014,8476
3616,8526
7688,9267
7014,9688
392,10170
657,10148
6988,10497
3172,10007
622,11235
6920,8508
605,11764
8592,9933
4278,8498
414,9500
8320,10170
12405,10509
11911,9453
947,9366
4279,8476
404,9817
5336,8475
7714,8492
710,8526
1108,8476
6229,9468
3455,9451
6499,9297
6105,9221
1192,9973
3586,9490
3584,9552
7079,11800
844,8476
393,10170
578,8531
8447,10357
8202,9760
7914,10496
1049,10316
5784,10989
1164,10848
8271,11722
7979,8488
1054,10170
235,10984
12444,9331
893,11069
1144,11481
7854,77
3354,8509
1372,8512
3089,8532
4147,8509
541,9702
8221,9188
8111,8508
272,9853
500,10978
8243,8509
3423,10479
792,10123
447,8531
5734,8476
3810,10773
5902,11457
12076,8488
6342,10112
8467,1585
1037,10729
5796,10655
1432,10775
6129,8531
6317,10893
3487,8513
6057,10766
820,9272
7054,8531
8330,9931
1110,8477
3092,8475
1203,9691
12425,9972
8112,8509
11880,10479
7644,10729
1505,8526
4108,9752
8067,9909
11906,9685
5800,10552
3753,8476
7937,9846
1045,10507
977,8519
1154,11224
5962,9630
581,8509
1507,8475
7764,11116
1056,10170
5570,9503
5338,8504
5968,9451
4326,11202
1085,9275
3193,9464
12342,8475
261,10248
3994,9216
4150,8476
796,10048
660,10170
3592,9389
7667,10045
5799,10608
3489,8488
1375,8488
764,11046
4281,8513
5549,10170
7817,9494
7717,8496
5943,10248
3401,11224
3530,11324
1287,11224
318,8495
7786,10463
641,10773
5789,10929
714,8513
3458,9468
8446,10487
8193,10150
3226,8476
1198,9904
4205,10899
1243,8513
8993,9935
4019,8480
3887,8475
12421,10170
8114,8513
5514,11296
7777,10773
3309,10019
3623,8476
12678,10390
12311,9491
4080,10698
5406,10552
8462,10021
8953,11185
320,8476
6358,9714
3359,8476
12344,8476
282,9660
620,11470
1447,10411
3358,8513
4152,8475
6795,8476
5340,8526
5964,9660
1080,9514
8879,9413
8286,11405
7719,8509
1354,5118
7720,8475
251,10641
12322,9182
7932,10102
6172,11412
8247,8532
3338,9155
5541,10497
7806,9920
5606,8488
694,9209
7798,10170
4021,8476
6078,10245
7060,8475
4020,8513
3800,11235
1462,9987
5739,8476
5279,10446
4246,9702
7780,10743
8589,10248
380,10773
7721,8480
8357,5150
3587,9665
3229,8476
4153,8505
11949,8493
4022,8476
4103,10058
8250,8476
7799,10170
4285,8513
7986,8476
5934,10648
3571,10170
3716,9771
5933,10683
632,11173
5841,9443
1246,8531
371,11081
7809,9881
6246,9188
3923,11568
4287,8477
8023,11447
6875,10170
5569,9702
1065,10062
1470,9795
3572,10170
4116,9688
1115,8513
945,9688
8053,10527
546,9771
7761,11385
7061,8513
5311,9514
588,8475
257,10545
6108,9388
11951,8478
8413,11661
4115,9740
4154,8531
403,10124
3189,9774
6083,10170
3325,9659
6353,10011
3892,8476
8252,8488
12455,9264
6348,10170
3814,10897
7856,8476
1224,9275
3495,8513
6247,5118
1455,10316
8385,8475
376,11002
1382,8488
6007,8476
916,10648
8253,8478
5984,9188
12409,10713
7797,10328
8121,8476
8946,11583
3444,10109
3848,9876
1015,11682
12139,10899
1456,10300
6800,8475
6879,10129
3899,106
6326,10892
8468,10019
6085,10170
985,8526
384,10773
5458,9126
986,8497
3663,11527
3365,8476
7699,9297
4158,8475
9004,9795
6330,10773
3207,9289
6117,9188
8470,9973
6236,9599
3100,8513
3334,9451
5808,10583
3762,8476
3893,8512
9008,9688
3699,10433
3964,10413
6100,9733
8288,11542
5682,10408
6837,11464
11954,8496
1457,10316
11933,9143
1174,10899
5670,10791
3426,10721
