organization_1,organization_2
51,6627
183,6634
13511,11256
13511,11257
6789,6649
51,6634
13684,10002
6657,6649
13511,11266
13511,11276
13511,11275
13703,9416
13703,9429
6658,6640
13511,11280
52,6625
13511,11278
52,6626
52,6627
52,6631
52,6634
6790,6649
13511,11287
51,6667
52,6637
52,6641
13684,10028
1505,6656
13511,11309
13511,11303
185,6626
185,6627
53,6625
13511,11313
53,6627
6791,6649
185,6633
185,6634
185,6635
6659,6649
53,6633
53,6634
52,6667
53,6640
51,6706
6660,6629
13511,11341
186,6627
7978,6738
13511,11344
54,6626
54,6627
186,6631
13511,11356
186,6634
13683,10121
13703,9498
13511,11354
13511,11355
54,6633
54,6634
54,6635
54,6640
13511,11358
13511,11370
13511,11380
187,6627
13511,11378
187,6634
13511,11388
186,6667
6794,6628
13684,10130
13511,11394
13703,9537
3365,10535
13511,11401
188,6626
188,6627
56,6625
13511,11411
56,6627
13511,11408
188,6633
188,6634
13683,10171
188,6635
56,6633
56,6634
13511,11416
14020,12021
14020,12033
13703,9571
14020,12039
6662,6661
13703,9576
13683,10194
14020,12049
13703,9589
57,6626
13684,10175
189,6631
57,6627
13684,10176
57,6633
57,6634
57,6635
13684,10194
6663,6661
6664,6627
6664,6634
13511,11468
13511,11466
5343,6629
6664,6637
13684,10198
190,6627
188,6690
6664,6641
58,6627
190,6631
6664,6640
190,6634
13511,11473
58,6631
190,6637
58,6634
13511,11482
190,6641
13511,11491
13684,10221
13684,10230
59,6625
59,6626
59,6627
13683,10268
190,6667
59,6634
6665,6649
59,6637
59,6641
6666,6627
13511,11525
6666,6625
13684,10252
13511,3340
6666,6634
6793,6792
6666,6633
192,6627
60,6627
1173,13086
192,6634
13683,10303
60,6631
60,6634
59,6667
13703,9698
13511,11554
13684,10296
13511,11563
61,6625
61,6627
61,6631
3718,3855
61,6634
13684,10312
6668,6626
61,6640
6668,6627
6668,6634
6668,6635
62,6626
62,6627
13679,10490
13511,11602
62,6633
62,6634
62,6635
61,6667
62,6640
6669,6627
6669,6626
13684,10342
13683,10382
6669,6635
6669,6634
6669,6633
195,6631
6669,6640
13684,10356
13683,10397
13684,10375
6670,6629
13511,11651
196,6626
196,6627
13683,10421
196,6633
196,6634
196,6635
13684,10398
13511,11662
3365,6709
13511,11675
6671,6627
6671,6626
6671,6633
13511,11680
6671,6635
197,6626
197,6627
6671,6634
6671,6640
65,6626
65,6627
197,6633
197,6634
197,6635
13511,11687
65,6633
65,6634
65,6635
197,6640
13703,9838
13684,10428
65,6640
6672,6625
6672,6627
13703,9847
6672,6634
13511,11716
13684,10450
198,6626
198,6627
13683,10475
66,6625
66,6627
198,6634
13684,10452
66,6634
13703,9877
13707,9749
7963,11687
13703,9884
13703,9882
13511,11736
13684,10468
13511,11735
13511,11749
67,6627
13511,11757
13703,9899
13707,9772
13684,10486
13511,11753
67,6634
67,6637
13703,14021
13684,10512
68,6626
68,6627
13684,10518
68,6633
68,6634
68,6635
13703,9962
6674,6673
6675,6649
13684,10567
6676,6627
6676,6634
6676,6631
6676,6637
13679,6634
6676,6641
3832,12902
13679,2550
13684,10601
6677,6629
13679,6656
13684,10610
6676,6667
71,6625
7752,10182
71,6627
13703,10014
13700,10121
13679,6674
13684,10615
71,6634
13511,3698
6678,6627
6678,6626
6678,6635
6678,6634
6678,6633
13684,10628
13684,10647
13703,10059
13703,10066
13683,10684
13679,6712
6679,6627
13679,6710
13679,6724
13684,10665
6679,6631
6679,6637
6679,6634
73,6626
73,6627
13703,10079
73,6633
73,6634
73,6635
73,6640
13683,10717
13679,6757
13684,10695
6679,6667
74,6626
74,6627
13679,6763
74,6633
74,6634
6680,6649
74,6635
74,6640
6681,6627
6681,6631
13511,11984
6681,6634
13511,11992
13703,10134
75,6626
75,6627
13683,10769
13511,12003
5420,12964
13511,12000
75,6631
75,6634
13511,12012
13511,12013
13511,12011
13511,12008
13511,12006
13684,10739
13511,12007
13684,6653
13511,12017
13511,12014
13679,6807
13684,6665
13511,12029
13511,12027
13511,12025
13683,10786
13511,12023
13683,10787
76,6627
13707,10054
76,6631
13511,12032
13511,12030
76,6634
13511,12045
6682,6649
13511,12040
13511,12038
13707,10072
472,6656
6683,6627
13703,10193
13684,10779
13511,12047
13684,6697
6683,6634
13684,6693
77,6625
77,6627
77,6634
6684,6626
6684,6625
6684,6627
6684,6634
13703,10225
13684,6715
13683,10842
6684,6631
6684,6637
78,6625
6684,6641
78,6626
78,6627
13684,10819
13684,10820
13684,6737
6156,6629
13684,6733
78,6634
13703,10238
6685,6627
6685,6626
13684,6740
13684,6754
13684,6751
3927,10206
6685,6635
6685,6634
6685,6633
13683,10874
6684,6667
13703,10267
79,6626
79,6627
13703,10274
79,6633
79,6634
13684,10861
79,6635
13684,6766
78,6667
13684,6764
79,6640
3646,6656
6686,6627
13684,10870
13683,10913
6686,6634
13684,10875
6686,6633
13684,6780
6686,6640
13684,10890
80,6627
13703,10297
13684,6790
13684,6788
80,6634
80,6637
6687,6629
13684,10908
81,6625
81,6627
79,6690
13684,10915
13690,6634
81,6633
13684,10930
81,6634
81,6640
6688,6626
13684,10937
6688,6627
6688,6634
6688,6633
13684,10946
6688,6635
82,6627
82,6634
6689,6627
3758,3282
13684,10964
7710,3656
6689,6634
6689,6637
83,6626
83,6627
83,6633
83,6634
83,6635
13707,10276
13683,11019
6688,6690
13707,10286
13684,10998
6689,6667
84,6627
6880,13040
13679,7070
84,6634
13683,11056
84,6637
13679,7081
5235,6708
6691,6627
6691,6633
6691,6634
85,6627
85,6634
13703,10454
86,6625
86,6627
13703,10492
13709,10307
6692,6649
86,6634
86,6640
13684,11084
13683,11127
87,6627
87,6631
6783,12048
87,6634
6693,6649
13703,10531
6694,6627
8277,6703
13707,10416
6694,6634
6694,6637
88,6626
88,6627
6694,6641
13707,10432
13684,11145
88,6633
88,6634
88,6635
13684,11141
88,6640
6694,6667
89,6625
89,6626
13683,11198
89,6627
89,6631
13679,3141
89,6634
13703,10587
89,6637
13684,11172
89,6641
90,6625
90,6626
90,6627
13703,10606
3380,7042
90,6634
89,6667
13684,11216
4319,6628
91,6625
91,6627
13684,11234
13679,3192
3381,7042
91,6634
6697,6649
13686,7081
91,6640
13684,11236
13684,11255
6696,6695
13684,11256
13684,11254
92,6625
92,6626
92,6627
92,6631
92,6634
92,6637
92,6641
6699,6629
13684,11279
6698,6661
13684,11284
13684,11295
13684,11293
13684,11294
92,6667
13684,11305
13684,11303
6700,6626
6700,6625
6700,6627
13679,11467
6700,6634
6700,6631
7752,10890
6700,6637
13679,3282
6700,6641
94,6626
94,6627
13684,11316
13707,10603
94,6633
94,6634
94,6635
13684,11337
13684,11332
13703,10751
6700,6667
95,6625
95,6626
95,6627
95,6631
13683,11393
13684,11359
95,6634
6701,6649
95,6637
13531,12003
95,6641
6702,6627
6702,6631
14020,9151
13684,11376
6702,6634
13700,10875
96,6625
6702,6637
96,6627
6702,6641
13691,7081
96,6633
96,6634
95,6667
13684,11417
97,6627
6703,6649
13679,3389
97,6634
13684,11433
6704,6625
6704,6627
6704,6634
6704,6633
98,6626
13679,3413
6704,6640
98,6627
98,6633
98,6634
7961,12738
98,6635
97,6667
6705,6627
6705,6634
14020,9248
13679,3435
6308,6656
6705,6637
13684,11467
99,6627
6705,6641
99,6633
99,6634
13683,11518
12254,6661
99,6640
7883,11095
13679,3447
13683,11526
13709,10720
12323,12723
6705,6667
13703,10917
100,6627
13511,12777
100,6633
13684,11507
7749,7081
100,6634
13703,10919
13684,11519
100,6640
14020,9306
13683,11556
13707,10819
6707,6649
13703,10960
13703,10961
13703,10980
102,6627
6048,6629
13703,10985
102,6637
13684,11581
103,6627
103,6633
103,6634
6709,6649
13703,11028
103,6640
14020,9410
104,6625
104,6627
13684,11627
104,6634
3717,13414
8353,13059
6711,6628
6710,6673
3718,13414
13684,11670
13683,11707
13703,11087
13683,11716
106,6627
13679,3656
106,6631
106,6634
13684,11711
13684,11712
13679,3678
107,6625
107,6627
6712,6673
107,6634
14020,9513
13679,3698
13679,3697
7824,13181
6714,6629
108,6627
108,6631
108,6634
13684,11769
108,6640
13679,3735
109,6627
13684,11793
6715,6649
109,6634
108,6667
109,6637
109,6641
6716,6627
6716,6634
6716,6637
110,6625
110,6626
110,6627
13679,3775
110,6634
5791,6656
6714,6713
6717,6627
13679,3793
13679,3802
6717,6634
13703,11247
6717,6637
111,6627
13703,11255
111,6631
3979,13699
111,6634
110,6667
111,6637
111,6641
112,6626
112,6627
4208,6628
112,6633
112,6634
112,6635
3255,3413
6718,6649
13679,3855
5722,12984
6719,6656
111,6706
114,6627
13707,11231
114,6634
6720,6649
13511,9133
13522,12884
6721,6629
13511,9138
115,6625
115,6627
13511,9144
14020,9750
13683,12002
115,6633
13531,4427
115,6640
13683,12010
13683,12024
13684,11994
13679,12156
13679,12157
13679,12154
13683,12031
116,6625
13679,12150
116,6627
13679,12164
13684,12007
13511,9179
13679,12163
13511,9177
13683,12037
13511,9174
116,6634
6194,6629
13679,12159
13679,12172
116,6637
13684,12015
6722,6649
13679,12168
13679,12166
13703,11423
13679,12167
6723,6629
13679,12181
13679,12179
13679,12177
13684,12019
13511,9204
13684,12034
13679,12189
13511,9205
13679,12187
13707,11316
13679,12184
117,6625
117,6626
13679,12182
13684,12027
117,6627
13679,12183
13684,12028
13684,12041
13679,12194
117,6631
13679,12192
117,6634
13679,12190
117,6640
13511,9214
13684,12044
13679,4029
118,6627
13703,11484
118,6634
117,6667
118,6637
118,6641
6725,6627
6725,6625
5580,13447
6725,6631
6725,6634
13511,9257
13511,9255
6724,6673
13511,9265
118,6667
13511,9282
13511,9280
13511,9279
6726,6629
7915,6640
13511,9300
120,6626
120,6627
120,6633
120,6634
120,6635
13511,9303
13511,9316
118,6706
13511,9324
13511,13414
13679,4111
13703,11572
121,6627
121,6631
6727,6649
121,6633
121,6634
13511,13434
13511,9349
13511,9346
13511,9347
13511,9353
122,6626
122,6627
122,6633
13511,9372
122,6634
6728,6649
122,6635
122,6640
6726,6713
13511,9381
13511,9379
6729,6629
123,6626
123,6627
13511,9395
13511,9392
123,6631
13511,9393
123,6633
13511,9391
123,6634
123,6635
13511,9400
3522,3678
124,6625
124,6627
13511,9428
124,6633
124,6634
6730,6649
124,6640
13509,13599
13511,9452
13511,9449
13511,9447
13679,4252
13511,9458
13511,9459
13511,9456
13511,9463
14020,10082
13679,4269
13703,11714
13511,9482
126,6627
13511,9478
13511,9488
6732,6649
126,6634
13511,9489
13511,9486
126,6637
13511,9501
13511,9499
13511,9507
127,6625
13511,9515
127,6626
13511,9512
127,6627
13511,9524
127,6634
6733,6649
127,6637
13679,8421
127,6641
6734,6627
13679,8417
6734,6625
6734,6634
13511,9549
128,6625
128,6627
13679,4337
128,6634
127,6667
128,6637
13679,4343
6735,6629
13511,9560
13511,9561
13679,4350
13511,9572
129,6627
6913,13414
129,6633
129,6634
13679,8473
13511,9583
129,6640
127,6706
13511,9592
6736,6628
13511,9598
14020,10217
13511,9612
130,6627
13511,9608
13679,4400
130,6633
130,6634
13707,11730
130,6640
131,6627
13511,9640
131,6631
131,6634
12400,3131
6737,6649
13511,9649
13511,9646
13679,4438
13511,9647
1585,6625
13511,9658
13511,9666
13511,9664
132,6625
13511,9662
132,6626
132,6627
132,6631
14020,10278
132,6634
13700,12004
132,6637
6738,6649
13511,9683
13511,9680
13511,9681
132,6641
13511,9678
13511,9701
13679,12685
13511,9699
13511,9696
133,6625
133,6627
13679,12693
13679,12690
13511,9704
133,6634
13511,9703
132,6667
13679,12700
13679,12701
133,6640
13511,9711
13679,12706
13679,12703
13679,12717
13511,9730
13511,9728
134,6627
13679,12710
13511,9738
134,6633
6740,6649
134,6634
13679,12719
134,6640
132,6706
13679,12727
13679,12740
6741,6629
13679,12738
13511,9764
135,6626
135,6627
13679,12742
3,6626
3,6627
135,6631
13511,9773
13679,12757
6739,6713
135,6634
13511,9768
3,6633
3,6634
3,6635
13511,9781
13679,12761
13511,9775
13511,9788
13511,9789
13511,9787
13679,12768
13511,9785
13511,9782
136,6627
13679,12788
13511,9804
136,6634
13511,9798
13679,12782
6742,6649
13511,9810
13511,9811
13679,12795
13679,12805
13511,9816
137,6627
13679,12808
13511,9825
14020,10427
5,6627
6743,6649
5,6631
13679,12819
13511,9832
13679,12816
137,6637
13511,9833
5,6634
13679,12826
13679,12837
6744,6631
13511,9848
13511,9849
138,6626
138,6627
13679,12838
13679,12852
138,6634
13679,12851
13679,12861
13679,12858
13511,9874
13511,9875
13511,9871
13511,9883
13679,12865
13511,9878
13679,12872
13679,12870
13679,12871
13511,9900
13679,12884
6745,6649
13511,9898
13679,12878
13679,12879
13511,9908
6746,6627
13707,12018
13679,12887
13679,12901
13707,12026
13679,12895
140,6627
140,6631
13679,12902
140,6634
13679,12914
13511,9929
13511,14022
13511,9927
13679,12911
13511,9941
13679,12925
13679,12922
13511,9939
13511,9936
13511,9944
141,6625
141,6626
141,6627
13679,12927
141,6631
13511,9955
6747,6649
13511,9952
13679,12937
141,6634
13511,9950
141,6637
13511,9965
141,6640
14020,10565
141,6641
13679,12943
13531,13448
13511,9970
13511,9968
13679,12964
13679,12965
13679,12960
142,6626
13679,12961
142,6627
13679,12959
13511,9989
6748,6649
142,6634
13511,9985
13679,12969
142,6635
13511,9982
141,6667
13679,12977
13679,12989
13679,12984
13679,12994
143,6626
13679,12992
13511,10008
143,6627
13511,10006
11,6626
14842,1528
11,6627
143,6633
143,6634
143,6635
6749,6649
11,6633
11,6634
11,6635
141,6706
11,6640
13679,13006
13511,10023
13511,10036
6750,6631
13511,10037
13511,10034
13511,10030
13679,13026
144,6627
12,6625
13511,10038
12,6626
13511,10039
12,6627
13679,13037
144,6633
144,6634
13679,13035
12,6631
144,6635
12,6634
13679,13044
12,6637
12,6641
13679,13053
13679,13051
13679,13061
145,6626
145,6627
13,6626
13511,10070
3184,6629
13,6627
6751,6649
11,6690
145,6633
145,6634
145,6635
13531,9463
13511,10080
13,6633
13679,13065
13,6634
13,6635
145,6640
12,6667
13,6640
13679,13072
13511,10100
13679,13081
13511,10095
13679,13092
6223,6656
146,6627
13511,10107
13511,10104
14,6627
13679,13086
6752,6649
146,6635
13679,13096
14,6634
13679,13108
13679,13109
13679,13107
6753,6629
13679,13102
13511,10133
13511,10128
13679,13110
13679,13111
147,6626
13679,13124
147,6627
13511,10139
147,6633
147,6634
147,6635
13679,13131
7741,12884
147,6640
14020,10748
13679,13140
13511,10157
13679,13148
13511,10161
13679,13142
13679,13155
13679,13153
13511,10180
13679,13162
6754,6649
13511,10176
13511,10174
13531,9567
13511,10185
13511,10182
13679,13176
13679,13177
149,6627
13679,13175
13511,10202
17,6627
149,6631
6755,6649
149,6633
13679,13185
13511,10199
17,6634
13511,10211
17,6637
13511,10206
13679,13191
13679,13204
6756,6629
13511,10218
13511,10219
13679,13198
13511,10228
13679,13208
18,6627
150,6631
13511,10234
13679,13219
13679,13215
18,6633
13511,10244
18,6634
18,6640
13679,13234
13511,10251
13679,13235
13511,10249
3381,12984
13679,13230
13511,10246
13511,10247
13679,13245
13679,13242
151,6626
151,6627
13679,13238
13511,10255
151,6633
13679,13251
151,6634
151,6635
13511,10263
13679,13259
13511,10272
13679,13254
