award_winner_1,award_winner_2
1988,3546
4098,3670
1010,1097
1988,3547
1010,1100
7351,1141
7359,892
1010,1103
7359,891
7367,642
929,3616
2908,7804
7372,492
7340,1490
7351,1148
7359,899
4169,1485
7351,1153
3127,1025
14403,11919
14746,1285
934,3473
934,3474
4081,4226
4200,535
3112,1501
7372,518
1975,3989
7351,1171
1002,1388
7351,1184
1876,7070
3128,1025
14747,1285
934,3506
7372,535
3113,1501
7351,1196
13483,7720
1023,759
7371,579
7369,640
1990,3556
5245,952
3114,1479
7361,899
1000,1480
1013,1078
2083,676
1988,3632
1990,3569
948,3106
7343,1470
934,3547
2002,3208
7346,1387
7346,1386
1019,929
5252,781
3127,1118
3131,998
1023,815
3118,1412
3127,1135
1006,1349
7359,1017
2971,5972
7351,1268
4089,4090
1023,830
3128,1118
7351,1275
1998,3384
1035,473
1006,1373
929,3763
1854,7855
7372,635
1006,1379
3119,1412
3128,1135
4101,3747
3127,1172
4107,3564
1030,647
4090,4089
7351,1309
3119,1426
4085,4255
1995,3508
3063,3171
13485,7776
2942,6930
7357,1138
1035,512
6214,3801
7348,1415
1043,266
1969,4329
1035,516
3128,1172
1035,520
1884,6970
6199,4279
4116,3325
13485,7802
7361,1034
1041,350
7351,1357
1887,6901
948,3242
934,3676
1995,3552
2094,488
3127,1232
1882,7065
14747,1472
7351,1366
1006,1459
4106,3670
2009,3145
3128,1232
3134,1046
7359,1145
1993,3651
7359,1143
4093,4094
1009,1393
2991,5486
4088,4248
2920,7689
7351,1405
7361,1097
4093,4104
4115,3422
7353,1348
7362,1075
7350,1445
3127,1291
3030,4302
3030,4303
7368,899
1011,1362
7357,1246
4094,4093
1999,3504
1887,6979
7373,753
1038,532
4112,3546
7351,1449
4097,4019
1009,1441
3128,1291
3127,1324
2991,5543
7364,1052
1981,4086
1019,1142
923,4124
3036,4160
1026,938
1026,942
1038,571
3128,1324
1026,956
4181,1456
7359,1243
7356,1350
13490,7802
3134,1166
2004,3428
2925,7645
7377,706
7360,1233
4111,3656
4096,4121
7374,808
7361,1210
4096,4119
1026,995
7358,1310
1043,473
3139,1034
3001,5312
7356,1386
4099,4047
1030,885
2977,6064
1026,1011
1038,639
7365,1115
7367,1056
3051,3780
7372,899
1035,743
4118,3476
1035,745
6157,5805
1011,1493
934,3880
1023,1122
1988,3975
1035,752
3140,1034
4098,4106
7357,1386
1043,516
7368,1052
4186,1390
6209,4212
7371,969
1039,655
1035,781
7356,1435
2101,505
7371,977
3063,3450
7372,944
4123,3364
7374,888
3126,1501
6228,3649
7358,1386
1868,7742
1894,6935
1023,1171
4129,3193
7379,753
1025,1118
3161,440
1023,1184
7368,1106
1936,5657
7377,824
1023,1196
1025,1135
3168,239
7372,988
3134,1299
946,3595
1892,7039
1035,845
2076,1348
1046,510
7357,1478
1025,1172
7368,1150
3133,1360
4121,3501
7361,1370
4206,875
7372,1034
1035,871
3168,283
7395,320
4102,4103
7399,200
3155,692
4133,3148
7377,888
926,4265
947,3620
1035,892
1023,1268
7364,1303
2003,3661
1876,7597
7361,1411
4103,4102
7395,369
1025,1232
4104,4093
3134,1396
13490,8047
3153,811
4116,3723
3049,4037
4135,3141
1023,1309
1030,1093
7361,1445
6166,5731
4103,4147
7360,1483
7368,1235
7361,1459
3134,1426
1032,1062
1033,1034
1019,1473
1025,1291
1038,892
2101,709
1043,743
1043,745
2015,3380
1023,1366
4210,876
3081,3107
4106,4098
967,3106
7379,944
1043,752
7372,1160
3168,413
2012,3481
2088,1127
3082,3083
4116,3801
1035,1010
1025,1324
7372,1175
4210,903
7371,1215
3081,3134
7310,3110
966,3168
2923,8036
1023,1405
3011,5315
3083,3082
2010,3577
1035,1043
7311,3096
7395,492
13485,8308
2919,8199
3084,3085
7395,518
7372,1237
1028,1293
4136,3247
4136,3248
968,3156
1035,1080
1041,896
1057,400
2922,8122
1026,1362
2080,1464
1868,8036
1043,845
1032,1189
1035,1097
3085,3084
1035,1100
4117,3861
3145,1228
1035,1103
2919,8237
3143,1294
968,3186
969,3156
3084,3128
1032,1204
3084,3127
3168,527
1035,1117
2086,1303
4129,3510
1043,871
7372,1281
3177,259
13483,8452
3080,3267
3151,1068
3081,3241
4110,4111
946,3890
3173,388
3081,3240
1059,388
3139,1445
968,3209
3086,3087
7385,888
967,3242
3173,392
968,3212
1059,392
3085,3127
969,3186
3085,3128
7310,3226
3084,3161
7314,3108
4217,808
3081,3261
4161,2550
7314,3109
7372,1318
3173,412
1059,412
3152,1068
2109,633
7314,3120
969,3209
3087,3086
7370,1387
4111,4110
3140,1445
7379,1106
969,3212
1035,1170
3084,3187
2012,3651
3085,3161
4109,4187
7395,624
4111,4122
1057,500
3156,969
4210,1062
7395,635
3081,3301
4201,1350
13489,8330
3156,977
3088,3089
7379,1138
13490,8308
3085,3187
4206,1202
5273,893
7374,1304
3151,1144
7310,3292
7316,3109
7374,1310
1026,1493
7399,545
7370,1443
1035,1221
2096,1099
7316,3120
4113,4114
4136,3401
3089,3088
4139,3306
3086,3183
7389,860
3152,1144
1030,1390
7371,1428
968,3316
3088,3133
968,3319
1038,1151
1035,1245
1035,1254
7373,1387
3168,669
7310,3337
3087,3183
3168,672
3087,3182
1038,1167
4114,4113
7313,3254
7314,3222
3084,3281
7314,3221
3081,3379
3089,3133
969,3316
7313,3261
969,3319
2021,3476
7409,288
1035,1280
7412,206
1043,1035
7372,1445
3072,3674
1038,1193
7374,1387
2023,3428
2015,3679
1038,1198
7317,3158
7317,3157
3085,3281
2100,1051
7384,1097
7314,3266
7314,3265
3177,447
1865,8357
7375,1387
7316,3222
1038,1230
3092,3093
3088,3220
1038,1234
957,3746
7373,1457
968,3406
1041,1145
3177,469
3084,3352
7320,3109
1038,1244
2919,8468
7315,3276
3084,3368
3084,3369
3093,3092
7317,3222
977,3156
3090,3190
968,3435
3089,3220
7379,1304
969,3406
2921,8431
3090,3191
7374,1457
7409,378
1043,1117
1943,5984
3173,625
3085,3352
6228,4225
7316,3265
1035,1369
1059,625
7314,3325
7314,3332
7318,3208
2933,8068
2010,3913
6192,5354
4133,3647
3088,3274
3085,3369
3085,3368
1033,1445
2012,3863
3084,3403
977,3186
3094,3095
7317,3259
3090,3223
1057,712
3161,1025
4119,4096
7395,849
3081,3511
2101,1122
7311,3450
7310,3488
3081,3512
7406,510
1072,259
7321,3151
1035,1408
7414,266
4145,3306
7315,3341
977,3209
3077,3647
3089,3274
1038,1321
3168,828
977,3212
1034,1445
3085,3403
2010,3959
7315,3342
3095,3094
2002,4212
3095,3099
3095,3098
7317,3289
1910,7070
3155,1242
3168,839
1038,1337
3156,1215
3081,3542
7314,3396
4146,3300
7316,3332
4134,3679
7317,3310
7324,3093
4137,3588
7395,899
7377,1457
3096,3097
4227,808
3177,590
4121,4096
3188,253
7316,3362
3090,3293
3081,3575
1035,1464
7323,3148
7323,3147
1043,1221
3090,3302
7311,3525
1057,790
4124,4015
968,3549
4124,4016
7316,3367
7398,832
1038,1382
4128,3898
1868,8419
2939,7988
3097,3096
7313,3474
3092,3253
3087,3411
1038,1395
3161,1118
1035,1490
3189,253
7320,3266
7319,3296
7320,3265
3173,750
1043,1245
983,3106
4130,3855
1059,750
3168,910
7320,3274
4122,4111
969,3549
2101,1224
3161,1135
1962,5535
1046,1166
7310,3591
3096,3153
1038,1416
3090,3344
3095,3189
4148,3311
7314,3470
3095,3188
3098,3095
4117,4273
4122,4123
3093,3253
7314,3476
968,3592
7314,3475
3098,3099
4138,3626
977,3316
7409,535
7414,378
977,3319
4136,3695
968,3603
1043,1280
1041,1342
7317,3393
4128,3948
3168,941
7316,3427
7414,394
3097,3153
7323,3221
7316,3437
7311,3590
3099,3095
3090,3374
7326,3132
3161,1172
969,3592
7323,3229
3099,3098
7323,3228
4123,4122
7320,3325
3168,966
7399,875
5275,1183
7414,416
7310,3639
969,3603
7314,3513
7322,3265
7326,3148
7320,3333
3086,3518
7313,3553
7395,1010
7320,3342
7406,676
7320,3341
3177,705
3096,3216
7316,3470
3096,3215
7409,589
7399,899
7316,3471
4215,1304
7399,903
3100,3101
7409,598
7326,3176
7326,3175
7395,1034
7320,3366
7314,3551
1072,447
7323,3277
3087,3518
4144,3522
7320,3367
7323,3274
7416,391
3097,3215
2044,3090
2042,3151
7314,3557
3092,3372
3161,1232
3097,3216
7314,3567
977,3406
4125,4126
3101,3100
3177,747
2044,3102
7316,3508
7399,935
3090,3445
7319,3420
3173,875
1072,469
1043,1369
3187,440
3154,1463
1871,8471
1059,875
3095,3297
4141,3642
4127,4077
7316,3520
4141,3641
7316,3519
7323,3308
3094,3336
7310,3709
7317,3492
983,3242
2982,6810
7314,3590
7408,682
7395,1085
3093,3372
7320,3409
1046,1299
1873,8431
3156,1428
4126,4125
3102,3103
4148,3444
3094,3351
3156,1434
7310,3730
3081,3763
7414,516
7316,3553
1043,1408
2021,3858
7316,3551
7414,520
7321,3403
3077,3892
3161,1291
7328,3184
3088,3553
7395,1106
3090,3495
3082,3747
7320,3444
7316,3567
7323,3357
7407,753
3103,3102
3098,3260
3173,935
3098,3259
1057,997
1059,935
7414,537
7326,3265
3181,692
7310,3767
7323,3363
7396,1099
7395,1137
1057,1006
7326,3274
7323,3366
3089,3553
7316,3590
7326,3277
7419,394
3161,1324
7395,1144
3094,3404
3098,3280
7420,367
3083,3747
3094,3405
2044,3190
7384,1488
7317,3564
2044,3191
4154,3317
7317,3569
7319,3511
3104,3105
7325,3331
7320,3485
7314,3671
7314,3670
1062,876
7316,3614
7385,1472
2011,4231
1078,388
1078,390
2037,3428
7326,3311
1078,392
3094,3436
968,3806
7322,3437
7415,559
7311,3782
2044,3223
1072,590
1046,1396
7312,3755
1043,1490
3104,3136
3105,3104
3104,3135
3100,3262
4148,3539
1062,903
3177,874
4148,3540
7416,535
1877,8408
7316,3640
1078,412
3104,3144
3104,3143
7332,3149
7419,452
7333,3117
7326,3333
977,3549
7311,3809
7326,3342
7323,3441
7327,3317
3090,3589
969,3806
4134,3993
3095,3436
992,3095
3104,3162
3080,3905
7326,3349
7323,3442
4151,3476
1927,6883
7314,3728
1057,1085
3104,3163
3105,3135
7311,3819
7316,3670
3105,3136
3006,6205
3101,3262
3177,909
7422,388
7414,635
3105,3143
3107,3081
4161,3172
7326,3362
3094,3483
7422,392
3105,3144
4126,4264
7330,3243
7329,3274
3190,512
7422,390
7320,3557
992,3117
3190,520
3105,3154
7319,3590
2138,367
977,3592
3105,3163
7320,3567
7422,412
3096,3443
3173,1059
3095,3477
4138,3910
4131,4132
3095,3478
3096,3450
3095,3481
977,3603
2044,3293
3095,3483
2136,444
7333,3179
3096,3451
3101,3299
3101,3298
7409,820
7415,640
3088,3706
3104,3210
2044,3302
3191,512
7333,3180
3107,3119
3104,3211
3107,3118
7403,1016
3095,3493
7422,425
3168,1231
7332,3221
3191,520
3173,1078
1059,1078
7311,3876
7316,3720
3095,3500
7323,3508
3097,3443
3105,3194
3088,3721
3107,3134
7326,3419
7336,3109
7412,753
7406,944
4132,4131
1057,1154
3108,3109
7320,3607
3104,3235
1081,414
3197,356
7414,703
3105,3211
3089,3706
3105,3210
2947,8108
7333,3219
1072,705
7326,3438
7335,3159
7326,3437
2044,3344
7395,1305
992,3188
7322,3567
992,3189
3089,3721
2144,247
4148,3665
4148,3666
7332,3265
7337,3109
3162,1463
3109,3108
3105,3235
1062,1032
6184,6087
7406,973
3168,1284
7332,3274
3105,3236
3104,3270
3198,356
7323,3551
2941,8327
7316,3777
7409,892
4161,3282
7409,899
7326,3471
7312,3905
7395,1332
2044,3374
3096,3531
3095,3565
7323,3567
7335,3195
7414,745
7414,752
7320,3665
7311,3944
7338,3107
3105,3258
1072,747
3098,3477
3105,3262
7422,505
7327,3450
7314,3859
3110,3111
1972,5623
7337,3150
7337,3149
3105,3270
3106,3242
4158,3400
1080,512
7328,3433
7328,3432
3168,1324
7402,1144
3098,3493
7324,3561
7339,3095
7320,3684
7323,3590
7332,3311
1080,520
7316,3813
7316,3812
7313,3904
3095,3599
3096,3568
6368,442
3099,3477
7327,3478
7314,3888
7314,3887
3173,1187
7403,1127
7314,3886
7314,3885
3111,3110
1059,1187
7332,3333
7332,3332
3105,3298
6369,416
4158,3427
7335,3245
6280,3181
3107,3241
1081,510
3107,3240
3043,5224
3096,3583
3177,1072
3104,3335
7395,1388
6367,488
3099,3493
7318,3774
7314,3898
7318,3773
7335,3246
7326,3532
4131,4271
3105,3313
7329,3442
7314,3906
7323,3627
7400,1246
3042,5269
3097,3568
7310,4039
7332,3357
3107,3261
6280,3200
7320,3728
7406,1062
2044,3445
6280,3199
3096,3604
1078,625
7414,820
4154,3576
4148,3762
1063,1091
3168,1376
7326,3551
3112,3113
7316,3859
7413,858
3105,3335
7326,3554
7323,3647
7315,3895
7332,3367
7316,3863
7420,646
1884,8419
7326,3559
7326,3558
7326,3557
3021,5944
7337,3222
3112,3126
4132,4271
7326,3567
7326,3566
7323,3665
998,3131
7320,3756
3104,3383
7341,3109
7414,845
7341,3108
4152,3669
7337,3238
7337,3237
7323,3671
4152,3668
7395,1445
3113,3112
7312,4017
3107,3301
1884,8445
7414,853
4153,3646
7314,3960
7316,3898
7326,3590
2044,3496
2044,3495
7435,216
7323,3688
977,3806
3177,1142
3113,3126
1093,212
7414,871
7337,3256
3110,3226
7310,4099
3105,3383
7422,625
5319,288
7337,3265
1072,874
4141,4037
7342,3109
6371,442
7329,3519
3082,4101
1884,8474
7421,664
7419,726
3168,1440
1062,1189
2962,7825
7320,3801
3112,3177
7329,3520
3105,3397
3015,6187
2992,6900
7324,3682
1057,1349
6373,394
1052,1505
3012,6282
7337,3277
7315,3959
3096,3677
2042,3585
3101,3526
1062,1204
5288,1273
3188,835
7314,4003
7332,3444
3111,3226
7314,4012
4137,4195
7328,3577
7335,3360
3083,4101
7402,1281
6378,257
3173,1313
2944,8412
7342,3148
1057,1373
3107,3358
1072,909
7335,3363
1059,1313
7321,3796
6371,478
3113,3177
3112,3207
7326,3646
3115,3116
1057,1379
3091,3864
3036,5572
7320,3842
7320,3841
7344,3102
3110,3284
3189,835
3110,3283
3107,3379
4138,4187
1078,743
3110,3292
3107,3385
7326,3665
3112,3232
7336,3362
1078,750
7405,1222
3104,3482
2991,6985
7435,290
6373,444
7316,3986
7342,3180
3114,3173
3113,3207
996,3297
7320,3859
3116,3115
7314,4050
7345,3088
3111,3278
3096,3745
2044,3589
3111,3283
7406,1211
3111,3284
7398,1457
7409,1121
6166,6892
7314,4072
7437,259
7339,3297
7435,320
7339,3296
7314,4076
7399,1441
7316,4014
3186,969
3113,3232
7314,4075
7422,726
7337,3360
7337,3367
7346,3088
3115,3174
7337,3366
7320,3893
7340,3273
7340,3272
7335,3427
6369,611
3186,977
3177,1258
1089,451
7340,3275
7314,4088
3110,3337
3104,3526
7320,3900
3208,301
6377,364
7320,3906
7329,3627
7422,743
3111,3315
7320,3909
7337,3382
7335,3444
7406,1242
7326,3722
6371,559
7326,3728
7422,750
7332,3540
1057,1459
7332,3539
7424,692
3118,3107
992,3478
3096,3789
7414,1001
7336,3426
973,4069
992,3481
7314,4106
7409,1160
7346,3120
7323,3830
4142,4143
3111,3337
7333,3525
3118,3119
7346,3121
7323,3841
3190,892
3177,1295
3105,3526
7316,4055
7414,1017
3105,3529
7346,3132
7323,3842
7314,4128
992,3500
1068,1144
7340,3321
3105,3535
4152,3843
7346,3133
1093,374
3177,1306
3119,3107
7414,1035
1093,378
7342,3265
7346,3148
7320,3953
7346,3147
7337,3424
7414,1043
7316,4081
3119,3118
4143,4142
7342,3277
7330,3649
7311,4243
7337,3437
3191,892
3051,5232
3096,3840
6272,3690
6384,218
3096,3839
7408,1239
3188,992
7316,4098
3187,1025
2047,3596
6377,436
7341,3325
3107,3511
7332,3610
7339,3393
7316,4106
7332,3609
7339,3392
1078,875
7323,3887
7339,3391
3107,3512
7332,3614
7318,4048
7316,4108
4143,4167
3112,3361
7335,3528
7325,3838
3173,1479
7323,3899
3120,3121
4147,4051
7435,426
5319,492
1059,1479
7335,3532
7409,1237
1089,551
7332,3630
7407,1304
6370,682
7327,3782
3189,992
7435,440
992,3565
3181,1242
7334,3569
7311,4282
1001,3289
6377,472
3107,3542
7341,3362
7335,3548
7346,3206
7346,3205
3113,3361
7326,3830
7419,947
7435,450
7437,388
3120,3148
7340,3399
7320,4019
7437,392
7323,3933
7320,4026
3121,3120
7313,4242
2144,642
7419,955
7314,4209
6385,247
7347,3192
7346,3222
995,3498
7332,3666
7332,3665
7422,875
7342,3360
7335,3577
7318,4103
1078,935
7323,3947
7349,3141
7437,412
3107,3575
3111,3450
7342,3362
7435,479
4147,4103
7314,4229
3104,3672
7342,3367
3110,3488
3121,3147
3190,1010
3121,3148
6377,518
7316,4176
7313,4275
4158,3776
7414,1143
6373,646
3122,3123
7346,3256
1080,892
4158,3780
2029,4240
1072,1142
3096,3936
6198,6080
4144,4218
7419,1001
3187,1118
7328,3821
7348,3201
1089,623
7351,3106
7321,4036
7314,4260
7437,447
7314,4259
7327,3856
6166,7077
7346,3265
7337,3551
7409,1318
7332,3705
7320,4077
7341,3426
3120,3206
7435,511
3120,3205
3190,1035
7318,4144
7320,4081
7346,3274
5319,575
7435,514
3187,1135
3191,1010
7337,3557
7407,1387
1010,3090
3123,3122
7320,4088
7334,3653
7314,4273
7337,3567
7332,3722
7327,3876
6373,682
3120,3222
1939,7065
3112,3469
3120,3221
7346,3285
3112,3472
7316,4221
7422,935
2029,4279
7437,469
7314,4282
7341,3444
3098,3911
7324,3975
7422,944
3105,3696
7342,3423
6373,692
3191,1035
3121,3205
7350,3180
7435,545
3105,3703
3121,3206
7346,3308
3177,1477
4143,4298
3208,520
1078,1013
4146,4212
3190,1080
7316,4244
7320,4120
3124,3125
3187,1172
7323,4026
3113,3469
3110,3562
7323,4031
3121,3222
7323,4030
1089,680
7346,3324
3113,3472
7332,3762
7318,4196
7346,3328
1005,3289
7429,753
3186,1215
7346,3332
7318,4197
7414,1221
7344,3391
7415,1190
3177,1501
1073,1188
3190,1097
7337,3614
3190,1100
6370,821
6388,270
7437,518
7326,3959
6369,858
6370,826
3190,1103
4146,4239
6385,367
4149,4150
995,3618
7337,3627
995,3619
3125,3124
7335,3688
7444,308
3191,1080
3110,3591
3095,4056
7316,4282
7342,3476
3111,3562
3109,3627
7318,4218
3120,3285
4180,3192
7346,3349
3121,3257
7414,1245
992,3723
1075,1150
7332,3794
7316,4290
992,3724
7337,3638
1078,1059
7326,3977
3125,3141
3118,3358
6371,821
6384,418
7411,1348
6385,386
3126,3112
3191,1097
3115,3453
3125,3142
4160,3829
3126,3113
7346,3367
7321,4142
3127,3085
3191,1100
3127,3084
3191,1103
7339,3588
3188,1198
7320,4176
7339,3587
1080,1010
1072,1258
7422,1013
3121,3277
7320,4182
6369,895
3187,1232
6369,892
3111,3591
4150,4149
2064,3282
7419,1115
3121,3285
7323,4097
7422,1028
1010,3190
1093,618
1010,3191
7346,3382
7320,4188
4244,1246
7330,3881
3120,3324
3118,3385
6388,320
7346,3396
3119,3358
7323,4108
7334,3767
7318,4263
3110,3639
3128,3084
1080,1035
7320,4205
7341,3554
7415,1260
3128,3085
7351,3242
6373,792
7331,3862
6384,451
1097,512
3115,3491
7323,4117
7324,4086
7332,3836
6378,642
3189,1198
7328,3959
2062,3370
7321,4183
7326,4026
7412,1360
6387,367
1097,520
1072,1295
7437,590
3127,3128
1093,647
3108,3720
3119,3378
1010,3223
7352,3228
7353,3196
7334,3792
7341,3574
3119,3385
7341,3573
1072,1306
992,3787
3121,3324
7320,4229
3111,3639
7337,3706
3126,3177
3208,635
4175,3427
3187,1291
3116,3491
6367,1016
7422,1078
3045,5694
7342,3557
7412,1387
3119,3403
7354,3192
3006,6905
3112,3622
7326,4064
7351,3289
3128,3127
7337,3722
7415,1304
3127,3161
7346,3442
7352,3256
7346,3441
4159,3940
4151,4189
7437,625
7344,3508
7350,3325
7337,3728
7437,635
6384,510
4158,3980
7435,696
1080,1097
6384,512
3126,3207
987,3981
7327,4046
7346,3464
7351,3309
1080,1100
7326,4081
3115,3555
1080,1103
7326,4088
3110,3709
3207,705
7320,4272
6384,520
3187,1324
7351,3310
7340,3651
6385,488
3110,3714
3127,3187
7355,3192
3113,3622
7320,4282
3208,682
3129,3130
3128,3161
3188,1301
7357,3132
7351,3318
6369,992
7414,1369
3126,3232
6385,505
7325,4133
7419,1219
7358,3109
6367,1062
1010,3293
7329,4014
1078,1187
7346,3486
7329,4012
4173,3551
3125,3271
7350,3366
6378,729
7335,3830
6388,426
1100,512
1010,3302
7334,3867
3111,3709
3108,3801
6388,423
3116,3555
7359,3096
7337,3777
7352,3311
6367,1085
7415,1365
3128,3187
3111,3714
992,3868
1100,520
7412,1457
7323,4215
3189,1301
7337,3787
3130,3129
7324,4189
7419,1242
4175,3509
7411,1495
7337,3794
7332,3948
7323,4227
7413,1443
6388,450
7360,3086
7358,3146
7359,3115
7352,3332
7428,982
3119,3489
7321,4303
7419,1265
7341,3683
6378,768
7435,768
7321,4302
7437,705
7346,3532
7352,3346
7326,4151
7352,3345
6373,926
7356,3221
7414,1421
6381,676
7341,3684
7329,4063
5319,837
1010,3344
6369,1052
4155,4156
3186,1428
7329,4064
2069,3289
7344,3604
3186,1434
3111,3761
4182,3325
7337,3825
7352,3360
1012,3295
7453,235
7337,3830
3120,3486
7341,3705
7361,3091
7416,1386
1976,6183
7322,4299
6367,1135
7346,3553
3133,3089
7323,4273
3133,3088
3119,3527
3188,1388
3127,3281
7332,3996
7323,4275
6385,585
3122,3435
7342,3692
7437,747
6370,1056
1004,3560
1010,3374
6386,559
1004,3561
7339,3783
6373,961
7339,3782
7422,1216
7437,750
4156,4155
3132,3133
7337,3848
1085,1057
2054,3788
7341,3728
3217,505
7361,3113
3134,3081
3121,3486
7342,3705
6369,1100
3132,3148
7336,3898
7336,3897
1103,512
4247,1350
7346,3586
7346,3585
7440,677
1072,1477
7336,3906
3189,1388
7352,3409
6378,835
1103,520
7346,3594
7350,3470
3128,3281
7358,3221
7336,3909
7414,1490
7342,3722
7353,3380
3133,3132
7361,3138
7437,781
6384,662
5247,3141
7327,4195
7326,4226
3134,3107
998,3789
7352,3426
1078,1313
998,3793
3132,3176
7337,3895
7332,4050
3132,3175
3126,3361
7360,3181
4168,3827
1072,1501
1004,3612
6388,549
7455,239
6374,982
7335,3959
7346,3617
7351,3468
6373,1018
7327,4211
3120,3557
7326,4248
6388,555
3130,3253
7335,3972
7359,3227
3109,3909
7332,4070
7453,318
3135,3105
7351,3479
6388,564
3135,3104
3127,3352
1010,3445
6390,505
3115,3731
3115,3730
3108,3950
7453,325
3108,3949
2168,321
7341,3803
7346,3647
6377,918
7350,3528
1093,885
1004,3644
3127,3369
3127,3368
7357,3308
7422,1293
7341,3804
7332,4090
4165,3963
7419,1392
7326,4273
7339,3876
4165,3964
6377,935
7455,283
7453,344
6373,1056
3136,3104
3128,3352
7357,3325
3135,3136
3136,3105
7349,3579
7326,4292
7356,3362
7346,3671
3116,3730
7346,3670
7342,3794
3135,3143
3116,3731
7326,4295
7350,3551
7357,3333
6377,945
3135,3144
7349,3580
7357,3332
6367,1254
2076,3208
7335,4021
7422,1322
7341,3832
3128,3368
7332,4117
7330,4179
7330,4178
7348,3620
3128,3369
3120,3617
7350,3557
3127,3403
4166,3963
7435,929
4166,3964
1010,3495
7346,3686
7453,369
5247,3219
7351,3530
3133,3220
3135,3163
7437,875
7362,3200
3135,3162
7437,874
7362,3199
3117,3723
3134,3198
7339,3917
3134,3197
3136,3135
3117,3724
6272,4225
7332,4133
7352,3513
7337,3976
7455,318
7361,3232
7338,3952
7358,3332
3132,3265
3136,3144
3136,3143
7342,3830
7358,3334
7358,3333
7453,393
3121,3617
4164,4053
7346,3715
7422,1359
7332,4148
4164,4052
4265,926
3128,3403
7351,3564
2966,8428
7342,3842
6370,1206
7342,3841
3126,3469
3126,3472
4186,3377
7346,3722
7333,4131
7346,3727
6377,998
7353,3509
7335,4066
6373,1120
7358,3360
7350,3607
7437,909
6377,1001
3137,3138
3133,3265
7356,3426
7346,3734
7358,3362
2004,5497
7337,4012
7455,354
7337,4019
7358,3367
3134,3240
7350,3614
6377,1009
1025,3084
2056,3892
3134,3241
3135,3210
1025,3085
7349,3650
7341,3898
7349,3649
6378,982
3133,3274
7353,3524
3115,3835
1114,330
7337,4026
7341,3906
3120,3686
7357,3409
7337,4028
7437,935
7329,4282
1012,3501
6272,4280
6157,7845
6388,684
8423,3141
7339,3977
3218,653
7450,535
3117,3787
7435,998
4162,4163
7342,3888
3134,3261
3138,3137
7329,4290
