district_represented_1,district_represented_2
5106,5164
5106,5161
5171,5195
5171,5200
5173,5142
5106,5172
5106,5169
5171,5203
5106,5175
5109,5086
5173,5148
5173,5154
5109,5090
5106,5181
5106,5187
5109,5095
5109,5093
5109,5098
5109,5099
5109,5103
5173,5164
5109,5101
5109,5107
5109,5105
5173,5169
5109,5110
5109,5108
6297,5145
7981,51
5176,5086
5109,5112
5109,5113
5109,5118
5176,5090
5173,5181
5176,5093
6726,51
13513,10833
5109,5126
5176,5098
5176,5095
5109,5124
5176,5101
5109,5131
5176,5105
5176,5103
5176,5110
5176,5107
5176,5108
5176,5113
5109,5142
5176,5112
5176,5118
5109,5150
5109,5148
5109,5154
5111,5093
5176,5126
5109,5152
5176,5124
5109,5156
5111,5095
5176,5131
5109,5161
5109,5164
5111,5103
5176,5142
5109,5169
5111,5107
5111,5112
5109,5175
5109,5172
5111,5110
5109,5182
5176,5154
5111,5118
5109,5181
5109,5187
5111,5126
5176,5164
5176,5169
5176,5172
5176,5175
5111,5142
5176,5181
7622,5136
5179,5095
5178,5132
5111,5164
5111,5169
5179,5112
5178,5146
5111,5181
5114,5088
5114,5086
13515,10891
5114,5092
5114,5095
5114,5099
5179,5136
5114,5101
5114,5107
5114,5108
5114,5105
5178,5170
5114,5112
5114,5110
5178,5174
5114,5113
5178,5177
5114,5119
5114,5118
5179,5157
5178,5185
5114,5128
5178,5189
5114,5126
5114,5131
5178,5195
5178,5200
5114,5136
5178,5203
5178,5204
5114,5143
5114,5144
5114,5141
5178,5206
5116,5086
5114,5148
5114,5145
5114,5152
5116,5090
5116,5088
5114,5150
5116,5093
5114,5156
5116,5092
5116,5098
5116,5095
5114,5157
5116,5101
5114,5164
5116,5099
5116,5105
5116,5103
5116,5110
5116,5107
5116,5108
5116,5113
5116,5112
5116,5117
5116,5118
5116,5115
7891,5112
5116,5119
5114,5187
5116,5126
5116,5124
5116,5128
5116,5131
5116,5136
5116,5141
5116,5142
5116,5145
5116,5143
5116,5144
5116,5150
5116,5148
5116,5154
5116,5152
5116,5157
5116,5158
5116,5156
5116,5161
5116,5164
5116,5169
5116,5167
5116,5172
5116,5175
7827,5103
5116,5181
5116,5182
5116,5180
5116,5183
5116,5184
13509,5093
5116,5187
5116,5194
5116,5192
5116,5202
5116,5209
13509,5118
5120,5086
5186,5086
5120,5090
5186,5090
5186,5095
5120,5093
13510,5095
5186,5093
13510,5093
5120,5098
5120,5095
5120,5101
5186,5103
13052,11110
5186,5101
5120,5105
5186,5107
5186,5108
5120,5103
5186,5105
5120,5110
5186,5112
5120,5107
5186,5110
5120,5108
5120,5113
13509,5154
13509,5152
5120,5112
5121,5086
5120,5118
5186,5118
5186,5124
5120,5126
5121,5095
5186,5126
5121,5093
5120,5124
13509,5169
5121,5103
5120,5131
5121,5107
5121,5110
5120,5142
5121,5108
5186,5142
5188,5086
5121,5112
5121,5118
5188,5090
5122,5086
5188,5093
5120,5154
5122,5092
5186,5154
5121,5126
5122,5095
5188,5095
5186,5164
5122,5101
5188,5103
5120,5164
5120,5169
5122,5107
5186,5172
5188,5110
5122,5108
5188,5107
5122,5105
5186,5169
5188,5108
5186,5175
5121,5142
5122,5112
13509,5207
5120,5172
5188,5112
5188,5118
5120,5175
5120,5181
5186,5181
5123,5086
13514,11201
5122,5118
5121,5154
5123,5093
5188,5126
5123,5090
5188,5124
5123,5095
5123,5101
5123,5098
5122,5136
5123,5105
5121,5164
5123,5103
5123,5108
5188,5142
13510,5209
5121,5169
5123,5107
5123,5112
5122,5143
5123,5113
5123,5110
5122,5141
5122,5148
5190,5086
5188,5154
5122,5152
5123,5118
5121,5181
5190,5095
5123,5124
5190,5093
5123,5126
5122,5157
5190,5103
5122,5164
5188,5164
5123,5131
5190,5107
5188,5169
5190,5108
5190,5112
5190,5110
5123,5142
5188,5181
5125,5086
5191,5086
5190,5118
108,11110
5125,5090
5191,5093
5190,5124
5122,5187
5125,5095
5123,5154
5190,5126
5125,5093
5191,5095
5125,5098
5123,5161
5123,5164
5125,5103
5125,5101
5191,5103
5191,5108
5125,5107
5123,5169
5125,5105
5191,5107
5191,5112
5125,5110
5123,5172
13516,5090
5125,5108
5191,5110
5190,5142
7997,51
5190,5148
5125,5112
5125,5113
5123,5175
5125,5118
5123,5181
5191,5118
5190,5154
5125,5126
5125,5124
5191,5126
5123,5187
5190,5164
5125,5131
5190,5169
5125,5142
5191,5142
5193,5086
5193,5090
5127,5086
5190,5181
5125,5154
5127,5093
5193,5095
5191,5154
5193,5093
5127,5095
5191,5164
5193,5103
6646,5113
5193,5107
5191,5169
5125,5164
5127,5103
5193,5110
5127,5108
5193,5108
5125,5169
5127,5107
5127,5112
5125,5175
5125,5172
5127,5110
5193,5112
5193,5118
5191,5181
5127,5118
13052,5207
5125,5181
5193,5126
5127,5124
5193,5124
5127,5126
7835,5150
5722,5124
5193,5142
5127,5142
5127,5148
5129,5086
5193,5154
5129,5095
5129,5092
5127,5154
5127,5164
8397,51
5193,5164
5129,5101
5127,5169
5129,5107
5129,5105
5193,5169
5129,5110
5129,5108
5129,5112
5129,5113
5129,5118
5130,5088
5127,5181
5130,5086
5193,5181
5130,5092
5130,5090
5130,5095
5196,5095
5130,5099
5129,5131
5129,5128
5130,5098
5130,5101
5130,5107
5130,5108
5130,5105
5129,5136
13319,5200
5130,5112
5129,5143
5129,5141
5130,5110
5196,5112
13052,11441
5129,5144
5130,5113
5129,5145
5130,5119
5130,5117
5129,5148
5130,5118
5197,5095
5129,5152
5197,5093
5130,5128
5129,5157
5130,5126
5130,5131
5197,5103
5130,5136
5197,5107
5129,5164
5196,5136
5197,5110
5130,5143
5130,5144
13052,11462
5130,5141
5197,5112
5130,5142
5197,5118
5130,5148
5130,5145
5198,5086
5196,5148
5130,5152
13052,9422
5198,5090
5130,5150
5197,5126
5198,5095
5196,5157
5129,5187
5130,5156
5198,5093
5130,5157
5130,5158
5198,5103
5130,5164
5130,5161
5198,5107
5130,5167
5198,5108
5197,5142
5130,5172
5198,5112
5198,5110
5130,5175
13513,11538
108,5207
5198,5118
5197,5154
5130,5183
5198,5124
5130,5187
5199,5095
5198,5126
5130,5192
5197,5164
5130,5194
5197,5169
5199,5112
6719,5095
5198,5142
5134,5088
5197,5181
5134,5086
5134,5092
5134,5090
5198,5154
5134,5095
5134,5093
13052,9495
5134,5099
6644,11538
5198,5164
5134,5098
5199,5136
5134,5103
5133,5132
5134,5101
5134,5107
5134,5108
5198,5169
5134,5105
3149,5202
5134,5112
5134,5110
5134,5115
5133,5146
5134,5113
5134,5119
5135,5086
5198,5181
5134,5117
5134,5118
5134,5124
5135,5093
5199,5157
5135,5090
5126,9465
5134,5128
5134,5126
5135,5095
5134,5131
5135,5101
5135,5098
5135,5105
5134,5136
5135,5103
5135,5108
5133,5170
5135,5107
5135,5112
5134,5143
5133,5174
5134,5144
5134,5141
5135,5110
5134,5142
5134,5148
5134,5145
13509,11756
5133,5177
5134,5152
5135,5118
5134,5150
5135,5124
5134,5156
5133,5185
5134,5154
5135,5126
5134,5157
5133,5189
5134,5158
108,11462
5133,5195
5134,5164
5201,5132
5134,5161
8043,5095
5135,5131
5134,5167
108,9422
5133,5203
5134,5172
5134,5169
5133,5200
5133,5206
5201,5146
5134,5175
5135,5142
5133,5204
5137,5086
5134,5180
5134,5183
5134,5184
5134,5181
5134,5182
5134,5187
5137,5095
5137,5092
5135,5154
5134,5192
5137,5099
7647,5112
5135,5164
5134,5194
5137,5101
5201,5170
5137,5107
5135,5169
5137,5105
12800,5124
5135,5172
5137,5110
5201,5174
5137,5108
5134,5202
5137,5112
5201,5177
5135,5175
5137,5113
5137,5118
51,5086
5138,5088
5135,5181
5134,5209
51,5088
5138,5086
51,5090
5138,5092
51,5092
5138,5090
5201,5185
51,5093
5138,5095
51,5095
5138,5093
5201,5189
5138,5099
51,5098
5137,5131
5201,5195
51,5099
5137,5128
5138,5098
12800,5148
14123,5095
51,5101
5138,5103
13395,5132
14123,5093
51,5103
5138,5101
51,5105
5138,5107
5138,5108
5201,5203
51,5107
5138,5105
5137,5136
5201,5200
51,5108
14123,5103
5201,5206
51,5110
5201,5207
5137,5143
5138,5112
5201,5204
51,5112
5138,5110
5137,5141
51,5113
5138,5115
14123,5112
51,5115
5138,5113
5137,5144
14123,5110
5137,5145
12800,5164
51,5117
5137,5150
5138,5119
108,9495
51,5118
51,5119
5139,5086
5138,5117
5137,5148
13395,5146
5138,5118
14123,5107
5138,5124
5205,5095
5139,5093
5137,5152
14123,5118
51,5124
51,5126
5138,5128
51,5128
5139,5095
5137,5157
5138,5126
5138,5131
51,5131
14123,5126
12800,5180
5138,5136
5137,5164
51,5136
5139,5103
5139,5108
13395,5177
5205,5108
13395,5174
5139,5107
51,5141
5138,5143
5139,5112
51,5142
5138,5144
51,5143
5139,5110
5138,5141
5205,5112
13395,5170
12800,5183
51,5144
5138,5142
51,5145
5138,5148
13395,5185
5138,5145
14123,5142
51,5148
51,5150
5138,5152
5139,5118
51,5152
5138,5150
5139,5124
51,5154
5137,5187
5138,5156
51,5156
5138,5154
5140,5092
51,5157
51,5158
13395,5189
5140,5095
5138,5157
5139,5126
5138,5158
51,5161
5140,5101
13395,5200
5138,5164
5138,5161
51,5164
5140,5105
5138,5167
51,5167
5205,5136
13395,5195
51,5169
5138,5172
14123,5169
5138,5169
5140,5107
13395,5206
13529,5148
51,5172
5140,5108
5138,5175
14123,5164
13395,5204
51,5175
5139,5142
5140,5112
13395,5203
5139,5148
5140,5118
5138,5180
5205,5148
51,5180
51,5181
5138,5183
51,5182
5138,5184
51,5183
5138,5181
51,5184
5138,5182
5138,5187
51,5187
5139,5154
13529,5164
5205,5157
5138,5192
14123,5181
51,5192
5139,5164
51,5194
5138,5194
5139,5169
5140,5136
51,5202
13529,5183
13529,5180
5138,5202
5140,5143
51,5209
5139,5181
5138,5209
5140,5148
5140,5152
5140,5157
5208,5095
13509,9923
5140,5164
5208,5112
5140,5187
6729,5090
5208,5136
5208,5157
5210,5095
5210,5112
5210,5136
13514,9859
5210,5157
13052,9870
5343,5156
5149,5086
5147,5146
5149,5090
5149,5095
5149,5093
5149,5098
5149,5099
5149,5103
5149,5101
5149,5107
5149,5105
5149,5110
5147,5170
5149,5108
5147,5177
5149,5112
5147,5174
5149,5113
5149,5118
5147,5185
5149,5126
5147,5189
5149,5124
5149,5131
5147,5195
5147,5200
7793,5095
5149,5142
5147,5203
6670,5093
5149,5150
5149,5148
108,9870
5149,5154
5149,5152
5149,5156
5151,5095
5149,5161
7661,5112
5149,5164
5149,5169
5151,5112
5149,5175
5149,5172
5149,5182
5149,5181
5149,5187
5151,5136
5087,5086
5151,5157
5087,5093
5153,5095
5087,5090
5153,5092
5087,5095
13514,10102
5087,5101
5087,5098
5153,5101
5087,5105
5153,5107
5153,5105
5087,5103
5087,5108
8258,5112
5153,5108
5087,5107
5087,5112
5087,5113
5153,5112
5087,5110
5153,5118
5087,5118
5087,5124
5087,5126
13052,10117
5087,5131
5153,5136
5153,5143
5153,5141
13523,9859
5087,5142
5089,5086
5153,5148
5155,5092
5089,5090
5153,5152
5089,5088
1058,5124
5089,5095
5089,5092
5087,5154
5155,5095
5153,5157
5089,5098
5089,5099
5155,5101
5087,5161
5087,5164
5155,5105
5089,5103
5153,5164
5089,5101
5155,5108
5087,5169
5089,5107
5089,5105
5155,5112
5089,5110
5087,5172
5089,5108
5089,5115
5089,5112
5089,5113
5087,5175
5089,5118
5087,5181
5089,5119
5089,5117
