produced_by_1,produced_by_2
2829,6255
2986,5483
2650,7716
2794,3254
3046,3634
2105,4137
2410,6972
2410,6971
2387,3588
6106,7091
1608,3172
2598,5256
2514,3763
5980,6913
1686,768
1705,4275
2113,3921
2545,6913
5803,4228
5478,6120
1862,3528
1858,7749
5689,3677
1855,3752
3063,3171
5424,7804
1721,7922
5695,3510
1884,6970
1991,7749
2258,3569
2389,3604
1863,3528
1868,3375
2262,3450
1868,3376
1599,3527
2148,6990
1929,1495
6082,7923
2386,3717
5586,6924
2659,3450
2284,6883
6164,5388
2522,3604
2042,6200
5566,3450
5443,3172
1020,1021
5590,6806
5701,3375
5452,6999
2925,3418
1869,3388
2777,3915
1730,3604
5708,3169
1717,4009
2246,3995
2785,3673
1886,6966
5252,923
2509,4038
2915,3742
5816,3926
5966,3370
2936,3096
1689,792
2336,5311
2900,4213
2800,3219
2658,3528
2288,6806
1990,3758
2242,4137
1730,3637
1606,3388
3030,4302
2255,3752
3030,4303
2731,5388
2185,5933
2538,3193
5302,3528
2388,7845
2569,6330
2519,3789
2889,510
2991,5543
2175,6268
1730,3680
2125,3725
2729,1384
2125,3726
2784,3780
2554,6818
2124,3763
2271,3305
2912,3915
5706,3318
2258,3718
2258,3717
5593,6832
1595,3796
2897,301
2506,4231
5640,5388
2937,3169
5326,6935
2416,7035
2126,3742
2658,3637
2157,6883
2307,6330
5720,7029
2141,3291
2655,3742
1758,6975
3048,3850
2803,3253
1783,6200
2837,6310
2674,3171
5319,3095
5587,7080
5596,6806
3041,4095
2263,3637
2658,3680
2269,3450
2953,6822
2160,6832
5842,3291
2915,3918
2156,6970
3048,3902
2951,6913
2523,3796
5428,3856
2253,3978
5459,6996
1864,3752
1596,3871
2952,6892
3063,3450
2263,3680
6093,3733
2026,6940
1894,6935
6617,3894
5565,3742
1968,559
5334,6806
2246,4234
2190,5969
6112,3171
2556,6913
2662,3637
2513,4163
2513,4162
2910,4145
5408,435
2377,4286
1599,3831
2508,8422
2249,4162
1755,3093
2807,3253
2645,4180
2645,12375
2519,3992
2424,6940
2673,3317
2270,3528
3068,3377
5705,3549
1895,6975
2662,3680
1887,3130
1727,3995
2126,3918
2604,5483
1854,8253
1993,3946
2841,6330
2519,4027
1877,3450
1694,931
2647,4161
2265,3717
1616,3355
1607,3634
2376,8467
2135,7749
2679,3172
1747,3393
2655,3918
3047,4056
2800,3528
2003,3661
1604,3742
2673,3370
2003,3660
6093,3851
2136,3635
2926,3726
5701,3718
5701,3717
2260,3901
1603,3789
1736,3763
2080,5388
5583,3300
1995,3936
2847,6200
1601,3871
2711,6330
5408,548
6112,3300
2297,6883
2538,3510
2782,4137
2319,6202
5544,435
5294,4095
1989,4154
1755,3219
2252,4203
1738,3763
2532,3726
2325,6047
2786,4044
5565,3918
5302,3880
5957,8155
2323,6120
2608,1384
5821,4180
2937,3474
2682,3193
2270,3682
2401,3717
1743,3635
1613,3576
5886,6282
2719,6160
1839,676
2693,6970
1552,5483
2167,6900
5387,5388
2916,8264
2390,4095
2269,3752
2527,3946
1997,3995
3039,369
1634,7063
1770,6945
2697,6883
2949,3171
2271,3711
5692,4162
3005,5543
1604,3918
2681,3300
5474,6832
2820,3092
2923,3995
1742,3742
1624,3305
3069,3569
6112,3450
2802,3660
5504,5918
2927,3889
5709,3660
2686,3170
1859,4231
2686,3169
2064,6069
2817,3208
6130,7001
1727,4234
2516,8447
2422,3172
2422,3171
2567,6874
1603,3992
1945,5684
2937,3604
2687,3169
5706,3786
5323,3376
5689,4320
2920,4154
5916,5483
2818,3219
1603,4027
2820,3172
2820,3171
2553,3261
1622,3450
5595,3169
2542,3604
2936,3677
5595,3170
2697,6996
2832,6912
1620,3528
2874,5626
1872,8016
1617,3637
1882,3615
2494,1034
1944,5796
5592,3305
3062,3915
1891,3355
2128,4202
5741,6884
2398,4023
1882,3637
1874,3889
3068,3742
2950,3305
2150,3532
1613,3796
3062,3936
2005,3938
3059,4032
1617,3680
2525,4210
2011,3763
5838,3915
1961,5316
2677,3604
1742,3918
6050,5543
1882,3680
5613,6806
2147,3660
1740,3995
2530,4085
5930,1086
1899,3170
2073,5969
2956,3171
2809,3637
5705,3978
2729,6120
5705,3979
3056,4180
6134,7067
1636,3145
2945,3528
2559,3208
6059,13505
2741,5768
1756,3538
2804,3820
6137,6999
5864,3171
2461,6268
1567,5311
6110,3742
5709,3891
2809,3680
5949,559
1621,3657
2158,3393
2674,3796
5980,3717
5980,3718
1943,5984
5727,3370
1622,3655
2959,3169
2545,3717
1888,3604
2545,3718
2792,4257
1898,3300
2955,3305
2736,6004
2139,4036
2948,3538
2684,3532
3068,3918
2924,4286
2576,6883
5341,3093
7581,3291
2696,3171
6008,6996
2759,5318
2281,3752
2830,3142
2181,6883
5337,3253
1622,3733
2964,3093
2727,6344
2137,4157
2974,6883
5440,8265
6031,6330
1905,3171
5401,5388
1613,4036
2016,3834
3020,1384
1615,3979
5744,7052
2424,3480
2833,3096
2819,7630
5995,3388
6110,3918
5579,4001
5586,3781
1627,3634
2815,3673
5593,3568
2301,3222
1740,4234
2642,854
2536,4139
5744,7091
1757,3717
1757,3718
2280,3889
5751,6883
2691,3444
1812,6120
2933,4144
5443,4161
2436,3172
2411,3946
2162,3480
2435,3208
2956,3450
1629,3637
1787,6935
2842,7001
2406,4137
1753,3901
1621,3901
2282,3889
3074,8009
5602,3375
1642,3254
1642,3255
2415,3871
2545,3936
5864,3450
2050,6996
5884,6931
1633,3549
2934,4180
5321,3915
2300,3355
2818,3681
1886,3903
1629,3680
2174,3172
2038,3291
2494,1445
2143,4137
1906,3291
5592,3711
2826,3450
2170,3305
2982,6810
2963,3305
2608,6120
2950,3711
2870,6200
5357,6931
5309,4320
2560,3528
5598,3564
1765,3604
2178,3093
2799,4325
3071,4085
2799,4324
2850,6842
1748,4144
2951,3717
2154,3847
2951,3718
2742,6104
3041,931
2289,3763
2703,3219
2041,3264
2673,4154
2903,1120
2882,5872
5319,4056
2389,676
2302,3376
2696,3450
2806,4137
2821,3677
2689,3677
2021,3915
6214,906
2110,5256
2522,676
2556,3718
2556,3717
2011,4231
1959,5847
5878,3142
1909,3305
2160,3718
2160,3717
2434,3417
5576,4320
2278,4163
3059,435
3019,5773
1905,3450
2283,4023
2707,3169
2427,7753
7583,3569
2956,3655
5596,3742
1945,6330
5583,4146
1646,3317
2035,7651
2955,3711
2804,4296
2695,3585
2565,3528
6008,3291
5234,6806
1885,4144
2020,8155
2823,3742
2495,5722
2565,3552
6254,3881
2817,3936
2490,5885
5413,5388
5408,1447
2818,3915
1632,7917
2564,3604
1765,3796
5947,5226
1695,5970
2983,7006
2709,3219
2699,3533
2151,4137
5935,5614
1816,6332
2941,8327
2688,3889
1786,3184
5995,3781
2039,3538
2724,6883
2840,3291
2291,8024
2304,3528
2721,6989
2448,3169
2700,3552
2645,5256
1932,6884
2022,4095
2681,4146
2929,559
2725,6883
2724,6913
2942,4255
2713,3170
2197,6883
2519,998
5596,3918
2445,3305
3075,4257
5495,7063
2068,6810
2758,5907
5344,3564
2450,3172
2450,3171
1911,3501
5879,3376
2026,4036
6164,6832
1687,6356
2355,6128
2824,3880
5467,3871
1987,5256
1921,3208
2823,3918
2044,3496
2044,3495
3027,5796
2992,6883
6030,6914
2860,6883
5321,4320
2288,4137
2879,6298
1764,8097
1654,3317
2559,3936
2992,6900
3012,6282
2170,3711
2331,6914
1633,3978
1899,3926
2424,4036
1905,7841
5506,6806
2824,3936
5630,7063
2448,3318
2833,3677
2831,3742
1837,5885
2971,3510
5469,3903
6132,3834
3873,4231
5618,3393
2623,6129
2601,6810
1782,3528
2430,3921
2977,3355
3020,6120
5330,4144
5345,3676
2967,3673
5357,3309
2067,6996
2956,4020
1773,3834
1766,4056
2203,6892
2309,3606
2234,5933
2451,3305
2458,3096
2438,3726
2304,3786
2834,3742
2431,3946
2186,3355
8501,4210
2978,3388
2424,4180
1520,3533
3050,5256
1778,7825
717,3852
2707,3604
5352,3528
2972,3588
2573,3669
2730,6996
1784,7651
5598,4107
2423,4231
1635,4085
2496,6069
2734,6883
2972,3604
2424,12400
5373,6996
2314,3528
2578,3538
1925,3300
1603,998
1898,4146
2308,3726
1701,6160
2299,4023
1774,3913
2180,3615
2831,3918
2957,4137
6137,3871
2029,4240
2985,3289
5884,3533
1656,3528
2312,3673
1657,3501
6014,3604
2337,7001
217,3096
2958,4144
1646,3856
2572,7917
2302,4001
3047,1390
2726,3151
2190,3388
2542,676
2966,3915
5911,6832
2971,3764
5596,4313
5613,3786
2834,3918
2986,3305
2853,3337
2298,4157
2603,6990
1684,6810
2708,3742
1918,3655
2062,3291
2445,3711
2588,3376
2320,3496
2398,1078
1945,6931
5363,3375
2973,3742
1916,3742
1911,3903
5513,6931
5275,6120
1805,3096
1534,3305
2173,3979
1796,3377
2031,4287
2584,3530
2196,3271
2231,6284
1734,5311
2709,3758
2829,4144
3007,6818
1770,4210
1932,3291
2585,3528
2677,676
2873,6892
2477,6883
2989,3300
2722,3388
5485,7845
2495,6330
2457,3418
2744,6819
1650,3871
2637,6047
1641,4157
2406,926
3006,6905
2582,3674
2584,3612
1795,3496
6008,3978
2979,3673
5745,3940
5888,3604
1542,3169
1920,3742
2568,4137
2716,3655
5344,4107
2970,3981
2311,3936
1690,6810
2192,3538
1600,5507
2611,6935
2311,3946
5368,3388
2313,3891
1653,3871
2344,7027
2041,4137
1916,3918
2973,3918
2060,3552
1917,3889
2262,1387
2324,3564
2981,3677
2861,3305
5363,3569
2050,3871
2337,3169
2337,3170
2978,3781
6137,4162
1806,3255
2517,5796
1976,6183
2590,3538
5506,3255
2062,3528
1659,3733
5603,8446
2314,3913
1928,7689
2086,6892
2305,4203
2305,4202
6338,6160
5654,6884
5788,6829
1664,3604
1678,3171
213,7630
2081,7067
5888,3742
5738,4293
2180,4001
2599,3300
201,12103
5949,5950
2193,3606
6027,3538
2350,6940
217,3450
1796,7749
2321,3763
5526,6806
2484,6903
1647,12375
1532,7749
2607,3096
2589,7753
1916,4042
1920,3918
2728,3450
5674,6330
2052,8024
2055,3834
2605,3171
2182,3995
5620,3915
2574,4144
2594,3528
1933,3538
5906,3253
2241,6282
1691,6950
3048,5850
1659,3852
2064,3585
5247,3219
2853,3709
2489,6811
2489,6810
2751,6883
2458,3677
2997,3355
2091,6866
1914,8265
2713,3979
2986,3711
1911,4275
2726,3585
1689,7063
2188,3881
5261,6931
6161,3604
5612,4250
5629,3726
6178,3096
1648,4264
6157,7845
3016,6913
1621,1009
2604,3305
1534,3711
2310,4231
2722,3752
2971,8323
5888,3918
1532,3786
5372,7630
2049,4144
5396,6884
1831,6810
1831,6811
2375,6330
6059,6824
1765,676
2724,3718
2843,4125
2724,3717
3004,3232
2722,3781
2330,7743
1669,3660
1669,3661
5905,3416
3021,6806
5905,3417
2838,4293
1553,3172
2199,3628
1788,4085
2755,6880
2613,3093
2595,3655
2875,3171
2204,3496
2579,4162
2056,3995
6143,4275
2193,3858
2004,5626
2478,3219
5758,3938
5504,7716
2781,6120
1951,3179
3066,1384
3019,6936
2528,5773
2886,6966
2854,3871
2621,7001
2987,3852
2061,3889
2182,4234
2469,3530
2851,3978
5368,3781
2534,5626
2643,6344
1698,6970
2876,3219
1552,3305
2735,3501
5766,3752
6161,3796
1814,3388
2605,3450
2811,5256
6029,7900
1537,3796
1742,5638
2260,5969
2168,632
5363,3989
2254,6160
1939,3637
2861,3726
2183,4264
5904,3604
1919,8365
1831,6996
2469,3612
2062,3946
2732,3655
1796,8096
2592,3901
2718,4095
2329,3871
6066,6806
5637,3726
2790,5968
2728,3796
2424,931
1939,3680
1881,1384
1792,4144
2756,7027
5499,3915
6576,3300
1673,3742
2858,3871
5637,3742
2878,3253
2140,5657
5653,3253
2992,7923
5916,3305
1925,4146
2870,3528
2173,559
5795,7063
2894,6883
2184,4320
2474,3530
2342,3528
5227,4202
2055,4232
2894,6900
5254,3380
1865,6047
2206,3673
1674,3786
2056,4234
5387,3376
2072,3742
5658,3172
5319,1390
2450,8411
5408,6827
2760,6999
2857,3995
2075,3660
1996,6116
2821,1021
2716,4275
2921,6116
2268,5885
5467,926
2336,3781
1549,3604
1962,3092
1948,3528
1753,1384
5506,7923
2474,3612
2500,6901
5408,6870
2266,5969
3008,3450
2466,3871
2475,3594
2213,3530
5396,3169
5396,3170
2984,4213
2455,4231
2342,3637
2604,3711
2079,3604
2236,6940
5392,3318
1673,3918
5637,3918
2591,4139
2358,3172
2358,3171
2880,3376
2618,3305
2201,3946
1935,4001
2744,3501
2057,4320
2750,3317
2342,3680
2502,6913
2141,5819
2988,4137
3029,6966
2391,6268
2869,3742
2607,3677
1674,8024
5252,3604
1668,12326
5527,3291
2989,4146
6184,3418
2745,3528
2072,3918
1545,3871
2079,3709
2748,3450
5252,7749
2993,8155
2865,8029
1683,11903
1926,8467
2634,6999
2194,4257
2994,4036
2083,3604
2882,3417
1827,3355
1847,6832
2142,5885
2462,4157
1934,4144
3016,3375
2563,1034
2362,3171
2473,7922
1552,3711
1714,6883
5281,6900
6178,3677
1702,3171
1702,3172
5252,3717
2537,5969
1763,5388
2074,3940
1844,6975
2231,3170
5252,3733
1709,7069
2200,4135
2626,3219
2203,4044
6198,3082
648,3103
2742,3726
6192,3271
2899,7052
2202,4085
1817,3733
2093,3375
2866,8097
1873,6116
2602,8097
5652,3660
1694,3480
2869,3918
1824,3549
2899,7091
5927,3337
3031,7094
1579,7052
2479,3733
2213,3786
5469,5256
2115,6832
2755,3376
2074,4010
6044,3820
3001,3946
1969,3171
1969,3172
2871,3889
1816,3826
2104,3096
3036,6975
5916,3711
1750,5885
2482,3673
1579,7091
2599,4146
2402,6160
1689,11880
5394,3528
2858,4320
2875,3796
5816,6832
2264,6356
1542,4162
1699,3393
2092,7599
1937,8311
1556,3742
1834,3318
2744,3784
2671,6047
2778,6832
6082,6806
2354,7689
5380,4001
2775,6931
5635,4296
5271,3291
1966,3351
5792,3528
6177,3881
6166,4228
3066,6120
1560,3655
2038,5224
2353,7749
1575,3195
5927,3450
5274,3219
2487,3602
2774,6996
1766,1390
2930,6268
1969,3291
1816,3938
2209,4044
1570,3375
2596,8435
5938,3142
5927,3488
5774,4137
2011,6104
5403,3355
2093,3569
2616,3742
2606,4051
1698,3533
1555,3870
2084,3856
6211,6990
2121,6810
1805,4320
2119,6874
1983,6996
2782,6806
1826,3673
5579,6116
1839,3273
2214,3938
2359,3538
2362,3450
5774,4180
5809,3093
2618,3711
5804,3254
5526,3677
2208,4137
1830,3569
1686,3937
3008,3915
2356,7743
2353,3742
2780,6892
2515,6914
2748,3796
2101,3375
2833,5259
1988,6880
2776,7027
5801,3370
1962,7689
1705,3370
2215,3944
2519,6811
2519,6810
5888,676
2077,4137
1881,6120
2754,3634
5948,7019
1712,3170
1556,3918
2547,5969
3016,3718
3016,3717
1838,3376
6051,3847
1977,3169
2494,3528
1842,3264
2097,3552
2889,3576
1719,7080
5274,3375
2013,6160
2638,3172
2087,3871
5413,3170
2486,3796
5413,3169
2891,3528
2348,8076
2210,4162
6302,4293
2889,3606
2386,6913
5526,3786
3013,3871
2100,3501
1548,4232
1548,4233
5685,7063
2563,1445
2417,5970
5663,7743
2587,705
2258,6810
2110,3208
2258,6811
5811,3171
2616,3918
2965,5388
2744,4047
5561,6832
2907,3093
2373,3264
2212,4163
2043,5311
1664,676
2301,1411
2274,6344
2999,8446
2825,5657
2352,3941
2230,3634
2353,3918
