adjoins_1,adjoins_2
9574,9834
11441,5207
11361,11778
10196,11040
10111,9580
5099,5202
164,6639
9881,8513
10976,11431
6717,111
10979,11352
10078,10618
10613,10419
10444,11561
9222,8477
5101,5161
111,109
10050,11493
10979,11366
9200,9173
10843,11489
11158,9911
9317,9648
10197,11040
11160,9859
51,10172
11166,9676
5101,5172
5103,5110
8496,10526
9221,8526
10117,9422
5103,5118
5090,9617
112,98
10625,10064
10386,5187
9834,10012
10068,10959
10630,9921
11298,9689
6639,6668
5203,10222
114,47
8522,9732
10783,5187
11713,9125
9911,11740
6717,156
6679,9532
9154,10640
5105,5086
5105,5090
10336,10867
11306,9466
33,6679
5103,5164
11143,10433
10642,9590
6717,190
11665,10640
10728,11018
10737,10738
11815,10099
11406,10489
10781,9384
10854,11220
10988,11162
11366,11732
9588,9506
9732,9131
11813,10156
116,33
111,190
9540,10996
34,6679
114,104
11045,9409
11781,11169
156,11092
10577,11628
10838,11732
11441,9422
10598,10979
9192,9506
5187,10783
10634,9859
9317,9732
10524,9180
11420,10076
10738,10737
11134,10757
10500,9946
5107,5095
114,136
118,14
9600,9181
118,17
9676,10916
167,6691
117,51
166,6725
10222,10386
34,6725
5107,5112
5105,5175
9398,11362
10337,10923
11515,11269
5105,5187
9973,14026
10613,10564
10222,10400
5108,5095
11306,9563
10073,10923
11381,11345
114,169
6725,34
10839,11758
6642,6702
9529,11420
9409,11045
6643,6676
9125,11658
9538,11138
5107,5142
9333,9302
5108,5112
9822,10528
9192,9588
116,126
170,6644
116,128
5187,10863
5108,5126
11119,11298
11290,10096
10214,10677
11420,10155
9600,9244
5108,9227
11008,10648
10514,9578
10021,8476
10084,10620
10190,11431
9207,9137
11778,11361
6643,6717
11503,11706
9694,10444
9302,10301
9173,10204
6642,6750
5110,5093
8525,9827
6725,90
11377,11522
5110,5103
9125,11713
6644,6700
11770,11634
169,6725
9410,11077
9839,10069
172,6639
10222,10480
118,126
118,127
11634,11770
6725,114
9839,10073
10630,10127
10582,11615
6750,11631
11706,9548
5110,5136
10349,10666
9957,10525
10618,10516
11777,11450
41,6632
11808,10502
9600,9312
9732,9317
6725,136
11219,97
10914,9551
11636,11739
10976,11719
10226,10406
11384,11371
123,11
5112,5095
40,6681
9806,11140
5110,5164
10609,10816
9859,9491
11242,11676
10377,9819
9295,10602
9398,11508
9819,10745
122,54
11189,9228
5112,5107
5112,5108
11446,9466
6725,166
10377,9839
184,10426
5113,5086
6777,6750
124,1
6725,169
9960,10483
122,65
9865,9333
5113,5088
5112,5126
6725,176
122,74
9311,10131
6647,6700
9462,9543
122,79
11377,11619
6647,6705
8525,9928
5112,5142
10068,11246
11281,10514
10131,9311
123,68
10092,10516
5113,5124
9551,10914
10618,10605
10078,10963
10426,170
123,85
10426,184
11795,10988
9860,9543
11269,10923
120,185
124,61
10386,9617
120,188
10625,10403
44,6644
5113,5152
9333,9506
11027,10240
10295,170
126,14
11274,10781
11781,11450
10773,14026
5113,5161
9732,9434
126,17
10599,11223
10910,9776
124,81
9732,9430
10979,11732
9676,11166
9563,10582
9732,9439
8513,10365
11646,11548
126,23
5113,5175
9165,10642
9973,10170
126,33
11119,11503
11522,11300
5113,5184
11190,9312
124,108
5113,5192
11530,11068
117,8525
9815,10996
11300,10012
177,6668
44,6700
5093,14027
10092,10605
5117,5092
10242,10064
10378,9937
9870,5207
11562,10099
127,45
9580,10111
176,6725
127,52
10076,11117
11245,11742
126,90
10504,10156
11024,10419
128,33
9333,9588
10731,11306
11167,10078
10868,11158
5118,5095
10371,10190
126,104
10916,9676
10117,9870
9578,10205
5118,5103
5115,5200
11522,11377
10598,11352
6734,66
126,116
126,118
5117,5143
10655,9594
127,89
11706,9777
9865,9506
10337,11269
9162,10832
9938,11352
10120,9800
9834,10476
10361,10533
5117,5158
10403,9232
11007,10983
10127,9590
10172,3
11092,156
10172,5
6734,90
5117,5167
10172,11
10761,10425
125,179
181,6636
127,118
131,5
5117,5184
11197,9215
127,132
5118,5164
10266,9424
126,178
11645,11724
9563,10731
128,116
11285,10609
11269,11105
11777,11742
11441,9870
10172,51
10988,11619
5117,5209
9839,10377
9870,9422
10078,11167
5119,5158
11797,11138
127,170
11431,10190
9193,9948
131,58
10465,11485
11018,10728
9600,9626
11777,11781
11410,10867
10078,11210
9732,9648
130,106
5119,5194
10737,11258
10142,5128
5119,5200
11449,9676
10172,113
166,11290
11658,11398
10172,117
9865,9644
11550,10660
9574,10476
13265,6642
11550,10656
10738,11258
10142,5170
9548,11298
11189,9578
185,6636
132,89
10237,10414
9986,10004
5124,5086
9213,9403
11752,8512
10731,11493
5150,186
9186,10245
11693,10353
5124,5093
9483,9231
9375,8484
5124,5101
10172,167
10172,168
9676,11449
10172,170
10630,10547
10142,5202
11150,10817
9445,10426
10142,5203
5124,5113
185,6668
135,28
9617,5090
130,186
9213,9434
132,127
9333,9805
10533,9483
6644,11252
10867,11410
11024,10642
10467,11524
9213,9439
3,42
5124,5131
11797,11261
1,108
9173,10687
10504,10396
10369,10480
10641,10242
11704,10068
54,6669
11781,11777
9688,11124
54,6671
1,124
5124,5154
13532,6643
5124,5161
135,75
10858,11724
5126,5098
11522,11619
6790,6761
3,73
9278,11561
136,47
13265,6750
6688,14024
10120,10031
10988,11795
5126,5108
11040,10196
5126,5112
9333,9865
188,6636
11040,10197
9689,11119
11431,10371
5124,5181
9439,10685
187,6679
10609,11285
11561,10444
11721,9582
5126,9227
10076,11420
9180,10524
10868,11456
10377,10292
11285,10816
9938,11615
133,176
10516,10078
9602,9739
138,24
9835,10709
10279,9232
136,90
11253,11813
57,6639
10516,10092
9739,9602
10605,11431
9590,10127
9165,11024
10383,10131
10068,11704
9865,9805
10172,8482
11290,10687
13532,6717
9617,5203
11300,10373
11446,9954
11666,11325
136,114
11552,10760
9578,10514
10630,10682
9461,10057
3,147
5090,10386
10465,11697
10634,10554
10212,11347
10480,11233
11559,10552
8525,10399
9445,10561
8504,11060
10137,9591
9845,10444
135,162
9312,10598
10012,9371
57,6685
10489,10968
135,171
11398,11463
9591,10137
11427,10577
10226,10944
9538,11797
5098,10172
5128,5146
5128,5143
3,182
140,36
190,6679
11567,10349
10076,11509
5119,9530
5,131
9689,11227
5128,5170
5128,5167
10500,10668
140,58
140,60
9805,11741
9227,5095
10527,9853
10528,9822
140,75
190,6717
5131,5101
10533,9672
140,76
137,170
189,6750
9227,5098
11420,10843
11553,10816
11173,10308
11813,10950
5128,5202
8513,10863
9430,11101
9946,11490
9227,5108
11696,10502
9819,11345
11697,10465
10500,10709
10278,9410
9227,5126
5131,5124
10389,10067
10103,10737
6668,6639
9333,10050
10525,9957
10524,9987
9689,11298
6750,14
10412,9377
5131,5154
11189,9868
138,198
144,13
9227,5174
10609,11485
10685,9131
9227,5177
89,9925
11027,10813
11269,11515
5131,5182
10745,11381
10386,10222
11456,9819
11158,10868
6669,6671
9422,11441
11431,10605
9227,5206
11,85
196,6639
9227,5203
9444,10766
10370,10741
11431,10618
9954,11352
11559,10745
10222,11242
9343,9819
11261,11797
141,170
9434,11101
144,79
11398,11658
11281,11189
5132,5195
9819,11456
14,17
145,54
141,179
5132,5200
196,6668
10099,10976
11676,11242
5136,5086
9,184
11,123
5136,5090
147,3
5136,5093
142,161
10242,10641
11692,10760
6671,6669
10212,11594
13,79
5136,5110
66,6632
9344,9835
9548,11706
143,157
9222,9530
10687,9173
117,9158
143,164
6750,155
143,172
11398,11721
147,54
9530,5
144,151
10923,10073
9954,11446
67,6643
9154,11665
9607,9911
198,6683
147,73
11562,10758
11077,9410
9180,10867
8507,11251
17,14
5136,5164
12,170
10757,11134
11455,9987
9954,11463
6750,189
13,144
11676,11325
144,182
14,118
9925,89
14,126
10371,10838
117,5126
9563,11306
10550,9384
9548,11773
11741,9333
9530,51
10609,11658
6717,13532
11113,137
9853,10527
13,181
10745,11559
11345,9343
13,182
13,185
66,6734
11666,11676
146,159
10125,10295
10113,10677
9975,10855
11567,10666
9582,10760
6676,6643
146,181
146,182
10349,11567
146,185
10004,9986
10618,11431
9333,10301
5141,5088
117,5187
10976,8531
5141,5092
5164,8476
11813,11253
11815,11190
10224,11362
9203,10245
9530,117
11565,10760
9921,8477
11190,10099
17,109
9987,10524
10758,11210
9312,10979
10155,9424
20,24
11666,11729
17,118
11719,10099
17,126
6676,6694
10396,10156
11162,10988
151,79
10685,9403
6676,6700
5142,5107
6676,6705
10084,11655
10099,11190
5142,5112
9722,10586
89,10205
10017,9634
5141,5145
10096,11290
5141,5156
10489,11406
10122,10489
11693,10942
9757,9529
10025,9413
10371,10976
9870,10117
10816,9466
11166,10916
5143,5117
9530,186
10685,9439
9532,137
10012,9834
20,97
11403,11765
5144,5092
5143,5128
11138,11797
9590,10630
10406,9911
9231,9483
9590,10642
14025,132
151,144
9228,9578
9173,11290
10516,10618
73,6669
10905,10843
73,6671
5141,5209
10155,9529
9532,170
5145,5092
9130,8532
5143,5158
11463,9954
5143,5167
24,20
5143,5170
5144,5145
151,182
9506,9192
5144,5150
118,9403
11306,10731
24,34
5143,5189
5144,5158
9131,8532
11553,11285
10240,11027
10923,10337
10550,9611
10907,10827
9403,118
9862,10465
5143,5200
11274,11746
157,26
11431,10976
5145,5141
5145,5144
9626,9600
5145,5150
156,67
20,187
23,95
11693,11060
5146,5128
5144,5194
20,198
75,6691
5207,11441
10371,11105
9607,10212
10226,11510
6632,41
9244,9181
23,126
10222,11642
10167,9251
9595,10599
10400,10222
5124,14027
9617,9927
10141,10067
9312,11190
9302,11493
6632,66
10353,11693
10131,10383
5146,5170
10103,11258
9563,11615
9594,10655
5145,5209
117,9530
10426,9445
22,192
26,68
9859,10634
11285,11485
159,42
6632,90
11456,10292
22,198
8504,11693
10172,9137
11676,11666
24,138
11285,11493
10944,9777
5146,5203
5146,5202
9861,10590
10832,9162
9964,11503
9928,8525
10369,11233
11462,10117
9578,11189
9865,10485
11298,11119
10172,9157
8509,11559
11347,9607
10536,10172
9506,9333
11704,10827
157,143
11808,11696
5099,10783
27,90
156,190
80,6643
24,187
161,37
9862,10609
11285,11553
10172,5098
10529,10414
11251,8507
24,198
157,172
28,75
11676,11729
11553,11446
161,57
5150,5144
10642,11024
162,28
117,9617
5150,5145
9184,11162
10301,9302
10561,9445
9244,9312
11553,11463
26,157
10832,9232
5152,5099
10172,5126
11456,10377
11623,9309
26,172
159,146
9491,9859
5152,5113
158,181
11615,9563
30,57
10127,10630
9835,11490
10301,9333
10550,9805
11594,10212
158,188
10403,10279
10758,11562
10529,10464
9757,9822
11548,11646
5099,10863
10396,10504
162,75
8531,10976
9754,14024
162,76
9578,11281
28,135
10685,9732
5150,5194
10533,10361
11167,11182
27,176
11720,10426
30,85
159,182
9648,9131
159,185
30,88
10944,9911
9371,9534
10656,10660
30,94
10666,10349
9312,11366
159,196
11158,11479
159,197
28,162
10127,10682
10406,10226
11167,11210
11552,11565
6636,120
161,142
5152,5167
31,81
11741,9805
11493,9302
10205,89
5152,5175
10099,11562
10760,11552
11704,10959
10656,10682
84,6643
11578,10781
5154,5124
33,34
5152,5184
10760,11565
11693,11311
162,135
6639,57
5154,5131
9278,170
10226,11740
11345,9819
31,108
6636,158
5152,5202
10666,10400
11300,11220
9466,10731
34,24
11552,11608
166,34
9732,10685
5156,5088
34,33
84,6676
10373,11300
6636,181
162,171
10120,10959
6636,185
6636,188
5154,5169
84,6694
11750,9595
10400,10480
9591,10983
11740,9911
10500,11490
6642,14
5154,5181
167,36
11660,101
5154,5182
9339,10624
10677,10113
10648,11008
164,143
9591,11007
5156,5141
33,116
166,90
5126,10172
10660,10656
5158,5092
33,126
10564,9534
11223,9595
10371,11431
33,128
6639,143
9466,10816
5156,5161
167,75
10117,11110
11742,9887
10758,11719
10122,10968
11167,11335
11362,9398
6639,161
5187,117
5156,5172
5128,10142
6639,164
9184,11377
9506,9588
5158,5119
5158,5117
6644,12
6639,172
9853,11125
10760,11692
164,196
164,197
170,12
36,75
10785,10927
6694,6676
8512,11752
9309,11623
5158,5143
5158,5144
10099,11719
9648,9317
6643,67
11587,10648
11493,9466
6639,196
10863,8513
6644,44
6643,80
6645,17
11366,9312
6643,84
6694,6700
170,45
11479,9911
34,166
6642,118
10760,11721
9483,10361
166,176
6642,126
90,6632
9506,9644
11210,10078
10287,10017
10677,10214
6643,109
37,92
5161,5088
10668,10500
9582,11398
6643,111
5150,9530
9244,9600
5161,5101
5158,5194
9754,10172
36,140
5158,5200
10761,11732
169,114
172,26
170,89
5161,5113
9644,9506
170,92
10444,9278
90,6672
9634,9821
170,102
9173,11822
5161,5124
10031,9800
171,76
36,167
9611,10550
6643,156
11449,10916
11298,11503
10400,10666
172,57
6644,127
10099,11815
10682,10127
10414,10237
170,127
10155,10076
172,68
10767,11594
6645,109
42,3
11101,9434
10373,11522
37,161
5161,5156
9626,10099
11101,9430
170,137
10817,10052
170,141
11719,10758
9617,10386
10817,10050
10017,10287
90,6725
10237,11652
5161,5172
6644,170
90,6734
5164,5090
10944,10226
6750,13265
9777,9548
10403,10625
41,66
171,135
5164,5095
11027,11766
40,106
10514,11281
41,77
5164,5103
10120,11220
10137,10693
9201,11037
5164,5110
10426,9925
6700,6644
41,86
6700,6647
11485,9862
5164,5118
11615,9938
10050,9302
10426,14025
9228,10205
10927,10785
171,162
10279,10403
11300,11522
11227,9689
10377,11456
10959,9800
38,198
10031,9907
10120,11246
6647,118
11732,10425
172,143
11721,10760
5164,5136
6647,127
11306,11352
6700,6676
113,10172
176,27
10502,11696
10504,11634
10050,9333
9859,11160
172,157
9158,117
6700,6694
10916,11166
11352,9938
9483,10533
9856,11258
9157,168
5141,9978
6700,6705
6702,6642
42,112
10781,11274
10910,11371
11352,9954
11565,11552
11584,10966
11740,10226
9157,186
11377,9184
10134,10855
95,6684
10910,11384
176,77
10950,10156
5164,5203
176,90
11335,10516
9506,9865
11706,11298
5167,5117
10396,10950
10668,10709
11456,10868
10516,11335
9158,186
8531,11431
10660,10969
9244,9803
9911,9607
42,159
11182,11167
5167,5128
9595,11223
176,107
10004,10839
9628,10210
9634,10017
11306,11446
5167,5143
11220,10012
9312,11815
45,89
42,182
11490,9835
5167,5152
177,97
8531,11463
137,9532
9377,9809
5,9530
176,133
11182,11210
10172,9754
11562,11719
10979,9312
11298,11706
42,197
10502,11808
175,176
46,81
6705,6647
10117,11462
9371,10012
117,10172
11719,10963
178,90
11190,10976
10957,10017
5167,5184
6702,6750
9907,9800
9532,9137
45,127
10504,11770
10414,10464
11347,10212
176,166
10172,9774
181,13
11306,11493
9477,10849
9246,9819
11719,10976
176,175
9530,5119
9642,9839
11594,10767
11741,10301
5167,5202
10640,11665
6705,6676
9530,9222
10403,10832
47,90
178,126
182,3
5169,5154
5170,5128
9246,9839
9582,11721
182,13
9987,11455
117,10222
47,104
11724,10858
9232,10279
45,170
6705,6700
9530,5150
10949,10309
5170,5143
47,114
177,185
179,125
5170,5146
5169,5181
11220,10120
11446,11306
9192,11548
10414,10529
10536,10846
10295,10125
11697,11713
182,42
11565,11721
5172,5101
47,136
181,79
179,141
11490,9946
10031,10120
10122,11406
11508,9398
10426,10172
10222,117
10656,11241
9648,9732
184,9
10170,14026
182,73
9403,9131
9530,5194
10017,10578
5170,5189
9137,9187
5170,5195
9466,11285
9644,9865
182,79
9774,14024
10959,10068
9137,9207
11446,11352
8476,5118
50,90
10137,10983
5145,10087
9125,9582
10827,10068
10693,10137
11706,11503
11306,11615
5172,5156
11696,11808
5172,5161
9466,11306
10156,10396
185,13
9131,9403
10170,9973
14027,5093
181,146
11169,11781
181,158
5175,5086
10172,14025
8477,9222
9232,10403
10950,10396
10916,11449
5174,9227
8476,5164
10444,9694
5175,5099
5175,5105
182,144
10052,9563
14027,5124
9870,11110
182,146
10959,10120
8500,8535
5175,5113
182,151
9384,9805
51,117
181,185
9403,9213
10677,10689
10648,11587
182,159
9868,11189
10547,10630
11732,10761
142,9602
11479,10406
186,51
187,20
10781,11578
9529,9424
10923,11269
187,24
10682,10547
10849,9477
14027,5169
10582,9563
182,185
132,14025
5174,5177
9986,11652
5175,5152
10057,9461
11099,14025
52,127
54,65
5177,5098
10292,10377
11446,11463
11195,11063
9907,10031
10156,10504
9377,10084
185,120
11719,11210
9642,10069
51,186
10963,10078
183,192
10547,10682
13532,67
10648,11650
106,6681
183,198
186,106
5177,9227
9607,11158
11773,9548
11189,11281
187,82
9466,11446
185,146
11493,10050
54,122
57,30
11732,10838
187,97
185,159
10682,10630
184,191
186,130
10279,10832
11252,9351
185,177
9534,9371
5177,5174
54,145
9862,11485
185,181
185,182
54,147
10682,10656
10419,10613
109,6643
9466,11493
109,6645
11446,11553
57,68
185,196
10444,9845
10709,9835
56,108
9803,9244
10816,10609
5177,5206
188,120
57,85
13532,156
109,6676
11325,11242
9774,10172
5181,5093
9827,8525
9266,9543
11189,11371
6717,6643
5156,9978
192,22
10863,5099
11658,9125
5203,8525
11311,11693
9227,6658
11063,11195
9131,9648
10781,11746
188,158
111,6643
5181,5124
9466,11553
10598,9244
190,111
9326,11805
10983,9591
11190,11366
9173,166
11210,10758
10656,11550
9326,11813
10204,9173
9403,9439
59,92
5181,5154
5180,5183
111,6679
57,161
58,131
11085,10554
5182,5131
60,76
58,140
97,11219
57,172
10554,10634
11732,10979
5181,5169
9215,11197
10839,10004
10561,10426
190,156
11485,10465
10577,9937
5182,5154
9137,9532
9607,11347
9927,9617
111,6717
10863,5187
6666,124
10582,9803
10923,11515
10968,10122
9343,11345
5184,5113
5184,5117
10598,9312
9131,9732
156,13532
10843,9921
11099,10172
9543,9266
11290,166
9595,11750
6669,54
10017,10957
11362,10224
9805,9333
10426,10561
10817,10731
10867,9180
61,108
60,140
11381,9642
10205,9228
191,184
11503,9964
11721,11398
5183,5180
10832,10279
11615,10582
6669,73
9870,11441
61,124
5184,5152
10586,9722
9611,11274
11398,9125
11110,9870
11578,11746
166,9173
9251,10167
10167,10444
5184,5167
192,183
9805,9384
8484,9375
11493,10301
10660,11550
11655,9377
8477,9590
6668,142
9529,9757
5187,5090
197,42
192,198
11352,10598
5187,5099
6671,54
5184,5192
6669,122
5187,5105
9333,11741
198,20
10689,10677
198,22
198,24
11713,11697
114,6725
6668,161
10578,10017
65,54
9911,10226
5184,5209
6671,73
10467,9377
3,10172
168,9157
198,38
10602,9295
6642,13265
116,6679
6668,177
9246,10377
9377,10412
66,41
10172,10345
6668,185
11485,10609
10582,9938
6668,196
11335,11167
118,6642
10012,11220
197,98
11719,11562
118,6647
9232,10832
6672,90
9351,11252
11119,9689
11210,10963
10832,10403
9176,8494
14024,9754
11245,9887
68,26
11665,9154
11621,10529
5,10172
65,122
14026,9702
196,159
11740,10944
10529,11621
10365,8513
14024,9774
10127,11795
196,164
11134,9251
6671,147
11490,10500
9377,10467
10444,10167
6672,126
11377,9915
67,80
8494,9176
5189,5143
10813,11027
67,84
5187,5203
10047,10197
11223,10599
10425,10761
9809,9377
10731,9466
120,6636
196,185
68,57
11746,10781
197,159
10172,10426
118,6705
6676,17
11721,11565
197,164
198,138
11450,11781
9948,9193
11105,10190
5189,5170
10012,11300
11450,11777
11494,10426
10976,10099
68,85
11725,11453
9543,9462
5192,5088
10156,10950
5189,5195
11463,11398
9600,11815
5189,5200
5192,5113
198,183
11453,11725
11729,11362
10564,10613
68,123
5169,14027
67,156
198,192
10419,11024
11384,9776
6676,84
10666,11567
11233,10369
11099,10426
8525,117
9644,10485
9244,10598
122,6669
10996,9540
10731,9563
9911,10406
170,9278
11463,11446
6676,109
73,3
10400,11642
11124,9688
6679,24
11110,10117
122,6688
6679,33
10172,10536
68,172
10838,10371
10529,11758
10590,9861
6679,34
10599,9595
11758,10529
11559,8509
10069,9642
11325,11666
5194,5119
10004,11652
11770,10156
10406,11479
9377,10620
5192,5184
9611,11557
11060,11693
11325,11676
71,108
11509,10076
5194,5144
6681,5
124,6666
5192,5209
11,10172
11210,11167
10406,11510
72,92
11220,10854
11732,11366
5194,5150
127,10677
11520,9754
5194,5158
11210,11182
9819,9246
5195,5132
73,74
11246,10068
73,79
10968,10489
11693,8504
10205,9578
9887,11245
9228,11189
11490,10709
75,28
6681,40
11233,10480
126,6642
11724,11645
11190,11815
75,36
6679,111
6679,116
11463,11553
74,73
11242,10222
8477,9921
10668,11634
74,79
10429,6751
11105,10371
6679,128
6643,13532
11068,11530
9384,10485
5195,5170
10554,11085
126,6672
127,6644
6734,6632
5195,5189
127,6647
11246,10120
126,6684
75,76
10012,11522
11628,10577
5195,5200
11463,11603
9800,9907
5195,5204
14026,9973
73,147
10817,11150
75,87
126,6702
6681,106
74,122
76,60
10855,9975
10682,11241
11105,10425
9957,9148
77,41
6684,23
76,75
9819,9343
9317,8522
6679,187
9530,10108
11431,8531
11352,10979
6679,190
9384,10550
127,6700
73,182
8476,10021
11117,10076
10983,10137
9529,10155
10087,5145
128,6679
75,135
11489,10843
79,13
10976,10371
6685,30
75,140
11493,10731
10598,9803
11479,11158
6647,9403
11125,9853
11398,9582
77,90
5200,5115
5170,10142
11642,10222
9165,9184
5200,5119
10827,10907
11510,10226
75,162
10084,9377
75,167
10245,8477
6685,57
9938,9803
5200,5132
10069,9839
76,140
11258,9856
10465,9862
10693,10983
6684,95
101,11660
10642,8477
10467,9809
5200,5143
11797,9538
10425,11105
11406,9365
11603,11463
11634,10504
170,9532
10816,11285
10459,10064
5200,5158
10709,10500
11742,11245
76,162
5202,5099
9805,9865
79,73
79,74
6684,126
76,171
10996,9815
11729,11666
10426,11099
11729,11676
10969,10660
9800,10031
9803,9938
81,31
11619,10988
5203,5090
80,67
5200,5189
5202,5128
5203,5095
11805,9326
11652,9986
5093,8509
9278,9845
81,46
5200,5195
10476,9574
10170,10867
9398,10224
11522,9915
10210,9628
77,176
11138,9538
80,84
5202,5146
9949,9540
79,122
5202,5152
10197,10047
6683,198
14025,10172
11652,10004
10855,10134
10419,11377
9543,9860
5203,9227
5202,5167
9540,9949
10212,9607
10222,5203
79,144
9754,11520
9757,11420
6685,161
10598,9938
9137,10172
79,151
5203,5146
10479,9532
11758,10839
10944,11510
5194,9530
10073,9839
14026,10170
5203,5164
10687,11290
81,108
6751,10429
11345,11381
5202,5203
9800,10120
79,181
11548,9192
79,182
6658,9227
11770,10504
81,124
186,9157
8509,5093
186,9158
82,97
10190,10337
10485,9384
5203,5187
10155,11420
85,11
6688,122
10412,11655
11007,9591
11522,10012
8509,5110
9434,9213
5203,5202
9548,9777
11415,9245
11642,10400
11377,10419
9747,11797
85,30
9776,10910
9590,8477
11746,11274
9424,9529
84,67
10190,10371
9384,10781
5206,9227
11510,10406
5204,5195
10709,10668
84,80
11634,10668
85,57
6691,75
8477,10245
10846,10536
11335,11760
85,68
9925,10426
86,41
11797,9747
9365,11406
11220,11246
11515,10292
10069,10073
6766,10062
10620,9377
6694,12
186,5150
5206,5177
11615,11306
82,187
5209,5088
85,94
5209,5092
9148,9957
10067,10141
11366,10838
9777,10944
10942,11693
5,6681
10064,10242
11750,11223
9173,9200
8535,8500
11024,9165
11258,10103
11655,10084
10731,10050
136,6725
10731,10052
9430,9434
10224,9398
88,30
85,123
11274,9611
5209,5117
11608,11552
11220,11300
9626,11562
11631,6750
8513,5105
87,75
11352,11306
11485,11285
11241,10656
8482,10172
5209,5141
11615,11352
10979,10598
9821,9634
9921,10630
10433,11143
5209,5145
9302,9333
6691,167
10816,11553
6694,84
10050,10731
9911,10944
11813,9326
10552,11559
89,45
11241,10682
10624,9339
11290,9173
10476,9834
9439,9213
11652,10237
11739,11636
9413,10025
90,27
10959,11246
10292,11456
5209,5184
11766,10813
11271,1585
5209,5192
14025,10426
90,47
10944,11740
90,50
10073,10069
10149,11805
11815,9312
10309,10949
10172,11099
9887,11742
10052,10731
9532,10479
9809,10084
10609,9862
90,77
9434,9430
11366,10979
11210,11719
11366,10976
142,6668
143,6639
9434,9439
10050,10817
89,127
9602,142
92,37
89,132
10292,11515
10838,10976
9165,9590
11140,9806
90,104
90,107
90,110
6750,6642
11352,11446
10963,11210
10485,9644
10813,11766
92,59
9170,9462
6700,12
11261,10178
10190,10605
90,126
51,9530
10426,11494
12,6644
10084,9809
11619,11377
92,72
11822,9173
90,136
9835,9344
89,170
10976,10838
5105,8513
9131,10685
10131,176
10052,10817
11281,9578
94,30
6700,44
11162,9184
11548,9506
11285,9466
9822,9757
9422,9870
10745,9819
10064,10459
92,102
10337,10190
90,166
11371,10910
6750,6702
9839,9246
90,176
95,23
90,178
10843,10905
12,6694
11746,11578
5203,9617
12,6700
9410,10278
10737,10103
6702,14
14,6642
10605,10092
10067,10389
10867,10170
10361,9483
9251,11134
94,85
9312,9244
9439,9403
10983,10693
9921,10843
186,9530
11522,10373
9534,10564
9732,8522
9911,11158
5086,5090
10464,10414
9626,11815
5086,5093
10156,11770
11614,11621
92,170
10076,10155
97,20
11493,11285
10526,8496
5086,5105
6700,127
11795,10127
9439,9434
11766,11027
147,6671
5086,5113
9937,10378
6750,6777
11742,11777
14,6702
11493,11306
9181,9244
5086,5124
9578,9228
10308,11173
9184,9165
9430,9732
5086,5136
167,10172
1585,11271
9582,9125
