instrumentalists_1,instrumentalists_2
7235,8695
7259,3861
7294,6872
7249,8266
7249,4175
7252,4082
7249,4174
7249,8269
7268,3590
7212,5325
7249,4177
7249,4176
7262,7876
7249,4182
7215,1138
7247,4247
7256,8069
7249,8285
7249,4189
7201,5676
7259,3883
7212,5346
7193,5934
7259,3888
7249,4201
7209,1345
7211,5378
7249,8302
7294,6907
7249,4205
7249,4204
7259,7995
7259,7994
7224,9086
7256,3996
7259,8004
7249,4222
7257,8069
7249,4220
7249,4226
7224,9095
7212,5378
7249,8326
7259,3920
7267,7767
7233,629
7268,7740
7284,3147
7249,4239
7259,8025
7249,4237
7249,8336
7249,4247
7210,1360
7257,3996
7249,4244
7212,1302
7251,4189
7249,8347
7249,8345
7249,4248
7249,4254
7249,8348
7249,8352
7232,8879
7268,3674
7249,8359
7267,7800
7249,4261
7212,5407
7270,3609
7249,8363
7215,5325
7212,1330
7249,8372
7249,8378
7249,4282
7249,8377
7249,4281
7256,4070
7267,7823
7249,4290
7249,4295
7212,1345
7269,7770
7259,3984
7249,8389
7215,5346
7249,4299
7256,4082
7294,6997
7249,8399
7259,8089
7249,8398
7198,5881
7249,4300
7249,8403
7249,8400
7249,4311
7257,4062
7212,1360
7257,4070
7249,4318
7267,3765
7189,6186
7254,8266
7270,7770
7252,4238
7201,5819
7257,4082
7220,1138
7249,8430
7217,5325
7259,4026
7201,5830
7212,5489
7252,4247
7294,7048
7259,8132
7294,7046
7217,5346
7268,3765
7267,7892
7215,5407
7259,8144
7270,3706
7249,8452
7267,3813
7259,4064
7259,4062
7232,9001
7215,1345
7276,3550
7212,1435
7212,1443
7268,7899
7266,7968
7259,4088
7259,4097
7215,1365
7212,1457
7278,7601
7267,7948
7217,5407
7277,3551
7259,8202
7219,5346
7219,1250
7267,7960
7259,8211
7268,3836
7215,5489
7193,6171
7212,5582
7217,1330
7267,7972
7201,5929
7303,6872
7224,1138
7266,8028
7235,8993
7235,8992
7217,1360
7219,1304
7276,7729
7259,4158
7267,8012
7235,9002
7219,5407
7215,1435
7232,9105
7198,6062
7259,8266
7268,7994
7262,4084
7191,6283
7257,4247
7219,5425
7249,8589
7191,6296
7235,9027
7217,5489
7246,8695
7249,8602
7249,8600
7249,412
7259,4205
7194,6224
7268,8028
7195,6194
7219,1360
7259,4220
7249,8630
7217,1435
7284,3457
7196,6185
7237,9008
7270,3895
7270,7991
13535,6293
7196,6194
7215,1508
7259,8345
7259,4248
7220,1360
7259,8347
7193,6296
7235,9097
7245,8787
7259,8352
7259,4261
7294,3176
7268,8080
7249,8668
7267,8117
7249,8672
7270,8028
7217,5575
7270,8027
7200,6100
7268,3996
7259,8377
7259,4281
7198,6171
7201,6078
7303,7012
7259,4282
7249,8695
7294,3206
7249,8696
7249,8702
7284,3520
7259,4295
7219,1443
7249,8705
7215,5662
7249,8709
7217,1508
7259,8403
7259,4311
7267,8158
7267,8163
7267,4073
7249,535
7201,6118
7193,6365
7249,8725
7270,8084
7266,8211
7196,6285
7270,3989
7252,8658
7196,6296
7222,5489
7270,4012
7249,8756
7198,6245
7268,4082
7198,6251
7249,8765
7284,7686
7249,8770
7219,1508
7284,7684
7267,4118
13537,6353
7249,8782
7266,8254
7249,588
7201,6172
7249,8787
7249,8789
7201,6185
7249,8798
7203,6128
7274,8028
7284,3627
7198,6300
7262,4318
7203,6153
7249,629
7249,628
7226,1345
7270,4084
7212,5881
7201,6224
7249,8838
7249,8843
7244,9002
7211,5926
7294,3362
7201,6245
7267,8294
7201,6251
7249,8857
7249,8856
7249,8864
7249,8869
7267,4214
7215,5830
7212,5929
7245,9001
7267,8322
7245,9008
7251,8838
7270,8254
7224,5584
7201,6296
7259,412
7215,5881
7272,8210
7273,4082
7215,5880
7249,741
7268,4247
7276,4014
7249,8946
7284,3765
7268,4261
7249,753
7210,6062
7230,1345
7267,8394
7237,1138
7249,770
7256,8744
7201,6353
7201,6359
7230,1368
7212,6034
7210,6100
7294,3494
7249,793
7249,8990
7270,4248
7284,3813
7284,3812
7268,8403
7249,8992
7219,5830
7249,9002
7249,808
7249,9004
7212,6062
7269,4295
7294,3519
7294,7614
7249,9008
7212,6068
7215,5974
7212,6074
7284,3842
7249,9021
7294,7625
7249,9043
7284,3862
7211,6128
7219,5880
7212,6100
7215,6013
7246,960
7272,4248
7294,7662
7275,8254
7212,6118
7259,8756
7211,6153
7262,8672
7259,8765
7284,7989
7212,6128
7249,888
7259,8770
13535,6741
7215,6046
7212,6139
7249,9095
7259,8787
7294,7701
7303,3333
7212,6153
7219,5934
7215,6062
7215,6068
13535,6753
7249,9115
7296,7662
7212,6172
7294,7725
7212,6171
7212,6186
7294,7738
7210,6251
7219,5974
7217,6046
7275,4248
7217,6062
7212,6224
7217,6068
7259,8869
7219,6013
7208,6358
7217,6078
7276,8345
7215,6139
7259,8879
7294,3702
7212,6253
7235,1443
7212,6251
7277,4247
13537,6797
7212,6266
7231,5676
7217,6115
7193,6857
7266,8695
7224,5901
7279,4205
7256,9011
7219,6062
7212,6285
7219,6068
7212,6283
7294,7843
7266,8709
7220,6046
7212,6294
7212,6293
7212,6296
7270,8600
7224,5929
7212,6304
7257,9011
7220,6062
7212,6309
7212,6308
7268,8668
7217,6153
7219,6100
7211,6346
7196,6817
7294,3777
7215,6233
7233,5676
7213,6296
7212,6334
7284,8201
7259,783
7215,6243
7217,6185
7224,5974
7215,6253
7212,6353
7249,1109
7219,6139
7293,7948
7200,6735
7259,9008
7303,3550
7249,1138
7217,6224
7301,3627
7215,6296
7217,6233
7219,6171
7305,7601
13538,6891
7215,6304
7267,8787
7215,6308
7217,6245
7217,6251
7284,4173
7294,3862
7296,7899
7219,6208
7198,6857
7266,8856
7217,6283
7215,6345
7215,6343
7217,6287
7294,7995
7219,6224
7217,6285
7294,3897
7217,6296
7270,8756
7215,6365
7259,9095
7196,6962
7282,4295
7198,6904
7219,6251
7270,8765
7249,5325
7224,6100
7259,9115
7220,6233
7284,4247
7216,6365
7284,8352
7219,6271
7267,8879
7198,6921
7230,5929
7249,1250
7249,1252
7217,6345
7194,7057
7219,6287
7217,6353
7294,3980
7217,6365
7249,5378
7219,6308
7198,6957
7191,3089
7226,6100
7201,6872
7220,6296
7294,8098
7235,5830
7249,5407
7249,5405
7219,6345
7201,6902
7284,8430
7201,6907
7234,5881
7201,6904
7266,8992
7249,1330
7219,6358
7266,9002
7303,3765
7292,4109
7249,1345
7203,6872
7294,4062
7189,3220
7249,1360
7249,1365
7277,8695
7294,8170
7198,7049
7277,8696
7294,8180
7198,7057
7294,8187
7249,5489
7294,8195
7290,4222
7294,4098
13535,3146
7294,8202
7268,9008
7267,9052
7299,8069
7208,6797
7266,9095
7201,7012
7249,1435
13535,3178
7294,8229
7294,8236
7303,7960
7208,6812
7212,6687
7259,1138
7294,8254
7201,7048
7294,4176
7201,7057
7249,1477
7294,4177
7305,3841
7294,4182
7249,5582
7208,6857
7201,7074
7294,4189
7303,8012
7212,6735
7212,6741
7294,4205
7212,6753
7249,5605
7249,1508
7191,3312
7207,6921
7208,6890
7191,3333
7210,6838
7235,6062
7231,6186
7191,3334
7303,8058
7232,6171
7277,8879
7230,6243
7249,5662
7235,6100
7230,6253
7212,6817
7194,3277
7193,3312
7294,8377
13535,3333
7212,6838
7208,6960
7210,6904
7211,6872
7294,4297
7294,8398
7212,6849
7284,8713
7249,5704
7212,6858
7211,6891
7210,6921
7276,8977
7212,6863
7232,6243
7193,3367
7212,6872
7196,3276
7212,6875
7259,1330
7189,7600
7303,4083
7212,6904
7212,6909
7212,6908
7259,1360
13535,3409
7196,3312
7212,6922
7212,6921
13535,3426
7297,4295
7232,6308
7190,3519
7259,5489
7299,4247
7217,6797
7215,6858
7194,3424
7249,5812
7249,5819
7215,6872
7191,3519
7197,3333
7249,5830
7305,8192
7215,6891
7215,6890
7198,3328
7198,3325
7212,6994
7212,6992
7215,6904
7245,5974
7194,3457
7198,3333
7215,6909
7200,3277
13535,3509
7285,8838
7233,6359
7193,7596
7215,6921
7193,7601
7212,7012
7212,7018
7212,7022
7193,3519
7300,4295
7219,6812
7249,5881
7212,7028
7249,5880
7284,8896
7215,6939
7290,8713
7259,5582
7212,7046
7294,8600
7212,7048
7214,6992
7212,7051
7212,7057
7219,6838
13535,3551
7217,6907
7217,6904
7219,6849
7217,6909
7219,6857
7292,8689
7249,5929
7203,3265
7303,4261
7249,5934
7201,3325
7212,7079
7215,6992
7203,3266
7294,8644
7212,7090
7212,7093
7193,7701
7196,7614
7219,6904
7249,5974
7220,6872
7196,3520
7219,6907
7194,7686
7193,3627
7305,4248
7219,6921
7294,8696
7215,7048
7294,8695
7220,6891
7215,7046
7193,3638
7215,7057
7294,8702
7217,6992
7249,6005
7217,6997
7193,3645
13536,3627
7249,6013
13536,7733
7217,7012
7219,6957
7238,6365
7219,6960
7222,6872
7197,3551
7249,6034
7190,3765
7217,7028
7215,7090
7196,3590
7249,6046
7268,1360
7191,3765
7224,6838
7249,6062
7219,6992
7212,3118
7224,6841
7198,3550
7217,7057
13535,7806
7249,6068
7212,3133
7200,7600
7223,6891
7197,7701
7219,7018
7294,8789
7212,3146
7194,7800
7205,3362
7219,7022
7219,7028
7294,8798
7212,3147
7191,7899
7249,6100
7210,3220
7207,3312
7284,9115
7193,3749
7194,7820
7201,7601
7249,6118
7219,7048
7219,7046
7224,6891
7193,3760
7224,6895
7212,3178
7219,7057
7201,7614
7294,8827
7198,7706
7193,3765
7215,3089
7201,7618
7224,6904
7249,6128
7200,3557
7249,6139
7201,7625
7259,5830
7294,655
7198,7726
7249,6144
7208,3325
7219,7079
7198,7729
7212,3199
7190,3888
7196,3702
7249,6153
7198,7733
7198,7738
7207,3362
7191,7960
7219,7090
13536,7876
7249,6171
7194,7876
7212,3221
7212,3220
7197,7791
7294,8878
7198,7768
7191,3888
7198,3671
7211,3266
7259,5881
7247,6251
7197,7806
7309,8430
7249,6193
7191,7996
7294,8901
7203,3539
7224,6984
7249,6208
7215,3176
7196,3765
7201,7706
7198,7798
7203,3553
7198,3706
7212,3277
7249,6224
13535,3875
7212,3286
7249,6233
7276,1304
7193,3883
7249,6243
13535,7989
7202,7701
7294,753
7249,6251
7197,7862
7201,7738
7197,3765
7200,7767
7222,7090
7249,6253
7193,7995
7198,7846
7268,5676
7197,7876
7215,3229
7191,8069
7294,778
7202,7729
7212,3333
7201,7770
7198,7862
7212,3331
7201,7768
7217,3176
7249,6287
7249,6285
7259,5974
7194,7989
7224,7059
7198,3780
7249,6294
7212,3345
7191,3996
7230,6888
7219,3133
7205,7662
7194,3906
7249,6296
7249,6300
7212,3357
7225,7048
7249,6304
7212,3362
7194,3920
7217,3206
7201,3702
7249,6309
7249,6308
7212,3359
7215,3266
7203,7738
7212,3363
7220,3121
7196,7960
7212,3373
7189,8180
7249,6320
7294,9021
7249,6327
7217,3220
7200,7848
7189,8188
7249,6334
7193,8069
7193,3976
7200,3765
7219,3176
7249,6342
7222,3088
7212,3396
7249,6345
7220,3147
7196,7987
7219,3178
7249,6353
7193,8089
7249,6359
7212,3409
7193,3996
7259,6046
7191,4064
7193,8098
7212,3412
7249,6365
7215,3329
7212,3426
7208,3550
7201,3765
7191,4084
7191,4082
7219,3220
7190,4117
7210,7600
7200,3813
7294,9095
7210,7601
7233,6888
7220,3205
7215,3362
7259,6100
7294,9115
7212,3464
7217,3312
7197,8028
7193,4062
7198,3906
7207,7729
7212,3476
7193,4070
7217,3329
7267,5881
13535,8176
7210,3551
7207,7740
7202,7899
7224,3121
7193,4082
7212,7588
13535,8187
7198,8028
7193,4091
7215,3412
7212,7600
7224,3132
7211,3539
7212,3508
7220,3266
7220,3265
7217,3362
7191,8263
7211,3553
7207,7770
7212,3519
7224,3147
7212,3523
7219,3312
7198,8058
13536,8183
7212,3534
7220,3285
7219,3325
7207,7791
7219,3329
13536,8202
7219,3328
7201,7980
7219,3333
7212,3554
7197,8115
7203,7929
7212,3553
7237,6872
7212,3551
7219,3334
7219,3341
7194,8210
13537,4091
13536,8215
7189,4272
7216,3441
7300,9027
7237,6891
7259,6208
7189,8377
7210,7726
7201,8004
7219,3357
7193,8263
7224,3206
7212,7674
7193,8266
7198,4014
7219,3363
7201,3920
7219,3362
7198,8115
7212,7679
7212,3590
7201,8027
7190,4272
7212,7686
7212,7684
7191,4239
13535,4187
7259,6233
7215,7596
7284,1360
7210,7756
7220,3349
7215,7600
7196,4092
7193,8287
7198,8132
7238,6891
7212,3601
7212,7701
7259,6243
7235,6992
7210,7767
7198,8144
7196,4109
7215,3520
7211,7738
7212,7714
7215,3523
7215,7619
7212,7715
7212,3626
7219,3409
7212,7726
7219,3412
7198,4063
7224,3256
7193,4222
7212,7729
7212,3638
7212,7733
7224,3265
7235,7018
7212,7738
13535,4230
7201,3980
7215,3553
7220,3396
7210,3706
7212,7740
7219,3426
7197,4108
7198,4084
7217,3494
7193,4238
7198,8183
13536,4222
7222,3341
7193,4247
7224,3285
7259,6296
7217,7596
7259,6300
13535,4261
7193,8345
7212,7756
7198,8195
7259,6308
7193,8352
7217,3519
7217,7614
7212,7768
7294,1129
7212,3671
7215,7674
7267,6062
7196,8263
13535,4274
7222,3366
7215,7684
7201,8117
7215,3586
7217,7625
7215,7686
7259,6327
7212,3687
7219,3476
7215,7701
7212,7791
7212,7798
7212,3701
7200,8169
13536,8363
7212,3706
7217,3551
7215,7706
7201,8144
7198,4148
7198,8243
7219,7596
7219,7601
7201,8158
7219,7600
7212,3721
7259,6359
7215,3627
13536,8389
7259,6365
7215,7729
7219,3508
7198,8254
7215,7726
7215,7733
7212,7823
7196,4229
7215,3638
7215,7740
7213,7801
7219,7614
7215,7738
7210,7899
7217,3586
7194,8394
7220,7588
7197,4205
7201,4081
7219,7618
7208,3874
7212,7846
7201,4088
7197,4219
7215,7756
7212,7848
7201,8195
7212,3757
7201,4097
7219,3539
7201,8192
7212,3762
7262,6308
7217,7701
7212,3759
7212,7862
7212,3765
7201,8202
7215,3671
13535,8459
7219,3553
7219,3551
7212,3768
7215,7770
7201,8211
13535,8468
7212,7870
7294,5325
7269,6100
7198,4205
7290,1360
7212,3777
7194,8430
7196,8368
7212,7876
7217,7726
7215,3692
7224,3412
7217,7725
7215,7791
7198,4222
7249,6741
7201,4133
7201,8229
7212,7894
7217,7738
7215,7800
7220,7644
7212,7892
7215,7798
7215,3702
7215,3706
7217,7740
7216,7778
7201,8243
7219,7684
7203,8180
7212,7899
7219,7686
7198,4248
7198,4247
7190,8589
7215,7820
7201,8254
7220,3567
7198,8345
7222,7601
7219,7701
7198,4254
7217,7770
7201,8266
7198,4262
7219,7706
7201,4175
7201,4173
7212,3837
7203,8211
7212,3836
7217,3687
7212,7938
7212,3841
7215,7844
7270,6139
7232,3220
7215,7843
7235,3133
7219,3627
7215,3757
7217,7791
7219,7729
7219,7726
7200,8322
7210,8012
7294,5407
7212,7948
7212,7954
7224,3486
7219,3638
7219,3645
7212,3862
7217,3706
7212,3861
7267,6251
7198,8389
7212,3859
7215,7862
7219,7738
7220,3617
7201,4205
7212,7960
7224,7588
7210,8028
7249,6817
7266,6296
7215,7876
7294,1330
7219,7756
7212,7972
7189,8695
7219,3666
7251,6770
7212,3883
7249,6838
7215,7892
7212,3888
7219,3671
7294,1345
7212,7990
7212,7989
7212,3893
7249,6841
7219,7770
7212,3898
7212,7994
7212,3897
7215,7899
7215,3803
7269,6224
7216,7874
7294,1360
7212,7996
7212,7995
7212,3906
7217,7846
7267,6296
7212,3905
7193,8589
7249,6859
7249,6858
7249,6857
7249,6863
7219,7791
7215,3825
7190,8696
7212,8012
7219,3705
7219,7800
7217,3765
7212,3920
7219,7798
7219,3702
7203,4205
7249,6875
7212,3924
7249,6872
7219,3706
7220,7778
7215,3837
7294,1387
7212,8025
7219,7806
7235,3220
7217,3777
7219,3715
7212,8028
7212,8027
7202,4248
7189,8744
7212,3942
7249,6891
7201,8378
7249,6890
7219,7820
7249,6888
7224,3567
7212,8042
7249,6895
7219,7823
7210,4012
7212,8044
7212,8050
7215,3861
7220,3706
7220,3705
7215,3865
7212,8054
7212,3958
7249,6907
7215,7960
7201,4297
7249,6904
7215,3862
7191,8709
7249,6909
7249,6908
7212,8055
7201,4300
7212,3959
7224,3594
7219,7843
7233,3312
7249,6912
7212,8066
7210,8128
7246,7012
7235,3256
7215,7971
7193,8658
7206,8254
7249,6921
7249,6920
7246,7020
7215,7980
7212,8073
7219,3759
7219,3765
7215,3888
7249,6929
7222,7770
7212,3984
7219,7862
7230,3425
7249,6939
7224,3617
7215,7990
7212,8083
7219,3777
7201,8430
7219,3776
7217,3837
7215,7995
7224,7715
7219,7876
7212,8098
7224,7726
7215,3906
7219,7878
7212,4005
7209,8192
7193,8695
7249,6957
7212,8104
7212,4014
7194,8668
7269,6342
7219,7892
7212,4012
7210,8169
7217,3862
7222,3706
7219,7894
7215,8025
7294,5575
7219,3804
7217,3865
7219,3803
7219,7899
7212,8115
7212,4019
7224,3647
7212,4026
7215,8028
7215,8027
7212,4030
7220,7876
7222,7820
7232,3412
7212,8128
7249,6984
7194,8695
7215,8042
7217,7980
7224,7770
7249,6994
7212,8140
7217,3888
7249,6992
7212,4050
7230,7588
7217,7990
7249,6998
7249,6997
7212,8144
7210,4109
7224,7778
7212,4052
7217,3897
7215,8055
7215,8054
7220,7899
13535,8744
7212,8154
7284,5922
7217,7996
7217,3900
7208,4186
7220,3813
7212,8162
7212,4064
7249,7012
7235,3357
7249,7018
7270,6365
7212,8169
7249,7022
7193,8756
7249,7020
7219,3861
7212,4077
7212,4076
7235,3363
7249,7025
7222,3765
7235,3362
7219,3865
7215,8084
7249,7030
7212,8176
7219,3862
7217,8027
13535,8780
7220,3837
7217,8025
7211,8211
7212,8180
7212,4083
7212,8179
7222,7876
7212,8185
7219,7968
7212,8183
7212,4094
7212,4093
7212,8188
7212,4091
7212,8187
7219,3874
7196,8689
7249,7046
7210,8254
7215,8098
7249,7051
7219,7980
7190,8879
7212,8195
7249,7048
7212,8202
7219,3888
7215,4012
7254,6904
7249,7059
7220,3862
7212,4109
7249,7057
7212,4108
7215,4014
7197,8668
7219,3897
7219,7990
7216,8083
7210,8269
7212,4118
7219,3898
7212,8211
7224,7843
7212,8215
7207,8377
7232,7601
7249,7074
7235,3412
7219,3906
7212,8226
7249,7079
7215,8132
7211,8254
7194,8787
7211,4168
7219,3920
7217,3980
7249,7090
7212,8236
7207,4295
7217,3984
7215,8142
7220,7994
7249,7093
7193,8828
7220,3895
7212,8246
7294,5704
7219,8028
7212,4148
7219,8027
7220,7995
7212,8243
7214,8188
7193,8838
7212,8254
7217,8098
7215,8158
7219,8041
7212,8257
7197,535
7198,8695
7219,8044
7215,4076
7220,3920
7212,4168
7217,4012
7212,8263
7211,4205
7212,4174
7212,8269
7215,4084
7215,8180
7212,4177
7219,8055
7219,3958
7246,3121
7224,7899
7219,8054
7212,4175
7212,4182
7215,8183
7220,8028
7212,8275
7210,4247
7224,3812
7194,8838
7198,8713
7215,8192
7212,4189
7230,7726
7234,7601
7193,8879
7215,4098
7217,8132
7212,8287
7215,8201
7259,6841
7212,4201
7215,8202
7259,6838
7210,4261
7212,8302
7212,4205
7224,3837
7215,8211
7217,4052
7215,8210
7219,3997
7212,4214
7215,8215
7193,8896
7217,4062
7212,4222
7219,4005
7201,8658
7212,4220
7215,8226
7212,4230
7219,4012
7217,8170
7215,8236
7210,4295
7249,3089
7219,8115
7217,8183
7233,3590
7198,8770
7210,8398
7212,4239
7217,8187
7191,8992
7215,8246
7212,8345
7219,8128
7212,4247
7212,4254
7219,8132
7217,4098
7212,8349
7212,8348
7217,4097
7215,8254
13535,8944
7201,8695
7259,6895
7212,8351
7212,4262
7212,4261
7215,4168
7217,8201
7215,8263
7220,4012
7246,3205
7215,4173
7259,6904
7230,3706
7212,8359
7215,8266
7213,4239
7259,6909
7215,4176
7215,4175
7249,3121
7220,4026
7212,4274
7212,4272
7224,7995
7294,5830
7212,8378
7215,4189
7212,4282
7212,4281
7212,8377
7259,6920
7249,3133
7219,4063
7219,4062
7219,8158
7249,3132
7219,8163
7224,8012
7217,8229
7249,3147
7219,4075
7294,5845
7212,8394
7215,4205
7212,4295
7217,8236
7212,8398
7212,206
7217,8243
7219,4084
7224,8025
7259,6939
7212,4300
7215,8302
7212,4306
7217,8246
7247,3220
7235,7686
7213,4278
7219,8188
7198,8838
7212,8403
7217,8254
7215,4220
7200,8779
7219,8195
7215,4222
7219,4098
7217,8263
7219,4104
7193,9011
7219,4108
7217,8266
7249,3176
7219,4106
7219,8202
7224,8054
7294,5881
7212,8430
13535,9027
7217,4176
13536,8993
7230,7876
7219,8215
7245,3312
7215,8345
7215,4248
7215,4247
7232,7815
7246,3285
7259,6984
7267,6735
7217,4189
7201,8787
7219,8229
7215,8352
7198,8879
7219,8226
7215,4254
7220,4106
7249,3206
7220,8201
7201,8789
7249,3205
7220,4104
7235,3645
7212,8452
7220,8210
7217,8302
7217,4205
7215,8363
7224,8083
7219,4148
7219,8243
7212,8459
7215,8372
7191,9115
7219,4151
7249,3221
7215,8377
7235,7756
7216,4248
7217,4222
7249,3229
7219,8254
7219,4158
7215,8378
7219,8261
7232,3759
7245,3363
7259,7025
7232,7862
7215,8389
7249,3238
7219,8263
7249,3237
7215,4297
7219,8269
7215,4295
7219,8266
7219,4176
7215,8400
7215,8399
7215,8398
7193,9086
7212,305
7215,8403
7219,4182
7219,4189
7220,8254
7215,4311
7249,3256
7246,3349
7219,4186
7249,3266
7249,3265
7217,8352
7247,3333
7226,3984
7219,4201
7233,3765
7220,8263
7219,4205
7249,3274
7230,3862
7201,8857
7201,8856
7235,3706
7220,4176
7235,3715
7249,3285
7232,3812
7217,8372
7210,8589
7217,8378
7219,4222
7219,4226
7217,4295
7254,3147
7219,8326
7198,8977
7259,7090
7217,8398
7215,268
7219,4239
7198,8992
7217,8403
7194,9115
7249,3312
7217,4311
7219,8345
7219,4248
7219,4247
7235,7846
7203,8843
7219,8352
7249,3326
7232,7948
7219,4261
7222,8263
7224,8201
7249,3329
7233,7921
7266,6904
7249,3334
7219,8359
7219,4262
7219,4272
7217,8430
7238,7778
7249,3341
7219,8372
7212,8589
7235,7876
7294,6046
7219,4281
7219,8377
7267,6888
7220,8345
7220,4248
7249,3349
7219,8378
7212,8602
7249,3357
7212,8600
7203,8878
7219,8389
7201,8946
7212,412
7201,753
7290,6185
7219,4297
7294,6068
7249,3366
7219,4295
7230,8050
7219,4299
7198,9052
7219,8398
7294,6078
7267,6921
7224,8254
7249,3382
7219,4311
7212,8630
7200,9000
7210,8695
7266,6957
7232,3920
7224,8263
7294,6100
7230,8084
7245,7618
7233,7989
7220,4295
7249,3396
7219,8430
7222,4248
7249,3409
7233,3905
7294,6115
7249,3412
7220,4311
7249,3419
7198,9095
7201,808
7254,3265
7212,8668
7201,9008
7235,7960
7238,7876
7249,3438
7201,9021
7249,3437
7249,3441
7215,8600
7224,8321
7212,8696
7294,6153
7212,8695
7238,7899
7212,8709
7246,3557
7203,8992
7246,3567
7230,4062
7224,4248
7225,4222
7249,3476
7227,8254
7267,7020
7224,8352
7207,8879
7253,3362
7259,3176
7205,753
7294,6185
7210,8798
7249,7588
7213,8709
7249,3503
7212,8744
7249,7596
7245,7726
7249,7601
7231,4062
7230,4093
7249,7600
7230,4104
7249,3519
7244,7770
7267,7057
7252,3426
7259,3206
7249,7619
7294,6224
7215,8672
7249,7618
7266,7090
7249,3520
7244,7778
7235,3958
7201,9115
7231,4088
7224,8399
7276,6797
7213,8749
7212,8780
7224,4311
7212,8779
7224,4318
7294,6243
7234,4012
7215,8696
7215,8695
7294,6245
7212,8787
7249,7646
7212,8792
7249,7644
7212,8798
7238,7991
7249,3554
7249,3553
7215,8702
7294,6253
7215,8709
7249,3559
7249,3557
7215,8713
7219,8589
7249,3567
7259,3256
7249,3566
7249,7662
7210,8879
7249,7674
7230,8263
7249,7679
7217,8668
7249,3586
7212,8828
7235,8115
7249,7686
7249,7684
7212,8838
7294,6296
7235,8128
7233,8192
7249,3607
7215,8756
7220,8600
7249,7701
7212,655
7249,3610
7208,8977
7249,7706
