influenced_1,influenced_2
1342,3232
3710,3553
11898,7782
8068,7730
899,590
3671,8871
5224,5786
402,3716
7932,7851
7933,11923
638,499
402,11912
8862,7706
7837,6714
7664,12076
11884,8240
8182,8315
8182,8316
4238,7700
7795,8023
3251,5528
7964,6893
11900,11855
6838,9029
1150,1041
7739,5679
8193,7998
3710,7703
8862,3645
3674,638
7933,11975
7837,6759
7631,856
11892,8031
8093,7013
7970,6736
6356,3521
8019,5214
7709,6638
7970,6739
11898,11947
8255,6103
7010,11933
8339,7607
7927,8087
11898,11962
3462,3145
11884,8314
7932,7946
8309,12639
11887,12323
3710,7762
1150,1106
7010,11958
8037,8792
7631,908
899,705
8600,3645
7932,7964
5892,5671
11887,8240
8099,6893
11900,3752
1150,1125
1150,5224
8315,8387
11884,8342
6026,5628
7007,12078
11887,12356
7703,6893
11887,8255
7655,8380
11900,11947
7659,8256
7927,8139
8068,11958
11898,7927
7659,12354
7812,7620
7007,12095
1079,3355
12930,12804
8792,5914
11887,8272
4270,6838
8068,7883
7659,12370
7700,7010
7924,8256
9088,842
11898,7946
8013,5507
8256,6160
7964,7024
8170,638
3710,11923
11932,6893
7709,6736
11900,7896
11887,12393
3917,1421
5786,827
6736,8240
11887,8309
3710,11935
11892,8149
11887,8315
7680,7658
7008,12105
3594,3251
8073,3671
7659,8312
7837,6893
11899,7946
4109,7776
8013,1451
11911,7594
11899,7966
11898,12093
7709,6781
11887,8342
7709,6794
6109,3145
7659,8342
7668,8063
7659,8346
1457,4003
4109,11906
8209,3594
8034,826
8829,8949
7924,8342
11887,8370
8099,7010
8057,8316
7668,8087
6759,7605
9029,6862
7008,8076
7703,7010
8182,12640
11887,8387
3532,1150
663,8170
7932,8111
3200,11448
6741,4077
6739,8240
8057,8342
8068,12093
11887,8393
11932,7008
12930,12935
11932,7015
650,402
11911,7666
7924,8380
11898,8068
8056,8387
11932,7024
8013,5628
12935,12804
7932,4051
8034,9088
11904,7895
12930,12956
11899,8063
8342,7737
12930,12967
7924,8405
11911,3596
3716,3685
8209,3674
7008,8137
11900,12135
3674,9092
3674,899
5287,12340
1079,3522
11898,8112
7812,11898
8209,3685
11892,12398
6760,7658
3716,11912
5224,6124
8035,908
11911,7730
11932,7082
7903,908
9088,1034
7680,7826
7013,8023
7844,6838
6221,12093
3711,3889
5679,4319
1206,11912
8342,7782
13403,14733
7814,3674
753,1386
8342,7795
11911,11853
11899,8124
6221,8023
7927,8387
7687,3538
7680,11947
6759,7730
8204,8000
8111,6783
12093,6221
6990,579
7680,11962
6026,5892
3710,8056
12310,7699
11895,8273
5509,1441
8150,1489
402,8209
8209,7860
7605,6103
7932,12354
11911,7782
638,899
12310,7703
11911,7795
7007,4169
6048,5224
3721,7733
3537,1150
11899,8175
5584,3232
11887,12639
7932,8273
7932,8272
7812,7896
7941,12095
7680,7896
1150,5528
8260,6306
7932,8282
8170,9092
8214,7737
11917,7632
8013,5772
3641,6138
8337,8023
402,12340
7680,7910
11911,7815
6092,12079
7906,908
8032,1102
7932,8295
12935,12956
11898,8240
3532,1342
8342,7883
4077,832
12310,7762
6759,11906
11911,11947
7953,7666
7947,7851
5287,8391
7670,4156
8218,7643
7932,8319
8342,7896
6662,6736
8342,7905
8871,7892
6759,11923
7680,7953
11911,11962
7942,8023
4238,4062
12313,7694
6048,1206
7932,8342
8212,11947
6103,7700
6663,6723
8179,8891
3824,8733
11897,8333
899,1106
8342,7946
8779,6687
7631,1310
11917,7709
3553,8949
7932,8370
2541,3465
6103,3635
4238,4109
367,1233
8212,3795
11911,7911
6103,3645
6662,6794
8405,6017
3716,3917
12310,11935
8342,7967
8068,8278
11906,8087
11951,6687
7683,7929
7847,6941
6663,6781
8273,6017
4282,6862
6663,6783
7680,8023
2541,7594
8072,8170
5263,1041
6103,3671
7024,7893
11911,7942
2541,7602
6990,753
11900,12392
8170,1041
7680,12135
8013,5914
11911,7953
8972,8949
7010,8333
11906,4023
11953,6662
5892,6138
7946,12095
7693,3553
402,8391
11899,8342
7942,8127
12313,11892
8069,8285
8333,8299
11911,7967
11906,8124
11953,6677
6103,7798
14732,14733
8342,8023
8180,8949
14732,14731
7685,3823
8214,7905
7822,11862
11917,11892
7693,7672
7010,4275
7693,7683
827,3439
8218,11884
14733,14731
11898,8405
3251,6124
3710,8282
3594,3685
7814,8034
11953,6698
6638,7632
1333,12340
2541,7664
8405,6103
14733,14732
8212,8000
3710,8295
11917,11924
11911,12125
11900,8370
7680,8111
6759,12093
2541,7680
3594,11912
7737,6356
12076,7024
11917,11953
7700,3412
11916,7890
11911,12135
11923,7666
11953,6739
2541,7699
5318,3530
2541,7703
7680,8136
6990,854
8039,1102
6109,3594
11917,11957
6638,7680
826,3530
1206,4038
6850,1106
3537,5509
6103,7883
8867,4127
11911,8063
8013,6026
1150,5786
6735,8779
8342,8112
8212,8056
6638,7699
7680,8165
7693,7762
7847,7083
8170,5267
7693,7766
11953,6783
8647,6862
5786,1351
7950,8000
11911,8093
4109,8285
5696,12340
7822,7880
6759,8063
8342,8141
8847,8871
6759,8068
8209,8170
4251,3900
6103,7929
2541,11853
2541,7761
11923,7730
7942,4169
2541,11862
12323,7632
5772,5914
8322,8779
11911,8124
6759,8093
7953,7942
8180,9092
12310,8037
7680,8212
11911,8127
8214,8057
11911,8141
11898,12640
9088,1445
5509,5892
5970,3889
3825,8949
3674,1342
8255,6783
7814,8170
8380,7016
6759,8112
6638,11862
7953,7967
2541,11897
2541,11898
11960,6638
11911,8156
2541,3710
6103,12076
8159,5684
7023,8137
12325,3522
7984,7015
6765,7946
4026,6838
8013,6124
7694,11917
11899,12640
5628,6335
11924,11862
6759,8139
8337,8380
11923,3710
2541,7828
6103,8000
11956,6783
6765,7957
12310,8099
6759,4046
7700,3553
6735,8891
3917,6138
2541,7837
2541,11935
7024,8137
6638,11911
12310,8112
1207,12340
2541,11949
12356,6696
6638,7822
7953,8023
6048,5638
8214,8118
9092,5477
6893,8112
3594,3889
2541,11956
7680,12392
11924,11900
7957,7906
11917,8023
11960,6699
12325,7672
7703,7592
7061,7019
11960,6696
11924,7812
7953,12135
11899,8600
8342,12365
7592,6950
8322,8891
7680,8315
11916,8081
6638,11956
2541,7889
9092,5507
8346,8156
7828,7837
12325,7693
6638,11964
6714,5511
6103,8068
5719,7685
7680,8337
12087,6893
2541,7903
4077,1246
7693,7932
1150,5968
1342,8209
2541,7905
7957,7946
8647,7032
11911,8249
2541,7906
8342,12392
8847,9034
6638,11975
6103,8080
11923,7889
11924,11953
6638,11973
11960,6736
6638,7883
7828,11951
11924,11960
8256,6893
2541,7927
3860,7998
9092,1451
7953,8093
7680,8370
4251,4077
12935,13403
11915,12251
12323,11892
7837,7602
5263,5477
11924,11973
7699,7782
7837,7607
6638,7912
6735,9000
7957,12076
8342,8333
7680,8381
8099,7685
3860,8019
6781,7587
8092,7904
6103,8127
6638,7925
8093,7883
8070,402
7828,7904
7837,7631
11911,8314
8099,7700
2541,7967
7889,6017
12323,11924
11960,6794
7693,8000
3221,3274
7658,9092
7953,8139
12578,8127
4127,3862
7953,4046
1079,12340
14611,14731
7822,8111
11911,8333
2541,7983
5719,3674
12354,6893
7699,11930
8862,8652
7957,12124
12323,11948
7044,3569
3465,8023
12956,12804
12323,11960
8282,6160
11911,8342
8349,4077
12310,8273
7828,7953
8278,6287
12325,3710
7594,7013
7703,7730
7685,8295
7826,8023
7837,7680
11930,7782
9088,5772
1150,6086
11911,8370
12325,11923
12323,7889
8013,6335
6765,8159
5509,6138
6103,8204
7837,7703
2541,8037
12087,7023
12087,7024
9092,5671
7700,11958
12310,8314
4251,8285
8214,8316
7693,8080
11911,8405
8256,7015
12313,12323
8260,6893
11923,12125
1150,6124
7844,3412
4237,8733
650,1150
8256,7024
7700,7883
8099,3710
12323,7932
7703,11897
12313,12346
12310,8342
5509,6187
7964,7905
12325,7889
3594,8209
8387,7088
8387,7082
5263,5628
12325,7884
8387,7083
7828,8031
6638,8057
3596,8156
8170,5628
12087,7082
7828,8037
4270,3645
1292,5853
7904,5679
3721,4282
6103,12365
3860,8170
7957,8137
8000,6809
7837,7766
7812,12640
12325,7903
7680,12640
4077,1457
5490,6811
8034,5772
11958,7010
8891,7880
12956,12935
12310,8387
7964,7946
650,1206
7762,6017
7964,7947
5719,7911
12325,7925
6765,12354
6765,8260
2541,8139
5974,8209
7837,3710
7694,8141
8214,8405
7822,8275
6765,8273
7709,7680
6103,8314
7837,11911
9092,5772
3716,402
8342,12640
4144,3522
2541,8156
4038,6811
12323,8031
7664,908
8260,7015
8209,402
7693,8204
8994,8840
8031,5922
8260,7024
2541,8182
7822,8316
4127,4077
3532,6138
4303,6811
8093,8112
7837,11958
5719,12079
7844,3553
8007,6696
9092,5833
8093,8124
6638,8179
8007,6698
6765,8342
6638,8182
3862,4127
7957,12354
8127,7088
11941,7643
7970,11954
7703,7942
7957,8260
7837,7889
3635,7083
2541,12325
7709,11862
5509,6335
7837,7893
8099,7967
4081,1457
7837,7903
7837,7906
7693,8272
7693,8278
7703,7967
4270,7893
6638,8214
5870,3353
2541,8255
8137,6809
8100,3860
4127,8243
7737,6935
8231,12095
11973,6696
7837,7932
3596,8333
7700,8083
7703,12093
6017,7019
11923,12352
7693,8314
7837,7946
2541,8282
9092,5914
7957,4235
6783,11954
11923,8273
7709,7828
7837,7967
8092,12354
7703,12125
6638,12370
2541,12404
11973,6736
7693,8342
11932,12100
2541,8312
5263,5853
7700,8128
2541,8314
7828,8255
6648,7976
402,899
8000,7024
402,9092
6017,7061
8170,5853
7699,8173
12967,12804
11947,3465
7709,11957
6638,12389
1102,7883
7709,11960
11930,8093
5263,5870
12325,8139
7826,8337
8277,6646
8170,5870
7703,8063
7700,8156
7709,11973
2541,8342
6638,8316
7703,8068
7605,7010
11923,8314
7828,12389
5263,5892
7717,7640
8170,5892
12337,7788
7964,4088
7709,7896
12313,12639
3685,5671
7703,8087
7703,8093
7837,8032
7957,4319
8099,8112
7967,8112
7739,6988
8380,7602
6651,7946
12639,6638
11917,12639
7714,11862
6651,7957
6781,8023
7709,7925
7967,8124
12323,12346
7837,8063
6781,8031
7828,8342
7739,7007
11924,8342
3594,335
5287,1106
7699,8255
6160,6811
5786,6124
7737,7082
11930,8173
3711,816
7043,8121
12325,12310
8249,7594
8099,8156
5830,8871
11948,7628
9070,6735
8380,7658
6638,8405
7709,7983
7837,8111
7044,8121
7828,8393
7964,8272
6662,7680
3238,3232
7588,3553
7700,8278
402,1041
3674,6105
7837,8124
12325,8272
8734,9002
7837,8139
8118,3522
11948,7669
7932,1102
3674,6124
12325,8282
8111,3752
7977,7911
4275,3889
650,5671
3674,6138
7837,8159
11930,8255
7700,8314
7709,12135
900,6124
9092,6124
5830,753
497,6335
8249,7683
12325,8312
11949,7683
8099,8249
5985,12340
9092,6145
402,1106
12346,7680
12639,6783
6662,7759
11932,8231
7980,7860
9092,6162
7043,4144
11898,1102
6662,3671
12346,7693
6662,11862
7983,7774
7699,8393
6651,8112
11953,7587
8111,7906
7703,8273
6651,4020
7083,7016
6698,6662
7083,7015
12346,7699
8938,6862
8119,7670
8272,7024
6699,6638
6651,8137
402,1150
7044,4144
8405,7019
8273,7010
7983,11911
3594,518
6662,7812
7837,8255
11951,7700
11953,7632
11942,7976
11924,12640
5395,6138
2541,8600
5224,3251
8255,7602
8150,6759
8170,6138
12135,6103
12325,8405
6109,402
6714,6221
5870,11912
7847,7967
4046,7019
11954,7628
11953,7658
7703,8342
8405,7061
402,1206
7837,8295
8243,3898
7666,5407
11956,7594
8256,7599
11947,11962
11930,8393
8256,7607
12346,3710
3716,9092
8170,6187
3716,899
1385,3530
6663,11953
3594,596
8255,7666
12076,8000
6663,11960
8255,7668
11956,7620
8380,7883
11947,7911
7970,8315
6662,7903
4039,3198
5507,6845
12346,11923
899,6335
7837,8346
12346,11935
8380,7906
1206,923
11951,11898
6651,12354
11932,8387
12346,11949
8255,7700
11951,3710
8256,7664
9092,6335
5831,926
7088,7015
8255,7703
5214,3674
5331,12340
11941,8139
3721,9002
7837,8380
7761,6651
8380,7946
4275,8225
7837,8393
5696,1041
8255,7730
8380,7953
12346,7884
7984,7946
11951,11947
11951,11949
8119,11956
12346,7889
11949,7911
8000,3355
8255,7737
8180,5974
6651,8319
12340,3989
11951,11962
11953,11900
12354,7664
8255,11853
908,6141
6141,3669
8255,11862
7964,8600
1150,6845
12076,8112
3221,8180
6759,908
12093,7594
8255,7782
1102,8346
8393,7602
7631,6651
3716,1041
8380,8023
8255,11898
3716,1052
8099,12640
3594,739
8255,11897
402,5490
11953,11956
11956,11862
11953,11954
7703,12640
11953,11960
8255,11911
402,5507
3711,1235
11960,7658
8393,7643
7592,7906
650,6026
11956,11898
7883,7083
12087,11932
11941,12356
663,5628
8393,7670
8255,11949
11960,7680
8243,4127
7709,8393
8381,12135
11956,11911
11953,7910
11951,7967
11956,7812
8127,7730
11956,7822
3860,753
3088,4208
1385,3754
3716,5224
3594,816
4127,8867
12346,8037
8393,7703
8780,3898
12340,4124
8255,11975
8282,7053
3645,3345
7605,3465
8255,7889
8111,4169
11956,11954
6017,7640
7631,6759
7767,6638
8380,4020
8949,6862
3594,842
8249,8093
11956,11956
11960,7737
7632,6739
7844,4270
7983,8150
12087,7905
11956,11975
1342,1041
11862,6696
1206,5260
3752,12352
11960,11862
8314,6103
11960,11855
8255,7927
8032,6651
8119,8057
6662,8165
5214,7998
12389,6759
8883,8949
8256,7906
11956,7903
4270,8600
11941,8370
402,5628
8249,4038
402,5631
11956,7912
12087,7946
6662,8182
7605,7620
3641,3532
8255,7953
7632,6794
7814,1150
8393,7782
3594,899
11853,7013
11942,12448
12356,11900
11960,11900
8249,8156
11960,3710
8255,7967
7700,8792
11960,7812
6759,1102
8256,7946
12087,12076
8393,11898
12356,11924
11906,1310
7739,7605
4270,8647
8387,12095
7767,6735
1206,5327
6838,6862
6047,6811
6794,8240
5870,8209
12093,11915
12087,12100
2541,826
11862,6794
11960,11947
7814,1206
7717,8314
12087,12105
11960,11956
7983,8262
8255,12125
11960,11957
8624,8871
11960,11954
7605,7703
12356,11975
12087,12124
12352,8000
8256,8000
5870,12340
8255,8031
8380,4169
11960,11973
3439,5786
8255,12135
8032,6765
12393,6739
11960,11975
7737,3635
1106,299
8380,8282
8393,11975
6356,5490
12354,7964
8255,8057
7904,6651
8255,8068
12354,12067
4294,7980
8255,8063
8780,4077
3994,9092
7983,4216
3907,3594
12346,12325
12354,12076
8393,7889
11956,12135
4270,8733
11960,7912
11947,8315
856,8076
7594,8093
11962,11947
663,5870
7605,11853
402,5772
8255,8093
8393,7905
7893,7024
6663,12393
3641,3674
11956,8057
8256,8063
402,5786
1206,1342
8127,12076
12930,14733
8393,7927
12356,7953
7594,8124
12346,8272
6221,5628
8316,6221
12231,7736
11962,7896
7605,7795
7739,7737
12087,8112
8899,8647
8118,8278
12346,8282
8127,12095
7605,11897
7924,6103
8007,7632
8255,8139
7605,3710
11960,7970
8260,12078
7631,7008
8092,908
8393,7967
8256,8124
11956,8111
8255,8156
8273,7594
12340,301
7739,7766
3716,5507
11956,8118
3594,1106
11906,1485
8255,8173
402,5853
1150,3145
8260,12107
11951,8278
3716,5528
8780,8285
8260,12118
12346,8342
8007,7680
8255,8182
8260,12124
6941,7967
12356,12135
4294,8108
8119,8314
8007,7694
3355,12647
11960,8031
4169,7893
402,5892
8007,7709
11960,12135
8039,6714
4026,12340
3109,3900
352,3353
8255,8214
8039,6723
6941,12093
8273,7666
11956,8182
7730,8124
3900,8068
8256,8204
7737,7905
11951,8342
12370,7643
8127,8112
8393,8068
11973,7680
12346,8405
6803,8204
11953,12398
7860,8209
8127,8124
8273,7700
12370,7670
826,987
12935,14731
11956,8214
8031,7010
8007,11855
328,12340
8119,8393
8393,8093
7964,908
8273,7718
8007,11862
4169,7967
1150,3251
8255,8273
11954,12398
3532,3140
8127,12251
4273,8840
8405,7730
3532,3145
11975,7658
8405,7737
5490,3889
11953,8342
8273,7730
8256,12354
6723,6630
12352,12365
7739,7906
8007,11892
3662,3232
12087,8295
8255,8314
11957,8240
8255,8316
7605,12076
8255,4218
12370,7736
8007,11917
7737,12095
3716,5671
7594,8333
3221,8733
1342,1446
8255,8333
6103,5407
8007,11924
6109,5224
6723,6677
12340,490
12231,7964
7739,7946
11973,11862
6941,8112
7739,7957
12354,8256
12093,12251
8272,7815
1106,590
8277,7661
4270,9002
8393,8173
753,3345
8405,11897
6941,8124
8141,7795
663,6138
8007,11948
12093,8156
8007,11957
11956,8316
11973,11884
8007,11956
8273,11897
11898,6017
8007,11954
8007,11960
8256,8342
7703,908
8272,7851
8299,7015
11960,8214
8255,8380
8007,11973
6941,8156
8023,3293
4175,7893
7739,8000
11956,8342
12356,12323
6286,3889
2784,5960
8007,7889
8167,7023
6714,7010
11973,7826
8255,8393
9092,7032
8405,11947
7737,3981
4077,6862
7739,12124
11973,11947
8273,11958
12639,7680
3716,5772
402,6105
692,1211
7605,8093
11973,11954
11960,8255
8405,7883
11956,8393
11973,11957
8393,8249
3716,5786
12639,7709
402,6124
3594,5477
7730,8333
8260,8295
7737,8124
11956,8405
7893,3293
5892,3889
7620,7666
8393,8273
8309,6781
4169,12251
11973,7896
11960,12398
7620,7668
7905,7024
11960,12392
8149,7658
4169,8156
11960,12393
9034,8902
8013,3685
8255,12573
12639,7737
9034,8898
11975,11947
3710,6017
7737,8156
11878,6759
7051,8949
11975,11954
7883,7730
7884,7699
12231,8111
7906,7024
8393,8316
6124,827
3641,8170
2541,1310
9034,8921
11953,12640
7082,12095
8405,7942
8013,3716
4077,6955
12639,11862
6698,7628
6698,7632
7880,11947
11973,7953
7905,7083
12356,8370
8136,8111
8405,7967
12639,11892
7083,12095
3553,6838
3685,6845
7889,7594
8007,8031
11973,7970
8007,8037
8209,5870
11960,8370
12639,7812
6698,7658
11975,7911
3907,8170
7883,7795
12370,7967
8000,12365
3553,6862
12639,11924
8393,8380
6696,7737
6698,7680
3716,5914
7620,7774
8949,3442
11960,8405
7880,7911
352,11912
8405,12125
12639,11956
12639,11957
7687,5719
7737,12365
8070,6138
5971,5671
8100,5214
11962,8370
12639,11960
6160,3917
11975,7967
7605,8273
12639,11973
8840,6862
6941,8386
7605,8282
11973,12135
6699,7699
8273,8063
1342,5833
12639,11975
8312,6850
12107,12095
8273,8068
7737,8299
7889,7683
7884,11935
5786,3251
11855,7628
8007,8126
3594,5671
7889,7703
7739,8256
8209,5974
7889,7700
8273,8093
7739,8260
6687,8104
4312,8000
12639,7912
402,6335
12231,8272
4169,8346
3860,5638
7739,8272
4282,8949
7605,8342
7889,7730
11855,7669
11853,7730
7884,7889
3674,3232
7889,7737
6696,11957
7700,5407
8141,8124
7088,12095
8273,8141
3674,3251
8405,8141
8405,4046
7889,11853
11887,6696
8273,8139
6696,11975
13403,12956
1150,3685
13403,12967
11960,12640
854,579
8273,12251
8007,12313
11887,6723
7896,3465
6696,7896
9092,3251
7889,7782
7957,5679
8007,12323
8277,8046
7739,8342
8150,7889
7889,7795
7880,8073
3795,7730
11853,7795
3716,6086
3594,5772
7782,7019
3824,6838
11887,6736
1150,3716
7889,11897
6698,11954
12111,12095
8779,8891
7883,8000
8159,3538
8007,12346
8647,8898
4077,3109
8023,7759
8007,12356
11911,6017
7659,6759
3824,6862
12639,8023
6698,11973
7739,8380
12124,3522
638,3232
8647,8902
7890,11895
3538,3450
3716,6124
8007,8272
8013,3994
7762,7683
1206,6124
5857,1211
12639,8057
6698,7910
8023,7795
14732,12804
1106,1040
3594,5833
1206,6138
7739,4319
11973,8240
8322,6735
8007,8309
8273,8249
8007,8315
7889,7883
7893,7759
8150,7983
11853,7883
8037,3293
8272,8295
3537,3532
7766,7602
11973,8255
14733,12804
8149,8023
7837,1310
7083,8299
8391,518
7718,908
12392,3465
3538,7607
6048,3530
7631,7703
11862,7620
7889,7896
8314,7010
8273,8282
11892,6698
6736,6794
3522,8124
8212,6092
11855,11948
1041,3116
7761,11884
7620,8063
11973,12393
8405,4216
11973,12392
6696,12135
7889,7927
7883,8112
5892,8391
7762,11862
7844,5224
8007,8370
8019,7998
9088,3530
11975,8240
12639,8149
7883,8124
11973,8315
5870,899
11892,6723
12389,7703
6735,6850
11892,6736
7889,7946
3537,3594
6739,6736
12370,12393
11975,12352
8007,8393
12370,8312
7759,7893
7761,7828
7762,11897
7631,11862
7889,7967
8165,7602
7761,7837
7762,3710
12389,7737
14732,12930
7883,8156
832,1457
8031,7669
6698,8031
4315,4081
12956,14731
7631,7782
14732,12935
7631,11884
12639,8182
7762,11923
11862,7703
8159,7815
11975,12398
7762,11935
220,8170
7631,11898
11892,6781
11892,6794
3633,8871
8150,8111
3502,8840
7631,7815
7631,11911
1385,739
14732,12967
7889,8023
12578,6017
12389,7782
7884,8179
7632,11900
11853,8023
12118,12095
12389,11898
1041,3232
7880,8316
14733,12956
11862,7762
14733,12967
12370,8393
3716,6335
11862,11855
7088,8299
5584,5772
3994,5914
4051,12340
7631,11951
7762,7889
6759,6221
12389,11911
8029,11906
7903,7620
12389,11923
7889,8063
9070,8322
8165,7700
3537,3716
220,12340
8150,8173
3685,3232
7632,11954
8150,8182
11862,11900
5224,590
6048,11912
7759,8023
12389,11951
7889,8093
7890,8068
7631,7904
11853,8093
11855,8031
7631,7906
11862,11911
8007,12639
12639,8315
5679,6988
7883,8299
3532,3917
5509,8170
8032,7782
11915,6186
753,4053
7889,8118
12389,7889
12393,11862
6696,8240
7889,8127
11862,11947
7632,7910
7620,8282
11853,8124
11862,3752
7884,12389
6287,8647
8256,856
12398,7628
7889,4046
6714,7703
12639,8342
11862,11962
7883,8333
12393,11884
8218,6138
11862,11957
7890,8118
12398,7632
11900,6696
8405,12640
6699,8179
3645,8647
8031,11948
7631,7967
6141,908
7761,8032
12393,11898
2541,6017
856,908
8159,7988
11862,11975
11973,12640
11862,7889
1367,1456
3799,3889
1457,6864
4081,3345
6714,7739
6696,12392
11862,7896
6057,3532
7670,6783
7896,7967
7767,11973
7631,12093
7927,7013
12398,7669
8272,8600
3674,3685
7766,7906
8256,908
7631,8000
9088,7893
8180,3274
6714,11853
6696,8315
8169,7714
3889,5226
11898,6803
7904,7739
4077,3503
4295,9034
7889,8212
12135,7668
402,6845
3674,11912
8167,7795
7631,8032
7664,7008
12392,7896
7631,8037
8150,8330
6699,8255
11862,7953
7620,8380
12389,12093
11915,6319
7890,8212
9092,11912
7700,5914
6698,12398
6696,8370
6048,3880
7632,8023
8039,7703
7631,8063
7889,12352
8173,3553
7889,4169
6103,6287
8391,899
8032,7932
11862,7983
5853,5853
5870,1235
7910,7628
12389,12135
8173,7666
7889,8282
8037,11884
4077,3574
6048,3917
8928,8840
7905,7795
8013,352
5684,7019
7766,8023
12967,14733
8039,11853
7889,8315
7889,8314
8167,7893
11862,8031
14611,12935
8664,8871
6765,6306
5224,827
11862,12135
5263,11912
7631,8141
12389,8093
3804,3900
7007,7008
11862,8057
12639,12640
7889,8342
8013,402
7007,7016
12389,8112
7007,7015
1418,12340
14611,12956
7798,7083
8044,3553
7932,7024
7932,7023
12398,11948
7904,7906
12398,11954
8173,11853
11855,12398
7782,7594
11878,7602
3645,8871
8173,3674
8037,7889
7889,8380
7889,8387
8173,7774
7008,7024
827,6124
8039,7837
8039,11930
8314,3412
6138,1235
8173,7782
3674,3889
6723,7680
7631,8204
11862,8111
