people_1,people_2
11831,3758
11829,3833
11832,3740
11831,11962
11833,3704
11829,3831
13928,4296
11832,3747
11833,3716
11825,3967
11827,3904
11829,3836
11826,3932
11833,11906
11833,11919
11833,3727
13928,4316
11831,11975
11831,11974
11843,3422
13932,12392
11833,3729
11833,3728
13928,4319
11825,3978
11850,3203
13966,3155
11825,3989
11914,1231
13928,4328
11833,3749
11831,3810
11829,3872
11829,3880
11826,3976
11831,3820
13929,4315
11842,3473
11834,3724
11831,3826
11825,4009
11833,3760
11846,3370
11831,3837
11852,3185
11833,11961
11832,3799
11826,3987
11834,3750
13930,4310
11836,3689
11833,3777
11833,11969
11843,3467
12876,4214
11825,4027
11829,3913
11831,3852
11831,3848
11854,3145
13937,4109
11829,3916
11827,3978
11833,3794
11829,3918
11833,3804
11833,3806
11831,3863
11842,3522
11833,3803
11827,3989
11830,3906
11836,11911
11835,11939
11830,3904
11825,4058
11835,11953
11831,3881
11831,3880
11831,3891
11831,3893
13937,12330
11824,4106
11831,3900
11833,3844
11838,3689
11849,3350
11849,3345
11834,3810
11848,3387
13935,4225
13933,4287
13953,3664
11833,3850
11832,3892
11857,3117
13940,4080
11834,3826
11842,3580
11831,3931
12876,4304
13959,3497
13942,4021
11833,3877
11826,4094
11825,4124
11831,3938
11826,4093
11839,3693
11827,4058
11832,3906
11843,3565
11838,11911
11839,11880
11831,3936
11833,3874
11833,3885
11831,3946
11859,3081
13937,12389
11852,3297
13942,4039
11831,3943
11824,4160
13942,4037
13933,4316
11831,3955
11827,4079
11856,3181
13940,4109
11826,4106
13929,12640
11831,3952
11831,3963
13951,11973
11836,3810
11833,3902
11840,11874
11833,3898
11833,3909
11825,4157
11831,3971
13936,4251
11831,3972
11831,3969
11833,3906
11831,3968
11829,4042
11824,4191
11831,3987
11833,3927
11856,3208
13935,4294
11825,4171
11840,11908
11830,4026
11833,3933
11840,11910
11857,3191
11833,3935
13936,4274
11829,4052
13953,11937
11831,3992
11848,3476
11843,3627
11843,3634
11831,4009
13937,4257
11831,4008
11825,4194
11840,11934
11856,3240
11840,11929
11833,3954
11852,3377
11840,11936
13956,11878
13947,3962
11840,11937
11831,4035
11854,3322
11835,3912
11833,3974
13260,692
11840,11955
11832,4014
11831,4045
11833,3982
11840,11952
11831,4039
11824,4258
11852,3399
11840,11963
11833,3988
11829,4112
13937,4297
11836,3893
11833,3997
11854,3345
11840,11971
11831,4058
13956,11911
11826,4216
13953,3810
11840,11968
13019,8189
11825,4240
11858,3217
11828,4161
11854,3350
11840,11976
13955,3757
11833,4003
11840,11977
11842,11915
11863,3082
11842,11925
11827,4201
11856,3296
11833,4008
11831,4073
11842,11933
11833,4023
11843,11904
11833,4018
11825,4266
13955,11976
11848,3564
13943,4155
11831,4101
11825,4282
11833,4034
11848,3580
11842,11959
11831,4108
11845,11861
12712,1367
11825,4290
13942,12403
13958,3710
11832,4081
11833,4050
11833,4061
11827,4249
11831,4121
13946,4103
11833,4070
11830,4157
13944,4159
11825,4314
11833,4077
13166,3716
11825,4326
11831,4137
11833,4092
11829,4219
11835,4032
11833,4091
11826,4308
11831,4153
13959,3732
11830,4194
11848,3635
11833,4098
11833,4109
11847,3676
11833,4105
11831,4166
11834,4085
11833,4116
11844,3778
11832,4144
11831,4175
11833,4113
11831,4174
11833,4114
13960,11916
11831,4188
11833,4120
11848,11862
11831,4191
11848,3663
11833,4128
11831,4193
11835,4078
11835,4074
11831,4200
11829,4272
13942,4306
11831,4212
11831,4208
11830,4250
11857,3412
13971,3414
11833,4165
11832,4197
11847,3732
11831,4235
11848,11900
11833,4173
11834,4141
11831,4236
11867,3127
11833,4183
11833,4176
11848,11912
11834,4153
11831,4246
11832,4218
11833,4186
11848,11924
13333,6851
13163,3929
11831,4258
11846,3796
11831,4260
11833,4205
11842,3928
11852,3611
11846,3800
11834,4178
13972,3436
11848,11947
11830,4316
11830,4315
11831,4281
11848,11956
11830,4322
11833,4229
11831,4293
11856,3517
11831,4292
11848,11957
11833,4230
11833,4224
11833,4237
11833,4238
11848,11960
11848,11962
11831,4296
11831,4307
11848,11973
11831,4305
11832,4282
11831,4313
11831,4319
11831,4328
13955,4026
11842,4006
11848,3820
13333,6937
11842,4007
11857,3538
11833,4297
11842,4017
13953,12305
11846,3904
11833,4306
11844,3978
11854,11853
11833,4327
11839,4137
11845,3961
11842,4053
13333,6980
11844,3989
11842,4071
13958,4007
11842,4065
11848,3894
11870,3208
11868,3277
11836,4279
13968,11915
13163,4103
11856,3661
11846,3978
11856,3667
11857,3645
13956,12310
13333,7044
11857,3662
11856,3708
11844,4079
13333,7069
11851,3860
11843,4118
11844,4089
13333,7078
11873,3184
13956,12370
11842,4170
11857,11899
11857,3706
11850,3923
11856,11935
11870,3321
13956,12383
13958,4145
11852,3904
11846,4089
11876,3168
11843,4189
11854,3847
11875,3208
11848,4045
13966,12124
11860,3685
11870,3387
11846,4133
11946,1041
11873,3316
11852,3969
11866,3530
13964,4040
13960,12354
13926,5231
11857,3833
11856,3864
13967,3961
11849,4089
11846,4194
11881,3107
11857,3862
13927,5223
11852,4025
11870,3462
11849,4115
13927,5244
13958,4280
13927,5248
13178,3908
11846,4266
11852,4079
11845,4294
13964,12343
13260,1397
13959,4315
11852,4103
11851,4136
11849,4194
11881,3215
13927,5333
11945,1239
13971,3965
11846,4316
13927,5343
11881,3240
13928,5320
13930,5268
13964,4214
11849,4240
11885,3127
13963,12448
11873,3511
13260,1470
11881,3268
11877,3409
13929,13534
11857,4032
13927,5410
11849,4290
11863,3864
11849,4314
11885,3208
11885,3216
13927,5450
13926,5482
11870,11884
11852,4249
12929,3624
13969,4163
13929,5423
13978,12093
11865,3870
11881,3368
13809,959
11885,3261
13981,3835
11873,3647
11875,3581
13932,5361
11872,11871
13930,5431
11859,4101
11885,3303
11891,3127
11857,4181
11885,3312
13178,4193
11870,3796
11863,4018
11891,3152
11872,11929
11860,4116
13333,7627
11825,5217
11825,5216
11860,4133
11946,1474
13937,5289
13333,7641
13927,5609
11825,5243
13333,7645
11825,5253
11826,5230
13935,5389
13927,5634
11857,4265
11875,11898
11873,11972
11879,3599
11863,4105
11827,5241
13333,7705
11875,11951
11825,5308
13333,7710
13942,5214
11825,5316
13940,5287
11858,4290
11825,5315
11858,4303
11894,3181
11824,5359
13927,5702
13333,7747
13940,5310
13927,5710
13333,7741
11825,5348
11875,3795
11894,3208
11829,5222
11876,11967
11829,5232
11826,5325
11829,5242
11824,5393
11829,5249
13333,7779
13333,7772
13942,5287
13333,7783
11829,5265
13927,5763
11875,3834
13927,5759
11830,5241
11829,5283
11825,5406
11873,3913
13937,5464
11829,5279
11825,5402
11831,5226
11825,5414
11829,5285
13927,5796
11830,5267
13931,5668
11873,3928
11875,3868
13927,5805
11827,5362
13926,5830
13930,5719
11826,5406
13927,5808
11894,3296
13935,5559
13149,5366
11831,5263
11825,5449
11831,5262
11896,3261
11829,5333
11829,5332
11830,5304
11873,3976
11865,4227
11824,5498
11833,5218
13926,5883
11825,5473
11833,5224
11831,5289
11829,5350
11833,5237
13333,7891
13928,5830
11833,5233
11863,4314
13931,5752
11829,5376
11831,5317
11830,5348
11833,5248
13333,7900
11830,5343
11831,5312
11825,5509
11826,5477
11832,5291
11832,5287
11825,5507
11826,5475
11831,5320
11873,4026
13333,7930
13927,5898
11831,5340
13927,5897
11833,5272
13415,5383
11825,5522
11830,5378
11825,5531
13930,5824
11831,5351
13927,5910
11829,5425
13933,5739
13928,5891
13929,5861
13926,5952
11891,3511
11831,5370
11831,5366
13942,5462
11830,5412
11825,5567
11831,5377
11825,5572
11829,5450
11834,5289
11827,5509
11885,11912
13928,5924
11835,5267
11831,5393
11825,5578
11891,3532
11825,5585
11827,5525
11833,5346
13929,5919
11830,5449
11833,5356
11831,5415
11835,5290
11833,5367
11885,11942
11831,5434
11827,5558
11885,11949
11875,4067
11831,5430
11829,5505
11827,5567
11825,5628
11885,11970
11870,4240
13927,6007
11829,5521
11824,5675
11885,3787
13928,5985
11824,5672
11831,5455
11831,5457
11835,5332
11885,3788
11888,11887
11825,5659
11829,5534
11833,5420
13926,6071
11829,5541
11829,5540
11831,5481
11870,4282
13930,5958
11831,5492
13927,6048
11831,5489
13935,5812
11870,4290
11896,3484
11825,5684
13928,6028
13928,6025
11832,5465
13928,6038
11833,5446
13927,6076
11873,4215
11826,5672
11826,5671
13928,6041
13940,5679
11832,5493
13928,6049
13927,6092
11831,5531
11824,5747
13928,6057
11829,5588
13928,6055
13942,5636
13928,6067
11831,5541
11831,5540
11831,5537
11825,5732
11831,5549
13941,5673
13928,6071
13927,6103
11840,5265
13928,6086
11833,5489
11831,5550
11831,5552
11829,5624
11824,5775
13927,6127
11842,5237
11831,5575
13927,6148
11843,5215
11825,5775
13333,8185
11824,5813
13927,6163
11901,3434
13927,6160
11893,11871
11832,5569
11825,5798
11826,5762
11832,5575
11825,5805
11833,5552
13926,6206
11824,5833
11831,5626
11827,5752
11831,5628
13927,6194
11842,5296
11826,5791
11834,5540
11824,5860
11826,5799
13933,6012
11835,5517
11826,5796
11831,5651
11830,5682
13927,6213
11840,5371
13928,6179
13933,6025
13932,6053
13927,6206
13927,6220
13333,8251
11909,3240
13953,5412
13958,5257
13927,6217
13933,6028
11833,5594
11914,3083
13333,8256
13943,5731
11832,5631
11831,5664
13927,6237
13333,8264
11894,11916
13927,6235
13959,5243
11882,4089
13926,6262
13927,6244
11842,5343
13930,6147
13934,6024
11831,5681
13928,6221
13927,6252
13927,6251
11829,5754
13958,5287
11893,3765
11831,5688
13956,5361
11832,5668
11824,5918
13946,5670
11836,5540
13933,6071
13927,6266
11835,5584
11833,5641
11831,5702
13927,6276
11832,5684
11833,5655
13927,6275
11885,4048
11831,5725
13929,6229
11824,5944
13927,6286
11840,5456
11832,5704
13937,5999
11837,5557
11831,5742
11825,5940
13149,5857
11831,5763
11829,5823
13927,6332
11831,5767
11829,5829
11825,5952
11833,5707
11831,5778
11824,5992
11830,5819
11831,5782
11830,5826
13236,3199
13333,8384
11831,5797
13937,6042
11831,5793
11830,5829
11824,6028
11843,5438
11885,4139
11831,5812
13930,6273
11846,5343
11831,5819
11843,5447
11891,3961
11831,5815
11833,5753
11825,6015
11824,6040
11843,5451
11833,5773
13935,6149
11914,3261
11826,5992
11901,3667
11885,4162
11831,5836
11836,5675
11831,5833
11838,5626
11826,5997
11829,5907
11829,5914
11824,6064
13937,6099
11840,5570
11833,5786
11831,5859
11830,5892
11885,4195
11833,5807
13930,6329
13942,5972
11832,5840
11833,5817
11833,5831
11833,5830
11824,6109
11833,5837
11829,5961
11826,6053
11832,5863
13933,6268
11824,6113
13937,6159
11824,6123
11825,6088
11835,5790
11826,6072
13941,6041
13943,5979
11833,5854
11833,5850
11840,5633
11825,6098
11832,5892
11830,5950
11831,5918
11827,6057
11832,5897
13942,6036
11832,5909
11824,6152
11840,5656
13968,5223
11836,5782
11825,6123
11825,6133
13943,6011
11824,6160
11831,5944
13236,3360
11829,6018
11849,5393
11826,6108
11826,6107
11825,6138
11831,5952
11826,6119
13946,5932
11831,5970
11850,5383
11827,6091
11913,3425
13937,6216
11831,5969
13943,6042
11831,5981
12712,3244
13236,3381
11832,5944
11848,5455
11840,5703
12712,3247
13942,6087
11833,5941
11832,5974
11885,4330
11852,5359
13333,8600
11831,6013
11831,6007
11833,5946
11843,5649
11831,6017
11832,5985
11827,6151
11833,5964
11831,6026
11841,5719
11831,6028
11846,5558
11843,5665
11854,5318
11825,6217
11825,6219
13236,3436
11827,6156
13936,6325
11837,5856
11835,5920
11825,6230
13937,6290
11825,6224
11833,5988
13942,6142
11831,6048
13966,5412
11833,5996
11831,6057
11826,6223
11830,6099
11842,5722
11829,6127
11841,5765
11830,6105
11825,6262
11833,6009
13940,6241
11893,4161
11831,6083
11840,5806
11834,5992
11825,6271
11831,6079
13927,6638
11825,6266
11835,5956
13927,6651
13927,6648
11844,5684
11894,4135
13927,6660
11825,6287
11827,6224
11827,6219
11832,6063
11858,5260
11830,6128
11825,6282
11858,5259
11825,6293
11856,5332
11831,6109
13333,8695
13942,6197
11825,6291
13944,6136
11830,6146
13928,6646
11829,6176
11854,5404
11831,6116
11831,6113
11841,5802
13943,6186
11830,6156
13926,6711
11891,4258
13236,3537
11840,5852
13333,529
11831,6126
13928,6670
11827,6262
11825,6326
11833,6078
13178,5340
11858,5297
13926,6726
11832,6105
11833,6074
11846,5682
11836,5992
11831,6147
11829,6208
11833,6086
13942,6239
11829,6204
13946,6114
11843,5772
11840,5875
11891,4294
13927,6714
11826,6308
11831,6152
13927,6721
13928,6687
11831,6160
13942,6268
13942,6265
11836,6017
11901,4002
13927,6729
11844,5775
11852,5525
11833,6124
11831,6188
11833,6121
13941,6311
11832,6151
13942,6277
11833,6135
11840,5917
13928,6721
11830,6222
11826,6346
13333,8780
11833,6149
11833,6150
11928,3200
11848,5682
11852,5558
11863,5217
11830,6250
13942,6314
13163,5895
11830,6259
13928,6753
13953,5978
11830,6262
11852,5582
11920,3473
13959,5812
13927,6803
11831,6239
13952,6024
11846,5775
11849,5682
13928,6781
11848,5726
13927,6821
11830,6291
11832,6224
11829,6318
11833,6194
13942,6363
11830,6297
11836,6113
11833,6201
11856,5500
11833,6215
13928,6804
11913,11922
11849,5725
11848,5757
11831,6284
11848,5752
11840,6001
11840,6011
11831,6293
11833,6231
11832,6255
11831,6289
11829,6361
13333,8891
11835,6176
13927,6855
13333,702
11829,6365
11832,6271
11860,5416
13927,6874
11833,6251
11832,6281
11831,6321
11837,6145
11843,5956
11831,6335
11831,6337
13163,6016
13927,6905
13927,6914
11848,5829
11831,6351
13935,6662
13959,5919
11868,5217
11854,5648
11848,5845
13928,6897
13930,6834
11840,6102
11852,5724
13927,6948
11844,5983
11921,3595
13955,6075
13236,3788
13928,6923
11840,6117
11840,6111
13928,6919
13926,6993
11833,6343
13928,6941
11840,6140
11843,6049
13927,6975
11860,5528
11856,5660
13928,6966
11834,6337
13927,7002
11856,5670
13928,6969
13958,6038
13958,6049
11840,6173
11856,5682
11846,5991
11843,6097
13236,12059
11852,5814
11852,5813
11920,3723
11920,11912
11841,6171
11848,5953
13928,7018
13960,6024
11842,6158
13927,7054
11840,6218
13937,6759
13961,6012
13927,7067
11842,6167
11849,5944
13928,7043
13929,7010
11840,6232
13959,6092
13955,6217
11873,5220
11848,5991
12712,11975
11905,4227
11909,4102
11837,6347
13236,12124
13975,5610
11849,5991
11856,5767
11843,6172
11826,6719
13931,7007
11840,6288
11870,5369
11840,6299
13962,6053
11826,6736
11927,3599
11840,6295
11856,5802
11840,6315
13931,7028
11840,6312
13938,6824
13932,7007
11856,5829
13937,6850
13932,7018
11859,5740
11830,6646
13959,6185
11918,3920
11844,6224
13957,6259
11840,6350
13260,3294
11840,6364
11840,6360
11825,6824
11847,6155
13942,6741
11827,6783
13959,6229
13942,6753
11843,6289
11831,6660
13934,7009
13937,6916
11920,3909
13958,6262
11826,6831
11873,5378
11830,6711
11826,6845
11830,6719
13937,6951
11830,6729
11830,6726
13935,7007
11875,5332
13937,6952
13935,7014
11843,6342
11848,6190
11927,11926
11825,6899
13333,1120
11830,6756
11846,6266
13934,7073
11826,6888
13970,5956
11854,6024
11826,6904
11830,6781
11826,6905
11829,6814
11846,6287
11856,5987
11860,5866
11846,6294
11827,6883
11928,11964
13937,7031
11856,6003
13937,7038
11881,5239
13937,7034
11831,6783
11846,6317
11826,6950
11826,6946
11824,7007
11850,6204
13942,6896
11856,6023
11831,6810
11852,6156
13178,6022
11833,6753
11831,6814
11883,5217
11870,5614
11835,6698
11860,5936
11824,7050
13941,6966
11931,11930
13940,7009
11831,6850
11826,7002
11829,6921
11833,6797
11833,6796
11829,6922
11881,5307
11833,6795
11827,6990
11831,6875
11829,6937
11920,4116
11920,4115
11833,6812
11824,7094
11831,6873
11829,6935
11831,6883
11877,5456
11833,6817
11831,6892
11848,6361
13942,6990
11831,6903
11858,6068
11879,5416
11831,6916
11866,5826
11833,6849
11833,6848
11831,6922
11833,6864
11836,6783
11831,6936
11832,6915
11867,5833
11829,7013
11829,7024
11831,6973
11831,6967
11831,6966
11833,6906
13943,7038
11851,6365
11829,7057
13942,7092
13333,1393
11875,5626
11831,6993
11829,7065
11842,6662
13926,7592
13978,5978
11870,5791
11831,7007
11833,6944
11833,6958
11831,7016
11833,6960
13926,7628
11843,6662
11867,5918
11831,7030
11866,5945
11831,7033
11831,7043
11833,6983
11833,6977
13956,6699
13971,6248
12712,4316
11854,6334
11833,6984
13927,7606
11831,7061
13333,1454
11833,6992
11842,6726
11870,5857
11842,6721
13333,1470
11831,7071
11833,7009
11842,6729
13927,7630
11883,5470
13333,1480
11831,7080
13333,1487
13927,7656
11889,5296
11840,6818
13956,6756
