citytown_1,citytown_2
9391,9490
12500,11415
10587,9275
10591,11201
10034,10035
10610,10611
13850,8487
12026,9733
10481,8475
4906,9277
9832,10170
12185,10954
12926,8476
10673,10732
12000,8509
12176,5095
6650,8476
9608,10989
6649,8509
3413,8475
6758,9226
9395,9396
9989,9425
13190,8498
3743,8488
9557,8488
11278,10436
6659,10265
6981,8475
10786,9297
12006,10389
3413,8488
10246,9656
13055,10651
13140,10064
13254,10623
13322,8527
12663,8476
10740,10741
13390,8475
10628,10123
10482,8513
13161,11481
12858,10648
12662,10578
6747,9625
13059,8509
10615,8494
12003,8477
13011,9995
4337,10611
10946,8488
11039,9695
12700,11454
6680,9660
11519,11200
12002,10575
12029,9733
10694,10158
12154,9953
10469,10991
3389,9292
12795,8525
10356,10415
10619,10457
12995,8478
10992,9127
6784,8509
11222,10191
9788,9601
12826,9625
9526,9527
10486,10487
11005,10782
12162,9737
12030,9733
11356,10150
12037,11576
12861,10608
12146,10242
6718,8531
10441,9850
10221,8488
9775,10027
9279,11069
13326,8487
13061,8508
12031,9733
11284,10362
13230,9425
12731,8509
9565,10408
12027,9859
12798,8487
11013,8525
9428,8509
12665,8526
13053,10832
11581,9370
12039,9514
10930,11128
9829,10438
11015,8488
11280,8476
12667,8488
6787,10539
6764,9203
13393,8509
11984,11224
11491,10123
12172,9493
9400,11469
4013,8476
6674,9953
9310,10158
13325,10634
12865,10556
13820,9623
9429,8531
6788,8475
10421,8493
9174,10288
9537,9275
12033,9733
8417,9188
11066,11034
10720,9474
9785,9786
12865,8512
9849,9850
10937,10938
10898,10109
13394,8509
6722,8495
13272,10242
3446,9702
13065,8476
13131,8476
13206,10248
10819,8488
9658,9659
9498,8476
13358,9659
10647,9733
10531,9226
11026,10265
12951,9997
10501,10170
3249,9702
1637,8476
6724,8476
13132,8488
10847,9688
12008,8526
6690,11585
12035,9733
9979,9980
10234,10279
10260,9468
7055,8476
10706,9977
11254,11435
10856,9437
10002,9281
13133,8476
3775,9813
6727,10459
13426,9645
11216,10574
9482,11080
13226,9700
13116,11073
13434,11454
10054,9733
9276,9277
9349,11116
12969,9490
12044,9494
11388,9350
14323,8487
10359,8486
12045,9470
12697,9737
9512,10170
10432,10340
9303,8475
6792,8488
12856,10972
10225,10614
9501,8476
11087,8475
10452,9729
9633,8488
11084,10611
3951,8512
12011,8513
6790,10614
13839,9186
14324,8488
11017,10648
6769,9221
10038,10289
11376,9774
4122,11410
4122,11415
12805,8476
13836,11331
13177,9232
14325,8475
10095,8531
10492,8513
12006,10725
9598,9599
10366,10367
11484,8488
13136,8477
13136,8475
13296,9659
6926,8475
6768,9275
9784,9995
11151,10626
13334,8488
11022,8477
9346,11283
6926,8488
14324,10578
9144,9364
12666,10773
9701,8476
11471,10952
14326,8475
13401,8478
9899,8495
12179,9490
9471,9472
12013,8504
4350,8488
13071,8475
13599,8488
12901,9659
12041,11751
12019,10384
6755,9722
9903,10439
13270,8476
10719,9733
9664,9665
9728,9729
13402,8488
9393,9886
13112,11331
12872,8531
13072,8476
10491,10659
10310,10140
11170,10098
4111,9796
12147,8497
10508,10147
11255,11569
3295,8476
12014,8531
10753,10754
10881,10882
12025,10245
9615,11226
10297,8513
12148,8475
12148,8478
10607,9155
6785,10899
6731,8476
10512,10048
3123,9737
6692,9688
10593,9587
3282,10951
11355,8492
6631,11585
6637,9350
12028,10164
13006,8531
9570,10597
10157,10832
9666,9667
9282,9283
6762,9587
9703,8526
9730,9740
10468,9399
13012,177
9837,8488
10606,9221
8427,9188
12984,9232
11654,9514
12913,9399
11127,9468
13339,8477
10307,10308
9704,8531
10037,10499
10684,10918
11687,8509
11198,9331
11423,8509
10855,9733
10961,10539
12965,9853
13207,8495
10870,11322
12187,11454
12781,9425
9220,9221
12878,8476
12895,9997
10913,9999
11028,8476
10663,11598
13204,10651
3192,9737
13142,8487
13401,10698
13142,8485
11147,10940
10280,11204
12811,8521
10238,10459
11480,10864
10100,10648
13077,8475
12152,8477
4685,8528
3828,8476
12853,11331
11293,8488
11207,11157
10014,9221
11458,9514
12151,8513
11359,8488
11380,9885
12816,10436
10363,10698
12922,11251
11096,8476
11466,11342
12153,8476
11019,10864
11711,9892
10906,10265
12184,9562
9798,9799
11526,11527
13276,8476
13500,9737
9982,10245
9486,11297
12047,9733
12006,10997
13544,10423
11790,9514
6763,9700
11757,8488
10530,9659
6665,10702
11344,11055
9927,9928
10247,10248
12154,8475
10695,10696
13044,11617
12154,8488
12154,8487
6733,10651
12943,10648
9313,8488
9768,10768
13277,8487
12154,8494
12659,9218
10450,10116
9936,9665
13418,10279
6779,9236
9224,9225
9288,9289
12155,8476
9778,10495
12049,9733
6737,8512
3435,8476
12154,8527
12871,10872
12154,8522
6635,11678
11627,8488
13411,8488
10398,9725
10701,8532
6673,8476
10134,9733
9874,9601
13239,9737
12685,8477
12024,8500
12685,8488
12816,8524
10534,9630
7070,8476
12685,8487
9712,8488
12685,8485
13346,8487
12025,8477
9711,8531
11141,9259
10902,8476
9930,9931
13148,8476
9151,9514
13214,8487
12884,8476
12808,10832
6674,8488
11337,11385
6674,8487
9347,9601
10885,11069
6674,8494
9912,8476
9229,11217
6674,8498
12157,8509
12927,5119
9145,9733
13110,9700
11042,10319
13242,9700
13414,8475
6653,9167
13251,11481
11564,8476
12192,9490
12951,8487
13241,9737
13546,8487
13058,9275
11394,9660
12158,8509
13018,8476
10252,10253
10176,8514
12704,10029
11192,9797
9781,8476
10447,10361
13434,9933
12715,9702
6697,9888
12978,9737
13838,9702
10171,10750
9848,8476
12879,10766
12755,8478
12160,8487
10862,9826
9749,9514
12884,10641
12161,8477
11434,8488
13152,8476
9847,8526
10278,9514
10774,8475
9721,10392
9678,9679
13706,9737
12887,8513
11572,10365
9750,9514
10724,10042
12690,8485
9255,8476
10343,9558
13219,8476
13181,9654
6715,9399
13063,5119
10255,10256
10820,11184
11303,8494
9098,11315
13326,11331
11733,9514
12027,10634
7076,8476
12149,10962
6772,9714
11305,10497
11149,11239
11309,10394
10973,8522
6657,9199
7076,8497
10082,9514
12870,11160
6807,10698
11107,8476
3340,9641
10751,9283
12926,9443
11354,11069
12693,8475
11680,9155
9612,9771
9489,9490
12164,8485
10182,8488
12825,8487
12891,8487
13303,10049
1528,8488
11108,10519
12802,9203
12168,10423
12759,8487
10763,10984
10145,9663
6751,10429
6633,9990
13316,9659
13156,8487
12178,10136
6748,8475
12777,9997
9655,8477
10139,9853
6776,9665
13314,9737
9787,8485
10250,8478
10580,8490
6754,10361
13091,8477
12761,8476
13091,8487
10342,9733
9683,9684
10217,9514
9811,9812
9875,9876
3446,8476
10218,9493
12188,9859
9524,8476
10454,10365
9415,9820
12959,8509
9649,10766
13407,11002
9789,8475
12870,5119
13026,8476
13092,8476
12778,10029
11077,9514
12194,9700
11716,10192
11341,9528
12960,8490
3249,8476
9459,8476
9962,9275
9194,8518
6949,8476
11279,11465
12167,8513
6766,10062
9646,10893
13093,8487
9882,9722
10748,9514
12921,9733
6843,9737
9955,9514
12961,8490
10451,8475
9340,10150
9640,11100
14021,10459
13291,8510
3290,9292
14323,11331
10059,10408
13102,10279
6728,9221
11276,9542
9327,8531
10121,8488
9622,9623
11145,11574
11525,10029
4110,8476
9738,10142
1930,8476
11155,9225
4029,10989
12717,9953
2024,9659
9968,11202
8421,10007
12831,8476
12742,9188
12038,8477
11736,9659
12870,11368
10717,8489
12156,10984
10331,10210
11378,8486
3979,8476
12184,10124
10752,11506
12171,8476
4111,8488
10826,9221
11122,10288
11708,8500
10794,10210
11707,8530
12131,9737
13386,9737
9816,9817
9571,9221
11247,8476
6675,10938
9274,10243
14328,5119
13031,8476
13106,10245
12154,11081
6706,9990
9463,8488
9357,9726
10850,8509
9330,8526
10251,10691
13162,8513
11644,8480
10718,8513
10130,10360
12701,8477
12151,9155
10960,9221
8473,8488
12173,8476
6641,9990
13428,8497
12768,8476
11730,9931
6732,9223
12927,9700
12730,9659
10769,11068
12999,11568
9332,8509
10851,8525
12041,8498
4343,11625
10919,8476
12154,11146
12148,11331
12703,8476
12878,5095
9234,9514
10430,11364
10382,10798
10409,9961
10193,8476
9690,9733
10198,10372
9833,9399
11672,9733
10787,8492
6625,8503
10727,10372
11753,11331
9929,8494
9576,5095
9515,11082
10039,11224
10674,9972
10268,10269
8410,8476
9560,11747
12176,8476
12662,9796
9316,11120
10128,8476
12821,11008
13020,10984
13365,8488
6627,8476
12837,8476
11714,8476
12811,11331
12911,10279
3364,11331
10789,8488
12004,9733
13142,11331
10194,10558
6693,8494
13053,9991
13234,8476
8451,9292
12034,10872
12757,10984
4676,11636
11095,11302
12027,11085
13063,9700
13102,8487
6757,10625
12838,8487
9950,9951
13499,8488
13093,10832
9878,10148
13235,8476
11054,8514
6789,9659
8473,10698
6710,10064
9138,8526
12178,8495
6709,10098
13037,8487
11021,11588
12906,10497
13077,9292
12377,8476
9204,8532
13063,9737
1568,9737
12179,8476
13540,9292
10230,9514
9568,11605
6628,8531
10303,9297
13699,8476
10460,8531
13277,11331
4252,8475
9273,8478
13215,9155
12840,8492
11518,8510
10080,10081
10272,10273
13148,5095
13435,8487
12180,8476
13501,8487
9499,9668
10263,8513
11010,9931
13325,9859
11257,10479
12164,11034
9306,9514
12017,9443
11563,11235
6701,10408
13238,8476
10199,8476
13304,8476
10267,10459
12870,11685
10901,9239
11482,9660
10828,9464
11651,8526
6761,10614
10925,8513
14082,11000
13327,9827
8441,9737
9869,8488
10066,8526
10211,10170
6791,9700
10107,9301
