special_performance_type_1,special_performance_type_2
1064,12440
5836,14012
5661,12269
650,14013
2665,14013
617,14013
6019,12440
3623,14013
6052,12440
5704,14012
551,14013
551,14014
452,14013
14013,12440
2500,14013
386,14013
5407,14013
1725,12440
3326,14012
3293,14013
2269,14012
14806,12440
6266,14013
3987,14012
3095,14014
4053,14012
2963,14012
5936,14014
5870,14012
5227,12440
8116,14013
783,14013
1708,14012
1774,14013
6089,12351
7753,14013
3624,14013
2501,14013
1444,14013
5342,14012
636,12440
13666,14012
3294,14013
3096,14012
5426,12440
14807,12440
3096,14013
1297,12440
1874,14012
5970,14014
5228,12440
5805,14013
507,12366
1498,12366
520,14013
487,14013
5475,14012
2502,14014
2469,14012
1412,14013
1379,14013
637,12440
2304,14012
5475,14014
5409,14013
6235,14013
6103,14013
6136,14013
2073,14012
1016,14013
5971,14013
3989,14012
884,14013
6037,14012
6070,14013
5773,14013
488,14013
2752,12440
5410,14012
1380,14013
671,12440
3428,14013
2371,14012
6335,14013
5410,14013
1248,14014
5344,14012
1116,14013
1398,12440
2074,14014
2999,14013
278,12351
6038,14013
753,14012
3561,14013
7624,14013
3495,14013
456,14013
5609,14012
5642,14013
5609,14013
1414,14013
3462,14013
2753,12440
5627,12440
5312,14013
1249,14013
6336,14013
6303,14012
5312,14012
6204,14014
8186,14013
6171,14012
12597,12440
375,12440
6237,14012
4156,14012
3066,14014
6072,14013
1943,14013
5907,14013
774,12366
5940,14012
3892,14012
3552,12269
970,12440
589,14013
490,14013
1514,14013
1481,14013
5511,14013
2472,14014
5412,14013
1316,14012
325,14013
1316,14013
259,14012
1250,14012
5247,14012
6337,14012
1118,14013
376,12440
1052,14012
1400,12440
4124,14012
2292,12440
12598,12440
1944,14014
887,14013
6073,14012
821,14012
1169,12440
755,14013
5710,14013
3596,14013
5644,14012
425,14013
5512,14012
13722,12440
5446,14013
227,14013
410,12440
1086,14012
2392,12440
1086,14013
4026,14012
8221,14012
921,14013
4026,14013
5866,12269
855,14013
3795,14013
1104,12440
7759,14013
3053,12440
1714,14013
939,12440
1615,14013
1582,14013
5579,14012
3422,12269
5960,12440
2507,14012
5447,14013
1384,14012
1384,14013
2375,14013
5579,14014
6339,14013
8321,14013
2375,14014
2243,14013
411,12440
1120,14013
6273,14013
12120,14012
955,14013
6258,12440
3961,14012
856,14013
6357,12440
7826,14012
7859,14012
757,14013
1682,14012
3796,14012
579,12366
559,14012
5712,14012
2607,14012
5580,14013
526,14013
5339,12269
460,14013
5580,14012
394,14013
328,14013
6307,14013
5250,14012
1055,14013
2905,14013
8058,14012
6010,14013
7794,14012
6803,14013
560,14013
3599,14012
1584,14014
2509,14013
776,12440
1485,14013
5581,14013
3500,14013
2791,12440
1353,14013
3368,14013
5764,12440
6275,14013
5284,14013
5251,14012
5350,14013
13725,12440
5218,14013
1056,14013
4161,14012
6011,14013
858,14013
792,14012
3831,14013
6227,12440
746,12366
8026,14012
2741,14013
660,14013
1684,14014
2642,14012
5648,14013
5516,14013
5549,14013
5318,14012
5351,14013
1288,14013
231,14013
5417,14013
1156,14012
1189,14013
1504,12440
5252,14014
2279,14014
6111,14013
6012,14013
2973,14012
859,14013
826,14013
1784,14013
5781,14012
3667,14013
943,12440
6096,12440
5441,12269
5451,14013
364,14013
1388,14013
3370,14012
3403,14012
1355,14014
2313,14012
1015,12269
5385,14013
8160,14013
5253,14012
6277,14013
5253,14013
992,14012
8325,14013
992,14013
926,14013
1917,14012
6265,12351
5848,14014
5782,14012
1076,12440
5881,14013
596,14013
6232,12351
5716,14012
2611,14012
5584,14013
2545,14013
3338,14012
2797,12351
1257,14013
8194,14014
6113,14013
1918,14012
927,14013
828,14013
564,14013
846,12440
6065,12440
498,14013
3537,14012
7666,14013
1390,14013
3339,14013
5255,14012
1225,14013
6180,14012
7585,12440
6048,14013
6015,14012
928,14013
13729,12440
928,14014
6081,14012
7898,14012
555,12269
12093,14013
1045,12440
1721,14012
7832,14012
7898,14013
7700,14013
565,14013
3538,14012
2895,12440
5835,12440
301,14012
301,14013
6072,12269
1127,14013
4265,14013
6082,14012
1028,14013
5950,14012
8196,14012
6016,14012
8163,14013
797,14013
5917,14013
5719,14013
599,14013
5554,14012
3506,14012
292,12269
5620,14012
434,14013
401,14013
1392,14013
5356,14013
8362,14013
5389,14012
5422,14014
1677,12351
4002,14012
1987,14012
5951,14013
3969,14013
5819,14012
6909,14012
5885,14012
1624,14012
600,14013
402,14013
369,14013
1360,14013
8330,14013
5324,14014
5324,14012
6183,14012
12378,12440
4102,14013
898,14013
5886,14012
8132,14013
766,14013
733,14013
5853,14012
601,14014
5556,14013
1394,14013
337,14013
1361,14014
6283,14012
5325,14012
4301,14013
3145,14013
4103,14012
4169,14012
6217,14013
6250,14013
8034,14013
3463,12351
3991,12366
3796,12269
2782,14012
1791,14013
5755,14013
5788,14014
2716,14014
635,14013
2584,14012
6073,12351
884,12440
5656,14012
818,12440
470,14013
5458,14012
1428,14012
3344,14013
6218,14012
1197,14012
6251,14012
4170,14012
5293,14013
1098,14013
1032,14013
5987,14013
854,12366
900,14013
8134,14013
7969,14012
1792,14013
5723,14012
5690,14012
5723,14013
524,12366
5591,14013
819,12440
5657,14012
1495,14013
5624,14012
3477,14012
1396,14013
207,14012
5393,14013
1165,14012
6285,14012
6318,14013
5411,12440
792,12269
6153,14012
3907,14012
868,14013
6054,14013
802,14013
1694,14013
7805,14012
3478,14012
754,12440
5427,14012
373,14013
8367,14012
6154,14012
6220,14013
6568,12440
1034,14013
2884,14012
3875,14013
2871,12366
572,14012
2902,12440
5560,14013
3611,14014
3578,14013
755,12440
407,14013
824,12351
1233,14013
1025,12269
8170,14013
3083,14013
6221,14012
7593,12440
12200,14013
3975,14012
1452,12351
293,12440
1317,12440
6023,14012
6056,14013
2377,12351
3810,14012
5990,14013
2753,14013
5792,14013
5825,14012
954,12440
1729,14014
540,14013
7774,14013
5462,14012
1432,14013
2423,14012
1399,14014
1333,14013
5429,14013
1201,14012
5231,14013
3216,14013
1135,14013
5330,14014
8138,14013
4141,14014
2093,14012
1003,14012
4141,14012
1003,14013
294,12440
4141,14013
3943,14012
970,14013
1252,12440
6057,14013
904,14013
4009,14013
838,14013
5684,12269
739,14013
11871,14012
2853,14014
3778,14013
5826,14013
607,14013
