second_level_divisions_1,second_level_divisions_2
12,9708
51,10550
51,10552
51,9529
51,11578
51,9534
117,8514
51,11584
184,9509
51,9538
184,10537
51,9540
51,10564
184,10538
51,9543
184,10541
51,11594
51,9548
51,11596
141,9831
132,11135
51,11600
170,9960
184,11574
51,11603
51,10582
51,11608
51,9563
51,11613
51,10590
51,11614
179,11743
51,11615
141,10877
51,11619
51,11621
51,10598
51,9574
51,10599
51,11623
179,10728
51,10602
184,9553
51,9580
184,10578
51,10605
51,9582
51,10609
179,10737
51,11634
118,11605
51,9588
132,11174
51,11637
51,10613
170,9996
51,9590
51,9591
141,9873
51,11642
51,10618
51,11643
51,9595
117,10621
51,10620
184,11617
51,11645
51,11646
179,11775
51,10624
51,9600
170,11035
51,11652
51,10630
51,9607
51,11655
184,9581
51,11658
51,9611
170,11047
51,10640
51,11665
51,10642
51,11666
51,11668
132,11209
51,9626
51,10650
51,11676
132,10192
184,11653
51,10656
51,10660
184,11657
12,9824
51,9642
51,10666
51,10668
51,11692
51,9644
51,11695
51,11696
51,11697
12,10859
51,11698
51,11704
51,10682
51,11706
184,9631
184,9634
51,11713
51,10693
51,11719
51,9672
51,11721
51,11723
51,9676
51,11724
179,10833
51,10705
51,11729
170,11113
170,10090
51,11732
51,10709
179,9814
51,9689
141,9971
51,10715
51,9692
51,11740
51,11741
51,11742
51,11745
51,11746
184,9674
51,9702
51,11750
117,11752
184,10700
51,10731
51,10733
51,11758
51,11759
51,11760
51,11765
184,10714
51,11766
51,10743
51,10745
51,11770
51,11771
51,11773
179,9856
51,11777
51,11781
51,10758
51,11782
51,10760
51,10761
51,10767
