olympics_1,olympics_2
12,7157
14150,7153
12,7158
14151,7123
12,7159
14151,7120
13,7129
14150,7152
14151,7121
14151,7118
14,7100
7148,7127
14150,7150
7148,7134
14151,7132
12,7164
14,7102
14150,7164
14151,7133
14152,7102
14151,7130
7149,7100
14151,7131
14152,7100
14150,7159
14151,7129
14152,7098
12,7169
14150,7157
14152,7096
14150,7158
14151,7127
7149,7111
14152,7109
7148,7141
14151,7141
14,7111
14151,7138
14150,7169
14151,7139
14152,7108
14152,7105
14152,7106
14152,7103
14151,7134
14,7116
12,7179
14150,7179
14152,7118
12,7181
14151,7146
14152,7116
14151,7147
13,7152
14152,7114
14152,7111
14151,7142
14151,7143
14152,7125
14151,7157
14,7127
147,7100
14152,7123
14151,7155
7940,7179
14,7129
14152,7121
14151,7152
14150,7183
14151,7153
14151,7150
14150,7181
14152,7120
14152,7133
14151,7164
14,7134
14152,7134
14152,7131
14152,7132
14152,7129
14152,7130
14152,7127
14151,7158
14151,7159
14152,7141
14152,7142
14152,7139
14151,7169
14152,7138
13,7179
7148,7181
14151,7181
14152,7150
14152,7147
14151,7179
7149,7155
14152,7146
14,7155
14152,7143
147,7129
7149,7152
14152,7157
148,7100
14152,7158
14152,7155
148,7102
14152,7153
7151,7100
7151,7098
14151,7183
14152,7152
7151,7105
7149,7164
14152,7164
7151,7109
147,7143
14152,7159
7151,7111
7149,7179
14152,7169
14,7179
14,7181
7151,7121
14152,7181
147,7155
7151,7120
14152,7179
7151,7118
7151,7125
149,7098
7151,7123
149,7100
7151,7129
17,7100
7151,7131
14152,7183
7151,7130
149,7109
149,7111
7151,7139
17,7111
7151,7138
7151,7143
7151,7142
17,7116
149,7121
7151,7147
149,7123
7151,7152
149,7129
7151,7155
17,7127
17,7129
7151,7159
18,7100
7151,7164
17,7134
7151,7169
149,7142
149,7143
149,7152
7151,7179
149,7155
149,7159
17,7155
151,7100
7154,7100
7154,7105
149,7179
17,7179
17,7181
18,7155
151,7129
152,7100
20,7100
7154,7143
21,7100
7156,7100
12309,7100
1739,7100
12309,7111
7156,7111
7154,7179
21,7118
1739,7109
1739,7111
20,7155
154,7098
154,7100
154,7103
22,7100
1739,7121
1739,7123
154,7109
154,7111
1739,7129
1739,7131
6231,7143
154,7116
8479,7098
154,7123
1739,7142
1739,7143
8479,7106
155,7098
154,7129
1739,7147
8479,7108
23,7096
23,7098
155,7103
8479,7103
6231,7164
23,7100
155,7106
23,7102
154,7138
23,7103
1739,7155
155,7108
23,7105
155,7109
23,7106
23,7108
154,7143
23,7111
8479,7123
12309,7179
23,7114
155,7118
154,7150
23,7116
154,7152
23,7118
155,7123
8479,7132
154,7155
23,7120
8479,7133
155,7125
7156,7179
6366,7100
23,7125
8479,7138
155,7130
23,7127
155,7131
156,7100
1739,7179
155,7132
23,7129
155,7133
154,7164
23,7130
23,7131
24,7100
23,7132
23,7133
155,7138
8479,7146
23,7134
155,7139
2931,7098
2931,7100
23,7138
155,7142
2931,7103
2931,7105
23,7141
155,7146
23,7143
155,7147
154,7179
2931,7109
8479,7157
23,7146
155,7150
2931,7111
23,7147
155,7152
8479,7152
23,7150
8479,7164
155,7157
23,7153
155,7158
23,7155
2931,7118
2931,7121
23,7157
2931,7120
23,7158
157,7100
2931,7123
23,7159
2931,7125
25,7100
23,7164
2931,7129
155,7169
2931,7131
2931,7130
24,7139
2931,7139
2931,7138
2931,7143
23,7179
2931,7142
6632,7100
23,7181
2931,7147
25,7123
2931,7150
158,7100
2931,7152
2931,7155
26,7098
26,7100
2931,7159
12314,7100
7161,7100
2931,7164
7161,7111
6366,7179
2931,7169
156,7179
2931,7179
2931,7183
159,7100
26,7129
7162,7100
7161,7130
27,7100
7161,7129
27,7102
7161,7139
26,7139
26,7142
7162,7111
26,7143
157,7179
7161,7147
7162,7120
25,7181
7161,7155
160,7100
7162,7125
28,7100
7163,7100
7163,7103
7162,7138
28,7111
7163,7111
6767,7098
7161,7179
7162,7147
26,7179
6767,7109
7163,7121
6767,7108
7162,7150
6767,7106
7162,7155
161,7100
161,7102
29,7100
7163,7131
161,7109
6767,7123
161,7111
7163,7139
29,7111
6636,7098
6767,7133
6767,7132
7163,7142
6636,7102
7162,7179
6636,7100
27,7181
160,7155
7163,7152
6767,7139
6767,7138
7163,7150
6636,7109
161,7129
7163,7155
162,7100
6767,7142
7165,7098
6636,7111
6767,7146
30,7100
7165,7103
6767,7152
30,7102
7165,7100
6767,7157
161,7143
29,7139
7165,7111
7165,7109
6636,7129
28,7179
7165,7118
7163,7179
161,7155
7165,7123
6636,7142
163,7100
6636,7139
161,7164
7166,7100
31,7100
7165,7129
6636,7143
30,7138
7165,7138
6636,7152
7165,7143
7166,7111
161,7179
6636,7155
7165,7147
29,7179
7165,7155
164,7098
7165,7152
7165,7159
164,7100
32,7100
32,7102
7166,7129
6636,7179
7165,7164
7167,7102
164,7111
7166,7138
7166,7143
7165,7179
6639,7100
7167,7116
6639,7098
11660,7100
7166,7155
164,7129
165,7100
7167,7127
33,7100
33,7102
7168,7100
164,7142
7167,7134
164,7143
33,7111
7961,7105
7168,7111
33,7116
7166,7179
164,7155
166,7100
164,7164
34,7098
33,7129
166,7102
7168,7129
166,7103
34,7100
34,7103
7168,7138
34,7111
164,7179
7168,7143
7167,7181
34,7123
33,7155
167,7100
7168,7155
34,7129
34,7131
35,7100
166,7138
166,7139
7170,7102
8227,7100
167,7109
34,7138
8227,7111
34,7139
34,7142
34,7143
6642,7100
7170,7116
33,7179
35,7118
34,7150
33,7181
6642,7102
34,7152
7168,7179
34,7155
6642,7111
168,7100
35,7129
35,7130
6642,7116
36,7100
7171,7100
7171,7098
36,7103
7170,7134
35,7138
36,7109
35,7142
36,7111
35,7143
6643,7100
36,7116
34,7179
6643,7102
36,7123
11926,7179
169,7100
7171,7129
6642,7143
37,7100
9286,7105
37,7102
7172,7100
35,7169
36,7139
6642,7155
37,7111
7171,7138
6644,7098
7171,7143
7172,7111
6644,7102
6644,7100
6644,7106
36,7152
7171,7152
8227,7179
9286,7120
6644,7103
170,7096
7170,7181
170,7098
6644,7109
6644,7108
7171,7155
170,7100
6644,7114
37,7129
170,7102
7172,7129
170,7103
6644,7111
38,7100
6644,7118
170,7105
170,7106
36,7164
6642,7179
7171,7164
6644,7116
170,7108
7173,7100
170,7109
6644,7121
37,7138
170,7111
37,7139
6642,7181
6644,7125
170,7114
37,7143
170,7116
6644,7123
6644,7130
6644,7129
170,7118
170,7120
6644,7127
6644,7134
36,7179
6644,7133
6645,7102
170,7123
6644,7132
36,7181
7171,7179
6645,7100
6644,7138
170,7125
170,7127
37,7155
170,7129
6645,7111
6644,7142
170,7130
6644,7141
170,7131
171,7100
6644,7139
170,7132
7172,7155
6644,7146
170,7133
171,7102
7174,7100
170,7134
171,7103
9286,7159
171,7105
6644,7143
37,7164
6644,7150
6643,7181
170,7138
170,7139
6643,7179
6644,7147
6645,7116
170,7141
171,7111
170,7142
6644,7153
170,7143
6644,7152
6644,7158
6644,7157
170,7146
7174,7111
170,7147
6644,7155
171,7118
170,7150
6645,7129
37,7179
6644,7159
170,7152
170,7153
6644,7164
170,7155
7172,7179
170,7157
7173,7155
6644,7169
170,7158
170,7159
171,7131
172,7100
170,7164
40,7100
7175,7100
170,7169
171,7138
6644,7181
6644,7179
6645,7155
6644,7183
170,7179
7836,7100
170,7181
7173,7179
6647,7100
170,7183
38,7179
6647,7102
6647,7109
7836,7111
6647,7111
41,7100
6645,7179
7176,7102
6647,7116
6645,7181
41,7111
6647,7129
171,7179
7174,7179
7176,7116
6647,7134
41,7123
6647,7141
41,7129
6647,7143
42,7100
7176,7127
7176,7134
41,7138
7838,7100
6647,7155
41,7143
7175,7179
7838,7111
41,7155
175,7100
7177,7125
7178,7100
43,7100
7836,7179
41,7164
6647,7181
6647,7179
7178,7111
7177,7147
41,7179
7176,7181
176,7100
176,7103
44,7100
44,7102
7178,7129
44,7103
44,7106
176,7111
44,7108
176,7116
175,7150
44,7116
175,7155
8369,7100
7178,7155
176,7129
177,7100
44,7127
7838,7179
177,7103
176,7134
45,7100
44,7132
7180,7100
45,7103
44,7134
177,7111
1761,7159
44,7141
45,7111
177,7118
44,7146
7180,7111
7178,7179
6652,7100
176,7155
178,7096
176,7159
178,7098
177,7129
177,7130
178,7100
46,7100
177,7139
178,7109
178,7111
177,7143
7180,7142
45,7141
176,7179
177,7150
176,7181
45,7147
7180,7143
178,7123
44,7181
177,7155
178,7129
179,7100
7180,7155
177,7164
179,7103
178,7134
47,7100
7182,7102
179,7109
178,7141
179,7111
7975,7100
178,7143
177,7179
179,7118
7182,7116
177,7183
8369,7179
178,7155
7180,7179
179,7129
179,7131
7182,7127
7975,7129
7182,7134
6652,7179
179,7142
179,7143
6655,7096
178,7179
6655,7098
179,7155
6655,7103
6655,7109
6655,7108
47,7155
181,7098
6655,7106
181,7100
6654,7142
179,7164
49,7100
7184,7100
179,7169
49,7103
181,7111
6655,7123
49,7111
181,7116
179,7179
179,7181
7184,7111
6655,7133
6655,7132
47,7179
6655,7131
49,7123
7182,7181
6655,7141
181,7129
6655,7139
6655,7138
182,7100
49,7129
8242,7102
181,7134
50,7100
6655,7142
181,7138
6655,7146
6655,7152
181,7142
181,7143
6655,7157
50,7111
49,7142
6655,7158
181,7152
49,7150
181,7155
8375,7100
49,7155
51,7096
183,7100
7184,7155
181,7164
51,7098
50,7129
7186,7100
51,7100
51,7102
5996,7129
51,7103
51,7105
51,7106
183,7111
51,7108
50,7139
1769,7098
51,7109
1769,7100
51,7111
7186,7111
181,7179
1769,7103
51,7114
181,7181
51,7116
49,7179
51,7118
51,7120
50,7152
51,7121
7184,7179
1769,7111
51,7123
50,7155
51,7125
7185,7159
51,7127
51,7129
52,7098
51,7130
52,7100
51,7131
51,7132
50,7164
51,7133
52,7102
7186,7129
1769,7123
51,7134
52,7103
8244,7100
52,7105
7187,7102
51,7138
8244,7111
51,7139
1769,7129
52,7109
51,7141
51,7142
52,7111
51,7143
7186,7143
51,7146
51,7147
52,7116
184,7120
7187,7116
50,7179
1769,7138
52,7118
51,7150
50,7181
52,7120
51,7152
1769,7142
51,7153
1769,7143
52,7123
51,7155
7186,7155
52,7125
184,7130
51,7157
51,7158
185,7100
51,7159
52,7129
52,7130
52,7131
53,7100
51,7164
7188,7100
1769,7155
51,7169
52,7138
7187,7134
52,7139
52,7142
52,7143
184,7147
1769,7164
184,7150
7188,7111
52,7147
51,7179
7186,7179
52,7150
51,7181
51,7183
52,7152
52,7155
186,7098
186,7100
1769,7179
52,7159
53,7129
186,7102
7188,7129
186,7103
54,7100
52,7164
54,7102
54,7103
184,7169
186,7109
54,7105
7188,7138
7982,7100
186,7111
52,7169
54,7111
7188,7143
52,7179
7187,7181
54,7118
186,7123
54,7120
52,7183
8244,7179
186,7129
54,7125
186,7130
8510,7139
186,7131
187,7100
7188,7155
54,7129
54,7130
54,7131
186,7138
186,7139
187,7111
186,7142
186,7143
54,7139
54,7143
185,7179
186,7150
54,7147
186,7152
54,7150
186,7155
7188,7179
54,7155
187,7129
188,7100
186,7164
56,7100
186,7169
54,7169
186,7179
54,7179
187,7164
57,7100
188,7138
57,7111
187,7179
6664,7100
190,7098
190,7100
58,7100
190,7105
190,7109
190,7111
190,7120
190,7121
190,7129
190,7131
59,7100
59,7102
190,7138
190,7143
59,7111
6666,7100
190,7152
58,7150
190,7155
59,7123
9573,7100
192,7100
190,7164
59,7129
60,7100
59,7138
59,7143
190,7179
58,7179
190,7183
59,7155
60,7129
61,7098
61,7100
59,7164
61,7102
61,7103
61,7111
61,7116
59,7179
61,7118
6668,7100
59,7181
61,7123
61,7125
61,7129
61,7130
61,7131
62,7100
61,7132
61,7134
61,7138
61,7139
61,7141
61,7142
61,7143
61,7147
60,7179
6669,7100
61,7152
61,7155
6669,7111
61,7164
11030,7100
61,7179
61,7181
196,7100
9974,7100
6671,7100
197,7100
6669,7179
65,7100
197,7111
6672,7098
6672,7102
6672,7100
6672,7109
198,7100
6672,7111
66,7100
6672,7116
6672,7123
6672,7129
197,7152
6672,7134
6672,7138
197,7164
67,7100
6672,7143
67,7102
6671,7179
6672,7152
197,7179
198,7155
68,7100
6672,7179
11961,7100
6676,7098
67,7179
6676,7100
6676,7105
6676,7103
6676,7109
6676,7111
6676,7118
68,7164
6676,7116
6676,7121
6676,7120
6676,7125
6676,7123
6676,7129
6676,7131
6676,7138
6676,7142
6676,7141
6676,7139
71,7100
6676,7143
6676,7150
6676,7152
11961,7155
71,7111
6676,7155
6678,7100
6676,7159
6676,7169
71,7129
11961,7179
13549,7100
6676,7181
6676,7179
6676,7183
71,7143
7868,7100
6679,7100
6679,7098
6679,7103
71,7155
7868,7111
6679,7111
73,7100
7604,7111
6679,7129
71,7179
6679,7131
6679,7130
6679,7139
6679,7138
73,7129
6679,7143
6679,7142
74,7100
6679,7152
7603,7179
6679,7150
6679,7155
6679,7164
6681,7100
75,7098
75,7100
7868,7179
73,7164
6679,7181
75,7103
6679,7179
75,7109
75,7111
75,7123
11965,7179
75,7129
75,7131
76,7100
76,7102
75,7138
7871,7129
75,7139
75,7143
6683,7100
75,7147
75,7152
75,7155
13554,7100
76,7129
77,7100
75,7164
76,7138
76,7143
6684,7098
6684,7096
6684,7102
75,7179
6684,7100
76,7150
75,7181
6684,7106
6684,7105
6684,7103
76,7155
6684,7109
6684,7108
6684,7114
78,7098
6683,7143
78,7100
6684,7111
6684,7118
78,7102
76,7164
6684,7116
78,7103
6684,7120
6684,7125
6683,7155
78,7111
6684,7123
6684,7130
6684,7129
6684,7127
78,7116
6684,7134
6684,7133
6684,7132
6684,7131
6685,7100
6684,7138
78,7123
6684,7142
6684,7141
78,7127
6684,7139
6684,7146
78,7129
78,7131
79,7100
6684,7143
6684,7150
78,7134
6684,7147
6684,7153
78,7138
6684,7152
79,7109
78,7141
6684,7158
78,7142
6684,7157
78,7143
6684,7155
6686,7100
6684,7164
78,7152
6684,7169
78,7155
80,7100
78,7164
6684,7181
6684,7179
78,7179
78,7181
81,7100
6688,7100
82,7098
82,7100
82,7102
82,7103
82,7109
6689,7100
83,7100
6689,7116
12371,7100
6689,7131
6689,7143
84,7100
84,7102
12372,7100
6689,7155
84,7111
84,7116
6691,7100
6689,7164
84,7129
6689,7179
85,7100
6689,7181
84,7143
84,7155
6691,7138
6691,7143
86,7100
7750,7100
84,7179
84,7181
86,7129
87,7100
87,7103
87,7111
6694,7100
6694,7102
6694,7111
6694,7116
88,7100
87,7142
6694,7127
86,7179
6694,7129
87,7150
6694,7134
87,7155
89,7098
89,7100
89,7102
89,7103
89,7105
87,7169
89,7109
6694,7155
89,7111
89,7116
87,7179
89,7118
89,7120
89,7123
89,7125
89,7129
90,7100
89,7131
90,7102
6694,7179
89,7134
89,7138
89,7139
6694,7181
89,7142
90,7111
89,7143
90,7116
89,7147
89,7150
89,7152
89,7153
89,7155
90,7127
89,7159
90,7129
91,7100
89,7164
90,7134
90,7138
90,7141
90,7143
89,7179
89,7181
90,7155
92,7098
92,7100
7095,7096
90,7164
92,7102
92,7103
92,7106
92,7109
7095,7102
92,7111
7095,7108
7095,7106
92,7116
90,7179
90,7181
7095,7116
7095,7114
92,7127
92,7129
93,7100
92,7132
92,7133
7095,7127
92,7134
7095,7132
92,7138
92,7141
7095,7134
6700,7098
92,7143
7095,7141
6700,7096
92,7146
6700,7102
6700,7100
6700,7106
6700,7105
6700,7103
7095,7146
92,7155
6700,7109
6700,7108
6700,7114
7095,7155
6700,7111
94,7100
6700,7118
92,7164
6700,7116
6700,7121
92,7169
6700,7120
7097,7100
6700,7125
6700,7123
6700,7130
6700,7129
2737,7100
2737,7103
6700,7127
92,7179
6700,7134
2737,7105
6700,7133
6700,7132
92,7181
6700,7138
7095,7181
2737,7109
2737,7111
6700,7141
95,7096
6700,7139
6700,7146
95,7098
95,7100
6700,7143
95,7102
6700,7150
2737,7121
95,7103
7097,7129
95,7105
95,7106
6700,7153
6700,7152
95,7108
95,7109
6700,7158
2737,7129
95,7111
6700,7157
2737,7131
6700,7155
95,7114
6702,7100
95,7116
6700,7159
95,7118
95,7120
6702,7102
6700,7164
95,7123
6700,7169
2737,7143
95,7125
2737,7142
7097,7155
95,7127
6702,7111
95,7129
95,7130
6702,7116
95,7131
96,7100
95,7132
95,7133
95,7134
6700,7181
7099,7100
2737,7155
6700,7179
95,7138
95,7139
7099,7103
95,7141
6700,7183
95,7142
95,7143
6702,7127
95,7146
95,7147
2737,7164
6702,7130
94,7179
7099,7111
6702,7129
95,7150
7097,7179
95,7152
6702,7134
95,7153
95,7155
7099,7120
95,7157
95,7158
6702,7143
95,7159
97,7098
2737,7179
6702,7141
97,7100
7099,7129
95,7164
95,7169
6702,7155
97,7111
95,7179
6704,7100
7099,7143
95,7181
6702,7169
7099,7150
97,7129
7099,7155
98,7100
6702,7179
7101,7102
6702,7181
7101,7106
97,7143
6705,7102
7101,7114
6705,7100
7099,7179
97,7155
7101,7116
6705,7111
7101,7127
99,7100
6705,7116
7101,7132
6705,7127
99,7111
7763,7100
97,7179
6705,7134
97,7181
7101,7153
100,7100
7101,7157
6705,7155
99,7143
99,7155
7101,7181
7764,7111
6705,7179
101,7100
7104,7098
6705,7181
7104,7100
7104,7109
99,7179
7104,7111
102,7100
7104,7123
102,7102
7104,7129
7763,7179
7104,7138
7104,7142
7104,7143
103,7100
7104,7155
7104,7164
7104,7179
104,7100
104,7102
7107,7102
104,7111
104,7116
102,7181
7107,7116
104,7127
104,7129
105,7100
7107,7127
104,7134
105,7111
7107,7134
105,7123
104,7155
7107,7153
105,7129
106,7100
106,7103
105,7143
104,7179
105,7150
104,7181
7107,7181
107,7100
105,7164
7110,7100
7110,7105
7110,7111
105,7179
1825,7111
108,7098
108,7100
108,7102
108,7103
108,7109
108,7111
108,7116
106,7179
108,7118
7110,7147
108,7123
108,7125
108,7127
108,7129
109,7098
108,7130
108,7131
109,7100
7112,7098
7110,7159
109,7102
108,7134
109,7103
1825,7155
7112,7100
108,7138
108,7139
109,7109
109,7111
108,7142
7112,7103
108,7143
108,7147
6716,7102
109,7116
6716,7100
108,7150
7112,7111
108,7152
7110,7179
109,7123
108,7155
7110,7183
1825,7179
108,7159
110,7098
109,7129
109,7130
110,7100
109,7131
8168,7155
110,7102
108,7164
7112,7129
110,7103
7113,7096
7113,7103
110,7106
7113,7102
109,7138
108,7169
110,7108
109,7139
7112,7131
110,7111
109,7142
109,7143
110,7116
7112,7139
108,7179
110,7118
6717,7102
108,7181
6717,7100
7112,7143
108,7183
109,7152
7112,7150
110,7123
109,7155
7112,7147
7113,7116
8168,7179
110,7125
110,7127
110,7129
111,7098
7113,7127
110,7130
110,7131
111,7100
7112,7155
110,7133
109,7164
110,7134
111,7103
110,7138
7113,7134
110,7139
7112,7164
111,7109
110,7141
110,7142
111,7111
110,7143
110,7146
8303,7111
111,7116
110,7147
109,7179
109,7181
110,7152
111,7123
110,7155
7112,7179
111,7127
111,7129
7112,7183
112,7100
111,7131
110,7164
111,7134
6717,7155
111,7138
110,7169
111,7139
7115,7102
111,7142
111,7143
111,7146
110,7179
110,7181
7115,7116
111,7152
111,7155
7113,7181
111,7179
111,7181
7115,7153
114,7100
7117,7102
114,7111
7115,7181
7117,7116
114,7127
114,7129
7117,7127
115,7100
7117,7134
7117,7141
7117,7146
114,7155
116,7100
116,7102
7119,7100
116,7111
7119,7109
114,7179
7119,7111
114,7181
7648,7100
7117,7181
117,7096
12669,7102
116,7129
117,7098
7119,7123
117,7100
7119,7129
117,7102
117,7103
117,7105
117,7106
117,7108
117,7109
117,7111
117,7114
7119,7138
117,7116
117,7118
7119,7143
117,7120
117,7121
117,7123
116,7155
117,7125
117,7127
118,7098
117,7129
117,7130
7119,7155
117,7131
118,7100
117,7132
118,7102
117,7133
118,7103
117,7134
7119,7164
117,7138
118,7109
117,7141
118,7111
117,7142
117,7143
117,7146
117,7147
118,7116
116,7179
7650,7100
118,7118
117,7150
116,7181
6725,7100
117,7152
117,7153
118,7123
7119,7179
117,7155
118,7125
8177,7155
117,7157
117,7158
117,7159
118,7129
118,7130
118,7131
117,7164
118,7133
7122,7100
118,7134
118,7138
117,7169
118,7139
118,7142
118,7143
7122,7111
117,7179
7122,7109
117,7181
118,7150
118,7152
7122,7120
118,7155
7122,7118
118,7158
120,7100
7122,7125
7122,7131
7122,7130
7122,7129
118,7169
120,7111
7122,7139
7122,7138
118,7179
118,7181
7122,7147
7122,7152
7122,7150
7122,7155
6725,7179
121,7100
7124,7098
7122,7159
7122,7164
7650,7179
7124,7100
121,7111
7122,7169
7124,7111
7122,7179
122,7100
12408,7179
7124,7147
122,7129
123,7100
121,7164
7126,7102
121,7179
7126,7116
122,7155
7124,7179
124,7100
7126,7127
7126,7134
7126,7141
12413,7100
7128,7100
7128,7103
7128,7111
7128,7121
7126,7181
126,7100
126,7102
7128,7129
126,7105
7128,7131
7128,7138
126,7111
7128,7142
126,7116
7128,7139
126,7120
7128,7143
7128,7150
7128,7147
126,7127
127,7096
12415,7100
126,7129
127,7100
7128,7155
127,7102
126,7134
127,7103
127,7105
7128,7164
127,7109
127,7111
12413,7179
127,7114
6734,7100
127,7116
127,7118
6734,7103
127,7120
127,7121
127,7123
126,7155
7128,7179
127,7127
127,7129
127,7130
128,7100
128,7102
127,7134
127,7138
127,7139
127,7141
127,7142
127,7143
126,7179
126,7181
127,7152
127,7155
127,7158
127,7159
128,7129
129,7100
127,7169
6734,7155
127,7179
127,7181
127,7183
128,7155
130,7100
6734,7179
12418,7100
128,7179
128,7181
131,7100
1585,7100
132,7096
132,7098
131,7129
132,7100
7135,7096
132,7102
132,7103
1585,7116
131,7138
132,7108
132,7109
8060,7100
7135,7102
132,7111
7135,7108
132,7114
7135,7106
132,7116
1585,7129
132,7118
132,7120
7135,7116
7135,7114
132,7123
131,7155
132,7125
132,7127
132,7129
132,7130
133,7100
7136,7098
132,7132
132,7133
7135,7127
132,7134
7135,7132
7136,7100
132,7138
132,7139
132,7141
1585,7155
132,7142
7135,7134
132,7143
7135,7141
7136,7109
132,7146
132,7147
132,7150
7136,7111
132,7152
7135,7146
132,7155
7135,7153
132,7157
132,7158
132,7159
7135,7157
134,7100
7136,7123
132,7164
7136,7129
132,7169
7137,7100
7136,7138
7137,7111
132,7179
132,7181
7136,7143
7135,7181
7137,7121
8060,7179
135,7098
135,7100
7136,7155
135,7102
135,7103
3,7100
7136,7164
135,7111
135,7118
5154,7179
135,7125
7136,7179
135,7129
135,7130
136,7100
135,7131
135,7138
135,7139
