educational_institution_1,educational_institution_2
9592,9592
9784,9784
9848,9848
9912,9912
10008,10008
9944,9944
6745,6745
10297,10297
11257,11257
10937,10937
11417,11417
11769,11769
9561,9561
9785,9785
9273,9273
9849,9849
9721,9721
9145,9145
9753,9753
9177,9177
6682,6682
6650,6650
10842,10842
10906,10906
11066,11066
11482,11482
10234,10234
11354,11354
10874,10874
10330,10330
10810,10810
10490,10490
9274,9274
9690,9690
10202,10202
9658,9658
9882,9882
9210,9210
9498,9498
9306,9306
6715,6715
6779,6779
10491,10491
11355,11355
11803,11803
11707,11707
11675,11675
10331,10331
10267,10267
10427,10427
10363,10363
10619,10619
10587,10587
10779,10779
10875,10875
9883,9883
9979,9979
9787,9787
9627,9627
9179,9179
9499,9499
10139,10139
10171,10171
10107,10107
6748,6748
6780,6780
10908,10908
11388,11388
10492,10492
10684,10684
10748,10748
11484,11484
11356,11356
11228,11228
11260,11260
10364,10364
10268,10268
10428,10428
11708,11708
10460,10460
9788,9788
9276,9276
9372,9372
9884,9884
9340,9340
6653,6653
6749,6749
10973,10973
10397,10397
11005,11005
11581,11581
10717,10717
11293,11293
9565,9565
9469,9469
9501,9501
9789,9789
6718,6718
10494,10494
10398,10398
11198,11198
10718,10718
11294,11294
10238,10238
10334,10334
10366,10366
11358,11358
11518,11518
10430,10430
10462,10462
9982,9982
10110,10110
10206,10206
10174,10174
9598,9598
9662,9662
9918,9918
9950,9950
10014,10014
9310,9310
9214,9214
9150,9150
6751,6751
11295,11295
11231,11231
11359,11359
10719,10719
10303,10303
10591,10591
10751,10751
11519,11519
11711,11711
10847,10847
11039,11039
11199,11199
11423,11423
9567,9567
10079,10079
9471,9471
9279,9279
10175,10175
9151,9151
6752,6752
6720,6720
6784,6784
11712,11712
11680,11680
10720,10720
10432,10432
10368,10368
10752,10752
11232,11232
9696,9696
9568,9568
9952,9952
9728,9728
10176,10176
10080,10080
9664,9664
9248,9248
9280,9280
6657,6657
6785,6785
10753,10753
11393,11393
10593,10593
10913,10913
10977,10977
10881,10881
9825,9825
9537,9537
9985,9985
9313,9313
10145,10145
