player_1,player_2
13007,8404
4958,8064
4499,7959
5015,12443
12963,7728
13279,8168
4817,12444
13456,631
4498,8001
5018,12371
4810,12673
5037,7690
4980,13552
13348,8106
4490,12362
13480,8106
4767,7885
13472,8373
4560,12261
4688,8291
4490,12382
12950,8177
4752,8366
4834,11965
4349,12674
4349,12675
4621,12433
4561,8152
12702,7688
4559,12314
4755,8291
4490,12419
4755,12395
4548,12674
13357,5831
4359,8291
12882,6231
13098,7728
4491,12395
4888,12381
4623,12406
4908,7667
4758,8222
4760,12261
4491,12406
4359,12408
4968,7866
5011,12674
12822,8106
4822,12395
13099,7707
4688,12455
5035,11938
4432,8109
12835,7707
4970,7818
4822,12406
4558,12401
4719,13554
5021,8288
13425,5817
4955,8300
4969,7866
4491,12452
4888,12431
13368,7604
4899,8001
4748,12679
4838,11938
4654,13549
4760,8222
5042,7676
4623,8375
5022,12395
4646,7667
4705,7885
4826,12332
12754,8232
12883,8329
4427,12410
4559,12415
4375,7885
13455,6989
4427,12418
13024,8060
12886,8242
4515,7648
4353,12671
4427,12425
4560,12395
4560,12410
4514,7690
4974,7773
5052,13548
12889,8168
4758,12431
4566,12237
4708,11938
4512,7771
4645,7750
4758,12444
5022,12452
4495,12405
4383,7690
5024,12401
4817,12675
4766,8109
4817,12679
5024,12409
4553,12674
4438,8048
4642,7866
13172,5594
4355,12678
4766,12237
5041,7818
4762,12372
4839,7940
12955,8242
4696,8276
13369,7707
4980,7676
4696,8288
12900,7916
5027,12373
13357,8106
4711,11938
4983,7608
13039,7728
4717,7667
4432,12406
4767,12261
5041,7866
4762,12419
5037,8001
13404,533
4450,7773
4783,7690
4490,12678
13558,8060
4566,12373
4498,12433
4895,12418
4500,12381
4973,7959
4830,8300
13087,8329
4963,12372
4963,12373
4623,12673
4500,8291
4439,12237
4491,12673
4842,7940
4491,12674
4911,7866
4822,12673
4705,8109
4654,7648
4898,8276
13560,5996
4860,13554
4907,8001
4711,7934
4435,12401
4332,13549
13553,6231
4368,12431
4332,13548
4368,12444
4387,7773
13557,8177
4963,12455
12846,7707
4898,12432
4963,8366
12773,7931
5041,8001
4834,12373
13556,8227
4768,12372
4766,12444
4847,7885
4334,13554
5031,12433
4912,7934
4495,12679
4705,8222
13472,631
12783,7654
12963,8232
13293,8242
4504,12410
4958,12673
4768,12425
4930,13548
4515,7982
4438,12431
4767,8375
4336,13549
4637,12409
4768,12444
4970,12332
4504,12444
5034,12405
4442,12332
4704,12409
5035,8300
4727,7608
12835,8168
13099,8177
4793,7608
4762,12671
4581,8048
12773,5996
13313,7688
4762,12678
12716,7764
4985,7818
4376,12359
4432,12671
13558,8303
12900,12315
4906,12332
13368,8060
5041,8152
4973,12314
4625,576
4508,12401
4925,7667
4705,12443
5036,12419
4405,13548
4442,12405
4705,12444
4405,13552
4580,12237
4853,7871
13460,1150
5037,12408
4970,12444
4510,12371
4705,8375
5042,12261
4332,7648
4376,12433
13906,11919
12771,8191
4831,12671
4831,12674
4593,7771
4831,12678
4332,7667
4719,7959
4831,12679
4442,12455
4970,8375
4775,8276
4386,8048
4988,7818
4539,13548
4906,12410
4332,7676
4711,8222
4377,12432
4378,12408
4386,8064
4713,12261
4907,8300
4916,8021
4579,12332
4870,13552
12773,8177
5055,7818
4390,7959
4908,12382
4973,12415
4462,7773
4580,8222
13231,8329
4654,7982
4336,7608
4906,8375
5061,7667
4576,8366
4862,7690
4988,7885
4845,8222
4997,7608
4332,7750
5042,12362
4334,7690
4447,8288
4845,12332
4843,12401
4900,12679
4980,8152
4797,7690
4380,12425
4711,12405
4332,7773
4332,7771
4438,12678
4382,8276
4711,12410
13555,12675
5033,12675
4788,7982
4783,12237
4514,8291
4901,12679
4988,7934
4844,8300
4597,7771
5042,12406
13464,5272
14182,7604
12905,6231
12787,7838
13039,12315
4383,12362
4382,12401
4985,8048
4332,7818
13041,8168
14179,7707
4836,12678
12792,7707
4580,12425
4912,12381
12787,7868
12868,13550
4332,11938
4412,13552
5044,12395
4383,12406
5035,12675
4912,12395
5058,11965
4845,12425
4602,7676
4386,12332
4847,12381
4332,7866
4375,12675
4717,8222
13456,7654
13041,8227
4332,7871
4970,12674
5065,7690
4332,7885
5008,13554
4987,8064
4865,7750
4847,12408
4980,12381
4597,7871
4716,8276
4383,12455
4783,12349
13427,12669
4400,11938
4651,12349
4385,12401
4663,7885
4650,12382
14177,7868
5047,8276
13456,7688
4650,12395
13384,5831
5047,12382
4463,7959
4650,12405
12983,5996
4453,8276
4385,12433
4349,13552
14179,7838
4332,7940
4980,12431
13106,8329
4650,12425
4576,12678
4746,13552
5063,7818
4338,7771
13456,7741
4332,7959
4731,7885
4539,7690
4586,8288
4870,7676
12780,8219
4522,8222
4924,8048
4453,12409
4727,8021
4901,576
4793,8021
4520,8300
4615,13552
4399,7959
4588,12349
12862,7764
4334,7934
4783,12452
4908,12673
4332,8001
4908,12675
13471,5272
12787,5996
4865,11965
4717,8366
4983,12409
4851,12405
4455,8300
4586,12432
5063,7885
4748,13552
4975,12675
4803,7771
4523,12359
4522,12395
12846,8303
13453,7916
13007,13550
12783,8219
4522,12408
13459,7741
4522,12405
4851,12452
5042,12673
4332,8064
13057,7931
4851,8366
5052,12382
4993,8064
4996,7982
4336,7959
13404,1285
13312,8232
5052,12395
13126,5817
5052,12405
4522,12452
4412,7667
4985,12433
4522,12455
5055,12314
4868,7871
