contains_1,contains_2
176,10636
141,11726
184,10393
9137,11388
141,11737
9187,9842
9187,9857
9200,9454
184,10420
176,10670
141,11757
184,10427
184,10435
176,10686
176,10687
184,10446
10792,9280
141,11790
9166,10547
141,11798
9207,9285
184,10472
184,10473
9135,11519
141,11810
170,10922
10196,11411
166,11051
184,10493
184,10494
184,10497
9165,10625
9164,10654
184,10518
170,10953
10210,11012
10761,10327
9137,11519
9187,9974
193,10257
184,10537
170,10972
184,10538
170,10974
9659,11736
9166,10629
9166,10630
184,10549
9166,10641
9166,10642
10772,10015
184,10563
9688,10847
184,10565
184,10572
179,10728
184,10578
179,10737
10245,9982
179,10738
190,10397
184,10584
186,10525
9187,10028
9187,10029
170,11035
9137,11591
184,10603
158,11414
9156,11009
184,10610
198,10177
184,10611
170,11047
10226,10614
9765,8521
9189,9999
179,10791
9137,11631
184,10647
184,10649
9722,9882
9203,9589
184,10654
9153,11144
184,10661
10192,11716
9135,11718
179,10833
170,11112
170,11113
10770,10201
9200,9721
184,10710
184,10714
9729,9728
9217,9216
9153,11203
184,10719
179,10875
184,10720
184,10726
170,11165
190,10548
9187,10175
9198,9835
184,10739
9143,11547
186,10683
184,10746
11099,64
184,10748
10754,10753
176,11010
184,10770
184,10772
10737,11319
9217,9281
10773,10199
11269,11212
184,10789
9733,9690
184,10802
161,11523
9732,9731
176,11064
170,11252
184,10819
9734,9690
10204,11512
9137,11819
9221,9220
191,10627
179,11001
184,10848
184,10855
184,10860
9689,11124
179,11018
170,11307
184,10874
9734,9733
176,11129
170,11315
184,10883
11099,194
179,11040
9181,10524
11258,11673
10770,10420
191,10692
184,10911
176,11164
170,11351
184,10921
5126,5180
5126,5183
184,10930
179,11088
184,10936
184,10939
10248,10247
156,11809
9166,11024
184,10946
170,11388
184,10957
9702,10808
176,11211
184,10964
184,10965
9225,9224
9695,11039
11273,11272
11288,10809
9676,11650
184,10986
182,11050
176,11236
9166,11081
9250,8485
176,11254
184,11006
184,11015
184,11016
170,11452
9250,8498
184,11025
9169,11023
184,11034
176,11282
9152,11551
176,11286
176,11290
9759,9141
9740,9730
9251,8510
170,11494
184,11066
9207,9892
10259,10048
184,11077
170,11514
184,11084
9733,9975
176,11338
10807,9460
164,11712
184,11097
10288,9174
10253,10252
176,11350
179,11258
191,10890
184,11109
9842,6632
184,11114
9734,9975
9227,9315
184,11128
184,11131
9842,6654
9152,11660
171,11542
9761,9160
184,11141
184,11145
10233,10929
170,11589
176,11405
9192,10434
9743,9742
9231,9230
179,11319
9733,10054
184,11173
186,11111
176,11428
184,11185
9221,9571
176,11435
176,11437
176,11438
10816,9283
10256,10255
9235,9151
184,11200
9530,1
167,11734
166,11768
176,11474
184,11228
184,11229
9207,10041
197,10829
9733,10134
9155,11680
179,11411
9725,10398
10899,6785
170,11705
9734,10134
170,11720
9532,32
9235,9234
184,11293
9235,9237
184,11295
10237,10955
184,11301
176,11549
184,11305
9166,11390
184,11318
179,11475
5090,6692
176,11577
10812,9546
190,11152
184,11340
9790,8475
11285,11283
176,11597
170,11783
9530,160
170,11792
184,11359
10240,10924
9235,9306
9200,10392
176,11612
9227,9567
184,11374
176,11632
176,11633
11306,10680
184,11395
9169,11397
5090,6772
9198,10500
9536,17
184,11412
10770,10921
184,11429
9187,10861
9729,10452
9187,10870
5095,6650
5095,6657
184,11447
177,11669
9761,9474
9733,10342
184,11458
178,11659
10770,10986
5093,6758
176,11730
9241,9240
9734,10342
184,11484
11347,9502
9536,109
9169,11487
9536,116
9536,111
184,11507
184,11513
9754,9753
5095,6730
179,11673
184,11519
5095,6740
9244,9190
9754,9774
9733,10427
179,11686
9732,10463
9200,10567
176,11791
184,11547
8484,5
8484,16
176,11804
184,11560
9734,10427
9207,10381
5095,6775
184,11568
9228,9736
9235,9514
184,11574
176,11822
8484,40
9207,10390
9244,9243
179,11743
8484,58
177,11816
8482,125
9733,10494
184,11611
9757,9756
10269,10268
184,11617
10807,9988
9198,10709
184,11620
179,11775
184,11627
9734,10494
8484,93
9221,10014
8484,106
9246,9245
10827,9389
184,11653
8482,179
8484,117
9733,10563
8484,130
184,11672
8484,131
9235,9631
184,11682
191,11477
11302,11095
9734,10563
9197,10821
9227,9903
9743,10298
184,11715
184,11718
8484,174
8484,186
190,11537
183,11755
184,11733
9761,9760
10798,10382
10273,10272
11352,9609
9733,10647
186,11700
186,11708
9250,9249
9187,11218
9187,11219
184,11798
9235,9750
9187,11236
9235,9749
5105,6720
9187,11256
9207,10637
9733,10719
187,11738
9188,11236
11300,11299
5105,6743
191,11638
198,11424
10782,11005
10279,10234
10776,11217
9254,9253
9771,9612
10817,9961
198,11488
5107,6768
9207,10747
9767,9766
191,11726
5110,6701
9733,10855
10259,10938
10289,10038
9734,10855
11307,11252
9207,10829
5113,6665
9770,9769
11362,9572
5112,6728
9743,10649
5112,6762
5164,5148
11322,10870
5112,6769
9250,9573
10796,10795
9187,11525
9200,11129
9187,11546
10265,10906
9743,10710
6644,8486
6643,8515
11327,10779
9213,10785
9743,10739
9213,10787
9254,9523
9766,10036
10287,10286
5118,6709
9200,11254
9264,9263
9776,9775
198,11785
9221,10606
11323,10989
9227,10439
10265,11026
10304,9843
9770,10017
10291,10258
10776,11610
9269,9182
9213,10927
9226,10531
9213,10935
10843,9564
5119,6791
9235,10278
9246,9933
9266,9323
9733,11231
9269,9242
10408,6701
9251,9824
10938,6675
9269,9268
9198,11490
9200,11435
9732,11328
5124,6715
10773,11823
10295,10269
9192,11701
9824,8510
9221,10826
9770,10195
9776,10027
9801,9259
9786,9785
10860,9260
9409,5098
9409,5108
9770,10299
9409,5107
10832,10157
9409,5112
9409,5126
9221,10960
9409,5142
9254,9956
9221,10985
9803,9322
9888,6697
9235,10565
9770,10384
9277,9276
9759,10726
9244,10316
9227,10857
9790,9789
10304,10251
63,93
63,132
9834,8533
9742,11395
9805,9465
9235,10748
9254,10165
9809,9354
9275,9537
9283,9282
9213,11483
9796,9795
10308,10307
10309,10289
9207,11685
9285,9284
9225,11155
11364,10430
9799,9798
9250,10487
9217,11513
5142,6776
9289,9288
6647,9286
10429,6751
10288,11122
9250,10545
6644,9415
9239,10901
9213,11702
9375,6691
9759,11173
9803,9802
5145,6749
9250,10575
9286,9453
10859,9844
9292,9291
9754,11376
9235,11077
5150,6659
6676,8505
6655,9189
6647,9453
9791,10296
10355,9206
9295,9294
9807,9806
9820,9415
9244,10904
10868,9713
5150,6748
5150,6751
11331,11753
10817,11302
9760,11295
5150,6764
9818,9507
5150,6766
5095,8476
9275,9962
6655,9271
9761,11295
5150,6780
9809,9808
5152,6732
11373,10497
6655,9297
11342,11466
11333,11769
9790,10451
9809,9863
5152,6782
9831,9195
9299,9298
10835,10834
10838,10741
11439,8513
9759,11447
10338,9895
9812,9811
5156,6722
6744,6643
6684,8507
5154,6789
10337,9966
9275,10114
5156,6738
9815,9771
10817,11476
5156,6745
9807,10016
9250,10909
9250,10908
9302,9301
10838,10837
9285,9840
9254,10798
9834,9211
10833,11018
9805,10136
6644,9820
9770,11229
9281,10002
9299,9469
10860,10236
9278,10125
9235,11458
9759,11611
9812,9970
9817,9816
9305,9304
6644,9891
9227,11752
9389,6749
6644,9937
6658,9515
5164,6718
9278,10268
5086,9149
9278,10269
9305,9432
9309,9308
10333,10332
5164,6752
5164,6761
9278,10295
9269,10584
5164,6790
9807,10313
9311,9310
9801,10513
9801,10523
9305,9527
9774,11376
9761,11798
9305,9556
10355,9791
9250,11279
9807,10410
9246,11415
10837,11260
5112,8526
5090,9210
5090,9219
9399,6715
5172,6680
9401,6681
10313,11176
10340,10339
9275,10587
6700,8496
5095,9125
5095,9127
9317,9316
6644,10277
10319,11042
5093,9215
9845,9359
9259,11141
5093,9226
5093,9224
5093,9225
10893,9646
9845,9378
5086,9449
5093,9239
5088,9395
5088,9396
10340,10432
5175,6707
5095,9199
5093,9279
9803,10729
5090,9379
9320,9319
6644,10359
5090,9391
5092,9328
6644,10378
10369,9594
5086,9533
5095,9255
5095,9265
5093,9343
5095,9282
5095,9283
5093,9349
5095,9294
5095,9295
10841,11417
10347,10346
5099,9201
5093,9392
5090,9489
5090,9490
5181,6675
5090,9500
5095,9346
5095,9353
11431,9542
5181,6697
5095,9367
10333,10841
9325,9324
10349,10348
9275,10886
6664,9906
5090,9547
5090,9548
5093,9452
5090,9549
11045,5177
5095,9398
5101,9212
9859,9177
11045,5185
9301,10107
5090,9591
5086,9716
11045,5206
5092,9538
6644,10577
6644,10576
10353,10282
5185,6658
5101,9267
5095,9459
5095,9466
5101,9287
5182,6778
9297,10303
9797,11192
5095,9501
5095,9498
9283,10751
10360,10130
5088,9729
5095,9512
5088,9728
5098,9426
5095,9524
5090,9687
5090,9688
10846,11472
5090,9689
5090,9696
5092,9646
5090,9714
5086,9843
5095,9572
5095,9576
11373,11568
11427,9891
5095,9582
5093,9645
5090,9751
5187,6742
5095,9609
5187,6755
10864,11019
5101,9447
9865,9221
5093,9692
5101,9448
9845,9844
9839,10033
5107,9275
5110,9191
5090,9810
5192,6653
11218,78
5112,9138
5093,9725
5095,9680
5110,9214
5095,9685
5095,9682
6655,10474
5098,9595
11385,11316
5095,9701
5112,9178
5095,9702
6644,10842
5112,9179
5110,9245
5110,9246
9302,10372
5093,9783
5095,9718
5112,9192
5095,9724
11385,11337
5090,9878
5110,9261
5112,9205
5093,9798
5093,9799
5090,9895
5112,9218
5112,9221
6700,9150
9807,11140
5093,9819
5098,9662
11218,178
10873,10872
5095,9781
9311,10158
5095,9793
9807,11176
5095,9804
9850,9849
5105,9493
5090,9964
5112,9280
5112,9301
5112,9302
5095,9832
9339,9338
5117,9154
5112,9314
11456,9261
5095,9848
5194,6779
10361,10447
5095,9851
5112,9330
5112,9333
5107,9486
5095,9862
5086,10147
9834,10422
5105,9566
5095,9877
5095,9884
5090,10038
9834,10438
5118,9180
5118,9181
5092,9991
5099,9779
5118,9190
5107,9537
5095,9912
5112,9387
5113,9362
9803,11440
9854,9853
9845,10144
5107,9562
5107,9563
5095,9941
5092,10031
5095,9938
5095,9939
10372,10198
5105,9637
5119,9208
10172,25
5118,9243
5118,9244
5095,9954
9371,8475
10367,10366
9312,10318
5086,10251
5095,9973
5107,9604
5113,9419
9371,8497
9297,10786
10172,55
5090,10137
5093,10051
9868,9477
10365,10454
9865,9571
5098,9900
5107,9621
5090,10148
5105,9683
5105,9684
5105,9691
5095,10008
5090,10161
5095,10021
5118,9312
9806,11442
5101,9836
10172,94
5112,9505
5112,9506
5110,9565
9873,9368
10372,10283
5118,9322
5098,9942
9311,10418
5203,6693
10172,113
5098,9945
5086,10321
5086,10325
10877,11041
10882,10881
9826,10862
9326,9976
10408,9214
9295,10954
5118,9372
5092,10178
5119,9344
10371,10370
10392,9721
5107,9719
10864,11480
9375,8489
5202,6785
5110,9641
5110,9642
5112,9587
5095,10124
5095,10128
5105,9816
5105,9817
5088,10350
5090,10289
5088,10352
5113,9583
5113,9580
10903,10325
5099,10022
6700,9554
5090,10309
11449,9786
6700,9555
9845,10379
5095,10170
5112,9644
5117,9492
9853,10139
5150,8475
5110,9713
5093,10241
5095,10185
5150,8477
5090,10338
10923,9744
5095,10188
5095,10193
5095,10199
5150,8497
5095,10211
5209,6682
9351,9350
5095,10219
5095,10224
5108,9825
5086,10508
9334,9897
5112,9703
5113,9672
10400,9616
5088,10452
5150,8533
6644,11378
5131,9126
5095,10249
6668,10637
5090,10401
6644,11386
5112,9723
5098,10163
5098,10162
5113,9706
5110,9797
90,1585
9294,11178
9344,9628
5118,9560
141,9
9861,9993
5099,10154
9865,9864
5112,9758
5131,9171
6636,11678
6702,9629
6644,11427
5124,9399
5110,9839
10369,10655
10860,11818
5112,9782
10355,11094
5118,9600
5101,10146
5107,9961
5093,10395
5093,10398
5107,9962
10389,10067
5118,9625
5118,9626
5126,9383
5126,9384
5118,9647
5099,10239
5105,10053
5119,9628
9845,10573
5112,9847
11469,9400
6658,11082
5156,8495
5112,9865
5128,9369
141,125
5112,9864
9850,10441
5110,9933
6644,11538
5095,10404
9364,9144
5086,10691
5131,9308
5107,10052
5131,9309
10408,9565
9843,10691
5126,9465
6642,11622
9873,9772
9865,10019
5119,9700
5110,9977
5119,9699
141,184
6644,11585
9886,9393
5131,9338
5131,9339
141,191
10371,10741
5099,10334
5118,9752
5095,10465
6744,8502
5093,10531
5095,10466
10372,10727
10444,8493
5099,10354
6744,8515
5107,10114
5090,10645
5093,10552
6644,11628
5095,10501
5110,10033
10412,9519
10896,10895
5110,10044
5090,10667
5101,10326
5119,9766
5119,9767
5118,9803
5105,10206
6647,11556
5107,10143
5118,9802
5110,10059
5105,10218
5093,10591
5090,10681
10412,9541
5112,10009
5088,10753
5088,10754
5105,10227
5110,10069
5131,9418
5095,10535
9873,9872
9361,9360
5112,10014
5090,10693
5110,10073
5095,10539
5110,10074
5095,10544
5105,10233
5112,10019
5095,10553
5110,10092
5088,10777
5095,10559
5126,9611
5131,9455
5126,9610
5112,10049
5112,10050
5095,10581
10916,10362
5095,10582
9894,9276
5112,10066
9894,9277
6643,11763
11403,11664
6642,11799
5095,10602
5095,10609
10899,10917
5086,10903
9137,12
9137,14
5095,10626
5099,10503
5105,10320
9137,23
9876,9875
9137,17
5112,10107
9845,10859
9137,32
9137,33
9137,44
9845,10864
9137,45
10408,9797
9137,52
9311,11051
5164,8531
5136,9405
9845,10876
5136,9406
5095,10680
5099,10557
9137,69
5093,10743
9137,64
9371,9196
9137,67
6647,11722
5093,10745
5098,10599
9137,72
5090,10847
9137,84
5112,10168
5118,9987
5112,10173
9137,80
5092,10795
9137,95
5092,10796
9137,89
9137,102
6700,10113
5131,9598
5131,9599
9137,109
5145,9168
5107,10346
9137,111
5107,10347
5112,10198
10362,11284
9137,116
9137,118
5124,9833
5119,9986
11449,10362
5131,9618
9137,127
9371,9252
10414,9700
5119,10004
10407,9911
9137,128
5095,10751
9137,137
5095,10760
5092,10854
5103,10516
5105,10455
9137,156
5126,9805
5105,10457
5095,10773
5136,9499
5086,11055
5105,10467
9305,11343
5119,10036
5107,10409
9362,9583
5095,10782
9844,11019
5095,10790
5118,10078
5103,10543
5090,10949
9137,179
5124,9901
5092,10893
5124,9902
5112,10274
9137,189
9137,190
5095,10808
9299,11560
9845,11019
5118,10099
9137,193
5112,10283
5118,10098
6700,10214
5095,10816
6700,10213
5101,10631
51,3340
11432,10987
5090,10978
5093,10885
5090,10983
5112,10301
5095,10831
10914,10665
5150,9129
5090,10995
6666,11291
5093,10901
9320,10936
5110,10377
5150,9144
5090,11007
9865,10433
9371,9364
5150,9155
11419,11418
5090,11014
9371,9382
5117,10181
5150,9162
9862,10553
5110,10408
5150,9165
5098,10781
6700,10277
9845,11090
11045,6658
5150,9183
5150,9184
5095,10887
9334,10549
9363,9650
5150,9186
5150,9196
5112,10372
5124,10000
5095,10902
5141,9482
5090,11063
5150,9203
9304,11507
5150,9211
5115,10294
9860,10653
10408,10059
5113,10361
5095,10919
10909,10908
5092,11021
9317,11120
5105,10619
5086,11206
5145,9380
5150,9232
5112,10413
5136,9668
5145,9389
1744,139
10458,8529
5098,10853
5119,10202
9374,9373
5150,9252
5101,10771
6669,11314
5095,10954
5124,10056
5112,10433
5112,10434
5095,10961
9371,9480
5107,10587
5090,11119
5143,9476
5107,10596
5090,11124
10918,10684
5107,10600
5107,10608
5119,10237
1744,174
5145,9433
9887,9886
10419,9780
5095,10992
5175,8513
5152,9223
5093,11059
5150,9292
5113,10447
5095,11005
5093,11065
5150,9303
5093,11069
5112,10485
5112,10484
10400,10399
5146,9440
5095,11028
5118,10316
5112,10505
5118,10318
5150,9326
10383,10943
5118,10324
5090,11195
5090,11193
5112,10517
5092,11138
5142,9588
5150,9337
5118,10336
9377,9376
5150,9347
5150,9348
10407,10226
5093,11116
9371,9577
5086,11344
5150,9364
5108,10663
5108,10669
5090,11227
5150,9371
9152,5
9371,9601
9890,9889
5090,11240
5150,9381
5150,9382
5093,11155
5113,10533
5095,11096
5126,10136
9152,21
6679,11148
9152,18
9152,28
5107,10730
5107,10731
10365,11572
9152,25
9152,36
5105,10805
5112,10593
9153,12
9152,43
9371,9638
5150,9416
5142,9664
9153,14
5150,9414
9152,40
5142,9665
6700,10526
9153,20
9152,51
9153,22
9153,23
5112,10606
9153,17
5126,10169
5150,9425
9152,49
9152,60
5103,10889
9153,29
5093,11197
9153,24
9152,55
5113,10583
9153,27
9152,58
5093,11201
5145,9592
5150,9437
9153,38
5090,11298
9153,32
9153,33
9467,6683
9854,11070
9870,10575
5124,10247
9153,34
9153,35
5124,10248
9152,75
9153,44
9152,76
9153,45
9153,47
5095,11151
5099,11032
9153,41
5143,9666
5143,9667
5099,11036
9153,52
5099,11037
5119,10414
9993,6782
6679,11213
9153,50
5150,9458
5092,11261
170,1
9152,93
9153,56
9152,87
5112,10646
5110,10706
5150,9471
9152,99
9153,69
5095,11177
5150,9472
9152,101
6669,11533
9153,71
9153,64
9153,66
5095,11178
9153,67
11435,11254
5150,9480
9153,77
9152,103
9153,72
5107,10817
9152,105
9152,106
9153,84
9153,86
9152,117
9153,80
5092,11287
9152,113
9153,82
9153,92
5152,9431
9153,95
9153,89
9153,90
9152,121
9153,91
9152,131
5119,10464
9153,102
9152,134
6684,11106
9382,9381
9894,9893
9865,10792
9153,97
5108,10810
9152,129
5152,9444
9152,130
11462,10450
9152,140
9153,109
9153,110
5095,11214
9371,9737
5095,11215
9153,111
9156,18
9152,135
9153,104
9153,107
9153,116
9152,148
9153,118
9152,149
9153,114
9153,126
9865,10822
9153,127
5161,9185
5118,10524
5112,10707
9152,153
9152,154
5150,9535
9153,133
5095,11238
5105,10929
5150,9534
9153,128
10407,10406
5131,10126
5095,11242
9152,162
9152,171
5095,11248
9153,141
5090,11401
9152,174
5095,11247
9152,167
9153,136
9156,43
5090,11408
9152,168
9153,137
9153,138
9153,139
5112,10727
5126,10293
6683,11179
5113,10702
5107,10886
5090,11413
9153,156
5124,10366
9334,10930
9153,152
5150,9564
5124,10367
5144,9747
9152,186
5119,10529
9153,166
5142,9813
9384,9383
5095,11280
6700,10677
5150,9574
9153,175
5095,11285
9153,169
5150,9577
5095,11283
5093,11345
5164,9147
9153,183
9153,176
5093,11354
6700,10689
9153,178
6700,10688
5156,9400
9153,179
5150,9589
9153,190
5119,10551
5150,9590
9153,187
9153,198
9156,105
9153,192
5150,9601
5095,11306
9156,101
9156,113
5118,10598
5098,11223
6700,10713
5154,9488
10419,10108
170,153
5143,9830
5112,10792
5146,9738
5095,11325
5117,10640
5099,11199
9156,129
5110,10868
5131,10223
5112,10818
9157,113
5150,9638
5090,11503
5112,10822
5095,11352
5145,9800
5150,9655
10377,11461
9334,11025
5095,11358
6684,11251
5095,11362
5099,11244
5095,11369
5119,10623
5124,10468
6679,11419
5187,8525
5150,9681
5142,9936
5099,11272
5099,11273
5150,9695
5095,11398
10412,10411
5150,9697
5119,10664
5098,11313
11452,10953
5105,11103
5101,11230
5169,9128
11437,11428
5164,9293
8480,4803
5131,10314
9331,11198
5112,10912
5095,11445
5150,9737
5118,10729
9845,11656
5107,11076
5095,11446
5090,11602
5108,11044
5143,9968
5145,9907
5095,11463
9902,9901
5150,9763
5154,9640
5164,9327
5107,11095
9334,11128
5093,11534
5088,11689
11441,11357
5118,10758
5118,10764
9947,8523
11460,10771
5150,9780
5095,11485
5154,9659
9371,10007
5112,10960
5099,11363
5152,9720
5154,9658
5150,9788
5090,11648
9865,11074
5115,10871
5093,11559
5150,9789
5152,9727
5092,11588
5150,9790
5124,10601
6684,11393
5154,9670
5156,9608
5095,11508
5112,10985
9916,9520
5126,10550
9398,9199
5152,9755
5107,11150
5150,9828
5150,9826
5169,9240
10965,9795
5150,9829
5169,9241
9865,11123
5150,9834
5124,10644
5142,10091
5131,10430
5095,11552
10419,10351
5095,11553
9865,11143
5090,11706
5093,11613
5099,11430
9865,11139
5095,11564
5095,11565
10417,10416
5156,9677
9530,5157
5164,9429
5141,10140
5156,9676
9916,9584
5088,11796
5150,9874
5103,11335
5119,10839
5150,9883
9333,11277
5112,11074
5095,11603
5150,9898
5095,11608
11538,8486
6684,11500
5112,11079
5118,10900
9371,10123
9916,9613
5112,11083
5090,11771
5118,10904
5145,10067
5095,11615
5150,9915
5090,11773
5145,10068
9371,10132
5150,9920
5158,9675
5152,9861
10438,9829
5150,9921
5156,9741
5093,11698
5108,11232
5150,9935
5164,9502
5150,9934
5107,11267
5101,11460
5112,11123
5110,11192
9396,9395
5095,11658
5107,11297
5095,11666
5112,11139
5170,9342
5095,11667
5152,9905
5143,10184
5175,9193
5145,10120
5098,11578
5095,11676
9336,11271
5118,10963
5156,9785
5156,9786
5107,11302
10414,10623
5152,9908
5150,9976
5164,9542
9169,72
5145,10135
5093,11745
5150,9982
5118,10979
5095,11692
5095,11691
5145,10141
5095,11697
5150,9989
5128,10671
5128,10672
5119,10955
5092,11797
5150,10007
5095,11713
6691,11387
5175,9230
5175,9231
5150,10011
5150,10012
9334,11374
5095,11721
5124,10820
9910,9909
11446,11445
5146,10142
5157,9806
5157,9807
5095,11729
10439,9903
5118,11020
5141,10310
10394,11309
5095,11735
5131,10624
5164,9606
9371,10265
5156,9858
5164,9607
183,183
5152,9993
5118,11046
5150,10064
5150,10062
5141,10350
5105,11464
10458,9361
10407,10944
5115,11163
5154,9963
5112,11266
5156,9899
10400,11181
10916,11569
9371,10319
5112,11277
9371,10315
5150,10097
5118,11093
9371,10329
5150,10108
10425,10424
5150,10119
5150,10123
9911,9984
5150,10127
9430,8524
5150,10132
5105,11524
5175,9354
5118,11121
5098,11746
5115,11225
5203,8494
5098,11750
5164,9704
5107,11476
5119,11102
5110,11381
5099,11723
10938,10937
5164,9711
5175,9376
5150,10151
5175,9377
5150,10149
10932,11132
5119,11115
5203,8514
5150,10157
5177,9321
5101,11683
5182,9170
5182,9174
5110,11415
5118,11167
11498,9999
9403,9402
5164,9744
8484,5126
5144,10373
5150,10189
5118,11182
5181,9229
5152,10133
9371,10423
5118,11190
5107,11531
5164,9773
5150,10208
5164,9777
5156,10026
5150,10216
5110,11456
9375,10317
5110,11454
5126,10962
5118,11210
5156,10037
5141,10502
5110,11461
5156,10039
5150,10229
5182,9238
5157,10016
5150,10234
5145,10389
5150,10238
5150,10242
5150,10245
5108,11557
5150,10254
5182,9266
5175,9483
9938,9294
5150,10267
5150,10265
5150,10270
9406,9405
10942,10941
5150,10279
5124,11086
5101,11800
5156,10100
5108,11598
5175,9519
5161,9958
5150,10300
5112,11478
5113,11444
5103,11760
5177,9470
5187,9161
5144,10491
9916,10013
5175,9540
5156,10129
5112,11493
5150,10315
5182,9323
5182,9324
5175,9541
5180,9383
5175,9539
5150,10319
5175,9544
5182,9325
9377,10365
5150,10329
5113,11481
5172,9660
5164,9911
5126,11089
5150,10351
5169,9762
5154,10228
9371,10570
5154,10232
5105,11749
5172,9678
5150,10363
5154,10240
5172,9679
9921,9920
5112,11548
5118,11366
5124,11184
5131,10971
5175,9612
5131,10977
5150,10391
10989,9608
5117,11416
5164,9965
5164,9966
9940,9370
5150,10403
9915,10151
5182,9423
5182,9424
5150,10419
5164,9985
10940,11147
5164,9984
5118,11410
5150,10423
5150,10422
6725,10759
5150,10429
11465,11279
5182,9443
9923,9922
5118,11425
5118,11426
5181,9478
9371,10662
5169,9850
5150,10437
5169,9849
5150,10438
5150,10448
5118,11440
5150,10451
5182,9461
5187,9307
5182,9462
5150,10459
5169,9871
5115,11543
5118,11455
9412,9411
5112,11646
5192,9167
5150,10476
5144,10659
5112,11651
5169,9885
5144,10660
9187,22
9187,24
9187,20
5150,10481
9399,9833
5183,9465
9187,32
9187,33
6694,11780
9187,27
5182,9497
9187,29
9403,9717
9187,38
9359,11090
5172,9811
5172,9812
9187,41
9187,34
9925,9924
9187,35
5158,10255
5158,10256
9949,9193
9187,47
10474,9297
5136,10940
6734,10560
9187,56
9350,11388
9187,50
5182,9528
5172,9838
10950,10948
5112,11701
5182,9529
9187,71
10994,9592
9187,66
5164,10095
5126,11274
5157,10313
5156,10344
5182,9543
9187,78
5156,10350
9187,77
9894,10928
9187,86
9187,82
5150,10547
5156,10362
5175,9771
9187,96
9187,97
9187,90
9187,91
5182,9561
5115,11643
5150,10564
9187,110
9187,107
5150,10570
5145,10725
5118,11562
9187,114
9935,9695
5156,10394
9910,10470
5144,10763
9187,116
9371,10797
5175,9808
5175,9809
5152,10519
9187,128
5152,10520
5181,9624
9187,136
5175,9815
9928,9927
9187,133
5131,11188
5194,9236
5185,9515
9187,138
5172,9919
9910,10496
5150,10607
5164,10174
9187,152
10407,11479
5150,10613
5164,10180
5169,10030
9187,166
5164,10190
10453,10072
5119,11582
9187,169
