origin_1,origin_2
6863,10316
3520,8475
8744,10370
3684,8513
4118,184
8142,10611
4082,8475
8773,9490
8236,10778
4251,10408
8211,8476
6983,9682
8915,5095
8872,8477
8838,9527
8780,5181
6342,10112
8042,10661
1044,9490
8938,8494
6317,10893
8278,8475
6890,8489
8617,10248
4164,10058
8828,9853
8909,184
4050,8475
1203,9691
8716,10265
4116,8476
4026,10248
8080,8476
4108,9752
8873,8476
8972,8475
1474,8476
819,110
8754,10123
4158,10265
3489,8478
3550,9659
8885,9140
7619,9480
8940,9496
629,10109
6838,10142
8176,9624
4215,8525
8643,8477
6243,9155
7057,9527
4205,10899
6257,10773
4189,9345
6194,9660
6034,8475
9073,8477
3861,11327
6293,9660
4019,8480
3887,8475
3813,9744
8676,8494
7022,10621
8115,8488
3590,8476
6928,9443
9040,8487
6358,9714
8677,8488
6233,8475
3607,11030
677,9702
4217,9528
3325,8513
3865,11229
8083,8477
8888,10148
5837,8475
7778,10766
7662,11290
8846,184
3176,11093
4093,10319
4317,8495
3690,8476
8184,9448
8363,11069
4059,117
7004,11224
6253,9935
8612,8488
6906,10170
8400,10965
6309,9226
3756,8495
8348,8476
7798,10170
6994,8476
7086,9718
3988,8476
6078,10245
3950,9659
8687,10262
3265,9396
8970,9691
4114,10725
5976,9329
6939,11224
8943,8488
8969,10754
6300,9527
6172,184
3953,10611
6894,8525
8349,8476
553,8494
4120,8513
6962,8475
8188,10408
6929,10524
9095,9948
9010,8488
6078,51
6135,8525
3885,10691
1246,8531
3503,11268
3824,8488
6296,9682
5676,9443
3692,8488
4028,10361
8845,8485
3329,8476
7862,11315
4221,8475
8878,8488
3869,10170
1061,9155
