institution_1,institution_2
7613,11084
11983,6692
11980,6785
11980,6780
11981,6748
11980,6779
11980,6782
11981,6761
11980,6791
5464,12175
11983,6701
11981,6762
11980,6788
12429,9255
11980,6787
11983,6697
11980,6790
11980,6789
11981,6758
11981,6769
11983,6707
11981,6768
3420,10014
11983,6709
11982,6740
11981,6771
11983,6703
11981,6764
11981,6766
11983,6715
11985,6653
11981,6776
3974,9229
11982,6748
12429,9273
11982,6747
11981,6778
11981,6773
11981,6775
11985,6650
11981,6785
11982,6754
11983,6722
12429,9280
11981,6787
11982,6755
11985,6657
7670,9355
11983,6718
11981,6780
11985,6659
3527,6718
11983,6730
11982,6761
3864,12655
11982,6764
11983,6727
11985,6665
11982,6758
249,10037
11981,6788
7622,10850
11983,6728
780,9965
11982,6771
11983,6740
11982,6766
11985,6675
11983,6737
11982,6768
11982,6778
11983,6747
4165,3340
11983,6748
11983,6743
11983,6742
11985,6680
12429,9300
11982,6776
11983,6745
11985,6682
11983,6755
11985,6693
11983,6754
11982,6788
747,11005
12429,9313
11982,6787
11982,6782
8285,6701
1263,11395
11985,6701
4055,6769
11983,6762
11985,6703
11983,6764
5999,12045
11985,6697
11983,6758
11982,6791
11985,6709
11983,6771
11983,6773
11983,6772
11983,6766
356,6761
11983,6769
11985,6707
4056,6748
11983,6768
11983,6779
8139,11255
11983,6778
11983,6780
11985,6718
740,11247
11983,6775
11987,6650
11987,6653
11985,6715
11983,6776
11983,6787
11983,6789
11985,6727
11987,6665
6169,6792
11983,6788
6170,6768
11985,6720
11983,6782
12429,9340
11983,6785
11985,6722
11985,6733
11985,6732
12429,9353
11983,6790
11985,6728
11985,6730
11985,6740
11986,6709
11988,6650
11987,6680
11985,6742
11985,6737
11987,6675
11985,6738
11985,6749
11986,6718
11985,6748
11985,6751
11988,6657
11985,6745
11985,6747
11986,6715
11988,6653
12517,6650
3391,11022
11987,6697
11985,6758
11988,6659
11985,6752
11985,6755
11987,6693
11987,6692
11985,6764
1301,10286
11985,6766
4058,6743
11985,6761
12429,9381
11988,6680
11985,6773
11985,6772
11988,6682
358,6761
11987,6707
11985,6769
6083,9512
11986,6737
11988,6675
11985,6768
11985,6771
11989,6657
11985,6780
11985,6782
11987,6720
11987,6715
11985,6776
11985,6779
11985,6778
12517,6682
11985,6789
11987,6727
1246,12014
11985,6788
11985,6791
752,10946
11985,6790
11988,6697
11987,6728
11988,6692
11985,6785
11987,6722
11985,6787
11988,6693
5645,6727
11986,6768
11987,6730
11986,6764
11987,6733
11988,6701
11990,6650
11987,6742
797,9567
12438,9144
11988,6707
11988,6709
11987,6740
6049,10603
11988,6720
11988,6722
11987,6747
12429,9428
11988,6718
3976,9332
11987,6748
11988,6728
11989,6697
11987,6758
11988,6727
11990,6665
6812,3340
11988,6730
11987,6761
11987,6755
11987,6754
751,11012
8173,10303
11986,6787
12517,6722
12429,9450
11988,6738
11987,6769
11987,6768
11990,6675
8172,10339
11988,6732
11987,6762
11988,6733
11987,6764
11990,6682
6015,11680
12429,9456
11988,6745
11988,6740
11987,6771
5646,6740
12517,6727
11987,6773
11988,6742
11987,6772
11988,6752
11987,6782
11988,6751
11987,6785
11988,6754
11989,6722
11988,6748
11987,6778
11988,6747
364,6650
11988,6749
11990,6697
11987,6790
11988,6761
3979,9280
12517,6742
11987,6787
8149,11077
11990,6693
11988,6755
11988,6758
11987,6789
11987,6788
11988,6768
11988,6769
11990,6707
11989,6738
12429,9478
11988,6764
11988,6766
11988,6776
11991,6682
11988,6778
7666,9681
3443,9524
11988,6772
11988,6771
11988,6773
3902,11687
11990,6722
11989,6752
5550,9749
12517,6768
11989,6755
11991,6693
11988,6785
12517,6766
11990,6718
11989,6749
11988,6780
11989,6748
11988,6779
12517,6764
11988,6791
11988,6788
5646,6788
11988,6787
11988,6790
11988,6789
11990,6727
222,11095
11990,6740
11989,6764
1332,9459
11993,6653
11990,6748
11990,6747
5535,10244
364,6703
11990,6742
11989,6772
1293,10675
11993,6650
362,6769
11989,6785
1420,6740
11990,6755
1423,6650
11993,6657
12429,9524
11993,6659
11989,6782
11990,6764
8290,6769
11989,6789
11991,6727
11993,6665
11990,6758
11989,6791
11990,6769
1343,9144
11990,6772
11990,6771
11990,6768
11991,6737
11993,6675
11990,6778
11991,6748
11990,6773
363,6769
3973,9545
11993,6682
11993,6693
11991,6755
11993,6692
11990,6788
11990,6787
11991,6751
11990,6784
11993,6701
11993,6703
11993,6697
11990,6789
6007,12042
8630,12657
11991,6771
11993,6709
11993,6707
11991,6769
11991,6768
11993,6718
7622,11147
11995,6650
11993,6715
5988,12653
11993,6727
11991,6788
11993,6720
11993,6722
11993,6733
11993,6732
6009,12009
11993,6728
11993,6730
11993,6740
11993,6743
11993,6742
11995,6680
11993,6737
11995,6675
11993,6738
11993,6749
11993,6748
11993,6751
11993,6745
1423,6740
11993,6747
11995,6697
11993,6758
807,9459
11993,6752
11993,6755
11995,6693
11993,6754
11995,6692
5543,10104
11993,6764
11993,6766
704,12659
11993,6761
11995,6701
11993,6762
11993,6773
11993,6772
12429,9640
11993,6775
11995,6707
11993,6769
11993,6768
5553,9804
11993,6771
12438,9372
11995,6718
11993,6780
11993,6782
11995,6715
11993,6776
11993,6779
11993,6778
11995,6727
11993,6789
11993,6788
11993,6791
5549,9941
11993,6790
11993,6785
11993,6787
7661,10014
5540,10230
11995,6737
11995,6730
1313,10199
4070,6650
11998,6650
11995,6742
7669,9773
12438,9392
5510,11175
3368,12046
12438,9397
11995,6749
11995,6748
11995,6758
727,12000
11995,6755
11995,6754
12429,9699
11995,6766
11995,6769
11997,6707
11995,6768
11997,6701
11996,6733
6105,9138
11995,6776
11997,6709
11995,6771
8169,10701
7597,12046
11995,6785
11995,6778
3386,11519
11997,6718
11995,6791
11995,6790
3456,9353
11997,6730
11996,6761
11995,6787
11997,6727
1345,9263
11995,6788
11997,6737
11996,6768
247,10535
5535,10456
6711,6768
11996,6771
1276,11417
3350,12660
11999,6680
11997,6761
11997,6769
11999,6707
11997,6768
11997,6771
11998,6740
4069,6778
11997,6764
5655,6768
251,10451
11997,6776
12429,9768
11998,6748
11998,6742
11997,6775
12001,6650
12438,9499
6049,10946
11998,6755
11999,6718
11998,6761
3428,10286
12429,9782
11997,6788
12429,9781
11998,6769
11998,6772
11998,6771
3418,10606
6064,10501
11998,6768
11999,6737
11998,6773
12429,9810
11999,6755
8183,10363
12429,9811
11998,6788
1238,12667
11999,6764
710,12659
7774,6665
11998,6791
11999,6771
7647,10606
11999,6772
8214,9415
8301,6718
12001,6707
11999,6778
12001,6718
8828,6773
3968,9985
11999,6788
8828,6782
3394,11401
3973,9837
8175,10647
3467,9145
1318,10230
5534,10610
274,9837
3374,12046
12429,9874
12429,9875
12001,6758
8301,6764
11892,10134
12001,6755
374,6748
3984,9524
8199,9941
6017,12046
11895,10059
6018,12018
12529,6788
12001,6769
12001,6768
3952,10535
3546,6747
7774,6754
12429,9900
7679,9703
7661,10267
12400,10810
816,9471
1354,9179
7663,10206
5491,12009
7681,9658
6188,6788
231,11234
12429,9939
7774,6782
734,12032
904,6769
3459,9486
8162,11147
11906,9781
8209,9703
6088,9918
8156,11370
5550,10230
6069,10535
5543,10456
6719,6768
799,10066
3404,11234
3548,6771
12449,9372
905,6788
12429,10006
4078,6748
7777,6768
3888,12658
7780,6701
3419,10820
4078,6779
1349,9459
7780,6709
734,12153
5517,11337
6023,12040
3976,9962
826,9306
7655,10603
303,9144
1439,6697
7683,9749
3551,6771
8138,12028
11899,10134
1267,12046
7779,6785
7783,6659
4080,6764
3457,9698
288,9640
4081,6755
6026,12009
3552,6788
3944,11022
5667,6761
12429,10134
12429,10133
12429,10145
382,6769
3553,6785
3424,10786
6026,12042
8744,9703
11900,10171
3409,11255
5494,12153
1359,9280
3554,6771
1303,11017
1271,12009
7635,11337
12429,10174
384,6740
5555,10286
8711,10753
3403,11467
12429,10202
6726,6769
286,9804
12429,10206
388,6650
4085,6737
7660,10606
913,6773
7655,10769
12429,10234
7785,6737
12429,10228
3386,12046
12429,10238
7694,9570
1445,6682
3473,9353
12429,10250
12429,10249
3445,10230
918,6653
1306,11017
12429,10272
1300,11207
6121,9214
12429,10283
8314,6771
6200,6778
7705,9273
1270,12153
7678,10114
8175,11089
12438,10006
1444,6771
7787,6747
12436,10086
823,9647
1331,10283
12429,10312
3977,10182
12438,10037
8177,11076
12429,10339
11904,10230
12429,10334
7788,6769
12438,10082
12020,6665
12429,10376
12429,10374
12429,10375
11892,10647
200,12648
12020,6682
1350,9768
6101,9944
12550,6650
12429,10397
6116,9501
7631,11691
12438,10139
1328,10482
12550,6675
12404,11198
7680,10194
1368,9263
7683,10107
6736,6701
12550,6697
12550,6693
6736,6707
12550,6707
12429,10456
12550,6703
12550,6701
3902,12653
393,6748
12550,6709
12550,6722
12550,6718
12429,10482
1363,9459
12550,6730
12550,6727
5509,12011
12438,10198
5678,6773
12550,6737
6017,12652
12550,6747
12020,6791
1329,10535
12550,6755
1261,12648
12550,6752
3923,12046
7793,6771
3993,9883
12550,6764
3952,11151
5581,9804
12429,10512
12438,10234
12550,6758
12550,6771
12550,6769
3569,6650
4095,6727
12550,6768
12550,6766
3403,11803
12550,6780
826,9772
12550,6775
12550,6776
12550,6773
12550,6787
12550,6788
12550,6785
842,9288
12550,6782
12550,6791
8851,6771
3566,6772
12550,6789
12551,6771
8191,10856
12551,6776
7683,10230
4008,9471
8323,6787
8155,12003
1321,10875
12438,10314
11899,10647
3477,9583
12429,10601
6739,6769
3982,10314
3570,6709
3572,6650
5582,9874
5682,6791
1337,10416
7798,6740
12429,10631
7700,9781
7672,10647
12429,10647
4102,6650
6212,6779
12429,10663
808,10469
12429,10674
11915,10225
12429,10673
3939,11733
3962,11017
11900,10701
5582,9975
7680,10475
7710,9549
314,9459
7663,11021
12429,10727
3981,10481
1380,9205
403,6730
7611,12658
12438,10491
7692,10157
12429,10769
792,11071
12429,10787
7703,9836
5688,6773
11895,10960
839,9640
931,6788
828,9985
7708,9696
11954,9150
6217,6771
1461,6768
7643,11736
12429,10820
1291,12046
12429,10842
328,9138
12429,10850
743,12666
8333,6749
11935,9784
8333,6769
8187,11295
235,12046
8211,10559
6638,10171
844,9561
8333,6787
12429,10881
7809,6650
12429,10889
3994,10230
3956,11408
12429,10885
12429,10898
7659,11313
7729,9144
11924,10171
7719,9459
1290,12153
3932,12175
12429,10908
8215,10482
237,12046
4007,9877
7680,10701
7807,6769
12429,10946
11923,10249
8258,9179
8736,10753
3492,9486
7681,10706
12438,10706
826,10230
5694,6784
5696,6722
12429,10995
11929,10110
7663,11287
299,10198
13733,3340
290,10482
12429,11005
7194,9459
12438,10740
7696,10283
1323,11247
813,10674
3978,10862
8780,9459
12429,11042
263,11356
6055,12033
5558,11071
1468,6788
1469,6771
1473,6650
12429,11076
3976,10980
7811,6787
1374,9728
12429,11089
7643,12008
6226,6791
5702,6650
848,9681
773,12008
12438,10851
1339,10851
6108,10469
838,10006
8212,10787
12438,10856
1472,6742
3975,11071
6126,9941
4017,9789
6231,6697
12429,11178
11904,11077
13739,3340
6760,6709
771,12153
5588,10286
11924,10475
6230,6771
12438,10946
8175,12031
856,9549
1390,9391
13741,3340
12429,11256
12429,11254
7688,10771
7681,10992
8197,11395
3928,12659
8346,6782
8346,6790
12050,6653
12050,6650
4121,6703
12438,11013
6233,6769
257,11803
8736,11096
12050,6665
3590,6788
950,6707
12438,11021
6043,12667
12050,6680
4020,9847
6236,6697
948,6787
420,6773
3592,6749
759,12654
1334,11214
13744,3340
8348,6771
307,10286
8350,6709
12050,6697
12429,11344
6113,10535
7692,10735
12050,6707
832,10409
8254,9703
12050,6715
1478,6773
1382,9750
12050,6727
12050,6722
12429,11358
12429,11356
8736,11154
12429,11370
12050,6732
6104,10850
5582,10647
12050,6749
7685,10995
12050,6748
12429,11393
320,9939
12050,6754
12050,6755
8204,11305
13746,3340
12050,6761
12050,6764
12050,6773
12429,11408
4124,6722
12050,6769
812,11089
12050,6772
12050,6771
12050,6782
12429,11416
12050,6778
12050,6790
12438,11147
12050,6789
12050,6791
3473,10535
12050,6788
12050,6787
13747,3340
3483,10230
4021,9941
952,6782
12438,11172
3498,9781
1387,9699
12429,11467
5520,12648
1387,9703
1308,12153
425,6768
4020,10014
4009,10363
426,6747
8353,6768
6095,11236
5710,6785
3457,11096
5521,12652
13749,3340
12429,11507
1385,9804
1362,10535
3597,6788
955,6771
4024,9939
11904,11417
12429,11525
7827,6740
1484,6768
1485,6738
11978,9144
1488,6650
11978,9138
6152,9524
12393,12665
4130,6682
1369,10364
11979,9145
11979,9144
5600,10286
5594,10469
12438,11305
11978,9177
11978,9179
8357,6748
1362,10607
12429,11602
5570,11236
11980,9144
11979,9177
11978,9204
12438,11337
11979,9179
11978,9224
3481,10486
11978,9229
8270,9498
3602,6748
11980,9177
3480,10531
1488,6748
11979,9205
11980,9179
11981,9150
4131,6748
1393,9704
11980,9194
11978,9263
881,9205
11979,9229
11981,9177
3450,11491
11980,9204
6055,12660
11978,9265
11979,9234
11978,9268
6662,10230
12429,11680
11978,9280
1489,6755
11978,9279
11978,9274
11978,9276
12059,6764
11979,9255
1385,9985
11978,9288
11979,9257
11981,9194
11978,9282
11980,9220
12429,11687
816,11247
11979,9263
11983,9138
11979,9265
436,6650
3604,6748
11982,9177
11978,9303
11978,9300
11983,9144
11978,9310
11979,9280
11983,9151
1378,10230
11983,9150
5632,9428
11979,9288
831,10810
1492,6703
7832,6773
11978,9313
11979,9282
3974,11687
11981,9234
11978,9324
880,9303
11979,9303
11983,9179
11980,9273
8361,6771
11979,9300
11979,9310
11980,9282
3964,12017
5638,9276
11978,9340
859,9970
11980,9288
11985,9133
6126,10535
6136,10225
11978,9349
11978,9346
7698,10958
11978,9355
11985,9138
11979,9324
11981,9273
6133,10334
11980,9303
11969,9647
11985,9144
12062,6772
3976,11672
11981,9282
11983,9220
11980,9313
11980,9310
11978,9372
8214,11378
11978,9381
11979,9353
4023,10228
11979,9349
11978,9379
11983,9234
11978,9392
11985,9174
11978,9391
11979,9355
3606,6780
11978,9397
11978,9400
11985,9177
11978,9393
11985,9179
11978,9395
11981,9313
8194,12023
4139,6659
11979,9379
12429,11812
11979,9381
11985,9194
11985,9205
4138,6697
11979,9393
11983,9268
11979,9392
12067,6659
3487,10501
11978,9429
11979,9395
11978,9428
11979,9397
1382,10230
11985,9220
12435,11654
11980,9372
11983,9280
5722,6769
7836,6778
11985,9224
858,10104
11980,9392
11988,9144
11980,9391
11978,9456
11980,9393
5622,9883
11978,9450
11978,9449
11978,9452
11983,9303
11987,9179
12438,11581
11988,9150
11980,9397
11979,9428
12517,9144
11978,9471
6107,11247
3609,6769
11978,9478
822,11247
11979,9449
11985,9263
845,10535
11911,11556
11985,9257
777,12653
8258,10114
11979,9450
11979,9463
11985,9279
8176,12663
11985,9273
11980,9428
11978,9489
11979,9458
11980,9429
971,6650
11979,9471
11983,9346
11985,9280
11978,9499
11985,9282
11983,9355
4138,6788
11979,9478
340,9837
11980,9450
11978,9512
11980,9449
11985,9288
11980,9456
11979,9486
11979,9489
11989,9179
11980,9458
11979,9488
11988,9204
11978,9515
11989,9174
11978,9526
11980,9463
11985,9310
11949,10421
11980,9459
7757,9310
11985,9313
11985,9324
11978,9544
11979,9513
11979,9512
11981,9450
3532,9224
11979,9507
3615,6650
12438,11675
11978,9549
11983,9397
11990,9179
11980,9489
11980,9486
12067,6788
11979,9526
973,6650
11979,9524
12438,11691
363,9179
11983,9410
354,9459
969,6779
11978,9561
11987,9282
11980,9501
11985,9346
442,6737
11978,9576
11979,9544
873,9764
859,10199
11980,9507
11985,9355
11987,9303
11988,9274
11978,9583
11988,9273
4004,11017
7730,10199
11991,9177
11979,9549
12424,12149
11988,9280
11988,9279
11985,9372
12429,11992
11979,9561
11979,9560
11980,9524
8257,10260
7672,12010
11985,9381
11978,9598
12429,12000
11986,9346
7845,6650
11985,9379
12429,12011
11983,9450
12429,12008
11985,9391
11978,9608
6111,11254
3952,12653
12429,12007
301,11147
11987,9324
11979,9572
11993,9138
11985,9397
11988,9303
12517,9288
12429,12017
11993,9150
11978,9615
11985,9393
11985,9392
11978,9612
11985,9395
11980,9560
11988,9313
11986,9372
11980,9570
11982,9501
11987,9346
344,9837
11987,9349
11978,9640
8371,6769
11979,9608
12429,12038
11985,9417
11982,9512
11985,9429
11978,9646
11985,9428
11986,9397
11978,9647
11993,9177
11983,9486
12429,12044
11993,9179
11988,9346
11978,9649
11989,9310
11978,9664
11978,9658
11993,9194
11980,9608
11993,9204
11979,9640
11985,9449
11978,9666
11988,9355
11983,9513
11985,9450
12426,12175
11979,9647
7714,10787
11995,9150
11979,9649
11985,9463
11985,9456
1394,10104
11985,9458
11990,9313
11985,9471
6638,11388
11988,9372
828,11276
11979,9662
11978,9696
11985,9478
3087,6787
11980,9627
4144,6788
11991,9288
4058,9459
11988,9392
11990,9330
11988,9391
11995,9177
11990,9332
11985,9486
11988,9393
1412,9567
11985,9482
11990,9327
11978,9699
880,9681
11979,9681
301,11247
11978,9711
11987,9429
11981,9615
7752,9643
11988,9397
5541,12652
11990,9348
11980,9658
11979,9683
11985,9499
11991,9313
11987,9447
11988,9415
830,11247
11978,9728
11980,9666
11979,9696
11988,9417
8373,6788
11979,9690
11980,9662
11989,9395
11979,9699
11986,9482
11987,9450
11985,9512
11979,9711
11988,9428
11993,9273
11978,9738
8277,9781
11979,9721
11981,9658
11993,9280
5732,6768
5732,6771
11988,9450
11980,9698
11979,9728
451,6650
11988,9456
11978,9768
11987,9489
7846,6788
7846,6787
8770,10906
11979,9730
11985,9544
11980,9699
11978,9764
11982,9640
887,9526
11988,9463
11979,9738
11978,9772
11978,9782
12079,6650
12517,9459
11988,9471
11993,9316
3092,6718
11978,9784
977,6747
4149,6722
13664,6665
11993,9313
11979,9749
11982,9666
6088,12153
11985,9572
13664,6675
11981,9698
11978,9785
11990,9416
863,10293
11978,9798
11998,9177
11990,9428
11991,9397
11980,9738
11998,9179
11979,9768
978,6733
11997,9205
11956,10475
13664,6682
11989,9452
1378,10720
11979,9764
11983,9640
1384,10535
11987,9526
11979,9773
1419,9459
11979,9782
11906,12042
11993,9347
11979,9781
11980,9749
11978,9811
11993,9346
11990,9450
13664,6707
11997,9234
11987,9544
11979,9787
11993,9355
11979,9788
3621,6748
11985,9612
11979,9798
11978,9829
11996,9274
11991,9428
4149,6771
11993,9372
8275,9944
12517,9512
1419,9486
11980,9772
13664,6722
11978,9836
11988,9526
11979,9804
11980,9785
7191,10789
11979,9811
11979,9810
6794,6709
11980,9781
11988,9544
13664,6742
11979,9825
13664,6740
11987,9576
11903,12175
12517,9526
11980,9787
1337,12046
13664,6749
13664,6747
11979,9833
13664,6748
11993,9393
3093,6768
5624,10230
11993,9392
11985,9640
11979,9829
11993,9395
11985,9643
11990,9498
451,6755
7764,9428
12517,9544
11988,9561
11978,9871
8378,6778
11997,9279
11979,9836
11978,9878
11988,9568
11981,9784
11993,9415
6793,6768
11978,9874
3622,6769
979,6784
11983,9721
4042,10134
12517,9549
11993,9410
11978,9875
11985,9658
13664,6773
11989,9544
11993,9417
11993,9416
11985,9664
11985,9666
11993,9429
11971,10110
11983,9738
11993,9428
11982,9768
11987,9612
452,6755
12438,12027
11988,9592
11997,9313
11991,9498
333,10447
11980,9836
11978,9898
11978,9900
11979,9869
6267,6718
11978,9912
11979,9875
12438,12032
11979,9874
283,12008
13664,6791
3994,11654
11985,9690
11995,9391
8190,12653
4154,6703
