cause_of_death_1,cause_of_death_2
8256,13333
1498,13932
1300,13927
8037,13974
8038,13953
8170,13958
3810,13953
5462,13942
6057,13928
243,13942
1102,13941
3811,13932
8435,13947
6916,13937
6016,13163
6850,13937
4274,13928
4274,13936
3414,13971
11937,13953
3878,13935
284,12712
3548,13938
5464,13937
7776,13946
7069,13333
7710,13942
6937,13333
8371,13942
529,13333
3879,13930
5861,13929
1454,13333
7711,13927
3436,13333
8372,13927
5333,13927
3219,13927
7777,13947
8173,13956
