member_1,member_2
12480,6151
6649,6692
6649,6697
7259,8266
7261,4108
6649,6703
7261,8211
8653,6013
6649,6701
6649,6707
6649,6709
7249,8589
6649,6715
6649,6718
7261,8226
6649,6722
6649,6720
6649,6727
7249,412
6649,6730
8888,6957
6649,6728
6649,6733
6649,6732
6649,6738
6649,6737
6649,6743
6649,6742
6649,6740
7259,4214
6649,6747
7259,4220
6649,6745
6649,6751
8718,8142
6649,6749
6649,6748
9113,4091
6649,6755
6649,6754
6649,6752
3824,4220
9113,8192
6649,6758
7284,3457
7261,8266
7259,8326
6649,6762
7266,8115
6649,6761
7261,8269
7219,1378
6649,6766
6649,6764
6649,6771
7261,8278
6649,6769
6649,6768
6649,6775
7259,8345
6649,6773
6649,6772
6649,6779
6649,6778
7261,4189
12502,1468
6649,6776
6649,6782
6649,6780
12479,6271
6649,6787
6649,6785
6649,6784
7222,5405
6649,6791
12502,5567
6649,6790
6649,6789
7266,8142
6649,6788
7261,8302
7261,4205
7249,8672
7217,5575
7242,8896
7201,6068
9088,826
7261,4222
9113,4158
7261,4220
7259,4282
12493,5870
7249,8705
7215,5662
9113,4175
7259,8403
7288,3412
9113,4191
4221,4290
7249,8725
7193,6365
8867,7726
7211,5819
7206,5974
7261,8372
8867,7738
7261,4282
7261,4290
7225,5405
7261,8389
12480,6348
7249,8765
7261,8398
7261,4300
7242,793
7261,8403
7212,5830
7242,8993
7249,588
8984,8254
7266,4168
7305,7059
9113,4261
7201,6185
7247,8869
7203,6139
7284,3627
6656,6719
9113,4282
8943,1360
7226,1345
7201,6224
7249,8838
7249,8843
6987,588
7201,6245
7206,6100
7249,8864
7249,8869
7267,4214
7201,6271
7242,9095
9113,268
6661,6663
6661,6662
7272,8210
7217,5830
7249,741
4217,535
7247,9002
6708,5235
6661,6698
7210,6062
7230,1345
7249,8953
7201,6353
7249,8967
7270,4220
7230,1368
9122,8254
7261,8602
7261,8600
7249,793
7249,8990
7284,3813
7284,3812
7249,8993
7249,8992
7269,4282
7206,6233
7233,5405
7212,6062
6792,6793
6661,6760
7212,6068
9122,4201
7294,7625
6661,6774
7261,8653
13266,6819
6661,6783
7203,6365
7219,5880
7215,6013
8970,753
13266,6856
7211,6139
7261,8695
8878,3627
6667,6644
13266,6878
6667,6647
7212,6139
7249,9095
13266,6882
7249,9115
6667,6676
8664,6208
6667,6679
6667,6684
6667,6689
12984,3381
6667,6694
9038,6920
6667,6700
6667,6705
7261,8770
7219,5974
7276,4214
7217,6046
7261,588
7288,3862
7219,6005
6997,8789
7212,6224
7217,6068
7217,6078
7215,6139
8716,8770
8881,7756
3342,3341
7242,5325
7261,8838
8754,3520
7217,6115
7249,1032
7219,6062
7220,6046
7261,8869
7212,6296
3985,8028
8938,6046
7042,3381
8972,9097
7219,6100
8752,7733
7302,7625
12479,6879
7211,6365
8980,8869
7217,6185
13390,3240
13447,5580
6673,6674
7212,6353
7261,741
8871,4084
12480,6899
8751,7806
7261,753
6649,3340
7217,6224
6673,6710
7305,7601
6673,6712
6625,12
6625,23
7217,6245
6673,6724
8624,3586
6625,27
6625,31
6625,29
6625,35
6626,3
6625,33
4270,3412
6626,12
6626,11
6625,41
6625,47
6625,46
7219,6208
7261,9002
6625,45
6626,13
6625,51
6625,50
7261,814
6626,23
6625,53
6673,6757
6625,52
6625,59
6673,6763
6626,26
6625,56
13266,3086
7219,6224
9088,5624
9113,753
6626,30
6625,61
6627,5
6625,66
6627,3
6625,71
6626,37
6627,13
6627,12
8746,3958
6627,11
6626,42
3866,3683
6627,17
7215,6365
6625,78
6625,77
7259,9095
6627,14
6626,52
6627,21
6626,51
6627,20
6625,81
8628,7625
6627,18
6625,86
6627,24
6626,54
6627,23
6627,22
6625,91
6627,29
6625,90
6627,28
6626,59
9020,7768
6625,89
6627,27
6626,57
6627,26
13390,3370
6627,33
6625,95
6627,32
6626,62
6627,31
7249,5325
13266,3113
6627,30
6625,92
6627,37
6626,68
7268,8838
6627,36
6627,35
6626,65
6625,96
6627,34
13266,3126
6627,41
6627,40
6627,38
6625,107
6627,45
6626,75
6627,44
6627,43
6626,74
6627,42
6626,73
6625,104
6627,49
6626,79
6625,110
7216,6365
6626,78
6627,47
6627,46
6625,115
6627,53
6626,83
6627,52
6627,51
6627,50
6627,57
6626,88
6627,56
6625,117
13266,3137
6625,116
6627,54
6627,61
6626,92
6627,60
6627,59
6626,90
6626,89
6627,58
7194,7057
6625,127
6627,65
6626,95
6626,94
6625,124
6627,62
6627,68
6627,67
6626,98
7217,6353
6625,128
6627,66
6627,73
8768,3328
6627,71
6625,133
6625,132
6627,77
6627,76
6627,75
6627,74
6626,112
6627,81
9113,832
6627,80
7219,6304
6625,141
6627,79
6626,110
7217,6365
6627,78
6627,85
7219,6309
6627,84
6627,83
6627,82
7198,6957
6627,89
6626,120
6627,88
6627,87
6627,86
6626,117
7219,6317
6626,123
6627,92
6626,122
6627,91
8751,7980
6625,152
6627,90
6627,97
7261,9115
6626,127
6627,96
6627,95
6627,94
6626,132
6625,163
6627,100
8748,8080
6627,99
6627,98
6627,104
6625,166
6626,135
6627,103
6625,165
6627,102
6627,109
6627,108
6625,170
6626,138
6627,107
6627,106
8722,8896
6625,175
7294,4012
6626,143
6627,112
6627,111
6626,142
7249,5405
6627,110
6626,141
6625,179
6627,117
6626,147
6627,116
6627,115
6625,176
6627,114
6626,145
6627,121
6626,151
6627,120
6627,118
7201,6907
6627,124
6627,123
6627,122
6631,5
6627,129
7219,6353
6626,159
6627,128
6627,127
6626,158
6627,126
6626,157
6640,7915
6627,133
6626,164
6627,132
7249,1330
6627,131
6627,130
6627,137
6631,12
6627,136
6627,135
6627,134
6626,172
6627,141
6627,140
6626,170
7266,9002
6627,138
6626,176
6631,21
6627,145
6627,144
7259,1032
6628,4208
6627,143
6627,142
6627,149
6631,24
6631,23
6627,147
7249,1345
6626,177
6627,146
6627,152
6631,28
6626,182
6627,151
6626,181
6626,188
6627,157
6627,156
6627,155
6627,154
6626,185
6627,161
6631,36
7201,6942
6627,159
6627,158
8943,6185
6626,196
6627,165
6631,41
6627,164
6631,40
6627,162
6627,169
6631,45
6627,168
6627,167
6626,198
6627,166
6626,197
6627,172
6627,171
6627,170
7249,1368
6627,177
6631,52
6627,176
6627,175
6631,50
6627,181
6627,179
6627,178
6627,185
6631,61
6631,60
6627,183
3471,3813
6627,182
6631,58
3471,3812
6633,3
6627,188
6627,187
6627,186
8878,8229
6627,192
10206,3927
6627,190
6633,11
6627,197
6627,196
8840,5325
8675,6345
6631,76
6633,13
6631,75
6627,198
6633,18
7249,1401
6633,21
6631,89
6633,26
6631,87
6633,31
6633,30
6631,92
6634,3
6631,95
13414,6913
6634,5
7203,6942
6633,43
6634,12
6634,11
1631,3552
6633,46
6631,108
7266,9095
6634,14
6634,13
6631,106
6634,20
4273,7674
6631,111
6634,18
6633,49
6634,17
7294,8229
6634,24
6631,117
6634,23
6633,54
6634,22
6633,53
6634,21
6631,121
6634,28
6634,27
6633,57
6634,26
12481,3095
6633,56
6634,32
9088,5871
6634,31
6633,62
6634,30
6631,123
6634,29
6634,36
6634,35
6635,3
6633,65
6634,34
6634,33
6634,40
6631,132
6634,38
6631,131
6628,4319
6633,68
6634,37
6635,13
6633,74
6634,43
6633,73
6634,42
6631,135
6635,11
6634,41
3228,3229
6633,79
6631,141
6631,140
6634,47
6634,46
8881,8210
6634,45
6634,52
6633,83
6634,51
7249,1466
6633,81
6634,49
6634,56
6631,149
6634,54
6634,53
4270,3706
6634,60
6634,59
6634,58
6631,150
6633,88
6635,26
6634,57
6633,94
6631,156
6634,62
6631,155
6634,61
6635,30
6634,68
6633,99
6633,98
6634,67
6634,66
6633,96
6634,65
6633,103
6634,71
7249,5582
12479,3190
6633,100
6631,162
4273,7725
6634,76
6634,75
7201,7074
6634,74
6635,42
6634,73
6634,80
6634,79
6631,171
6634,78
6634,77
6633,115
6631,177
6634,84
6634,83
6634,82
6634,81
6633,112
6635,57
6634,88
6634,87
6631,179
6634,86
6634,85
6635,54
6633,123
6634,92
6634,91
6633,122
6633,121
6634,90
6634,89
6633,120
6631,189
6635,65
6634,96
6634,95
6634,94
6633,124
6635,62
6631,186
6634,100
6633,130
6634,99
6635,68
8754,4014
6634,98
6633,129
6631,190
6634,97
6635,73
6634,104
6634,103
6633,134
6631,195
6634,108
7207,6921
6634,107
6634,106
6635,74
6637,12
6633,143
6634,112
6634,111
6637,17
6634,110
6635,79
6634,109
6633,147
6634,116
6637,23
6943,6921
6633,145
6634,114
6635,83
6633,144
13390,7770
6633,151
6634,120
6635,88
6634,118
6633,149
8771,7596
6634,117
7259,5318
8624,8058
6634,124
6633,154
6634,123
6634,122
6634,121
6634,128
6633,159
6634,127
6633,158
6637,33
6634,126
6633,157
6635,94
6637,32
6633,163
6634,132
6634,131
6634,130
6635,98
6634,129
6633,167
6634,136
6634,135
6633,165
6634,134
6633,164
6634,133
6634,140
6634,138
6637,45
6633,168
6637,44
6634,144
6634,143
6635,112
6634,142
6634,141
6633,172
6634,147
8628,7968
6637,52
6634,145
7297,4168
6634,152
6637,59
6635,120
6633,182
6634,151
7249,5662
6633,181
6634,156
6634,154
6635,123
6633,185
6635,122
6637,67
6634,159
6634,158
6634,157
6633,188
6634,164
6634,162
6634,161
6634,168
6634,167
9113,5233
6634,166
6633,197
8921,7090
6633,196
6634,172
6634,171
8626,8054
6634,170
6634,169
6635,145
6634,176
6635,144
6634,175
6635,143
7231,6243
6637,80
6635,142
9088,6018
7212,6838
6634,179
6635,147
6637,84
6635,146
6634,177
6634,183
6637,89
6635,151
6634,182
1631,3724
6634,181
6637,95
6634,188
6635,157
6634,187
6634,186
7261,5325
6634,185
6637,92
6634,192
6635,161
13058,5843
7284,8713
6635,159
6634,190
6635,158
6634,196
6637,102
6635,164
12479,3325
6640,13
6634,198
6634,197
6640,11
13266,7594
6640,18
6637,111
6635,172
6637,109
7231,6271
12724,3928
6635,177
7297,8326
7232,6243
6640,26
6635,181
6637,118
6637,116
4270,3862
6635,185
6640,29
6635,182
6637,127
6637,126
6635,188
6640,32
6640,31
7207,7030
12480,3311
7210,6942
6637,128
6635,197
9020,8183
6635,196
6637,132
6656,3646
6690,6688
6637,137
6640,43
6641,12
9113,1203
6640,49
6637,141
6640,54
6640,53
9113,5318
6640,62
6640,61
7206,7090
6640,65
6641,32
6637,156
7211,6942
6640,74
6640,73
6637,170
6641,45
6640,81
7261,5405
6640,79
6637,179
6640,86
6641,52
6641,59
6640,88
13266,3582
6640,91
7212,6942
6637,190
6943,7086
7261,1330
6640,100
6640,99
7283,8838
12480,3377
8715,5405
6640,103
8897,7960
6640,108
6640,117
6640,115
6640,122
6641,89
6641,95
6640,124
6641,92
6640,130
6640,129
13266,3622
6640,134
6640,133
7242,6046
12480,3422
9038,3627
6641,111
6640,141
6641,109
6640,145
7279,814
8752,8399
6641,118
7242,6062
6640,147
6640,154
6640,152
1631,3880
6641,127
7215,6909
6640,166
9038,3645
6640,165
6640,164
6641,132
7215,6921
6640,168
7193,7601
6640,167
7212,7018
6641,141
1631,3900
6640,176
6640,175
6640,181
6640,179
7249,5880
7215,6939
6640,197
1631,3925
6641,170
7194,7601
12479,7609
7212,7048
6641,179
6695,6696
13266,3699
7212,7057
7217,6907
6641,190
8902,7929
7203,3265
7212,7079
12724,8258
7261,1477
7217,6942
8626,8326
7267,5405
12493,3145
13266,3767
7249,5974
7196,3520
7261,5600
9113,1435
12480,7661
3751,3827
8893,8263
7193,3627
7219,6921
7217,6982
7193,3638
13266,3785
13086,1173
7215,7057
7206,3238
7294,8702
7206,3237
7249,6005
7193,3645
7215,7059
7249,6013
7219,6942
9088,6355
8800,7093
1631,8152
7238,6365
7261,5662
7206,3274
12724,8353
8916,3520
7249,6046
8914,7674
8925,3237
8925,3238
12480,7720
7261,5676
7249,6062
7217,7059
7217,7057
8916,7637
9038,3862
7261,5704
6656,3987
7294,8789
12738,7961
7201,7601
7219,7048
7219,7046
7212,3178
7201,3519
7219,7057
7201,7618
8961,6309
7219,7059
8938,7030
7201,7625
7219,7079
7211,3237
9038,8042
4273,8302
7211,3238
7219,7093
7220,7059
7219,7090
7212,3220
9122,1360
13040,6880
7212,3238
7191,3888
7198,3671
7261,5819
13266,3990
7201,7684
9038,8089
7261,5830
3228,3897
7198,7806
7249,6224
7249,6233
7249,6243
7198,3725
8643,8083
7201,7738
7206,7596
7197,7876
7249,6271
11687,7963
8773,8180
8898,8403
7212,3333
12480,3870
7224,7059
7191,3996
7249,6294
7219,3133
12884,7741
7249,6304
7206,7644
8925,7596
7201,3701
7249,6309
6661,12254
7193,3958
13140,3927
3751,4168
8839,6185
4253,9095
9034,4254
7198,3827
7206,7674
9038,4127
8888,8789
9020,8789
7203,7778
7249,6359
7259,6046
9113,5915
9020,8798
7212,3412
7249,6365
12502,3274
3751,4214
6938,3723
7206,7701
7259,6062
7261,6005
9020,628
7219,3220
7261,6013
7201,3777
1631,320
7200,3813
7206,7726
7220,3205
7206,3638
8628,8713
9038,4189
3502,7876
7219,3238
7189,4168
13266,8290
13531,8277
8933,3366
13414,3717
8771,8389
13414,3718
7258,6146
7193,4070
1631,364
7220,3238
3228,4108
7193,4082
7198,8028
7193,4091
12479,8164
7220,3257
7224,3132
8943,3089
12486,3859
7191,8261
7220,3265
3824,6139
7231,7018
7206,3706
7212,3520
7210,7684
6713,6714
9029,8644
7207,7791
12745,4053
6713,6726
7192,8261
7206,3736
7201,3888
12502,3403
8839,6359
7212,3551
6713,6739
7261,6139
1631,442
9113,6078
7207,3725
8817,7057
7261,6144
7219,3357
6713,6759
8655,3897
7193,8266
7261,6162
7198,8115
7191,4239
7215,7596
7210,7756
6667,12
6863,6224
7196,4092
7198,8132
8800,7618
7259,6243
6667,23
8800,7625
7215,3520
7196,4109
12502,3467
7201,3958
7215,7619
7203,7991
4217,6348
8847,6186
6667,45
7212,7726
8943,3220
8664,3671
12486,3976
7212,3638
6667,52
7224,3265
6667,51
12489,7985
6667,61
8844,6304
6667,59
6863,6271
7210,7806
7261,6224
6629,5343
12502,3506
7259,6296
1631,539
7217,7596
7259,6300
7219,3444
7193,8345
7261,6243
7259,6304
6667,78
7211,3701
6667,89
7217,3519
7217,7614
8635,8709
6667,92
8771,8600
6667,97
7215,7684
6667,95
7215,3586
7203,3958
8943,3274
7217,7625
7215,7686
7261,6271
6667,108
3442,5880
6667,110
7212,7791
6667,117
7212,3701
6667,118
7198,8233
8898,8789
6667,127
6667,132
7219,7596
6656,472
7219,7601
7215,3627
7259,6359
7261,6296
6667,141
7259,6365
7261,6300
7261,6304
12486,4071
7198,4168
7261,6309
7215,3638
3824,6365
7217,3586
7261,6317
9057,3888
7206,8027
7242,6909
8805,3520
8653,8233
7220,7601
7201,4098
6667,171
6667,170
7217,7701
6667,179
3502,4088
7219,3551
7261,6345
7206,8055
8771,8695
6667,186
7294,5325
7212,3777
7242,6942
6667,190
7261,6359
7212,7876
8928,3837
7198,4220
7217,7725
7198,4222
7215,3701
7201,8229
7217,7738
7206,8083
8916,4222
7216,7778
7203,8180
7219,7686
6656,569
9122,6046
6656,572
7222,7601
7198,8345
7198,4254
8943,3412
12503,3651
12480,270
7201,4168
7212,3827
1631,715
12486,4194
9122,6078
7219,3627
7206,8132
7219,7729
7201,4189
7198,4282
7219,7726
7219,7733
7219,3638
7206,8142
7198,8389
8628,9115
7211,7991
6625,1585
7215,7876
8934,3736
8657,8236
7211,8004
7219,7756
7198,4311
7201,4220
7249,6838
7203,8269
7249,6841
12488,4182
7212,7994
7215,3803
7210,3958
3410,7074
7249,6858
7219,7791
1631,796
7219,3701
7219,3705
3502,4248
7220,7778
7212,8025
7211,8055
7219,7806
7219,3715
7212,8028
1631,821
7203,4220
8925,8187
7201,8389
7215,3865
7212,8054
7212,3958
7249,6907
7210,8115
7201,8398
7249,6909
7212,8055
3656,7710
7206,8254
7249,6921
10535,3365
7249,6920
8800,7991
7219,3759
7072,4219
7207,8233
7206,8263
7219,3762
7206,8266
12480,428
7217,3832
7227,7618
7219,3777
7249,6942
7217,3837
7219,7876
7072,4239
6628,5722
6731,6628
7249,6954
7249,6957
7208,8233
7212,4012
7206,4204
7211,8142
7215,8025
7217,3865
7206,4205
7212,8115
7242,3089
4066,3246
7220,7876
7212,8128
9057,4189
1631,920
8675,7843
7224,7778
7206,4248
7220,3813
9122,6294
7190,8838
12502,3916
3442,6245
7249,7012
7249,7018
7249,7017
7270,6365
12498,4053
6656,832
7219,3865
7249,7030
7219,7960
7219,3862
13002,727
7217,8025
7219,7968
8800,8115
7212,4091
7191,8838
7249,7046
7196,8689
7249,7048
9073,3759
7210,4168
7215,4012
8771,9021
7249,7059
8661,8345
7249,7057
12480,549
7219,3897
7210,8269
7231,7618
7216,8083
1631,998
8943,3706
7206,8403
7249,7074
7232,7601
7206,4311
8685,7614
7211,8261
8685,7625
7198,8668
8943,3721
7211,8269
7249,7090
7215,8142
8748,5676
7249,7093
7220,7991
7212,8246
7219,8028
7212,4148
7193,8838
7212,8254
6709,3365
7242,3229
7198,8695
8800,4087
7210,8326
7212,4168
7212,8269
7220,8025
9067,4012
7219,8054
7284,6046
8940,7960
7215,8183
7215,4087
7198,8709
7219,8058
7224,3812
7194,8838
7198,8713
7211,4220
7234,7601
9036,898
8805,8055
7215,8201
7217,8142
7259,6838
8994,6300
7215,8209
7212,4205
7215,8211
7212,4214
7215,8215
7211,4248
7212,4220
7212,8326
7219,4012
7215,8236
7201,8668
7231,7738
1631,1119
7217,4081
7219,8115
7217,4091
7213,4219
7212,8345
7219,8128
7219,8132
7217,4098
7215,8261
1631,5235
7211,8389
7215,4168
7220,4012
7246,3205
7219,8144
7261,6841
7219,8142
7234,7684
7259,6909
7261,6849
7217,4116
12480,705
7212,4282
8893,1330
7231,3701
7217,8229
8943,7980
7215,4205
7198,8827
8949,7789
7212,8398
7212,206
7224,8025
7212,4300
7217,8246
6690,11
7219,8187
7215,4220
7206,8600
12502,4170
7215,4222
7246,3265
8805,8183
6690,27
7217,4168
7224,8054
7219,8209
7261,6909
7261,6912
9073,8083
7215,8345
7261,6921
7217,4189
7261,6920
7219,8229
13702,7961
7215,4254
7219,8233
7249,3205
7201,8789
8915,8901
7261,6939
7220,8210
7227,7991
7215,8363
6629,6048
7224,8083
7219,4148
4270,1360
8936,8269
6708,3603
7212,8459
6690,79
7261,6954
7249,3229
7219,8254
13699,3979
7219,8261
7215,8389
7219,4168
7249,3237
7201,8827
7219,8266
12480,824
7215,8398
7217,8345
12819,6719
7212,312
7259,7046
7249,3265
7219,4201
7217,8358
7220,4168
1631,1302
7249,3274
7206,8702
7219,4208
7206,8705
7206,8709
3857,6034
12984,5722
7232,3812
7210,8589
9113,6939
7219,4219
7261,7012
7261,7018
7219,4222
13181,7824
7242,3520
7228,8054
7203,8827
7217,8399
7217,206
7217,8398
7219,4239
7217,8403
8881,5974
7219,8345
7201,8901
6656,1219
6629,6156
7261,7051
7206,8756
8902,5325
7261,7048
1631,5457
7261,7057
6690,188
7262,7030
7208,8709
7249,3341
8984,6907
7212,8589
7206,588
7220,8345
7261,7079
12502,8452
7219,8378
6629,6194
6997,7079
7261,7090
9057,8765
7242,3586
7206,8798
7242,7686
7219,8398
7219,8403
7219,4311
7206,628
7210,8695
7211,8668
7245,7618
1568,3381
7201,793
7201,8993
7249,3412
7201,9002
7198,9095
13058,7660
7242,7733
7212,8668
7238,7876
7215,8589
7201,9021
7212,8695
7212,8709
7032,6100
12483,974
7203,9002
8984,7046
7289,6348
7213,8709
7249,7601
7249,7600
7215,8672
7249,7618
3131,12400
7201,9115
8655,9097
7267,7074
3824,3220
1631,5672
7225,8389
7259,3238
7249,7644
7238,7991
7249,3553
7211,8827
7217,8644
7215,8713
7219,8589
7242,7876
6955,391
8943,206
7206,9002
7249,7674
7217,8668
7235,8115
7212,8827
3442,6920
12501,518
6656,1505
6708,3987
7249,7701
7261,3238
7220,412
7217,8702
12480,5296
8857,7017
7232,4148
8925,814
6976,7995
7249,7729
6703,8277
7261,3265
7219,8668
9088,3981
7201,1032
7249,3645
7242,3862
12480,1235
12480,1240
7276,6921
7248,3701
7219,8695
6625,6632
7215,8827
6625,6644
7215,8838
