office_holder_1,office_holder_2
51,8145
13511,7661
5134,3149
5138,8145
5089,7622
5155,7622
5122,7622
12945,7807
13512,7635
5114,11969
12796,12424
12945,6781
13405,11972
13529,8143
13509,6711
13522,8353
13511,6646
5114,7891
5205,8143
13511,7681
12800,8218
5188,7647
13529,8145
5100,12424
5154,7681
9244,11969
13509,6726
12945,7827
5118,7780
5199,8338
5166,8338
12713,7849
13513,7635
12945,7835
13511,6670
5166,6297
13125,8397
5153,7731
6670,6781
5091,7609
5089,7669
12941,7978
5150,7835
12800,8250
13125,5343
5140,8143
5202,3149
5191,7587
11972,12424
12,8396
13599,8065
13509,6756
13509,7780
5091,7622
5134,8338
13522,5343
5137,8250
51,8218
13509,7793
5134,6297
61,7915
5137,8258
7858,11972
51,1058
14426,8046
3976,13531
13511,6711
13405,7963
13511,6721
5123,7678
13509,6781
13511,6729
13511,6726
51,8250
13511,7765
11498,7704
5138,8250
5122,7731
51,8258
5091,7669
5089,7731
5138,8258
5155,7731
35,6711
12933,8277
13511,6756
13511,7780
5208,8143
51,3149
7897,6711
5089,6719
5138,3149
51,8274
13529,8250
5205,8250
13509,7858
129,7915
7897,6726
5178,8075
13511,6781
5179,8043
5090,6711
12800,8338
5151,7891
12800,6297
5160,7622
13405,3927
13511,7807
5137,8338
12800,8353
5140,8250
6756,12424
163,7915
130,7915
5090,6729
5137,6297
13511,7824
31,7915
8353,7978
13530,8258
5115,8010
13509,7897
13511,7835
13221,7609
5091,7731
51,8325
5210,8143
51,12424
5094,7647
13530,8274
5091,6719
51,8338
14621,8258
5138,8338
13221,7622
5087,11972
6781,7587
3928,7963
5175,8218
54,4156
51,6297
12800,8397
5093,6670
13511,7858
5138,6297
5160,7669
51,8350
51,8353
14621,8274
5153,7891
3928,7978
5124,5722
8078,8353
13511,11972
13529,8338
5129,7622
5205,8338
13221,7647
5096,7622
5162,7622
5124,6756
13512,7849
12800,5343
24,8189
13529,6297
141,7635
13530,12424
99,7915
13516,6711
13514,7793
13513,7824
13221,7661
13079,7978
13221,6646
13511,7897
5197,7587
5179,8143
7915,8318
5196,7622
13125,7587
51,8397
13221,7678
5097,7622
5140,8338
5163,7622
5130,7622
13168,8309
3928,3927
5125,6756
5089,11969
13513,7849
14621,12424
13511,7920
5096,7669
51,5343
5160,7731
5162,7669
13512,7888
5122,7891
5089,7891
5123,7858
13529,8397
12970,8318
5155,7891
7587,8274
13125,7609
12970,3195
5114,8143
12945,8078
5114,8145
7661,8043
195,8065
13509,8010
13516,7793
5123,11972
173,7727
12714,8075
134,7915
5124,7858
5130,7669
5097,7669
13509,3928
8325,7963
3976,1467
13511,7958
5109,12424
5208,8338
13518,6729
5090,7897
5093,6781
5095,6719
13221,6719
5091,11969
13125,7647
13511,7981
5095,6726
13221,6729
168,7915
13531,8381
5162,7731
5129,7731
5127,7793
5112,8258
13509,8046
13514,3796
5094,7793
5096,7731
13125,7661
13221,5722
12970,5311
5198,7647
13511,7997
5091,7891
5162,6719
5116,8145
13125,6646
11631,7902
5116,8143
5199,7622
5166,7622
13125,7681
13510,8043
13509,3976
12796,7647
13521,6677
13522,6646
103,7915
13221,6756
5130,7731
5097,7731
5095,7793
5196,7731
13522,7678
13221,7793
5163,7731
13125,6670
12859,7746
13511,8015
13511,3928
5097,6719
5210,8338
12713,8197
13405,8258
5114,8250
14426,8350
12796,7678
13515,7915
13221,7827
5114,8258
13511,8046
13719,6719
13405,8274
13221,7835
5100,7678
5151,8143
13125,6711
13125,6721
12800,7587
13125,6729
5145,6297
13511,3976
7609,6719
13125,6726
90,8381
5134,7669
7609,7744
13319,7888
12328,7888
13513,3923
13511,8078
5160,7891
13522,6726
5136,7622
13522,7746
5156,3928
5179,8338
5116,8250
141,7849
13512,8075
5166,7731
13221,11972
13125,7780
13125,6756
13514,8010
5199,7731
13221,7891
8274,7647
13405,12424
5153,8143
5168,7678
13522,5722
5116,3149
51,7587
5102,7678
5137,7622
5096,11969
5162,11969
194,8283
5114,8338
13125,7807
13125,6781
5114,6297
5134,7731
12800,7647
51,7609
13522,7807
12800,7661
5162,7891
5129,7891
8274,7678
13522,6781
5169,7678
13529,7587
12800,7669
12713,8318
13218,3928
13125,7835
10316,11969
51,7622
5163,11969
5138,7622
12800,7678
5130,11969
5097,11969
6666,13511
5151,8250
141,7915
108,7915
9974,4155
9,7915
13521,7858
13522,7827
13525,6711
10516,7827
6670,8274
12713,8328
5130,7891
13125,7858
13511,8181
5097,7891
5196,7891
5163,7891
13522,7835
13530,7587
5122,8143
5089,8143
5173,7587
12713,12435
51,7647
5149,12424
5155,8143
5205,7622
13511,8189
5089,8145
12713,8356
51,7661
5164,11972
5116,6297
14621,7587
13529,7647
43,7915
51,7669
51,6646
5138,7669
13125,11972
13523,7827
13512,8181
13509,8274
5150,8325
13128,7793
51,7678
51,7681
5140,7622
13511,8218
12800,7731
13125,7897
12945,8353
13512,8197
5153,8250
13529,7669
51,6670
