film_format_1,film_format_2
14422,2020
1932,14422
6094,14422
2989,14422
1866,14422
14423,1985
2923,14422
2857,14422
1800,14423
2725,14422
2659,14422
2527,14422
2461,14423
6557,14425
14422,2044
14423,2010
2197,14422
14423,2008
14422,2040
2065,14423
3056,14422
14424,1987
14422,2049
14423,2019
1735,14422
14422,6164
2528,14423
2330,14422
14423,2045
14423,2042
2198,14423
1868,14422
14423,2051
1934,14423
14423,2048
14423,2046
2661,14423
14422,2087
2595,14422
14423,2054
14422,2086
2595,14424
14422,2099
14423,2065
14423,2063
14422,2094
14423,2077
14422,2105
14422,2111
1803,14423
14423,2081
1671,14423
1737,14425
14423,2093
1539,14422
2596,14423
14423,2097
14422,2126
14423,2095
6164,14422
2134,14423
14423,2105
3059,14422
3054,12529
2927,14422
1870,14423
1738,14422
14424,2079
14423,2120
14422,2151
1540,14423
14422,2149
2399,14422
14423,2128
14422,2160
14423,2126
14422,2158
2201,14422
14423,6234
14423,2134
14423,2146
14423,6240
2796,14423
14422,2173
2664,14422
1607,14423
2598,14424
14423,2152
2466,14422
2532,14423
14422,2181
14422,2195
14423,2164
14423,6254
5373,14424
14422,2203
14422,2201
14422,2197
14423,2166
2929,14422
14422,2209
14423,2175
2599,14422
2467,14423
2335,14422
14423,2194
2203,14422
14423,2198
2930,14423
14422,2243
2864,14423
1741,14422
2732,14424
2600,14422
14422,2238
1609,14423
14422,2249
14424,2184
14422,2257
14422,2255
6234,14423
5309,14424
14423,2234
14423,2230
14423,6340
5706,14423
5640,14422
1610,14422
1676,14423
14423,2252
14422,2282
2469,14422
2403,14422
14423,2258
14423,2259
14423,2256
14423,2257
14422,2297
1875,14422
5905,14422
14422,2308
14423,2277
14423,2274
14423,2275
14423,2273
14422,2302
14422,2316
14422,2309
5443,14423
14422,2322
14423,2286
14423,2301
2008,14423
14422,2330
5708,14422
14423,2306
1678,14423
14422,2335
14423,2305
2537,14422
14423,2315
5576,14424
2273,14423
14423,2324
14422,2356
3066,14422
14422,2352
14423,2328
14423,2326
14423,2344
14423,2343
2274,14423
14422,2387
14423,2354
1944,14422
2010,14423
14423,2364
2935,14423
14423,2365
14425,2303
2869,14422
14422,2403
14422,2399
14423,2378
5512,14424
14423,2376
2275,14423
2209,14422
14423,2389
14422,2420
2077,14423
14422,2415
3002,14422
14423,2383
2936,14424
1879,14423
14423,2394
14423,2393
5777,14423
1747,14422
14423,2391
2738,14423
5711,14422
1549,14422
14422,2434
2474,14422
14423,2412
14424,2381
14422,2444
14423,2411
14422,2449
6240,14423
3003,14423
14423,2417
14423,2429
1880,14423
14423,2426
14422,2466
5712,14424
14423,2432
14423,2433
14423,6540
2343,14423
2277,14423
14422,2474
5250,14423
14422,2469
2079,14424
3070,14423
3004,14423
1815,14423
14423,2461
5911,14422
14423,2456
2542,14422
14423,2467
14422,2494
2344,14423
2146,14423
14423,2481
1882,14423
