nationality_1,nationality_2
3691,51
7917,117
8446,108
8709,141
7651,176
3427,51
8448,51
253,141
1313,51
3161,108
5277,51
6334,51
3163,51
1049,51
6070,51
8184,51
3956,51
785,51
7920,51
521,51
12144,184
11884,51
7652,176
1311,141
8713,51
8709,184
3688,184
12410,141
12413,51
5278,51
6331,176
12673,179
8181,170
6335,51
1047,142
8185,51
3164,51
1050,51
12675,127
253,184
6071,51
12411,127
7921,51
3693,51
5807,51
6864,51
5540,141
7657,51
8447,141
3429,51
5543,51
1315,51
4219,141
12674,184
4222,51
3165,51
8186,51
1051,51
1311,184
12410,184
7709,6644
6334,117
6861,170
6332,184
6072,51
7918,176
6865,51
787,51
7655,141
785,117
520,141
5808,51
7658,51
523,51
6068,190
257,108
3430,51
1316,51
6337,51
259,51
5277,141
3693,97
3166,51
1052,51
12680,35
7919,166
3959,51
4219,184
8447,184
6866,51
7923,51
3692,141
7655,170
7659,51
3428,141
520,179
3431,51
3429,117
8452,51
3167,51
12415,78
6336,117
4224,51
5541,184
3958,108
1053,51
6074,51
3957,141
8188,51
5277,184
789,51
4220,184
8189,24
5806,176
6867,51
3696,51
8977,179
8450,141
7656,176
8453,51
7660,51
3692,184
3432,51
8449,170
261,51
5282,51
4225,51
3168,51
1054,51
12417,51
12678,164
3961,51
790,51
6868,51
7661,51
526,51
3433,51
1319,51
3168,78
8450,184
1055,51
8190,51
12678,184
12414,176
5279,184
6076,51
3962,51
12675,8479
7922,176
6869,51
791,51
3695,141
5812,51
6341,51
263,51
5284,51
4227,51
12679,184
1056,51
6868,105
8191,51
3963,51
792,51
6870,51
8187,184
5813,51
12418,92
3699,51
8454,108
528,51
5549,51
7663,51
1318,141
3695,184
264,51
3750,6676
3434,90
3171,51
6075,141
4228,51
6078,51
11887,190
8192,51
3964,51
7925,141
793,51
5814,51
6871,51
3960,184
3700,51
1323,12
7924,179
529,51
527,117
7664,51
1322,51
12421,51
5286,51
6339,176
4229,51
6343,51
8193,51
3172,51
1058,51
6079,51
7929,51
6075,184
3701,51
530,51
12423,12
6872,61
3437,51
7925,184
1323,51
12422,51
5547,184
4230,51
8458,51
3173,51
5287,51
6344,51
4227,149
1059,51
8194,51
5283,184
6869,170
1057,117
4226,184
6080,51
3966,51
7926,176
795,51
3169,184
12418,186
5550,108
528,141
7662,176
4232,9
7666,51
5552,51
3438,51
12423,51
6345,51
1320,179
12419,170
3174,51
4231,51
529,127
1060,51
6924,6684
3967,51
3170,184
8455,184
6077,176
796,51
11895,51
6874,51
5817,51
6343,127
7826,11498
7931,51
3703,51
5815,117
11892,141
7927,184
5553,51
5550,141
3439,51
268,51
5289,51
6346,51
12424,51
528,184
7717,6700
1321,179
7668,34
8460,51
3175,51
1061,51
3965,141
6342,184
3968,51
8456,184
5285,184
797,51
7928,176
6875,51
6347,35
3704,51
6873,117
533,51
6348,12
3440,51
1326,51
5290,51
5550,184
6347,51
3436,184
3176,51
7666,127
1062,51
3969,51
6083,51
1324,127
3702,141
8459,135
3705,51
6876,51
5819,51
7669,51
11897,51
1324,141
8462,51
7665,176
1327,51
799,35
270,51
4234,51
3177,51
6348,51
5291,51
8198,51
12426,51
266,184
8991,51
3970,51
7930,176
1115,6643
797,117
535,51
1328,51
6349,51
12425,117
3178,51
4235,51
6085,51
8199,51
3971,51
12425,127
6878,51
7935,51
3707,51
7668,141
8725,141
5557,51
7671,51
8195,190
3443,51
8464,51
1329,51
272,51
3441,117
532,184
5293,51
4233,141
3179,51
4236,51
8197,141
1065,51
6086,51
7934,108
8196,176
7667,191
8200,51
3972,51
801,51
5822,51
8990,141
6879,51
8993,51
7673,12
7936,51
5555,141
3708,51
537,51
5558,51
5554,176
7932,184
8725,184
1330,51
5292,108
4237,51
6351,51
1064,110
8461,184
8201,51
3180,51
1066,51
6087,51
3709,51
8197,184
7933,176
6880,51
8990,176
7673,51
5556,141
5557,110
4239,9
5559,51
8992,132
1331,51
274,51
7933,195
4238,51
5555,184
8466,51
6352,51
4236,117
1067,51
6088,51
6084,176
3974,51
6881,51
7938,51
11898,170
5824,51
3710,51
7670,176
7674,51
539,51
3706,184
1332,51
6353,51
11900,127
3444,117
5296,51
5556,184
8199,170
3182,51
1068,51
6089,51
3975,51
11903,51
6882,51
7939,51
12432,37
3711,51
8418,1585
7672,141
1334,12
540,51
8465,141
6618,51
11899,184
3975,66
1333,51
6350,176
276,51
5297,51
8468,51
4240,51
1069,51
6090,51
8467,90
3976,51
6883,51
3972,184
541,51
3445,141
11904,61
1071,9
8469,51
3448,51
1334,51
11954,6700
3181,141
7672,184
8205,51
3184,51
3977,51
12431,125
7941,51
3710,141
3713,51
7937,176
6884,51
5827,51
3973,184
542,51
5823,184
8470,51
3449,51
12431,141
7940,92
5563,51
4239,141
278,51
4242,51
1333,117
3185,51
5299,51
6356,51
12434,51
3978,51
8202,184
6885,51
807,51
7942,51
1337,9
805,117
5828,51
3714,51
7678,51
803,184
5826,117
11906,51
8471,51
3710,184
3450,51
6881,184
1336,51
8204,141
5300,51
4243,51
3186,51
1072,51
8203,176
8207,51
7940,135
1070,117
3979,51
11904,141
808,51
5829,51
3715,51
5825,176
7675,176
7679,51
6091,127
6355,141
5780,1585
7676,154
280,51
6358,51
12432,170
1335,117
4244,51
809,51
7680,39
5830,51
6887,51
3716,51
7677,141
545,51
6092,127
3712,184
3452,51
4245,51
12433,170
8209,51
810,51
9002,51
6355,191
3717,51
6888,51
5831,51
7681,51
546,51
3715,117
5567,51
1339,51
282,51
3451,117
4246,51
8474,51
8206,176
1075,51
3189,54
3982,51
6889,51
9001,117
7946,51
811,51
808,149
3718,51
5568,51
3454,51
6361,51
283,51
5304,51
4247,51
6097,51
8211,51
3980,141
7680,127
7944,141
6886,170
812,51
7943,176
5833,51
7947,51
3719,51
7680,141
548,51
5569,51
7683,51
6359,141
3455,51
12435,194
1341,51
1075,105
12436,176
284,51
5306,17
1074,141
6098,51
3981,141
8208,176
3984,51
3187,184
5834,51
11908,176
11912,51
6891,51
549,51
7944,184
3456,51
1342,51
1338,176
3189,141
5306,51
4249,51
6363,51
12441,51
1078,51
8210,141
6095,176
6359,184
6099,51
7949,51
3188,184
11910,133
814,51
812,117
3721,51
6892,51
7685,51
550,51
11913,51
3457,51
6783,11631
1343,51
286,51
4250,51
3193,51
6360,176
6890,135
7683,127
1077,117
1341,127
6893,51
815,51
7950,51
813,117
5836,51
7682,176
551,51
11910,176
5834,117
8212,127
11911,155
5572,51
3458,51
5308,51
3194,51
4251,51
817,12
8215,51
3987,51
9008,51
6099,117
3190,184
816,51
5837,51
6894,51
4249,127
7951,51
12439,184
8744,51
3723,51
9004,184
6097,184
11915,51
9006,117
5573,51
7687,51
3459,51
288,51
6892,127
1081,51
3193,117
3191,179
12444,52
7948,170
1345,61
11911,193
8216,51
3988,51
4248,184
817,51
6895,51
9009,51
7952,51
3724,51
5570,176
7688,51
3460,51
12443,110
11916,63
1346,51
5310,51
7684,184
1079,141
8217,51
1082,51
3458,126
3986,141
3989,51
6103,51
8213,176
3620,11498
3725,51
7689,51
8215,127
7686,141
3461,51
5575,51
290,51
4254,51
6364,176
3197,51
1083,51
6630,127
8218,51
8216,117
6104,51
3990,51
3722,170
6897,51
7954,51
1079,184
9011,51
5840,51
3726,51
5307,191
6100,184
6896,90
12448,12
555,51
5574,110
553,117
3462,51
1348,51
12447,51
3195,141
3197,78
6101,170
5312,51
1084,51
6105,51
8219,51
3991,51
6365,184
11919,51
820,51
5841,51
1080,184
3727,51
5577,51
7691,51
1349,51
292,51
3196,141
3199,51
1085,51
6102,176
819,110
3992,51
3195,184
821,51
6899,51
11917,141
3728,51
5578,51
3198,108
1350,51
4257,51
3200,51
4255,117
12449,51
1086,51
7953,170
3993,51
1084,117
8271,6700
6107,51
7694,12
7957,51
822,51
3729,51
6900,51
5843,51
558,51
7690,141
3465,51
1351,51
4258,51
3201,51
5315,51
13662,11631
3464,92
4254,179
1087,51
6687,6676
5311,184
9015,51
6108,51
3464,97
823,51
7958,50
11923,12
6898,141
3730,51
559,51
11922,51
4046,6647
3466,51
7690,184
8224,12
5313,141
4255,177
5316,51
3202,51
1088,51
6109,51
8223,51
3995,51
824,51
7955,176
4257,127
3731,51
3464,135
11923,51
5581,51
824,60
7695,51
294,110
1353,51
296,51
5317,51
4260,51
1089,51
3463,184
7956,170
8220,176
8224,51
825,51
7959,78
12452,62
6903,51
8222,125
8749,179
5582,51
7692,176
7696,51
1352,110
1354,51
4261,51
8225,51
8222,141
3997,51
8221,176
5584,9
7961,51
11925,51
5845,108
3733,51
5847,51
6904,51
5580,141
562,51
11975,6700
297,75
3469,51
1355,51
1089,108
3205,51
7693,184
8226,51
825,108
3732,108
6905,51
827,51
5845,141
3994,184
5848,51
3734,51
3468,108
7698,51
1353,140
3470,51
6901,184
1356,51
11924,127
299,51
3203,141
5320,51
5580,184
4263,51
3206,51
1092,51
6113,51
5318,117
8227,51
12455,61
3736,9
3999,51
7960,141
828,51
5849,51
6906,51
7963,51
3996,149
564,51
6902,184
5585,51
11926,92
3472,17
4265,9
3208,12
13662,11819
560,184
3204,141
1090,141
1091,110
6111,141
4264,51
1093,51
3467,184
12452,184
6114,51
8228,51
826,141
829,51
4262,127
5850,51
7964,54
6907,51
565,51
7960,184
7700,51
3472,51
1358,51
301,51
8229,51
3208,51
6111,176
7961,170
4001,51
6115,51
830,51
3999,117
3737,51
6908,51
7701,51
5584,141
11930,17
3204,191
3473,51
7697,176
1359,51
4266,51
1357,117
3209,51
1095,51
7699,126
8228,117
6116,51
6909,51
7962,176
831,51
7966,51
3738,51
567,51
5588,51
6908,92
303,51
3207,141
3210,51
3474,61
8231,51
4003,51
832,51
5853,51
9021,141
6910,51
7967,51
3736,141
3739,51
6646,51
7703,51
3475,51
8756,179
5325,51
3211,51
4268,51
303,90
8232,51
4004,51
3207,184
8230,117
5854,51
9021,184
3740,51
3474,108
569,51
11932,51
3736,184
11930,126
7966,127
1362,51
8233,51
3212,51
1098,51
4005,51
6119,51
7969,51
3741,51
7965,176
6912,51
5588,141
570,51
11929,176
3477,51
5591,51
6648,51
1363,51
306,51
566,184
1361,117
3213,51
5327,51
1099,51
6120,51
4006,51
6913,51
7970,51
9027,51
5856,51
5852,176
7702,176
3478,51
3742,61
4267,170
7704,126
3740,127
305,117
8394,11498
4271,51
3214,51
1360,184
6121,51
6651,9
4007,51
1098,117
3476,127
6117,176
1096,184
5857,51
6914,51
6118,154
572,51
7707,51
6910,186
1365,51
308,51
3795,6644
3215,51
6122,51
8236,51
4008,51
837,51
1097,184
6915,51
833,179
11933,141
3744,51
7705,141
5594,51
6911,184
7968,184
7708,51
3216,51
8234,141
4009,51
6123,51
7973,51
3745,51
6916,51
8236,97
574,51
11933,184
1367,51
310,51
4274,51
11939,9
1100,141
3217,51
7705,184
5331,51
8238,51
3479,127
6124,51
4010,51
6917,51
839,51
5860,51
3746,51
7710,51
575,51
11934,176
835,184
3482,51
4272,141
7706,184
571,184
5594,117
1100,170
3218,51
4275,51
8235,176
1368,61
307,184
4011,51
7972,141
840,51
6918,51
11935,179
3747,51
6651,141
7971,184
3481,108
7711,51
1369,51
312,51
1102,141
3219,51
4276,51
6126,51
11938,97
8240,51
4012,51
4272,184
5862,51
5858,176
6919,51
7976,51
3748,51
11936,176
5861,90
7972,184
8765,184
7977,34
1370,51
4277,51
577,61
1104,110
8241,51
3220,51
11942,12
1106,51
1366,184
838,170
1102,184
838,177
7709,170
3749,51
8237,184
5863,51
7713,51
578,51
5861,117
5859,184
11937,176
8770,51
3485,51
314,51
3221,51
8766,184
3484,92
6126,109
7715,9
6128,51
4014,51
7974,176
7978,51
1103,184
11939,141
579,51
3483,141
3486,51
1372,51
1109,12
5336,51
3222,51
4279,51
1108,51
8239,176
6129,51
8243,51
4015,51
9037,12
6125,176
5332,184
844,51
7975,176
3487,51
4278,108
5599,117
1373,51
316,51
576,184
4280,51
1109,51
8244,51
4016,51
5333,184
5338,29
845,51
8242,117
5866,51
11944,51
6923,51
7980,51
581,51
7712,176
7716,51
3488,51
1374,51
4281,51
1372,117
7714,127
3224,51
1110,51
4017,51
7981,51
6127,184
3753,51
6924,51
842,184
6920,179
314,170
6660,51
1375,51
318,51
4282,51
3225,51
5339,51
8246,51
1111,51
5338,90
4018,51
6925,51
6922,141
3754,51
7718,51
583,51
581,117
5604,51
6921,184
3490,51
1376,51
3223,141
5340,51
3226,51
1112,51
6133,51
7982,75
5600,191
848,51
3752,141
3755,51
584,51
6922,184
7979,184
7719,51
320,51
3227,51
1113,51
8248,51
4020,51
4283,90
849,51
5870,51
11949,12
7984,51
3756,51
4019,92
11948,51
7720,51
3492,51
7983,95
321,51
4285,51
8249,51
4284,90
4021,51
8245,176
6135,51
850,51
3757,51
583,141
6928,51
8247,127
586,51
3489,170
3493,51
5607,51
11947,127
1379,51
4286,51
3229,51
5343,51
3489,184
8250,51
1115,51
1375,184
6136,51
321,95
4022,51
6929,51
7986,51
5606,108
5872,51
3758,51
7722,51
587,51
6662,141
1377,141
4288,12
3494,51
1380,51
323,51
3230,51
7721,92
4287,51
1116,51
8251,51
4023,51
852,51
3759,51
13534,127
585,141
588,51
1114,131
7723,51
5606,141
3495,51
8780,51
1381,51
3231,51
1117,51
6138,51
6929,105
4024,51
5871,141
325,34
853,51
6931,51
3760,51
589,51
3496,51
325,51
5346,51
4289,51
5342,176
4184,11498
6663,184
8779,127
1378,184
4025,51
7989,51
854,51
6663,194
3761,51
7725,51
590,51
13534,189
5609,108
6930,117
5871,184
3497,51
7725,52
5611,51
7985,184
1383,51
4290,51
3233,51
1119,51
8254,51
7988,110
6141,23
4026,51
6933,51
7727,12
7990,51
3762,51
5349,9
5609,141
3498,51
1384,51
327,51
5348,51
3234,51
6141,51
4027,51
11951,170
856,51
5877,51
3763,51
592,51
6670,51
7987,184
5610,141
1382,141
1385,51
328,51
3232,141
3235,51
4292,51
1121,51
6142,51
8256,51
4028,51
594,12
5874,176
6935,51
8252,184
3764,51
593,51
11952,176
5614,51
7724,176
7728,51
1386,51
5610,184
4293,51
8253,170
3236,51
1122,51
1382,184
7993,51
3232,184
11954,141
858,51
11957,51
1118,184
5875,176
6139,184
6936,51
7729,51
594,51
8255,126
3501,51
11955,117
1387,51
330,51
3237,51
5351,51
8258,51
6144,51
6140,176
4030,51
859,51
11958,51
857,117
7730,51
5616,51
7726,184
11956,127
5349,141
7996,9
3238,51
1124,51
6145,51
11955,166
8259,51
4031,51
860,51
11959,51
1120,184
7995,51
11955,176
3767,51
8257,126
7991,184
7731,51
3500,141
3503,51
4296,51
11957,127
1125,51
3499,184
6146,51
7729,128
8260,51
6670,194
861,51
6939,51
7992,176
4294,126
8789,51
597,51
6935,184
1390,51
333,51
5354,51
4297,51
3240,51
1126,51
3504,61
5350,184
8311,6700
4033,51
6147,51
5880,141
7997,51
862,51
6937,141
7994,141
6940,51
5883,51
7733,51
3765,176
11961,51
1388,141
596,117
5619,51
1391,51
4298,51
3238,141
3241,51
8262,51
1127,51
6148,51
4034,51
6941,51
7998,51
863,51
3766,176
6677,51
8787,184
6937,184
5880,184
1392,51
335,51
3239,141
5356,51
4299,51
3242,51
1128,51
11960,127
6149,51
8263,51
4032,141
4035,51
4295,184
7996,141
864,51
5885,51
3771,51
598,117
5881,184
1393,51
9052,190
3243,51
4300,51
8261,141
1129,51
6150,51
332,184
8264,51
9053,176
4036,51
3768,170
865,51
1395,9
13549,75
601,51
5622,51
11964,51
7732,176
7736,51
3508,51
1394,51
11962,127
5358,51
3506,117
4301,51
8002,12
8265,51
3244,51
4035,109
1130,51
3241,149
6942,108
4037,51
6151,51
603,9
8001,51
6941,141
866,51
3769,170
3773,51
6944,51
7737,51
3509,51
338,51
4302,51
3245,51
5359,51
8266,51
6152,51
4038,51
6945,51
8792,141
3243,126
3774,51
13548,167
3770,179
337,110
3510,51
1396,51
7734,184
5360,51
8265,109
3246,51
4303,51
1132,51
8267,51
13548,184
4039,51
8000,141
868,51
13550,132
7999,176
6946,51
5889,51
8003,51
11963,176
11965,108
7735,176
3511,51
5623,117
340,51
600,184
3826,6676
3247,51
8792,184
8265,141
4304,51
1133,51
6154,51
4037,141
9061,51
8004,51
11967,78
3776,51
605,51
8000,184
7740,51
3512,51
5362,51
4305,51
11964,193
1131,141
8269,51
7742,12
11970,12
870,51
6153,117
8798,51
3777,51
5891,51
6948,51
7741,51
4037,184
11969,51
3513,51
13554,78
1399,51
342,51
8057,6644
4306,51
12231,141
4040,108
8270,51
1395,184
6156,51
8002,170
871,51
7739,141
5892,51
3778,51
607,51
1397,141
1398,110
5628,51
7738,184
343,51
6735,6700
13552,167
5626,118
6155,108
5364,51
5624,184
4307,51
1136,51
8271,51
3780,12
872,51
5893,51
6950,51
13552,184
608,51
5627,110
7743,51
12231,184
3515,51
5889,184
7739,184
3248,141
3251,51
4308,51
1137,51
6158,51
8268,176
870,141
5361,184
873,51
5894,51
8008,51
8322,6700
606,141
609,51
5626,170
11968,176
11972,51
7744,51
1400,110
3516,51
5366,51
4309,51
1135,141
8273,51
3252,51
1138,51
4043,108
4042,141
6159,51
3248,184
8009,51
874,51
3781,51
5895,51
8005,176
7745,51
610,51
7743,117
3517,51
5631,51
346,51
8061,6644
4310,51
1401,117
3253,51
5367,51
1139,51
8274,51
6160,51
8006,176
6953,51
8010,51
875,51
3779,141
6951,110
11974,51
5896,51
7746,51
344,141
5632,51
3518,51
1404,51
8276,11
4048,12
3254,50
8272,141
3254,51
1140,51
6952,110
4047,51
11975,51
876,51
6954,51
5897,51
8011,51
11971,176
9064,176
4043,184
612,51
4045,127
7747,51
3519,51
3779,184
1405,51
348,51
8007,190
3255,51
4049,12
11973,127
4312,51
1141,51
6162,51
4045,141
4044,176
5898,51
3784,51
3464,9974
613,51
5634,51
7748,51
3520,51
1406,51
1402,176
5370,51
4313,51
8277,51
3256,51
1142,51
8013,51
6163,54
878,51
12237,184
3785,51
6956,51
5899,51
12237,181
7749,51
4045,184
614,51
5895,184
3521,51
1407,51
4311,141
350,51
4314,51
3257,51
12239,141
8173,11498
8278,51
1143,51
1403,184
8012,110
11975,141
3787,12
4050,51
6957,51
8279,27
4046,184
5900,51
3786,51
3520,108
5369,132
5636,51
3522,51
611,184
8275,170
4315,51
3258,51
7750,61
1144,51
6165,51
3788,12
4311,184
4051,51
880,51
6958,51
5901,51
8015,51
7751,51
12239,184
3523,51
4002,1585
5633,176
1409,51
352,51
9070,127
6163,141
4316,51
1145,51
7747,193
8280,51
881,51
5902,51
6959,51
8016,51
11976,176
1410,51
4317,51
8281,51
7750,127
3260,51
1146,51
3310,6700
4053,51
6167,51
7754,12
8017,51
6163,184
3789,51
6960,51
618,51
11977,176
3525,51
5639,51
9070,184
1411,51
354,51
3259,108
5371,176
4318,51
5375,51
6168,51
4054,51
8014,176
6961,51
8018,51
883,51
6698,9
3790,51
7754,51
615,176
1409,141
3526,51
1412,51
617,125
4319,51
3262,51
1148,51
1408,184
8279,176
4055,51
3261,92
6962,51
3787,170
5902,141
8019,51
3791,51
7752,141
620,51
5641,51
7751,176
5638,141
7755,51
3261,105
3527,51
1413,51
356,51
5377,51
1145,170
3263,51
4320,51
6170,51
6696,127
8284,51
6169,86
4056,51
6963,51
8020,51
4052,184
5642,51
3528,51
1414,51
5378,51
4321,51
5638,184
1412,117
8285,51
3264,51
1150,51
8282,141
4057,51
884,110
5430,6647
619,141
6964,51
622,51
7753,179
8337,6655
1415,51
358,51
8283,141
4322,51
3265,51
5379,51
4058,51
8282,184
6965,51
12250,51
3794,51
6168,184
623,51
6171,95
3530,51
619,184
8288,12
4323,51
3266,51
1152,51
8283,176
8287,51
6699,127
885,141
5376,184
8021,108
888,51
6966,51
5909,51
8023,51
7756,141
624,51
5645,51
3531,51
5381,51
4324,51
1153,51
6174,51
4060,51
7761,9
889,51
5910,51
8024,51
3796,51
625,51
5646,51
3532,51
4325,51
3530,117
7756,184
1151,141
8289,51
1154,51
4061,51
887,141
8025,51
4059,117
12251,117
3797,51
6968,51
626,51
7758,141
5907,184
3530,141
3533,51
7757,176
1419,51
362,51
4326,51
3269,51
8286,176
8290,51
8023,141
1415,186
1151,179
6176,51
8022,176
6969,51
1151,184
7759,141
6172,184
887,184
5648,51
3534,51
1420,51
363,51
3267,141
4327,51
3270,51
1156,51
1416,184
4063,51
6175,117
6173,176
6970,51
3795,170
8027,51
3799,51
628,51
8023,184
5649,51
7763,51
1418,141
1158,9
7759,181
1421,51
364,51
3268,141
3271,51
6175,141
4328,51
1157,51
8288,171
360,184
8292,51
4064,51
4324,186
893,51
6971,51
3801,18
3800,51
4062,125
6967,184
4330,12
7760,176
7764,51
5648,117
3536,51
4329,51
8291,108
11941,9840
3272,51
1418,184
4062,141
9086,51
6179,51
5915,51
6972,51
3268,191
3537,51
5651,51
1423,51
3853,6644
3273,51
5383,184
4066,51
8026,176
6973,51
895,51
4064,117
631,51
891,184
12254,184
7762,179
629,117
1422,117
8032,9
5388,51
1160,51
8295,51
8028,141
4065,117
896,51
6974,51
5914,141
8031,51
3803,51
892,184
5650,141
3539,51
1425,51
628,184
5389,51
1158,141
3275,51
5649,184
6182,51
8030,110
897,51
5918,51
4283,1585
6975,51
3804,51
6711,51
1424,110
7768,51
7765,149
369,51
5390,51
5920,9
3276,51
1162,51
12261,51
365,184
4069,51
5605,1585
8293,176
898,51
5919,51
634,51
7766,141
5655,51
1427,51
5391,51
1163,51
7767,127
6181,141
6180,176
4070,51
8294,184
6977,51
899,51
6183,90
3806,51
7770,51
635,51
8827,51
3542,51
7766,184
1428,51
371,51
1426,117
3538,184
3278,51
4067,170
8299,51
367,184
4071,51
8032,141
3274,184
900,51
6978,51
9092,51
6181,184
5917,176
6714,51
3543,51
8828,51
1429,51
5393,51
632,184
3279,51
4068,170
1165,51
1425,184
8296,176
12261,141
4072,51
8033,141
901,51
5922,51
1161,184
8036,51
3540,170
7769,141
3281,9
633,179
7772,51
3544,51
373,51
8126,13656
633,184
4074,9
8301,51
3280,51
1166,51
4073,51
8297,176
6187,51
902,51
12265,51
5919,170
12261,184
3809,51
5923,51
6980,51
6239,6644
638,51
3807,117
3545,51
8033,184
5659,51
1431,51
12261,191
374,51
3277,170
1164,141
5395,51
8298,176
8302,51
3541,184
8035,141
7769,194
7771,132
9095,51
6188,51
903,51
8034,179
5924,51
637,110
3810,51
6186,127
7774,51
5923,90
5656,176
3546,51
8034,195
1429,149
8303,51
904,51
7826,6655
6982,51
3808,141
3811,51
6185,184
8035,179
7773,108
640,51
5657,176
8036,161
5397,51
8305,12
3283,51
905,51
5926,51
6983,51
9097,51
8300,190
3812,51
641,51
5662,51
8039,92
6719,51
3808,184
3548,51
1434,51
1167,141
3284,51
1170,51
1430,184
4074,141
4077,51
6191,51
906,51
8037,179
9098,51
3813,51
639,141
6984,51
7777,51
376,110
