source_1,source_2
9287,12823
11269,12823
9221,12823
9948,12823
10873,12823
9684,12823
11732,12823
10609,12823
11666,12823
10741,12823
10411,12823
9354,12823
10543,12823
8495,12823
11600,12823
11534,12823
10147,12823
11138,12823
10279,12823
10940,12823
9817,12823
9949,12823
11667,12823
9751,12823
10742,12823
11403,12823
10412,12823
11469,12823
10148,12823
11073,12823
9223,12823
10809,12823
11007,12823
11668,12823
10743,12823
9752,12823
11800,12823
10347,12823
11404,12823
10281,12823
11536,12823
11470,12823
11140,12823
11272,12823
10149,12823
9819,12823
9951,12823
11008,12823
9885,12823
11603,12823
10744,12823
9687,12823
10348,12823
11273,12823
9225,12823
9423,12823
10480,12823
10414,12823
10084,12823
10216,12823
10150,12823
10745,12823
9886,12823
10547,12823
9490,12823
9688,12823
10613,12823
9292,12823
9226,12823
11274,12823
9424,12823
10349,12823
11406,12823
10019,12823
10151,12823
9755,12823
9689,12823
10944,12823
9887,12823
9425,12823
11671,12823
10680,12823
10614,12823
9161,12823
9293,12823
10945,12823
9954,12823
9756,12823
10681,12823
9888,12823
9822,12823
10813,12823
9492,12823
9426,12823
9624,12823
11606,12823
9162,12823
11210,12823
10351,12823
9294,12823
11342,12823
9691,12823
10682,12823
9625,12823
11805,12823
10814,12823
9757,12823
10484,12823
9493,12823
10550,12823
10154,12823
10352,12823
9295,12823
10088,12823
11079,12823
10022,12823
9692,12823
11740,12823
9626,12823
10617,12823
9758,12823
10419,12823
11476,12823
9362,12823
11410,12823
11608,12823
10485,12823
10155,12823
11212,12823
9230,12823
10948,12823
10882,12823
11080,12823
10618,12823
10816,12823
11741,12823
9363,12823
11345,12823
10354,12823
11543,12823
10552,12823
10156,12823
11081,12823
10288,12823
9231,12823
9165,12823
10222,12823
10817,12823
9826,12823
10949,12823
9958,12823
9628,12823
11676,12823
9562,12823
10553,12823
11610,12823
11808,12823
11742,12823
10289,12823
11346,12823
6187,13009
11478,12823
10091,12823
9232,12823
10223,12823
8103,13009
9827,12823
10818,12823
10950,12823
9563,12823
10620,12823
9497,12823
9695,12823
11347,12823
6320,13009
10290,12823
11479,12823
10488,12823
9431,12823
11413,12823
10422,12823
9365,12823
10092,12823
10026,12823
11215,12823
9167,12823
10224,12823
9828,12823
9762,12823
10951,12823
9564,12823
10489,12823
11744,12823
11348,12823
10423,12823
9168,12823
11150,12823
10093,12823
9763,12823
11745,12823
10754,12823
9697,12823
9895,12823
11481,12823
9433,12823
11613,12823
11283,12823
10292,12823
11217,12823
10226,12823
11415,12823
10424,12823
9367,12823
11349,12823
9301,12823
11746,12823
10887,12823
9830,12823
9500,12823
11548,12823
10425,12823
10623,12823
10557,12823
9566,12823
11614,12823
8509,12823
9236,12823
10227,12823
9170,12823
9302,12823
9963,12823
11020,12823
10954,12823
11086,12823
10756,12823
11681,12823
11813,12823
10822,12823
9369,12823
11615,12823
10624,12823
9171,12823
11153,12823
10162,12823
11285,12823
10294,12823
9964,12823
10955,12823
10691,12823
9700,12823
10625,12823
9766,12823
9436,12823
10361,12823
9502,12823
11550,12823
10163,12823
11220,12823
10097,12823
11352,12823
9238,12823
10229,12823
10031,12823
11683,12823
11815,12823
10824,12823
9767,12823
10758,12823
9371,12823
11353,12823
10362,12823
11485,12823
9437,12823
1041,13009
10098,12823
9239,12823
9834,12823
10825,12823
10032,12823
9966,12823
8513,12823
9702,12823
10693,12823
11750,12823
11420,12823
11552,12823
10429,12823
11486,12823
10099,12823
10033,12823
9240,12823
11288,12823
9835,12823
10892,12823
11817,12823
11024,12823
9901,12823
11619,12823
11553,12823
9505,12823
10760,12823
9637,12823
9307,12823
9241,12823
11223,12823
10232,12823
11157,12823
10827,12823
10761,12823
10959,12823
7716,13009
10893,12823
9902,12823
9506,12823
10629,12823
9308,12823
10233,12823
10365,12823
7915,13009
11224,12823
10101,12823
11158,12823
9771,12823
10564,12823
11489,12823
10696,12823
11621,12823
10630,12823
9243,12823
11225,12823
9309,12823
11027,12823
10168,12823
11093,12823
8521,12683
9706,12823
10499,12823
10433,12823
11490,12823
11688,12823
9574,12823
10235,12823
9244,12823
11292,12823
10169,12823
10367,12823
9376,12823
10301,12823
10962,12823
9905,12823
10764,12823
11689,12823
10698,12823
9641,12823
9839,12823
9443,12823
10500,12823
11425,12823
10434,12823
9377,12823
11623,12823
10632,12823
11557,12823
11227,12823
9245,12823
10963,12823
8523,12683
9642,12823
10765,12823
9444,12823
10369,12823
6267,13009
11558,12823
9180,12823
11162,12823
9312,12823
11360,12823
10237,12823
9246,12823
9907,12823
9973,12823
9577,12823
10832,12823
10766,12823
10370,12823
11559,12823
11493,12823
10502,12823
11163,12823
10106,12823
9181,12823
10899,12823
9644,12823
11692,12823
10767,12823
11758,12823
10371,12823
9380,12823
9314,12823
11362,12823
10503,12823
10437,12823
10239,12823
11296,12823
10173,12823
11230,12823
9843,12823
9777,12823
11032,12823
10966,12823
10570,12823
11759,12823
10768,12823
10702,12823
9645,12823
11363,12823
11297,12823
10504,12823
10438,12823
10108,12823
10240,12823
9183,12823
10967,12823
9976,12823
10571,12823
9580,12823
11562,12823
11760,12823
11364,12823
10241,12823
11298,12823
9448,12823
11496,12823
10373,12823
9382,12823
11430,12823
9977,12823
9184,12823
11166,12823
9779,12823
10836,12823
9713,12823
10968,12823
9911,12823
10506,12823
11695,12823
10704,12823
11299,12823
11233,12823
10242,12823
9185,12823
11431,12823
10440,12823
9383,12823
10044,12823
10969,12823
11167,12823
9780,12823
10705,12823
9714,12823
10903,12823
10837,12823
10639,12823
11696,12823
9582,12823
8525,12823
11630,12823
9252,12823
11300,12823
9186,12823
9384,12823
11432,12823
10309,12823
11366,12823
11036,12823
10111,12823
11102,12823
11697,12823
10838,12823
9451,12823
10640,12823
8526,12823
11565,12823
10574,12823
11235,12823
11169,12823
10178,12823
10971,12823
10905,12823
11103,12823
11037,12823
10707,12823
9716,12823
11764,12823
10641,12823
9650,12823
11698,12823
10839,12823
10773,12823
10377,12823
11566,12823
10245,12823
11302,12823
9915,12823
11699,12823
10642,12823
9783,12823
11765,12823
9387,12823
11567,12823
9519,12823
11105,12823
10907,12823
9850,12823
10048,12823
11634,12823
9718,12823
10709,12823
11766,12823
11436,12823
10313,12823
9322,12823
10049,12823
11304,12823
10181,12823
11238,12823
9587,12823
11569,12823
10776,12823
9719,12823
11701,12823
9323,12823
11503,12823
9455,12823
9389,12823
10050,12823
11239,12823
9191,12823
10248,12823
9125,12823
10843,12823
9786,12823
10777,12823
9984,12823
9588,12823
8531,12823
1456,13009
9720,12823
10315,12823
11306,12823
10051,12823
9192,12823
10183,12823
9126,12823
9919,12823
10976,12823
9853,12823
9457,12823
10712,12823
11637,12823
10646,12823
10316,12823
11241,12823
9193,12823
10448,12823
9325,12823
10052,12823
9986,12823
9127,12823
10184,12823
9722,12823
11770,12823
9920,12823
9854,12823
11506,12823
11704,12823
10581,12823
9590,12823
8533,12823
11242,12823
11440,12823
9326,12823
11044,12823
9987,12823
10978,12823
9921,12823
9128,12823
10119,12823
11176,12823
10053,12823
11771,12823
9723,12823
9657,12823
10516,12823
9591,12823
10648,12823
10582,12823
9129,12823
11375,12823
9261,12823
10318,12823
10979,12823
10120,12823
9724,12823
10715,12823
11772,12823
11706,12823
10781,12823
11508,12823
10583,12823
9196,12823
11244,12823
10319,12823
9328,12823
11310,12823
11046,12823
9659,12823
10650,12823
11773,12823
10782,12823
9725,12823
11377,12823
3311,13009
11575,12823
11509,12823
9461,12823
10188,12823
10122,12823
10320,12823
11245,12823
10254,12823
9858,12823
10056,12823
10651,12823
9660,12823
9594,12823
11642,12823
9396,12823
11444,12823
10321,12823
10519,12823
9528,12823
9462,12823
11510,12823
10123,12823
10057,12823
10189,12823
11246,12823
10916,12823
9793,12823
9991,12823
11643,12823
9595,12823
9529,12823
10586,12823
9727,12823
10784,12823
10520,12823
10124,12823
9199,12823
10256,12823
11181,12823
10190,12823
9860,12823
10983,12823
11578,12823
10653,12823
9266,12823
10455,12823
10389,12823
9398,12823
11446,12823
11116,12823
9993,12823
10191,12823
11182,12823
11777,12823
9729,12823
10984,12823
9861,12823
10588,12823
9465,12823
11645,12823
