program_1,program_2
13729,12598
6915,595
12470,427
7716,12627
5470,12627
3158,329
12470,421
3870,788
12470,424
1240,399
12470,433
14587,12631
12470,429
14587,12627
6116,800
12470,431
12470,441
3096,217
14587,351
12470,437
4020,250
12470,445
3677,651
14622,1317
3158,355
3818,377
6898,1159
3741,723
12470,455
13697,1340
12470,464
12898,1529
3613,602
14588,12627
12470,474
4018,12627
14323,375
3295,224
14587,381
12470,471
12470,482
3226,324
1930,1588
14587,2439
14587,389
12470,480
12470,6621
1442,336
7060,262
12470,489
3295,242
12470,498
3450,1588
3348,654
3226,341
12470,496
1311,12604
12470,506
3730,1105
3361,258
4252,1314
12470,504
12470,513
518,334
3227,324
1637,464
3295,269
12320,1076
3295,271
12470,524
1442,375
3603,968
7787,293
3295,281
3451,1588
12470,531
4013,552
1345,1344
12470,538
1311,351
12211,6518
3139,1033
12470,536
3555,424
12470,2583
12344,355
579,524
12470,547
3856,1340
7787,12598
12470,543
7720,12627
3226,395
3278,836
908,580
12470,561
3295,313
3406,968
3348,2765
12470,557
2024,804
3744,736
3278,847
3492,357
3562,238
8225,1094
3295,322
7787,12623
3625,334
3140,1033
12470,580
5870,6518
3203,1134
3225,455
6335,298
12344,395
12709,1371
6264,461
3931,1107
14588,474
12470,595
6264,467
12730,721
8290,1149
12470,602
3492,387
3232,258
12470,604
3295,353
3871,933
3929,1182
3491,424
6321,761
3224,513
914,445
13133,544
1507,501
586,383
12909,1340
12215,12627
3295,6518
12470,627
918,12627
2550,949
3889,6547
12709,1417
6864,12627
3225,513
3818,563
12470,643
12376,1504
1173,645
12470,651
3295,6544
6864,351
3889,421
6856,604
3555,536
3758,387
3096,431
6798,359
13539,287
3295,408
12470,654
518,482
590,298
3164,379
12470,661
12470,2723
3295,427
13193,798
6851,786
1428,968
3295,439
3758,421
13208,339
3165,379
3295,445
3435,201
985,375
4192,1314
12470,697
12470,700
1798,1799
12942,401
13539,324
1318,298
3435,211
3563,341
1637,654
12059,1155
3435,215
3696,317
13141,381
3435,221
3491,536
12470,711
12470,722
3225,595
3625,482
12470,723
12709,1503
12470,720
3227,538
4152,538
3295,480
4027,319
13329,722
12470,725
13112,1317
3295,486
6933,349
12470,736
261,12627
3435,250
12470,748
3295,496
3100,6544
3364,410
6009,12627
3435,258
3295,504
3295,506
3169,319
3249,3983
5870,554
1160,1159
7720,554
3940,1000
3435,271
6883,1927
3807,1033
12470,772
12176,13982
3299,6544
3533,1340
7060,547
3435,287
3435,291
12998,804
14588,666
12470,788
14587,690
8059,12597
3170,319
1930,1896
12470,794
969,968
3570,209
3930,1340
12817,277
14587,700
3636,215
3299,427
12470,804
3435,309
12470,800
899,1105
12470,806
3569,265
858,12627
3295,568
3171,319
3224,723
3435,326
1034,1033
3435,334
3435,339
12470,836
3435,12631
3763,419
3741,1101
12470,841
6147,242
3435,349
12470,843
12333,989
3435,351
3767,298
991,12627
12470,2888
4165,250
14587,761
3225,723
12470,851
3172,319
1447,547
3096,630
3435,361
4099,258
7799,246
854,506
3435,366
6215,205
702,1123
6872,12604
3570,281
6865,538
3501,379
1434,968
3488,784
3435,379
6145,12627
8306,930
1311,690
6867,489
1294,1217
3295,627
6809,238
3096,651
12470,869
13539,498
1446,604
12470,882
3156,843
4010,1000
12470,890
6348,205
3877,1033
3295,643
3963,417
3110,238
6866,538
596,351
6873,326
3435,415
3295,661
3639,238
13018,309
12333,1063
3435,424
3569,377
12470,930
3435,439
3435,441
12470,933
14339,341
8460,317
1637,890
3102,531
7865,12627
1287,1504
7006,341
3177,258
8076,1992
398,397
3113,203
12470,963
3699,482
3435,474
3103,531
3169,2583
12470,968
3295,725
13316,1364
3435,482
3112,258
1061,351
1156,1503
3501,489
5678,591
1528,217
14013,267
6933,604
3572,349
7006,395
6215,12627
13539,630
1441,882
4154,748
12326,1371
3156,968
12470,1000
3435,513
3170,2583
3377,265
2550,1325
12470,1012
3113,258
6945,248
3164,725
12818,457
1378,800
3435,522
3174,424
3435,525
3574,12604
3563,656
3295,772
1505,968
6348,12627
3377,285
391,690
6870,547
3835,424
12470,1033
3295,782
3709,238
1356,1504
12470,1031
7923,685
977,968
998,319
3249,2227
8051,818
3165,736
14806,12598
3570,471
3435,563
3110,399
1326,410
3570,480
4170,12604
6264,939
3249,199
735,12597
3707,339
12470,1073
3435,582
3707,345
14323,970
1106,1105
7939,228
3227,890
6878,349
5870,882
14807,12598
3435,595
3656,3983
3295,2888
5358,377
735,12622
3570,513
1528,12618
3169,661
1528,331
3249,230
3295,855
1442,954
3708,339
12470,1105
1507,989
12470,1107
1528,339
3570,525
12470,1101
1528,12628
3708,345
3249,238
3113,361
3249,240
3249,244
12103,201
13356,267
3295,869
6281,467
4105,12627
12470,1123
4041,279
1528,359
4171,351
4096,627
3170,661
3295,882
1528,2416
3435,645
14013,408
4041,295
1108,1107
3249,273
3295,894
12470,1147
4170,397
3249,279
6154,12627
12470,1155
4041,12598
12103,238
12470,1149
12818,602
1387,666
1930,217
737,12627
8472,2227
1930,226
13153,6621
6352,366
3249,300
8059,695
3249,302
5362,12627
3450,217
3515,250
1930,234
3295,930
4041,339
3714,238
12470,1182
3249,317
5362,351
12960,12618
6945,429
3435,697
1528,421
3707,459
13359,258
3116,349
1930,252
3447,331
3224,1101
1930,265
3249,12627
3501,725
12470,1217
3249,347
6156,12627
14013,498
3708,459
1528,457
1930,285
3435,736
1930,289
3515,309
3115,421
12368,12597
13356,401
6289,12627
1368,1344
3249,379
14587,1159
3435,758
3450,295
3435,765
1930,319
542,12627
3295,1012
3914,258
8472,275
1467,12627
3116,421
5563,12627
3843,419
856,855
13359,339
3249,405
1445,1033
3103,834
6882,421
3450,319
3450,322
985,970
7939,441
8051,1063
472,496
4111,12617
3840,538
676,319
1930,359
5697,12605
13292,401
940,12622
8472,311
3847,334
3636,736
14339,2765
4165,723
12898,12618
13329,1317
6885,379
13217,690
12898,12628
5631,12627
6883,445
3450,370
3174,736
3249,459
1930,387
6878,604
1434,1433
3571,725
12103,429
12470,1340
3914,331
1528,573
3249,471
4034,711
3835,736
1326,695
12470,1347
1930,6547
12470,1344
3115,536
3715,6518
1930,417
1270,399
3249,491
1930,421
1528,602
3295,1123
3435,879
1930,431
4114,12604
12162,688
810,12627
6873,800
1930,437
940,410
3570,806
14339,786
1528,2670
3677,1588
3843,538
12470,1389
1930,455
12817,886
280,410
3295,1155
3653,298
3714,455
3249,534
3295,1159
3249,536
675,461
3126,258
4111,443
6095,381
1528,648
8410,298
6953,408
1173,1417
4053,205
8472,433
12704,12599
12470,1433
1507,1317
6819,489
3582,482
14587,1340
6885,489
6296,12604
7939,582
12971,248
12176,12605
6954,408
3452,424
3656,246
12898,457
7882,12597
999,695
6810,779
4252,203
14339,855
3582,498
4252,209
3249,580
3435,963
6828,228
1474,12604
3847,482
3249,591
3435,968
6820,489
3249,599
3516,513
3156,1433
6281,818
3591,238
4054,221
13697,298
3453,424
14339,877
12709,207
8414,234
676,498
14013,754
4099,882
1505,1433
6829,228
12971,295
12394,1799
3249,621
280,501
3111,804
3435,1000
1342,349
4252,254
3501,1012
4252,262
14587,1417
4252,260
12470,1503
3103,1073
12709,248
735,754
4096,1012
3576,748
3126,361
4047,489
3435,1031
3461,224
12176,2439
13435,277
4252,279
352,351
3249,656
13208,1180
14339,933
3460,265
8414,289
3111,847
6104,226
12971,341
13435,293
12909,215
8059,1063
1188,1073
4252,295
4309,582
7882,410
3789,319
3249,2723
338,804
1930,604
4252,12598
6828,324
12898,573
13435,12598
12311,336
816,334
545,544
3791,271
4111,591
3784,489
3455,448
4252,12604
4252,322
13383,1927
3249,697
4252,324
4252,329
1930,630
14622,401
1213,334
4310,582
3656,377
13435,12623
3249,711
3789,359
4111,616
3719,482
3435,1094
338,847
12898,602
