state_province_region_1,state_province_region_2
11518,9251
10066,5112
11054,5203
13303,5112
13500,5150
10198,5112
6761,5164
11010,10670
3855,5150
9469,9299
13238,5095
10199,5095
6763,5119
10727,5112
10992,5095
4252,5150
12181,5112
9471,5150
10263,5175
488,5101
11122,5182
4337,10714
11255,5156
10398,5093
13503,5095
9804,5095
12909,5095
10795,5092
4122,5110
12182,5110
10531,5093
10133,5152
10663,5108
13106,5150
12048,5181
9210,5090
10925,5175
6764,5150
9784,9831
6697,5181
10462,5209
11192,5110
12976,5095
12710,5150
10194,9430
9300,10522
9936,5142
10530,5154
3131,5150
12183,5112
10334,5099
13239,5150
11984,5156
13107,5156
10331,5194
10647,9734
13109,5095
10995,5090
12184,5095
9738,5146
12975,5150
13175,5095
12184,5107
9340,5209
10267,5150
12974,5203
10202,5119
9144,5150
10794,5194
6701,5110
10028,10522
10260,9468
13108,5150
3793,5150
10518,9674
9939,5095
6766,5150
10890,191
10862,5150
10692,191
13241,5150
9279,5093
10054,9734
6768,5107
10684,10685
9871,5169
11011,10799
12044,9495
10600,5107
12913,5095
13045,5095
12911,5150
11458,9235
13111,5095
9608,5156
12715,5095
13838,5095
9346,5095
13508,5095
10535,5095
10468,5124
13374,5150
6703,5112
12978,5150
6769,5112
13376,5095
11376,9754
12913,5124
13176,5164
11260,5164
10110,10096
9941,5095
12187,5110
10601,5124
9280,5112
9214,5110
13177,5150
13443,5095
4126,5150
11790,9235
9874,5150
10665,5203
12649,5150
10206,5105
13706,5150
10998,9227
10008,5095
12781,5150
9810,5090
6771,5095
13443,5118
10535,5150
8421,5150
13378,5095
9282,5095
4129,5093
10534,5202
12013,8504
6772,5090
10669,5108
13375,5202
9544,5175
11394,5172
9877,5095
12782,5150
9347,5150
11467,11110
9478,5181
10469,5182
10930,9334
10139,5182
9349,5093
13445,5095
11199,5099
11236,10096
9878,5090
10734,5175
10274,5112
11992,5095
10272,5175
9680,5095
12653,5095
9348,5150
13380,5095
9678,5172
9875,5203
9612,5175
10735,5187
9151,9235
9549,5090
11266,5112
12852,5095
10671,5128
12190,5150
9811,5172
12192,5090
10720,9761
9482,5141
10606,5112
6775,5095
9416,5150
12719,5150
11067,5164
10805,5105
11753,8487
13314,5150
6773,5175
12984,5150
10211,5095
13051,5118
11793,5207
12851,5175
13116,5150
6707,5175
6709,5118
9681,5150
3340,5110
10409,5107
9220,5112
11687,8509
11466,5128
3141,5150
9353,5095
9683,5105
9313,184
11401,5090
10855,9734
13251,5093
11005,5095
13448,5150
13251,5113
10607,5150
9749,9235
12194,5119
6776,5142
9816,5105
10014,5112
10937,5181
9486,5107
10673,5169
6710,5150
10278,9235
9410,9514
12655,5175
9787,10117
10806,5164
2550,5095
6712,5095
9750,9235
13847,5107
10740,5164
10544,5095
9618,5131
13053,5150
11071,5150
13119,5150
6843,5150
9884,5095
6713,5095
10346,5107
12193,5194
10079,5203
10674,5189
10080,5172
12194,5175
11602,5090
10276,9334
4269,5095
13318,5156
9224,5093
11206,5086
7042,5150
12659,5112
10675,5175
13251,5192
9883,5150
11417,10841
11468,5175
12924,5095
9882,5187
11735,5095
10082,9235
9489,5090
13717,5093
13254,5119
10810,5108
10676,5175
13055,5150
10280,5170
12049,9734
13386,5150
12727,5095
9488,5154
12131,5150
13292,10117
6780,5150
10982,10060
12989,5181
6715,5124
9950,5194
10283,5112
6650,5095
12858,5156
11994,9422
6779,5194
13058,5107
11076,5107
10134,9734
11207,5150
10481,5150
10218,5105
11736,5154
10217,9235
10475,9439
12861,5107
11408,5090
12663,5095
10219,5095
6782,5152
12157,8509
12660,5203
12927,5119
12925,5194
9145,9734
11077,9235
11473,5150
9397,10117
6981,5150
13259,5095
10284,5167
3678,5150
10482,5175
12158,8509
13721,5112
11344,5086
3282,5150
12992,5192
13390,5150
11341,5182
11014,5090
12003,5150
9560,5118
11276,5164
12665,5112
12666,5095
6718,5164
12795,5187
12730,5154
9825,5108
6720,5105
10615,5203
11012,5194
10881,5158
6787,5095
10751,5095
10619,5105
9229,5181
4013,5095
11013,5187
13721,5202
11280,5095
11214,5095
10343,9578
11147,5136
6656,5095
6653,5192
9276,9894
6785,5202
12006,5145
12717,11774
13065,5095
10023,5187
11370,8487
9429,5164
1568,5150
9561,5182
6657,5095
10885,5093
10753,5088
9696,5090
9498,5095
12035,184
13327,5187
13197,5118
12008,5112
10157,5150
6788,5150
6722,5156
6724,5095
10884,5164
13322,9460
10752,5172
11149,5150
11017,5156
12007,5189
10580,10514
11151,5095
13133,5095
6789,5154
9565,5110
9698,5095
10820,5124
9234,9235
10130,10131
9962,5107
13263,5175
9499,5136
10161,5090
10225,5164
6791,5119
12802,5150
12015,11110
13002,5092
9829,5150
11216,5161
11416,5117
10342,9734
6790,5164
10490,5156
9501,5095
11675,9390
12960,10514
10293,5126
10739,9743
9699,5119
11680,5150
10491,5144
12870,5119
11021,5092
6659,5150
3951,9227
10889,5103
9832,5095
10964,10965
9567,9227
10559,5095
11284,5156
10095,5164
10486,9422
11482,5172
12036,8488
13136,5107
9701,5095
11749,5105
12011,5175
14524,5095
11287,5092
9764,5202
10228,5154
9303,5150
9898,5150
11670,11657
6728,5112
11087,5150
11155,5093
9833,5124
10492,5175
9900,5098
6727,5150
10030,5169
8473,184
11354,5093
12871,5181
11089,5126
11022,5150
13270,5095
6730,5095
13072,5095
9899,5156
10980,8509
12872,5164
9965,5164
9372,5118
12146,5150
3295,5095
10826,5112
14326,5150
9571,5112
11154,5192
13071,5150
9703,5112
12806,5187
4111,8488
12014,5164
10086,9636
6731,5095
9306,9235
9572,5095
10363,5150
11355,9213
9836,5101
10428,5181
12147,5150
10430,5131
13204,5150
14328,5119
12808,5150
6665,5113
9768,5187
10850,8509
13006,5164
10958,5164
11222,5172
10297,5175
10628,5150
9753,9754
12150,5090
10960,5112
9968,5143
9174,5182
11554,5131
12040,8508
10789,184
10961,5095
11662,9988
10364,5164
11091,5154
10100,5156
12149,5126
9903,9227
13272,5150
9704,5164
10631,5101
10366,5124
13404,5150
10036,5119
11026,5150
13140,5150
9332,8509
10330,10340
11358,5095
11028,5095
10695,5181
10034,5192
6732,5152
12878,5095
10694,9311
11141,9801
10234,5150
13339,5150
13207,5156
9690,9734
10038,5090
10565,9235
10763,5144
12017,5182
12943,5156
6733,5150
8451,5150
11095,5107
10359,11538
9179,5112
11356,5209
10831,5095
9640,5154
9838,5172
9576,5095
10501,5095
9970,5172
13276,5095
12153,5095
10828,5203
10567,9200
10037,5156
9507,5203
11096,5095
11691,5095
13274,5175
11491,5150
9177,5200
14532,5098
12152,5150
10722,8519
12151,5175
9773,5164
9379,5090
10368,5172
12021,9235
4291,5150
9512,5095
10104,5175
9310,9311
12155,5095
10039,5156
12879,5184
6737,9227
10107,5112
3435,5095
13037,8487
9447,5101
10238,5150
12002,9870
9908,5152
10900,5118
3698,5154
13345,5110
9646,5092
6673,5095
10901,5093
10898,5200
12751,5105
9952,9953
4029,5156
7070,5095
9513,9235
6738,5156
11232,5108
9449,5086
12884,5095
10505,5112
6740,5095
10902,5095
12156,5144
9711,5164
13449,10117
9381,5150
11228,9334
9930,10670
13081,5156
10397,8491
10174,5164
13147,5154
13544,5150
9647,5118
12685,5150
9912,5095
11564,5095
10771,5101
