films_executive_produced_1,films_executive_produced_2
4313,1704
6945,2038
6989,2721
3388,1718
3718,1729
12400,2934
12400,2929
3450,5954
3481,2944
3533,5428
6120,3061
12400,2936
4302,2082
11925,5392
3856,5674
7867,2167
5885,2169
3533,5453
3856,1587
3380,2015
3450,1898
4303,2082
4032,2293
705,3035
8204,1994
3564,2472
12375,1712
7651,2757
3717,1829
3918,1741
3856,1618
3528,1548
952,1531
3450,1921
5256,5334
4137,5211
5684,2307
3915,1855
3172,2362
4233,2237
3903,2233
3450,6035
5667,2852
5438,1759
3718,1829
3533,5518
12400,3026
7063,2592
1459,2236
3170,2448
7749,5911
3856,1668
3682,2966
4107,2085
3330,5691
3781,1952
3450,1973
5483,2445
1456,2353
3528,5706
3171,2436
12400,3056
6937,2431
3488,2853
3781,1964
5638,1742
5483,2451
7749,1843
4095,2478
3856,1698
3856,5795
3522,1820
6996,2671
3522,5921
1384,2569
6871,2460
6900,1560
3375,2302
6806,2444
4036,2295
3233,2615
6120,5275
3725,1698
5226,2280
3901,2394
7689,1707
4313,1918
3533,1520
3856,1754
3871,5385
6936,2528
4137,5329
3103,2570
3880,3062
1390,2431
3450,2079
3634,6617
3856,5884
4163,2513
3856,5886
1142,1956
3522,1908
3856,1796
7689,1759
8411,1900
4313,6066
3533,5674
3533,1587
4313,6082
4137,5394
3918,1942
6806,2528
7035,1570
1005,2135
3660,5851
7923,2722
3707,2351
4313,1996
7716,3003
3918,1959
3786,1962
3679,5280
3533,1618
4085,2942
6810,2440
12400,5274
5483,2618
4313,2025
3921,1890
7867,2449
3708,2351
3856,1862
3856,1868
488,1829
7651,3007
3707,345
3169,2686
3995,1658
3533,1646
3172,2600
1225,5615
3510,2368
3781,2158
5395,5374
4119,1924
3901,2543
3615,5266
4233,2492
3533,1668
1390,2566
3570,525
3708,345
5786,5562
7035,1671
7035,1676
6118,7579
3533,5795
3533,1698
7689,1884
7749,2079
3856,6031
3758,2927
3528,1865
5969,1979
3979,2228
3856,1950
3172,2674
3096,2981
7718,3066
3381,2347
3528,1886
592,2793
7988,2895
3786,2095
1414,1900
3380,2400
3533,1754
3380,2405
4320,6035
7689,1949
5944,2796
3856,1993
5256,5699
5226,2539
3717,2213
3380,2422
7019,2250
3193,2081
3564,2868
3522,2131
3533,5886
7749,2170
6023,2427
3533,1796
3856,2026
7035,1779
5933,5225
3718,2213
4137,1514
1288,5876
3711,2451
6109,1840
3758,3048
3255,2257
3522,2174
488,2022
7749,2215
6109,1853
3533,1843
4283,5219
6185,1562
7867,2673
3851,2238
826,1812
7749,2236
3533,1868
7743,2434
3219,5467
7035,1862
3856,2111
3596,1984
4313,2288
3856,2122
3733,1849
3979,2414
3786,2253
7749,2282
4162,2885
7035,1892
3918,2263
6344,2836
5366,2434
3903,2735
3402,1884
6916,5598
3913,2432
5973,2061
3604,5876
3533,6031
12400,5595
3918,2296
12400,5603
3533,1950
3171,2932
3742,1617
12322,1875
6871,2927
12375,2289
3172,2913
3742,1629
7629,1973
5457,5816
7035,1955
3856,2201
5483,2963
1384,3061
3172,2932
3733,1924
5944,3021
3742,1649
6814,2674
12400,1537
12375,2322
3533,1993
3856,2219
3856,2222
3172,2949
7035,1991
4324,2069
6810,779
5682,2986
4144,5608
3533,2026
3576,2748
6913,1700
12400,1596
4325,2069
4313,2444
4144,1558
7689,2259
1078,2398
3450,2595
3082,5816
12375,2401
3742,1741
12400,5728
7749,2458
6806,3019
3533,2084
6806,3021
3786,2435
3522,2436
12400,1653
3568,3057
4004,5928
12400,1650
12400,5745
3533,2111
8411,2449
6940,2994
3172,3063
11880,5495
5226,2884
3677,1751
3375,2920
3533,2122
3786,2474
6324,1619
4144,1620
4137,1838
3450,2658
3856,2360
4313,2528
3450,2659
3569,3069
1269,2694
6365,2412
12375,2472
3450,2674
3380,2795
3856,2375
7035,2132
3786,2502
4266,1960
