genre_1,genre_2
1818,12540
8284,8711
5345,1515
1819,12514
4060,8585
1819,12518
4060,8583
6162,8964
1819,12522
1819,12525
5341,1645
6172,8656
5345,1530
888,8627
1819,12535
1819,12534
2170,1655
8287,8642
8284,8736
2172,1598
2175,1509
8275,9024
4061,8581
2877,12518
763,12518
4059,8649
2877,12525
1820,12525
8287,8656
763,12529
2877,12537
5344,1598
2877,12538
2176,1509
4062,8584
4062,8581
4062,8585
2878,12525
1821,12529
4053,8875
2878,12532
4060,8656
5347,1530
4062,8603
2174,1598
2878,12545
4062,8615
4063,8585
2177,1515
2170,1732
4062,8623
2879,12533
4062,8631
2177,1530
4053,8912
4062,8633
2879,12541
4063,8603
2880,12514
1823,12514
2178,1509
4062,8642
2178,1511
6051,12518
4064,8585
2879,12553
763,12613
2878,12585
4062,8649
4064,8594
4064,8597
6051,12535
6051,12541
2179,1509
1824,12514
4064,8608
2179,1511
6052,12525
1823,12553
6051,12555
2178,1547
6052,12530
2881,12525
6052,12529
6052,12531
2881,12532
888,8783
2178,1566
2882,12514
1123,1509
2882,12518
2881,12550
2882,12525
2176,1645
8294,8599
765,12626
2178,1591
4061,8757
5352,1509
4270,2285
5347,1667
1826,12518
2181,1515
4064,8679
2882,12556
6171,8903
6056,12474
2162,2117
1826,12535
5353,1509
2182,1509
2884,12518
5352,1543
2177,1667
1827,12518
2884,12524
1827,12525
4064,8712
2884,12527
1827,12531
1827,12533
2178,1655
2180,1598
4272,2285
6056,12518
2183,1509
2885,12514
2883,12579
6172,8924
2885,12519
898,8583
4064,8739
898,8585
6056,12529
2179,1645
8285,8964
1828,12532
888,8907
5352,1598
2183,1530
6171,8974
2181,1598
2184,1509
2886,12518
2183,1543
5355,1515
2184,1515
2886,12524
2180,1643
1829,12526
2885,12560
898,8623
6056,12575
2185,1509
1830,12514
6185,8581
2185,1511
898,8640
4071,8584
898,8642
4071,8585
6185,8585
2185,1515
1829,12550
1830,12522
4071,8587
4070,8623
1830,12526
6185,8594
2887,12526
4070,8621
4290,1807
898,8654
4071,8594
6185,8603
4071,8603
2888,12514
3218,2285
2186,1509
6186,8582
8285,9047
6059,12518
1831,12519
6059,12524
4071,8615
2186,1515
898,8679
5357,1530
898,8686
6059,12535
1830,12563
4072,8606
6185,8638
4072,8603
5355,1598
2184,1598
6186,8605
2187,1509
6185,8640
2889,12514
1832,12518
6186,8619
4071,8649
1831,12550
4061,8962
1832,12524
772,12619
1832,12527
4071,8654
6186,8631
6185,8662
4070,8690
4064,8882
1832,12535
1832,12538
898,8727
6186,8638
2890,12511
4061,8983
2890,12518
8294,8830
4071,8679
4071,8688
4071,8686
2890,12535
8302,8609
2888,12600
6185,8701
1834,12512
6185,8710
4075,8585
2891,12518
2189,1515
8301,8656
1834,12525
4075,8594
1834,12532
1945,9091
2891,12535
2187,1591
2891,12537
1834,12542
1835,12513
8302,8640
2190,1509
2185,1667
2190,1511
1834,12550
8302,8646
6186,8710
2186,1645
2892,12529
4295,1807
2189,1561
8302,8662
1835,12536
5357,1667
2892,12543
1134,1509
1109,2285
8302,8683
4077,8581
2893,12518
779,12518
4077,8587
4062,9049
4077,8585
2190,1547
4077,8590
2893,12524
4077,8594
1134,1525
2893,12535
4077,8603
2191,1530
4075,8662
4077,8606
2190,1566
5363,1509
2189,1598
2192,1509
1837,12514
2894,12525
6065,12530
6065,12529
2188,1645
4297,1807
2894,12532
4076,8656
2192,1530
2895,12513
6186,8793
4077,8642
2193,1509
1838,12514
2193,1511
5363,1543
2192,1541
6066,12523
2192,1543
6193,8585
2895,12525
6066,12525
2189,1645
6193,8594
6066,12531
1838,12525
2895,12529
2895,12530
4072,8816
4294,1941
2896,12514
5365,1509
2895,12544
6066,12552
2194,1509
2896,12518
4075,8743
8294,9024
2896,12525
6193,8631
782,12531
5363,1598
8301,8823
4075,8764
4081,8580
1840,12518
2895,12580
2897,12518
2188,1732
6193,8649
