nominated_for_1,nominated_for_2
5244,2456
3141,2116
5243,2491
8424,2186
3133,2373
3119,2806
1082,424
3145,2009
5226,3035
1089,209
5256,2110
4206,1892
6194,5803
8426,2152
4210,1770
1081,480
4212,1723
3127,2599
1017,2475
4252,498
3117,2922
1088,289
2094,1873
8436,1877
4212,1751
5265,1877
922,5442
8448,1517
926,5321
8412,2627
5235,2820
3128,2599
3141,2200
5268,1809
4252,538
1052,1433
2056,3077
8445,1629
8442,1723
3145,2095
8443,1702
6377,209
1016,2561
6377,215
1085,431
8418,2493
8414,2613
3127,2681
1045,1688
1016,2588
4202,2128
1016,2596
8415,2599
5243,2640
6377,254
4191,2485
8443,1751
8428,2218
1086,441
8448,1593
3128,2681
8422,2418
5318,334
4213,1824
1035,2044
8413,2707
1093,250
6377,291
1082,595
4212,1868
3207,258
1005,2985
8418,2555
8413,2711
6203,5693
8428,2256
8416,2628
3141,2310
4068,6340
6377,300
5265,2011
8450,1583
5299,963
6377,319
6377,317
6203,5715
5232,3051
8438,1967
8415,2681
6377,329
4187,2683
3167,1538
2095,2009
5237,2909
3210,211
8412,2794
3141,2352
3151,2042
8433,2138
3186,968
4218,1748
6377,361
8422,2508
8448,1697
1017,2694
6377,372
6377,379
8445,1819
3134,2615
6203,5785
8441,1938
3141,2403
4203,2252
3210,271
4210,2038
3169,1542
4183,2880
5241,2850
5284,1520
4212,1990
1089,498
5315,563
4218,1802
4202,2305
8428,2378
3029,5905
4212,2002
3151,2125
6332,1816
1052,1661
3211,271
3145,2323
2078,2632
3042,5515
6377,439
8440,2015
4203,2305
917,5867
1098,260
8449,1752
906,6214
4223,1694
8445,1884
5283,1609
8437,2133
3141,2475
4252,800
5241,2912
6377,464
4219,1832
1009,3036
8453,1656
918,5865
8426,2489
3142,2457
4195,2582
6377,482
8427,2473
701,12604
8445,1920
8412,2944
4265,424
8408,3063
6377,496
5315,651
8433,2296
3166,1737
4220,1832
4212,2084
4107,5344
5265,2213
6203,5906
8419,2758
1074,1073
1025,2599
3141,2544
3131,2858
2082,2609
8450,1809
3127,2989
674,13497
3127,2992
8456,1632
8450,1820
8422,2698
3210,427
4212,2136
5255,2577
4225,1737
1096,437
8424,2651
3128,2989
8334,5440
4190,2838
1035,2342
6203,5975
8454,1738
4219,1952
8455,1703
4232,1548
3171,1678
1097,443
4208,2309
5269,2187
6203,5998
3141,2621
1025,2681
8449,1919
5260,2468
8442,2136
3141,2626
8437,2296
8428,2575
3171,1702
4212,2202
4233,1548
4199,2603
3134,2853
8415,2989
2078,2828
3217,289
1043,2157
3145,2532
3152,2320
4212,2230
3172,1702
8448,1984
1027,2669
3194,1031
6341,1780
3141,2680
2078,2878
3179,1516
4271,431
8442,2202
3134,2920
5283,1839
8428,2656
8418,2962
8424,2787
3131,3026
1065,1537
3145,2594
1032,2564
8453,1886
12730,370
3180,1516
1053,1918
8448,2047
8433,2512
3151,2420
8458,1740
5256,2706
5284,1841
6377,725
5248,2961
1062,1656
5265,2433
3141,2744
4118,5225
5260,2597
8424,2821
4101,5756
6377,736
8424,2818
3141,2757
8445,2178
6322,2455
8424,2826
3141,2770
5291,1660
8426,2783
6310,2837
5268,2382
1034,2563
8445,2202
6320,2539
5290,1707
4218,2169
8425,2833
5278,2089
6377,788
2078,2998
3145,2703
4190,3079
3141,2830
4234,1727
3151,2532
4234,1740
1060,1828
3132,3133
4228,1933
3142,2830
4211,2464
3226,238
8435,2596
8450,2144
8436,2574
4231,1859
1039,2510
3133,3132
6377,882
1065,1717
4210,2525
4208,2594
6377,894
5284,2008
8450,2174
3210,772
1053,2103
3141,2917
5270,2454
952,5245
1025,2989
6330,2375
1030,2839
6377,930
3211,772
8437,2611
3142,2917
3166,2175
4118,5435
5259,2833
3226,324
3213,736
3141,2985
1061,1929
3141,2987
5262,2769
3132,3265
3166,2214
3227,324
5268,2593
4118,5479
5297,1699
1103,648
1053,2200
8445,2432
6377,1000
3133,3265
5256,2990
3161,2399
5296,1747
6337,2248
8428,2966
1114,329
5257,2971
8453,2201
952,5353
4212,2599
4231,2011
3151,2726
1052,2262
4232,1990
8456,2112
4118,5524
3141,3042
4222,2304
1070,1710
6330,2495
3145,2927
1117,265
3225,455
3152,2726
8462,1961
3132,3349
4233,1990
3187,1649
8431,2921
4124,5368
4218,2459
3141,3077
3209,968
3232,258
1068,1806
1110,504
8473,1626
1057,2152
3224,513
3192,1512
3151,2787
6405,217
3133,3349
3188,1646
8470,1748
1120,219
6344,2126
4212,2681
6377,1107
3132,3396
3184,1786
3192,1537
4118,5603
3235,211
6330,2569
4250,1520
3172,2174
6405,252
3189,1646
4250,1532
4243,1753
8468,1844
3133,3396
5307,1548
3192,1575
8447,2516
8437,2827
3180,1951
6377,1149
3166,2391
3212,968
4234,2056
1074,1710
934,6051
1062,2083
3210,1031
4228,2244
6355,1848
4124,5476
3235,271
3171,2255
8467,1926
5290,2105
3180,1982
4249,1609
3171,2262
8454,2337
3167,2391
4211,2797
944,5769
3225,595
4118,5683
3227,538
4207,2933
3171,2281
8438,2850
3161,2599
4242,1853
8440,2795
6367,1520
3172,2262
3192,1647
8458,2246
1116,471
3166,2457
2118,2179
6367,1537
8439,2844
8453,2411
1039,2870
6405,366
6367,1549
3195,1575
4208,2945
2010,5545
6367,1550
3195,1583
6367,1555
6344,2274
6330,2711
8470,1915
3192,1689
8474,1792
3192,1691
6368,1545
1062,2190
8440,2853
3195,1606
5285,2358
3169,2416
6368,1552
3171,2358
6405,415
3171,2362
6368,1560
4224,2487
6369,1535
8434,3049
3224,723
4234,2182
6369,1537
5311,1567
4228,2377
1122,357
1043,2809
5277,2625
6405,431
6344,2322
6367,1607
6367,1613
3170,2416
3132,3594
4213,2855
6367,1615
3172,2358
4243,1923
6405,443
3225,723
6369,1567
4240,2029
6368,1596
4222,2585
947,5809
3153,2961
4231,2310
6370,1537
6368,1603
8436,3039
4257,1512
4226,2474
8443,2821
3133,3594
1085,1549
6367,1646
1119,498
5268,2953
5306,1773
1127,252
8435,3077
6367,1656
3210,1217
6368,1624
6370,1567
6368,1628
4234,2246
4232,2308
4213,2900
3171,2436
6372,1514
6372,1513
5278,2660
8474,1884
8470,2008
2111,2532
8457,2421
6372,1516
4249,1792
8445,2794
6369,1615
6369,1617
3192,1802
6368,1647
4228,2457
3192,1804
6368,1653
4242,2021
6370,1594
3180,2182
5269,2957
4233,2308
3172,2436
3077,5380
6372,1540
3180,2189
3166,2628
4242,2038
3192,1824
8470,2049
6369,1642
6367,1702
6405,531
6375,1460
6370,1615
6369,1646
6368,1682
8449,2709
6367,1717
5296,2149
6367,1716
8445,2829
6370,1622
6372,1560
6373,1535
5311,1688
4212,2989
6373,1533
6369,1656
6368,1694
5296,2158
6373,1537
6369,1661
6372,1567
6372,1573
6416,209
1122,482
6370,1633
4223,2660
6368,1701
6374,1514
6373,1544
6374,1520
3132,3715
6416,215
4131,5515
6369,1679
6370,1646
6376,1460
6371,1614
4231,2423
3169,2583
6373,1567
8473,2004
6372,1597
3083,5250
3132,3734
6372,1595
3196,1752
6374,1538
6374,1537
6374,1544
6372,1606
6368,1729
6375,1512
3242,329
6373,1573
6367,1765
4223,2692
6372,1608
1072,2069
3133,3715
6375,1514
5311,1734
6368,1735
6416,254
5269,3042
6375,1524
6370,1679
6369,1710
4234,2357
3077,5459
6372,1615
6372,1622
6416,258
6370,1681
8463,2341
4231,2455
6368,1750
6374,1563
3170,2583
6368,1753
3210,1347
3133,3734
6374,1572
8454,2621
6375,1540
6369,1726
6372,1633
6372,1632
3179,2313
6416,273
1081,1817
6374,1573
4249,1918
4215,2972
6370,1703
6377,1486
6367,1796
6405,616
6373,1615
6372,1646
6370,1707
6373,1613
1043,3005
6416,285
6375,1556
6372,1648
6405,630
6373,1622
8471,2123
6368,1775
6367,1806
1046,2920
6374,1594
6375,1563
6416,291
8459,2502
6376,1537
6370,1722
6375,1567
3241,419
2012,5750
6372,1659
6369,1752
6370,1727
6373,1633
6376,1540
6373,1632
8470,2169
6375,1575
6367,1829
8445,2940
3210,1389
4231,2506
6405,648
4250,1918
6370,1740
6368,1802
6379,1460
6374,1615
3171,2605
6375,1582
6374,1613
6416,317
1128,405
6369,1772
5313,1741
6370,1748
6375,1593
6416,319
6372,1683
6368,1814
6375,1597
6370,1751
6376,1564
6373,1657
5311,1810
6375,1594
6367,1849
6416,329
6376,1572
6374,1633
3169,2686
1106,1105
6375,1608
3227,890
6369,1793
3211,1389
6372,1699
6375,1606
6376,1582
6376,1580
3190,2044
6369,1796
6372,1709
6372,1708
6375,1615
6367,1862
1116,806
6416,349
6375,1620
6369,1806
6372,1713
6373,1681
5358,377
3192,1990
6367,1873
6374,1656
1053,2764
4243,2181
3169,2707
6375,1622
6372,1722
6368,1844
6373,1688
6369,1812
6375,1633
6375,1632
6416,361
4243,2186
8471,2196
6367,1884
4142,5321
6375,1634
6372,1727
3249,238
6378,1548
6373,1703
6372,1733
6376,1609
6374,1670
6379,1514
6372,1738
6373,1707
6369,1830
6376,1613
3191,2044
6374,1680
6378,1556
6373,1709
6372,1740
6374,1678
6381,1460
6375,1646
6376,1622
3198,1834
6368,1869
6370,1806
6374,1681
6367,1898
6416,379
6370,1805
6375,1657
6370,1812
5312,1841
3187,2181
1053,2798
6379,1537
3161,2989
6375,1659
6379,1535
6372,1751
6373,1727
1062,2525
6379,1540
6367,1911
3192,2034
6379,1538
6379,1544
8446,2999
6370,1828
1108,1107
6379,1548
6369,1862
6373,1737
6378,1582
4143,5330
1121,711
6379,1556
6374,1709
6373,1740
6375,1678
8453,2798
6374,1713
6369,1868
6370,1837
6373,1751
8469,2312
6379,1564
6372,1780
6378,1594
6379,1563
8467,2376
6370,1841
6373,1748
6372,1786
6416,421
3172,2679
6379,1567
6370,1846
6374,1722
6380,1535
6379,1573
6370,1852
1016,3983
6368,1912
6416,424
5318,1694
6367,1949
6367,1948
6381,1514
6375,1699
1062,2564
6380,1549
4144,5330
6380,1548
6378,1609
6229,6228
6405,779
6376,1678
8454,2789
6375,1707
6370,1862
6381,1520
6378,1613
6375,1713
6380,1558
6370,1868
6372,1805
5366,221
6373,1772
6370,1865
3192,2081
6374,1748
3249,317
6375,1716
6373,1776
6373,1783
6379,1597
6374,1752
6374,1751
6375,1719
6379,1595
6379,1594
3180,2464
6381,1538
6381,1537
6370,1877
6375,1722
3224,1101
6369,1915
6376,1697
6375,1727
6375,1733
6382,1516
6369,1919
1062,2594
6379,1606
6381,1544
6368,1954
6379,1613
6368,1952
6374,1766
6370,1889
6381,1548
3235,772
3192,2105
6371,1865
6374,1772
6367,1989
947,6166
1080,2044
6379,1615
6374,1776
6373,1806
6372,1837
6373,1805
6371,1866
6367,1990
4264,1648
6373,1809
6332,3080
5367,226
6379,1622
1053,2891
6381,1567
6416,482
6375,1753
6378,1657
6381,1564
6379,1633
6368,1973
6379,1632
6370,1910
6369,1940
6376,1723
6370,1915
3235,794
6381,1573
6379,1635
6376,1727
6381,1572
6370,1920
6405,834
6369,1948
6416,498
6369,1955
6381,1582
6373,1829
6383,1519
6416,496
6381,1580
6373,1828
1097,1548
6380,1617
1136,341
3167,2917
5279,2978
6379,1646
6380,1622
6375,1776
6372,1868
6374,1806
6373,1837
6367,2023
6379,1657
6381,1594
6379,1656
6376,1748
6373,1841
6378,1686
6370,1934
6374,1809
6370,1940
6380,1629
6372,1877
6373,1846
6369,1970
6376,1751
2005,6184
6375,1787
6378,1697
6374,1828
1090,1790
6372,1887
6367,2042
6381,1615
6372,1894
6380,1646
6370,1955
6381,1613
6374,1830
8463,2612
6372,1891
3171,2820
3181,2513
6373,1865
6379,1678
6381,1622
6369,1994
6416,536
6375,1806
6373,1868
3192,2180
6368,2029
6380,1657
6379,1688
3077,5744
6374,1841
6368,2034
6384,1537
6380,1661
6375,1816
6373,1877
6372,1908
6374,1846
6382,1597
6368,2038
6379,1697
3249,421
6369,2006
6378,1726
6381,1633
6381,1632
6374,1849
6373,1887
6372,1918
6382,1608
4243,2380
6385,1514
6379,1699
3192,2194
6375,1822
5312,2008
4267,1635
3201,1914
6375,1828
1056,2876
6373,1889
4271,1514
6370,1981
5311,2043
5290,2694
6379,1709
3172,2820
6381,1646
6372,1925
6382,1615
6379,1707
6380,1676
1097,1610
6385,1520
6382,1620
6375,1837
6379,1713
6370,1990
6383,1586
6380,1679
6374,1865
6372,1934
6369,2027
6375,1841
6379,1716
1136,408
6368,2056
6382,1622
6373,1907
6378,1751
4125,6059
6379,1719
6370,1998
6372,1935
6381,1656
6373,1911
6367,2097
6385,1538
6373,1910
6370,2003
4267,1661
4150,5288
6385,1537
6375,1846
6374,1877
6379,1722
6367,2101
6376,1822
6370,2008
6373,1914
6379,1727
6367,2099
5296,2531
6380,1702
6370,2012
3202,1914
6369,2042
3192,2223
3208,1727
6369,2041
6370,2010
6369,2040
6375,1854
6380,1699
6374,1892
6376,1830
6385,1550
6373,1921
6385,1549
6379,1734
6373,1920
6369,2044
6375,1865
6381,1679
6379,1740
6381,1678
6367,2111
1140,309
6380,1707
6375,1868
6380,1713
8453,2981
6381,1681
3249,471
2034,5368
6374,1897
6385,1563
6372,1965
6378,1779
6379,1748
6370,2027
6376,1841
6375,1877
3208,1748
6369,2062
1142,258
6369,2061
6373,1937
6379,1751
3169,2959
8473,2381
6374,1910
6382,1661
6381,1699
6375,1884
6381,1697
6385,1573
6382,1665
6379,1758
4242,2470
6374,1920
6369,2075
6375,1889
6381,1703
6370,2043
6381,1702
6375,1887
6370,2042
6387,1514
6378,1793
3258,211
6381,1707
6387,1520
6375,1891
6379,1766
6369,2076
6369,2083
6375,1897
6373,1959
6376,1865
6368,2113
6372,1989
4267,1709
6375,1895
6381,1709
6375,1894
1054,3009
4271,1588
6369,2086
4263,1837
6368,2116
6381,1713
6416,627
6384,1619
4131,5927
6381,1719
3093,5341
6367,2152
6379,1780
4228,2924
6387,1537
1142,289
6376,1877
6381,1722
6374,1938
6382,1690
6385,1597
6376,1876
6373,1969
6374,1937
1056,2958
6369,2099
6372,2006
6381,1727
6381,1726
4267,1722
6374,1948
6385,1607
6382,1699
6369,2102
1141,329
6385,1605
6378,1822
6372,2008
6386,1574
5317,1944
6370,2076
6379,1796
6387,1548
6373,1981
6375,1919
6370,2074
8466,2640
6385,1615
6369,2111
6376,1893
6378,1830
6385,1613
6372,2015
6370,2084
6387,1556
6370,2083
6373,1989
6387,1555
3171,2949
5312,2111
6381,1740
6379,1809
6368,2149
6373,1994
6379,1806
6367,2178
6382,1713
6381,1751
8455,2994
3249,536
6384,1656
6372,2028
4142,5621
6381,1748
6385,1630
6369,2126
6387,1567
6369,2125
6380,1783
3095,5319
8461,2816
5306,2316
6385,1633
6370,2098
6385,1632
6373,2011
6380,1794
6389,1514
6370,2102
6369,2132
6376,1915
6379,1822
3258,271
6256,5635
6368,2170
6379,1829
6379,1828
6369,2138
3156,3435
6380,1796
6373,2012
6376,1919
6370,2105
6372,2050
6370,2111
6385,1646
6382,1738
6379,1837
6369,2147
6371,2085
6369,2146
6374,1990
3172,2949
6379,1841
6368,2182
6382,1747
6388,1560
6374,1994
6368,2180
6374,1993
6378,1876
6387,1597
6416,697
6380,1813
3215,1622
6380,1812
6385,1657
6374,1998
4242,2553
6379,1842
6385,1656
6382,1755
8466,2682
6376,1940
6389,1537
6379,1846
3181,2682
6374,2008
6380,1822
6372,2070
6370,2132
5327,1696
1062,2839
6373,2036
8462,2813
6373,2042
6378,1886
6370,2133
6379,1854
6373,2047
5292,2789
3192,2351
6370,2138
6368,2200
6381,1796
6374,2013
1080,2290
6384,1710
6387,1617
6370,2143
1056,3036
6384,1707
6369,2179
6375,1993
6370,2147
6372,2085
6379,1868
6381,1806
4232,2890
6372,2084
2038,5368
6374,2028
3235,1031
6379,1872
6374,2027
6368,2213
6348,2833
6372,2088
6381,1809
3216,1622
6384,1715
3214,1683
6379,1877
3192,2368
6385,1688
6381,1812
4268,1780
6375,2005
6374,2036
6372,2098
1085,2152
6369,2190
6375,2003
6388,1600
6405,1073
6378,1910
4142,5689
6390,1537
6381,1816
1144,326
6391,1513
6381,1822
4126,6192
6416,736
6433,209
6368,2223
6375,2006
6388,1603
6370,2161
6374,2037
6372,2099
6433,215
6379,1889
6374,2043
6385,1702
6373,2074
6372,2105
6379,1887
6374,2042
6373,2073
6375,2011
5332,1575
6375,2010
3208,1885
1085,2164
6381,1830
6369,2201
6390,1549
6373,2076
6370,2169
6381,1828
6376,1990
6368,2238
6373,2083
4243,2576
2134,2418
6390,1555
6385,1709
6389,1584
6379,1894
6387,1646
4233,2890
6370,2178
6380,1868
6381,1837
6390,1558
6369,2209
6373,2084
6416,758
6385,1719
6387,1656
6375,2028
6381,1841
6385,1717
6385,1716
6383,1778
6378,1940
6379,1908
6381,1846
3192,2399
6379,1907
6388,1628
5340,1347
6382,1820
6385,1727
6373,2098
6376,2004
3082,5816
6373,2096
3098,5319
6367,2289
8464,2819
6381,1854
6389,1606
6433,242
6376,2008
6380,1884
6373,2100
6382,1828
6384,1766
3171,3063
6385,1734
6376,2013
6380,1889
6372,2137
6379,1919
6389,1608
1130,800
6380,1894
6375,2049
6373,2111
6389,1615
6379,1925
6380,1893
6370,2203
6369,2233
6373,2109
6370,2202
6370,2201
1068,2726
3208,1921
6387,1681
6433,254
6374,2083
6387,1680
6372,2145
6387,1679
6381,1865
6385,1740
6388,1647
6374,2081
3187,2576
6374,2088
6433,258
6374,2086
6381,1868
3180,2797
5317,2085
6379,1937
8456,3079
1145,349
6391,1563
6387,1687
3077,5995
6385,1748
6379,1934
6372,2158
6374,2096
6372,2157
6381,1877
3192,2434
3099,5319
6389,1633
6433,269
4242,2653
6367,2314
6380,1911
6381,1887
6369,2259
6244,6134
4257,2194
4309,582
6390,1607
6369,2257
1068,2749
4292,1107
6382,1853
3198,2255
3262,271
6376,2046
3187,2599
6373,2138
6372,2169
6389,1642
4267,1889
6376,2044
6381,1889
6392,1548
6384,1796
6384,1795
6380,1919
6374,2105
1140,522
6372,2174
6375,2081
6374,2111
6381,1893
6387,1707
6378,1985
6390,1613
6374,2109
6387,1713
6373,2147
6375,2085
6382,1868
6373,2146
6375,2084
3181,2792
6433,285
6384,1804
6392,1556
6392,1555
6385,1772
6387,1710
6433,291
6375,2088
4266,1929
6367,2340
6393,1533
6367,2338
6389,1656
6372,2189
6375,2096
6385,1786
6380,1940
6393,1537
6382,1878
6374,2126
5336,1535
6387,1722
6367,2342
6379,1970
6392,1567
6381,1908
6368,2318
6392,1574
3192,2468
6373,2161
6387,1726
6433,300
6375,2098
6375,2105
6381,1919
6388,1701
5375,334
3094,5512
4310,582
6388,1705
5336,1550
6374,2138
6373,2169
6376,2076
6393,1549
3249,711
6385,1796
6370,2261
6387,1734
6374,2144
6372,2205
6375,2112
6389,1678
6382,1894
6396,1460
6373,2173
1143,464
6369,2296
6368,2334
6379,1993
6367,2364
6373,2178
6385,1806
6374,2146
6389,1681
4258,2205
6389,1680
6382,1897
6379,1990
6378,2028
6374,2152
3213,1837
1143,471
6370,2274
3249,723
3208,1995
6381,1937
6385,1812
6394,1533
6384,1843
6373,2190
6433,329
6387,1755
6367,2375
6379,2003
3208,2002
6381,1940
6369,2312
6373,2188
6374,2164
6392,1606
3223,1539
6379,2008
6433,334
6374,2162
1148,329
6374,2161
6379,2013
6373,2199
5312,2321
6376,2105
6382,1918
6379,2011
6373,2196
6373,2203
6370,2296
6373,2202
6382,1923
6385,1829
6370,2294
6373,2201
6375,2138
6387,1766
6374,2169
6388,1735
6385,1828
6375,2145
6381,1959
6387,1772
6375,2144
4142,5832
3198,2328
6382,1925
6370,2304
6392,1622
6374,2179
3235,1182
6433,349
6392,1619
6370,2301
6416,882
6388,1750
6372,2246
8462,2993
6373,2214
6369,2338
6390,1687
6382,1935
6385,1841
6379,2027
6374,2188
6369,2342
6385,1846
6381,1970
6389,1722
6386,1814
6382,1938
3187,2681
6368,2371
6373,2216
6392,1633
6385,1849
3208,2034
6375,2158
6374,2196
6386,1824
3187,2687
5296,2845
6376,2133
6396,1513
6368,2381
3192,2531
6374,2194
6379,2039
6370,2317
4265,2042
6379,2044
6374,2199
6387,1796
3192,2538
6373,2228
6380,2011
6370,2321
6379,2042
3192,2537
6392,1646
6379,2049
6374,2203
6385,1862
6369,2357
