programs_1,programs_2
12607,847
1525,329
12611,722
12533,1105
12531,1169
1525,334
1836,933
1509,834
12600,1073
1525,341
1509,2888
12619,491
12606,894
1509,841
1525,349
12608,843
1530,201
12547,697
1509,855
12600,1101
12587,1504
12613,693
1525,361
12610,798
12606,930
12547,711
1525,372
1509,869
12624,6518
1515,685
1845,697
1525,379
1509,877
12613,720
1509,879
12613,719
12613,2765
1530,234
1845,711
12550,630
12535,1094
1530,238
1509,890
9091,1364
1525,395
1525,397
12616,645
1663,217
1530,244
12619,552
1663,219
1525,6547
12606,951
12606,963
12626,12627
1525,408
12611,804
1515,722
1561,1344
1663,236
12529,1317
1525,421
1663,240
12607,949
12613,763
12561,326
1509,919
1525,424
12630,244
12616,678
1530,277
1598,217
12535,1134
1663,252
1509,933
1663,256
1598,228
12611,836
12611,847
12613,786
12606,1000
12626,2439
12530,1317
1598,238
12611,851
1530,302
1509,954
12547,800
1525,464
12529,1364
1525,471
1515,782
12613,804
12561,368
1509,970
12606,1033
12613,818
1530,324
12608,968
1845,800
12629,12604
1525,482
12616,721
12629,12618
1667,2227
1525,489
1598,275
1598,277
1663,311
1598,279
12634,2227
1525,496
1525,498
12619,656
1525,506
1530,355
12630,324
1509,1008
12613,847
12629,351
1509,1012
1511,951
1509,1020
1598,12598
1667,226
1980,763
1525,536
1598,324
1667,234
1515,851
12613,877
12531,1371
12629,381
1525,544
1515,855
1947,1799
1598,331
1525,547
1663,366
1598,12622
1598,12623
1598,336
12606,1107
1663,370
12611,949
12619,711
1598,341
1525,557
1525,561
12624,554
12561,471
1509,1063
1663,385
1867,207
1530,419
1598,359
1645,951
1515,886
1509,1073
12600,1314
1663,405
1525,591
12568,273
1509,1094
1530,445
12606,1149
1530,448
1525,604
1509,1101
1667,302
1530,453
1598,395
1867,248
1663,431
12570,234
12613,949
12561,513
12529,1504
1667,12599
12608,1105
1867,260
1525,2670
1663,443
12619,772
1525,627
1509,1123
12632,377
1525,636
12530,1504
1509,1134
1515,949
1525,643
1536,302
12619,788
1598,429
1667,341
1598,433
12619,794
1867,287
1509,1147
1598,437
1598,441
12535,1371
1667,355
1598,448
1525,666
12561,563
12635,12617
12531,1504
1598,457
1947,1927
1509,1169
1598,459
1525,2723
12634,355
12570,302
12567,397
1515,989
1598,464
1663,504
12619,841
1509,1182
12567,401
1867,329
1530,538
1525,697
1667,395
12606,1259
1667,399
1536,368
12570,341
1598,504
1541,226
1525,725
12610,1159
12613,1063
12610,1155
12575,203
12613,1073
12575,199
1525,736
1515,1063
1663,573
12561,661
1525,758
1663,580
1509,1259
12625,722
12613,1094
1525,763
12575,232
1598,556
1536,433
12570,399
12570,395
1663,599
1525,788
12626,721
12606,1344
12633,506
1543,238
1598,582
12607,1325
1541,302
1663,616
1525,800
12575,262
1663,621
12570,429
12633,524
12606,1364
1530,654
1663,630
1598,602
1509,1314
12607,1347
12626,765
1663,648
1598,616
12575,295
1525,836
1530,685
1530,688
12624,843
12587,1992
12629,690
1525,851
1598,636
12575,322
1515,1169
1543,302
1663,681
12572,419
12629,700
12575,339
1598,654
1543,317
1509,1371
12619,1031
12638,443
1525,882
12590,3983
12572,445
1525,894
12512,265
12561,806
1547,221
12636,536
1543,355
1867,552
1541,419
