story_by_1,story_by_2
2457,3548
1948,3970
2138,8319
6066,4313
1587,3902
2316,3834
2796,4313
2622,2541
5506,3255
2193,7655
3015,3679
5579,6116
2855,3522
3001,4119
2651,11899
2842,7001
5392,11925
6338,6160
5788,6829
1840,8385
5536,3380
3080,7837
5506,4313
5888,6814
5816,3926
2998,8339
2261,3541
1821,7964
2300,3355
5561,7737
3041,3943
2288,5781
5788,6851
2415,8000
6280,12093
2743,8076
802,7837
2779,3894
5906,8339
2795,1354
5873,8339
2998,3253
2681,7964
2602,8371
2347,3993
2097,3552
2889,3576
2850,6842
2444,6116
3050,5761
5347,3162
5421,3944
2348,8076
1938,3380
2200,3451
5788,7939
2709,8159
5452,4020
2932,4320
1691,6950
2281,4020
2620,7851
1957,7927
3044,7001
2916,7904
1935,7594
1966,2541
2803,8339
2563,1445
2924,2541
5921,6919
2997,3355
5326,6935
5326,6936
5324,854
3078,854
2145,3159
2145,3160
5347,6298
2225,3754
2013,8282
5975,8339
5579,4236
5579,4235
1748,4218
1891,7976
5546,8339
504,6946
2360,11878
6014,8175
1981,1102
2259,3748
5266,7815
1816,1102
2078,8339
5382,4218
1869,7659
5730,7774
