film_release_region_1,film_release_region_2
5274,92
5275,61
5274,89
5275,59
5276,28
2105,29
5274,95
5274,97
5276,35
2105,35
2055,1585
5276,41
5273,132
2105,41
5274,108
5275,75
5276,50
5274,109
5273,141
5274,110
5275,84
5274,116
5276,51
2105,51
5275,82
5276,52
2105,52
5275,89
5274,117
5274,118
2105,54
5276,61
5275,92
5273,155
5276,59
2105,59
2105,61
5274,127
5274,128
5276,66
5274,126
5275,95
5274,132
5274,135
5273,170
5275,108
5275,109
5274,140
5276,75
2105,75
2107,12
5276,76
5274,138
5274,141
5275,110
5275,111
2105,78
5276,86
5275,117
2106,51
5276,84
5276,89
5276,90
5275,118
2105,89
2107,29
5276,92
5276,97
5273,190
2105,92
5275,126
5276,95
2105,95
5275,127
2105,97
2107,35
5275,132
1894,6642
1894,6644
1894,6643
5274,166
5275,135
5276,109
5274,171
5275,141
5276,110
5275,138
1894,6647
5274,170
5276,108
5274,176
2103,170
2105,108
5276,111
2105,111
2105,110
2107,51
5274,179
5276,117
5276,118
2105,117
5274,183
2105,118
5276,126
2107,61
5274,186
5276,127
2105,127
5274,190
2105,126
5229,1585
5280,9
5276,132
5276,138
2105,132
2105,135
5276,135
1894,6676
5280,12
5280,17
5276,141
5275,170
5276,140
5275,171
1894,6679
2105,141
2107,78
1894,6684
5280,23
5275,179
5280,29
1894,6689
2107,89
5280,28
5275,186
2107,92
2107,95
5275,190
5280,35
1894,6700
2107,97
5280,36
5280,41
5276,170
1894,6705
2952,6679
5276,171
2105,170
2107,108
2107,110
5280,51
5276,176
5280,52
5280,58
2107,117
5276,179
2105,179
5280,61
2107,118
5276,186
5280,59
5280,66
5276,190
2107,127
2107,126
2105,190
5280,71
2107,132
2107,135
5280,78
5280,75
5280,76
5281,51
6338,51
2107,141
5280,86
5280,84
2110,51
5280,89
5280,90
5280,92
5280,97
5280,95
2061,1585
6340,12
5280,109
5280,110
5280,108
5280,111
5280,117
2111,51
5280,118
6340,23
5280,116
6340,29
5280,126
5280,127
6340,35
5280,132
5280,138
5280,135
5280,141
6340,50
5280,140
6340,52
6340,51
2112,51
6340,61
6340,59
5280,166
6340,71
6340,78
5280,170
6340,75
5280,171
6340,84
2113,51
5280,176
6340,89
5280,179
5280,186
6340,92
6340,97
5280,190
6340,95
2958,6644
6340,110
6340,109
6340,108
2958,6647
2115,12
6340,118
6340,117
6340,126
2115,29
6340,127
2065,1585
2115,35
6130,6643
6340,132
2115,36
6340,135
6340,141
2958,6684
2115,51
2115,52
2958,6689
2115,59
2115,58
6130,6676
6131,6642
6340,170
6130,6679
6131,6647
1903,6644
2115,75
6130,6684
6340,171
1902,6679
2115,78
1844,8479
1902,6684
2116,51
2115,84
6340,179
6340,186
2115,89
6340,183
6340,190
2115,92
2115,95
6132,6642
2115,97
6131,6676
6132,6644
6131,6679
2115,105
1903,6676
6131,6684
2115,108
2115,111
2115,110
5288,51
1903,6684
2115,118
6131,6700
2115,127
2115,126
1903,6700
6132,6676
2962,6644
2115,132
1904,6676
2115,135
6132,6679
2903,8479
2115,138
2115,141
6132,6684
6132,6689
2118,51
6132,6694
2069,1585
2962,6676
2962,6679
2115,171
2115,170
2962,6684
2119,51
2115,177
2119,52
2115,179
2962,6689
2119,59
6132,6734
2115,186
2115,190
1848,8479
1848,8488
1848,8494
2119,92
2119,95
1908,6642
1908,6644
1908,6647
2119,108
2119,110
2121,51
1908,6655
1908,6676
2119,135
1908,6679
2119,141
1908,6684
2122,51
1908,6689
1908,6694
1908,6700
1908,6702
5295,12
5295,17
2119,170
2123,51
5295,23
5295,29
5295,35
5295,41
5295,52
1908,6744
1852,8479
5295,50
5295,51
1852,8483
2124,51
5295,54
5295,58
5295,59
6354,12
5295,76
5295,75
5295,78
6354,23
2125,51
5295,82
5295,89
5295,87
5295,92
5295,90
6354,29
5295,97
5295,95
5295,104
5295,108
5295,109
6354,52
6354,51
5295,110
6354,50
5295,111
1854,8479
5295,117
2126,51
6354,59
5295,118
6354,61
5295,126
5295,127
5295,132
2077,1585
6354,71
6354,75
5295,135
5295,140
5295,141
5295,138
5298,51
6354,84
2127,51
6354,92
2125,117
6354,89
6354,95
2128,29
6143,6643
6143,6642
6354,108
5295,170
6354,110
5295,171
5295,176
5295,177
2128,51
6354,117
5295,179
5295,183
6354,127
6354,126
5295,186
6354,132
2079,1585
5295,190
6143,6676
5301,12
6143,6679
2914,8476
2914,8475
6357,51
6143,6684
2128,78
5301,17
6354,141
5301,23
2129,51
2128,90
5301,29
5301,36
5298,135
2127,135
6354,170
5301,51
5301,54
6354,179
5301,52
2130,51
5301,58
5301,59
6354,186
5301,61
5252,1585
6354,190
5303,12
5301,75
5303,14
5298,170
5302,51
2128,141
2131,51
5303,23
5303,28
2129,117
5303,29
5301,89
5303,33
5301,95
5301,92
5303,35
5303,41
5301,110
5301,111
5301,108
5301,109
5303,52
5303,51
5301,118
2132,51
5301,117
5303,61
5303,58
5303,59
5301,126
5301,127
5301,135
5301,132
5303,71
5303,76
5301,138
2134,12
5303,75
5303,78
5301,140
5301,141
5305,23
2133,51
5303,89
5303,86
5303,87
2134,23
5303,92
5303,97
5303,95
5303,104
5301,170
5303,108
5301,171
2134,41
2135,12
2135,14
5305,51
5303,110
5303,111
2134,50
5303,117
5301,179
2134,52
2134,51
2135,23
5303,118
5301,186
2135,29
2134,59
5303,128
5303,126
5303,127
2085,1585
5303,132
2135,35
5303,135
5303,140
5303,141
5303,138
2134,76
2134,75
2134,78
2134,80
2135,51
2135,50
2135,52
2135,59
2134,89
2134,92
2134,95
2135,71
2134,104
2135,75
2134,108
5303,170
2135,76
5303,171
2134,110
5303,176
2134,109
1922,6684
2135,80
2135,84
2134,118
2134,117
2135,89
5305,127
5303,186
2135,92
2135,95
2134,126
5303,190
2135,97
2134,127
2134,132
2135,104
2134,135
2135,111
2134,141
2135,110
2137,51
2135,117
2135,118
2135,127
2135,126
2135,128
2135,132
1924,6676
2135,135
2134,170
2135,138
5309,51
2135,141
2135,140
1924,6684
1924,6689
2134,179
2134,186
2134,190
2983,6642
2135,171
2135,170
2139,51
2135,176
2135,186
2135,190
2983,6676
2983,6679
2925,8479
1926,6684
2983,6684
2983,6689
2983,6702
2141,51
2092,1585
2143,12
2142,51
2143,23
5314,35
5314,51
2143,51
2143,52
2143,59
1931,6647
2144,51
2143,92
2143,95
2989,6642
2989,6644
2930,8476
2989,6647
1931,6676
2930,8475
2142,135
2143,108
2930,8479
2143,110
2145,51
1931,6689
2990,6642
2990,6644
2143,132
2989,6676
2989,6679
2990,6647
2147,12
2989,6684
2989,6689
2990,6664
2989,6694
2930,8525
2147,35
2989,6700
2989,6705
5319,12
2990,6676
2990,6679
2143,170
2990,6684
2989,6717
2147,51
5319,23
2147,52
5319,28
2990,6689
5319,29
2147,59
5319,35
5319,41
2990,6705
5319,52
2147,78
5319,50
5319,51
2148,51
5319,61
5319,58
5319,59
2147,92
2147,95
5319,76
5321,12
5319,75
5319,80
5319,78
2147,108
5319,84
5321,23
2149,51
5319,89
2147,117
5319,92
2147,118
5321,29
5319,97
5319,95
2147,127
5322,12
2147,132
5319,108
2147,135
5319,109
5322,14
5321,50
5321,51
2147,141
5319,110
5319,111
5322,23
5319,117
5321,52
5322,28
5321,59
5319,118
5322,29
5321,61
5322,35
5319,126
5319,127
5319,132
1938,6642
5321,75
5322,41
1938,6644
5319,135
5319,140
5319,141
5322,51
5322,52
2147,170
2151,51
5321,84
5322,59
5322,58
5321,89
5321,95
5321,92
5273,1585
5321,97
5322,71
5322,75
5322,76
1938,6676
5321,110
5324,17
5321,111
5321,108
5319,170
1938,6679
5322,78
5319,171
5321,109
5319,176
1938,6684
5323,51
2995,6684
5321,118
2152,51
5319,179
5322,86
5321,117
1938,6689
5322,92
5322,89
5322,90
5322,95
5321,126
5321,127
5319,186
5322,97
1938,6700
5274,1585
5319,190
5321,135
5322,104
5321,132
5321,138
5322,108
5322,111
5322,110
5321,141
2938,8479
2153,51
5324,51
5322,117
5322,118
5322,127
5275,1585
5322,126
5322,131
5322,132
5322,135
1938,6734
5326,12
5321,170
5322,140
5321,171
5322,138
5322,141
5326,23
5321,179
2154,51
5324,89
5321,186
5326,29
5276,1585
5326,36
5324,95
2105,1585
5322,166
5322,171
5324,110
5322,170
5326,51
5326,52
2155,51
5322,179
5326,59
5324,126
5326,61
5322,186
5322,190
3000,6642
5326,75
5328,14
5328,12
5324,141
3000,6647
5328,29
5326,92
5326,89
5326,95
2107,1585
5328,41
3000,6676
5329,14
5326,108
5329,12
5326,111
3000,6679
5326,109
5326,110
3000,6684
5329,23
2157,51
5328,51
886,6684
5328,52
5326,117
3000,6689
5328,59
5329,29
5326,127
5329,35
5326,126
5326,132
5329,36
2158,35
5326,135
5326,140
5329,51
5326,141
1944,6684
5329,52
2158,52
2158,51
5329,58
5329,59
5280,1585
5328,95
1944,6700
5329,71
5329,75
8501,51
5328,104
5329,78
5326,170
2158,75
5329,82
5330,51
5326,176
2159,51
5328,117
5329,86
5326,179
5329,84
5329,89
2158,90
5328,126
5329,95
5329,92
2158,92
5328,127
5326,190
2158,95
5328,132
5329,104
5329,110
5328,141
1888,8475
2158,108
5329,108
2158,110
5329,118
2160,51
5329,117
2158,117
5329,126
5329,127
5329,128
2158,127
5329,135
2158,132
5329,132
5329,138
5328,170
2162,12
2158,135
5329,140
5329,141
2158,141
2161,51
2162,23
2161,59
6340,1585
2158,155
5329,170
2158,170
5329,179
2162,52
5329,176
2162,51
5329,186
2162,59
5329,190
2161,92
2161,95
5335,12
6178,6647
5335,17
5334,51
2161,108
2161,110
2163,51
5335,23
2162,89
5335,36
2162,95
2161,126
5335,35
6178,6676
2161,132
2161,135
2165,12
2162,108
2162,110
5335,52
5335,50
5335,51
2164,51
5335,54
2165,23
2162,117
5335,61
5335,59
2115,1585
5335,71
5335,76
2166,12
2162,135
5335,75
5335,78
2161,170
2162,141
2165,51
2165,52
5335,89
5335,86
2166,23
2165,54
5335,92
5335,97
5335,95
5335,108
2166,41
2165,75
2162,170
5337,51
2165,76
5335,110
5335,111
2166,50
3009,6684
2166,52
2166,51
5335,118
2166,59
2166,61
2165,92
5335,126
2165,95
5335,127
5335,132
2165,97
2167,35
5335,135
3011,6647
5335,140
5335,141
5335,138
2166,75
2167,51
2166,84
2165,117
2165,118
2166,89
2166,92
2165,127
2166,95
2165,126
2166,97
2168,35
2165,132
3011,6676
2169,12
2166,108
5335,170
5335,176
2165,141
2166,109
5335,177
3011,6684
2168,52
2168,51
3011,6689
2169,23
5335,179
2166,118
2166,117
5335,186
5335,190
2166,127
3011,6700
2166,132
5341,12
5337,141
2165,170
5341,23
2166,141
2169,51
2169,50
2169,52
5341,29
2165,186
2168,95
2168,97
2165,190
2169,75
2166,170
5341,50
2169,76
5341,51
2169,78
5341,52
2170,51
5341,59
2169,87
2166,179
2168,117
1956,6689
5341,61
2169,92
2169,95
2166,190
3015,6642
5341,75
1958,6644
3015,6644
3015,6647
1958,6647
2169,108
2168,141
2169,110
5341,84
2005,5203
5341,89
5341,95
5341,92
2169,127
5341,97
2169,132
1958,6676
2169,135
3015,6676
3015,6679
5341,110
5341,111
2168,170
5341,108
1958,6679
5341,109
2169,141
1958,6684
3015,6684
5341,118
2172,51
3015,6689
5341,117
1958,6689
5341,126
5341,127
3015,6694
2168,186
2169,155
2168,190
1958,6700
3015,6700
5341,135
3015,6705
5341,132
1960,6644
5341,138
5345,12
5341,141
2169,170
2958,8479
5345,17
5345,23
5344,51
5345,29
5345,35
5295,1585
2169,186
5345,36
3018,6644
1961,6642
5341,170
1960,6676
5341,171
3018,6647
5345,50
1960,6679
5345,51
5345,54
1960,6684
5341,179
5345,52
5341,176
2174,51
5345,58
5345,59
1960,6689
1960,6694
5345,60
5345,61
5341,190
1961,6664
5345,71
5345,75
3018,6676
5345,78
1961,6676
5345,76
3018,6679
5345,82
3018,6684
6131,8482
5345,86
2175,51
5345,87
5345,84
2175,52
5345,90
5345,89
2175,59
5345,95
5345,92
6354,1585
5345,97
5345,104
5345,110
5345,111
5345,108
5345,109
5347,51
1903,8512
5345,118
2176,51
5345,116
5345,117
5345,126
5345,127
2175,92
2175,95
5345,128
5345,135
5345,132
3021,6642
5345,138
3021,6644
5345,140
5345,141
2177,51
5345,162
5345,170
3021,6676
5345,171
3021,6679
2175,141
5345,179
3021,6684
5345,176
5345,177
2178,51
3021,6689
5345,183
5345,186
5345,187
5345,190
3021,6700
3021,6705
1966,6642
1966,6643
2179,51
1966,6664
2175,186
5301,1585
3021,6734
5352,12
1908,8479
5352,23
5352,29
1966,6689
5352,35
1968,6642
1968,6644
1968,6647
5352,50
2181,51
5352,51
5352,52
5352,61
5352,59
5303,1585
1968,6676
5352,75
5352,76
1968,6679
5353,51
1968,6684
5352,84
2182,51
5352,89
5352,90
5352,87
1968,6689
5352,92
5352,97
5352,95
6198,6644
1968,6700
6198,6643
6198,6642
6198,6647
3027,6644
1968,6705
5352,110
5352,108
5352,117
2183,51
5352,118
2183,52
5352,127
5355,35
6198,6676
2134,1585
6199,6644
5352,132
6198,6679
5352,138
5352,135
3027,6676
5352,141
3027,6679
6198,6684
5352,140
3027,6684
5355,51
2184,51
6198,6689
3027,6694
5353,127
2183,92
2183,95
2135,1585
3027,6700
3027,6702
1972,6644
3029,6644
5352,170
6199,6679
1972,6647
6199,6684
5352,171
2185,51
5352,176
5352,179
5352,186
5352,190
6199,6700
3030,6642
3030,6643
1972,6676
3029,6676
3030,6647
5357,51
1972,6679
3027,6744
1972,6684
3029,6684
3029,6689
1972,6689
3030,6664
1972,6700
3030,6676
1972,6705
3030,6679
3030,6684
2187,51
3030,6689
3030,6694
6199,6767
3030,6705
2188,51
3030,6734
2189,51
2191,12
2191,29
2191,28
2191,35
5363,12
1978,6644
2191,41
2191,51
5363,23
5363,28
5363,29
2191,59
2191,61
5363,36
5363,35
2191,71
1978,6676
2191,75
1978,6679
5363,52
5363,50
1978,6684
5363,51
2192,51
2191,86
5363,61
5363,58
2191,89
5363,59
2191,92
2191,95
2191,97
1978,6700
5363,71
5363,76
5365,12
2191,104
5363,75
2191,108
2191,111
2191,110
5365,23
2193,51
5363,89
2191,117
2191,116
5363,92
2191,118
5365,29
5365,35
5363,97
5363,95
2191,127
2191,126
6209,6642
2191,128
6209,6647
5363,104
2191,132
6209,6644
2191,135
5363,108
5363,109
5365,50
5365,51
2191,138
5363,110
2191,141
1922,8479
2191,140
5363,117
5365,52
5365,59
5363,118
5365,61
5363,128
5363,126
5363,127
5363,132
6209,6679
5365,75
6209,6676
5363,135
5363,140
5363,141
5363,138
2191,171
2191,170
6209,6684
2195,51
5365,84
6209,6694
5365,89
5365,95
5365,92
2191,186
6209,6702
5365,97
6209,6700
2191,190
6209,6705
1983,6643
1983,6642
5363,166
1983,6644
3039,6679
1983,6647
5365,111
5363,170
5365,108
5363,171
5363,176
3039,6684
5365,118
5363,179
5365,117
5365,126
5365,127
5363,186
1983,6664
5363,190
5365,135
5365,132
1983,6676
1983,6679
5365,141
2197,51
5368,51
1983,6684
1983,6689
5319,1585
1983,6694
1983,6700
1983,6702
1983,6705
5365,170
5365,171
1926,8476
1926,8475
5365,179
2198,51
5365,186
5365,190
6214,6642
6214,6647
5321,1585
6214,6676
6214,6679
6214,6684
1986,6679
1986,6684
6214,6689
5322,1585
6214,6705
2201,51
6214,6734
5374,12
5373,51
5374,17
5374,23
2202,51
5374,29
5374,35
5374,41
3046,6676
5374,51
5374,52
5374,50
2203,51
5374,59
3046,6689
5374,61
3046,6700
5374,66
5374,75
5374,92
5374,89
5374,97
5326,1585
5374,108
5374,111
5374,110
2205,51
5374,117
5374,118
5374,127
5374,126
5374,132
5374,135
1993,6644
5374,140
1993,6647
5374,138
5374,141
5328,1585
5374,171
1993,6676
1993,6679
5374,170
5374,176
5374,179
2207,51
1993,6684
1993,6689
1993,6694
5374,186
5329,1585
5374,190
1993,6700
2158,1585
3052,6642
3052,6644
3052,6647
2208,51
3052,6676
3052,6679
3052,6684
5380,51
2209,51
3052,6689
3052,6694
3052,6700
3052,6705
2211,12
2995,8479
2210,51
2211,23
2211,29
2211,35
2211,36
3055,6642
2211,41
5382,51
6225,6684
2211,51
2211,52
2211,54
2211,59
2211,58
2211,61
2211,60
5380,127
6225,6700
2211,71
3055,6676
3055,6679
2211,75
2211,76
3055,6683
2211,78
3055,6684
2211,82
2212,51
3055,6689
2211,84
2211,87
2211,86
2211,89
3055,6694
2211,92
2211,95
2211,97
2211,104
2000,6647
2211,109
2211,108
2211,111
2211,110
5384,51
2213,51
2211,117
2211,118
2000,6664
5335,1585
2211,127
2211,126
5386,12
2211,132
2211,135
5385,51
2211,138
5386,17
2211,141
2211,140
5386,23
2000,6684
2214,51
5386,29
5386,35
2165,1585
2211,171
5386,51
2211,170
5386,52
5386,50
2215,51
2211,177
886,8484
2211,176
5386,54
2211,179
5386,59
886,8488
2211,183
5386,61
2211,186
2211,190
2000,6734
5386,75
5386,78
1944,8479
5387,51
2216,51
5387,61
5386,92
5386,89
5386,95
5386,108
5386,111
5386,109
5386,110
5386,117
5386,118
5386,127
5386,126
5386,132
5386,135
5386,138
5386,141
2218,51
2169,1585
6234,6643
6234,6642
6234,6647
5386,171
5386,170
5386,176
5386,179
6234,6666
5386,186
5341,1585
6234,6684
5387,170
6234,6689
6234,6694
6234,6700
6234,6702
6234,6705
5392,51
2222,51
2009,6676
2009,6679
5394,51
2223,51
2009,6684
5345,1585
3068,6642
5396,14
5396,12
5392,141
5396,17
3009,8479
5396,23
5396,29
5396,28
5396,33
5396,38
5396,35
5396,36
5396,41
3068,6676
2226,12
3068,6679
5396,50
3068,6684
2226,17
2225,51
5396,51
5396,52
5396,58
2226,23
3068,6689
5396,61
5396,59
2226,29
5396,66
2226,35
2061,5150
2226,38
6240,6676
5396,71
3011,8475
5396,78
2226,41
2013,6647
5396,75
5396,76
3011,8476
2226,50
6240,6689
2226,52
2226,51
5396,84
5396,89
3011,8487
5396,90
5396,87
2226,58
5396,92
2226,59
5396,97
2226,61
5396,95
2014,6644
5396,104
5396,109
5396,110
2013,6679
2014,6647
2226,75
5396,108
5398,51
2226,78
5396,111
5396,117
2013,6684
5396,118
2226,84
5396,116
2013,6689
2226,87
5396,126
2226,89
2226,92
5396,127
2226,95
5396,128
2226,97
5396,132
2013,6705
5396,138
5396,135
2014,6676
2226,104
5396,141
2226,108
2014,6679
5396,140
2014,6684
5399,51
2226,111
2228,51
2226,118
2226,117
2014,6689
2226,126
2226,127
5396,166
2016,6642
2226,132
5396,170
2230,12
2226,135
5396,171
5396,177
2226,141
5400,51
5396,176
5396,179
2230,23
5396,186
5396,190
2230,29
2016,6676
2226,170
2016,6679
2226,171
2016,6684
2230,52
2230,51
2226,177
2016,6689
2226,179
2230,59
2226,183
5352,1585
2230,61
2016,6700
2226,190
1958,8500
5403,12
5403,17
2230,76
2230,75
2230,78
2230,82
2231,51
2230,84
5403,23
5403,28
5403,29
2230,89
2230,92
2230,95
5403,35
5403,40
5403,41
2230,97
2230,104
2230,108
5403,52
2230,110
5403,50
3075,6684
5403,51
2230,118
1960,8487
2230,117
5403,61
5403,58
5403,59
2230,126
3075,6700
2230,127
2230,132
2234,12
5403,75
2230,135
2234,14
2230,140
5403,84
2230,141
2019,6684
5403,89
2019,6689
5403,86
5403,92
5403,97
2234,29
5403,95
2235,5
2234,35
5403,108
5403,109
3078,6647
2235,12
2230,170
5403,110
2230,171
5403,111
5403,117
2234,52
2234,51
2235,23
5403,118
2234,58
2235,29
2234,59
2230,186
5403,126
5403,127
5403,132
2230,190
2235,36
3078,6676
5403,135
5403,140
5403,141
2234,76
2234,75
2234,78
3078,6684
2235,51
2235,50
2235,52
2235,54
2235,59
2234,89
2235,58
2234,92
2235,61
2234,95
2235,67
2234,104
5403,166
2235,75
3080,6647
5403,170
2234,108
2235,76
5403,171
2234,110
3080,6655
2236,51
5403,179
2235,84
2234,118
2235,87
2234,117
2235,89
2235,90
5403,186
2235,92
2234,126
2235,95
2235,97
5403,190
2234,127
2234,132
2023,6676
2234,135
3080,6679
2235,108
3080,6684
2234,141
2235,110
2237,51
2235,118
2235,121
2023,6694
2235,127
2235,126
2235,128
2235,131
2235,132
2235,135
1966,8476
1966,8475
2234,170
2235,138
2235,141
2234,171
2235,140
1966,8482
2238,51
2234,186
6254,6644
2234,190
2235,171
2235,170
2235,176
2235,179
2235,181
2235,186
2235,190
6254,6679
6254,6684
5411,51
2240,51
6254,6700
2191,1585
2241,51
5363,1585
2028,6676
2243,12
5413,51
2028,6684
2243,23
2243,29
2243,35
6199,8476
6199,8475
6199,8479
2243,51
2243,50
2243,52
2243,54
2243,59
2243,61
5365,1585
2243,75
2245,12
2243,78
2245,23
2243,84
2243,87
2243,86
2243,89
2243,92
2243,95
2245,35
2243,97
2243,108
2243,110
2245,51
2245,52
2243,117
2243,118
2245,59
2243,127
2243,126
2243,132
2243,135
5417,51
2245,76
2243,141
2245,78
2245,87
2245,92
2245,95
5419,12
5419,17
2245,108
2243,170
2245,110
2247,51
2243,177
5419,23
5419,28
5419,29
2248,29
2243,186
2245,127
5419,35
2243,190
2245,132
2245,135
2245,141
5419,52
2245,140
5419,50
5419,51
2248,52
2248,51
2248,54
5419,61
5419,58
5419,59
2248,59
2245,155
5419,66
5419,71
5419,76
2250,12
5419,75
2248,75
2248,78
5419,78
2245,170
5419,84
2249,51
5419,89
2250,23
5419,92
2248,87
2248,89
2248,92
5419,97
5419,95
2248,95
5419,108
5419,109
2248,108
5421,51
2248,110
5419,110
5419,116
5419,117
2250,51
5419,118
2248,118
2250,59
5419,128
5419,126
2248,126
5419,127
5419,132
2248,127
2248,132
5419,135
5419,140
2252,12
2248,135
5419,141
5419,138
2250,75
2248,140
2248,141
2250,89
2250,92
2252,29
2250,95
2250,97
5419,166
2252,41
2248,170
5419,170
2250,108
5419,171
2250,110
5419,176
2252,51
2250,117
5419,186
2252,61
2250,126
5419,190
5374,1585
2250,127
2250,132
2252,71
2250,135
6209,8482
2252,78
2250,141
2253,51
5424,51
2252,86
2252,90
2250,170
2252,110
3039,8482
2254,51
2250,179
6209,8520
2250,190
2252,127
2252,132
5426,51
2252,141
2255,51
5428,12
2257,12
2252,170
2257,23
5428,23
5428,29
2257,29
2252,183
2257,35
5428,35
2257,36
2257,41
2257,51
5428,51
2257,50
5428,52
5428,58
2257,52
2257,54
5428,61
5428,59
2257,61
2257,71
2045,6647
2257,75
5428,75
5428,76
2257,76
5428,82
1986,8479
2257,78
6214,8487
2258,51
5428,89
5428,90
5428,87
6214,8489
2257,86
2257,89
5428,92
5428,97
2257,92
5428,95
2257,95
2257,97
5428,104
5428,109
2045,6676
5428,110
5428,108
6214,8515
2257,108
5428,111
2257,110
5428,117
2259,51
2045,6684
5428,118
2257,117
2045,6689
2257,118
5428,126
5428,127
2257,127
5428,132
2257,132
5428,135
2257,135
5432,12
5428,141
2258,108
2257,138
2257,141
2260,51
5432,23
5432,29
5432,35
2211,1585
5432,36
2048,6644
5428,170
2258,135
5428,171
2257,170
2261,51
5432,51
5432,52
5428,176
2257,177
5428,186
5432,59
5428,183
5428,190
2257,186
2257,190
5432,71
2048,6676
5432,75
1990,8476
5432,80
2048,6684
2262,51
5432,89
5432,92
5432,97
5219,6700
5432,95
5432,104
2264,12
5432,109
5432,110
5432,111
5432,117
2263,51
5432,118
5432,126
5432,127
5432,128
6279,6643
5432,132
6279,6642
5432,138
6279,6647
5432,141
5435,51
2264,51
6279,6664
5386,1585
6279,6676
5432,166
5432,170
6279,6679
6279,6684
1993,8476
5432,176
5432,186
2264,89
2264,92
5432,190
2264,95
2264,108
5437,51
2267,23
2264,117
5225,6642
2264,127
2264,135
2264,141
2267,51
2267,59
5225,6679
5225,6676
2055,6644
5225,6684
2268,51
5225,6689
2267,92
6225,8479
2267,108
2055,6683
2269,51
2267,117
2267,118
5225,6734
2267,127
2267,141
3055,8482
2270,51
5229,6642
5229,6643
5229,6647
5442,51
2267,170
2267,179
2267,186
2267,190
5229,6679
5229,6676
2273,12
5229,6684
5443,51
2273,23
5229,6689
5229,6694
2273,51
2273,52
2273,59
2061,6642
2273,75
2274,51
5396,1585
2273,92
2273,95
2061,6676
2061,6679
6503,51
2273,110
2275,51
2061,6684
2061,6689
2061,6694
2273,127
2274,97
2226,1585
2273,132
2277,12
2273,141
2278,12
2273,170
2277,51
2277,52
2277,59
2278,35
2065,6647
2277,75
6234,8482
2275,141
2278,52
2278,51
2277,84
2277,89
2277,92
2277,95
2277,97
2065,6679
2277,110
2279,51
1008,6684
2065,6684
2277,117
2278,92
2277,127
2277,126
2278,95
2230,1585
2277,132
2277,135
2277,141
2280,51
2278,140
2277,170
2278,141
2281,51
2277,179
5453,29
5403,1585
5453,35
2277,186
2277,190
2069,6643
2065,6767
2069,6642
2069,6644
2069,6647
2278,170
5453,50
5453,51
5453,52
2282,51
5453,59
2278,186
5453,66
5453,75
2069,6676
2069,6679
2283,51
2069,6684
2069,6689
5453,95
5453,97
2234,1585
2069,6700
2069,6702
2069,6705
2071,6647
5453,110
5453,118
2284,51
5453,117
5453,126
2235,1585
5453,132
2286,12
2071,6676
2013,8479
5453,141
2071,6684
2071,6689
2286,23
2286,50
5453,179
2286,52
5453,176
2286,51
5453,186
2286,59
5453,190
2286,61
2286,78
2287,51
2286,89
2286,92
2286,95
2289,12
2286,108
2286,109
2289,23
2286,118
2289,29
2289,35
2286,127
2289,36
5295,5154
2289,38
2289,41
2286,135
2286,141
2289,51
2289,50
2289,59
2289,58
2077,6644
