award_1,award_2
4039,6510
8087,12101
8087,12094
4042,6423
6157,6396
6157,6404
4038,6561
3861,12054
6157,6414
3861,12057
6157,6423
3861,12063
6157,6421
3861,12060
1924,6573
4011,7417
4012,7383
6157,6431
3861,12070
4038,6581
1929,6426
4042,6458
4014,7329
3861,12072
4045,6374
6159,6377
6157,6440
4042,6470
4039,6573
3861,12089
4044,6421
4012,7412
4045,6389
4012,7417
6159,6396
6126,7419
4039,6584
6160,6368
8271,6468
6160,6374
1926,6556
4039,6586
4011,7461
6160,6376
1925,6591
4011,7459
6160,6381
6128,7373
4046,6380
4045,6408
4044,6439
6160,6379
4039,6605
5976,12091
4045,6423
4046,6389
6153,6608
6128,7390
4046,6396
6160,6396
8243,7356
4011,7485
6159,6431
6161,6375
1932,6403
6160,6408
4012,7459
6160,6421
4012,7477
4046,6423
6158,6487
6128,7417
6160,6424
1930,6485
6160,6429
6161,6401
1934,6370
4048,6374
8070,12758
1934,6372
6161,6404
4014,7432
6161,6409
1934,6376
6160,6439
6161,6415
4048,6381
6161,6414
3865,12055
4046,6444
1934,6379
4011,7527
3865,12058
8047,13490
6161,6418
3865,12057
6161,6422
3865,12063
3865,12060
8246,7329
4012,7509
8093,12073
6161,6424
3865,12070
3865,12071
1934,6396
4046,6457
4048,6396
4046,6458
6161,6432
6161,6438
1935,6372
6161,6440
4046,6470
6160,6471
4048,6413
8093,12085
6161,6445
1935,6382
8093,12097
8093,12098
3865,12089
8093,12092
8093,12094
1934,6421
1934,6424
1934,6423
1934,6432
6160,6496
6164,6371
6161,6470
1931,6531
4048,6439
4049,6419
6126,7569
4048,6457
6161,6494
4051,6373
4049,6432
1937,6373
4049,6438
1937,6375
1937,6374
4051,6381
1937,6379
1937,6381
6161,6515
1937,6385
4018,7416
4051,6396
8272,6620
6128,7544
6161,6527
4047,6523
4021,7335
6166,6375
6164,6436
1934,6496
6166,6373
1938,6374
6166,6379
1935,6468
4051,6412
1931,6597
6166,6381
1938,6382
4052,6386
6166,6385
4051,6421
1937,6419
1936,6449
1937,6421
1938,6389
1937,6423
6160,6580
1938,6395
6166,6404
6167,6373
1937,6431
6167,6370
4047,6561
1937,6435
4048,6527
1937,6439
6167,6385
6160,6601
4019,7440
4053,6386
6161,6574
6166,6419
1939,6385
1938,6415
6166,6423
1938,6417
4053,6388
6166,6421
1938,6421
8243,7571
4053,6398
6166,6431
6161,6591
6166,6435
1940,6370
1940,6369
6166,6440
1938,6434
6164,6501
6166,6439
6135,7398
1940,6376
1938,6437
1940,6378
8248,7434
1940,6380
4018,7500
1938,6444
1940,6381
1938,6447
1939,6419
1935,6543
4050,6519
4048,6580
1940,6396
6167,6433
4018,7515
1934,6584
6167,6435
1940,6404
4019,7493
1938,6467
1939,6440
6167,6448
1940,6414
1940,6421
1940,6424
6139,7329
1940,6427
1940,6431
4056,6374
1935,6586
1938,6502
1940,6439
6169,6414
4056,6380
1940,6445
8253,7355
4056,6389
1935,6602
6169,6425
6167,6487
6167,6491
4056,6396
6166,6526
4025,7360
4057,6369
4019,7553
4054,6465
1939,6497
4057,6378
1940,6470
8284,6418
4019,7558
4053,6504
4019,7559
4056,6417
4019,7562
6167,6510
4056,6421
4050,6608
5988,12064
4057,6388
6171,6397
4056,6426
4052,6550
4056,6423
5988,12074
4026,7360
1937,6584
3874,12074
4058,6370
6136,7487
1939,6527
4057,6404
1938,6561
4057,6411
6168,6504
4056,6439
4057,6414
1943,6413
4026,7373
4056,6444
4020,7566
4051,6605
4058,6385
5988,12091
8279,6606
6168,6517
4052,6578
6135,7538
4026,7387
4057,6426
6172,6397
4058,6399
4057,6431
4026,7390
4058,6398
4056,6470
8284,6468
1940,6527
6169,6500
4054,6533
6167,6573
6172,6418
4057,6445
4026,7412
1943,6449
8287,6397
4057,6454
4057,6455
4021,7568
4052,6608
4021,7574
4022,7543
6167,6584
4026,7417
1945,6394
4057,6462
6167,6586
6168,6559
4028,7373
8287,6418
4026,7436
6169,6536
1945,6412
4026,7443
4022,7568
1939,6605
4058,6455
1939,6607
4022,7572
4053,6608
4057,6494
4026,7459
4057,6497
1940,6593
4025,7499
6173,6449
1940,6602
4028,7412
4058,6487
4028,7415
4028,7416
4057,6517
4058,6491
8287,6468
1940,6613
4057,6526
1943,6522
1948,6367
1948,6369
8282,6620
1948,6374
6169,6592
4058,6504
4026,7499
1943,6537
8284,6578
1948,6384
6176,6388
1948,6385
6176,6394
1948,6387
1948,6390
4026,7515
1949,6367
4030,7390
6177,6375
6177,6374
1948,6404
6145,7368
1948,6408
4026,7527
1948,6410
6177,6381
1948,6411
1948,6414
1949,6385
1948,6415
1949,6384
6173,6514
1949,6387
6175,6455
1949,6390
1948,6423
1948,6426
4030,7417
1949,6396
1948,6431
6177,6404
1949,6408
4057,6596
6177,6419
1948,6445
4028,7500
6177,6423
4058,6573
1949,6418
1950,6390
4031,7417
1948,6458
8287,6563
4030,7459
6178,6405
4030,7461
6177,6440
8259,7434
6179,6385
1948,6473
8287,6578
6174,6548
6176,6483
6176,6488
1952,6368
1948,6494
6176,6502
4031,7461
4031,7459
4060,6565
6176,6504
6178,6446
1952,6386
1952,6388
4059,6608
1951,6418
6178,6454
4066,6396
8089,12758
6179,6433
8289,6553
4031,7485
1952,6398
6178,6462
8290,6523
6181,6368
1952,6400
1952,6403
4032,7465
4065,6440
8112,12061
1952,6412
8111,12101
4060,6604
4029,7568
6178,6491
1954,6368
6181,6400
4067,6404
8112,12085
4068,6378
1951,6468
6178,6510
4067,6414
8260,7512
1954,6388
4063,6549
1952,6451
8112,12097
8112,12098
1954,6398
1954,6400
1955,6369
4032,7521
1948,6588
1955,6370
1954,6403
1950,6527
4069,6378
4067,6441
6183,6383
4069,6388
4063,6578
1952,6485
6149,7448
1952,6487
6184,6374
6184,6373
4032,7547
4069,6404
6184,6375
4068,6441
6184,6381
4064,6563
6184,6379
1952,6504
4069,6414
8266,7383
4063,6599
6178,6573
8260,7566
8056,13890
6183,6425
6153,7352
6184,6402
4064,6589
1955,6430
3888,12054
3888,12057
3888,12058
4064,6599
4071,6388
6184,6421
4070,6420
8297,6449
6183,6450
3888,12060
4069,6454
8262,7547
4064,6608
1954,6485
1957,6392
3888,12070
4071,6398
8266,7431
3888,12072
1954,6504
3888,12089
1957,6419
8293,6606
8296,6514
8267,7419
4039,7419
6187,6377
6149,7555
1959,6373
6153,7429
6149,7557
1957,6441
1957,6440
1959,6381
4069,6504
6180,6606
8297,6514
6155,7388
6181,6581
4069,6520
1959,6399
8267,7465
4074,6370
6151,7524
1959,6404
4039,7465
8266,7503
1958,6441
6188,6385
6187,6416
1959,6423
6183,6556
1959,6435
4068,6593
1959,6445
6187,6451
1959,6453
6153,7509
6152,7546
4074,6428
4044,7355
4074,6426
6183,6592
6183,6594
6187,6475
6153,7536
6187,6488
4076,6397
6184,6584
6153,7544
1962,6401
1962,6406
1962,6410
4076,6418
6187,6512
6184,6605
1962,6415
4039,7569
4076,6422
1962,6419
6187,6519
8305,6406
6192,6374
6192,6373
6192,6372
6155,7518
1959,6529
1963,6404
1962,6438
4078,6379
6192,6381
1962,6440
6192,6385
1962,6444
4078,6381
4074,6510
8305,6419
4071,6608
8306,6396
6192,6402
8305,6438
1964,6402
8299,6620
1965,6372
8124,12056
1962,6468
4042,7521
4076,6468
8124,12052
1963,6445
1965,6382
4079,6388
6192,6421
1964,6418
8124,12061
4076,6480
4078,6424
1963,6456
6187,6587
1958,6615
8124,12082
8124,12075
1964,6436
4078,6439
6192,6439
8124,12085
8124,12086
4079,6414
6159,7475
8124,12094
6191,6489
1964,6451
8124,12099
4079,6426
4079,6431
4044,7521
1963,6494
4050,7336
6187,6623
1964,6468
1965,6438
8308,6413
3898,12054
4081,6386
6191,6512
3898,12064
4081,6388
1964,6483
4080,6426
1963,6517
4079,6455
4081,6398
1964,6487
3898,12069
6196,6374
8308,6439
4078,6496
4080,6431
6190,6558
1963,6526
1964,6498
1963,6528
4045,7521
6191,6530
4079,6473
1964,6504
6196,6385
4050,7376
4050,7373
1967,6412
1930,7568
4079,6483
4077,6550
6190,6583
1963,6549
8306,6523
8127,12082
6160,7521
8311,6379
8311,6381
8127,12085
1969,6373
4077,6563
1967,6437
4050,7398
1963,6563
4080,6473
3900,12058
8280,7355
6196,6421
8127,12099
4050,7412
6190,6607
6196,6423
3900,12064
4083,6397
8127,12109
4046,7547
1970,6369
1970,6375
6162,7499
1970,6379
8311,6421
1968,6444
1970,6381
4081,6483
6198,6390
3900,12091
1970,6387
4050,7448
4053,7352
4077,6608
8311,6424
4084,6397
8308,6527
6199,6373
1970,6397
4048,7521
6198,6407
6199,6375
6199,6374
6199,6381
8311,6439
6199,6379
4081,6504
4084,6418
4078,6601
1970,6418
1970,6419
1970,6421
1970,6424
4086,6367
4055,7329
1970,6432
4086,6370
4083,6468
1971,6405
4086,6373
6200,6376
1966,6559
6200,6381
1970,6440
6200,6379
6199,6421
6198,6452
4086,6387
4086,6385
6199,6418
3845,13863
6193,6608
1743,13490
4081,6549
1972,6396
4050,7515
6199,6431
6017,12073
1973,6368
1972,6402
6199,6440
4081,6563
6199,6439
8308,6601
4084,6468
4086,6412
1969,6504
4051,7499
1972,6415
1971,6446
1973,6388
6200,6424
1971,6454
1972,6423
4050,7544
6017,12101
4086,6426
1973,6398
4086,6435
6199,6468
1973,6400
4081,6589
6202,6379
6200,6439
4081,6598
4081,6599
1972,6444
4055,7412
6196,6582
4052,7509
14389,14747
4081,6608
6200,6456
1972,6456
6167,7487
4089,6369
4055,7429
6195,6624
1972,6477
3906,12063
1971,6510
3906,12064
6202,6421
4086,6487
3906,12069
3906,12070
4053,7518
1969,6584
6200,6496
6202,6439
4089,6404
4089,6411
1971,6535
4089,6414
3906,12091
4083,6604
1976,6383
3906,12089
4086,6510
4090,6386
1973,6485
4089,6431
4053,7544
1976,6401
1972,6529
4059,7373
4059,7376
6205,6385
6167,7569
4084,6604
6174,7355
8078,13863
1976,6425
4085,6595
4059,7412
1976,6450
4086,6573
4059,7417
6200,6580
1972,6581
4059,7429
4089,6504
4086,6603
8321,6385
1976,6482
6205,6452
4060,7412
4089,6519
4063,7329
4059,7461
4089,6534
4058,7497
1976,6509
12309,13861
4089,6550
8284,7574
4057,7546
4064,7329
12309,13882
4059,7485
8139,12080
1981,6370
1981,6373
8323,6381
1976,6536
4060,7477
4063,7383
4090,6549
4090,6550
1976,6554
4059,7515
1976,6556
4058,7550
4090,6563
4089,6593
4064,7373
4063,7407
4063,7412
4095,6421
8141,12061
4094,6455
4089,6608
4064,7383
4058,7569
4090,6578
6205,6548
6211,6372
4066,7335
4063,7429
1981,6435
1976,6592
1976,6594
4095,6439
4091,6563
4061,7501
4064,7412
1982,6422
4091,6578
4062,7478
4061,7515
4063,7451
4064,7429
4062,7503
1982,6455
4062,7515
8327,6368
4096,6465
1981,6496
1983,6438
1985,6378
6211,6457
4063,7509
4096,6484
6214,6368
1982,6488
4094,6549
8327,6398
1982,6494
8327,6412
4094,6563
4066,7429
4099,6416
4064,7509
8087,13863
6214,6400
4096,6523
8087,13873
6214,6412
1987,6382
4094,6608
4064,7536
1987,6392
4101,6398
4064,7544
8060,14746
4102,6378
6216,6385
8327,6485
1981,6601
1981,6603
4071,7352
4101,6426
1984,6517
4103,6369
1987,6429
1989,6367
4102,6404
6217,6373
1989,6373
1989,6372
4097,6563
1987,6438
4071,7373
4103,6378
4102,6414
1989,6385
4101,6455
4098,6545
6214,6485
6211,6578
1989,6390
1989,6393
1989,6399
6212,6556
8330,6439
1990,6367
4099,6523
1990,6370
4103,6404
4070,7427
1989,6402
6214,6504
1990,6374
3920,12081
1990,6376
1987,6468
1988,6440
1990,6379
1990,6381
1990,6384
1989,6415
4072,7381
1990,6385
4066,7568
3920,12091
1990,6387
1990,6390
1990,6389
4066,7572
4071,7417
8330,6457
1990,6393
6211,6615
4066,7574
4103,6431
1990,6402
4073,7366
6212,6592
1989,6437
1990,6408
8295,7570
4070,7469
1990,6415
8295,7566
1990,6417
1990,6422
4105,6394
1990,6421
1990,6424
1990,6423
1990,6426
8149,12101
1990,6432
4103,6462
1990,6439
6220,6385
6218,6449
1990,6452
1990,6458
8150,12101
4100,6590
4102,6526
1993,6375
1993,6374
1993,6379
8334,6419
1993,6381
8330,6537
8299,7512
1993,6389
4073,7446
4105,6455
1994,6369
1990,6496
4103,6526
4107,6403
1994,6374
1993,6404
1994,6373
4077,7336
1990,6502
1993,6410
1993,6415
1993,6414
1993,6421
1993,6423
1993,6424
1994,6393
4073,7481
4072,7515
1994,6399
4102,6596
1993,6439
1994,6408
6223,6378
1993,6441
8299,7566
4075,7440
1994,6415
4102,6602
8154,12069
8330,6615
4072,7545
1993,6458
6223,6404
4107,6465
1994,6431
4077,7398
1994,6435
4103,6596
1993,6473
8154,12091
4076,7440
4107,6485
1994,6453
1994,6458
6225,6375
10247,12758
1990,6588
1993,6497
4075,7493
6225,6381
1994,6473
6225,6385
1994,6477
8156,12073
1993,6516
4106,6549
6225,6396
6225,6402
4112,6370
1998,6370
1998,6374
1997,6406
6194,7373
1994,6506
4112,6385
6220,6573
6225,6423
6225,6421
8156,12094
4076,7509
4081,7352
1995,6488
1998,6397
1998,6402
4075,7553
1998,6404
8156,12110
1994,6529
1995,6498
4106,6599
1998,6409
4075,7558
4075,7559
4081,7373
1998,6414
4075,7562
1998,6419
1994,6543
4113,6394
1998,6424
1998,6423
4081,7388
6228,6374
1998,6432
6228,6372
6223,6526
4076,7553
6228,6375
6228,6381
8311,7347
4076,7558
4077,7527
1998,6440
1998,6439
1996,6501
6228,6379
4082,7375
6228,6385
4076,7559
4077,7538
4112,6453
4081,7412
8335,6620
6194,7450
6228,6402
6193,7485
1994,6584
6228,6404
4078,7521
6229,6385
6228,6421
6228,6419
6228,6423
4115,6398
6228,6431
4082,7427
6228,6440
6228,6439
4115,6412
4109,6599
6223,6602
4082,7451
8308,7521
6193,7544
4084,7394
2003,6370
2003,6375
6194,7527
2003,6379
3934,12060
3934,12057
3934,12058
2001,6449
2003,6389
3934,12068
3934,12065
2003,6392
4081,7509
4115,6455
4081,7515
8346,6374
2003,6397
4081,7518
1798,12758
2003,6404
2004,6376
4117,6418
2003,6414
3934,12089
2003,6418
2003,6424
4115,6487
4118,6397
8346,6408
2005,6375
4119,6374
2003,6439
4087,7373
2005,6381
2004,6411
2003,6445
8346,6423
2005,6385
1998,6602
4112,6605
4119,6389
2001,6514
4119,6396
2001,6522
2006,6369
4119,6405
2006,6372
2006,6375
4088,7373
2001,6537
4087,7407
2006,6385
2006,6387
2005,6421
4088,7386
4089,7352
4088,7383
4119,6423
8346,6458
2004,6458
2005,6429
6235,6370
6230,6525
4118,6468
6228,6593
2006,6404
4089,7373
2006,6414
4088,7412
4088,7417
2006,6424
6205,7335
2006,6432
2008,6370
2008,6372
2008,6374
2008,6376
4088,7431
2006,6439
2008,6379
2008,6381
4088,7436
4121,6416
2008,6385
4119,6484
2008,6387
2001,6606
4091,7356
12337,13878
4117,6549
2004,6524
2008,6402
6236,6404
4117,6563
4086,7521
6236,6414
4091,7373
4116,6598
4117,6578
2008,6421
2008,6424
2008,6423
2008,6427
4119,6523
4092,7360
2008,6432
2010,6370
2008,6431
4092,7366
4121,6465
4090,7429
2010,6375
2008,6440
2008,6439
4124,6380
2010,6381
4124,6384
4091,7407
4091,7412
4088,7503
2008,6452
4093,7352
4124,6398
2010,6396
4124,6396
6239,6373
2010,6397
4088,7515
4091,7429
2011,6373
2011,6375
2011,6379
2011,6381
2011,6380
2010,6414
6232,6606
2011,6385
2010,6418
2009,6451
2010,6421
4124,6426
2010,6424
2009,6455
2010,6423
4089,7509
4121,6523
4091,7450
2011,6396
4089,7518
4126,6372
2010,6432
2012,6370
2008,6496
2010,6435
2012,6373
4120,6565
6236,6504
2010,6439
6208,7376
4094,7373
2011,6419
2011,6418
2011,6421
2012,6390
4093,7412
4125,6421
2012,6392
2011,6423
4090,7509
4124,6455
6236,6520
2011,6427
2009,6488
2012,6399
2011,6435
4124,6470
2010,6468
2013,6374
2009,6498
2013,6376
2013,6379
6205,7497
2011,6440
2013,6381
4092,7469
2012,6415
4094,7412
4127,6386
2012,6419
4126,6421
2011,6452
2011,6455
6204,7546
2012,6423
4124,6488
4124,6498
4091,7518
2013,6402
4094,7429
2011,6468
2012,6440
6205,7531
8349,6599
8349,6608
6240,6453
6240,6452
2013,6421
4091,7538
2008,6580
2013,6424
2012,6458
2013,6427
6205,7550
2012,6461
4094,7459
2013,6432
2013,6435
2015,6372
8357,6375
6240,6474
2013,6439
4094,7461
2012,6473
4098,7352
8357,6401
2015,6395
4093,7515
2015,6396
4094,7485
6244,6381
2013,6471
4130,6381
6243,6418
4129,6421
8352,6589
4094,7515
4131,6372
2015,6434
2015,6437
6242,6476
6062,12055
6062,12054
6062,12058
6062,12057
2015,6447
6062,12063
4097,7440
4130,6421
4094,7544
6239,6584
2011,6584
2017,6403
8360,6381
4132,6372
2015,6467
4131,6409
2015,6468
6062,12089
2011,6613
8361,6375
4131,6437
4132,6409
4097,7493
2012,6601
4095,7568
4097,7515
2013,6580
6248,6373
4127,6589
8360,6439
6243,6549
4134,6396
2017,6487
8358,6519
6247,6426
6243,6550
4135,6368
2015,6561
6243,6563
4097,7558
4097,7559
4097,7562
4136,6369
6250,6373
4135,6403
8364,6381
6250,6385
6217,7419
8364,6396
3953,12071
2023,6367
8365,6376
8365,6379
6245,6563
2021,6436
8365,6380
8365,6381
6246,6537
2023,6385
2023,6387
4102,7475
6245,6578
4106,7352
8124,13862
2023,6390
4133,6519
8365,6396
6252,6369
8364,6439
3954,12074
4104,7429
2023,6407
12352,13887
8365,6424
4138,6386
4138,6391
4135,6485
8365,6421
8365,6423
4137,6421
4103,7475
4104,7450
8182,12101
4138,6397
6252,6404
4137,6439
8365,6439
4139,6381
2021,6502
4139,6379
4136,6475
4106,7412
4138,6418
2021,6515
2023,6452
2023,6456
8335,7391
6252,6431
6254,6373
4106,7431
4106,7429
8365,6470
4134,6561
6254,6381
2023,6477
6254,6385
8368,6386
4139,6421
8368,6397
4136,6512
4133,6608
6252,6462
4140,6398
4136,6519
6248,6584
4106,7450
2027,6369
4104,7515
2027,6370
6255,6376
6255,6381
2027,6374
2025,6436
4136,6534
8363,6563
6255,6380
6255,6379
2025,6438
2027,6379
4109,7375
2027,6381
6248,6605
8368,6418
4108,7412
8363,6578
6255,6396
6256,6373
4142,6372
2028,6372
4108,7429
2027,6402
2028,6374
2027,6404
2028,6375
2028,6378
2027,6408
8363,6608
8129,13863
6255,6421
6250,6573
6255,6424
6252,6517
2027,6421
6255,6423
4140,6451
4108,7450
8371,6374
4106,7515
6252,6526
8368,6468
8129,13878
2027,6431
4143,6372
2029,6368
