participant_1,participant_2
4018,7073
4215,974
1421,5672
1309,952
4231,485
3611,3318
3594,3848
3989,7985
766,1406
4053,6005
1311,898
3521,6116
795,517
6063,1052
8223,7817
3338,3612
8025,5775
1236,3240
825,7792
5969,3978
7770,5492
5657,5456
3612,3318
3863,3732
442,3289
549,8164
6058,1226
1324,527
3693,816
3845,4301
1322,594
6906,7720
3612,3338
1055,684
7029,3904
768,1390
5992,3289
4231,535
698,3564
8369,3328
6337,791
1316,792
6060,1183
5449,3740
5563,214
362,5802
4133,3594
512,1157
1386,6831
3328,3975
5789,1415
783,952
1052,809
1411,6068
1390,6719
503,1451
512,1174
5313,7994
6879,409
3808,5497
5724,3450
270,490
1034,1390
541,290
3955,952
1438,5253
6863,925
6195,5253
416,4176
5634,6263
5704,4094
7951,8164
6108,7951
3449,270
5634,6262
952,3955
3289,5236
3325,4120
635,5591
979,3119
5634,6276
5531,1277
3740,7650
7838,3490
6235,4037
4079,5336
3611,3459
5797,1235
633,5670
4053,6144
5704,4115
647,5236
6348,535
5649,5824
4058,5993
3274,5724
3989,8142
3978,292
3967,635
4231,642
5563,316
5660,5500
4081,5297
5634,6311
5897,6349
1239,3296
6347,594
3969,588
6344,698
5813,773
3801,5802
1386,6944
952,4015
716,3140
1231,3568
6058,1386
5799,1226
6058,1390
6958,6257
5582,7954
1302,1375
3740,7720
374,5573
3187,292
5724,3569
1438,5362
3261,6195
12342,3218
527,839
698,3732
1421,5900
6879,549
5567,264
4124,4038
3538,5824
1308,1225
3338,3831
979,3234
6068,1129
5972,4103
3176,673
1044,1236
635,5724
1044,1240
8292,5924
3689,1166
1074,312
3732,8027
6080,781
3859,4094
5799,1298
1240,3377
569,7795
5449,3975
3594,4133
646,5412
692,3989
436,3738
5985,3755
4081,5433
5449,3988
3967,781
5463,3564
6345,796
5812,936
3416,1488
1235,3564
6326,1390
3711,539
440,3635
4215,1304
715,3307
6358,8602
4071,5775
5378,6224
3689,1236
518,1235
7770,5797
5657,5770
3612,3627
1478,4249
5460,3689
5675,5217
4317,6358
3692,1156
790,1006
549,286
4081,5481
3740,7865
3095,3289
4081,5489
8630,3740
270,753
4249,286
3740,7871
3599,4053
4009,7725
451,3338
3443,698
3095,3297
3345,3740
1078,290
5449,4053
5802,1308
1226,3904
5393,5802
5270,1421
3955,1228
1052,1110
259,1119
512,1468
3428,1185
270,781
4157,3169
783,1270
4329,6034
3724,8404
270,792
5325,7929
792,998
539,649
1341,364
5449,4089
1421,6080
3969,821
5983,3928
4220,1235
1438,5563
785,1233
5991,3689
3095,3353
5985,3878
261,1098
3083,3728
5296,668
3612,3724
374,5799
5356,7009
5802,1375
3740,7951
3296,5331
5457,3880
5909,6253
5991,3711
5573,290
5414,5220
920,5269
825,8215
374,5813
535,824
5457,3889
5985,3908
705,3754
6259,3611
5991,11919
5378,6346
7951,310
789,1156
4250,362
3274,6043
3297,5332
1236,3689
251,1465
11919,8404
5447,4231
1219,4231
6088,753
1228,3955
6005,3325
785,1308
6091,668
1256,3095
549,8630
6005,3338
5220,3097
8391,3096
3693,1282
1055,1143
6013,3095
3338,4106
5296,762
783,1399
5405,5573
1420,6231
5567,555
5563,684
5575,312
5573,374
3564,5308
3801,6155
6068,1411
5651,6152
1156,6231
5473,3478
5287,1050
5924,5885
3880,3711
3874,3906
3095,3478
3449,698
3478,7994
3371,3118
6068,1438
4249,484
3975,792
4089,5449
5866,7720
6270,3387
3449,727
3428,1377
3561,5449
5943,5336
549,517
1311,1474
1236,3801
451,3564
971,3833
705,3889
6113,8273
261,1270
659,5317
310,7951
4079,5798
1230,4009
4249,535
716,3564
6991,5648
893,6270
5924,5956
3891,3450
8094,4231
6904,8352
364,6293
3989,416
5473,3564
8766,7985
3561,5500
6016,3124
792,1230
11922,270
6337,1370
451,3612
5420,5224
5449,4329
292,362
4094,5378
3978,783
3740,8164
6099,572
286,549
6348,1044
3564,5429
1316,1391
5222,3187
6098,608
369,6182
3095,3599
3904,3096
3564,5449
5490,3095
5634,6824
1457,5237
3612,3967
3553,5798
5475,3564
6796,3574
6351,984
792,1283
3723,535
3564,5463
3370,3288
3904,3117
4089,5573
790,1349
6920,7929
3904,3119
3096,3594
7951,549
4157,3474
3564,5473
1497,4016
3564,5475
1256,3297
5317,290
8766,8055
527,1324
6267,3614
292,428
5389,6263
1316,1453
792,1316
790,1379
5460,4064
533,1156
6879,1044
259,1464
7865,3251
5552,1225
3274,6308
5724,4089
1438,5881
5220,3329
1497,4053
4231,1219
12342,3740
796,1225
3574,5224
3904,3190
1055,1399
5481,3459
6255,4038
3490,7838
290,541
1086,442
5950,5308
3459,608
1055,1406
3370,3371
5457,4215
3724,594
292,490
3363,3599
5224,3251
5600,7985
1497,4105
3627,3612
3612,4081
5412,5634
790,1459
1055,1438
3371,3370
4081,5940
1428,6267
11912,757
1183,5675
3889,3711
3370,3416
1441,5870
3564,5599
5924,6167
5841,549
3296,5724
3564,5607
5657,6260
3738,216
1497,12342
3711,1055
3612,4124
727,3449
4089,5724
971,4081
6080,1348
5684,5438
5812,1467
6346,1302
3371,3416
3370,3450
5993,4058
1375,7951
3218,8164
926,5489
668,5296
549,793
6186,6270
6005,3689
5673,5789
5934,5900
5325,8398
535,1240
640,6182
3564,5651
7009,5356
292,594
3289,5992
3978,1021
3904,3318
708,4089
4266,292
1438,6040
3443,1228
9105,5940
5684,5493
3989,692
7954,8856
1322,1456
3831,5599
642,6154
4016,8055
6005,3740
3880,4081
6080,1421
979,3904
6879,1236
1438,6068
6283,3326
3355,3989
821,623
1376,7995
6899,624
4250,824
824,535
5940,5782
1270,3095
3297,5797
3297,5799
7720,7951
5725,4266
5567,974
3844,5237
3370,3552
3574,5420
3975,1185
6222,5253
1098,261
824,564
1005,3145
3906,3325
3612,4250
312,8246
8215,825
3740,286
5924,6314
272,1302
3289,6080
4094,5704
472,3296
1235,4220
5607,7951
1390,7609
6903,549
6879,1290
3297,5841
6013,3564
5500,3083
1330,1283
809,1052
6345,1468
5588,364
6284,3370
1464,5332
549,934
1438,6144
542,1154
3989,792
3612,4290
5492,3351
3370,3599
292,715
5940,5853
3096,3904
3448,1185
3891,3841
535,1386
5318,569
6255,4290
979,4009
3904,3448
6088,1282
3096,3925
3371,3599
929,5573
5675,5909
3811,6349
925,5704
11961,7650
6796,3934
3969,1456
3552,6195
4081,6181
4249,979
3738,436
1390,7689
5405,6107
549,998
1456,5651
6899,760
979,4058
974,4215
3640,3490
3553,6186
5317,659
3626,3925
6013,3662
5486,3616
1349,790
3095,4008
5483,3711
3616,4249
5573,929
1451,5833
5296,1330
286,991
3904,3521
624,6899
5473,4038
7864,3645
5223,3594
3490,8168
3377,3478
3569,5724
5224,3574
1508,4081
5673,6036
208,3422
3370,3711
4106,5475
3740,8630
549,1055
6263,4147
6899,824
3732,698
5220,3725
3370,3732
3449,1283
1070,1304
6224,5378
6005,3975
559,768
8404,3338
5762,3318
3127,3084
5833,1122
5828,1277
4080,6311
1005,3338
3118,3371
5870,8170
1270,3318
6013,3740
1097,490
5434,5312
998,3564
5563,1316
3975,1390
4266,564
3371,3732
5762,3338
3449,1316
1456,5762
6879,1497
398,5799
1183,6043
5412,6016
5296,1420
3474,564
5236,3289
3976,1390
3740,8705
1341,1156
3740,517
569,518
1183,6060
7865,3723
998,3608
4290,8055
1270,3370
5675,6079
3467,803
1177,6260
3448,1396
4015,202
923,5944
5414,5991
3755,8267
3318,5429
6091,1387
6005,4053
7865,3740
5475,4106
3740,549
5690,5634
988,3943
5575,1017
3913,3387
3740,558
3564,6013
7073,3728
1468,5461
549,1183
4249,1183
3891,4089
979,4249
5684,5853
3904,3693
3740,588
6267,4171
310,426
4157,4053
5236,3378
6276,3908
3578,5628
5648,6991
5591,567
4250,1183
5563,1438
4106,5651
5573,1133
3318,5505
4105,5684
549,1236
821,998
4115,5378
290,1078
5762,3478
6296,3307
1183,6168
292,1022
7994,8028
6154,7722
1183,6176
6271,4094
3925,3096
310,8668
3474,698
5500,3428
677,5493
210,3594
3574,5807
5433,5525
6235,5243
934,5736
564,824
3329,5220
1251,4105
5591,635
3325,5346
8246,259
1456,5950
5866,316
5505,3318
5475,4249
995,3863
5248,3095
3187,1456
3594,5223
4101,5894
3096,4282
3378,3732
7951,1231
839,527
5481,4081
3917,3416
1386,8152
3566,6107
6116,789
3363,4215
3218,517
4183,3370
3318,5611
7871,3740
6908,824
3217,558
8246,312
4106,5775
1363,696
5684,6013
5237,3487
5332,539
1373,400
5412,6263
5956,5789
549,1375
3107,4001
825,1015
5847,979
3459,1283
5894,7720
5412,6276
3474,825
3908,3755
5500,3561
7888,3264
5420,6043
3325,5457
3190,1456
6224,5704
7971,698
3740,792
1281,3296
5866,428
5833,1451
4249,1401
3831,6168
5412,6314
6207,6249
1017,3297
5226,3889
6300,3363
936,5812
6012,4103
5325,824
3370,4089
5573,1332
490,3264
3900,4053
3906,3874
5500,3612
202,4015
1390,8152
6904,1055
3307,6068
3904,3948
4103,5972
549,1456
3844,5807
7073,4018
7951,1375
6276,4147
6129,518
559,1156
8404,11919
428,5222
8404,3724
4094,6271
4170,3914
4183,3517
3564,6321
5572,1421
5573,1391
5317,1133
3318,5762
5684,6145
4249,1478
3127,3493
8152,3370
292,1270
4103,6012
8152,3371
1098,866
4101,6079
3479,785
1467,5812
5956,5924
5510,3371
1277,3521
3858,5429
3251,7865
5510,3370
5591,859
3858,5434
824,1183
5360,8025
5690,5985
428,5269
753,3387
320,426
490,3351
3370,4183
5420,6168
952,5420
5953,6043
1456,6187
3651,3682
320,450
1119,259
7689,1390
292,1322
5972,5464
1283,3370
5497,3808
1407,7722
4016,8766
3723,1464
684,5563
567,998
6043,3274
4115,5704
5500,3732
3740,952
5489,4081
5500,3740
6308,3274
6191,6899
1375,549
6191,6904
1474,5675
8164,3083
1106,705
668,6091
5493,3978
3117,3904
5438,5684
4103,6113
5684,6255
1349,1379
5348,292
216,3738
5312,1411
7808,5956
8325,6311
5894,7951
3218,795
1098,984
4105,6074
426,5434
5429,5991
7722,442
1226,5215
1283,3449
7720,8705
3728,1386
4124,5492
1283,3459
6904,1240
3667,3289
5259,3096
1022,3371
1379,500
4016,673
3119,3904
1456,6308
3740,1044
3594,5572
6042,3416
4133,5262
292,1456
4018,640
3307,6296
6230,5799
3740,1070
594,292
7985,549
6113,1242
821,1456
5422,6284
3473,1166
5500,3870
5773,3599
11922,1406
1409,7817
5492,4124
8164,3218
7985,8766
593,354
5237,3844
572,1007
3127,3724
472,4112
5789,3124
3578,6144
11922,1438
1480,5649
4009,979
3641,4194
594,352
5510,3612
825,1390
1017,3632
3754,705
1384,451
4106,6187
3338,5420
6043,3487
824,1438
3338,5429
3387,3913
1106,899
3318,6060
3925,3626
6222,6151
3338,5446
3573,6358
5933,6931
3740,1183
4106,6222
1478,5775
8142,3989
5500,3975
4081,7009
8404,4081
733,4314
3732,1459
5441,5824
3676,3198
3916,3952
5520,3382
5972,5752
698,5409
3581,6148
1282,3693
3581,6154
472,4231
4194,3537
5237,3978
1361,1256
5860,1055
768,3261
3127,3863
3870,5409
4018,824
1379,712
3913,4079
5972,5789
1390,374
3611,5253
698,5448
569,1257
5500,4053
3870,5429
1415,7808
5237,4023
3208,1390
1021,3651
1127,369
4015,952
5853,1322
1386,535
3318,6181
3474,1348
472,4301
1226,5507
312,1074
3318,6195
1225,5552
947,5978
5724,5348
12284,6793
5992,5238
3264,7888
5724,5358
1379,790
1390,451
3325,6005
4194,3641
605,216
3870,5500
4001,1438
6326,3095
5268,3124
5241,3961
3473,1430
5457,5475
768,3377
757,11912
5253,3611
5233,4231
5449,5724
4183,4016
6224,6285
4183,4018
5464,5268
3914,4170
753,3862
4009,1230
7722,821
5881,549
5799,3096
428,5762
5500,4183
3599,5773
6138,789
1110,1021
5762,4266
5724,5449
4016,1055
8602,6358
1235,5360
5969,6068
1110,1052
684,6068
5346,810
3863,5829
1468,6345
1231,5500
4183,4105
1390,575
3612,5422
5332,1257
6058,3328
490,3904
694,5775
4009,1316
5775,3920
5991,5414
320,998
1133,374
3328,6058
5991,5429
4301,472
5237,4231
1390,609
1378,982
5236,4266
3338,5762
947,6154
8168,3490
428,5866
6058,3371
3925,3959
1041,3251
5441,6113
6058,3370
5648,7888
5356,559
5456,5657
4023,926
6060,3318
3479,1408
6960,8190
5991,5460
1309,3145
5724,5543
3416,3370
925,6863
3083,5500
3416,3371
3511,428
5797,3297
3612,5500
5420,6796
1406,8353
4113,6358
7985,1015
1021,3904
3232,899
1387,753
3338,5807
6042,3908
3612,5510
7720,1044
7886,4089
768,3566
4016,1183
1288,3833
3778,374
6043,3892
5985,5690
1399,400
7720,1061
979,5241
3338,5841
5704,6224
5418,6903
575,1390
572,1487
5359,549
5799,3297
8705,3326
785,3083
4061,8027
6154,485
1226,5799
1136,398
753,4081
3667,3863
3925,4057
4124,6080
5866,1236
3880,5457
1394,605
1021,3978
517,3218
3928,3976
484,4249
6155,485
1288,3904
8164,3740
1041,3370
5775,4071
6144,824
327,929
6309,3904
3351,5492
485,4231
5704,6285
8263,684
5900,214
3095,5248
692,6016
3616,5486
3326,6283
6043,3978
575,1456
5870,1150
1390,768
3574,6796
517,3260
14497,12254
3687,3297
5914,7985
3889,5226
770,3612
8028,7994
5775,4106
5985,5789
6321,3564
5684,6931
5881,824
5881,825
3870,5828
5332,1464
3307,6899
6060,3478
5797,3443
6043,4009
3097,5220
5985,5808
3234,979
6263,5389
1316,3095
3096,5259
5978,6036
428,6058
5508,4231
1390,825
7985,1183
6263,5412
4215,3363
3676,3689
7985,1185
1375,1302
1225,5953
6034,4329
5457,5833
3878,5634
1415,8267
6255,5684
4329,8050
6182,7951
5464,5634
5651,8027
4067,7985
3338,6005
8114,5412
5799,3449
974,5567
3862,6155
6068,3307
6154,642
866,733
698,5944
5802,3371
3095,5369
1109,1399
4307,569
619,214
6144,974
5799,3474
3925,4231
5457,5894
5449,6152
3574,6944
8004,684
512,3564
1406,428
5253,4053
5531,3632
1373,1459
6308,4124
6152,773
3892,5296
3693,3273
518,3394
5798,3553
6043,4156
3353,5631
4124,6308
3336,6168
5870,1343
5794,3711
979,5521
1226,6058
6796,5420
3682,3651
5464,5752
6308,4170
6260,5657
6311,4080
5462,5824
4016,1497
4205,3838
792,3145
1235,5797
6138,1264
3676,3858
785,3371
1236,5775
1240,5651
3095,5490
5807,3338
3889,5457
5378,8452
1379,1349
6253,5909
5992,5813
1399,738
5475,5457
6262,5634
1122,1139
6060,3711
617,416
1390,1034
4215,3574
5789,3938
6222,6899
409,6879
1316,3338
6250,6036
6191,7865
6222,6908
435,6079
6263,5634
1298,3904
6138,1322
1055,3251
5991,5885
5870,1441
1399,783
5269,3693
3671,4084
354,428
4193,4301
354,436
7722,1407
5460,5991
1236,5866
974,5797
5722,6068
619,428
785,3479
1379,1459
1497,5997
866,984
8705,3740
4290,1341
5894,770
5217,5378
7650,3684
3412,3994
503,4060
3260,517
1226,6230
261,3377
3955,3552
4053,8705
4053,517
3353,5833
3693,3484
3318,6920
5473,5655
3370,5312
1316,3449
1468,6931
795,3218
4317,535
5286,3264
4058,369
362,259
6144,1240
8000,1052
4053,535
594,1270
4205,4016
6154,947
5646,310
783,3612
4053,549
1438,7886
352,594
6249,6207
3416,3917
7650,3740
362,292
3145,4133
3878,5985
5464,5972
3370,5356
5802,3689
5725,6080
6931,1468
1044,3740
1257,5332
5224,5237
6048,4270
535,3140
588,1497
5222,5307
1236,5991
3689,3676
7844,5943
6080,3289
3517,821
594,1322
7650,11961
1231,6155
4205,4079
6276,5412
356,517
3371,5356
5996,5900
1324,3281
3892,5594
4205,4081
866,1098
3264,490
5807,3574
3240,1236
5724,6152
354,593
3612,6091
517,3740
698,6321
391,7650
1406,766
5220,5414
4317,640
5985,6276
4314,733
3689,11919
7048,6100
698,6344
3948,3904
3142,4315
5262,4133
1122,1405
5789,4194
979,5847
1438,8004
3969,3273
3632,5531
5802,3801
3296,7765
5799,3904
6068,3756
5797,3975
3378,5236
259,3622
7995,1376
6155,1071
1399,1055
5812,3521
3095,5829
3706,3274
5492,5253
891,426
1240,5991
3096,5799
5525,4231
3095,5833
1391,1316
608,1017
3370,5510
6144,1438
4060,503
594,1456
352,770
899,8391
6016,5412
1157,396
5824,3184
3553,8050
352,789
3156,3978
3611,6259
6872,3474
3371,5510
3251,1041
1399,1109
5924,8292
8398,5325
5881,1438
5224,5420
3251,1055
8263,1330
3975,3190
1390,1406
6151,1270
3351,6152
6005,5802
535,3338
5222,5500
1125,1438
6796,5860
3952,3916
1236,6191
1154,542
270,3370
270,3371
5752,5464
3261,768
5360,1235
3259,833
5217,5675
8025,549
5829,3095
8705,4053
974,6144
4089,7886
12284,7788
374,8363
5359,1282
1390,1445
1236,6222
363,518
6276,5634
3687,3975
5828,3145
792,3611
4053,824
5798,4079
3506,1401
6187,210
3978,3156
270,3416
6182,369
1156,533
3888,5953
781,3967
3711,3251
3428,3831
733,5458
4089,7917
7929,3564
1157,512
3614,6267
6284,5422
7865,5563
5812,3667
6155,1231
1127,1453
947,7033
1240,6144
6290,5243
3693,3831
1156,559
4301,1370
270,3449
5807,3844
1254,5722
1055,3711
5991,6348
3095,6013
1242,6113
6944,1386
5943,7844
5829,3190
1139,1122
3975,3318
1399,1257
3296,7985
6187,292
6013,5684
3975,3328
783,3978
8352,6904
3908,5412
1304,4215
8004,1316
1406,1055
6152,1390
5500,5222
5833,3095
3187,3198
517,4053
1061,3574
1183,7985
3693,3904
6208,7864
6182,477
3967,3612
5661,259
792,3740
1405,1122
6872,3676
3264,838
1136,1270
6016,5636
1143,1055
3711,3370
3564,7929
635,426
6798,5983
5237,5224
803,3422
8267,1415
5797,4266
4147,6263
623,821
3274,564
259,3917
202,5684
1141,1153
7917,4089
4147,6276
781,4124
1185,7985
3449,3338
12342,6182
3693,3969
605,1394
5826,3387
3553,8314
1505,6267
3959,3925
5481,5892
5807,3988
6864,3988
6013,5798
803,3467
3777,1386
6080,3724
5217,5909
8004,1438
6023,5505
5567,3260
3975,3459
3124,5268
3371,5802
4156,6043
6168,1015
3892,6043
6263,6276
5362,1438
3450,3370
3976,3450
664,7817
1312,4115
4249,3187
1438,214
3370,5859
4081,8404
1316,4009
4088,8188
1311,4170
3969,3693
5412,8114
5824,3538
1156,789
5983,6798
619,1055
631,684
6182,640
3831,7985
3382,5520
1413,1023
261,3968
5563,3449
3724,3127
609,1390
5573,3152
5802,4249
535,3689
3969,3732
4058,979
3908,5634
6263,6361
6342,3916
5684,7929
270,11922
5651,768
3711,3564
4053,1157
4249,3273
535,3723
4089,8236
1256,5950
4231,3841
369,682
3521,1277
6276,5985
6285,5704
6016,5857
6024,5607
5493,5684
3976,3561
6796,6257
6283,5775
6187,564
3904,5799
4089,8263
6270,6186
792,3975
4249,3307
1055,4016
5833,3353
4089,8269
3728,3083
792,3989
3989,3187
8188,4088
8452,4094
8856,7954
3095,6326
6168,1183
5773,5237
8152,5222
6879,3723
1420,923
6074,4105
899,705
4081,371
5369,1401
214,5563
1421,918
4231,3925
3904,5870
6091,3612
3724,3260
5808,4194
1406,1390
6181,821
6349,3811
3870,6931
3198,3187
6284,5827
369,781
5956,7808
3370,6058
6080,3969
3975,3687
7609,5722
7071,6016
5634,1409
5500,5563
539,3711
4067,838
8043,472
3725,3259
292,3187
4231,3961
6286,5789
1414,1183
3363,6300
3377,5866
6345,3975
6080,3997
5752,5972
3371,6058
6358,3573
816,3347
6012,6113
6337,4231
629,952
5492,5849
892,992
6353,3740
5553,3969
984,6351
3169,4157
5900,1421
8188,4222
5773,5356
3289,442
4183,5500
3581,7776
8054,8378
4171,5870
5222,6058
3925,5312
1153,1141
998,5952
811,3564
5425,7985
5500,5660
558,3217
6079,4101
3989,3355
6013,6144
1497,6879
