containedby_1,containedby_2
10419,5150
11109,141
9750,9514
9255,8476
9211,9834
10242,10642
10802,9674
11638,141
11478,5112
10255,10256
11343,9305
9784,8482
11109,184
10236,10860
9528,51
11305,10497
10791,10047
9525,141
10948,5194
11342,9369
11309,10394
9364,5150
10057,51
11638,191
9895,5090
9168,11246
11643,51
10586,51
6722,5156
9525,184
9363,5202
9718,10582
10422,5150
11111,186
9527,141
9722,10480
11479,5164
9367,5095
9531,12
10054,184
10585,117
10763,10984
10587,51
10055,170
10950,5194
11481,5113
9234,9235
11112,170
9526,184
10285,9434
10821,9197
10059,51
10423,5150
10764,10963
10058,95
9365,5202
10954,5095
10951,5182
10588,51
11114,141
11117,51
10584,184
11644,92
9527,184
11283,11285
10258,10291
11113,170
10424,5164
10589,51
9238,9170
9789,8475
8475,51
11374,8488
10296,9137
10060,82
11118,51
11341,9528
11114,184
10955,5119
10425,5164
9533,51
9369,5128
9237,9235
8476,51
11279,11465
11482,5172
9713,10868
10775,10714
11340,9581
10808,9702
10378,6644
11485,5095
10591,51
9898,5150
9534,51
6728,5112
8477,51
11647,90
10270,10012
9900,5098
11348,9371
9738,10142
11649,51
11302,10817
9231,9484
194,11099
6730,5095
9899,5156
9371,5150
10064,51
10061,141
11121,51
9372,5118
10814,9574
10295,9278
10594,12
11378,8486
10593,51
10752,11506
11292,11150
10826,9221
9901,5124
10794,10210
10592,95
9240,9241
10428,5181
11122,51
10429,5150
9265,8476
10061,184
10430,5131
10595,12
10796,10178
9902,5124
11651,51
11120,127
9537,51
10850,8509
10958,5164
10251,10691
11486,5175
9221,9865
11123,51
9753,9754
10066,51
10960,5112
10959,5145
10961,5095
8480,92
9206,10355
9795,8488
10067,51
8478,170
10769,11068
10597,12
10851,8525
10829,9207
9233,9531
9539,51
10596,51
10303,9137
6732,5152
9242,9269
11125,51
11489,5150
9234,9514
10433,5112
10065,149
9796,8488
10068,51
9243,9244
9775,9137
10962,5126
10434,5112
11361,9137
9763,9534
8481,121
11656,12
9756,9757
10268,10269
10963,5118
9541,51
5148,5164
9905,5152
11491,5150
9376,5175
8483,90
10271,10212
9379,5090
9245,9246
9542,51
11490,5194
11653,141
10962,5180
11493,5112
9377,5175
10269,10295
9907,5145
9778,9137
9543,51
10600,51
11654,141
11653,184
10328,8488
11814,11589
9544,51
11492,5200
9908,5152
8485,108
11127,126
10070,127
10601,51
9380,5145
10303,9297
10437,5150
11130,51
9273,8478
9546,9
9760,9761
10272,10273
6738,5156
11128,141
6740,5095
10966,5169
10438,5150
9381,5150
11657,141
10267,10459
11661,12
9249,9250
10828,9464
8487,110
9208,10529
9912,5095
11133,12
10967,5161
10071,179
9382,5150
10075,51
10248,11086
9383,5126
11128,184
11134,12
9911,5164
11132,75
11496,5187
9384,5126
10072,175
11129,176
8488,141
10969,5144
11299,11300
9214,10408
9383,5180
11131,141
6743,5105
10440,5187
8489,135
9805,8484
11304,11168
10968,5202
9546,141
11663,51
9549,51
10606,51
8493,12
10441,5169
11659,178
11499,5150
9545,184
10971,5131
8488,184
11131,184
11319,10737
8490,132
10607,51
11135,63
11662,110
9253,9254
9387,5112
10603,184
6742,5187
11136,51
9552,9
9915,5150
10608,51
9766,9767
11665,51
8492,127
10080,51
11503,5090
10077,141
9258,9153
11393,8507
8495,51
11135,132
9386,5203
6745,5156
8491,190
10845,9137
10079,117
10081,51
10287,10061
9252,9371
11501,5189
9258,9187
10822,9865
9551,117
11395,8488
10077,191
9389,5145
9280,8526
8494,117
10296,9791
10447,5113
10867,8476
9391,5090
10298,9743
11139,51
10771,11460
11367,9375
9769,9770
9550,176
8497,51
9245,9642
9218,10485
9392,5093
9552,141
9249,9530
6748,5150
10083,71
10978,5090
10976,5164
10448,5150
10977,5131
10975,5203
9919,5172
9262,9156
10316,9244
10299,9770
9553,141
10610,141
9920,5150
9250,9530
6749,5145
9740,10733
10795,10796
10082,141
11508,5095
10273,10620
10979,5118
9921,5150
10614,51
8499,76
10611,141
10612,110
8498,108
10779,11327
10610,184
11506,5172
10452,5088
9771,9815
9395,5088
9553,184
10282,10353
10082,184
11142,108
6751,5150
10611,184
9774,9754
9396,5088
10451,5150
11141,141
9558,63
10315,9371
11669,177
11670,141
9556,141
10283,10372
10286,10287
10088,51
8503,35
11374,9334
9393,5209
6752,5164
11141,184
10318,9312
9560,51
10983,5090
10615,117
8502,84
9772,9873
9263,9264
9775,9776
10874,8488
9558,132
11509,5182
11510,5164
9398,5095
10317,9375
10455,5105
9561,51
9557,184
8500,186
10806,10614
11147,51
10875,8482
10086,176
10804,10685
9559,141
10616,141
10619,51
9562,51
11145,141
11672,184
8504,90
10875,8508
10454,5175
10319,9371
11146,117
9399,5124
9268,9182
10087,186
10289,10309
11674,141
10984,5144
10985,5112
10457,5105
11673,179
11149,51
6755,5187
6758,5093
9559,184
9752,10598
9292,8475
11145,184
11675,141
9564,51
9259,9518
6650,8476
10093,51
10456,5175
10089,170
9821,8488
9400,5156
9927,5203
10312,9654
11679,51
8506,111
9565,51
9256,9635
10879,8475
9256,9636
11151,51
10090,170
9268,9269
9928,5203
8510,12
11680,51
9566,51
10849,9430
8509,51
11677,141
11515,5164
9744,10923
10621,117
9273,9137
10095,51
10459,5150
11516,5156
9929,5203
10624,51
11388,9137
10988,5150
9724,11565
11681,51
9788,9601
11316,11385
10857,9227
11153,51
6762,5112
10987,5202
9933,5110
11356,10150
10460,5164
10622,141
10625,51
6632,9153
9296,8488
10989,5156
10097,51
6761,5164
11154,51
9570,12
9405,5136
10818,10485
9567,117
11683,51
11411,8482
10626,51
8511,92
8508,179
10992,5095
6632,9187
10461,5187
11155,51
10098,51
10094,176
11156,34
10861,9187
9568,118
11390,9166
9934,5150
9406,5136
8513,51
9404,5203
10990,5202
10313,9807
10465,5095
10464,5119
9785,9786
11152,190
6764,5150
8512,117
9569,118
9935,5150
9571,51
10628,51
10991,5182
10462,5209
11157,51
9936,5142
10466,5095
10100,51
10096,176
10848,9634
5180,5126
10629,51
9938,5095
11682,184
9572,51
10995,5090
11522,5150
10311,9925
10101,51
10847,9688
10329,9371
11687,51
10467,5105
11524,5105
10994,5145
10627,141
11684,141
8514,117
9236,10504
9939,5095
11685,123
6766,5150
10856,9437
9259,9801
9276,9277
6768,5107
10631,51
9574,51
11388,9350
6636,9207
8516,78
10888,8475
10359,8486
10627,191
9303,8475
10468,5124
9789,9790
11369,9973
10632,51
5183,5126
6769,5112
11376,9754
9832,8476
10105,9
9891,6644
9941,5095
10104,51
11376,9774
11159,117
10997,5145
11161,61
10996,5175
9576,51
8519,50
11686,179
10823,10545
8518,89
9784,9995
11690,61
9942,5098
10633,71
11160,117
10102,141
8517,127
8520,45
10784,11782
9281,9217
11397,9169
6639,9207
6772,5090
11691,51
9577,51
11163,51
10106,51
10469,5182
10329,9535
6642,9137
10102,184
9805,9409
10310,10140
9578,63
6642,9153
10103,179
11000,5142
6643,9137
9414,5150
10107,51
9575,170
10634,117
10870,9187
6643,9153
10105,141
9945,5098
10108,51
6644,9137
8521,110
9282,9283
11528,5206
11693,90
11531,5107
6644,9153
11422,8488
6775,5095
9416,5150
9579,90
9285,9207
9837,8488
6645,9137
9578,132
9795,9796
10307,10308
6645,9153
8522,127
10855,9733
11423,8509
10314,10126
10639,51
8523,110
10635,176
8525,51
10855,9734
9284,9285
9418,5131
9419,5113
11005,5095
11164,176
10865,9442
6647,9137
10280,11204
6776,5142
11534,5093
10109,117
10636,176
9583,51
10640,51
8526,51
11374,10061
11694,141
6647,9153
11165,170
9787,10117
11380,9885
8524,127
9946,5194
10476,5150
10638,127
11007,5090
9581,141
9798,9799
10641,51
9225,11197
9948,5175
10643,12
11699,51
11344,11055
9581,184
9313,8488
9768,10768
10114,51
10110,176
9584,110
9949,5175
8530,23
9780,10419
8527,110
10809,11288
9288,9289
6778,5182
9778,10495
10112,141
8529,71
11536,5164
6780,5150
11008,5156
10841,10333
11429,8488
9587,51
10644,51
9950,5194
11171,110
9779,10503
10869,9483
6779,5194
8528,127
9585,141
10645,51
10336,9626
9954,5095
10902,8476
11400,9422
8531,51
9802,9803
9951,5194
10481,5150
10480,5187
11337,11385
9423,5182
9586,141
10115,127
10646,51
9589,51
9426,5098
11174,63
6782,5152
11399,9483
9229,11217
9291,9292
9425,5150
9424,5182
9585,184
10116,108
10859,9845
11172,141
6653,9167
11704,51
8533,51
11394,9660
6652,9207
10484,5112
11700,186
9586,184
10482,5175
6632,9842
10119,51
11176,51
10117,108
11173,141
11702,127
9906,6664
11014,5090
10648,51
11174,132
9848,8476
10485,5112
10120,51
8532,127
11703,127
8534,63
11177,51
10862,9826
11173,184
9797,10073
9592,51
11707,23
9847,8526
9824,9251
11543,5115
11012,5194
9813,9588
9294,9295
9806,9807
11178,51
9793,10224
10356,9156
10343,9558
9794,10207
11013,5187
10820,11184
11395,9742
8534,132
10118,176
9276,9894
6645,9536
6785,5202
11351,11113
10879,9371
10651,51
9429,5164
9594,51
9958,5161
10864,9845
9808,9809
10647,184
6657,9199
10123,51
11180,51
9277,9894
10649,141
9791,10355
9300,9187
11705,170
11354,11069
11181,51
9593,127
10125,12
10488,5156
10124,51
9431,5152
6681,8484
9961,5107
10653,51
11711,26
11017,5156
10652,89
6789,5154
8535,186
10649,184
9298,9299
10834,10835
9962,5107
10121,184
11548,5112
6791,5119
11709,117
11183,51
10126,51
10342,9734
6790,5164
9433,5145
10342,9733
9811,9812
11710,95
11415,9246
9275,10052
10490,5156
10655,51
9598,51
9964,5090
10886,9275
11020,5118
11708,186
10491,5144
11021,5092
10489,5202
9596,127
11184,51
10891,9137
10815,11498
9855,8488
9599,51
9963,5154
10128,51
10879,9535
9301,9302
9597,127
10837,10838
6664,9137
10912,8526
11500,6684
10654,141
11714,51
6664,9153
11405,9636
9327,8531
11550,5150
11552,5095
9602,12
9329,8484
11022,5150
10386,8484
9601,51
9435,5203
10654,184
9835,9198
11712,164
11717,9
11553,5095
9603,9
9965,5164
9437,5150
9436,5192
10331,10210
11185,141
9966,5164
9306,9235
9797,10408
11188,51
9304,9305
9816,9817
10836,10966
11024,5150
10657,137
9274,10243
10888,9371
9330,8526
11186,141
10132,51
11410,9600
9968,5143
11185,184
11189,63
11554,5131
11191,12
9604,51
10133,51
9440,5146
11716,132
9840,9137
11026,5150
10658,170
9332,8509
11028,5095
10130,166
11715,184
10919,8476
6666,9250
10391,8475
10663,51
9606,51
9833,9399
6668,9207
9603,141
10131,166
11027,5154
11189,132
11557,5108
10135,51
11192,51
10876,9845
93,63
9308,9309
10501,5095
9970,5172
10332,10333
10499,5156
6669,9207
9827,9617
9796,10578
11718,141
9973,5095
10136,51
11194,24
11559,5093
11346,11696
9792,10714
9605,135
9608,51
6693,8494
5086,9158
10661,184
6672,9153
9842,9187
11718,184
10138,12
9443,5182
9444,5152
10134,141
10365,9377
10503,5099
10500,5194
10311,11047
9260,10860
9310,9311
6671,9207
11032,5099
9840,9285
10502,5141
9972,5189
6672,9187
11558,5184
9447,5101
5088,9158
11720,170
10665,117
10667,51
9610,51
11357,11441
10357,9674
10139,51
11196,54
9265,10773
9448,5101
11031,5174
11365,11218
10290,11770
9315,9227
11562,5118
9449,5086
9834,9535
11197,51
10505,5112
9306,9514
9977,5110
10140,51
6676,9137
10669,51
9976,5150
11033,5150
10901,9239
5090,9158
10397,8491
11725,90
9612,51
6676,9153
10925,8513
11198,52
10141,51
6664,9532
6654,9842
10892,9534
9869,8488
11564,5095
9294,9938
10504,5194
11199,51
11036,5099
10372,9302
10508,5086
11368,11205
11565,5095
10671,51
5092,9158
9342,8484
10339,10340
10144,12
11727,90
11037,5099
10506,5182
10143,51
11563,5181
10330,10635
9452,5093
5093,9158
10904,9244
9773,11536
11726,141
9316,9317
9613,110
6679,9153
11728,92
9840,9467
11457,8488
10844,11110
9262,11009
9821,10061
10327,10761
9799,10745
9294,10021
10142,117
9616,51
6678,9207
11435,9200
10673,51
9826,9935
10930,8488
9450,5209
11566,5150
9615,95
11726,191
10883,9940
5095,9158
9614,142
10670,176
9617,51
9451,5209
6681,9152
9345,8488
11390,10630
10146,51
10675,51
9982,5150
11039,5150
9319,9320
9618,51
10325,10903
11567,5187
10147,51
9795,10965
9455,5131
11200,184
10674,117
10908,9250
9325,9170
6683,9153
11425,9600
10676,51
9838,9660
10381,9207
11569,5156
10148,51
6684,9137
11730,176
9348,8475
5098,9158
10909,9250
6684,9153
9984,5164
9808,10620
6683,9187
10512,5181
11206,51
9877,8476
9323,9266
11203,141
9622,9
11205,90
10145,176
11204,117
11042,5150
11735,51
9986,5119
9621,51
5099,9158
9937,6644
10346,10347
9985,5164
11207,51
10150,51
9459,5095
11043,5142
11044,5108
9623,9
9987,5118
10516,5103
11736,51
9456,5194
6686,9152
10679,58
10151,51
9458,5150
6707,8513
9772,11807
6685,9207
5101,9158
9619,170
9457,5194
10517,5112
11733,184
9324,9325
10348,10349
9857,9187
10339,10635
9318,9518
9352,8478
9620,170
11734,167
9624,51
11046,5118
10681,51
11411,10196
11208,117
10678,170
6689,9137
9991,5092
5103,9158
9622,141
9989,5150
10682,51
9625,51
6681,9401
6689,9153
9786,11449
10152,111
11737,141
6686,9262
9623,141
11209,132
6688,9207
5126,8484
9827,10222
11212,51
9280,10792
11575,5182
9461,5182
9846,9632
10519,5152
10890,10045
10324,11210
10153,127
5105,9158
10375,9623
11578,5098
9355,8488
6691,9152
11739,127
9884,8476
11382,11189
9415,6644
10520,5152
9462,5182
10908,9516
10360,10131
5098,9409
9628,51
10351,10419
10157,51
11214,51
10390,9207
11738,187
9466,5095
9465,5126
10842,11585
9261,11456
9627,108
5107,9158
9993,5152
10684,127
6683,9467
11211,176
10413,8526
6694,9137
5108,9158
9630,51
10474,6655
9832,10170
9464,5203
9283,10816
10392,9200
6694,9153
11216,51
9465,5183
10683,186
10685,127
10524,5118
11052,5143
10159,61
6659,10265
9994,5192
10911,9527
9844,9845
11582,5119
5110,9158
11055,5086
10946,8488
11533,6669
11053,5167
6680,9660
10161,51
10911,9581
11743,179
11747,51
10686,176
10158,166
9297,10474
10160,117
10162,51
9839,10074
9631,141
5112,9158
10691,51
6718,8531
10687,176
9279,11069
6691,9375
11054,5203
11748,68
11220,51
11749,51
5113,9158
10000,5124
11584,5169
9470,5177
10690,125
10529,5119
10165,12
9631,184
9632,166
9471,5150
10527,5182
6700,9137
9829,10438
10872,10873
10912,9644
9364,8475
10166,12
9310,10158
6700,9153
11059,5093
10528,5182
9472,5150
11222,51
10421,8493
11588,5092
9849,9850
10531,5093
9322,9803
11538,6644
9634,141
10898,10109
10927,9213
9637,51
6722,8495
5107,9409
10167,12
11058,5154
11221,108
10001,5172
10423,8475
10530,5154
9338,9339
11587,5156
6702,9137
10695,51
5108,9409
10379,9845
9634,184
9366,8488
6702,9153
11224,51
10900,10098
10164,141
9293,10767
10004,5119
5117,9158
10696,51
9344,9198
10533,5113
10168,51
10922,9445
10692,191
11225,51
10164,184
9640,51
9636,176
10403,9166
11063,5090
5118,9158
10403,9165
9476,5143
11458,9235
11440,9803
10384,9770
10169,51
6705,9137
11753,110
10535,5095
9897,8488
10694,166
11756,12
9853,9854
10697,75
11754,75
5119,9158
11061,5181
10698,51
9641,51
125,141
6705,9153
11592,5119
10170,51
10699,36
9639,138
11226,95
10366,10367
10361,10533
5112,9409
11065,5093
11484,8488
10008,5095
11590,5207
11442,9806
9899,8495
10534,5202
10007,5150
6704,9250
9478,5181
10930,9334
10009,5112
9337,9574
9851,10021
10173,51
9480,5150
11230,51
10539,5095
11759,51
10171,127
10935,9213
10702,51
11594,5164
10881,10882
11755,183
9843,10304
11596,5119
10174,51
6692,9688
11459,9371
132,63
5124,9158
9646,51
11757,141
10370,10371
9643,141
10700,141
9482,5141
11069,5093
11447,9759
9374,8488
11232,51
11229,141
10701,127
11067,5164
10393,9674
11228,184
10011,5150
10704,51
9647,51
11598,5108
10010,5187
9643,191
10175,90
11229,184
10703,108
11762,54
10870,11322
10347,11150
10433,8484
5126,9158
11438,10096
10012,5150
9483,5175
10913,9999
11231,141
11234,51
11761,108
10014,5112
9486,5107
10543,5103
10434,8484
9649,51
10706,51
9885,9128
11458,9514
9863,9809
10176,117
10936,9320
10363,10698
5128,9158
10544,5095
11070,5182
10707,51
10906,10265
11764,51
9350,9351
9650,51
10964,8488
9648,127
11602,5090
10399,9617
11417,10841
6665,10702
11600,5181
10179,86
11603,5095
11412,11016
11074,5112
10180,51
6716,9137
9489,5090
10400,9617
11073,5150
10016,5157
6716,9153
9864,9865
6704,9530
10181,51
11238,51
6737,8512
9490,5090
6717,9137
9488,5154
10864,11656
5131,9158
10177,198
9653,52
10398,9725
6717,9153
11239,51
9652,92
10019,5112
9874,9601
11076,5107
11767,90
10545,5207
9654,54
11236,176
10183,51
11240,51
10547,5150
9126,51
11237,141
11769,34
11556,6647
10708,170
9655,51
10712,51
9347,9601
9651,170
10885,11069
9912,8476
10389,10068
10021,5095
6658,11045
10184,51
9127,51
9492,5117
10362,10916
10920,10012
9493,5105
10711,117
10710,141
5126,9409
10022,5099
10186,12
10970,8475
10185,51
10550,5126
9913,8488
11608,5095
11079,5112
11606,5169
9491,5200
6697,9888
9657,51
10710,184
11768,166
10552,5093
10551,5119
9656,97
9129,51
5136,9158
10182,184
9658,51
10553,5095
11080,5141
9892,9207
10716,52
9659,51
6715,9399
10895,10896
9661,9
10418,9311
11772,105
11434,10578
11433,10621
11243,126
10714,141
10928,9894
11081,5150
9388,8488
10023,5187
9660,51
10187,110
10189,51
11246,51
9360,9361
9872,9873
9498,5095
11083,5112
10973,8522
9130,127
10718,51
9896,9143
11774,78
10714,184
9918,8476
11776,23
6725,9153
11247,51
11610,5181
10926,10012
11613,5093
11504,8484
9131,127
9662,51
6725,9187
11082,5185
10026,5156
10191,51
9497,5182
9500,5090
6748,8475
10557,5099
10717,135
5141,9158
9499,5136
10554,5200
9851,10602
11407,11529
9875,9876
9132,141
11614,5119
11615,5095
10385,10458
9501,5095
9664,51
9392,8484
11086,5124
10912,10517
5142,9158
10192,63
9661,141
10721,51
9133,127
9844,10859
11250,54
11483,9213
10193,51
9132,184
9364,9371
10559,5095
11775,179
10031,5092
5143,9158
10722,50
9134,127
9665,51
11249,108
10413,9644
9882,9722
10451,8475
5144,9158
9453,6647
9340,10150
10192,132
9373,9137
11087,5150
9666,51
9356,9674
9135,141
6728,9221
10719,184
10423,9371
10030,5169
11779,105
10954,9295
9136,111
9138,51
9502,5164
5145,9158
10924,10240
10723,86
11089,5126
9663,176
11487,9169
10720,184
10980,8509
9139,54
10981,8488
10033,5110
10410,9807
10194,127
10725,51
9897,9334
9135,184
9668,51
9505,5112
9375,9152
6675,10938
9354,9809
9506,5112
10893,11261
9397,8485
10951,9462
9357,9726
10724,117
11255,51
11619,5150
10198,51
10401,10137
10195,141
9671,12
11256,29
10032,5202
10727,51
9364,9535
9670,51
11252,170
153,170
10960,9221
11091,5154
6734,9153
9903,9227
10199,51
11621,5119
6732,9223
10195,184
11784,77
9906,9137
11418,11419
10036,5119
11490,9198
11786,17
11093,5118
10034,5192
6734,9187
10200,51
10564,5150
9140,141
10434,9192
10196,179
10382,10798
10409,9961
10038,5090
5150,9158
10929,10233
10726,141
5142,9409
10729,51
10035,5192
9144,51
9929,8484
11095,5107
10359,11538
10197,179
11254,176
11623,5131
9140,184
11783,170
9929,8494
10362,11449
10908,10909
9316,11120
11257,97
10730,51
10037,5156
9507,5203
11096,5095
10726,184
11787,61
9142,141
10202,51
9141,184
5152,9158
9373,9374
10887,11603
11788,51
9143,141
11789,34
10408,10073
11260,51
9359,9845
11413,11706
9512,5095
9886,9887
9142,184
10728,179
10039,5156
11262,12
9878,10148
10732,51
9675,51
10201,141
6737,9227
11785,198
10918,10685
6709,10098
9673,141
9143,184
10399,10400
5154,9158
10460,8531
11258,179
9674,141
9677,51
10734,51
10201,184
11518,8510
9376,9377
10205,63
10207,9
9146,141
10570,5150
11263,51
10206,51
10962,9384
9149,51
9673,184
9354,10084
6701,10408
10735,51
10439,9227
5156,9158
11448,10715
9678,51
9145,184
10433,9409
9889,9890
11482,9660
10203,176
9146,184
10044,5110
9679,51
11100,5154
11790,141
10431,9504
10205,132
10571,5172
10208,51
10204,176
11264,80
6744,9137
9680,51
11461,10377
5158,9158
11102,5119
11630,5143
10422,9834
10043,5200
9515,5185
11103,5105
10209,51
11266,51
11793,108
9148,186
9904,9518
10466,8484
9681,51
11791,176
10917,10899
10207,141
10921,10770
11428,11437
10436,9434
11267,51
10210,51
10574,5161
9387,9192
11792,170
10938,10259
9381,9382
9893,9894
9682,51
10427,9734
3340,51
9151,141
9939,8476
10427,9733
9382,9371
10211,51
9154,51
5161,9158
9683,51
10740,51
10406,10407
10526,6700
11585,6644
9155,51
10741,51
10049,5112
9151,184
9684,51
9383,9384
10737,179
11105,5164
9941,8476
9519,5175
10050,5112
10048,5181
10448,9166
10742,51
9685,51
9368,9873
10739,141
9314,11548
9852,11264
10051,5093
10738,179
9920,9166
10998,8512
11499,9371
6750,9137
10743,51
5164,9158
11634,5194
10739,184
9921,9166
9158,51
9524,5095
11271,90
10052,5107
10581,5095
11108,5152
10744,51
9687,51
11798,141
9944,8478
10216,51
10053,5105
9416,8477
10582,5095
9688,51
10402,10685
11801,86
11798,184
10411,10412
11637,5181
10747,11
5167,9158
10215,127
9370,9940
6682,11353
11802,89
10583,5113
10218,51
9161,51
10954,10021
10220,12
9901,9902
10388,11189
10219,51
11276,51
9162,51
9900,9942
5157,9530
5169,9158
10943,10383
11803,108
10056,5124
9691,51
6738,9677
11275,110
9160,141
11277,51
9917,9442
11507,9304
9159,176
11807,9
10746,141
9693,12
9692,51
9899,10026
11643,5115
11806,61
6742,9594
10477,8504
9694,12
9372,9987
10433,9865
10944,10407
11115,5119
6749,9389
10217,184
9160,184
10746,184
10587,5107
11116,5093
9528,5182
10416,10417
10059,5110
11279,61
10413,10517
11642,5187
9378,9845
10751,51
11804,176
5172,9158
10057,5182
9898,10108
9690,184
10585,5203
10223,51
11280,51
9529,5182
10957,10061
6746,9536
10749,127
10977,9455
6740,9724
