name_1,name_2
5713,2706
5717,73
5743,407
2469,4591
4432,5749
5750,5751
5761,3731
5765,5766
1139,154
4536,5781
5791,2017
5798,3386
5800,5801
172,5803
5639,225
5817,1429
5835,354
5837,3792
4924,5856
5863,5864
5865,5866
350,5871
499,1412
5883,91
5884,5885
825,428
5902,1130
2990,5912
5913,5914
5918,5919
5926,2376
5927,5928
880,428
3149,1130
5977,407
3429,3492
5981,4801
3199,523
5985,36
1190,2941
2203,5988
1958,3334
4533,1762
109,4946
6006,6007
851,6011
6012,36
6019,1130
6026,91
6027,97
6029,2161
1547,154
6040,91
6043,154
6046,2311
6056,1171
6068,2002
6070,225
6102,1130
3888,3345
5276,3287
6132,6133
6137,6138
6139,225
6146,6147
6148,97
2273,4465
6158,146
6169,6170
6182,36
6183,91
3071,6184
6188,6189
6190,146
6191,1130
6193,397
6196,249
6207,6208
6214,2435
6215,3492
6217,6218
6221,3731
3920,154
6230,407
6231,523
6233,1130
6237,91
6246,1300
6247,5871
6248,6249
6250,2435
3210,6256
5829,557
3947,6269
6271,6272
6288,6289
6297,91
6306,1130
6315,6316
832,6317
2557,6324
6332,6333
6341,6342
6349,6184
2692,766
6359,146
6365,6366
4757,46
6371,3492
6373,1895
1848,1496
6386,6387
5238,6389
6391,6392
6405,3100
6407,6408
4287,4389
4807,2435
6430,6392
4834,6438
731,6451
6456,6457
6466,6467
6470,2247
6473,1130
5192,6474
6475,73
6477,91
6482,249
6485,523
915,1761
6488,4219
6497,97
6498,154
6500,146
6501,75
700,6507
6529,343
6531,6532
4824,6537
6538,1130
6547,6548
2188,6552
6554,5498
6560,2435
6561,97
4254,6563
5604,6567
6572,6573
6582,6583
1832,428
3883,5542
6588,3492
6589,6590
6591,2604
6592,249
6612,6613
4637,785
1503,4173
5332,1482
3272,3091
6624,6625
4040,6633
6638,2435
6266,4465
6641,3256
6646,97
6648,1260
5254,1125
1942,428
539,4389
1964,428
5754,5471
6677,407
6686,3492
6687,146
6696,5749
6704,2507
6711,225
6713,97
6720,5650
6722,146
6726,1604
2465,6741
6747,73
6751,249
3563,5801
6755,2435
6765,4638
140,6766
839,6776
6286,6779
6789,73
3906,6810
6811,6812
6818,249
6834,3765
3836,36
6838,6839
6840,523
6849,5025
6852,249
6855,6856
5001,3561
2144,3923
4859,6860
4889,2247
745,211
6874,766
6875,6876
6878,249
6899,225
6900,146
6911,3113
6793,5919
6918,1099
5490,91
753,3181
6955,6956
3030,225
5830,2002
6963,407
3699,6974
2258,6987
6999,4946
7003,36
7004,2435
7014,4133
7015,7016
7019,2941
7020,407
7023,7024
7033,3256
7040,146
7047,354
7061,73
7062,146
3011,154
7078,146
7094,97
7108,36
7120,7121
7127,3492
7128,4514
5978,7133
7138,249
1192,7153
7165,7166
7173,2895
7175,7176
7177,97
1019,7189
898,7191
7192,249
7193,407
7203,428
7204,1435
7206,7207
7222,3445
7223,146
7232,146
7233,7234
7110,91
6575,4899
7249,97
7252,211
247,7259
1168,86
7265,211
7269,7270
7277,3221
5724,7283
3778,167
4119,2171
7295,91
7308,7309
7310,2435
7314,91
7316,7317
2124,249
119,2865
7339,7340
7343,154
7345,7346
7347,2004
7348,73
7362,225
7366,3492
7367,1435
7370,5671
7381,6316
2352,1435
2812,6974
7400,1171
7404,7405
7407,146
7410,1931
3190,1617
7414,3252
13,4801
3512,7422
7426,5222
4550,1875
7440,146
7442,5248
3154,1724
7448,146
7450,1130
7453,91
7460,97
2520,203
1804,7464
7466,7467
7468,7469
7473,6810
177,146
1322,6392
1345,1532
7512,407
7523,7524
7525,3462
5685,4983
7535,91
7543,7544
2041,2580
5692,7554
392,146
1809,2004
7571,7572
7574,3503
7578,7579
7580,1541
5348,7581
6821,3856
2210,7584
7594,2097
393,7600
7604,249
7605,73
6313,7614
4851,36
7616,1488
7623,225
2436,3334
7645,91
6073,2015
1466,91
3138,225
7661,146
7663,7664
7669,97
2886,7675
7676,1740
1206,4952
7683,146
7687,7688
7693,36
7700,2734
7706,1046
3922,154
3060,1762
7728,73
7729,225
7734,3492
7735,407
7742,7743
7748,18
3639,4952
7759,3091
7760,91
5833,6507
6322,7765
7769,7770
4249,225
7785,2941
7789,5364
1132,4952
34,1482
5467,5295
7803,2737
7810,91
7813,36
7814,225
6399,7815
487,112
7822,7823
7832,1130
7833,5871
1728,7837
7858,7859
7864,7865
7871,7872
7875,4294
2563,354
7879,7880
7746,46
7695,407
4306,7317
6562,428
7911,1488
1028,4993
7928,7929
7941,428
3936,428
7942,36
7945,7946
7954,211
7957,5506
7962,225
4395,1130
5115,661
7970,6583
3729,6633
7979,7980
7984,154
7992,97
3222,7998
8001,8002
8006,8007
8008,225
4019,8011
8017,146
8026,8027
313,2072
8031,4407
4478,154
5711,97
8044,523
8045,91
8050,36
5670,8051
5586,1720
7565,523
800,5542
8064,1300
8070,73
2259,1130
8073,249
8076,167
1472,4158
8079,1014
8082,8083
957,417
4404,1224
215,2015
8088,7544
8098,8099
8108,4946
8111,225
6570,5542
8127,3492
4541,5669
8128,211
4756,7872
8132,4133
8140,428
8141,4014
8153,8154
2313,4068
5290,8164
8167,523
8182,8183
8189,1340
3245,91
6796,8197
8198,5406
8214,1130
1899,8219
8220,8221
8222,4943
5382,225
8225,4589
8226,6438
3361,2654
8233,91
8234,1569
7459,8238
8248,3492
8249,8250
8260,8261
8266,1171
8283,6333
8289,5406
8292,91
8295,1171
8296,407
3265,8297
2353,6389
6369,1111
8299,249
8300,1130
8305,6316
5771,903
309,407
8314,8315
8321,211
8327,7207
8331,3093
8342,8343
7938,1171
3457,3786
8349,4505
8353,3100
8356,1130
2036,3113
8368,3018
8376,3788
8377,8378
8383,1740
8388,8389
8398,407
6961,8402
3802,8404
8411,428
8414,4870
8416,225
8419,7743
4355,8422
1703,8424
8436,3946
8441,2706
8444,1130
8446,8447
8467,3462
8468,2717
8116,8479
7408,2594
3465,857
8491,36
1217,657
8510,3221
4274,91
8511,36
7392,8523
8529,146
2587,63
3711,6563
348,4594
8543,407
823,8544
8550,97
8554,3287
5719,4983
8559,2435
8562,7865
3959,8573
8581,683
8585,397
7411,857
7200,8600
8601,523
6437,18
8604,8605
8608,97
8612,8613
3769,3120
8632,4062
2871,7317
3162,7016
8651,8652
2012,7133
6181,7317
8666,36
7677,2888
8668,2311
8672,2370
7852,8183
8682,8683
4507,5550
8692,6583
7123,91
1743,2004
8718,36
8719,146
462,8725
842,453
8733,1130
8735,8221
8739,8683
8740,2529
8742,8743
1,8744
8755,211
8761,211
8765,683
4620,2865
6005,8784
8786,8787
4284,2425
1413,8806
7976,6389
8813,91
1362,523
8817,4223
8829,73
5530,5268
8485,8853
3514,4946
8856,95
8857,1435
2599,8858
8859,97
4795,8864
6240,2161
8885,1130
8894,8895
8902,683
8904,8905
2974,8424
2635,8908
4486,7153
2711,8915
8918,3492
8938,2118
8948,1452
2938,6741
4676,249
8968,1130
1278,3644
6363,8971
8973,523
5436,428
5111,8974
8975,249
3392,2421
7315,4230
8991,8992
8993,211
8994,428
8996,211
9014,146
3262,359
9015,91
7697,4946
9020,211
9023,2937
3865,3267
9032,225
9034,2435
9037,146
9039,91
8877,9040
9041,36
6836,8683
1135,6741
9050,9051
9053,3221
9056,9057
9063,4618
9064,6474
9082,97
9085,249
9088,9089
7262,4946
7781,6537
9096,8424
2987,9100
9105,146
7884,9120
9133,97
9135,5025
9143,2311
9144,9145
9153,91
1652,9157
9167,91
9168,112
9170,1171
4518,3100
1856,8297
9176,407
9180,9181
9182,7340
9184,46
9186,9187
9197,9198
9204,3492
9225,6457
9231,523
9259,9260
9267,225
6165,785
4936,9275
2699,3786
9277,4465
3688,8725
7063,36
668,4066
9283,8974
6521,7980
4668,1658
4281,7837
4095,75
9296,36
9298,225
9300,146
6948,223
1123,8725
9305,8605
9307,97
1902,6457
9309,249
5687,9312
8209,4899
9315,5560
9321,8083
9326,1171
7478,9330
9333,4780
6439,1046
9342,211
9345,211
7487,8652
9349,1604
9352,7270
9358,9359
9365,407
9374,1130
2662,9386
7723,3503
7638,4407
6402,154
318,9415
9424,5364
6788,9438
9439,1171
9445,467
9446,3117
2125,7664
9083,9452
9463,4977
8588,7176
9468,9469
9470,9471
9474,9475
2357,9479
504,4993
8709,2268
9487,523
6666,225
9504,9505
6634,741
9517,9518
9520,9521
4410,9525
8022,9438
4295,1224
9531,5474
9533,211
7639,4981
9552,1171
9553,2064
9554,8573
7739,516
1969,1075
9568,7121
9576,428
9584,97
5305,9594
5327,9604
4470,225
9611,5410
9616,9617
9622,9623
9629,1130
9630,167
9632,211
9637,9638
9639,9640
9021,3316
1819,8402
3215,897
9651,5626
9659,6856
7632,7859
9662,6860
9676,3264
9677,6272
9680,97
9687,1099
9688,146
9689,249
9691,9692
9694,9695
5038,9696
9697,407
7432,9100
9698,1046
1029,523
9702,4615
9704,2435
1295,5368
9711,8378
9715,223
9729,2268
9735,9692
9738,7946
9746,249
9747,211
574,225
9751,1463
9753,428
9760,91
8430,9438
7926,523
9772,1130
9185,1171
9780,9781
9782,5059
9786,523
8595,9787
9788,9789
9799,4951
9802,1130
9805,407
3840,9807
9018,4328
9826,3492
9827,4133
9835,407
9837,2446
6427,428
9872,8221
9887,407
9888,3949
9889,211
9892,1130
9816,9904
4493,9916
5796,9917
9924,146
9929,7880
9935,225
9941,4863
9942,3492
9944,9945
3001,2296
7866,3500
5870,97
1404,249
9957,4505
9940,3919
6274,417
841,1569
129,9968
9982,154
9983,1435
9984,211
9986,36
4623,6408
7083,6537
7099,1907
7279,225
10000,1171
10021,6324
3055,10025
6251,10027
10032,36
10033,1188
2307,9640
1384,4014
4408,10039
9450,1171
10046,36
640,7024
2500,10057
1491,225
10084,10085
10086,10087
10092,146
802,10098
1679,453
10100,91
8809,8853
6425,10108
4670,428
10118,8250
10124,7579
10131,36
10134,523
10135,3492
10138,657
10141,407
10142,1171
10147,1130
10156,5472
4690,10157
8989,5550
10164,407
1348,5457
5138,9452
9573,1171
2576,91
6331,7191
9950,225
10184,1435
5873,1244
3482,8479
7291,785
10197,1130
10224,407
10240,225
10243,36
7012,10244
10245,1171
10246,225
10248,1249
10249,154
10250,146
10251,146
9226,1452
10260,8011
10261,91
7503,10264
10265,225
7321,9438
7628,225
5425,2890
10295,97
57,3181
10304,10305
288,6389
735,8221
6298,10316
3317,5222
6340,9968
243,10025
10323,407
10075,225
10325,407
5566,10316
521,4619
2868,3644
3435,91
10336,10337
10339,9145
9114,9807
10342,97
10344,407
10346,2435
10034,3252
10348,407
10349,1429
10365,1260
10368,5631
7018,9904
10375,211
10381,211
2382,3089
7250,8219
10406,10108
10417,3492
1537,4903
3658,2529
10445,36
10451,407
10460,249
1034,2425
507,8744
10464,91
10472,146
27,4219
10474,36
2023,10479
8113,6269
10482,4085
10496,407
2950,5470
10502,10503
6160,4780
8638,1130
10516,9692
2183,10518
10523,167
8176,523
10531,2435
10535,428
10537,1435
2257,1014
8681,1575
3894,1536
5539,5364
1431,428
10567,10568
10574,5125
10579,211
10580,97
10591,2435
7199,1435
9714,1875
10599,1171
10607,10608
10611,10612
7106,4062
6478,5268
10642,36
6,97
10643,10644
10652,10608
6846,10655
1304,8544
10665,8915
104,97
10675,249
10691,146
8688,97
10696,36
10697,4066
1252,8083
626,616
6931,4618
10710,407
9993,1014
10721,2865
798,8605
5337,3353
2991,8992
10741,2895
10749,2761
1374,1237
1325,407
10756,5631
10769,3492
4974,5406
9201,10774
10782,211
3609,10790
10798,10799
7098,2783
998,10802
2577,10805
10449,2123
10819,73
8502,8573
10824,91
7022,5766
10826,2737
8228,225
6801,359
1627,1342
10847,91
10850,2118
1250,1130
10865,73
582,97
446,10869
3858,5295
10572,2002
10883,407
6205,1762
1592,7189
3291,1237
10899,5248
10902,407
7058,2796
10905,225
10906,10907
8301,249
10913,5749
4570,5928
10923,7998
8597,225
10927,10928
10936,4014
10945,97
10950,10951
10953,10954
10956,407
963,523
4954,4801
10965,97
9004,36
8840,1171
10980,10802
10984,97
10987,1130
10990,10991
10996,7688
10998,249
11011,7270
1586,683
11013,10869
746,8404
3280,9469
11041,11042
11043,3492
11045,523
10391,5856
11050,11051
11057,7865
11075,3462
11081,3221
1796,10928
3546,225
11093,407
11094,1171
6959,4993
10949,11100
9247,146
11105,7872
2105,11108
10001,657
8584,225
11118,1130
1667,97
8456,249
4357,11152
11153,3492
8737,3462
11165,9415
346,2594
11169,3492
10404,36
11172,1130
3801,453
11174,11175
11177,5912
2359,3573
11178,6451
11179,523
11182,146
11184,36
11186,97
11189,407
130,11192
9885,11194
5351,8853
6653,2384
7737,11204
11208,146
5804,8858
11221,154
11222,10608
9375,9789
11225,10157
11245,11246
11249,249
11254,407
4142,11257
11260,9471
11264,7234
11266,1130
394,5472
11273,11274
11275,8197
11284,203
8453,154
2495,11285
11291,36
7111,11294
4359,6590
11309,73
5423,8238
9038,11321
11325,1521
10273,63
11336,1895
11337,88
10878,5550
11340,225
4451,5368
11348,146
11352,11353
5412,543
11377,146
314,1340
5921,11382
9383,4454
1581,9275
5113,9789
6035,328
10328,10951
11396,9051
5308,6766
3957,7346
11403,1171
9556,11406
2140,7133
6868,2706
2651,36
3974,2654
8803,4266
11421,4014
5957,11426
6109,11427
435,4223
9495,225
11429,6625
3829,24
11437,10108
11439,146
11440,146
1866,4016
3130,7815
11449,407
11454,407
11460,1342
1118,249
11470,4118
2405,97
11472,91
11474,10951
11478,523
8928,154
11479,8613
11498,3492
11499,36
11500,1838
11504,407
11509,3492
11510,36
11518,8573
8560,3500
4285,225
11542,146
11553,407
11563,4294
11438,5631
11572,1130
9024,154
11583,211
7337,11584
11585,4238
11586,249
2119,5914
11595,2435
3324,11600
11603,6366
3636,428
11559,407
2380,5186
11613,154
11621,407
4871,5146
9477,1188
11637,249
11638,1130
11642,9330
11643,1125
11644,953
10188,10305
11659,146
709,5012
11660,11661
8203,6987
9536,11665
9516,211
11670,36
3523,10085
11678,2435
11680,11681
473,9181
11692,4801
2969,7259
947,2796
5524,11710
1500,211
11717,11718
8410,11720
7493,225
11724,36
8769,428
11732,3527
11734,11735
10268,11737
11001,8424
10078,11745
11749,1130
11751,203
2483,6366
6979,3575
2415,8974
1510,4619
11771,3181
11776,11777
11779,5249
8138,4505
5187,8389
9809,5346
11791,4363
3298,8261
11808,407
11810,225
11813,2435
3605,11294
5177,11816
11817,91
11818,407
11823,6474
11824,5781
11485,1171
11831,3492
11836,225
2863,5801
3277,1761
2909,8297
5790,11853
5966,2565
6443,11665
4023,2123
11867,1724
11869,36
11870,97
9369,154
701,523
4532,6812
11879,91
11888,1171
11889,36
3750,276
5850,11913
7767,7283
8344,766
11922,91
8949,5885
725,6408
11928,36
11930,11931
9389,11934
5344,11710
567,95
11947,7872
11948,11949
11953,3492
8985,2072
9216,9089
2686,11963
2487,6860
11973,6507
7509,7176
10014,1463
658,11984
11987,4642
11988,2937
11992,3492
12003,2752
2544,8806
12000,7688
2190,73
10416,2885
9561,154
6619,1171
12030,1130
4275,12041
430,12042
8213,2028
9372,428
144,12057
3845,4159
12063,5871
12069,1541
1324,2580
7900,1171
12082,1130
11537,12088
12089,5885
12092,1130
11590,4650
12113,8051
424,6184
11345,73
8779,12124
2856,2370
4106,5256
3863,4389
10380,7544
4734,1724
2830,1968
2304,10612
8392,7837
12163,7765
12164,683
12166,91
1772,6633
9575,428
9624,12184
4272,9089
12186,4517
11854,211
4984,7823
12187,225
2149,7259
12200,1532
2229,7405
7519,2610
2816,12212
12215,12216
3927,12218
12222,9471
2451,9120
12229,523
12231,8315
10490,5406
12239,12240
12242,4085
3003,12253
12254,2435
11839,4899
12266,407
12273,146
5299,7166
12295,1171
12298,3287
10992,12301
12302,407
2502,9187
12310,91
12314,428
5785,146
12315,428
8842,857
12319,9386
12327,225
12338,73
12322,3120
1552,5650
12355,91
7699,7283
12362,428
5263,146
1084,11382
12370,2865
12379,91
7096,1536
12384,12385
12391,154
11669,4016
6806,12398
10717,36
6672,3353
12408,225
12410,11949
12422,407
12425,4591
12427,359
3398,8523
12432,2737
12434,8447
12440,7346
12424,7346
12445,249
420,3527
747,4482
12448,154
10318,8787
1554,8806
1577,1482
3376,9781
10281,225
1042,2370
814,4482
5476,211
10476,11321
6977,225
12459,91
12463,36
7361,5560
8866,5912
8095,91
12478,3527
3622,11051
6465,3386
12016,7584
10009,428
12496,1562
1310,4062
11617,3516
9971,2752
12507,211
12513,9807
12456,249
12515,2435
6412,1237
12528,407
12529,523
12534,523
10258,6537
12547,97
12548,91
12551,2604
12552,1521
11087,657
12559,12560
12564,211
5285,4989
12569,36
12570,73
12571,12572
6905,7024
1691,1046
3558,12582
12585,146
10958,2338
12102,146
11347,146
2926,3048
12597,154
9229,91
1954,146
6232,7234
1376,6779
12609,91
12610,9640
9127,12212
4707,8297
100,543
12617,2118
7144,2507
12629,9692
8457,4219
7196,867
10401,154
12635,146
12639,225
3414,1875
2248,10108
12662,2658
5034,407
12668,683
8115,12671
5121,7664
2457,8605
191,1294
9627,97
5920,91
6059,1488
12730,5864
12733,2368
3539,4085
12737,249
12739,73
2422,6387
6025,1931
11074,97
12748,1130
12749,225
9507,300
12750,4603
8964,1534
10043,12758
1681,11735
617,2268
12759,2435
961,211
9763,154
5548,7234
11588,10057
8137,1130
7336,36
2841,6532
12773,225
5627,2022
3967,6552
12779,7270
10024,2865
8440,12781
10994,8971
12790,91
5789,11681
6152,11108
3694,86
12797,1488
10641,154
835,12798
12801,36
10473,12798
12806,36
6759,2885
11837,6563
2363,523
5071,12826
10525,741
12008,3516
7850,9594
5562,11427
7056,4603
12844,12845
12848,91
5603,1130
12849,225
12853,97
12854,1435
6685,12857
12858,7872
11696,2446
206,1658
5623,5256
3066,11710
12873,225
1138,6007
12877,3492
3197,5222
8572,10025
12889,3492
10450,6810
3596,8974
6318,428
12900,249
3370,3091
7853,4002
1803,9452
12918,146
12919,4454
5197,8806
12922,97
9455,8523
12939,2435
9122,1171
8697,1145
12941,97
10645,1724
12952,36
3982,1171
10026,3577
1825,7554
9590,12962
12965,12966
6264,12971
12972,2435
6802,5410
8721,10503
5563,10503
12981,2247
11000,225
294,1171
10935,6812
6780,7422
11035,225
10866,12184
5102,6590
133,5043
822,4903
1651,97
5824,3156
13022,12572
4190,146
13026,211
11562,36
3918,6451
12677,91
11424,7467
8702,3256
12911,13041
13044,407
13046,523
7028,146
13047,2017
13054,146
13055,407
7132,211
13060,91
13062,225
13067,523
13074,1130
13075,1130
13078,146
5354,2740
13083,154
12727,4148
1119,167
273,13096
13097,91
13098,407
6681,2610
13105,7664
6161,1130
3378,1575
13112,211
13117,3093
5446,4993
13132,91
12978,36
10766,13136
8875,8974
12133,3316
13145,146
8396,7469
3943,5671
4655,146
13152,407
10013,7346
13154,7688
256,13158
1892,10157
13165,1435
7156,4389
30,8479
6746,6438
13173,9181
10322,8784
7630,3492
6991,1720
13179,5406
8312,13180
5660,146
7777,1838
12772,1171
13194,249
2253,13195
13202,36
13203,683
5990,5410
13204,63
8052,5472
13209,4642
6889,4066
8143,12057
1609,225
1233,1342
13226,5295
13238,683
579,5261
3834,13248
5836,225
13252,91
13258,1477
11277,154
13260,13261
4155,1294
12646,2268
8229,11745
5336,417
10119,2783
8492,4454
13273,146
5322,1530
13276,146
12129,13278
9710,4223
13281,249
10189,13282
4848,4085
4276,3395
10602,73
1373,4066
13291,1541
13293,2376
13297,73
8475,2022
932,3492
8937,5597
13302,36
13306,6316
8830,97
8465,2565
6894,7016
9497,91
4820,13310
464,10869
13314,146
7601,91
13319,13320
13323,407
2956,2565
13326,407
7311,3395
9918,4615
13335,146
4758,152
13338,6567
13348,36
6053,36
13356,9359
13357,9518
13358,2435
13359,6741
13365,249
806,276
13370,225
13371,146
12967,1171
9310,10991
5728,1294
12481,11710
13381,3492
7585,1412
13382,7929
12022,407
7231,428
10333,13136
13390,8404
1932,4505
13394,36
3029,97
6428,2604
