telephone_1,telephone_2
9375,3
5804,3
9378,3
363,3
9389,3
9396,3
9411,3
1200,3
9433,3
6255,3
9462,3
7580,3
9503,3
9507,3
9512,3
7979,3
4239,3
9551,3
1526,3
9571,3
6887,3
9583,3
769,3
9598,3
9602,3
9606,3
694,3
9620,3
5596,3
9474,3
7033,3
9654,3
9660,3
9663,3
9670,3
9675,3
6355,3
9262,3
9719,3
7764,3
9724,3
9742,3
9743,3
9748,3
4840,3
9766,3
5227,3
6094,3
9778,3
7713,3
9791,3
6501,3
3996,3
8199,3
1185,3
9841,3
9847,3
9848,3
3449,3
3190,3
432,3
1924,3
9913,3
2136,3
803,3
5962,3
9949,3
381,3
1685,3
3362,3
5692,3
252,3
9997,3
10001,3
8574,3
10011,3
1509,3
10019,3
8156,3
399,3
8554,3
10024,3
10026,3
10041,3
1561,3
10047,3
10049,3
4773,3
10065,3
10068,3
10070,3
9957,3
10076,3
3860,3
805,3
9622,3
10091,3
6506,3
10096,3
10114,3
5926,3
10166,3
4900,3
10180,3
10187,3
7632,3
10199,3
10203,3
10205,3
1164,3
6372,3
10255,3
10258,3
9340,3
10289,3
10302,3
8485,3
1704,3
8100,3
7830,3
619,3
2306,3
10341,3
10357,3
10366,3
10380,3
10391,3
4313,3
4876,3
10403,3
1967,3
10411,3
10421,3
5688,3
10426,3
976,3
6654,3
704,3
9182,3
8403,3
10456,3
3004,3
10471,3
8793,3
10476,3
10020,3
10490,3
10492,3
5850,3
1957,3
3947,3
10506,3
5873,3
2196,3
10515,3
10519,3
10525,3
8270,3
4079,3
2913,3
7442,3
9792,3
4113,3
10617,3
3868,3
7566,3
10669,3
10678,3
1219,3
4167,3
10723,3
10725,3
10728,3
4414,3
2743,3
10747,3
10765,3
9651,3
4496,3
1758,3
10811,3
3118,3
10820,3
10822,3
3645,3
10825,3
7615,3
10851,3
10857,3
3370,3
10858,3
10516,3
6945,3
4566,3
10870,3
10871,3
10881,3
5701,3
4149,3
10273,3
10423,3
7414,3
861,3
10944,3
10948,3
9661,3
10963,3
4726,3
6814,3
10985,3
10700,3
7558,3
10995,3
11002,3
11008,3
7247,3
11026,3
2076,3
11036,3
11053,3
7624,3
6624,3
11067,3
11089,3
11097,3
3812,3
11102,3
8824,3
11123,3
1495,3
11130,3
337,3
10721,3
9706,3
5726,3
11173,3
11198,3
10682,3
9444,3
11231,3
9677,3
10318,3
11276,3
11283,3
5011,3
11296,3
11297,3
11300,3
11301,3
11302,3
11307,3
11318,3
9674,3
927,3
11351,3
11358,3
4966,3
11373,3
11391,3
5469,3
3832,3
7318,3
6360,3
11455,3
11458,3
6896,3
11469,3
4499,3
11486,3
11494,3
9577,3
10372,3
2391,3
9381,3
5524,3
11012,3
6204,3
11535,3
3005,3
11540,3
3833,3
10649,3
11567,3
11568,3
11335,3
11590,3
4058,3
11144,3
7468,3
2882,3
11617,3
114,3
2708,3
3188,3
11635,3
3827,3
11648,3
2642,3
4792,3
4681,3
2260,3
11672,3
11631,3
11087,3
518,3
11684,3
11693,3
11696,3
2175,3
11705,3
9865,3
11719,3
10861,3
11730,3
11731,3
11738,3
11747,3
11748,3
5344,3
10990,3
1398,3
6820,3
7353,3
11805,3
11835,3
4611,3
11837,3
11841,3
9315,3
4789,3
11860,3
4849,3
797,3
6304,3
2039,3
11876,3
1190,3
11883,3
11890,3
11893,3
10048,3
11900,3
8115,3
4723,3
11918,3
7945,3
3889,3
11936,3
11938,3
5972,3
4693,3
11956,3
4169,3
11975,3
11991,3
11993,3
12008,3
645,3
9589,3
12043,3
12045,3
2115,3
3139,3
7684,3
10207,3
1413,3
12093,3
12099,3
12103,3
12109,3
7095,3
12119,3
12071,3
2040,3
4473,3
10597,3
7029,3
12156,3
8702,3
12181,3
4974,3
12206,3
3035,3
12214,3
11251,3
12228,3
12230,3
12260,3
808,3
12271,3
12210,3
10838,3
5216,3
5681,3
5448,3
277,3
11269,3
12339,3
5319,3
12341,3
12342,3
12361,3
4464,3
12369,3
5247,3
4417,3
10468,3
7499,3
11864,3
12401,3
7384,3
12418,3
5559,3
2782,3
12437,3
12450,3
7019,3
12452,3
12457,3
12461,3
12475,3
3012,3
2768,3
4180,3
12524,3
7253,3
12538,3
12541,3
12542,3
12556,3
12557,3
1026,3
12581,3
12583,3
5598,3
3002,3
2972,3
9824,3
12596,3
314,3
5821,3
6729,3
12602,3
12412,3
9641,3
12624,3
7455,3
12636,3
3247,3
7575,3
12640,3
8405,3
12655,3
12663,3
11438,3
12370,3
1009,3
10234,3
12686,3
11797,3
12105,3
1989,3
3105,3
12708,3
788,3
6574,3
7769,3
12736,3
7485,3
3215,3
9842,3
6868,3
1511,3
12791,3
12792,3
12642,3
9715,3
9605,3
7999,3
12830,3
8521,3
5301,3
1713,3
12856,3
3708,3
11385,3
9931,3
12016,3
12896,3
1054,3
12904,3
12907,3
12911,3
12913,3
2553,3
12916,3
7901,3
12927,3
12930,3
12933,3
60,3
12945,3
892,3
6980,3
502,3
7801,3
7631,3
12977,3
12983,3
10209,3
2440,3
498,3
1061,3
13029,3
13034,3
1576,3
13048,3
13061,3
8211,3
12281,3
13073,3
5272,3
1073,3
13093,3
13100,3
531,3
13110,3
11601,3
11273,3
13146,3
13157,3
13159,3
11339,3
13166,3
5947,3
2286,3
13191,3
13211,3
13214,3
5136,3
6047,3
1273,3
8507,3
2746,3
13236,3
13218,3
1701,3
9907,3
1348,3
8334,3
2332,3
8396,3
13275,3
13285,3
9431,3
12069,3
2940,3
466,3
1958,3
13321,3
5830,3
13337,3
11225,3
7364,3
13360,3
5429,3
1992,3
3906,3
5435,3
1503,3
2327,3
4664,3
3945,3
1286,3
13239,3
7797,3
13470,3
13483,3
6199,3
7516,3
13501,3
13502,3
13503,3
1610,3
12844,3
7848,3
6509,3
11995,3
1267,3
13540,3
13542,3
6652,3
11166,3
13564,3
11491,3
4410,3
8291,3
13596,3
13603,3
2381,3
13612,3
13616,3
5536,3
13619,3
13626,3
472,3
13643,3
8515,3
13647,3
13657,3
13254,3
2325,3
9405,3
13691,3
98,3
5779,3
13698,3
12329,3
7871,3
2570,3
12462,3
13736,3
7967,3
5649,3
8084,3
13745,3
10620,3
12246,3
13746,3
7473,3
8939,3
7216,3
12774,3
20,3
2630,3
13758,3
1783,3
664,3
4400,3
13786,3
13795,3
13807,3
4961,3
3938,3
13817,3
4160,3
13842,3
4560,3
8786,3
10247,3
4228,3
10520,3
9572,3
2386,3
5877,3
2227,3
2063,3
10392,3
13888,3
4639,3
1836,3
8789,3
13905,3
2369,3
13915,3
187,3
13916,3
13918,3
136,3
13923,3
6301,3
4656,3
13930,3
1675,3
13260,3
9310,3
8775,3
13951,3
495,3
13967,3
13969,3
6273,3
10137,3
13974,3
1774,3
13985,3
11011,3
7891,3
13991,3
587,3
10900,3
12227,3
13225,3
7098,3
14068,3
13043,3
14086,3
14095,3
5817,3
5592,3
959,3
14118,3
5378,3
10045,3
14132,3
8174,3
11594,3
3681,3
13163,3
14147,3
4221,3
14170,3
4694,3
2417,3
190,3
10798,3
7238,3
14187,3
1513,3
8956,3
14211,3
1462,3
69,3
14224,3
5058,3
410,3
10298,3
11215,3
9155,3
2884,3
4337,3
1242,3
7361,3
4761,3
14105,3
13497,3
9863,3
5620,3
5778,3
2043,3
14282,3
14284,3
10304,3
13280,3
578,3
9637,3
11732,3
14128,3
4277,3
2646,3
14315,3
14317,3
14321,3
14323,3
1256,3
14325,3
14326,3
14327,3
14332,3
7245,3
14335,3
14347,3
12920,3
13748,3
997,3
14352,3
2694,3
7184,3
8138,3
2832,3
9353,3
14386,3
967,3
983,3
14402,3
14405,3
14410,3
14431,3
13291,3
10996,3
1825,3
13047,3
2090,3
5819,3
14090,3
14484,3
14125,3
14495,3
13492,3
8692,3
5446,3
14532,3
4747,3
11329,3
5730,3
11758,3
14556,3
10600,3
10125,3
5417,3
775,3
14582,3
14458,3
14594,3
13113,3
6765,3
5037,3
12034,3
2532,3
11629,3
14624,3
631,3
14463,3
125,3
14642,3
9429,3
14647,3
4779,3
14654,3
14655,3
14657,3
10651,3
9437,3
2936,3
14670,3
142,3
14674,3
4073,3
14687,3
12368,3
2546,3
6935,3
14200,3
14701,3
11218,3
14702,3
10611,3
3057,3
14715,3
14718,3
9785,3
12676,3
14746,3
13729,3
14749,3
2757,3
2765,3
6855,3
13144,3
5453,3
5622,3
135,3
14776,3
14075,3
14779,3
9088,3
3953,3
9277,3
14794,3
14800,3
10359,3
8379,3
3927,3
3828,3
420,3
9072,3
5793,3
14855,3
1116,3
9134,3
7613,3
12168,3
12886,3
11284,3
8136,3
5687,3
10283,3
1892,3
3096,3
12892,3
14523,3
13399,3
14905,3
8873,3
14911,3
14912,3
14916,3
179,3
14937,3
3692,3
5915,3
4383,3
14958,3
13455,3
6050,3
12780,3
7461,3
6030,3
3233,3
14972,3
13406,3
6006,3
7636,3
13772,3
14988,3
14991,3
11171,3
15007,3
15034,3
9432,3
8249,3
589,3
15051,3
325,3
6503,3
2251,3
15011,3
6707,3
5088,3
14374,3
15072,3
12000,3
5176,3
9023,3
4862,3
2577,3
7911,3
10686,3
1313,3
7690,3
1198,3
15092,3
2788,3
12629,3
3066,3
12097,3
9352,3
15138,3
14266,3
247,3
6068,3
4229,3
672,3
15149,3
8932,3
8724,3
15167,3
15183,3
12601,3
9827,3
4713,3
15195,3
1031,3
11844,3
11071,3
15215,3
3341,3
4786,3
4510,3
7995,3
3352,3
12779,3
696,3
15249,3
7676,3
1679,3
9489,3
9099,3
6135,3
962,3
7018,3
13850,3
12615,3
552,3
15296,3
10034,3
13535,3
15302,3
13227,3
10122,3
15307,3
15314,3
5869,3
10676,3
12050,3
12950,3
8798,3
2071,3
3381,3
14242,3
15365,3
1386,3
15370,3
4438,3
8302,3
7272,3
108,3
14194,3
4925,3
11240,3
1341,3
10221,3
15426,3
11378,3
15435,3
5513,3
10081,3
15452,3
9218,3
10475,3
15457,3
3236,3
4627,3
15272,3
15480,3
12054,3
15483,3
7429,3
15510,3
2224,3
5579,3
15521,3
3540,3
5254,3
795,3
15540,3
9893,3
2250,3
15546,3
15562,3
15563,3
15564,3
2851,3
10745,3
6710,3
3787,3
15593,3
2678,3
8383,3
15622,3
157,3
6174,3
7415,3
7437,3
5689,3
5606,3
5992,3
4303,3
15644,3
15655,3
13615,3
3023,3
15658,3
15660,3
11479,3
15667,3
10353,3
13396,3
6470,3
13829,3
12509,3
9517,3
296,3
5277,3
6087,3
7198,3
14723,3
15697,3
13505,3
4480,3
7233,3
43,3
2174,3
1479,3
10856,3
5787,3
67,3
12706,3
15755,3
3183,3
13255,3
9762,3
10145,3
9830,3
2475,3
5029,3
15768,3
15328,3
4770,3
8262,3
7795,3
2780,3
9851,3
12084,3
9178,3
15835,3
6544,3
8120,3
15860,3
12738,3
12763,3
15865,3
6576,3
3641,3
14130,3
8756,3
15874,3
8870,3
15888,3
9694,3
15896,3
9979,3
15903,3
4756,3
15910,3
8377,3
2749,3
8862,3
15921,3
13429,3
14977,3
15937,3
12382,3
5303,3
12797,3
15938,3
14302,3
10103,3
2463,3
5805,3
1732,3
14157,3
3103,3
10118,3
15981,3
6456,3
4241,3
826,3
10272,3
10803,3
9035,3
5363,3
3269,3
16009,3
2847,3
14796,3
6605,3
9718,3
9510,3
6397,3
13723,3
4086,3
11587,3
16038,3
3913,3
3203,3
16049,3
16052,3
16053,3
8471,3
5153,3
655,3
13721,3
3171,3
8871,3
8979,3
6325,3
9114,3
6914,3
9740,3
7970,3
9388,3
9251,3
2436,3
15305,3
888,3
5582,3
4082,3
6516,3
4261,3
12588,3
7328,3
13357,3
12145,3
4735,3
16124,3
5900,3
13640,3
513,3
3964,3
4245,3
6217,3
14153,3
12987,3
4061,3
4104,3
16199,3
12490,3
12496,3
11933,3
16212,3
16225,3
13887,3
8672,3
16271,3
5921,3
9147,3
16281,3
14310,3
11368,3
16287,3
14610,3
9339,3
494,3
5119,3
11464,3
16059,3
16302,3
12750,3
7655,3
14312,3
11787,3
7444,3
9922,3
7866,3
16352,3
16084,3
4635,3
8279,3
9435,3
4536,3
1497,3
1905,3
2978,3
7706,3
7056,3
12794,3
8388,3
4599,3
9782,3
16400,3
14605,3
12416,3
16423,3
712,3
4855,3
1655,3
1810,3
5424,3
16449,3
16450,3
987,3
5510,3
1383,3
16468,3
597,3
750,3
547,3
10457,3
11623,3
15407,3
16477,3
10080,3
102,3
2465,3
16481,3
8116,3
2056,3
10625,3
3687,3
5526,3
16494,3
2490,3
5377,3
16505,3
14017,3
9333,3
1894,3
9711,3
9586,3
15713,3
10653,3
16528,3
853,3
4231,3
9780,3
12290,3
12291,3
6197,3
14959,3
10931,3
16573,3
16574,3
15475,3
13552,3
2410,3
1013,3
10128,3
8065,3
6614,3
2685,3
16595,3
10109,3
8277,3
9445,3
16617,3
4988,3
8331,3
6097,3
16636,3
10105,3
8872,3
16169,3
5292,3
16650,3
5960,3
1254,3
16274,3
7653,3
15663,3
12384,3
1934,3
1556,3
299,3
6128,3
15794,3
16692,3
6591,3
5433,3
15099,3
16706,3
3324,3
7549,3
1474,3
12122,3
10373,3
3469,3
16729,3
15221,3
4226,3
2393,3
778,3
3849,3
14974,3
6258,3
16766,3
11275,3
4019,3
13662,3
8421,3
10450,3
12745,3
12250,3
9816,3
14944,3
13994,3
7484,3
16813,3
16831,3
2442,3
6046,3
16833,3
16836,3
12869,3
15205,3
565,3
13606,3
16840,3
2979,3
14850,3
5968,3
9259,3
6847,3
16857,3
16864,3
11734,3
16870,3
5652,3
16882,3
4164,3
4552,3
11337,3
283,3
14671,3
831,3
4971,3
10067,3
7766,3
10284,3
16914,3
7783,3
13468,3
925,3
11561,3
3032,3
16922,3
412,3
16929,3
16934,3
913,3
3865,3
16952,3
16953,3
16965,3
4829,3
1815,3
16968,3
954,3
7287,3
10156,3
16977,3
16987,3
8430,3
1627,3
8052,3
7242,3
777,3
11791,3
12727,3
10843,3
5824,3
14411,3
5218,3
1469,3
2759,3
16046,3
16219,3
15780,3
17031,3
12940,3
17042,3
1131,3
4051,3
17058,3
6075,3
542,3
1270,3
17069,3
874,3
12981,3
8560,3
1209,3
17082,3
930,3
3969,3
9941,3
16949,3
2112,3
7031,3
11117,3
6621,3
13175,3
17111,3
39,3
7570,3
9635,3
7767,3
17119,3
883,3
4545,3
5056,3
8445,3
7143,3
15885,3
5740,3
1502,3
17140,3
11880,3
13485,3
14267,3
11109,3
9751,3
17161,3
1368,3
13848,3
11411,3
17178,3
17180,3
17182,3
7321,3
7599,3
4506,3
9698,3
17211,3
11657,3
12087,3
17220,3
6109,3
11256,3
13939,3
9502,3
6972,3
15880,3
16313,3
5841,3
9257,3
7805,3
7618,3
4558,3
11790,3
3224,3
13338,3
11767,3
12863,3
17296,3
4330,3
4259,3
12232,3
3682,3
10219,3
7642,3
15985,3
8894,3
1911,3
8985,3
11582,3
17329,3
15568,3
13600,3
13668,3
13324,3
7792,3
10666,3
7699,3
4322,3
14383,3
7594,3
17351,3
4580,3
8815,3
7853,3
7799,3
3870,3
3070,3
17369,3
6875,3
14366,3
11728,3
2754,3
13091,3
10110,3
6398,3
6367,3
17418,3
17422,3
7005,3
10031,3
8489,3
8087,3
17019,3
3801,3
8621,3
1537,3
16339,3
17451,3
17457,3
2573,3
17463,3
8346,3
2864,3
14795,3
999,3
17468,3
12353,3
9520,3
8457,3
13154,3
15112,3
17490,3
12632,3
17504,3
978,3
8355,3
16435,3
17519,3
11935,3
8074,3
2504,3
6648,3
13767,3
17483,3
11038,3
14852,3
3437,3
17564,3
11947,3
263,3
8592,3
17340,3
17582,3
6982,3
14080,3
9845,3
6373,3
11792,3
17595,3
15595,3
2916,3
5800,3
17610,3
10311,3
13241,3
2432,3
7504,3
2652,3
1714,3
17620,3
10260,3
14443,3
12413,3
8701,3
12323,3
15267,3
11643,3
17646,3
17558,3
17652,3
15979,3
17671,3
7150,3
8810,3
11622,3
8863,3
15231,3
14640,3
6186,3
9923,3
3129,3
14691,3
16981,3
17741,3
17746,3
6443,3
15916,3
1226,3
6857,3
2856,3
7629,3
17762,3
11687,3
8828,3
17779,3
16270,3
4733,3
15151,3
16349,3
8778,3
3633,3
8595,3
13756,3
5561,3
5327,3
1405,3
2214,3
3442,3
17813,3
5102,3
11434,3
783,3
5328,3
7017,3
15900,3
11474,3
12835,3
4060,3
16631,3
17837,3
6017,3
11618,3
13295,3
17076,3
6981,3
15464,3
4942,3
5480,3
16343,3
17855,3
16509,3
8278,3
15936,3
27,3
3751,3
17871,3
3564,3
12133,3
1616,3
1042,3
33,3
12956,3
5644,3
16122,3
3617,3
16299,3
17901,3
17902,3
1240,3
13441,3
12349,3
14120,3
16406,3
1306,3
14736,3
10424,3
7704,3
1535,3
17942,3
17944,3
13999,3
9110,3
965,3
17949,3
16310,3
6417,3
5517,3
14421,3
11508,3
16822,3
17974,3
17975,3
17649,3
2181,3
9676,3
5384,3
12858,3
18001,3
8071,3
10014,3
1138,3
204,3
9750,3
8953,3
1370,3
14921,3
5733,3
16924,3
6568,3
10715,3
6706,3
5335,3
873,3
18019,3
13569,3
8333,3
18026,3
4835,3
13143,3
5535,3
4921,3
7635,3
8306,3
7160,3
14825,3
14707,3
13058,3
15286,3
6927,3
5842,3
8527,3
17808,3
11917,3
7562,3
2265,3
11907,3
9553,3
5764,3
5286,3
10722,3
12434,3
6430,3
1233,3
14544,3
16792,3
10133,3
3387,3
1694,3
13341,3
15059,3
3995,3
1741,3
6236,3
186,3
8955,3
8098,3
18115,3
13800,3
6144,3
137,3
5104,3
3550,3
10097,3
11775,3
10300,3
9909,3
3184,3
13313,3
469,3
2473,3
2288,3
9421,3
14891,3
16601,3
480,3
2164,3
13127,3
2719,3
699,3
6169,3
11025,3
268,3
6344,3
15308,3
15391,3
4143,3
13210,3
914,3
10720,3
15559,3
6462,3
18247,3
17479,3
16178,3
637,3
15683,3
2439,3
1025,3
6531,3
15924,3
734,3
6901,3
13018,3
18292,3
12834,3
2778,3
18305,3
4717,3
1626,3
4166,3
7691,3
6627,3
820,3
933,3
3285,3
1766,3
7341,3
4111,3
2584,3
7077,3
10812,3
15594,3
14362,3
12620,3
6439,3
11363,3
1160,3
11325,3
1391,3
10776,3
7910,3
1322,3
14530,3
14793,3
7239,3
5049,3
2896,3
4248,3
18402,3
16285,3
7103,3
1623,3
3205,3
14521,3
2997,3
11533,3
7456,3
1630,3
3238,3
30,3
18440,3
16108,3
7551,3
12847,3
9788,3
15788,3
12159,3
7325,3
13125,3
13989,3
3791,3
16925,3
15939,3
11824,3
13697,3
14706,3
17665,3
6347,3
14296,3
7905,3
3382,3
360,3
18387,3
9162,3
18504,3
7345,3
2266,3
2512,3
7305,3
11964,3
3666,3
4920,3
4777,3
7000,3
11409,3
11247,3
14577,3
2210,3
6271,3
3320,3
2811,3
6717,3
18398,3
18561,3
17928,3
18566,3
18571,3
18587,3
5084,3
3562,3
2267,3
16665,3
7663,3
14276,3
18595,3
3735,3
11556,3
13720,3
16092,3
6340,3
7139,3
3194,3
10434,3
8179,3
3537,3
11862,3
11647,3
5789,3
17574,3
18637,3
11264,3
4718,3
18650,3
7771,3
11996,3
8943,3
16171,3
4649,3
9424,3
18677,3
8502,3
10365,3
191,3
8323,3
18685,3
9366,3
8358,3
1777,3
3607,3
5735,3
13196,3
18701,3
6742,3
7647,3
242,3
149,3
9221,3
18723,3
18724,3
7260,3
3567,3
3208,3
15891,3
5934,3
18738,3
11796,3
11867,3
5505,3
4533,3
17811,3
18138,3
7381,3
4286,3
4610,3
5951,3
16839,3
16016,3
15612,3
2120,3
18793,3
4788,3
10875,3
8464,3
3059,3
10854,3
1253,3
8854,3
14047,3
4386,3
12551,3
12191,3
16013,3
18834,3
12552,3
18843,3
4518,3
18851,3
18854,3
18856,3
18160,3
2934,3
16652,3
1619,3
8917,3
5837,3
11569,3
9392,3
5127,3
1334,3
14566,3
18882,3
11394,3
9346,3
3690,3
7394,3
12337,3
3314,3
6308,3
13434,3
2817,3
4751,3
1772,3
4866,3
5300,3
9356,3
5752,3
11518,3
4155,3
10162,3
8286,3
14663,3
8450,3
11682,3
12223,3
6578,3
18931,3
17782,3
14901,3
3930,3
4720,3
4891,3
2160,3
15222,3
13953,3
3578,3
3838,3
13379,3
10416,3
14494,3
9316,3
10140,3
14940,3
11987,3
9146,3
7748,3
12690,3
11006,3
12484,3
5893,3
13359,3
5330,3
19004,3
19005,3
13473,3
12559,3
2257,3
18450,3
4415,3
19033,3
8305,3
