memberof_1,memberof_2
2129,110
9577,110
2214,302
9597,130
4776,56
9601,414
9603,130
9612,197
3505,26
4590,124
4557,38
918,130
9655,110
8490,573
9069,269
9701,553
617,26
9720,110
9722,106
9728,227
9734,56
7035,56
9739,26
9676,553
9745,414
9754,110
9755,38
3317,124
5647,269
9775,26
9806,106
9586,553
9822,302
5098,56
6472,56
5521,573
668,269
7458,573
9846,130
3597,56
6279,106
7909,110
6863,130
7809,447
9906,227
6884,227
7155,302
9920,38
9922,573
8656,106
9934,227
1518,130
9936,197
9242,573
5504,124
9303,26
9999,26
1535,302
10014,553
8953,553
6405,553
10066,197
10072,269
10101,130
1077,26
3889,110
10105,553
8872,553
9713,124
5292,553
7786,106
10133,553
10136,130
2588,26
10139,106
10148,26
10181,269
10183,227
10186,26
1934,553
3975,26
8153,227
10206,227
5341,106
10228,197
10239,38
235,56
10256,269
7277,302
5970,124
10268,106
6365,106
10279,197
5075,197
7549,553
10300,553
10309,110
10322,130
2137,573
5446,414
3368,124
4907,110
10351,106
5590,38
1694,553
49,56
10386,38
1961,447
10402,414
1614,56
3693,302
10446,573
10450,553
1004,197
10470,38
2132,197
10504,197
10528,26
10538,227
10547,38
10548,269
10558,197
10562,38
2952,26
10572,197
1254,573
10631,124
7408,573
9909,302
8283,26
10714,106
10720,553
8213,130
7742,110
5995,414
5345,56
10734,38
10738,302
6685,124
10745,197
7374,110
10754,124
7957,269
10760,302
9985,38
10783,106
5115,26
10812,553
4829,553
4857,130
10849,269
10855,124
914,302
10873,130
10909,38
6912,124
10920,269
10921,197
5257,447
10843,553
752,124
3444,414
8570,38
3953,414
1531,197
3205,553
1205,227
591,130
3961,130
11055,56
8243,227
4383,573
11066,302
4719,38
6957,56
4758,38
2188,447
11113,110
11114,130
7167,124
11117,553
11135,227
6924,26
11188,269
8888,26
11205,130
8820,302
11259,447
11272,269
11304,130
11320,38
4575,447
1162,124
1602,124
1104,447
10442,414
11360,26
4911,26
11376,197
5331,124
11390,269
4964,106
5694,124
11409,553
11410,38
9659,227
11420,269
11433,110
7657,124
11461,414
1949,124
11468,302
11476,110
2732,26
11480,269
8809,227
1642,124
11516,106
10189,447
11524,197
7111,110
6029,106
11556,553
11566,227
11570,110
11580,38
11589,110
2467,130
2253,124
531,110
2275,124
11614,302
8505,106
11622,197
7583,56
5774,26
11647,553
11658,26
9009,227
3660,38
9021,227
5685,106
11715,130
10213,447
908,56
5806,26
11744,227
1006,110
8340,26
11783,302
3298,130
11802,26
4614,197
3607,553
10349,227
11825,130
11851,106
11388,414
9879,302
1323,110
11887,106
9074,56
4317,414
11927,302
11941,130
11942,197
10113,553
6154,302
11969,227
11972,106
8977,106
11977,130
11980,302
3133,124
6775,130
11996,302
9387,106
5478,269
12012,38
8639,447
4256,110
5951,553
8465,124
3412,124
2515,38
8884,269
3173,573
10890,447
5706,130
232,302
12129,124
9593,227
12138,269
12141,573
11379,227
7427,269
2023,110
12157,269
12158,302
12165,106
12207,56
2329,38
12208,106
1100,130
10225,26
3162,106
12225,106
12245,106
12248,106
7130,38
12265,269
12270,26
8434,197
7568,227
62,197
12278,269
7106,106
12283,56
12288,197
6589,269
12294,106
12318,26
12321,227
12323,553
12329,110
12337,553
12343,302
12344,302
12346,227
12350,269
12353,573
9859,269
725,106
3789,573
12381,130
8632,447
9877,56
12414,38
7154,26
12428,302
3930,553
11124,447
11721,414
10508,414
461,38
623,269
11903,573
3465,38
9468,130
12460,414
4324,124
8186,110
11770,573
12480,110
12083,130
9463,269
1533,56
7577,26
1484,38
9558,414
1927,414
828,110
9124,124
9201,197
2949,414
12047,56
1588,124
9245,124
9795,302
12644,227
4493,573
12659,56
12660,130
4534,573
12666,130
12667,302
11592,447
12683,38
11640,26
9183,56
1789,447
9470,130
2905,124
9531,130
10308,56
5918,26
12711,26
6550,227
12725,110
12325,106
541,197
5046,106
12762,110
5480,553
12775,110
12776,227
12784,227
675,197
6641,56
9690,447
10640,110
9532,124
12811,269
12818,227
9582,227
219,197
12825,269
5426,106
5092,124
6817,447
2257,302
481,573
12864,227
10930,130
3933,130
6404,227
973,227
12440,56
1032,227
10663,130
12910,414
7747,227
12926,227
12934,302
7833,269
5093,573
12942,227
12960,110
11959,447
12988,56
5291,110
1436,269
4277,110
9660,56
5499,124
4312,110
3392,553
5233,124
13030,414
4291,447
13050,106
13056,302
9933,124
13084,414
7994,26
1649,573
13103,302
10539,106
13140,106
1763,197
13143,553
13147,227
10596,106
13153,106
3643,447
13162,38
2561,110
13171,56
13172,227
13177,110
6828,110
10050,124
13205,106
7963,227
1973,197
10036,110
4044,197
13221,227
10955,414
13233,110
2065,197
5641,414
11593,26
2105,197
9225,197
5100,573
3461,447
10215,124
1660,197
6519,56
13294,269
10633,269
4963,197
10355,124
13315,269
13317,553
318,124
6597,26
3211,110
5035,110
7582,124
6032,414
2448,197
5964,573
5464,130
5493,269
4095,110
971,110
5342,302
8075,124
13428,26
13435,414
3357,38
12697,106
6419,124
2357,130
13448,26
3943,26
803,38
1991,130
1133,197
8594,447
5339,56
13516,110
8663,26
13024,573
10666,227
4207,38
6109,197
13529,26
2443,197
13539,227
7446,26
12565,447
11985,130
5325,414
4549,130
13567,302
4988,573
13593,414
945,106
13608,26
7781,38
7634,124
10893,269
13615,227
8467,197
3110,197
5532,110
4278,130
11603,130
1773,56
1394,38
11776,106
13258,106
7396,269
13686,110
13689,269
13692,227
13701,38
13702,414
6753,573
10848,124
4623,269
8217,26
13724,38
13735,110
10872,124
7824,26
10532,124
5861,553
13749,269
10912,124
13766,130
13774,302
5167,553
2855,227
198,573
13797,573
3817,106
13814,106
3466,110
2993,553
7159,124
3957,130
7525,106
9404,130
1729,130
13272,56
5873,38
12824,26
13859,302
13860,106
3119,106
916,56
13867,110
2464,302
13876,110
6996,56
442,414
1246,106
13901,269
4933,269
2347,447
3134,130
1748,106
13805,106
12319,110
8018,106
3349,227
6423,130
41,56
13954,26
151,110
13961,269
6407,302
13457,269
7660,106
8651,106
4055,38
8475,227
14002,227
6539,414
12446,26
6684,124
12058,56
14020,106
11605,269
1053,573
1553,573
12079,26
2630,38
14051,110
13673,269
3785,553
10852,130
266,197
13246,269
7707,302
1154,414
9970,302
14098,26
10029,447
11587,227
1627,573
4564,197
11023,269
11076,38
1327,26
9928,124
14140,197
12231,302
2050,106
7424,227
14148,302
12222,227
9117,26
6463,227
14173,269
9251,227
8387,110
1499,414
1528,414
11311,56
1542,26
8680,124
7504,197
7700,447
12233,56
13793,26
11576,26
2145,573
1700,414
13493,38
7592,302
10523,56
14281,106
10162,197
12674,130
8132,269
7977,227
7119,110
14303,106
12693,130
2035,573
10671,106
9773,302
7751,302
4108,269
1669,124
6077,106
8438,106
14376,302
14380,106
1464,227
5182,197
11322,110
14403,56
9147,227
1273,110
8263,124
14424,227
1460,26
2785,573
11464,227
12292,130
14445,130
1229,302
14448,110
11911,124
6155,447
5086,197
6178,447
9221,553
14483,269
6390,130
8988,56
11944,56
511,124
2587,414
5618,197
8522,124
12061,124
11031,124
10750,106
2735,414
14562,110
13704,447
13033,130
7934,106
14577,573
14590,447
4968,553
720,26
8446,227
5832,197
3724,553
3116,106
14636,302
1451,130
612,38
8738,124
11211,124
13895,38
13415,553
4452,110
2618,414
2704,414
14683,269
14688,130
14689,130
14695,26
8923,124
10563,38
7928,56
14036,26
13832,124
11921,302
5991,110
13019,227
3966,573
8998,124
14787,130
14790,26
13288,130
9322,553
13841,106
7426,269
4021,106
14807,269
2021,26
4215,269
14830,197
12827,447
1381,130
3707,124
9578,106
6021,130
486,269
13253,110
14871,130
3831,414
2536,414
14876,106
6521,197
14877,197
3210,130
1963,414
9278,110
6587,197
5118,130
6634,197
12199,269
10416,553
7484,227
12587,124
13344,130
14940,553
14965,56
14190,130
5425,38
1084,26
14969,227
7640,26
14974,227
13359,553
8811,130
11202,106
3582,414
14997,269
15001,38
15003,130
10226,227
15008,553
15010,130
12418,38
15015,130
10577,553
15031,302
9077,56
12312,110
2299,26
348,130
4027,414
4796,573
13012,130
929,227
15067,38
11610,414
7011,447
8534,269
15085,38
5477,447
12010,227
4754,106
15117,553
15118,269
15122,302
13106,414
4682,573
15137,106
11537,38
1930,553
15145,38
10182,110
2970,447
1728,26
7243,130
8477,110
15188,56
9723,124
9172,38
5976,553
11456,447
15197,56
3001,56
10761,110
4839,414
10850,447
15236,269
3272,447
15244,553
8066,106
11871,26
8419,56
1639,414
9466,26
14363,197
7726,26
3638,106
15254,302
2269,269
4923,38
9748,573
10768,124
2199,26
14528,447
5070,414
15309,110
2528,269
15323,106
9214,553
6287,110
6378,38
10015,124
3280,227
15336,106
9236,110
11529,124
5,553
4914,414
8039,38
4922,414
15367,414
15372,414
12063,302
4928,110
5738,573
6337,38
12131,447
15401,269
5101,447
544,56
2009,130
3988,553
838,269
1290,269
13671,130
10321,227
9063,124
10252,124
12205,447
7571,38
6016,106
14546,269
5543,197
2822,553
15472,110
7858,447
7884,197
15016,56
9699,106
306,124
834,56
15494,106
4738,106
2548,227
7937,197
10151,38
7067,197
3160,130
9390,106
7965,197
10489,553
15514,56
12793,110
606,573
8035,110
10408,124
6518,106
15541,106
14639,38
4800,269
6801,302
10192,106
2892,124
15000,269
15522,553
4097,553
629,447
3489,573
9785,110
7364,56
6022,414
12174,106
9096,38
8714,110
3605,26
8006,110
2963,269
2634,56
15684,106
6168,414
13532,124
14910,447
15699,106
2913,573
12965,124
1974,38
12089,124
4091,553
7757,130
5131,26
7822,553
15779,106
15782,38
11450,227
4587,124
2445,124
2700,269
5042,553
702,26
6749,130
3826,38
4931,124
8379,110
3176,197
8314,553
10656,553
15833,130
10177,110
9331,26
11239,553
4424,269
3819,227
3661,130
2689,197
3354,197
12632,227
12646,124
8706,124
1142,124
1364,553
2388,56
15891,227
4593,573
15905,110
515,26
9430,447
8774,197
9567,56
5030,302
7099,573
1178,553
4532,26
5387,124
9871,130
7235,573
15971,124
15240,447
993,26
10086,38
15640,56
1163,227
8158,38
4945,130
7282,302
339,414
13179,553
14600,130
15034,110
10420,26
11615,227
2386,56
7795,38
10806,447
10573,110
2635,106
8020,447
4831,124
7478,573
14009,124
11832,447
4022,227
1375,302
3186,56
4458,302
14030,124
16064,553
16067,110
3737,302
14040,124
10906,302
9154,197
14880,302
14539,26
14848,130
11123,56
11018,38
9209,197
6117,56
1449,106
12838,110
3613,106
4197,38
4771,227
11278,302
15863,130
16117,110
13838,130
5698,447
14705,269
3574,110
1172,414
11177,110
3493,553
14218,269
2216,106
3948,573
735,110
1467,414
6512,26
7597,573
5298,447
5828,130
15315,38
11654,124
10104,447
3977,106
13452,269
3883,130
11016,110
4239,197
13881,110
16238,56
3578,197
6697,106
12172,573
4036,56
9321,227
5567,26
9606,197
16295,56
16297,302
2138,124
4888,197
4897,38
3769,124
2436,38
14164,553
16319,269
6375,124
11241,302
5746,106
11804,106
15440,130
15132,106
11662,26
13982,38
7526,26
5178,573
9811,302
5145,302
14393,124
8936,110
5080,197
8134,302
13650,269
10992,26
14449,124
5655,227
16354,553
15250,553
5596,197
4157,38
3190,197
13677,302
2313,414
13,26
6083,26
7764,197
15629,269
5814,227
16458,553
570,106
7951,130
6238,447
15166,553
937,124
3564,227
10047,197
9098,38
9215,110
12148,124
6932,227
5709,227
16524,38
12203,553
12005,110
11437,130
16542,269
11956,56
8536,269
4275,56
16555,38
16557,38
3446,197
76,553
8532,573
10199,197
762,302
8399,414
14323,38
6513,26
16585,130
10643,106
14251,553
11868,447
16604,302
16607,56
5891,197
9126,130
15443,130
6401,227
12357,130
4783,26
2773,414
13395,106
12109,56
16645,38
11991,38
221,130
9005,106
10498,553
5927,124
448,26
8875,447
2373,447
10934,447
6645,227
6351,227
6224,197
13442,269
2367,110
7441,38
16714,553
16715,110
10174,130
6594,130
746,26
16725,106
10968,269
16071,447
9553,227
14094,553
4121,573
16501,106
5352,38
6841,573
12100,302
1611,414
12614,124
11262,302
7499,56
12001,130
1020,447
15661,130
9250,573
15630,56
9444,447
13800,227
1749,447
9814,553
10630,302
7759,124
690,414
5570,124
12425,110
11381,130
12296,447
8880,414
10763,56
12792,106
3370,197
15739,110
1320,269
10881,197
13771,553
15463,130
15030,124
10583,26
9849,110
16873,56
1505,26
7125,227
6676,197
1418,269
9537,447
16753,110
9569,106
12808,124
16898,106
4311,414
5958,302
1474,38
10700,197
7890,447
8148,124
4548,124
16938,26
10589,447
7394,573
5657,38
4684,124
8878,124
1718,269
10339,302
9602,573
6313,56
9974,124
6906,130
3924,106
15369,553
6441,130
5851,110
1971,26
11413,56
10116,302
10262,38
16368,447
10452,110
13230,269
16429,56
11173,197
1173,553
15203,124
1980,269
5241,106
2127,26
15149,56
15425,269
12911,573
16296,447
9571,414
7537,447
12519,56
11307,197
13995,414
1552,227
5674,38
7697,227
5246,124
10313,124
2322,130
2324,269
3268,130
17095,553
17097,302
13137,124
12255,302
4730,38
7923,106
12907,56
13594,26
2868,302
1663,26
7828,227
16871,269
5227,414
11751,38
4661,106
2722,26
8278,110
4134,56
8342,106
6506,573
2672,130
15404,124
9913,573
9146,414
9169,56
11549,124
17186,56
12751,553
16122,110
10889,302
696,56
7692,197
4686,227
10205,573
6727,124
3046,26
7738,197
4871,106
2948,269
8587,106
5796,124
8316,26
17229,269
3908,447
5487,414
5274,269
17240,56
5908,124
17245,130
6417,110
11282,124
13157,56
1271,38
2491,227
4490,447
5242,110
12626,447
2526,227
4185,38
4982,110
11501,130
17111,38
9630,106
3351,269
8275,227
15574,124
7971,197
704,573
7014,553
1164,414
11013,130
3428,269
10471,573
15884,553
12974,110
5374,106
3945,573
13285,56
9540,553
424,26
7586,130
5972,197
17366,130
15282,56
1015,26
8513,227
8752,26
7562,110
2519,56
8948,302
3179,227
3814,269
9799,130
1799,38
11668,414
12558,38
260,227
2250,38
14529,302
7750,130
6357,124
12520,447
6023,106
3932,269
6087,56
7780,56
17415,56
11009,302
11141,302
8081,197
3994,269
4370,302
4150,26
8469,130
2451,106
3476,227
5852,56
222,124
7886,56
8782,227
8685,106
16506,302
4763,110
14144,447
11989,447
5726,106
10944,573
9071,26
15720,56
7730,124
2743,414
12701,302
71,110
3251,130
8636,197
16838,269
5909,56
13525,124
6970,573
723,110
8999,227
357,110
10389,302
10082,106
3150,106
147,227
4481,553
9727,38
12401,197
602,110
3891,447
5559,197
2115,130
11091,26
1216,110
5315,553
4234,227
9524,106
11276,573
10090,124
17204,269
29,110
11429,553
13590,269
13306,553
10487,56
4368,227
5006,26
9828,130
2415,227
7783,110
8824,414
4939,269
17656,56
3570,269
14107,124
4205,130
17674,130
17679,269
16086,124
5232,553
5956,130
1739,447
5238,26
11935,38
2307,414
7580,227
5011,414
1797,110
5547,553
1378,110
2858,269
17388,553
2959,302
5353,269
7711,573
10592,26
2616,106
7163,38
621,447
17752,269
9620,227
14429,38
2029,106
6360,414
15161,130
7518,414
7519,414
5858,553
8400,130
11458,414
1311,124
12573,26
1756,110
10967,56
17792,26
9590,130
17795,553
17806,130
7401,124
3901,197
9847,227
9848,227
7468,414
3290,106
9583,197
17836,130
567,447
3719,130
4365,227
5939,26
9076,56
3651,38
5305,227
2564,302
12945,197
9093,56
13925,130
16287,56
14465,124
9118,56
17857,38
5050,56
7616,130
15693,447
11738,414
10649,414
10041,227
10095,124
1561,227
6400,553
6720,38
14531,124
6672,414
16426,124
6959,130
5497,269
13777,124
10330,26
3009,553
3026,110
16315,56
47,269
11835,414
16584,553
17271,130
7801,197
13492,573
17935,302
7175,26
17940,106
5541,124
529,130
3212,110
11407,110
5947,197
6363,269
5001,110
10600,573
14591,302
10070,227
13214,197
8131,56
10382,130
12008,414
3560,56
1348,197
7187,573
3035,573
10091,197
11111,106
10114,197
4909,269
13390,56
17207,302
10426,227
1114,553
15631,56
18037,106
6667,269
12119,414
5850,227
8732,573
2968,106
8892,106
6885,106
2379,553
8482,414
10302,197
2532,56
1520,130
6001,553
12230,573
652,302
12583,106
8842,573
9824,106
2699,447
5979,106
7032,26
9738,130
7415,197
17039,110
4272,38
3511,26
7034,269
11680,26
3012,573
9944,302
18125,26
7595,124
11366,106
2027,553
4329,110
15966,553
13990,130
16764,124
8808,414
9882,124
4416,110
9092,573
14109,56
6761,227
18176,106
861,227
18191,553
9112,227
1428,124
16819,124
15275,269
3020,110
15486,124
3485,447
11236,26
11521,269
7671,553
2804,110
3420,553
4494,124
7531,227
4669,130
1379,553
7539,26
18250,553
16332,553
17620,110
3812,227
1746,269
5821,414
10919,130
10851,197
1302,56
526,124
2325,197
18285,302
17464,553
264,38
2024,302
12140,573
7324,106
1432,553
10995,197
12815,302
1840,197
9840,553
6868,414
10440,130
17338,56
11198,227
13187,447
2242,130
10418,38
7609,302
11324,302
7755,106
10473,38
6491,197
139,110
10550,553
11857,447
11699,26
1865,269
11711,26
18411,38
18414,130
17598,130
11729,26
7520,269
10939,106
13146,573
4227,56
10690,38
16624,124
6355,414
1932,553
10187,106
5337,110
3188,227
11635,227
6896,227
2840,130
5708,110
4856,26
9907,106
17258,56
15609,302
4767,26
12176,124
18480,106
1643,38
13275,573
2884,197
14180,130
14979,56
1871,38
5830,573
18522,130
15487,124
18523,38
12584,414
14128,197
10821,26
6304,227
14897,553
18533,38
14315,197
3201,553
6275,110
8353,269
2954,26
5019,26
5083,269
2769,124
18040,553
6235,110
18300,130
14421,110
16993,124
18577,110
17954,26
18583,124
13280,197
7848,106
1945,38
8268,227
12915,56
3810,302
12611,130
976,573
10329,106
17344,124
1182,106
3630,227
3832,130
8599,227
1992,414
12247,26
8766,269
7981,106
13485,38
6502,110
1040,302
7308,38
6670,110
3295,110
13843,553
10341,414
10357,414
13483,573
18665,553
18666,106
8947,26
5378,130
3941,447
11329,197
6424,110
871,106
18405,56
5754,447
9025,26
8614,227
8995,269
10844,38
4725,124
3939,227
11629,197
740,38
4446,302
8691,227
599,38
2470,447
17625,414
8931,302
10925,38
5530,56
459,124
18295,447
13066,106
8987,302
3282,447
4609,302
2165,26
9042,106
11704,26
2520,447
6547,26
13254,414
12181,197
3304,38
2110,124
2248,553
2341,38
8665,130
1803,269
7452,269
2782,227
10267,56
4737,302
8084,573
9289,269
16480,553
16337,124
7435,56
17418,38
3216,130
7575,447
18786,447
18351,447
16973,302
13639,447
6624,573
5198,130
8622,106
17578,124
9114,106
12696,26
1567,447
419,553
5646,227
6225,110
4976,130
11170,124
6490,269
14090,130
9148,227
7264,124
9585,26
12636,227
3247,227
9662,553
7930,269
2593,130
9818,124
1543,124
13399,197
3249,269
6301,573
14968,124
13930,573
9223,227
10915,56
15330,38
12538,227
12541,227
791,269
10469,553
17683,124
2768,197
6768,106
6574,227
5265,130
9678,269
14200,130
16051,447
15359,124
18912,56
1878,130
12709,124
5405,110
9768,26
3759,110
2377,38
16090,124
12220,56
1959,553
11906,106
2251,197
7845,553
5681,130
5053,124
5448,130
9888,130
3140,38
2134,124
3192,26
14895,124
13991,414
14378,56
2232,302
14147,414
6540,26
1060,447
892,227
13101,26
10008,269
8791,447
2461,130
19017,56
6954,56
8956,414
17057,302
16268,124
7388,110
17820,124
11719,110
14410,573
10021,26
10169,269
19053,130
13852,56
19056,130
11567,414
6037,130
3090,56
8215,110
14192,447
13167,56
8735,26
15296,197
11339,227
10122,197
19091,130
14425,106
15563,447
6219,269
4141,110
9429,106
8338,110
325,130
6221,302
18100,106
11823,106
12071,106
2531,269
15589,124
3381,197
4980,106
13376,26
13029,197
4849,124
8440,124
2090,414
2306,227
17285,573
8949,26
1529,124
8881,124
471,38
8673,38
8187,124
8332,110
10203,227
14598,124
14647,573
16250,302
3207,110
6372,227
10566,269
645,124
1810,56
5562,38
13531,26
18922,414
9414,447
12054,197
8100,227
6813,302
17350,26
852,553
3917,414
7797,227
17147,124
771,56
11539,553
538,302
8794,56
15521,197
19212,106
2239,130
1306,38
8712,124
14354,26
19225,106
1610,227
14624,414
5051,302
3095,106
10476,227
9653,553
3947,227
16307,106
1275,553
2849,447
8963,110
12368,414
10749,269
6935,414
2381,227
8970,124
18323,26
14988,106
14469,56
5453,573
13486,130
6177,38
4847,130
11003,269
13470,197
13505,197
13133,56
11470,26
11895,56
14776,414
13502,197
11104,26
15021,56
16821,124
7391,302
13328,553
13455,573
9241,110
8517,447
9249,110
7451,302
6057,124
7488,302
1116,414
11270,26
11214,269
11092,106
3938,227
15511,447
231,124
436,56
8899,447
15686,38
18798,38
1487,110
18246,124
8890,38
14130,197
10622,130
3764,269
13915,227
18448,106
13916,227
9507,110
18703,130
386,56
16962,124
1400,26
16105,130
11296,227
8377,197
7543,110
17845,124
672,573
1568,38
12797,197
11436,269
583,269
9375,110
1489,553
15183,573
14127,26
11085,130
16234,553
194,38
1150,56
6846,269
1965,124
542,106
11573,26
3543,447
4862,414
6420,447
19429,130
10156,573
14176,26
1276,56
4228,197
1295,56
240,197
13885,106
11156,130
13723,197
7018,573
555,38
769,110
12930,573
2648,302
3730,130
14769,414
17099,124
16666,106
14480,124
4966,227
17042,573
4695,553
495,197
506,269
5652,38
7228,38
11646,130
2107,26
6229,38
7515,56
12896,124
9216,447
8120,130
19500,227
3214,553
