teacherof_1,teacherof_2
671,3039
4301,6888
178,2233
1780,13578
2652,3639
3105,2128
3068,6784
3773,955
1937,9971
7022,3736
1202,2991
7287,13719
2459,13731
7275,3145
1798,13770
7653,6142
7271,13809
4167,6966
3254,5584
2978,3366
1068,13878
1138,8841
614,1608
6060,1665
393,9360
1743,13303
662,13971
3480,5336
1093,4992
144,1966
2560,12700
452,14041
3801,3271
6760,9856
10529,5712
8348,3425
52,1510
4885,10969
1819,7432
3096,5834
4348,7899
1443,8486
2596,1640
3748,5863
4257,8937
2274,4232
11163,4252
4809,11548
1016,595
9091,3220
2926,7416
5409,1941
3758,5643
7379,1512
1851,5481
3952,13405
1234,6869
2676,10414
2673,366
1207,14781
968,3816
4244,6440
3754,4023
1982,6508
3664,10278
1443,5509
2673,519
1851,5823
959,5952
3127,15144
1860,13752
7494,1101
15169,9224
1836,5790
1652,2649
3427,253
15027,15325
2770,6536
15059,5372
5888,4262
393,3250
842,1371
4499,5310
1676,12923
16,15492
296,6465
4511,1195
102,9265
2191,14268
1714,5538
3535,15576
15578,1946
7514,5033
1232,7462
6650,45
4265,15376
3066,3266
3714,12224
1212,6733
2730,3565
3182,13226
3314,4624
7494,15760
1281,2121
14175,1277
2516,1236
282,15876
4110,691
3882,9323
2838,6682
3482,9544
694,9318
795,6696
373,15986
1905,5402
1606,3750
655,13914
984,2686
7699,2875
4671,16082
949,3803
30,901
6462,4550
1637,3237
6488,605
1056,3279
16,312
3137,9779
10831,3472
7541,6399
2847,6897
11025,5807
7898,1010
2459,1324
11025,16397
2646,7521
399,8247
3645,16430
4707,11577
11361,1115
984,4280
3013,12169
5106,2869
1679,16483
52,6493
4884,4057
1068,3858
733,8375
5792,16314
3146,10363
9718,16609
7356,16507
2770,16629
3843,2326
9966,5052
783,5699
8350,2789
5084,8739
12481,16774
2966,1035
5432,784
1856,4378
2100,1422
783,2971
3960,10695
5197,416
12194,3291
2191,10610
1232,5282
733,11644
3146,4696
5888,5217
8146,4013
6760,11344
13977,10211
6452,2457
820,17121
962,14801
1679,9579
156,13444
655,6551
14817,14682
2544,7481
1138,5096
1909,1159
3215,8165
3645,16471
6033,9646
6310,3218
472,15185
22,4434
3754,14717
6462,919
949,6527
3215,4890
4786,15662
4167,12073
2978,5615
894,12432
9143,5219
4508,11632
1652,6836
186,1672
263,5343
4865,9546
2652,5385
2960,763
11265,2030
7889,6937
1019,2716
4568,3612
6961,2541
9556,3163
1093,16776
12545,4025
10737,10282
562,14459
5482,17878
671,4972
2112,7404
1423,17918
296,6210
2573,6121
6452,6099
7287,12634
10017,7538
14227,15378
11163,15538
9794,10652
2149,548
5424,1933
6760,275
1689,17909
1712,3551
3005,10836
3882,7656
11069,9305
655,7852
6760,10826
3002,12410
1090,6274
9851,2558
1919,15301
3882,1899
108,12238
1002,17866
1621,11698
7022,6416
5804,2853
2213,6415
6075,5278
4611,1096
8146,3824
3320,6433
2183,4486
2142,1110
9851,739
1256,5048
8659,13993
984,1990
9832,4293
10275,4142
2174,8907
6961,18290
5993,405
2960,9876
689,1705
2142,3380
4155,751
11025,13200
1256,3058
4265,17176
78,6369
15059,6187
1982,8518
6981,546
7042,10980
7281,8823
9572,1759
8348,14289
2191,503
3484,2739
1402,5258
4865,561
8457,7505
3645,1165
1743,5531
7042,8094
2439,18788
282,17439
3754,870
1798,4323
935,9784
3235,10958
2112,2615
4137,8043
7162,2985
5978,648
1504,5308
1909,2399
9966,1376
1621,8414
8457,13975
5664,1745
6927,11834
4522,5916
10831,15636
3288,1493
10253,974
5993,18835
10737,9756
30,10449
2560,1498
3834,19164
7238,15104
6853,1197
4707,13655
2975,7867
8189,726
6494,5185
2730,15229
4167,3902
5429,6035
5765,12215
8803,6874
307,3542
2439,6991
5724,14005
935,12839
742,18078
5119,4934
2553,5942
11695,341
5197,1984
2327,1179
15578,7075
1637,1699
4271,10834
8457,251
2909,7694
634,639
4598,150
5429,2229
399,7210
1676,23
607,7868
5376,7064
3482,14008
3265,19538
2510,18601
3722,18156
3096,4912
3038,19577
5938,4373
11361,19599
6808,4135
2133,4472
8348,12568
7049,7039
3872,798
191,3454
962,3626
8139,5839
694,6412
4701,13109
14785,7165
636,10094
5197,4304
3722,19757
864,6946
8575,3822
3849,2721
98,4724
1234,11726
305,1888
2213,12698
5469,19528
11137,5465
1918,710
6112,12995
1953,2315
12481,16358
6452,731
144,5332
728,19925
964,11203
3554,2826
8803,1167
6046,19961
14868,13722
13789,4432
2516,7927
10638,19982
1330,3257
3554,1307
3183,4114
3305,19904
9270,3668
8225,12963
1988,12219
1554,4284
14652,4869
3260,6309
393,507
184,5593
8270,7250
3477,12451
662,15228
17630,8911
5778,13717
7541,6484
5170,6599
4070,15225
842,4793
5724,6794
9718,4106
14175,2392
1128,11752
2966,20252
783,16034
10638,2690
15027,3227
6673,18972
7898,15265
2140,1615
296,8459
491,10744
2112,13936
2364,7107
2687,10735
2960,1050
4265,4960
1002,620
489,10513
3146,209
2046,1396
4325,17109
6853,20398
6454,1071
7347,2041
1819,4666
4537,845
1293,902
5021,2337
9794,5467
795,10495
5469,1132
1905,8141
7889,7097
12820,5878
2665,20533
1953,6704
11265,351
4671,1826
4499,10672
11250,15809
5993,403
5061,12753
14732,17383
3773,1564
7975,2695
3843,12807
27,10949
4040,2724
7767,14015
14732,17597
8515,13940
4537,9929
5197,17311
4537,9894
9572,2474
1743,2122
17722,5794
4440,8360
5423,17380
1772,5602
634,10465
320,4836
1679,7546
4773,3443
6853,18943
11702,839
1339,6436
6975,6700
5978,5771
4059,364
4511,4685
9658,613
6112,12186
3004,2917
7275,537
3619,4764
184,20975
186,1374
2646,7746
6673,13270
13977,7964
4155,14737
176,772
7049,2745
842,11327
1860,11866
14175,986
7293,20331
14868,4402
6620,11159
7379,3796
5765,11697
2681,1192
117,14003
8778,4757
30,6725
15578,12101
16418,10976
524,1349
132,4936
13546,44
627,14466
1054,18904
3645,4267
301,7412
5482,10874
22,8410
5728,1962
2757,12488
8803,1459
2969,9825
7114,13884
1905,10150
6611,717
641,1247
8668,21272
8304,18212
7257,1801
10253,10746
11137,2579
307,2893
964,4516
8369,7393
4038,12303
6611,12976
7271,8754
2673,1754
3305,9494
1016,1874
1281,6529
5424,3725
8897,21429
17722,3760
4961,2289
968,10884
7271,7534
742,1117
314,19714
1747,1866
2418,16593
3215,3130
4921,2176
4040,4314
9332,4766
6259,10463
10831,7603
4885,5462
4809,17522
10638,3243
813,13803
5778,1742
10253,9164
6112,20873
7334,8226
3182,9645
6920,14129
3002,9314
4794,11027
8270,3688
2222,10030
614,10035
3314,20891
7281,1221
295,15608
8350,615
534,3929
3849,34
2665,19697
8139,11222
7862,806
7114,1481
4155,14971
1836,11563
7114,18116
5728,16504
4325,9013
2687,17298
15027,16613
2584,8493
11069,11782
6080,19043
8575,2608
8014,17305
1809,1034
1266,14994
1856,5321
3137,10845
6075,10071
3276,5193
2573,6577
11564,1143
6308,9522
3801,2556
3045,12795
6033,9672
3729,1415
5804,3325
455,5537
7935,6867
705,3610
1409,10235
2191,837
7347,8682
127,11948
2140,12
2962,7667
6454,8837
10914,2907
1714,3677
78,1796
2599,17838
320,5776
2303,14673
6488,9065
4257,3055
12481,2402
3554,4198
1054,9940
6197,13402
6008,171
6740,8468
2468,3655
5264,1960
9750,1161
305,982
4468,13864
1714,15461
13789,7576
6629,1750
3779,10263
3008,9336
3276,3905
3274,5358
2454,12953
2665,7719
2133,7648
4257,3312
324,2562
8668,13446
4786,6628
1200,15162
669,8001
6740,2380
2454,17454
3127,915
7275,6746
8146,20539
2340,1697
1725,4825
1794,19810
17010,22211
380,18384
11331,3925
373,10810
127,5546
1019,15177
9270,17587
1016,10123
6080,6108
102,514
2202,568
11250,3403
6008,1647
3215,8799
5482,13475
9143,15083
1526,14694
16,12722
258,5813
5119,8746
1953,3879
13299,20763
1083,3193
8116,12185
7255,13890
1402,13861
2213,3438
117,16022
2310,3783
12481,2489
7635,361
108,11669
882,12730
9332,1141
8189,9211
4794,7304
27,5605
5764,4012
2596,8166
2012,9441
13183,342
1606,3102
16418,2052
4059,13645
3005,1577
4884,14092
9750,7593
10713,245
17722,5002
4885,7685
8143,5544
2154,9757
1957,14004
3733,20952
6525,2751
813,3893
11564,15598
1056,5654
9832,2816
1266,13520
8139,681
9718,7716
7049,1305
1211,11899
3127,4704
5524,115
2274,462
6454,6579
2730,3419
8407,12805
3482,6358
2418,6206
6006,5154
689,3911
282,4864
2900,19238
8277,7076
1339,4744
3005,4703
5106,10429
1815,3871
2468,3884
2551,16765
7935,5716
1308,1411
7862,4052
127,8159
10422,2656
3274,16440
3872,12980
1212,2452
3235,1337
4244,3283
5978,16975
4522,13014
1413,13769
277,9403
6134,1593
7356,140
10529,8177
1689,1328
2140,4360
6033,16863
14785,4405
4187,6072
13789,7248
8139,12744
1281,21018
7275,4528
1202,6822
6738,5865
7541,16228
813,509
2222,9358
2969,2793
6134,12037
7409,4540
2665,4503
2100,9109
2553,15396
7403,5990
11564,3900
4348,6985
627,2641
9556,5693
6006,2643
8457,1144
1093,13833
2049,16472
11695,3734
3005,16657
7503,17353
7334,5443
1234,2987
6920,11829
14652,2189
8143,12389
6620,7088
5764,1664
4079,12279
6488,16305
1083,10607
4301,8307
2757,2382
9332,9881
1413,6886
2020,1023
4522,14542
263,20751
550,17540
9270,1279
3013,13392
9658,23338
5344,8280
4508,1926
3288,6078
1860,592
17010,3700
1090,15962
6808,2318
3834,11716
3333,12932
2978,7879
3260,3502
4364,8945
1002,877
2340,382
4961,10124
452,4206
2183,20717
4440,15313
3726,8429
8897,4700
669,13658
1836,917
6650,759
9658,17812
5136,11552
3779,2605
1185,261
3619,3686
5021,2182
1443,7705
6961,14754
4522,6783
17630,1811
989,3088
7635,7329
3520,11970
3288,16771
2149,920
452,7674
2551,316
2510,16541
7635,19555
3872,11998
2003,7048
3667,347
13299,5255
5277,1736
2969,5294
3743,684
6212,3232
689,16511
10941,2539
489,18233
14252,22477
1652,5003
186,11139
6853,4279
1293,3490
14652,6736
7255,14007
713,3987
1490,14757
7403,2482
7862,17843
9143,4584
2340,1109
7767,15669
11265,2791
5150,7323
2551,14045
501,5867
78,7978
2512,4273
2681,4343
1988,336
5432,860
3241,6453
1592,1230
3834,1380
3305,13474
187,17297
11702,1384
2049,17657
2230,1661
2909,15458
2154,3281
7494,4418
3520,5797
7767,8557
1863,5682
2418,4559
3105,5809
3882,4462
7054,7827
10737,9908
1836,15751
5594,2680
1780,9621
4110,7497
8778,4177
2544,6534
3182,20119
3952,7856
8304,8152
2020,5299
896,14412
8407,16884
1293,13458
964,3417
3743,11039
7699,16809
12518,4637
2978,1220
2584,2578
3952,7066
6060,1
2154,5395
2960,21744
5778,3161
30,13764
10422,6939
6046,338
4348,890
13183,1392
4511,2891
6259,1417
7699,2252
4671,13085
11163,8677
1068,7883
7459,815
4100,8290
1911,21362
3241,5808
8270,9599
3066,7201
5277,11764
5136,3143
6981,20957
625,579
6075,9565
5764,5969
882,11611
286,243
6975,9616
694,2497
15169,4892
3183,8711
7287,3890
1234,4586
3013,6797
314,5203
176,2736
3008,327
2596,2151
9794,2753
1772,411
4508,2472
4137,7001
2454,12604
7459,10601
6773,3864
2969,14089
2310,6802
6920,3061
2900,1359
4271,1264
3292,3388
7653,9707
6620,8433
6046,10598
9572,15611
7459,21008
282,3436
10529,17424
6773,8023
6283,9177
7653,6305
7459,14138
689,14077
12545,14114
1090,7144
5689,8483
423,972
8803,4307
52,8986
15059,15813
1982,4479
3397,17892
7162,4513
2046,1929
10232,14029
1389,1849
7444,11945
1794,1784
3678,20566
7054,13627
713,12003
12194,15009
1937,81
13144,3414
14252,4163
2012,600
935,1153
5724,2787
989,2566
4598,5028
2568,17041
2962,18314
1409,8021
4884,2625
178,1975
4325,2479
1743,1775
3260,22778
2599,12717
4568,10059
1911,5727
989,6286
4545,7717
2140,6877
12820,3296
1988,19972
5376,12441
813,13356
501,11579
894,1693
3722,1656
5938,4236
2838,6695
472,2378
3748,2589
959,3082
5344,554
8014,3209
14227,259
7514,6895
1207,17359
472,3141
2838,8373
9091,3494
14252,4748
2222,8697
6808,17576
5792,193
14732,11515
1177,21289
1918,16578
3480,7670
550,5591
6525,2671
11163,18081
491,1005
1504,7447
98,7708
3427,998
7635,6350
3068,12383
501,2980
3068,2394
8897,5158
2962,5744
14732,14280
7114,7701
1725,11024
5004,9137
1863,5399
949,3111
4773,10936
3758,10299
3002,8055
962,6782
3520,9777
4885,10431
14652,2193
2133,2057
9556,6048
896,3043
2046,14780
4364,4339
307,9044
5264,2037
2340,6103
3729,6862
14227,9456
3333,8889
3045,13330
3397,2096
5469,10927
3260,566
7042,182
2676,2034
4325,3390
1545,5586
1423,4459
5021,2466
1266,8991
6773,23017
1747,6093
455,977
10284,10274
7767,9213
1402,2547
12194,3168
4468,1433
3743,1629
3045,6123
1054,5965
132,5349
301,12731
3013,3538
3535,1069
13977,8662
2599,2283
842,11295
3647,4050
455,17281
1083,7084
10253,12387
9556,9266
5432,7059
5423,6322
2183,2833
3038,6708
423,4321
7293,371
2364,5260
15059,8817
6134,8324
1815,14572
1916,667
5119,1471
4809,6743
3877,13237
773,7331
12127,5946
636,17635
1676,10154
5482,4488
11250,241
7975,16432
2202,18205
5765,8723
4187,3907
6611,7136
6981,9127
6259,905
4611,10913
6525,7761
1918,18694
1256,19789
2568,2924
2975,10807
5690,7012
2667,11897
5697,6952
6310,7893
4100,9311
4264,2620
2847,8036
5061,1695
4545,10364
1911,15821
8515,10896
1725,21348
4545,10952
3480,2424
3004,11178
6738,11827
634,7812
7935,14474
17630,4356
6494,1804
4773,460
3477,19171
3320,11663
16418,10084
10284,9557
12518,11248
5524,6829
9832,3944
3397,8779
5888,1291
117,2069
3333,5444
11695,291
5778,1879
5429,521
4079,4782
2962,6821
728,8792
3292,12163
3482,6162
156,5434
11564,18760
5764,22848
4884,10878
10713,12840
4129,966
1712,17238
7257,21262
3843,12589
8369,11421
1177,6089
733,9273
3960,6827
10232,840
3952,6303
864,4035
8515,674
98,4213
102,8096
3427,12076
6525,3523
3096,12593
5804,1366
3105,5354
6006,7803
5061,5380
1712,4633
1916,21938
263,10231
597,14890
607,14033
286,10623
191,3984
3484,5202
6094,12275
9750,6085
6927,1632
4129,17008
314,5910
12127,765
5697,7598
2364,10334
7409,5628
3038,5244
7403,8235
9966,9647
524,2006
7255,14293
1689,15290
964,4309
3927,5452
5728,15914
2909,2933
1587,1000
17010,2180
27,439
935,15346
4038,12643
10638,9258
5429,9891
2900,7007
13546,3385
2757,16110
3265,4790
4865,12044
10232,862
8116,14799
597,11619
191,8686
4079,909
6738,4573
1772,7578
1200,349
2926,8708
7444,7128
3667,200
2516,756
13299,10705
1200,10383
1957,4714
14817,6780
11137,10718
247,19158
3484,823
534,1354
187,1123
4794,4463
6620,9710
6927,4843
3139,17529
2227,10060
669,1427
2327,8240
4137,14580
5170,2044
6673,12970
1330,15113
3877,5676
5697,8644
13546,21764
6197,3080
3509,1199
1504,22868
187,952
295,2219
7271,5494
6308,9664
7054,3918
1587,1551
8277,23690
3254,22053
247,8572
6112,18684
7889,9410
4701,77
1177,1719
247,8978
4468,16240
4786,7875
2227,2764
1443,6983
3647,3007
636,11982
1856,11280
8575,435
6212,5297
5084,957
562,17494
12518,3829
305,13251
8014,18750
2003,6504
8659,928
4244,5725
2003,400
3714,5132
7503,7430
1863,16246
7162,2240
3254,618
301,9036
6075,1581
3877,10522
11250,2998
13977,13592
2681,1579
4040,233
1490,2750
3773,12937
