persondiedincountry_1,persondiedincountry_2
52788,116
41312,116
74365,116
70755,116
37575,116
58393,116
39082,116
74397,116
13584,116
69674,116
73762,116
52157,116
48739,116
36889,116
8832,116
59514,116
47298,116
9192,116
70355,116
4492,116
35049,116
68802,116
74115,116
42889,116
70946,116
69035,116
65813,116
55115,116
45201,116
38678,116
44797,116
66481,2723
66195,116
16454,116
55498,116
28498,116
61106,116
42588,116
67976,116
62403,116
22450,116
31087,116
23682,116
21999,116
71610,116
53586,116
68312,116
42951,116
71382,116
65704,116
63689,116
66626,116
46582,116
75018,116
48567,116
74008,116
60062,116
49525,116
57724,116
15816,116
6905,116
67520,116
74678,116
27802,116
55489,116
42131,116
11248,116
21604,116
70235,116
46640,116
66514,116
15028,116
65915,116
41799,116
75001,116
65966,116
10620,116
75280,116
59021,116
53932,116
60976,116
74188,116
47056,116
73074,116
71006,116
11363,116
74116,116
22307,116
13345,116
70645,116
53601,116
72433,116
55205,116
71535,116
72371,116
60573,116
74885,116
35653,116
72497,116
52767,116
67028,13230
18433,116
67238,116
66405,116
70703,116
75377,116
39999,116
61453,116
58657,116
47251,116
75398,116
48618,116
75362,116
50679,6044
72142,116
70618,116
74671,116
5751,116
21121,116
68215,116
70837,116
25210,116
75117,116
23817,116
60870,116
71710,116
74848,116
8677,116
46970,116
64039,116
38964,116
1684,116
53482,116
6737,116
75257,116
73653,2626
75346,116
37215,116
70356,116
49228,116
73187,116
74958,116
29659,116
60470,116
56580,116
67213,116
73843,116
18779,116
31025,116
67266,116
75400,116
73944,116
